Variable:,pr
,Senegal,Kaolack,Kedougou,Kolda,Sedhiou,Tambacounda,Kaffrine,Dakar,Thies,Ziguinchor,Diourbel,Fatick,Louga,Matam,"Saint louis"
1983,454.59,443.06,766.46,765.94,757.41,583.41,434.25,240.39,252.90,729.10,291.77,374.61,190.08,345.25,117.05
1984,576.73,647.33,982.60,980.06,960.20,685.90,615.48,350.17,379.73,938.38,430.52,590.03,274.79,397.92,136.80
1985,634.21,686.54,1059.64,922.06,1018.20,734.17,626.60,531.74,459.66,1146.69,462.47,649.20,374.31,430.33,237.78
1986,653.01,728.10,1048.93,1144.65,1047.08,800.58,710.02,438.56,407.04,952.49,396.89,572.92,326.41,424.03,258.22
1987,673.92,711.97,951.92,1110.20,1164.38,736.36,683.54,520.75,479.60,1108.45,507.02,637.16,442.27,507.08,286.25
1988,742.69,885.80,1021.88,1144.34,1231.53,831.63,806.13,591.56,577.57,1307.50,615.56,817.84,467.55,516.91,310.41
1989,775.25,848.47,1094.55,1085.45,1184.69,855.89,766.53,698.39,681.09,1278.23,685.81,853.84,551.38,582.57,355.90
1990,574.06,559.50,936.63,818.92,968.16,676.86,527.90,411.92,403.70,1055.97,402.95,518.81,328.51,419.78,229.58
1991,591.81,559.99,1039.85,961.38,986.11,743.99,556.77,440.94,400.92,944.91,389.43,486.74,296.21,373.50,209.30
1992,610.79,689.93,1018.30,1057.35,1138.24,739.14,634.87,400.89,374.80,1149.35,407.81,594.95,287.72,343.94,180.26
1993,624.31,661.31,994.05,1014.71,1108.19,722.66,609.00,438.06,430.45,1091.98,458.94,579.79,343.62,422.57,237.37
1994,776.11,753.89,1324.70,1269.37,1278.78,988.78,716.43,469.39,444.83,1263.28,446.89,636.50,348.60,553.53,276.88
1995,695.17,790.06,1003.57,1037.46,1096.62,782.49,708.80,583.37,551.44,1128.36,545.60,716.08,422.69,533.76,323.36
1996,616.88,582.04,1003.00,1029.95,1001.15,727.97,588.79,451.04,434.97,985.53,420.62,534.44,365.29,418.66,243.60
1997,637.47,678.42,1065.40,1022.93,1077.56,744.22,606.53,434.58,423.67,1120.17,432.46,606.10,350.68,422.47,249.14
1998,681.92,685.57,1072.40,1052.51,1071.26,819.85,654.47,489.05,473.39,1072.41,483.87,622.38,392.07,486.54,305.38
1999,866.41,967.89,1253.06,1340.26,1466.37,989.72,864.40,691.97,653.84,1549.41,658.76,887.50,507.23,622.23,366.46
2000,713.53,773.50,1050.95,1107.01,1188.71,816.15,703.39,567.52,532.68,1254.60,528.66,720.64,414.69,525.90,298.21
2001,626.25,657.33,938.65,975.37,1061.00,697.01,614.58,486.47,466.11,1109.95,471.72,607.63,389.61,441.29,288.54
2002,482.41,514.90,835.15,771.05,797.69,560.85,458.99,382.01,360.00,827.58,360.12,480.94,265.80,303.24,178.87
2003,827.30,828.44,1330.32,1259.97,1269.18,989.82,795.74,546.87,547.29,1241.61,583.64,745.44,480.38,625.25,356.58
2004,634.17,610.13,1069.09,999.94,986.14,793.17,591.63,392.50,388.50,984.52,412.83,542.38,330.64,462.06,232.89
2005,884.56,939.70,1294.52,1281.58,1369.92,986.53,871.42,711.05,685.58,1422.69,726.94,892.78,591.62,673.30,433.47
2006,690.78,796.62,997.75,1104.59,1221.73,745.22,695.18,585.18,554.49,1294.73,556.08,745.60,419.88,469.28,300.33
2007,651.07,709.97,920.28,974.41,1069.55,732.67,660.77,526.24,513.39,1099.80,538.68,662.05,420.87,478.63,289.04
2008,822.49,895.22,1274.56,1267.97,1398.53,965.77,808.55,608.59,580.63,1461.15,587.99,817.24,445.88,595.47,305.06
2009,803.85,865.04,1123.50,1176.16,1293.78,881.73,791.16,680.22,657.07,1348.57,669.52,816.26,543.90,605.43,406.79
2010,913.84,941.98,1277.86,1300.37,1364.41,1021.14,886.86,760.25,727.07,1396.98,745.31,891.14,633.10,715.33,517.88
2011,645.66,689.71,1017.18,1004.46,1031.34,750.01,638.39,486.26,472.66,1053.27,481.78,630.33,376.98,456.19,270.15
2012,878.25,978.19,1198.19,1308.80,1403.08,1007.55,888.09,759.54,724.70,1491.37,736.52,927.22,549.06,649.90,392.42
2013,746.05,797.84,1180.25,1138.61,1212.37,833.64,713.02,640.60,591.97,1299.19,583.25,746.04,455.49,510.22,345.14
2014,653.26,702.21,1069.74,1089.07,1132.06,763.30,660.27,434.72,422.29,1144.07,443.46,613.69,342.87,431.42,237.09
2015,731.43,814.76,1221.18,1142.48,1202.47,824.22,726.40,625.62,583.49,1259.89,576.93,758.70,420.09,468.56,294.57
2016,729.13,801.37,1062.04,1127.81,1202.78,834.93,741.43,559.54,544.02,1231.27,561.95,732.22,436.59,528.87,314.53
2017,733.50,748.50,1209.72,1170.78,1229.73,908.47,704.08,478.65,461.08,1256.11,478.36,667.29,365.92,513.11,239.18
2018,677.22,701.90,1093.58,1035.23,1071.91,793.10,652.53,489.59,482.97,1096.48,494.03,641.81,393.96,484.14,289.68
2019,700.65,753.24,1163.87,1087.50,1146.38,821.06,672.85,566.01,528.14,1223.48,518.94,701.69,390.67,462.33,262.56
2020,767.85,831.94,1192.35,1126.35,1219.98,888.52,742.78,606.91,583.55,1279.91,584.22,769.26,460.79,553.84,344.44
