Variable:,pr
,Slovenia,Gorenjska,Goriska,"Jugovzodna Slovenija",Koroska,Notranjsko-kraska,Obalno-kraska,Osrednjeslovenska,Podravska,Pomurska,Savinjska,Spodnjeposavska,Zasavska
1985,1328.42,1680.83,1596.98,1286.03,1194.56,1509.70,1330.56,1453.69,1015.63,828.73,1260.05,1134.25,1315.85
1986,1268.57,1538.94,1484.76,1292.25,1126.18,1482.81,1311.25,1374.47,983.99,742.53,1202.10,1148.35,1241.31
1987,1432.42,1793.15,1764.35,1416.11,1243.76,1665.69,1519.96,1540.97,1080.02,893.92,1305.82,1233.21,1354.91
1988,1206.96,1470.65,1446.05,1213.68,1070.91,1425.58,1285.19,1297.67,926.08,739.40,1112.15,1063.06,1150.56
1989,1276.76,1525.84,1503.37,1296.17,1145.11,1493.77,1310.16,1363.96,998.18,764.99,1223.06,1155.18,1262.25
1990,1350.61,1713.82,1666.98,1300.90,1220.91,1621.10,1416.06,1499.15,971.78,791.09,1249.59,1101.27,1319.36
1991,1286.25,1591.83,1514.34,1233.90,1203.50,1460.25,1293.75,1386.77,1035.49,877.85,1205.85,1107.87,1247.79
1992,1351.87,1690.27,1651.54,1409.69,1121.36,1732.10,1511.92,1503.61,916.01,733.58,1192.45,1151.78,1255.97
1993,1272.24,1532.98,1483.51,1380.20,1050.79,1617.61,1406.90,1391.56,909.40,710.65,1138.92,1166.74,1180.41
1994,1316.05,1591.42,1536.90,1356.68,1143.96,1565.64,1350.01,1405.93,1025.59,806.32,1232.54,1210.80,1262.80
1995,1467.03,1796.69,1789.81,1588.70,1119.49,1942.00,1726.27,1589.92,1002.84,829.96,1237.15,1291.43,1278.57
1996,1515.65,1918.75,1929.83,1524.07,1259.44,1891.70,1726.20,1627.79,1072.42,844.98,1313.87,1285.89,1363.53
1997,1215.77,1445.52,1466.42,1292.91,1009.37,1557.49,1371.14,1301.12,900.94,706.62,1061.54,1073.67,1088.40
1998,1426.70,1720.72,1686.38,1502.51,1173.69,1763.42,1539.49,1532.25,1064.80,865.80,1283.88,1306.35,1318.88
1999,1416.99,1734.09,1658.36,1476.36,1230.36,1684.46,1471.20,1551.94,1046.84,804.23,1335.68,1291.77,1394.20
2000,1349.42,1809.50,1842.98,1332.95,1097.20,1694.13,1508.61,1469.61,871.01,659.06,1136.82,1058.20,1202.90
2001,1195.99,1491.49,1462.88,1286.07,947.67,1492.37,1319.26,1307.34,822.39,589.05,1071.20,1091.95,1111.58
2002,1390.92,1689.85,1731.07,1481.61,1122.75,1775.25,1561.87,1477.67,990.81,738.33,1226.82,1251.90,1260.13
2003,1018.21,1335.48,1307.75,965.32,896.75,1201.78,1094.85,1117.30,706.43,564.59,933.55,851.57,988.57
2004,1480.15,1859.95,1823.01,1537.26,1211.82,1845.99,1656.45,1619.61,1020.77,775.12,1324.94,1306.86,1383.51
2005,1365.59,1647.96,1560.21,1436.91,1197.19,1624.34,1408.75,1478.17,1050.21,834.80,1277.01,1253.09,1317.87
2006,1168.12,1392.62,1381.54,1233.43,1000.06,1431.08,1266.07,1264.69,869.93,681.60,1066.49,1044.41,1103.53
2007,1263.33,1525.55,1529.71,1307.87,1082.68,1488.01,1326.44,1340.15,967.95,776.80,1155.70,1146.36,1187.99
2008,1396.72,1748.87,1794.40,1438.15,1158.17,1683.35,1585.53,1505.75,958.07,767.52,1223.58,1201.53,1284.10
2009,1464.63,1836.15,1839.48,1462.03,1281.23,1722.30,1569.19,1566.56,1081.51,873.35,1315.95,1254.35,1367.82
2010,1547.26,1881.01,1845.52,1620.78,1282.40,1905.35,1680.60,1675.96,1126.77,924.36,1406.42,1385.21,1456.69
2011,1025.06,1289.93,1278.00,1021.41,904.88,1215.52,1087.74,1104.26,751.41,597.00,928.23,877.22,967.71
2012,1338.28,1699.98,1663.13,1335.94,1145.96,1623.50,1450.77,1449.14,967.31,770.33,1194.27,1145.88,1245.95
2013,1547.29,1945.92,1923.13,1590.62,1266.92,1925.35,1728.03,1674.11,1101.47,853.15,1361.27,1341.97,1410.63
2014,1736.69,2126.18,2094.91,1796.61,1459.99,2081.80,1867.29,1849.48,1309.59,1040.27,1579.29,1589.19,1622.11
2015,1400.64,1747.54,1718.98,1422.53,1206.53,1696.03,1494.97,1512.08,1019.69,811.23,1266.04,1222.86,1314.40
2016,1655.69,2095.05,2058.01,1613.64,1446.22,1977.95,1776.70,1788.67,1228.49,1001.99,1496.49,1379.49,1554.70
2017,1505.91,1920.23,1895.03,1475.17,1299.98,1841.67,1627.25,1646.34,1082.61,848.98,1343.81,1230.01,1401.54
2018,1379.80,1700.95,1673.05,1383.95,1215.73,1661.98,1462.19,1499.15,1019.79,825.65,1264.48,1194.63,1317.25
2019,1576.40,1981.86,1970.56,1604.54,1305.69,1947.38,1729.48,1701.68,1126.97,886.40,1393.20,1363.77,1445.14
2020,1553.15,1940.78,1877.03,1523.20,1409.05,1816.78,1625.55,1682.34,1173.67,921.16,1458.35,1333.45,1516.82
