Variable:,pr
,Azerbaijan,Absheron,Aran,"Daghlig Shirvan",Ganja-Gazakh,Guba-Khachmaz,Kalbajar-Lachin,Lankaran,Nakhchivan,Shaki-Zaqatala,"Yukhari Garabakh","Administrative unit not available"
1940,433.80,350.69,339.87,496.13,560.17,502.85,630.19,335.66,423.06,648.45,498.72,296.29
1941,363.74,307.05,289.75,437.55,426.11,463.57,494.71,275.49,345.75,578.69,386.78,257.69
1942,451.12,377.39,358.12,518.82,578.11,508.27,627.51,362.49,446.59,681.75,495.64,314.27
1943,476.73,451.76,402.18,605.59,504.83,616.13,580.26,408.63,378.38,686.72,504.13,379.97
1944,397.71,326.89,308.11,457.75,498.85,474.19,548.26,302.84,376.35,645.56,435.61,278.67
1945,398.00,339.81,328.44,450.28,475.64,441.16,585.18,333.20,368.36,568.60,456.55,288.91
1946,504.33,424.93,396.78,603.61,636.08,591.51,719.80,378.27,473.82,736.37,571.99,359.40
1947,387.11,281.76,285.19,395.97,557.39,394.47,644.39,272.65,461.04,584.32,472.81,235.39
1948,374.10,262.19,281.31,399.76,524.88,423.34,587.62,256.07,359.63,646.43,439.32,222.84
1949,385.24,356.90,320.17,477.64,458.18,459.87,491.05,333.00,314.33,552.08,395.58,296.55
1950,375.65,309.61,282.18,443.64,491.97,456.57,571.92,244.78,363.53,583.18,439.01,245.50
1951,498.68,467.42,436.60,600.72,569.25,550.53,667.13,430.41,432.76,635.06,545.87,395.69
1952,347.77,318.40,282.95,419.32,393.50,410.76,451.69,333.30,294.26,493.15,379.33,273.49
1953,411.05,357.64,340.10,459.11,475.69,452.27,596.14,361.30,423.03,548.21,475.75,308.78
1954,367.52,306.41,287.15,419.70,474.97,414.45,534.66,303.72,359.21,550.57,406.72,253.84
1955,488.55,405.44,369.50,589.42,631.06,619.27,681.13,338.20,422.02,809.90,524.70,334.03
1956,476.53,410.16,391.27,562.93,569.05,545.10,662.83,395.53,420.50,703.16,547.51,341.21
1957,410.95,326.96,348.66,439.32,476.77,418.59,618.47,393.86,419.25,564.38,500.49,292.82
1958,421.94,333.69,320.67,492.55,531.64,525.07,644.19,289.99,398.03,671.08,498.36,275.77
1959,430.22,351.91,322.97,481.06,588.51,502.82,627.94,311.96,390.37,684.37,472.40,294.77
1960,367.10,289.30,272.68,413.15,498.15,442.20,528.29,273.99,328.63,605.93,407.00,245.58
1961,317.07,303.17,268.79,383.41,342.42,392.73,402.46,276.36,230.12,455.03,340.85,257.15
1962,435.19,382.57,371.86,522.30,488.91,493.01,638.41,371.73,412.44,567.41,506.87,319.78
1963,625.11,507.97,490.54,748.42,760.04,768.40,902.74,475.20,588.05,956.52,731.40,425.66
1964,353.12,269.49,277.42,381.70,461.72,392.79,522.10,287.20,322.64,567.41,405.36,236.83
1965,445.43,353.28,350.01,496.36,574.92,488.11,700.06,350.93,433.59,638.38,537.73,303.87
1966,483.33,453.82,403.35,599.55,506.48,589.50,676.16,419.25,457.87,633.23,558.40,369.34
1967,476.87,411.47,380.71,586.30,558.51,580.40,668.92,361.43,458.30,727.39,526.48,336.79
1968,393.36,302.70,294.37,440.80,511.83,436.31,610.88,322.98,407.68,592.85,477.27,261.39
1969,519.42,483.51,448.88,631.71,530.04,585.74,680.86,520.01,481.07,678.87,592.82,412.03
1970,335.11,287.54,261.32,398.15,432.35,399.99,451.98,248.05,270.82,566.11,340.04,236.66
1971,323.59,269.20,253.14,376.73,419.79,380.04,445.71,236.83,301.43,509.71,351.58,225.96
1972,495.20,404.85,415.14,575.30,575.65,552.89,716.72,425.79,485.14,683.44,600.29,351.20
1973,429.63,397.69,350.92,535.05,476.03,533.06,585.22,329.11,396.74,631.15,467.22,321.18
1974,457.16,381.37,349.70,522.72,576.78,521.88,697.22,354.04,462.84,675.80,537.13,313.36
1975,405.13,318.75,336.74,443.91,514.30,404.58,628.88,319.47,423.94,568.07,502.64,268.97
1976,420.45,328.18,328.68,458.29,547.85,443.70,639.91,372.97,416.56,607.67,495.15,292.22
1977,469.20,395.23,381.93,562.24,546.44,552.97,670.23,366.76,430.20,700.18,565.37,325.88
1978,431.83,366.75,341.84,515.47,546.49,499.68,611.83,342.41,412.79,633.87,474.97,304.77
1979,410.83,354.12,337.51,486.72,487.62,470.43,554.78,347.39,375.02,599.58,454.04,306.47
1980,413.27,367.26,347.80,482.80,475.39,469.65,538.42,378.41,336.50,614.14,436.50,320.99
1981,512.92,427.48,409.13,612.77,601.32,601.39,753.14,401.44,488.01,756.77,611.42,361.97
1982,551.58,451.99,468.39,643.48,617.83,621.08,798.84,504.09,527.75,763.35,677.65,387.44
1983,374.82,249.17,257.73,397.97,551.03,437.74,602.05,239.11,394.41,659.66,455.29,215.57
1984,430.00,402.74,357.04,534.19,478.38,508.47,551.18,366.67,359.10,613.59,462.53,342.32
1985,375.63,342.59,313.16,471.34,424.34,458.07,516.93,300.49,358.53,521.86,408.16,275.91
1986,373.77,282.02,282.05,387.11,499.42,376.24,614.33,296.23,447.44,515.84,471.23,249.53
1987,424.87,388.03,346.21,515.68,510.86,496.76,579.14,315.61,395.37,611.43,454.16,319.71
1988,512.81,457.98,392.83,635.10,628.06,629.23,715.59,362.97,480.15,738.92,572.64,385.90
1989,314.09,258.35,255.36,348.13,410.41,346.57,437.84,261.37,286.14,462.87,345.54,224.43
1990,392.56,344.47,315.94,465.02,486.32,482.97,507.30,294.29,317.04,623.93,404.57,291.73
1991,386.03,347.96,307.33,466.84,454.63,472.44,533.80,308.61,371.06,533.35,413.03,297.60
1992,442.84,386.16,350.67,519.21,541.39,510.85,621.71,362.45,393.51,662.61,484.43,329.79
1993,417.46,359.26,338.10,484.58,475.48,477.75,588.39,382.74,409.95,580.98,484.21,312.80
1994,468.54,419.89,381.01,579.88,524.98,545.89,672.90,372.26,474.92,653.65,527.66,346.39
1995,362.19,317.79,291.76,430.08,443.69,423.12,527.69,262.25,313.43,517.21,420.81,264.51
1996,381.49,334.91,309.11,462.27,458.07,463.36,496.38,303.45,314.08,587.65,401.33,287.59
1997,417.15,342.37,336.37,487.63,514.41,478.81,613.26,314.93,378.76,627.59,491.73,288.30
1998,348.30,293.27,283.55,402.39,438.62,384.90,503.29,281.72,304.73,513.22,404.63,243.89
1999,393.70,341.98,309.70,490.32,461.43,509.19,528.28,291.07,326.89,606.38,438.12,291.94
2000,367.44,354.41,318.68,469.00,395.11,450.73,455.89,313.22,291.81,509.95,373.63,296.22
2001,360.66,303.74,282.88,440.87,451.40,448.68,511.37,263.35,318.11,560.40,382.67,253.37
2002,475.49,408.98,355.17,596.34,603.88,623.30,656.48,315.02,429.71,756.56,497.88,337.55
2003,501.93,440.23,396.60,600.48,618.78,585.61,741.79,377.23,480.98,683.57,567.60,372.31
2004,477.88,412.58,368.36,587.85,560.69,594.81,659.99,385.96,433.26,726.10,531.96,352.81
2005,448.06,393.88,341.85,533.75,575.99,546.10,616.78,299.52,394.84,688.10,476.76,336.93
2006,419.29,358.68,341.34,495.68,518.71,492.38,573.02,315.73,391.02,623.98,449.37,305.64
2007,441.04,328.24,340.94,466.80,634.71,447.97,722.34,316.23,477.46,640.53,542.93,269.60
2008,375.78,317.29,300.68,454.28,460.52,451.86,530.72,276.64,336.16,583.03,420.86,259.85
2009,441.20,339.25,334.11,496.78,618.00,506.09,682.84,296.83,434.26,687.42,509.33,279.62
2010,454.95,350.11,342.95,532.76,633.29,538.86,700.98,275.53,428.23,743.28,527.59,277.89
2011,468.73,376.35,372.89,527.07,592.90,522.94,705.93,377.58,480.18,655.00,546.82,330.60
2012,380.54,321.09,294.49,440.22,450.26,441.66,552.33,317.26,375.52,577.85,429.43,277.75
2013,410.16,322.37,324.64,478.77,538.20,485.79,588.83,304.59,371.19,646.86,467.64,267.69
2014,375.82,290.36,304.56,428.30,485.59,421.41,552.15,285.02,384.09,580.26,433.78,239.37
2015,441.57,356.86,363.81,516.44,557.71,486.92,667.75,335.64,437.40,636.66,517.01,291.34
2016,481.86,398.16,376.85,552.13,635.73,546.47,712.74,343.10,469.66,729.08,538.26,329.84
2017,357.02,297.69,291.50,423.28,443.30,414.72,494.46,290.96,318.22,541.52,399.05,246.71
2018,401.27,331.66,324.30,455.64,514.74,431.99,608.69,320.93,421.61,570.30,453.95,271.16
2019,308.62,248.81,247.10,318.57,390.33,304.34,462.96,302.23,310.36,444.42,354.11,223.53
2020,392.12,308.50,300.41,434.27,503.03,437.00,602.01,318.05,415.87,588.78,450.10,267.11
