Variable:,pr
,Gabon,Estuaire,Haut-Ogooue,Moyen-Ogooue,Ngounie,Nyanga,Ogooue-Ivindo,Ogooue-lolo,Ogooue-Maritime,Woleu-Ntem
1924,1792.05,2267.43,1823.10,1950.72,1894.90,1459.57,1624.58,1769.81,1960.56,1659.87
1925,1825.29,2234.01,1861.06,1982.04,1909.49,1600.97,1676.68,1776.98,1963.69,1692.01
1926,1883.43,2534.25,1826.36,2065.95,1911.33,1600.53,1718.97,1778.72,1971.34,1888.36
1927,1861.77,2437.97,1795.95,2037.09,1896.54,1546.15,1719.85,1772.36,1964.13,1880.22
1928,1879.88,2655.15,1759.28,2096.37,1862.66,1452.90,1740.15,1761.32,1969.06,1979.00
1929,1853.16,2417.57,1807.48,2004.52,1890.00,1642.00,1683.97,1769.78,1954.88,1834.56
1930,1779.45,2285.65,1749.86,1960.80,1860.89,1434.41,1612.39,1750.95,1947.20,1709.00
1931,1789.18,2205.47,1789.70,1934.87,1872.31,1563.08,1617.70,1756.51,1946.52,1694.08
1932,1767.05,2145.67,1729.31,1932.32,1872.25,1563.19,1624.63,1751.77,1962.31,1607.87
1933,1949.92,2522.62,1823.12,2245.59,2061.58,1655.78,1801.09,1799.74,2300.20,1777.98
1934,1969.54,2729.72,1820.45,2436.80,2136.46,1573.51,1707.34,1814.30,2375.29,1757.77
1935,1932.49,2618.08,1773.15,2295.01,2061.89,1577.77,1729.81,1764.50,2305.00,1786.64
1936,1630.73,1876.05,1721.54,1634.62,1679.86,1418.05,1589.99,1619.54,1595.83,1580.51
1937,1786.01,2160.72,1954.16,1868.88,1793.05,1505.07,1714.35,1839.24,1737.61,1646.05
1938,1717.77,2278.55,1537.84,1885.24,1780.94,1452.36,1622.75,1581.50,1833.10,1763.61
1939,1952.52,2319.73,2086.01,2054.21,2037.14,1768.23,1781.80,1984.26,2079.86,1720.77
1940,1685.56,1989.64,1674.36,1772.08,1793.76,1509.95,1571.68,1612.88,1870.68,1571.21
1941,1534.06,1788.20,1576.83,1617.96,1658.88,1334.19,1401.26,1527.33,1643.38,1414.57
1942,1552.62,1927.77,1580.99,1610.00,1524.98,1145.73,1595.37,1514.50,1478.78,1613.17
1943,1665.11,2161.49,1578.82,1816.09,1720.81,1341.68,1592.54,1608.12,1768.15,1628.60
1944,2105.81,2612.19,2022.65,2366.66,2382.39,2109.24,1756.73,2034.76,2448.41,1770.99
1945,1889.13,2333.29,1873.91,1987.17,1967.40,1708.08,1758.34,1806.07,1966.28,1835.12
1946,1796.02,2336.83,1804.31,1972.93,1868.51,1506.36,1633.44,1770.05,1885.88,1694.79
1947,2155.28,2852.26,2008.20,2463.56,2339.31,1993.20,1876.55,2068.16,2427.02,1933.11
1948,1878.60,2422.57,1821.99,2068.92,1912.90,1501.27,1807.76,1873.04,1897.72,1840.84
1949,1931.74,2336.93,1903.01,2052.33,2083.18,1842.68,1731.36,1835.36,2093.83,1807.83
1950,1987.82,2577.13,1788.04,2252.86,2166.51,1904.03,1738.11,1838.36,2299.13,1833.63
1951,1968.13,2645.96,1911.10,2271.07,1954.95,1571.44,1807.08,1880.26,2122.02,1957.76
1952,2111.11,2604.51,1997.96,2255.36,2150.39,1819.70,2025.51,2080.24,2122.83,2149.76
1953,1751.14,2226.85,1753.23,1945.52,1800.73,1355.72,1639.97,1773.41,1801.52,1691.72
1954,1913.54,2400.75,1790.67,2118.62,2099.96,1747.31,1701.14,1803.03,2192.96,1752.86
1955,2060.34,2843.43,1931.87,2405.27,2188.07,1811.56,1806.08,1914.10,2472.97,1803.79
1956,1777.79,2394.32,1568.74,1992.93,1708.91,1274.20,1783.96,1655.76,1866.73,1967.70
1957,1919.96,2502.09,1701.70,2192.55,2017.93,1812.00,1724.92,1782.08,2240.47,1800.23
1958,1463.45,1874.67,1514.19,1613.76,1391.46,918.61,1485.85,1482.74,1465.92,1504.20
1959,2047.01,2487.80,2090.11,2222.21,2219.93,1967.33,1787.74,1992.71,2332.96,1744.11
1960,2089.96,2677.49,1947.65,2316.94,2196.17,1968.08,1867.31,1985.43,2361.87,1957.39
1961,2078.33,2596.48,2024.36,2382.68,2331.33,2115.24,1756.76,1980.46,2440.95,1671.68
1962,2024.33,2582.13,2059.29,2255.69,2037.04,1751.83,1859.91,1990.68,2139.20,1908.46
1963,1979.42,2505.94,2020.56,2187.80,1995.62,1569.02,1899.25,1928.66,2079.16,1888.59
1964,1745.14,2158.10,1836.66,1831.85,1719.87,1427.57,1692.48,1699.49,1700.22,1760.42
1965,1709.50,2051.43,1787.15,1802.33,1780.90,1380.50,1583.70,1725.98,1756.09,1658.39
1966,1927.96,2282.16,1917.27,2036.63,2155.77,1982.10,1623.27,1835.36,2148.27,1736.67
1967,1778.67,2297.21,1675.94,1996.78,1928.93,1623.60,1544.56,1643.96,2085.55,1639.93
1968,1788.85,2224.62,1820.86,1907.02,1823.83,1584.20,1628.60,1657.75,1979.18,1745.10
1969,1779.87,2124.05,1884.66,1838.17,1814.64,1555.68,1643.37,1732.76,1921.15,1695.33
1970,2070.29,2468.50,2042.29,2228.90,2245.73,2009.97,1826.56,2016.88,2308.43,1857.45
1971,1727.62,2307.01,1724.62,1983.83,1745.52,1306.93,1616.39,1700.89,1798.91,1669.41
1972,1677.26,2069.51,1610.62,1840.29,1732.77,1367.41,1576.15,1618.57,1784.56,1693.51
1973,1830.23,2292.55,1808.34,2029.10,1969.04,1610.45,1625.42,1760.99,2038.82,1682.66
1974,1750.34,2144.26,1758.92,1871.05,1802.59,1464.43,1653.71,1715.04,1822.97,1704.22
1975,1883.14,2343.88,1823.17,2084.72,2061.35,1805.88,1638.55,1819.98,2150.59,1646.94
1976,1940.46,2334.46,1925.33,2104.63,2067.47,1740.73,1762.61,1905.55,2160.57,1768.60
1977,1946.10,2450.22,1896.67,2180.55,2121.71,1743.95,1743.24,1948.36,2070.29,1732.22
1978,1531.55,2000.39,1538.36,1710.49,1462.57,1043.19,1520.86,1485.99,1591.77,1586.97
1979,1750.76,2098.85,1819.62,1841.43,1807.97,1472.11,1634.81,1751.20,1855.31,1653.08
1980,1837.93,2095.12,1874.49,1932.98,1961.34,1627.94,1750.33,1854.78,1825.59,1726.31
1981,1754.62,2036.48,1751.63,1828.50,1870.76,1738.67,1608.07,1674.59,1896.94,1615.50
1982,1730.61,2040.92,1847.62,1793.60,1731.92,1344.53,1702.83,1759.99,1684.61,1708.77
1983,1319.46,1615.42,1403.16,1336.90,1209.25,1112.60,1308.97,1247.23,1309.76,1401.93
1984,1945.91,2365.92,2061.86,2083.58,1993.05,1603.06,1844.14,1985.67,1945.21,1821.60
1985,1953.56,2352.96,1929.70,2075.40,2083.16,1754.17,1791.08,1879.26,2162.67,1824.54
1986,1738.82,2134.30,1752.18,1904.14,1824.65,1514.53,1610.89,1717.32,1849.38,1597.80
1987,1707.62,2029.38,1679.36,1773.21,1738.47,1622.92,1618.88,1645.35,1813.64,1646.46
1988,2049.99,2708.07,1914.38,2348.97,2141.52,1682.28,1899.82,1964.69,2325.67,1907.62
1989,1883.89,2384.93,1793.93,2114.76,1983.39,1715.56,1711.28,1819.36,2053.39,1755.36
1990,1917.44,2407.39,1922.04,2081.92,2066.95,1784.56,1667.24,1865.97,2098.43,1741.47
1991,1742.65,2222.45,1736.17,1933.23,1835.22,1471.24,1589.18,1745.69,1849.07,1602.79
1992,1642.15,1944.78,1708.70,1746.01,1699.33,1385.72,1568.43,1650.31,1655.49,1550.41
1993,1683.68,2023.85,1613.04,1825.12,1671.08,1397.87,1644.68,1652.38,1808.11,1691.82
1994,1904.23,2355.62,1869.73,2102.20,2045.14,1738.85,1724.35,1899.70,1988.35,1735.09
1995,1804.76,2282.72,1827.42,2011.99,1962.26,1725.14,1531.41,1735.44,2032.27,1570.10
1996,1777.97,2385.32,1745.51,2044.55,1835.17,1504.36,1573.77,1690.48,1992.44,1664.63
1997,1767.68,2115.71,1882.38,1869.93,1865.75,1559.62,1585.74,1745.47,1923.66,1603.78
1998,1878.62,2358.91,1864.04,1994.55,1983.47,1792.73,1661.15,1876.00,1895.16,1790.85
1999,1975.80,2369.87,2034.97,2051.45,2003.09,1800.09,1851.71,1947.79,2065.15,1883.73
2000,1881.00,2537.71,1763.07,2231.57,2055.03,1695.74,1591.99,1739.66,2241.26,1658.13
2001,1695.97,2180.72,1617.90,1847.47,1700.09,1311.87,1656.53,1667.68,1682.48,1763.51
2002,1949.97,2631.88,1973.14,2228.77,2003.15,1579.48,1750.95,1886.78,2073.47,1840.78
2003,1798.47,2183.05,1798.74,1875.23,1901.23,1649.53,1634.20,1778.22,1804.32,1759.53
2004,1669.52,2034.63,1638.92,1716.54,1759.21,1536.74,1530.56,1661.68,1636.06,1671.20
2005,1589.93,1804.30,1644.34,1631.81,1688.26,1473.52,1474.01,1595.57,1649.95,1474.94
2006,1726.71,1874.82,1770.47,1671.19,1821.63,1800.69,1602.64,1743.67,1744.11,1614.78
2007,2155.51,3060.64,1906.16,2521.45,2236.28,1958.58,1859.19,1914.42,2398.65,2183.21
2008,1906.20,2429.35,1928.26,2082.31,1988.31,1697.87,1730.80,1832.86,2072.16,1746.11
2009,1886.12,2299.30,1847.73,2051.70,2049.00,1815.78,1668.90,1851.23,2075.41,1674.98
2010,1731.71,1872.12,1882.49,1712.38,1849.45,1786.47,1575.37,1746.15,1786.73,1515.43
2011,1852.38,2183.16,1808.33,1974.81,2009.73,1770.62,1680.96,1821.78,2043.19,1660.85
2012,1984.90,2605.96,1841.02,2234.31,2095.44,1603.41,1846.84,1957.11,2116.16,1912.63
2013,1877.93,2292.60,1792.61,2094.79,2054.17,1749.74,1679.91,1804.33,2169.66,1649.57
2014,1803.34,2234.04,1694.89,2044.37,1944.75,1650.67,1623.81,1764.03,2060.90,1600.73
2015,1511.55,1727.68,1639.44,1578.89,1608.78,1484.49,1330.51,1498.35,1671.79,1295.58
2016,1757.96,2033.30,1839.49,1769.54,1812.51,1654.22,1652.97,1736.64,1806.68,1656.82
2017,1868.64,2160.32,2024.68,1888.07,1923.21,1633.96,1745.85,1910.51,1819.03,1800.76
2018,1698.03,2164.63,1737.70,1849.53,1727.10,1452.12,1539.68,1623.99,1852.10,1628.36
2019,2020.79,2289.90,2013.07,2018.51,2232.08,2023.83,1842.93,1957.57,2065.52,1902.56
2020,1757.12,2089.26,1904.58,1819.31,1857.42,1686.39,1531.64,1721.53,1846.22,1607.08
