Variable:,pr
,"Puerto Rico",Aguadilla,Arecibo,Bayamon,Guayama,Humacao,Mayaguez,Ponce,"San Juan"
1931,2726.46,2751.16,2714.81,2639.40,2614.69,3147.84,2651.47,2675.75,2437.60
1932,2642.70,2715.28,2642.71,2513.69,2503.50,2959.49,2613.60,2599.68,2339.12
1933,2354.54,2399.74,2355.37,2257.07,2244.65,2654.92,2312.78,2319.38,2101.15
1934,2201.06,2213.95,2204.51,2144.20,2158.50,2391.93,2145.20,2188.23,2056.08
1935,2103.04,2104.11,2102.44,2051.67,2052.65,2359.56,2036.02,2082.95,1933.86
1936,2400.57,2442.57,2382.60,2311.69,2292.66,2747.77,2354.77,2348.88,2139.05
1937,1792.21,1834.16,1801.63,1716.58,1723.80,1930.37,1767.85,1778.91,1638.07
1938,2151.35,2146.89,2125.52,2117.57,2106.76,2466.02,2081.22,2109.46,1984.26
1939,2031.45,2088.21,2052.88,1930.38,1939.81,2178.89,2011.97,2022.25,1838.95
1940,2233.95,2249.94,2243.35,2160.00,2157.07,2507.59,2174.94,2215.23,2026.20
1941,2246.56,2282.76,2244.76,2165.22,2163.12,2491.57,2204.99,2217.62,2038.88
1942,2426.64,2451.79,2423.81,2345.36,2337.39,2745.71,2364.87,2392.84,2189.82
1943,2247.97,2294.45,2264.89,2152.41,2152.34,2454.58,2212.69,2231.65,2036.41
1944,2184.29,2255.38,2161.53,2084.41,2069.79,2449.72,2171.29,2129.50,1940.27
1945,2033.57,2109.37,2063.27,1915.73,1922.20,2149.06,2028.48,2026.79,1826.66
1946,1961.88,2001.84,1967.71,1876.34,1875.21,2177.68,1932.87,1940.38,1759.85
1947,1728.13,1734.85,1735.79,1675.69,1674.31,1943.55,1675.53,1714.78,1573.27
1948,2210.53,2223.03,2204.61,2155.27,2149.68,2468.91,2149.57,2182.20,2033.50
1949,2185.44,2220.28,2175.67,2108.34,2104.09,2450.80,2143.23,2149.78,1977.27
1950,2146.73,2124.97,2144.96,2118.45,2117.31,2426.34,2054.80,2127.89,2003.61
1951,2206.96,2220.17,2192.92,2151.48,2144.55,2486.05,2148.69,2170.93,2020.47
1952,2260.45,2249.28,2255.30,2213.80,2206.65,2607.66,2158.88,2229.19,2063.85
1953,1910.88,1891.71,1896.30,1883.91,1883.35,2197.92,1829.00,1881.26,1763.48
1954,2077.50,2086.63,2073.72,2020.71,2023.52,2329.71,2011.03,2052.35,1902.50
1955,1729.69,1727.37,1706.81,1695.62,1689.63,2004.52,1669.58,1691.78,1575.74
1956,2184.55,2166.77,2189.40,2144.59,2142.70,2474.97,2094.45,2168.00,2018.28
1957,1661.22,1678.13,1636.06,1617.84,1613.82,1888.93,1622.44,1622.16,1513.35
1958,2332.34,2376.65,2330.26,2235.19,2223.42,2638.84,2287.23,2295.51,2076.12
1959,1988.84,1989.34,1996.44,1941.81,1943.55,2203.15,1923.18,1975.86,1841.96
1960,2496.22,2469.57,2493.48,2459.31,2448.06,2873.50,2382.06,2467.65,2300.13
1961,2282.50,2298.43,2291.70,2225.12,2229.32,2472.73,2220.86,2269.11,2132.64
1962,1977.64,1974.59,1966.09,1935.85,1929.12,2269.84,1905.28,1946.11,1808.19
1963,2126.34,2182.57,2137.37,2029.18,2034.39,2305.89,2101.28,2106.85,1926.68
1964,1671.61,1778.25,1683.38,1539.53,1535.13,1788.64,1711.72,1646.67,1444.28
1965,2196.57,2209.56,2189.12,2133.76,2136.03,2472.31,2132.75,2167.00,2004.80
1966,2031.36,2114.52,2052.56,1908.70,1911.23,2166.87,2038.04,2017.14,1810.34
1967,1440.25,1474.00,1442.63,1377.89,1379.09,1580.27,1421.35,1423.67,1300.76
1968,1892.01,1911.61,1876.36,1839.63,1839.26,2114.89,1850.07,1859.69,1734.41
1969,2412.01,2425.58,2386.65,2345.82,2334.07,2789.86,2343.92,2361.60,2173.43
1970,2405.25,2352.94,2375.75,2393.53,2369.65,2881.95,2276.55,2355.90,2200.56
1971,1837.35,1816.17,1843.65,1805.78,1812.64,2077.84,1751.07,1827.24,1704.85
1972,1726.01,1682.57,1727.65,1725.19,1732.62,1935.22,1626.18,1720.28,1647.13
1973,1644.43,1709.30,1654.98,1550.55,1550.81,1762.64,1646.28,1627.54,1468.29
1974,2016.44,2017.26,2026.28,1962.55,1960.99,2265.88,1944.13,2002.77,1846.15
1975,2017.95,2011.74,2030.91,1975.75,1981.36,2223.06,1942.94,2012.26,1884.35
1976,1646.54,1672.07,1665.31,1581.07,1585.13,1785.51,1613.80,1643.03,1503.59
1977,1949.82,1949.91,1942.38,1907.42,1901.25,2214.00,1880.20,1922.83,1789.47
1978,2017.56,2131.30,2033.04,1870.77,1875.91,2123.50,2060.87,1995.83,1774.00
1979,2734.10,2797.94,2693.40,2624.49,2597.49,3172.13,2693.35,2653.20,2407.84
1980,1680.91,1771.70,1692.70,1560.15,1564.49,1781.34,1709.83,1661.21,1473.64
1981,2502.85,2528.06,2502.85,2422.04,2420.26,2789.36,2456.43,2476.94,2281.65
1982,2039.42,2085.93,2050.22,1952.14,1947.25,2223.80,2021.81,2022.42,1845.62
1983,1918.49,1943.36,1909.84,1851.40,1847.51,2175.05,1870.53,1884.59,1725.81
1984,2155.18,2145.52,2149.33,2113.11,2104.81,2459.69,2074.36,2128.04,1978.29
1985,2037.47,2105.99,2066.14,1922.00,1922.65,2190.63,2022.75,2027.81,1816.99
1986,2081.50,2163.20,2117.79,1947.50,1952.74,2228.24,2083.26,2077.09,1841.38
1987,2099.49,2073.15,2064.86,2080.12,2066.31,2478.71,2013.47,2050.91,1925.45
1988,2100.68,2165.58,2097.53,1999.46,1996.68,2316.08,2088.90,2066.63,1878.89
1989,1888.69,1892.38,1882.91,1843.40,1840.23,2151.09,1817.65,1861.79,1728.89
1990,1826.04,1800.15,1818.57,1804.22,1803.30,2095.92,1741.19,1805.46,1692.73
1991,1607.87,1635.26,1613.77,1549.62,1550.18,1757.18,1580.28,1593.69,1472.00
1992,2186.70,2171.07,2185.70,2147.34,2143.96,2491.87,2097.95,2165.44,2018.03
1993,1785.91,1818.07,1799.89,1712.34,1717.04,1946.77,1756.16,1776.27,1624.00
1994,1603.10,1607.85,1599.73,1563.37,1565.02,1787.77,1557.68,1586.10,1477.67
1995,1910.66,1968.32,1907.56,1819.39,1821.10,2089.11,1903.50,1882.21,1715.87
1996,1631.67,1606.30,1621.89,1617.38,1612.28,1900.57,1556.73,1609.29,1515.16
1997,1533.53,1516.91,1502.97,1526.52,1515.56,1798.09,1467.59,1493.39,1424.35
1998,2720.53,2742.20,2739.53,2639.76,2647.41,2957.38,2646.78,2710.29,2520.76
1999,2202.80,2136.80,2172.76,2210.50,2196.33,2636.78,2063.28,2161.36,2045.70
2000,1560.44,1644.61,1571.80,1454.93,1458.77,1624.28,1594.89,1545.51,1390.22
2001,1832.66,1766.32,1820.19,1851.85,1848.50,2132.09,1717.29,1815.30,1747.63
2002,1719.57,1693.57,1706.10,1705.47,1699.35,2000.17,1636.35,1692.82,1595.60
2003,2339.34,2321.57,2343.06,2304.35,2305.73,2615.25,2249.33,2323.92,2190.81
2004,2486.04,2536.54,2483.72,2380.96,2373.10,2794.78,2441.59,2447.76,2219.42
2005,2625.13,2629.12,2610.01,2559.58,2546.41,3036.74,2527.60,2579.26,2376.07
2006,2578.27,2502.94,2560.22,2583.62,2571.53,3051.15,2409.30,2542.78,2407.63
2007,2096.79,2119.50,2106.77,2024.88,2027.39,2317.84,2047.47,2081.33,1914.45
2008,2283.58,2215.05,2273.50,2283.75,2274.04,2704.21,2137.10,2257.35,2124.62
2009,2415.06,2562.11,2420.26,2238.78,2241.78,2531.32,2471.02,2377.87,2121.70
2010,3064.71,3169.78,3064.29,2900.84,2893.23,3381.47,3047.56,3015.16,2709.98
2011,2924.71,3014.50,2896.05,2788.72,2776.52,3278.48,2905.07,2857.34,2595.02
2012,1887.96,1956.88,1911.19,1786.51,1796.92,1965.67,1891.80,1882.84,1720.99
2013,2748.34,2826.21,2733.00,2616.64,2607.38,3084.32,2723.00,2694.09,2430.86
2014,2241.40,2168.72,2227.22,2251.33,2236.53,2664.92,2084.33,2210.52,2092.50
2015,1520.05,1536.70,1538.62,1472.42,1485.98,1577.52,1502.17,1527.49,1434.02
2016,2564.69,2681.74,2622.41,2391.35,2405.11,2633.88,2586.02,2573.22,2297.55
2017,2442.68,2516.54,2450.87,2324.00,2323.61,2658.04,2420.91,2413.46,2195.09
2018,1918.22,1896.42,1921.15,1895.55,1899.33,2134.70,1836.69,1908.47,1806.18
2019,1844.03,1780.68,1818.38,1861.72,1851.08,2199.83,1718.81,1810.65,1732.98
2020,2153.03,2162.67,2140.33,2109.87,2109.94,2390.85,2086.03,2122.72,2006.64
