Variable:,pr
,Bolivia,Pando,Beni,Chuquisaca,Cochabamba,"La Paz",Oruro,Potosi,"Santa Cruz",Tarija
1938,1011.14,1413.84,1597.80,533.69,1165.52,1079.60,177.00,180.88,1074.32,474.19
1939,1085.84,1380.52,1633.93,685.06,1235.33,1233.71,234.25,224.24,1143.66,739.23
1940,1009.76,1810.26,1528.34,581.23,966.07,946.85,134.72,176.41,1103.05,631.95
1941,1102.77,1824.73,1687.28,546.21,1211.31,1267.83,212.73,190.96,1125.07,599.95
1942,1104.62,1742.87,1691.61,530.22,1209.18,1174.04,192.72,223.23,1183.56,474.73
1943,1039.47,1557.85,1464.99,598.61,1175.59,1282.33,248.52,216.82,1080.52,667.04
1944,998.12,1665.71,1402.26,599.84,1131.91,1309.24,357.42,298.98,943.20,541.43
1945,1151.11,1765.35,1666.15,608.47,1325.69,1215.01,244.30,255.76,1254.02,619.71
1946,1081.53,1677.42,1557.12,625.66,1237.96,1274.52,252.02,232.73,1123.28,602.92
1947,1100.33,1956.95,1681.15,588.71,1254.14,1218.56,263.50,248.13,1085.59,530.19
1948,1259.77,2050.72,1973.49,740.76,1484.64,1501.00,308.24,307.20,1192.57,537.04
1949,1117.89,1589.52,1672.51,788.28,1389.28,1307.22,306.19,330.20,1070.01,753.13
1950,1093.58,1671.80,1801.53,592.47,1088.77,1117.71,190.25,246.40,1120.53,535.06
1951,1110.87,1671.59,1670.74,619.96,1252.12,1189.43,247.56,229.22,1166.36,725.44
1952,1039.56,1654.87,1550.09,601.73,1155.25,1118.67,253.59,219.81,1085.66,585.33
1953,1101.87,2062.04,1607.30,570.14,1125.23,1251.32,229.40,202.74,1129.16,663.19
1954,1089.81,1602.42,1571.62,741.11,1182.12,1248.06,286.47,289.78,1121.00,707.00
1955,1131.74,1694.06,1610.43,653.90,1297.90,1246.69,325.70,289.61,1209.37,578.52
1956,1071.67,1396.87,1629.39,594.34,1041.20,945.28,191.45,217.37,1273.95,560.96
1957,1190.44,1709.11,1897.26,657.24,1205.33,1225.94,217.43,230.72,1272.73,620.74
1958,1237.11,2200.05,1883.44,665.30,1252.74,1254.31,224.46,233.75,1306.74,665.30
1959,1111.88,1965.24,1693.17,661.12,1180.03,1292.85,242.58,227.68,1072.60,757.18
1960,1095.64,1776.19,1642.60,700.09,1180.31,1288.36,213.51,222.87,1073.77,889.34
1961,1018.61,1605.71,1431.73,718.49,1087.77,1159.00,216.73,246.11,1062.26,704.06
1962,915.52,1447.43,1401.59,530.34,1043.39,1032.26,215.64,188.35,923.20,481.37
1963,927.77,1379.59,1361.87,647.93,1159.62,1076.68,303.00,282.96,878.73,689.50
1964,1051.70,1867.08,1639.92,587.34,1188.82,1125.33,230.60,196.58,1045.65,534.13
1965,1029.10,1620.37,1638.17,586.75,1176.40,1193.92,194.10,206.10,999.01,566.54
1966,973.34,1753.63,1530.14,567.33,915.58,1048.24,134.51,164.16,979.19,662.35
1967,966.18,1509.15,1485.11,567.88,1019.91,1069.76,195.58,183.33,991.47,613.85
1968,1030.04,1664.62,1395.36,708.34,1170.97,1239.73,287.66,278.22,1042.60,719.27
1969,972.79,1710.42,1553.16,454.48,983.22,1024.67,200.30,177.16,984.27,544.80
1970,1003.79,1828.03,1496.69,600.63,1159.28,1244.81,208.00,202.71,934.83,692.77
1971,1042.51,1854.04,1565.14,672.20,1234.39,1186.58,299.44,274.58,967.26,718.71
1972,1112.95,2177.62,1623.70,595.19,1092.50,1308.50,315.49,242.77,1092.24,627.69
1973,1140.90,2250.38,1828.63,614.25,1158.68,1377.19,244.33,220.27,1023.88,681.07
1974,1115.18,1753.34,1506.72,661.18,1136.04,1396.05,272.42,238.33,1175.78,832.77
1975,1144.91,1959.70,1678.36,611.69,1237.61,1471.65,363.29,270.81,1099.25,583.96
1976,1097.36,1859.59,1659.73,535.03,1126.92,1346.72,303.74,223.80,1083.72,581.42
1977,1228.45,1872.57,1836.63,691.16,1240.09,1462.95,346.33,293.87,1247.46,704.89
1978,1187.07,2089.80,1809.49,729.17,1178.40,1342.63,258.17,278.48,1168.89,692.70
1979,1218.51,2016.25,1674.37,766.58,1413.67,1368.69,302.01,288.52,1270.65,857.77
1980,1154.13,1898.38,1862.42,556.82,1057.70,1207.96,162.62,163.63,1211.37,758.84
1981,1341.75,1983.63,2000.33,792.66,1360.59,1498.24,294.76,269.14,1423.72,870.31
1982,1333.65,2030.41,2105.59,757.13,1206.46,1273.74,239.87,228.42,1462.87,886.62
1983,1165.41,1887.55,1847.59,508.48,1172.89,1164.90,123.36,146.37,1287.87,576.05
1984,1359.49,1830.01,1845.04,988.95,1662.30,1624.28,416.55,381.72,1390.03,1112.06
1985,1165.10,1586.39,1712.32,775.65,1547.96,1363.11,372.21,322.03,1126.75,860.57
1986,1153.06,1672.50,1709.70,642.00,1498.77,1374.46,317.66,275.22,1133.59,750.91
1987,1080.94,1596.74,1535.74,598.83,1201.39,1166.20,193.31,215.99,1194.55,746.19
1988,1074.20,1650.98,1620.43,652.47,1266.78,1328.12,230.80,242.94,1032.67,709.69
1989,978.87,1634.12,1455.46,605.98,1016.92,977.01,171.72,193.65,1042.66,706.86
1990,1144.12,1640.38,1854.34,640.98,1256.02,1244.21,229.77,251.23,1140.64,725.15
1991,1108.52,1991.84,1550.62,725.33,1084.26,1115.93,185.19,234.93,1194.98,919.19
1992,1143.74,1651.84,1807.82,680.34,1230.13,1123.34,194.35,229.69,1209.14,802.60
1993,1101.34,1755.85,1689.75,620.13,1244.05,1271.21,264.96,229.88,1089.16,661.58
1994,1085.45,2009.77,1635.40,582.23,1029.62,1186.00,216.60,209.83,1106.17,708.60
1995,842.88,1151.22,1302.11,506.86,899.86,933.91,154.77,167.06,886.39,536.90
1996,1055.60,1614.85,1583.72,653.21,1096.22,1100.77,188.89,205.96,1128.03,734.28
1997,1141.63,1658.48,1664.47,613.06,1273.73,1385.78,336.18,240.32,1176.51,698.84
1998,1115.09,2033.03,1700.54,532.52,1046.85,1179.06,164.05,163.25,1198.18,544.94
1999,1109.29,2345.23,1724.31,648.65,1128.18,1289.44,287.92,245.08,981.18,757.34
2000,1167.58,2518.80,1733.20,674.20,1178.04,1313.15,253.20,236.70,1096.76,836.41
2001,1181.39,2302.59,1583.48,644.43,1364.60,1460.10,360.88,286.50,1167.79,643.84
2002,1078.51,2386.34,1580.52,562.96,1167.81,1387.46,252.62,211.47,958.99,656.28
2003,1112.29,2107.57,1607.45,682.61,1155.73,1232.36,183.85,216.41,1124.87,811.68
2004,1126.86,1883.92,1856.01,601.52,1084.89,1162.98,194.83,207.68,1128.84,712.21
2005,989.30,1420.50,1501.06,533.48,1090.69,1112.89,286.61,218.90,1018.33,630.37
2006,1136.33,1973.42,1784.14,652.96,1112.00,1124.16,247.82,231.18,1153.34,861.11
2007,1101.16,1850.91,1855.22,675.02,1155.70,1026.96,218.87,251.54,1066.33,744.78
2008,1119.77,1919.32,1780.92,631.16,1168.81,1103.58,202.30,222.82,1136.87,754.02
2009,1216.21,2132.64,2080.25,660.19,1237.71,1271.15,208.53,234.28,1142.30,726.57
2010,1028.19,2196.37,1724.51,477.43,1084.86,1184.62,182.93,192.67,887.52,566.25
2011,1154.99,1808.31,1824.12,652.22,1207.39,1450.88,342.69,266.64,1074.73,697.12
2012,1105.05,1756.16,1663.45,648.82,1280.32,1240.73,306.83,264.23,1094.92,700.24
2013,1161.16,1825.24,1926.16,572.27,1384.43,1340.05,266.69,241.03,1091.34,542.77
2014,1200.36,2104.58,1990.06,633.78,1297.69,1285.08,190.42,203.24,1158.05,664.68
2015,1035.85,1708.19,1562.52,645.49,1199.58,1248.79,215.26,232.73,986.60,719.36
2016,940.78,1642.22,1440.89,465.47,901.71,1116.62,190.60,166.37,946.62,548.47
2017,1077.80,1740.28,1703.15,579.74,1198.31,1277.13,228.03,212.45,1043.01,602.44
2018,1230.39,1914.90,2034.75,746.31,1522.09,1448.42,295.13,289.09,1089.59,799.74
2019,954.09,1797.46,1557.66,563.19,1053.48,1210.79,204.24,191.21,804.17,644.74
2020,936.65,1503.22,1521.87,522.02,1081.94,1057.21,235.04,204.66,879.60,561.23
