Variable:,pr
,Cameroon,Adamaoua,Centre,Est,"Extrême - Nord",Littoral,Nord,"Nord - Ouest",Ouest,Sud,"Sud - Ouest"
1935,1691.04,1596.63,1846.37,1575.20,660.77,2730.53,1234.14,2072.38,2197.19,1954.24,2719.94
1936,1667.19,1604.63,1765.49,1539.23,844.20,2529.97,1322.15,2040.33,2093.34,1859.89,2575.76
1937,1477.68,1383.05,1568.30,1413.54,699.17,2236.20,1092.75,1798.84,1846.31,1732.45,2298.26
1938,1584.07,1335.13,1690.44,1505.39,786.61,2635.53,1076.28,1905.96,2018.00,1964.49,2651.73
1939,1631.26,1550.47,1664.18,1575.36,757.44,2342.53,1312.03,2020.60,2008.87,1803.94,2630.65
1940,1570.38,1501.46,1649.73,1443.25,689.96,2430.86,1152.83,2061.56,2077.92,1770.09,2679.82
1941,1548.40,1541.89,1647.44,1382.71,676.72,2387.50,1174.55,2085.20,2087.19,1647.14,2640.10
1942,1631.29,1500.26,1755.83,1527.91,666.57,2649.47,1101.26,2195.79,2219.75,1860.32,2800.80
1943,1600.29,1565.12,1665.78,1455.30,727.14,2446.73,1233.31,2014.48,2052.29,1851.43,2590.43
1944,1643.62,1516.39,1869.23,1652.15,616.90,2509.63,1078.82,2015.94,2135.26,1912.75,2452.08
1945,1528.04,1354.64,1645.43,1545.57,729.97,2251.40,1120.73,1681.48,1737.75,1942.77,2130.16
1946,1510.68,1440.60,1521.20,1389.19,799.15,2319.53,1202.41,1829.57,1856.35,1774.26,2396.84
1947,1558.46,1480.39,1593.16,1524.07,727.69,2185.82,1210.83,1920.98,1861.41,1840.03,2394.54
1948,1653.16,1569.39,1683.77,1666.17,707.32,2360.81,1284.61,2032.63,2013.25,1899.39,2479.99
1949,1681.92,1591.70,1842.41,1689.07,621.31,2554.30,1161.48,2036.21,2136.77,1956.09,2526.69
1950,1636.49,1456.97,1740.83,1590.25,788.46,2502.37,1244.36,1904.83,1966.74,2008.50,2414.48
1951,1701.23,1620.13,1783.33,1634.91,773.81,2569.95,1268.10,2113.69,2138.31,1983.69,2601.56
1952,1733.63,1553.85,1837.66,1735.90,762.95,2649.99,1155.68,2060.96,2140.89,2201.60,2659.21
1953,1613.64,1521.25,1683.18,1534.91,846.14,2580.17,1182.06,1960.88,2018.32,1805.73,2565.82
1954,1797.32,1849.20,1926.25,1631.69,763.99,2702.01,1309.18,2418.73,2445.72,1929.43,2946.91
1955,1769.20,1679.62,1918.54,1729.78,823.64,2734.96,1294.77,2161.30,2249.35,1917.37,2686.49
1956,1739.05,1563.51,1853.58,1616.11,770.41,2941.27,1174.95,2065.07,2209.34,2208.36,2855.27
1957,1792.85,1683.19,1899.79,1733.96,813.65,2785.68,1306.32,2253.39,2323.35,1974.19,2882.30
1958,1543.86,1498.85,1539.38,1432.65,813.69,2402.33,1265.42,1820.43,1978.72,1669.50,2509.41
1959,1658.98,1500.66,1679.92,1536.57,843.15,2884.00,1207.96,2029.00,2196.21,1862.79,2900.19
1960,1793.44,1703.25,1847.62,1679.69,838.55,2850.08,1427.66,2084.88,2213.73,2044.24,2857.40
1961,1503.77,1423.84,1561.40,1345.23,858.16,2499.56,1137.44,1906.72,2044.15,1598.82,2513.40
1962,1815.82,1724.79,1937.63,1778.34,720.31,2780.72,1340.70,2198.07,2239.29,2104.89,2783.31
1963,1631.14,1570.83,1611.45,1653.80,741.14,2299.41,1358.80,1875.66,1904.18,1874.59,2337.63
1964,1730.10,1667.64,1885.96,1608.92,704.22,2905.07,1187.13,2107.08,2167.08,2038.14,2768.08
1965,1642.91,1560.61,1705.99,1529.61,694.44,2756.76,1163.84,1941.93,1986.54,1966.66,2806.61
1966,1767.64,1666.59,1943.25,1711.45,696.19,2816.26,1229.53,2105.94,2191.44,2088.44,2731.50
1967,1642.69,1502.01,1775.20,1617.05,726.19,2566.07,1134.98,2009.82,2145.13,1888.24,2588.89
1968,1638.85,1568.67,1732.07,1572.11,704.73,2447.71,1212.02,2001.14,2084.35,1867.61,2661.44
1969,1859.01,1769.73,1973.86,1756.69,727.64,2920.92,1443.93,2247.48,2384.04,2048.35,3059.52
1970,1631.93,1494.41,1798.13,1559.00,711.82,2598.84,1125.63,1932.34,2041.92,2038.31,2435.67
1971,1643.40,1471.23,1817.10,1604.44,631.44,2872.48,1060.99,1954.26,2053.18,1895.63,2765.64
1972,1545.45,1531.63,1735.78,1474.31,639.72,2170.83,1170.87,1847.20,1837.53,1803.67,2217.01
1973,1572.55,1503.55,1800.61,1584.67,590.92,2248.49,1169.62,1725.27,1849.31,1855.82,2117.04
1974,1663.92,1597.10,1814.51,1666.62,707.09,2497.51,1166.97,1982.75,2123.70,1902.31,2416.58
1975,1637.70,1556.50,1727.94,1595.90,767.98,2482.90,1308.86,1975.64,2051.60,1810.03,2340.75
1976,1644.30,1632.21,1753.45,1500.03,713.75,2494.29,1265.95,2159.51,2214.28,1840.02,2528.12
1977,1450.60,1373.50,1499.36,1388.21,643.12,2198.78,1046.42,1858.73,1901.42,1735.81,2271.30
1978,1711.26,1710.14,1847.99,1619.33,787.29,2538.00,1362.25,2082.31,2116.00,1803.09,2581.88
1979,1588.69,1541.71,1692.60,1446.15,724.28,2459.01,1185.65,1938.71,2062.93,1872.20,2533.40
1980,1654.11,1631.10,1777.87,1607.11,725.63,2320.30,1239.74,2024.40,2063.38,1825.73,2584.90
1981,1562.12,1455.80,1655.98,1486.14,693.02,2458.25,1157.63,1963.89,2054.97,1754.63,2506.97
1982,1632.75,1604.13,1777.07,1601.91,526.60,2491.64,1171.80,1989.36,2138.31,1851.73,2523.61
1983,1323.78,1208.63,1431.29,1303.36,487.39,2010.94,933.00,1712.97,1800.54,1499.93,2154.77
1984,1534.61,1436.37,1814.16,1568.10,457.72,2172.39,963.11,1885.26,1881.17,1969.96,2062.14
1985,1680.81,1560.46,1914.74,1768.39,585.97,2441.08,1074.68,1860.09,1962.65,2118.50,2324.64
1986,1464.52,1354.85,1480.39,1405.84,658.57,2383.84,1104.39,1779.50,1818.29,1738.89,2313.12
1987,1440.21,1342.59,1613.40,1449.04,516.82,2107.99,964.56,1702.60,1772.39,1805.81,2086.71
1988,1631.01,1537.61,1749.15,1569.31,814.35,2480.26,1272.60,1791.33,1927.54,1949.62,2292.54
1989,1529.74,1448.62,1608.82,1536.63,713.17,2239.38,1102.13,1910.90,1968.14,1694.05,2333.77
1990,1641.45,1530.51,1806.88,1729.72,543.31,2318.17,1156.81,1882.25,1903.52,1974.71,2362.68
1991,1541.29,1516.81,1593.09,1553.39,783.89,2104.17,1217.55,1805.64,1823.37,1690.55,2209.22
1992,1559.85,1599.79,1669.72,1495.42,683.28,2212.39,1207.69,1990.79,2018.25,1638.99,2323.05
1993,1637.29,1521.77,1795.43,1667.90,629.15,2510.10,1129.86,2007.28,2065.53,1846.98,2469.60
1994,1560.14,1471.70,1612.36,1513.26,840.76,2219.61,1294.70,1829.54,1894.20,1764.04,2224.37
1995,1557.49,1579.75,1594.94,1458.52,747.83,2290.76,1298.18,1803.43,1836.84,1714.21,2389.30
1996,1643.41,1700.72,1751.66,1460.59,731.03,2400.09,1329.77,2106.72,2123.23,1821.14,2518.35
1997,1675.62,1747.12,1751.80,1555.59,648.07,2563.67,1340.18,2026.35,2075.84,1821.36,2617.97
1998,1554.92,1515.93,1646.00,1455.93,695.58,2363.19,1126.13,1854.03,1884.58,1977.97,2279.77
1999,1647.02,1456.07,1744.26,1671.88,788.03,2390.08,1175.78,1955.01,1960.04,2051.30,2412.39
2000,1591.21,1485.71,1701.85,1639.60,670.50,2358.16,1106.80,1942.69,1973.26,1804.39,2392.73
2001,1634.46,1503.94,1750.50,1603.15,684.89,2492.64,1177.96,1949.85,2030.49,1990.88,2467.49
2002,1639.24,1601.70,1817.35,1625.78,524.27,2612.45,1042.55,1957.86,2059.83,1991.08,2485.27
2003,1622.17,1547.41,1719.81,1528.55,655.33,2581.85,1149.94,1947.41,2015.70,2039.09,2493.57
2004,1554.33,1356.14,1727.66,1391.54,674.09,2582.33,1081.30,1950.33,2046.33,1987.90,2527.98
2005,1501.71,1416.68,1628.36,1498.39,725.63,2181.74,1118.15,1825.66,1859.62,1640.84,2211.82
2006,1635.76,1396.12,1829.09,1505.51,828.31,2717.53,1105.27,2072.34,2217.89,1915.00,2747.05
2007,1674.89,1555.25,1803.34,1549.26,793.95,2562.85,1223.52,1837.24,1896.74,2373.10,2279.47
2008,1580.38,1394.39,1708.25,1551.83,837.77,2445.06,1075.65,1890.71,1988.48,1897.15,2425.25
2009,1530.67,1450.98,1697.99,1553.00,649.57,2244.92,1051.83,1808.64,1857.34,1783.64,2203.92
2010,1587.26,1528.18,1696.94,1509.76,746.78,2410.10,1176.45,1953.40,2023.82,1765.43,2493.54
2011,1507.58,1258.08,1713.57,1581.03,625.99,2385.43,856.90,1860.35,1978.71,1801.55,2402.57
2012,1613.97,1535.31,1666.29,1606.92,819.15,2280.81,1259.49,1779.97,1784.74,2034.71,2160.57
2013,1542.05,1526.09,1686.53,1617.17,575.16,2210.74,1040.67,1804.74,1845.65,1761.70,2185.14
2014,1520.23,1468.64,1667.48,1443.64,658.31,2316.68,1101.62,1876.07,1937.40,1746.48,2300.97
2015,1429.20,1492.41,1483.49,1431.38,703.67,1888.36,1122.63,1792.27,1775.37,1395.54,2148.61
2016,1669.71,1624.94,1743.02,1713.61,857.44,2429.38,1305.67,1840.61,1872.45,1871.15,2219.69
2017,1608.25,1588.70,1674.02,1687.05,710.12,2200.67,1171.85,1800.10,1831.54,1910.94,2195.54
2018,1519.69,1424.25,1637.15,1456.89,751.64,2303.95,1086.89,1787.72,1813.84,1888.21,2212.62
2019,1659.21,1507.14,1783.79,1657.22,740.71,2488.09,1172.04,1910.80,1993.81,2071.66,2432.33
2020,1598.78,1478.82,1717.67,1593.70,743.94,2390.95,1124.73,1942.66,1998.59,1842.61,2446.05
