Variable:,pr
,India,"Andaman and Nicobar","Andhra Pradesh",Assam,Delhi,Goa,Gujarat,Haryana,"Himachal Pradesh",Karnataka,Kerala,Lakshadweep,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Orissa,Punjab,Rajasthan,Sikkim,"Tamil Nadu",Tripura,"West Bengal","Arunachal Pradesh",Bihar,Chandigarh,Chhattisgarh,"Dadra and Nagar Haveli","Daman and Diu",Jharkhand,"Madhya Pradesh",Puducherry,"Uttar Pradesh",Uttarakhand,"Administrative unit not available","Administrative unit not available","Administrative unit not available","Administrative unit not available","Administrative unit not available","Administrative unit not available","Administrative unit not available","Administrative unit not available","Administrative unit not available","Administrative unit not available"
1912,1009.97,2716.60,790.65,2425.71,801.85,2210.97,821.03,642.81,720.58,1054.79,2525.02,1692.30,882.04,2107.40,3572.38,2914.74,2037.30,1197.93,593.24,473.52,1560.65,1081.12,2664.07,1502.90,1741.17,1048.37,904.10,1165.12,1578.01,1211.29,1023.64,960.08,1824.72,917.09,1095.63,239.05,333.97,475.25,534.09,536.31,499.59,593.82,696.80,701.51,617.07
1913,1048.18,2550.44,709.75,2781.62,497.22,2060.90,892.62,448.15,725.38,868.43,1917.71,1460.70,972.45,2411.90,4228.71,3338.05,2263.17,1308.65,560.71,381.86,1863.53,966.06,3178.57,2048.42,1846.13,1683.45,764.30,1251.35,1649.75,924.42,1583.46,926.41,1805.03,828.82,900.56,275.20,405.80,567.02,662.71,660.74,612.40,721.57,791.63,784.27,716.60
1914,1115.66,3068.04,885.44,2241.21,916.12,3217.26,851.47,745.60,999.16,1086.97,2247.79,1907.60,1168.01,1957.48,3554.43,2885.43,1784.04,1327.76,814.80,496.35,1723.86,1018.27,2604.79,1680.64,1450.40,1393.62,1185.10,1254.48,2058.18,1059.91,1237.47,1011.36,1820.07,1137.59,1427.66,282.78,433.60,671.95,797.55,806.67,718.92,925.81,1053.98,1012.30,942.08
1915,1117.70,2885.41,1078.95,2884.64,634.97,2409.34,375.89,497.23,714.86,1084.92,2514.35,1602.60,1104.93,2416.62,4363.39,3384.26,2341.64,1450.73,515.76,262.72,1876.31,1138.83,3152.68,1820.52,2007.70,1618.41,804.70,1362.78,1149.81,479.46,1392.03,1014.63,1732.51,1105.08,1089.32,244.16,345.56,488.11,563.70,563.22,533.36,623.49,690.16,713.85,633.25
1916,1225.26,3130.08,1155.06,2427.27,798.38,2589.75,786.32,678.39,753.83,1254.39,2325.84,1407.20,1298.77,2151.48,3671.81,2948.25,2001.04,1359.09,689.67,612.90,1666.23,1086.97,2874.94,1978.88,1655.76,1592.47,924.60,1374.14,1881.69,946.72,1537.50,1241.69,1621.48,1192.89,1150.52,208.05,297.20,465.45,547.70,549.20,506.67,629.93,875.27,808.99,684.28
1917,1290.23,2674.41,1134.66,2504.61,1106.80,2377.85,957.46,932.32,1142.11,1119.40,2113.54,1667.90,1162.07,2163.41,3801.73,2967.37,2064.46,1614.11,973.37,840.95,1662.61,1080.66,2744.56,1911.90,1768.82,1501.70,1337.10,1487.36,1685.38,1078.64,1474.41,1261.86,1586.27,1340.21,1559.81,293.53,458.69,668.73,848.29,832.92,808.83,926.42,1222.53,1205.90,954.78
1918,830.43,3245.56,675.42,2369.45,431.34,1279.19,255.35,359.25,607.41,660.17,1644.50,1630.00,572.33,1981.50,3640.56,2865.40,1938.67,1103.14,437.38,211.07,1766.24,900.03,2621.27,1647.99,1671.86,1568.77,613.30,1139.42,707.33,244.16,1386.42,678.40,1438.33,792.30,703.82,223.00,313.70,422.06,506.05,503.25,487.42,559.55,650.60,666.42,568.00
1919,1138.18,2408.57,900.78,2517.66,777.34,2408.37,726.32,678.97,783.84,1085.02,2289.84,1884.40,1025.96,2145.40,3797.72,3197.12,2074.64,1520.09,698.42,546.24,1527.03,1158.20,2924.32,1709.65,1729.24,1273.54,938.70,1448.96,1698.62,763.19,1362.10,1255.02,1916.57,1027.43,1044.11,229.12,324.79,454.71,551.22,550.68,526.78,627.09,805.83,788.05,658.13
1920,875.39,3080.20,597.52,2220.40,671.09,1893.12,551.60,559.67,640.82,815.72,2203.12,1845.70,601.04,1978.16,3495.96,2794.01,1784.84,1095.01,503.16,419.68,1464.62,1125.87,2608.22,1627.88,1435.48,1056.19,749.90,917.87,969.56,890.07,1101.10,752.31,1851.20,883.99,984.46,244.71,347.43,513.80,530.28,532.91,488.64,571.42,602.99,634.90,595.76
1921,1054.54,2753.33,844.63,2823.20,708.03,2158.32,859.76,588.15,690.61,994.33,2271.32,1478.80,911.15,2320.07,4127.76,3052.29,2327.90,1143.15,610.86,475.81,1648.57,1089.04,2894.75,1580.86,2078.60,1283.72,827.00,1214.91,1778.23,928.60,1274.70,971.81,1752.29,965.59,1004.89,261.54,395.75,631.99,645.48,649.09,573.31,696.47,794.18,779.23,740.90
1922,1087.60,3539.47,745.49,2440.77,812.95,2242.82,599.73,636.58,825.70,938.77,2637.95,1856.20,922.15,2117.67,3846.05,3264.14,1958.21,1295.23,686.74,417.26,1789.55,1196.60,2953.18,1917.00,1586.72,1623.23,1028.80,1292.60,1342.02,612.96,1543.95,1038.91,2043.48,1192.81,1246.98,263.83,377.38,568.88,625.27,626.92,573.90,687.00,804.67,820.13,719.07
1923,1000.09,3213.49,669.79,2354.52,783.50,2442.79,371.48,671.83,882.51,998.12,2561.70,1849.70,886.23,2097.19,3401.05,2863.12,1978.02,1161.01,739.48,450.69,1519.78,870.76,2569.97,1481.19,1727.29,1172.45,1004.50,1192.92,1289.61,422.54,1222.86,1124.36,1926.62,1020.12,1073.40,283.74,466.18,727.55,830.17,830.36,752.39,920.49,1085.96,1033.52,947.27
1924,1098.79,2692.51,838.78,2858.94,893.74,2481.79,601.18,719.17,842.52,1000.79,2668.05,1851.00,906.28,2342.92,4400.94,3430.23,2327.14,1158.78,706.42,579.93,1704.30,986.58,3230.20,1682.29,1960.05,1449.66,1025.60,1160.29,1383.94,642.57,1305.97,1038.18,1607.12,1155.55,1250.20,273.33,414.55,634.26,706.58,713.23,639.32,794.90,901.33,889.90,817.33
1925,1073.38,2562.05,976.20,2424.65,725.21,2141.97,439.77,577.22,768.90,988.20,2331.54,1664.00,810.89,2038.54,3700.77,3054.13,1984.47,1546.83,608.19,331.58,1751.47,1168.15,2731.50,1863.73,1760.53,1517.12,887.30,1372.64,996.72,594.68,1400.31,988.89,1946.45,1253.70,1139.19,223.19,325.89,493.09,577.83,577.88,540.40,653.87,847.18,811.97,694.51
1926,1081.84,3210.34,675.89,2179.97,848.95,2275.59,946.16,716.77,817.33,942.65,2310.75,1562.30,1003.54,1923.71,3211.65,2746.98,1871.83,1498.67,722.14,616.95,1585.99,865.82,2495.30,1738.79,1653.41,1285.25,970.20,1350.55,1954.62,1185.44,1312.22,1153.21,1646.48,1015.35,1087.99,246.74,359.02,505.21,612.92,606.15,589.92,676.00,892.91,885.58,707.80
1927,1072.33,2564.37,891.63,2888.30,670.70,2274.36,752.72,530.69,660.59,956.13,2446.93,1353.40,991.85,2402.79,4450.21,3365.72,2344.62,1418.81,522.59,483.25,1571.91,867.15,3180.93,1491.15,1965.15,1124.17,758.50,1384.00,1475.06,797.93,1133.99,1010.11,1603.17,1010.51,1060.26,220.21,317.05,443.45,514.55,508.30,492.83,552.45,694.78,697.75,576.33
1928,1018.68,3049.21,868.07,2374.82,524.13,2159.52,682.88,467.61,712.93,972.76,1783.63,1456.40,1007.45,2032.43,3397.71,2956.10,2065.25,1478.23,565.93,417.94,1595.42,984.82,2645.11,1847.63,1933.64,1272.09,719.20,1227.70,1457.03,731.63,1289.14,962.30,1631.72,764.85,857.04,250.62,372.75,530.87,619.61,611.86,594.63,670.19,839.76,851.39,699.29
1929,1026.26,2944.83,742.52,2515.97,550.85,2277.53,593.76,483.62,705.02,1020.53,2616.10,1770.30,843.24,2204.45,3903.78,3101.02,2010.34,1406.54,617.94,395.73,1694.18,1048.25,2814.40,1659.20,1639.66,1401.70,758.50,1342.20,1365.27,683.94,1297.51,953.56,1694.87,981.75,863.03,212.36,335.59,572.79,650.76,657.61,573.16,756.94,993.94,879.03,818.44
1930,1017.28,3120.78,964.82,2429.55,713.46,2007.91,649.38,582.77,716.41,945.57,2162.86,1505.90,903.16,2166.87,3584.43,2907.00,2067.34,1286.50,587.70,412.48,1517.90,1272.98,2652.40,1499.80,1812.78,1049.10,833.10,1148.99,1469.44,790.55,1058.89,952.02,1744.89,990.35,997.86,232.19,342.29,514.88,582.65,584.15,539.89,655.80,815.59,788.86,698.16
1931,1132.77,2680.72,966.06,2368.32,683.87,3014.81,708.47,584.46,701.62,1141.65,2099.85,1533.50,1239.28,1910.08,3347.73,2473.60,2015.39,1336.24,636.07,524.36,1630.59,1067.78,2387.96,1665.38,1941.23,1333.77,810.20,1392.19,1827.67,733.77,1318.85,1261.77,2053.57,1050.74,974.93,248.22,388.93,619.27,682.70,689.06,607.26,766.52,893.27,852.72,796.45
1932,1064.04,3234.31,846.92,2656.20,619.39,3026.99,676.83,499.90,620.49,1212.45,2470.46,1644.50,1119.01,2299.63,3881.66,3246.31,2226.39,1205.99,504.25,440.33,1488.44,1203.09,2932.24,1476.55,1955.30,1091.12,687.20,1262.20,1580.82,832.65,1140.09,1062.75,1924.68,883.17,852.13,209.32,304.57,469.14,528.50,532.24,486.49,603.80,766.41,715.51,645.46
1933,1255.73,3139.31,985.93,2157.27,1025.20,2786.95,963.10,812.34,904.64,1349.00,2672.00,1650.50,1326.71,1864.84,3222.92,2564.89,1820.87,1597.59,767.68,670.61,1666.34,1085.36,2430.74,1940.28,1632.54,1450.44,1100.30,1518.61,1777.15,1151.53,1464.61,1326.35,1856.24,1201.63,1413.28,256.96,381.92,565.37,668.30,660.53,636.50,733.16,992.31,968.35,784.02
1934,1109.64,3744.26,775.43,3027.08,742.22,2384.92,715.77,604.03,658.97,919.75,1780.97,1305.00,1093.80,2475.99,4833.72,3351.39,2320.29,1372.71,528.11,552.05,1646.52,863.29,3411.88,1655.85,1725.89,1200.68,818.00,1344.92,1515.03,864.05,1226.47,1312.58,1455.88,983.46,1025.91,225.74,324.23,488.38,531.56,530.86,488.67,576.31,651.93,653.93,606.42
1935,1023.91,3182.13,773.44,2338.60,717.31,1795.64,649.71,609.78,725.08,1002.30,2035.38,1489.40,1001.53,2033.54,3443.73,2922.59,1998.26,1063.60,604.82,489.65,1491.80,974.24,2522.87,1411.18,1745.16,1214.63,825.10,1247.07,1418.85,909.13,1234.79,1124.52,1706.18,1024.63,936.02,256.90,387.74,584.19,649.82,657.58,591.89,740.40,830.97,808.20,762.92
1936,1165.10,3197.90,957.83,2615.89,873.82,2144.02,537.74,677.54,845.67,938.26,2335.14,1569.10,961.56,2188.93,3968.46,2973.12,2127.95,1758.78,646.32,395.72,1723.50,1031.02,2937.24,1960.11,1820.58,1664.49,1012.00,1631.05,1178.46,770.95,1632.25,1104.71,1670.47,1349.42,1409.85,264.75,404.09,607.67,682.82,688.81,617.77,763.00,819.48,822.61,761.85
1937,1064.45,3396.60,770.08,2061.55,632.43,2314.38,782.97,543.87,794.15,977.90,2510.19,1515.10,1039.73,1826.06,3212.38,2533.88,1686.22,1275.62,620.13,481.43,1696.41,1045.02,2313.79,1838.47,1419.89,1480.17,872.20,1327.54,1556.99,1011.81,1410.52,1128.73,1906.80,982.92,1054.43,265.93,407.24,559.99,684.11,682.40,636.83,751.32,842.63,848.22,734.65
1938,1111.72,3393.42,973.84,2871.42,517.08,2075.05,566.89,412.78,627.13,967.86,2103.40,1556.80,1253.79,2409.15,4458.58,3478.69,2316.07,1297.40,434.17,354.98,1844.26,814.97,3246.85,1607.20,1925.13,1547.98,659.60,1483.90,1526.45,683.85,1299.29,1163.59,1402.62,1087.45,910.06,228.63,321.78,461.81,508.85,508.73,482.70,561.50,641.56,650.96,597.50
1939,989.79,2905.62,800.44,2247.70,484.35,2577.96,472.64,402.31,592.52,984.30,2194.11,1180.90,844.41,2085.73,3522.98,3001.76,1830.80,1250.12,452.36,289.79,1571.76,1155.73,2643.57,1849.51,1524.83,1446.84,661.10,1206.32,1312.34,495.16,1445.20,994.83,1776.74,1005.43,802.17,227.87,322.46,478.99,518.49,523.49,476.51,579.97,620.88,634.35,598.43
1940,1109.35,2937.28,922.07,2558.67,682.18,2452.95,587.01,575.93,703.41,1178.68,2777.51,1515.20,1125.83,2243.84,4081.34,3177.79,1979.66,1458.99,568.28,412.60,1690.81,1138.85,3055.39,1667.11,1423.96,1321.04,802.80,1381.13,1711.82,899.15,1254.69,1169.27,2082.53,914.99,913.39,244.75,356.19,535.05,587.33,585.71,549.91,640.49,755.95,767.07,677.39
1941,963.47,2660.96,682.51,2667.61,493.91,1828.37,633.19,419.43,660.61,915.41,2283.10,1568.80,745.48,2333.63,4337.67,3299.17,2106.24,1325.00,523.01,333.54,1611.65,1081.45,3264.03,1966.59,1645.49,1359.14,706.80,1090.53,1183.34,621.76,1396.99,821.32,1766.51,744.20,764.77,244.60,361.60,521.20,582.52,577.66,551.03,623.03,762.24,778.88,651.03
1942,1143.09,3007.19,696.76,2411.14,975.43,2620.04,719.98,827.05,920.96,1013.43,2295.12,1808.90,1070.12,2028.51,3670.27,2821.95,1926.58,1222.18,812.81,643.87,1718.68,937.88,2599.50,1794.48,1539.83,1544.09,1106.20,1387.09,1689.77,652.15,1508.17,1298.92,1573.33,1206.81,1271.33,289.64,466.39,691.01,810.30,812.16,731.50,900.11,1050.37,1005.71,907.95
1943,1084.13,3029.65,880.92,2568.79,686.35,2192.75,697.70,536.98,657.97,1094.46,2323.58,1772.80,1016.16,2185.43,3897.14,2977.76,2091.92,1380.14,515.07,476.04,1683.91,1113.62,2827.41,1816.20,1731.20,1432.72,753.00,1240.40,1379.33,948.68,1432.69,983.03,1689.00,1055.33,981.03,205.26,268.51,379.98,434.67,432.79,433.51,489.46,648.88,675.24,540.03
1944,1159.82,3029.65,928.92,2048.46,728.11,2357.78,947.96,652.90,768.36,1000.47,2089.61,1719.90,1178.92,1835.95,2945.19,2527.36,1806.06,1414.58,657.34,612.29,1597.69,1202.68,2238.82,1641.23,1684.07,1410.65,868.70,1461.11,1909.70,1187.34,1395.49,1428.48,1791.46,1039.43,966.47,269.96,446.81,696.25,788.83,797.80,693.28,893.50,967.30,898.35,899.15
1945,1106.96,3029.65,847.03,2477.34,860.15,2399.16,950.46,709.57,774.58,858.50,1935.93,1543.90,1006.35,2098.30,3656.28,2830.44,2066.34,1321.33,666.83,651.20,1752.72,793.25,2640.62,1717.26,1788.09,1453.15,942.80,1331.68,1793.95,1260.89,1301.67,1188.18,1316.61,1070.96,1129.60,261.83,427.20,676.65,745.74,752.84,650.24,822.01,832.16,828.09,816.24
1946,1170.11,2751.82,918.36,2546.08,701.63,2686.63,811.75,584.79,661.08,1265.52,2731.60,1665.60,1084.27,2261.00,4039.74,3177.76,2043.79,1510.54,535.47,534.13,1721.66,1423.29,3016.43,1793.19,1572.19,1511.57,771.00,1375.34,1764.40,1106.05,1472.18,1151.86,2471.57,1040.44,957.41,202.55,269.16,334.69,422.27,414.32,433.51,463.20,626.18,649.68,490.34
1947,1142.93,3454.47,922.62,2812.24,758.92,2393.08,699.84,596.62,715.44,1046.17,2341.41,1584.00,1071.25,2417.26,4321.78,3599.62,2265.04,1409.10,577.14,483.95,1696.95,963.59,3361.49,1754.67,1975.08,1293.90,840.90,1373.99,1727.16,876.59,1252.96,1299.16,1645.09,1093.10,1010.30,231.78,349.66,528.13,586.62,582.39,545.02,632.92,775.88,790.22,666.86
1948,1125.76,3363.09,818.27,2917.24,809.32,2657.91,382.89,664.08,847.88,1137.59,2395.07,1441.60,1061.32,2346.10,4386.76,2996.92,2404.86,1312.66,762.40,431.37,1685.41,950.03,2910.79,1739.69,1974.65,1372.11,978.40,1295.62,1165.91,433.15,1372.00,1214.30,1667.40,1240.63,1075.03,280.37,496.01,771.90,898.42,901.61,792.83,1001.91,1181.43,1096.05,1017.36
1949,1139.65,3508.18,997.85,2750.68,773.06,1868.58,652.25,613.17,664.75,964.62,2277.75,1574.90,1097.92,2360.11,4408.64,3436.18,2204.40,1268.85,571.36,463.50,1650.51,951.02,3330.15,1812.66,1838.79,1593.80,820.10,1370.85,1602.59,854.49,1498.34,1170.52,1526.38,1176.85,1096.18,224.54,306.31,446.05,504.74,503.79,474.11,557.25,680.92,686.63,592.71
1950,1033.26,2492.30,786.15,2318.90,900.44,2477.52,687.54,771.14,959.59,1072.61,2347.44,1680.20,873.61,2004.42,3419.29,2840.40,2009.33,1159.75,854.47,545.80,1558.59,824.75,2613.64,1622.54,1784.12,1300.38,1155.70,1097.99,1322.17,823.67,1252.87,934.46,1512.91,1085.83,1218.03,306.06,460.31,700.97,833.04,830.24,757.84,921.03,1108.87,1102.27,938.42
1951,1000.17,3226.73,804.58,2789.87,603.65,2424.19,406.91,493.33,692.63,1050.17,2106.12,1613.70,883.27,2497.15,4373.58,3521.67,2226.06,1401.48,527.87,316.47,1468.95,946.45,3256.74,1527.27,1606.18,1185.40,735.20,1229.52,1079.37,582.14,1189.10,898.87,1436.74,954.46,910.25,286.78,416.12,608.41,675.97,678.24,616.76,742.53,780.01,778.37,750.61
1952,948.96,3090.45,681.37,2724.27,677.73,2161.04,536.03,543.30,632.08,858.33,1597.57,1159.70,760.66,2330.84,4445.79,3397.19,2096.59,1229.57,499.72,422.72,1556.61,797.63,3115.07,1670.51,1659.58,1318.44,708.20,1051.01,1167.03,631.57,1267.24,804.08,1257.62,987.15,929.21,223.64,310.07,452.61,486.75,486.76,466.05,539.53,651.24,657.43,585.52
1953,1093.76,3032.23,920.80,2628.52,717.30,3623.08,755.41,601.80,774.45,1324.19,2375.67,1580.90,1068.02,2282.50,4101.00,3182.32,2130.78,1238.51,672.06,400.59,1653.88,1061.83,3058.21,1720.49,1614.81,1371.97,941.20,1275.43,1535.10,1072.87,1314.06,911.72,1691.31,991.32,1001.78,289.59,417.85,661.12,706.29,709.96,635.51,776.51,905.34,880.96,823.58
1954,1105.82,2883.37,890.52,2459.25,769.83,2867.90,887.62,633.46,848.10,1169.20,2242.54,1511.70,1150.58,2066.25,3647.51,2793.75,2066.96,1286.34,701.43,507.84,1635.96,1065.69,2658.08,1590.66,1760.11,1242.68,971.40,1269.01,1974.63,1185.48,1125.82,1089.69,1713.99,1002.67,1097.91,285.85,416.14,620.33,686.45,687.62,650.89,754.11,913.93,940.25,810.58
1955,1199.61,3331.00,1053.91,2574.52,911.54,2827.25,707.86,731.18,847.39,1183.75,2228.12,1831.80,1272.78,2276.15,3856.88,3157.99,2103.79,1456.16,723.29,575.55,1647.71,1139.88,2841.80,1567.34,1787.99,1275.62,1019.40,1355.35,1921.38,679.04,1136.52,1309.59,1626.63,1213.34,1232.77,262.91,393.64,602.50,677.85,675.04,620.36,741.28,901.37,889.62,781.06
1956,1268.88,3247.10,1133.55,2526.09,806.70,2863.25,1025.64,669.76,793.76,1265.18,2213.53,1406.30,1233.51,2175.15,4129.69,2958.27,1933.77,1792.48,685.96,648.14,1529.22,1116.49,2940.99,1887.83,1615.82,1460.07,892.30,1484.42,1886.04,1221.06,1582.84,1241.96,1694.61,1205.17,1079.22,296.01,484.65,818.33,854.47,867.53,731.25,961.97,1037.98,969.12,1025.58
1957,985.78,3158.82,833.71,2131.28,830.82,2505.32,585.64,688.60,843.99,1113.32,2183.30,1532.80,997.61,1848.92,3122.93,2244.95,1833.31,1133.32,682.96,442.68,1218.45,963.63,2113.77,1228.93,1646.97,1051.45,963.80,1202.50,1274.30,895.56,1010.22,933.99,1674.86,955.55,1045.29,352.08,583.88,928.14,963.41,987.53,815.57,1083.30,1025.55,981.11,1083.48
1958,1112.08,3256.19,990.26,2263.35,932.79,2590.30,873.08,730.69,809.92,1174.38,2096.63,1303.40,1137.02,1950.65,3128.63,2417.29,1965.83,1382.35,708.65,523.64,1407.51,972.51,2240.71,1407.65,1729.76,1242.86,1058.60,1310.21,1743.91,1161.74,1260.22,1179.93,1539.34,1063.80,1126.69,239.55,350.44,506.02,582.94,575.60,563.21,627.78,853.72,846.22,677.93
1959,1216.78,3611.42,960.49,2539.64,785.91,3059.42,1100.20,703.15,863.16,1271.72,2969.06,1588.90,1268.66,2271.80,3964.37,3283.22,2092.50,1324.82,786.14,661.69,1550.92,1031.02,3143.07,1936.03,1785.36,1124.74,981.70,1373.77,2151.65,1363.59,1236.28,1278.46,1958.15,993.09,1048.29,291.67,478.11,762.80,829.73,841.54,737.18,943.10,1092.89,1032.03,993.99
1960,995.12,3177.58,818.38,2072.33,774.34,2143.05,514.50,600.50,670.11,981.80,2454.29,2104.70,931.99,1859.97,3248.46,2585.49,1714.96,1228.71,571.10,381.83,1460.88,1110.00,2525.81,1531.73,1433.00,1135.57,789.50,1223.39,1290.54,836.64,1156.34,1074.45,1728.79,1029.23,972.76,247.67,342.49,511.86,554.10,557.79,521.42,617.90,776.33,746.36,671.96
1961,1209.09,3248.09,981.49,2004.65,900.10,3281.34,913.70,752.85,827.50,1394.22,3354.34,1941.70,1244.88,1873.07,2960.90,3449.63,1706.64,1491.95,739.94,607.01,1548.36,1053.07,3072.17,1520.63,1631.56,1152.74,1042.00,1488.47,1678.41,1131.01,1259.62,1340.68,2297.62,1185.50,1112.66,243.77,370.09,561.67,654.25,659.75,610.90,748.72,924.70,895.17,782.79
1962,1109.42,3191.04,1116.32,2238.92,811.58,2492.52,601.37,690.43,862.13,1172.26,2437.78,1665.30,1088.27,1798.06,3011.69,2431.38,1804.38,1312.63,798.26,455.71,1850.26,1081.43,2347.70,1496.17,1763.83,1310.98,1096.40,1268.12,1368.78,871.50,1116.73,1185.36,1615.55,1160.85,1124.50,232.44,388.91,592.76,696.52,693.32,658.22,771.31,1004.96,1003.74,803.42
1963,1095.08,3228.93,927.91,2253.14,794.42,2419.72,767.58,594.21,690.56,1057.45,2100.11,1793.10,1069.51,1888.30,3410.19,2479.09,1834.25,1377.87,537.61,432.66,1735.57,1144.09,2325.34,1712.92,1562.15,1390.80,805.10,1365.84,1576.04,938.38,1393.65,1095.22,1910.53,1168.34,1138.78,244.30,321.56,471.64,489.58,499.01,463.83,558.64,649.79,659.61,602.10
1964,1133.43,3348.91,914.51,2418.56,977.91,2795.81,792.37,818.90,811.65,1330.14,2627.69,1683.30,1064.08,2285.14,3893.49,3192.24,2078.77,1356.66,819.78,503.11,1504.11,1138.00,2990.12,1616.47,1684.88,1227.95,1121.50,1277.03,1734.11,1219.08,1271.08,1045.72,1794.92,1108.17,1067.90,244.74,425.88,684.65,765.54,768.73,681.40,849.82,1022.82,968.10,885.42
