Variable:,pr
,Vanuatu,Malampa,Penama,Sanma,Shefa,Tafea,Torba
1940,2826.82,2756.37,2986.22,2874.04,2461.70,2099.58,3227.56
1941,2826.82,2756.37,2986.22,2874.04,2461.70,2081.54,3227.56
1942,2826.82,2756.37,2986.22,2874.04,2461.70,2092.01,3227.56
1943,2826.82,2756.37,2986.22,2874.04,2461.70,2161.63,3227.56
1944,2826.82,2756.37,2986.22,2874.04,2461.70,2123.18,3227.56
1945,2826.82,2756.37,2986.22,2874.04,2461.70,2124.95,3227.56
1946,2826.82,2756.37,2986.22,2874.04,2461.70,2129.19,3227.56
1947,2826.82,2756.37,2986.22,2874.04,2461.70,2136.33,3227.56
1948,2793.13,2697.63,2955.29,2848.84,2393.61,2129.04,3226.21
1949,2753.71,2635.03,2906.51,2817.16,2319.75,2022.85,3221.77
1950,2939.12,2951.05,3109.00,2959.18,2694.05,2332.72,3235.56
1951,3131.38,3083.25,3302.69,3168.97,2606.23,2016.83,3417.96
1952,2869.28,2715.93,3031.18,2947.23,2375.25,2008.26,3463.45
1953,2496.31,2487.42,2639.39,2520.43,2171.66,1806.71,2792.91
1954,3058.39,2925.91,3234.00,3129.70,2444.32,2037.51,3581.27
1955,3366.21,3186.00,3560.90,3455.97,2616.32,2073.01,3982.04
1956,2519.08,2474.58,2667.40,2556.73,2370.53,2268.69,2921.36
1957,2444.24,2301.81,2570.58,2515.25,2095.19,1818.34,3050.23
1958,1794.01,1781.02,1888.58,1814.76,1856.89,2047.68,2127.15
1959,2996.36,2900.13,3178.70,3055.45,2591.51,2277.65,3482.62
1960,2977.05,2830.08,3145.12,3053.49,2423.62,1931.56,3558.13
1961,4507.19,4332.22,4794.01,4604.08,3521.46,2596.41,5069.81
1962,3513.64,3404.33,3711.05,3578.25,2926.76,2395.83,3950.13
1963,3158.29,2958.73,3311.71,3251.92,2649.27,2245.93,3813.28
1964,2810.16,2707.09,2963.79,2869.28,2457.37,2081.49,3298.85
1965,3298.63,3041.04,3438.84,3410.52,2604.29,2027.87,4014.83
1966,2084.22,2000.76,2190.14,2131.81,1827.46,1627.55,2543.11
1967,2970.11,2883.11,3139.64,3023.61,2776.09,2775.87,3411.35
1968,2726.70,2728.34,2873.82,2746.22,2253.77,1711.38,2954.97
1969,2779.19,2617.85,2928.44,2859.19,2271.52,1918.72,3390.23
1970,3259.45,3122.05,3449.21,3332.51,2624.61,2013.89,3782.31
1971,3144.89,3084.49,3335.28,3191.42,2747.38,2443.88,3507.09
1972,3337.66,3251.72,3509.39,3390.35,2626.94,1872.84,3699.37
1973,2601.18,2460.34,2740.47,2671.84,2190.07,1849.44,3186.38
1974,2907.95,2870.26,3093.42,2945.57,2555.73,2134.50,3248.98
1975,3124.93,3165.42,3337.34,3137.98,3086.70,2958.93,3300.51
1976,3142.49,3062.36,3318.49,3195.27,2601.05,2105.65,3530.24
1977,2228.30,2265.47,2359.07,2234.42,2238.13,2190.00,2464.09
1978,1440.00,1389.13,1501.79,1471.60,1538.24,1781.06,1876.03
1979,1842.90,1892.29,1950.40,1841.97,1873.65,1858.73,2049.93
1980,1921.35,1891.00,2035.42,1950.81,1808.45,1769.97,2314.17
1981,2496.02,2459.40,2639.20,2528.70,2163.38,1826.43,2825.55
1982,2975.73,2973.86,3162.77,3000.11,2693.17,2313.16,3216.59
1983,2942.20,2918.95,3112.12,2973.91,2499.78,1942.96,3250.65
1984,2783.56,2738.80,2951.67,2822.76,2533.20,2294.95,3143.32
1985,2431.53,2372.06,2569.42,2473.77,2299.55,2326.29,2843.82
1986,2056.64,2028.82,2156.69,2082.53,2036.77,1924.26,2399.81
1987,3071.55,2986.62,3232.76,3124.38,2475.76,1707.36,3451.31
1988,3669.20,3566.18,3865.30,3730.57,2983.56,2508.70,4039.05
1989,3434.50,3326.81,3652.06,3500.58,2888.31,2729.77,3890.26
1990,2072.23,2071.61,2184.45,2089.10,2073.00,2115.67,2356.58
1991,2625.05,2576.24,2770.22,2663.89,2378.31,2138.22,2996.63
1992,1992.34,1960.41,2083.20,2019.04,1962.14,1790.87,2335.05
1993,1214.85,1213.58,1275.55,1229.24,1538.72,1665.68,1602.04
1994,1877.14,1862.48,1967.31,1897.99,1925.20,1777.31,2211.53
1995,1872.39,1839.01,1976.28,1900.89,1925.63,1907.87,2265.21
1996,2007.98,1973.52,2124.32,2039.20,2024.42,2041.95,2411.05
1997,2212.20,2166.06,2331.55,2246.94,2053.59,1776.13,2591.50
1998,2606.59,2551.22,2750.30,2647.04,2365.61,2141.13,2979.09
1999,2848.22,2773.24,3010.67,2897.39,2550.29,2394.82,3273.06
2000,2702.96,2636.57,2854.25,2747.96,2417.19,2191.79,3109.17
2001,2898.31,2824.11,3062.15,2947.16,2537.15,2226.41,3307.76
2002,2567.02,2509.90,2712.37,2608.97,2369.86,2218.43,2971.35
2003,2821.66,2759.77,2975.88,2865.87,2453.58,2067.81,3181.91
2004,1840.65,1803.98,1934.29,1870.11,1868.81,1848.33,2244.12
2005,2839.65,2771.00,3000.07,2886.44,2424.66,2019.81,3210.90
2006,2896.01,2815.77,3055.29,2945.67,2484.69,2031.87,3334.85
2007,3139.45,3051.33,3331.47,3196.46,2541.64,1916.96,3581.50
2008,2826.82,2756.37,2986.22,2874.04,2466.58,2156.09,3227.56
2009,2278.59,2221.42,2411.91,2319.78,2158.09,2151.87,2710.56
2010,2538.50,2483.27,2693.92,2580.68,2309.87,2101.61,2946.95
2011,2826.82,2756.37,2986.22,2874.04,2588.79,2528.12,3227.56
2012,2826.82,2756.37,2986.22,2874.04,2525.70,2322.89,3227.56
2013,2833.86,2763.11,2993.91,2881.23,2455.08,2088.53,3234.92
2014,2826.82,2756.37,2986.22,2874.04,2364.59,1805.73,3227.56
2015,2826.82,2756.37,2986.22,2874.04,2461.70,2116.09,3227.56
2016,2826.82,2756.37,2986.22,2874.04,2461.70,2126.46,3227.56
2017,2826.82,2756.37,2986.22,2874.04,2461.70,2113.82,3227.56
2018,2826.82,2756.37,2986.22,2874.04,2461.70,2124.50,3227.56
2019,2826.82,2756.37,2986.22,2874.04,2461.70,2114.81,3227.56
2020,2826.82,2756.37,2986.22,2874.04,2461.70,2119.33,3227.56
