Variable:,pr
,Algeria,Adrar,Ain-Defla,Ain-Temouchent,Alger,Annaba,Batna,Bechar,Bejaia,Biskra,Blida,"Bordj Bou Arrer",Bouira,Boumerdes,Chlef,Constantine,Djelfa,"El Bayadh","El Oued",El-Tarf,Ghardaia,Guelma,Illizi,Jijel,Khenchela,Laghouat,Mascara,Medea,Mila,Mostaganem,M'Sila,Naama,Oran,Ouargla,"Oum El Bouaghi",Relizane,Saida,Setif,"Sidi Bel Abbes",Skikda,Souk-Ahras,Tamanrasset,Tebessa,Tindouf,Tiaret,Tipaza,Tissemsilt,"Tizi Ouzou",Tlemcen
1911,91.97,8.39,517.03,423.91,600.16,651.19,513.05,78.21,677.35,303.26,607.58,627.73,655.30,650.35,440.88,669.74,376.37,222.73,158.29,635.67,77.41,690.49,15.17,700.39,443.66,305.62,396.11,595.81,654.56,361.20,497.50,330.68,340.81,46.86,623.12,383.49,444.77,626.89,453.18,701.84,670.86,17.79,453.27,44.20,438.95,546.84,498.89,679.20,468.88
1912,86.13,13.34,417.44,370.42,475.10,531.31,421.20,136.57,537.13,263.98,482.74,504.84,518.17,513.46,364.20,528.43,316.87,220.31,127.66,505.15,72.00,516.18,15.13,554.50,351.61,277.00,330.40,475.09,520.20,296.11,406.51,341.90,296.02,40.74,481.58,310.69,380.49,496.67,403.67,575.39,472.12,17.87,348.18,45.01,368.14,441.52,401.98,534.60,419.13
1913,64.53,9.52,286.65,221.72,347.78,519.10,326.85,64.01,431.95,200.41,351.79,384.80,393.32,395.23,243.13,481.62,243.15,147.63,115.69,504.00,67.72,517.30,15.06,457.90,307.03,207.37,197.37,347.52,421.96,187.62,304.09,185.15,176.53,41.68,440.90,207.83,222.70,374.95,226.57,533.21,492.36,17.71,337.12,38.80,243.97,292.16,284.46,419.21,250.99
1914,80.65,7.44,508.40,359.40,619.55,496.59,379.36,91.60,632.62,221.44,615.23,575.12,628.89,638.79,422.42,490.56,353.91,195.86,95.07,478.93,46.37,480.06,14.93,603.46,276.37,285.59,362.87,590.20,534.91,348.51,452.09,297.47,308.37,29.19,420.52,372.28,406.55,549.41,401.15,545.14,451.18,17.48,301.40,50.45,432.04,550.10,493.80,653.65,399.34
1915,83.26,7.98,578.60,366.63,682.59,784.65,522.98,63.25,710.28,268.04,667.75,648.56,681.43,705.11,488.92,708.24,333.33,144.24,126.95,794.73,33.86,765.98,15.33,736.70,444.90,222.01,382.60,626.11,676.61,395.50,483.65,239.29,344.03,32.05,646.25,417.08,388.12,645.72,366.30,771.54,759.15,19.30,475.61,42.67,434.25,624.13,544.63,728.33,380.03
1916,84.07,8.33,578.50,376.09,691.96,665.78,457.25,54.18,749.89,256.59,690.86,673.91,724.49,741.21,475.23,614.26,363.81,178.54,120.43,651.74,68.34,648.57,15.14,729.86,347.43,260.57,392.48,664.96,651.82,401.69,509.91,241.60,344.14,38.67,517.41,420.47,396.89,653.20,378.39,698.95,617.70,17.72,389.15,42.77,446.35,623.16,551.62,765.47,390.09
1917,82.22,8.42,554.09,400.88,603.16,594.05,399.67,102.49,610.37,222.83,601.53,537.26,574.10,611.14,476.09,544.93,298.53,175.87,117.42,598.10,56.23,589.00,15.19,611.77,347.06,218.63,406.38,564.19,545.26,421.25,407.29,313.58,372.20,36.13,487.19,430.52,393.68,525.40,409.92,598.97,583.63,17.95,390.15,42.89,419.41,596.81,526.73,619.35,421.54
1918,89.57,12.93,637.88,412.56,696.19,623.99,445.94,87.38,681.78,251.15,699.94,620.06,674.57,696.10,546.80,600.70,370.78,185.36,126.84,622.65,64.45,630.25,15.19,684.64,368.99,283.29,445.55,667.61,608.34,457.98,479.05,262.97,401.40,41.16,540.79,482.69,451.06,603.21,418.66,644.68,632.72,17.74,427.18,47.60,506.74,685.56,618.08,709.26,420.79
1919,72.26,9.44,445.62,301.70,501.48,724.60,438.97,76.40,601.76,211.72,500.55,532.97,542.65,548.01,378.75,664.88,264.55,127.20,86.34,711.11,33.27,701.93,15.06,677.46,370.90,180.75,301.89,485.31,627.72,312.28,384.69,209.63,283.51,24.98,577.81,330.46,306.82,556.12,297.53,723.93,666.54,17.46,392.27,43.06,342.41,463.47,430.26,585.37,321.70
1920,63.89,5.66,438.16,311.15,492.54,581.84,345.40,64.26,483.75,178.34,471.58,426.73,441.16,484.66,387.23,452.15,226.07,118.92,86.07,607.22,24.72,533.37,15.07,515.19,296.62,153.73,304.70,424.27,444.05,336.20,320.66,221.81,300.72,25.57,424.57,343.18,284.43,424.17,288.80,527.89,559.59,17.50,336.62,42.96,322.38,486.77,411.10,489.20,307.99
1921,81.99,8.02,512.64,402.83,618.48,743.76,480.08,96.65,684.41,234.88,605.08,612.79,639.91,656.78,438.94,674.32,310.76,146.79,110.93,740.32,31.74,743.85,15.15,718.35,402.45,203.96,380.17,574.18,657.52,394.91,448.05,282.45,365.39,30.31,610.35,394.25,366.26,620.53,388.96,730.69,738.65,17.65,458.22,40.22,395.28,556.07,496.17,688.08,416.40
1922,69.70,9.27,342.46,352.97,390.54,511.47,320.98,81.46,451.68,201.08,382.02,399.97,407.84,424.93,325.20,457.82,228.83,180.59,102.12,499.76,64.80,474.08,15.10,465.71,272.99,208.96,320.65,364.62,419.30,290.27,306.17,260.96,293.46,36.35,402.61,295.82,355.90,393.50,370.84,500.68,451.43,17.54,284.80,41.29,303.66,370.47,340.81,446.17,392.78
1923,91.38,11.74,556.50,404.99,616.13,715.66,442.69,81.66,636.71,272.67,617.33,582.67,616.59,628.64,486.90,579.65,397.27,234.09,118.47,727.38,103.40,639.43,15.15,652.77,349.84,354.12,415.30,595.48,571.12,404.46,471.15,304.80,364.72,46.41,511.95,436.93,433.90,563.29,425.55,681.62,626.22,18.90,359.68,39.31,461.89,583.18,550.22,644.71,431.01
1924,67.42,8.00,419.33,363.42,464.58,594.72,265.58,56.77,457.98,169.32,457.23,399.89,432.49,461.71,386.41,413.74,262.96,174.49,70.97,618.19,70.40,527.51,14.22,473.62,206.65,234.74,343.12,425.76,414.49,345.68,313.31,230.11,336.96,32.53,338.33,351.84,343.66,387.19,346.28,527.76,512.09,17.41,250.60,39.07,349.32,450.63,411.35,466.78,355.86
1925,81.38,9.14,567.36,349.09,629.90,591.29,452.12,65.49,660.75,244.82,635.60,608.98,649.24,654.77,472.25,567.70,353.16,184.77,93.97,581.34,55.84,580.98,13.64,673.63,343.58,272.97,372.70,615.57,607.68,366.54,470.03,279.99,319.12,29.19,512.24,408.01,409.37,600.06,394.82,623.86,569.28,17.66,358.54,39.39,447.01,594.66,550.36,676.11,400.10
1926,51.43,5.27,362.84,294.13,392.98,533.23,264.89,34.41,410.42,132.62,382.10,358.26,367.15,393.52,347.25,409.49,193.50,99.81,54.36,544.04,21.69,472.19,10.55,466.27,210.73,141.28,289.71,354.98,417.93,303.20,262.93,172.86,284.44,17.69,342.95,305.70,281.61,367.98,284.20,499.12,458.48,10.84,239.81,40.00,308.36,399.35,367.82,404.97,305.77
1927,82.71,11.18,504.97,362.61,549.51,564.49,423.58,78.57,576.85,279.43,562.21,542.84,572.85,571.91,420.69,537.38,370.17,192.49,116.86,545.23,91.58,543.32,14.46,567.59,319.36,306.04,350.13,553.75,522.98,351.17,457.07,227.22,324.61,43.19,469.78,373.28,363.59,521.10,352.56,589.39,503.15,17.82,305.15,44.11,407.55,530.59,485.07,585.04,374.53
1928,93.16,8.73,604.47,418.96,692.78,783.25,507.13,68.47,770.00,279.85,697.45,700.41,732.02,739.08,544.69,701.68,378.75,194.18,132.69,776.91,61.86,748.65,18.78,805.13,392.54,277.48,440.57,673.18,724.96,446.14,529.63,308.64,391.14,41.94,600.02,484.87,443.82,700.45,430.31,799.77,718.72,25.06,412.69,38.85,480.69,639.47,593.07,768.03,443.26
1929,85.16,8.10,627.41,403.72,652.11,661.43,442.36,35.22,669.28,248.23,681.59,611.79,672.71,667.36,517.14,616.88,378.42,183.68,106.65,657.56,56.66,656.07,11.39,689.08,350.03,290.13,422.81,676.22,620.83,406.05,484.05,268.20,358.19,30.64,534.23,457.63,460.58,595.62,433.10,681.09,645.38,28.90,392.07,36.89,501.45,633.75,616.77,684.65,432.52
1930,74.33,7.99,516.73,367.17,548.41,658.13,380.99,65.66,574.05,198.08,558.16,515.56,544.91,558.35,441.47,562.68,281.01,153.14,79.07,655.80,40.35,620.64,13.98,627.94,300.19,210.75,364.85,538.17,556.07,369.85,391.31,238.16,334.29,29.16,479.15,390.27,372.87,510.80,366.83,658.05,596.84,21.83,312.00,42.56,399.03,543.10,497.89,573.20,376.71
1931,73.45,5.71,553.19,302.84,628.55,736.06,464.46,44.76,698.86,268.84,641.78,621.93,667.86,680.49,454.14,677.64,339.62,123.61,141.14,714.72,38.04,719.93,7.32,722.42,400.84,221.14,313.50,625.59,649.85,346.41,475.72,183.93,291.83,33.64,586.86,385.06,308.68,604.58,287.44,764.41,680.82,11.73,413.05,32.46,391.97,579.57,517.97,700.60,289.35
1932,77.94,9.19,473.69,382.00,458.78,428.52,303.82,60.89,404.62,213.16,458.98,370.97,400.44,432.99,395.82,374.23,292.89,205.88,117.94,453.35,92.22,414.94,11.38,395.03,270.05,288.81,365.28,427.04,343.55,353.26,319.88,265.02,358.94,47.18,369.53,347.26,378.09,346.02,385.37,393.93,446.10,34.95,305.40,37.26,369.75,500.91,434.74,424.88,394.07
1933,93.00,11.52,541.59,517.10,589.95,546.90,430.43,87.20,572.78,281.37,591.53,535.17,570.47,595.41,474.84,497.47,362.56,286.16,134.87,531.68,107.81,540.29,11.70,538.97,358.36,345.93,493.14,565.45,487.15,436.73,446.80,429.50,457.66,47.74,468.83,433.17,545.67,504.53,570.83,552.60,524.43,13.80,356.98,41.66,463.97,583.87,527.54,599.04,575.80
1934,94.74,11.13,656.97,428.34,702.89,847.72,546.10,51.38,761.71,325.19,726.60,693.75,740.54,744.23,543.28,762.58,421.16,197.73,156.24,823.91,93.56,815.26,14.12,809.39,448.43,325.14,430.21,714.84,737.72,431.47,544.14,264.27,387.72,48.65,661.88,473.41,454.03,694.89,437.12,854.86,774.07,16.40,480.84,35.98,509.49,671.14,640.30,772.44,444.89
1935,83.19,10.16,632.74,373.90,701.24,728.01,498.83,58.98,786.95,264.94,724.17,717.77,766.14,767.97,528.57,682.87,377.16,170.07,93.65,686.41,58.83,699.92,13.39,756.98,351.45,260.95,391.20,717.03,686.65,400.24,543.11,245.12,336.05,28.02,554.12,467.76,413.68,693.16,382.50,780.02,630.47,14.26,342.60,28.09,481.40,644.22,615.74,799.68,374.81
1936,78.79,8.92,723.87,511.82,723.88,579.63,376.13,58.93,658.65,207.27,727.28,573.66,631.08,691.14,661.76,498.54,327.58,153.20,96.64,596.20,39.63,552.23,8.58,639.97,288.72,227.80,507.89,668.59,543.82,534.45,427.81,284.94,458.63,29.71,432.66,594.73,472.02,550.20,477.18,577.43,569.59,16.65,324.04,27.45,538.62,755.62,702.93,690.44,513.69
1937,54.58,5.80,339.71,328.87,357.06,448.21,255.47,38.86,355.46,149.92,352.60,322.44,331.13,351.34,350.83,346.56,208.33,129.32,62.24,456.85,29.98,394.41,10.91,366.68,205.65,181.58,317.28,332.48,327.15,319.25,255.12,214.33,293.54,19.18,299.75,325.82,327.25,315.87,332.42,416.03,395.01,17.78,220.92,25.58,324.57,359.61,361.33,357.68,359.88
1938,78.14,8.33,450.23,340.12,523.81,562.17,417.94,74.10,562.53,266.86,524.86,527.40,551.15,553.28,391.70,534.04,326.82,182.01,132.33,545.29,70.46,564.75,15.70,566.38,340.00,263.22,336.51,513.21,525.41,331.86,427.27,250.54,317.72,39.78,471.58,349.49,359.99,513.05,347.44,590.12,530.76,16.30,347.63,35.62,378.15,477.24,446.22,566.99,354.48
1939,82.15,7.71,585.37,305.76,625.91,767.14,473.51,46.22,691.23,230.76,656.81,633.09,681.65,674.94,459.94,679.80,348.43,152.54,90.58,771.26,50.85,739.41,20.09,721.61,377.47,254.11,326.04,660.27,657.38,332.85,476.07,212.21,261.53,28.19,607.20,395.59,372.75,617.00,336.36,757.71,735.67,28.12,424.59,31.02,456.41,583.10,578.43,706.96,341.59
1940,72.37,6.17,405.74,352.69,447.18,690.86,420.23,56.73,539.85,222.74,452.72,487.87,487.30,488.98,390.01,623.78,264.51,169.29,107.39,672.91,39.80,663.43,10.08,618.66,363.06,217.93,356.09,442.42,581.85,330.36,362.64,277.19,303.91,28.63,552.95,352.98,389.61,500.77,389.36,694.34,632.76,18.54,382.03,31.66,359.86,428.31,415.15,526.61,397.80
1941,77.73,10.42,408.53,367.04,469.30,584.93,394.70,75.83,530.82,234.31,476.71,490.61,513.56,508.92,369.49,550.42,316.74,202.98,99.62,573.11,82.77,573.79,13.06,560.52,323.71,282.43,345.62,473.53,526.63,318.81,394.66,281.83,314.54,33.29,480.44,334.92,378.92,486.12,390.54,607.44,537.87,15.79,337.04,37.02,361.80,420.99,419.33,529.12,410.51
1942,74.96,9.48,465.99,350.90,527.99,577.77,352.76,80.24,561.90,214.61,527.61,502.55,533.24,551.96,398.51,482.73,291.45,167.65,96.83,577.41,61.04,542.21,10.73,552.16,261.14,228.76,331.35,503.69,491.47,333.83,392.34,241.97,322.93,35.50,399.50,351.61,335.80,482.35,337.80,572.27,511.08,22.38,275.71,44.09,358.61,500.81,441.41,565.36,358.75
1943,99.42,14.25,633.02,513.31,651.33,511.45,452.12,94.18,632.35,290.84,658.79,582.05,619.02,650.10,553.51,516.35,371.72,265.21,153.57,491.89,98.79,523.49,17.42,588.00,366.86,333.18,493.14,621.76,524.63,476.38,469.60,405.55,448.17,48.93,486.63,491.66,530.39,549.46,552.44,556.46,502.71,29.27,359.81,36.39,488.98,679.63,591.20,655.28,557.94
1944,59.06,6.37,400.48,256.53,501.62,639.56,301.43,40.50,474.77,149.30,466.79,392.95,429.19,486.16,344.02,509.76,218.13,125.00,63.65,660.29,38.14,582.26,8.90,541.98,270.31,176.15,264.84,407.48,466.30,275.89,287.45,173.44,234.18,26.28,445.57,296.54,271.64,398.06,264.17,587.24,603.48,13.77,317.43,47.25,307.07,432.09,381.95,484.05,277.71
1945,53.56,6.32,320.86,225.47,352.42,460.87,250.08,37.33,420.43,126.47,348.61,368.95,373.19,383.64,315.63,388.82,184.71,114.15,54.91,451.42,39.87,425.94,29.29,451.18,189.32,145.68,240.92,335.55,392.00,264.25,262.25,158.47,219.39,26.05,313.31,282.32,240.05,372.93,225.55,450.12,413.91,14.94,209.17,31.10,272.58,349.35,322.74,405.75,231.51
1946,76.10,8.02,520.42,400.38,548.89,594.88,369.23,70.94,564.25,217.78,549.26,499.52,531.74,554.65,468.53,511.60,308.01,151.59,99.69,598.65,52.97,543.45,12.16,587.15,298.51,240.29,392.20,522.72,506.39,423.33,388.90,222.96,397.20,34.02,442.54,427.58,369.33,490.31,356.52,585.79,531.37,21.86,323.02,46.29,421.27,562.42,505.17,564.31,375.15
1947,57.03,7.50,511.41,304.16,563.10,435.46,262.92,39.04,534.15,139.88,553.45,459.98,505.89,553.52,435.92,358.37,244.18,97.51,47.22,437.42,21.24,388.12,6.35,521.21,175.87,158.81,297.83,506.57,428.38,347.14,336.69,160.80,293.89,14.21,286.42,370.29,279.32,439.13,275.47,448.17,388.96,22.21,194.15,31.15,362.64,552.60,481.03,552.01,299.85
1948,74.01,7.88,499.49,463.46,492.57,626.09,379.51,79.78,529.04,204.15,506.88,480.96,502.27,509.37,465.96,528.46,263.45,157.38,91.53,645.32,31.97,593.82,11.65,539.48,315.19,199.97,440.07,492.58,492.88,439.35,360.58,284.14,451.46,25.80,479.43,428.37,426.63,474.93,439.19,584.16,590.02,18.36,343.94,35.99,406.87,513.10,490.90,532.73,449.75
1949,81.13,11.76,496.83,463.97,495.34,610.54,373.97,93.52,534.10,208.66,502.64,481.59,504.51,517.43,429.30,536.46,272.91,200.09,108.27,619.55,60.38,603.34,19.36,542.71,314.30,235.12,424.85,488.02,489.57,406.67,370.63,340.52,441.55,32.91,470.56,380.23,441.97,470.24,478.48,583.38,610.74,18.37,358.73,34.53,389.47,529.29,465.66,536.04,497.05
1950,83.21,10.65,490.46,465.38,521.37,614.58,378.39,64.12,536.22,226.14,524.75,496.43,538.96,529.79,458.37,518.74,323.32,202.52,102.41,636.91,60.06,578.85,14.25,557.57,299.95,278.86,467.40,509.00,503.99,456.95,404.97,324.56,439.35,34.47,445.59,462.19,475.58,479.41,478.67,584.65,580.02,27.50,341.28,34.84,457.96,518.50,486.43,538.55,497.34
1951,92.43,10.05,531.25,365.04,591.12,609.20,447.94,104.80,635.81,270.61,591.07,584.99,600.89,618.93,470.62,600.48,348.16,239.30,122.17,588.21,83.64,581.31,15.47,648.82,339.72,303.97,397.74,564.94,589.81,409.88,463.03,332.00,359.98,38.33,513.79,430.88,405.28,570.93,399.88,660.80,543.82,25.96,352.67,58.99,438.92,561.87,509.80,641.59,396.90
1952,84.43,14.11,534.04,371.55,575.34,799.49,495.27,76.98,668.79,239.84,586.55,612.89,604.04,605.88,458.15,732.25,324.61,183.56,92.19,787.59,66.59,768.67,14.32,745.49,381.79,254.67,382.49,571.67,690.37,387.22,448.16,273.11,350.21,30.02,619.19,403.79,398.46,630.69,382.87,807.24,742.40,19.56,411.22,28.05,428.79,554.65,526.65,651.88,395.79
1953,95.93,15.16,482.68,334.37,506.91,827.47,496.83,127.12,567.41,278.05,519.92,519.84,506.95,530.44,426.14,659.29,297.33,220.71,154.47,859.63,91.13,773.14,17.37,662.24,477.32,254.68,361.49,505.07,617.93,367.56,382.13,299.10,329.17,48.96,637.08,380.37,372.63,546.27,363.34,756.21,797.72,27.57,518.97,63.50,383.39,502.47,476.47,554.25,362.79
1954,84.98,9.52,651.74,475.52,691.82,730.13,404.92,75.62,709.39,204.68,704.36,609.33,668.49,718.46,569.42,613.92,321.44,191.08,92.70,709.69,48.71,652.01,14.85,683.87,298.57,234.90,489.58,675.71,592.36,498.84,449.24,299.64,453.92,28.97,485.49,519.36,487.33,581.56,464.69,706.83,628.51,19.90,328.42,41.89,511.51,664.48,634.73,734.22,475.37
1955,85.39,12.11,582.48,394.31,597.46,698.96,427.74,116.04,616.82,228.61,608.22,563.53,582.63,611.73,486.51,629.39,326.72,207.88,94.73,691.10,60.95,658.15,8.41,655.59,330.11,273.60,426.61,589.05,603.49,425.64,427.69,306.96,381.22,29.40,541.96,444.41,441.38,560.72,415.55,696.71,642.47,13.93,361.73,44.02,466.93,594.90,566.85,615.76,426.86
1956,82.27,9.70,613.53,439.85,643.79,769.10,427.39,64.38,637.36,227.51,648.29,567.17,610.37,666.54,537.25,645.68,307.23,155.60,99.41,776.62,46.71,708.29,12.71,688.74,339.92,235.75,469.65,611.51,612.49,482.36,419.93,238.09,435.31,33.58,537.27,490.32,453.54,548.98,410.22,743.35,700.75,21.37,372.23,51.58,464.29,628.45,590.21,654.35,423.99
1957,106.37,15.34,566.73,458.41,635.85,787.40,535.54,91.16,696.38,332.99,630.42,638.70,643.31,667.73,520.11,709.63,382.28,234.33,177.90,776.90,82.30,755.66,19.54,746.82,502.11,322.27,474.27,597.57,674.17,486.28,494.09,344.06,449.20,51.75,683.06,490.74,469.76,648.04,465.75,776.35,750.39,41.81,551.82,42.82,479.00,622.01,548.45,690.76,476.62
1958,86.64,16.52,517.22,376.03,584.81,653.23,417.79,109.71,620.35,266.70,575.59,546.72,556.60,612.49,469.89,556.19,306.37,213.50,142.55,658.78,88.57,597.59,7.88,627.53,361.24,255.56,397.65,537.00,546.36,412.86,406.78,293.09,370.41,47.61,495.25,421.81,391.83,541.99,383.35,632.55,590.07,18.14,378.83,34.32,397.17,556.44,486.95,617.24,394.25
1959,81.93,7.82,576.88,362.81,630.21,842.49,464.93,71.17,705.27,220.30,642.16,618.75,652.87,664.16,476.18,720.87,319.33,191.55,92.42,863.48,32.36,780.88,16.20,736.75,360.55,233.19,380.26,624.57,673.88,390.87,448.48,303.49,346.56,23.67,613.30,414.27,402.43,619.92,395.56,795.27,793.91,14.89,432.40,38.59,440.61,606.16,561.95,724.89,388.84
1960,81.18,10.26,515.41,368.72,556.77,507.12,396.24,91.67,582.67,221.14,566.75,558.14,582.67,574.40,422.71,517.03,340.96,180.58,93.55,504.90,61.05,524.03,26.34,567.04,306.32,267.15,354.55,551.37,516.81,355.15,436.51,268.82,339.92,30.42,471.98,371.07,364.04,534.67,368.59,536.71,513.72,19.38,334.21,40.52,387.73,547.48,494.63,588.99,385.96
1961,58.83,10.26,427.89,234.07,457.99,384.26,260.73,61.66,396.50,140.67,468.00,371.25,402.87,448.14,362.97,349.97,231.05,137.83,64.61,392.31,63.48,372.74,12.09,378.56,200.72,188.00,272.87,441.44,351.05,298.56,288.71,177.42,233.98,29.27,325.07,318.74,255.78,353.36,242.09,375.19,373.13,14.13,240.81,31.06,314.80,461.21,403.16,418.15,249.73
1962,91.08,10.79,624.76,451.86,640.10,705.98,466.89,75.12,665.00,275.44,647.53,609.61,642.65,635.53,520.36,639.07,379.35,223.24,128.51,693.29,69.19,685.68,13.05,672.78,396.29,315.48,458.59,632.00,603.92,446.85,477.91,326.33,425.73,41.47,567.84,467.50,473.44,595.15,465.92,710.74,659.64,17.77,414.58,42.81,488.20,651.33,609.78,661.41,460.96
1963,90.35,9.35,558.91,537.83,557.45,695.34,460.76,77.63,580.51,263.86,583.88,540.93,569.46,565.33,478.34,648.89,366.87,219.58,123.12,703.60,72.97,704.45,13.20,631.61,406.94,318.76,507.39,585.17,590.04,462.57,431.67,362.39,488.70,39.73,593.79,472.99,537.56,549.21,545.29,688.41,721.61,12.13,465.16,49.40,512.55,565.23,568.89,585.38,582.08
1964,79.69,12.01,507.87,405.84,531.26,606.63,407.48,80.25,559.82,244.08,530.28,495.17,522.18,552.64,444.08,527.76,284.62,180.91,144.58,620.08,52.93,589.12,13.93,578.62,384.79,225.28,398.90,508.58,513.81,393.19,372.44,288.00,378.83,40.14,508.15,412.01,409.80,490.56,411.39,592.01,595.22,13.90,425.86,41.99,414.39,514.39,494.45,557.73,416.62
1965,75.98,9.04,406.75,413.21,451.18,656.12,403.49,81.47,533.59,238.12,451.79,476.26,466.08,477.84,349.82,562.45,265.28,149.84,122.95,660.96,60.53,623.92,10.29,591.15,356.07,208.05,362.37,436.40,532.78,331.14,347.81,257.43,364.24,36.16,505.42,332.64,387.59,484.95,393.84,635.09,617.02,18.08,388.99,54.31,342.27,426.43,405.38,504.52,436.99
1966,73.47,12.32,506.36,284.97,563.63,563.84,358.70,72.74,535.39,187.24,563.77,495.84,520.90,574.36,416.65,508.75,288.77,123.60,75.89,571.10,60.52,535.89,24.31,562.40,251.01,219.31,333.49,529.08,518.85,357.71,378.66,157.80,297.64,30.54,441.54,367.64,305.42,493.58,274.36,557.41,529.86,22.43,293.18,52.61,365.98,540.53,480.95,543.84,267.70
1967,81.47,11.15,541.11,451.35,562.48,538.32,388.36,88.13,584.84,234.95,573.67,505.01,551.65,577.32,484.97,468.38,291.95,145.62,114.26,526.01,44.52,503.99,16.94,553.03,330.96,207.06,442.97,558.40,476.78,439.41,389.50,249.22,422.79,32.59,416.58,443.92,440.71,489.32,419.41,535.61,499.85,22.85,339.71,73.27,432.89,566.82,525.33,596.99,442.07
