Variable:,pr
,Switzerland,Aargau,"Appenzell Ausser-rhoden","Appenzell Inner-rhoden",Basel-landschaft,Basel-stadt,Bern,Fribourg,Geneve,Glarus,Graubunden,Jura,Luzern,Neuchatel,Nidwalden,Obwalden,"Sankt Gallen",Schaffhausen,Schwyz,Solothurn,Thurgau,Ticino,Uri,Valais,Vaud,Zug,Zurich
1915,1663.86,1236.87,1349.26,1332.42,1183.77,1157.90,1571.11,1403.06,955.76,1819.83,2154.88,1204.05,1408.33,1233.30,2033.30,2037.50,1416.11,1053.66,1498.27,1193.57,993.28,1900.54,2211.59,2023.61,1336.26,1246.37,1187.58
1916,1983.52,1407.27,1619.50,1603.25,1384.14,1353.10,1809.48,1609.57,1081.58,2273.43,2698.15,1394.06,1607.46,1427.93,2384.82,2373.20,1718.08,1213.60,1828.44,1391.23,1151.84,2368.84,2735.83,2341.11,1532.86,1465.31,1400.64
1917,1561.88,1174.13,1294.35,1283.17,1192.78,1149.20,1509.74,1367.60,970.02,1714.83,1974.48,1211.81,1327.57,1217.25,1825.43,1824.00,1355.98,1001.82,1420.81,1206.30,951.72,1743.13,2012.30,1858.04,1289.81,1195.10,1142.35
1918,1565.81,1117.42,1268.76,1256.51,1090.45,1043.90,1503.60,1359.97,948.35,1702.92,1970.63,1098.85,1306.06,1167.53,1943.41,1958.40,1331.59,957.73,1399.95,1101.37,914.09,1786.53,2050.32,1956.54,1293.38,1160.07,1105.48
1919,1634.44,1128.31,1374.36,1355.33,1080.96,1043.00,1527.90,1387.04,969.22,1850.78,2209.49,1119.53,1325.11,1197.11,2014.21,2017.50,1439.95,974.07,1495.61,1096.83,940.53,1855.73,2224.07,1944.85,1319.25,1205.77,1148.19
1920,1429.64,929.23,1106.91,1087.97,882.78,888.50,1221.75,1077.84,782.26,1604.39,2000.56,887.61,1060.98,943.74,1646.55,1634.00,1183.84,807.09,1258.08,880.12,774.40,1810.33,1934.59,1902.50,1084.96,980.69,937.73
1921,1074.01,841.86,1006.82,995.38,793.14,745.60,1001.97,854.03,559.46,1259.03,1421.16,779.80,948.14,756.79,1319.70,1316.60,1036.29,730.09,1049.36,801.03,703.46,1172.66,1464.22,1209.69,801.92,888.52,846.19
1922,2011.80,1553.41,1740.68,1720.91,1462.02,1428.10,1906.37,1712.78,1165.26,2298.09,2640.14,1473.99,1748.02,1491.75,2482.29,2482.50,1821.55,1365.35,1926.21,1472.13,1291.41,2242.44,2725.28,2239.16,1583.20,1617.48,1550.40
1923,1615.98,1219.06,1323.70,1307.62,1192.96,1158.50,1587.61,1479.13,1038.86,1764.72,2015.01,1243.79,1393.19,1293.68,1983.27,1990.00,1385.84,1028.38,1487.82,1211.81,950.19,1725.14,2135.67,1921.56,1385.64,1248.99,1187.52
1924,1513.97,1096.27,1278.43,1263.00,1050.70,1029.00,1403.26,1241.93,865.40,1727.65,1972.49,1054.13,1258.47,1094.58,1881.49,1888.60,1345.67,961.37,1397.63,1054.96,929.46,1773.69,2037.44,1816.79,1185.10,1149.95,1101.59
1925,1477.46,1156.46,1209.23,1198.74,1140.71,1130.10,1435.67,1256.53,823.00,1644.34,1861.69,1152.73,1294.49,1118.37,1826.52,1829.00,1274.27,975.93,1376.52,1145.67,904.60,1643.56,1990.26,1732.26,1157.64,1153.89,1101.40
1926,1668.91,1135.14,1373.07,1359.14,1085.21,1058.80,1503.50,1353.85,970.40,1878.82,2259.26,1101.49,1315.50,1167.25,1986.48,1984.40,1447.00,998.35,1489.70,1094.49,982.21,2054.79,2228.40,2049.42,1314.81,1197.62,1146.99
1927,1748.12,1286.33,1455.91,1440.55,1212.48,1218.90,1639.64,1474.03,1037.88,1960.34,2252.66,1217.34,1463.45,1274.13,2171.61,2179.70,1529.30,1109.43,1605.02,1211.08,1064.16,2011.01,2348.02,2114.64,1403.66,1325.67,1266.76
1928,1664.23,1140.92,1343.25,1327.36,1130.67,1076.00,1557.73,1413.49,1014.36,1870.30,2184.55,1145.95,1343.11,1230.58,2070.88,2075.80,1418.02,970.69,1500.31,1144.16,913.56,1950.35,2284.15,2041.93,1368.77,1195.55,1137.73
1929,1300.16,947.36,1092.03,1080.42,924.40,905.20,1232.03,1086.32,765.94,1459.84,1659.94,907.13,1090.87,946.54,1632.64,1641.50,1144.73,824.76,1192.75,922.21,802.61,1518.27,1752.17,1558.88,1029.75,979.19,938.91
1930,1798.93,1382.79,1494.94,1481.08,1350.94,1323.70,1794.65,1637.52,1156.44,1895.58,2079.61,1388.06,1579.28,1445.54,2245.11,2272.00,1547.33,1176.44,1612.35,1364.95,1127.40,1965.03,2272.97,2239.93,1564.84,1391.17,1327.17
1931,1646.37,1273.09,1393.57,1376.50,1272.44,1274.00,1572.53,1383.29,991.01,1850.30,2131.43,1268.64,1419.46,1263.89,1997.83,1995.40,1456.61,1080.06,1518.90,1269.60,1029.46,1840.01,2216.10,1882.22,1322.68,1261.83,1208.03
1932,1509.49,1105.05,1245.37,1232.28,1099.40,1087.50,1451.89,1304.87,902.37,1648.24,1838.17,1108.99,1265.48,1164.04,1860.52,1874.60,1302.24,938.34,1351.54,1101.73,898.01,1723.97,1960.43,1903.99,1262.50,1126.82,1075.57
1933,1441.50,1055.24,1271.92,1257.40,1026.08,974.60,1325.49,1162.87,803.41,1657.31,1915.18,988.76,1203.36,1004.41,1725.54,1722.30,1325.20,919.99,1357.89,1027.34,904.96,1703.21,1926.59,1693.86,1090.51,1124.79,1074.66
1934,1455.22,968.22,1207.44,1191.34,913.84,879.60,1268.14,1091.91,771.52,1682.94,2020.84,912.31,1128.21,953.56,1755.17,1750.00,1278.62,867.32,1333.79,920.12,858.64,1840.23,2002.20,1814.23,1077.65,1055.33,1012.08
1935,1838.76,1296.79,1487.41,1467.74,1294.25,1249.00,1756.85,1579.62,1167.20,2016.73,2365.86,1340.11,1516.18,1418.85,2276.85,2287.10,1560.01,1082.77,1648.27,1312.09,1031.19,2096.28,2464.03,2251.68,1539.07,1339.92,1271.23
1936,1703.24,1280.99,1394.17,1379.90,1250.15,1235.90,1630.84,1406.21,934.82,1863.91,2107.88,1236.52,1454.28,1231.08,2112.95,2121.70,1459.76,1081.95,1548.75,1249.21,1028.05,1975.92,2272.08,2130.42,1330.32,1288.10,1227.95
1937,1705.87,1204.54,1360.66,1344.82,1188.06,1177.30,1557.24,1393.02,980.74,1910.89,2278.38,1173.74,1376.67,1224.42,2038.18,2030.50,1441.87,1020.17,1538.81,1184.14,958.58,2065.48,2320.62,2093.28,1337.69,1236.07,1177.40
1938,1447.91,1125.36,1212.36,1202.18,1107.11,1095.90,1384.74,1185.59,801.76,1627.88,1786.80,1089.88,1259.43,1059.30,1787.45,1792.00,1275.31,995.77,1361.80,1104.65,923.84,1649.58,1933.04,1743.47,1119.78,1146.19,1105.23
1939,1918.82,1501.89,1642.76,1628.04,1501.71,1482.30,1843.36,1636.99,1090.89,2187.06,2434.26,1502.86,1674.58,1453.97,2316.77,2316.30,1727.36,1319.66,1818.30,1505.89,1256.13,2129.20,2540.57,2191.32,1498.60,1538.61,1480.59
1940,1801.58,1388.80,1652.13,1636.54,1311.97,1258.60,1724.75,1542.63,1111.73,2055.80,2264.09,1286.38,1584.30,1345.36,2276.59,2291.40,1701.01,1224.21,1728.17,1315.07,1188.67,2003.67,2397.44,2037.51,1447.75,1470.43,1407.81
1941,1490.10,1060.46,1312.31,1298.02,1014.84,1001.80,1328.17,1156.44,924.25,1711.65,1971.37,1060.71,1197.29,1106.96,1782.17,1783.40,1369.33,955.42,1375.54,1025.21,960.11,1776.45,1967.96,1798.58,1184.80,1129.47,1089.55
1942,1383.95,1049.56,1225.32,1212.76,1008.53,973.30,1300.98,1131.29,786.74,1581.30,1787.18,1005.73,1188.78,1002.15,1683.64,1686.90,1275.64,925.68,1313.03,1015.05,897.23,1579.81,1825.59,1611.65,1064.99,1109.69,1063.51
1943,1254.26,891.79,1045.45,1030.35,862.11,832.50,1184.62,1083.62,788.37,1369.82,1596.91,905.71,1031.77,961.75,1539.40,1548.00,1087.57,760.74,1128.27,878.11,730.18,1434.51,1647.63,1549.45,1053.93,930.93,886.21
1944,1634.77,1221.67,1545.61,1527.34,1130.26,1084.70,1516.86,1365.37,974.02,1937.25,2194.53,1142.57,1388.84,1201.75,2014.00,2016.00,1596.41,1114.57,1615.56,1140.43,1087.08,1776.50,2206.08,1799.75,1278.54,1353.88,1302.84
1945,1460.47,1049.63,1334.23,1318.13,1002.64,952.30,1346.03,1161.15,744.99,1728.85,1985.25,966.32,1215.80,980.06,1811.03,1814.50,1388.04,941.06,1402.23,1003.90,922.18,1714.18,1986.48,1663.21,1054.30,1152.47,1105.88
1946,1514.01,1096.38,1196.36,1184.06,1063.63,1037.30,1448.16,1290.86,885.87,1655.67,1894.58,1053.82,1273.19,1102.25,1887.23,1896.40,1264.75,918.68,1356.55,1066.29,872.37,1763.51,2027.86,1901.90,1220.66,1116.44,1058.98
1947,1392.41,914.11,1150.82,1140.33,869.15,830.20,1238.62,1124.64,854.07,1599.70,1916.91,897.44,1073.30,992.99,1654.67,1649.30,1217.84,799.95,1255.21,882.36,799.89,1701.68,1890.78,1709.97,1130.04,992.39,946.73
1948,1538.99,1112.92,1222.79,1209.80,1086.41,1073.30,1461.77,1320.90,953.75,1690.32,1970.87,1140.61,1280.52,1182.78,1906.47,1914.90,1292.48,941.98,1375.10,1101.37,889.98,1771.81,2056.10,1878.65,1272.62,1128.43,1074.69
1949,1200.07,799.29,994.37,985.20,760.73,706.20,1076.99,956.62,672.34,1367.65,1645.54,759.93,945.95,796.89,1450.64,1450.50,1049.61,700.34,1095.53,772.23,675.20,1518.49,1621.58,1454.23,907.86,878.44,836.56
1950,1625.24,1202.26,1307.46,1294.48,1187.44,1146.60,1567.76,1406.65,962.69,1804.68,2072.29,1209.20,1388.11,1237.08,2022.56,2029.20,1382.33,1008.46,1492.07,1201.10,948.48,1865.38,2191.19,1909.97,1311.26,1233.41,1170.94
1951,1754.90,1205.06,1259.88,1251.54,1261.65,1214.20,1641.85,1470.01,1088.68,1872.46,2246.89,1298.55,1397.04,1356.17,2082.18,2080.60,1357.17,988.95,1512.29,1276.93,900.48,2168.05,2337.10,2241.76,1451.81,1202.48,1142.06
1952,1799.92,1329.84,1487.46,1471.90,1300.90,1255.80,1774.42,1628.05,1139.12,1980.63,2252.32,1345.71,1551.60,1431.34,2266.46,2280.50,1555.46,1122.17,1653.38,1319.71,1057.68,2011.72,2408.95,2077.09,1519.48,1375.61,1306.21
1953,1194.99,848.34,1026.72,1018.70,822.51,778.70,1107.59,976.67,672.93,1355.94,1551.08,827.50,986.47,866.30,1457.02,1460.90,1073.91,742.15,1098.12,832.71,745.32,1402.25,1587.41,1451.00,951.72,905.18,864.45
1954,1775.88,1257.39,1470.00,1453.36,1230.18,1184.40,1665.85,1499.01,1014.45,1996.06,2324.09,1247.27,1457.78,1300.44,2164.82,2166.10,1546.33,1079.37,1630.30,1242.99,1048.18,2106.23,2398.24,2115.15,1402.72,1324.90,1263.10
1955,1631.86,1216.59,1399.79,1384.89,1164.12,1128.90,1600.74,1444.53,989.34,1785.66,2000.77,1205.94,1405.57,1256.53,2040.27,2059.10,1451.31,1064.89,1502.63,1181.29,1020.78,1766.24,2115.69,1975.87,1368.21,1275.05,1219.90
1956,1623.93,1214.86,1394.98,1379.19,1169.56,1144.30,1543.92,1363.00,974.83,1801.02,2042.35,1165.00,1392.54,1225.36,2009.27,2022.00,1450.51,1039.35,1489.49,1171.29,1016.86,1854.17,2122.36,1948.00,1323.85,1258.05,1197.96
1957,1541.85,1065.33,1281.35,1265.46,1012.02,974.90,1376.37,1182.94,813.19,1775.33,2099.04,1013.70,1240.16,1050.86,1917.71,1920.70,1354.84,946.65,1408.29,1019.29,917.25,1926.70,2121.26,1860.31,1144.40,1129.21,1083.10
1958,1789.97,1303.39,1516.52,1501.83,1268.71,1239.80,1662.82,1466.12,1057.69,2043.18,2345.24,1263.54,1487.53,1324.33,2192.65,2191.40,1590.44,1130.87,1653.67,1270.68,1083.16,2092.15,2442.14,2108.91,1429.01,1346.81,1289.86
1959,1480.90,1010.42,1109.86,1099.74,994.50,972.80,1396.85,1224.87,823.60,1543.07,1791.09,1015.11,1181.18,1054.62,1816.78,1834.50,1174.48,860.66,1253.85,1002.75,815.29,1806.53,1902.54,2063.65,1210.17,1022.41,976.12
1960,1917.35,1281.39,1499.76,1485.10,1241.29,1218.00,1711.16,1544.27,1188.80,2180.58,2592.60,1271.50,1489.84,1381.00,2345.34,2342.50,1604.96,1106.44,1707.48,1250.01,1055.70,2389.46,2655.44,2377.01,1533.87,1334.59,1275.81
1961,1458.39,1104.37,1209.77,1194.94,1063.73,1041.50,1417.59,1261.77,877.35,1589.45,1835.67,1085.45,1267.58,1118.80,1860.96,1877.70,1260.73,938.92,1321.10,1072.56,880.76,1645.61,1937.06,1717.05,1185.91,1109.89,1058.14
1962,1364.19,963.12,1244.40,1227.03,909.26,873.80,1244.90,1114.02,830.95,1592.86,1889.29,929.49,1114.94,1000.16,1657.55,1657.20,1288.26,873.65,1291.10,919.42,861.11,1548.62,1842.66,1533.61,1081.66,1056.50,1015.97
1963,1621.20,1120.50,1235.68,1221.18,1106.00,1076.40,1502.30,1357.06,1015.58,1762.40,2088.81,1178.61,1299.13,1237.42,1969.04,1974.30,1317.55,957.54,1415.82,1128.76,915.50,1957.15,2158.38,2053.16,1343.77,1140.75,1089.07
1964,1370.42,994.77,1290.06,1271.43,907.18,868.00,1233.06,1069.86,728.19,1610.35,1879.53,895.75,1134.84,902.93,1667.63,1668.70,1328.70,914.96,1321.09,913.98,901.25,1587.81,1833.69,1592.10,1000.70,1100.34,1059.77
1965,1948.42,1521.06,1762.91,1743.91,1436.24,1395.10,1913.36,1746.20,1238.54,2180.75,2423.87,1455.20,1735.32,1535.73,2450.22,2468.70,1812.49,1331.78,1847.41,1448.45,1288.69,2103.44,2553.31,2162.33,1629.29,1587.84,1518.93
1966,1787.56,1316.98,1630.65,1609.22,1236.78,1226.10,1606.87,1390.45,966.73,2123.59,2456.63,1236.45,1477.91,1240.74,2161.95,2152.90,1698.06,1203.98,1726.12,1238.22,1175.04,2058.20,2455.52,2032.89,1334.92,1415.05,1367.70
1967,1479.58,1116.71,1342.07,1327.91,1066.65,1052.70,1373.15,1231.20,894.61,1726.27,1980.49,1083.53,1252.00,1119.19,1783.98,1782.20,1395.36,1000.23,1422.95,1071.31,965.09,1682.45,1976.75,1615.57,1161.09,1189.11,1145.45
1968,1784.76,1333.32,1419.26,1406.45,1319.87,1321.50,1718.28,1555.90,1120.46,1953.45,2250.14,1348.47,1511.07,1390.13,2200.22,2209.60,1500.15,1126.43,1598.45,1324.65,1060.31,2009.18,2367.20,2151.60,1492.44,1323.93,1264.80
1969,1456.72,1140.60,1239.75,1227.56,1102.62,1100.30,1419.15,1277.06,892.71,1595.51,1785.73,1118.99,1276.14,1129.95,1761.27,1771.70,1291.92,1003.83,1352.61,1105.89,926.40,1610.80,1848.59,1718.18,1193.01,1169.42,1124.34
1970,1785.41,1321.68,1663.50,1641.93,1265.87,1240.30,1652.44,1470.24,1086.37,2121.43,2423.99,1291.70,1506.30,1347.19,2201.49,2200.80,1721.19,1185.99,1725.86,1275.34,1163.91,2000.33,2440.58,1926.26,1404.87,1425.04,1370.46
1971,1338.22,940.04,1090.20,1081.12,882.74,842.80,1234.50,1065.45,773.88,1496.08,1686.64,871.93,1098.17,919.55,1680.28,1688.70,1151.10,827.22,1216.60,887.86,806.56,1615.77,1811.63,1720.42,1054.19,991.46,948.19
1972,1417.94,993.76,1139.80,1130.33,968.36,961.40,1281.39,1096.53,801.93,1547.22,1776.16,964.82,1126.57,985.65,1676.24,1677.20,1198.28,860.24,1250.94,966.98,827.76,1740.76,1854.45,1921.59,1129.64,1018.96,976.38
1973,1540.97,1138.39,1389.66,1372.31,1045.67,1018.20,1408.83,1200.85,789.03,1775.64,2008.97,1029.81,1287.13,1032.44,1870.18,1871.10,1440.50,1023.97,1462.26,1048.35,1003.33,1741.80,2053.39,1917.60,1179.55,1222.55,1174.21
1974,1631.26,1164.97,1519.37,1497.31,1101.38,1075.50,1533.07,1390.98,1011.86,1879.50,2145.84,1133.38,1351.81,1204.47,2005.58,2018.30,1561.56,1068.98,1523.51,1114.77,1069.03,1809.09,2131.41,1884.30,1327.28,1271.84,1227.10
1975,1585.00,1191.00,1334.35,1321.60,1145.82,1131.80,1455.29,1284.50,924.62,1758.18,2038.26,1132.64,1323.36,1135.66,1837.69,1830.60,1394.03,1037.71,1450.12,1145.37,978.75,1871.05,2062.42,1952.97,1257.58,1216.69,1166.45
1976,1402.06,919.06,1198.43,1187.26,868.52,847.80,1213.32,1070.55,804.38,1623.95,1897.28,877.39,1058.92,933.34,1645.17,1637.60,1259.32,836.79,1277.94,874.16,840.53,1768.34,1897.51,1790.29,1090.10,1008.37,972.23
1977,1925.13,1300.57,1415.57,1402.53,1292.90,1278.20,1807.02,1655.21,1222.86,2047.86,2424.43,1364.25,1520.88,1472.20,2326.39,2332.50,1511.89,1082.95,1643.88,1310.69,1020.32,2249.54,2557.99,2578.97,1663.96,1310.53,1244.32
1978,1673.78,1232.16,1402.99,1388.09,1186.38,1185.50,1567.52,1381.86,931.09,1859.82,2119.82,1179.68,1399.30,1217.56,2041.42,2046.90,1467.07,1068.83,1521.21,1183.83,1037.23,1944.14,2217.01,2079.21,1337.48,1261.59,1208.12
1979,1891.16,1303.92,1538.76,1515.64,1271.19,1242.20,1701.74,1505.63,1077.72,2162.22,2631.13,1294.24,1504.31,1341.47,2288.59,2278.50,1629.24,1124.10,1728.42,1281.54,1065.06,2314.57,2630.49,2228.27,1447.52,1365.69,1304.58
1980,1608.11,1172.26,1352.26,1335.98,1150.77,1131.50,1568.14,1438.65,1026.44,1759.30,1983.42,1200.17,1358.72,1268.36,2021.68,2039.30,1404.31,1003.59,1445.46,1165.98,952.97,1798.70,2118.55,1940.53,1363.34,1200.09,1146.12
1981,1952.62,1411.21,1692.53,1673.07,1369.65,1321.90,1832.65,1663.53,1194.41,2234.49,2580.66,1440.17,1620.64,1514.19,2363.17,2363.60,1769.10,1260.73,1828.56,1394.48,1201.92,2188.30,2613.45,2237.60,1597.05,1506.44,1448.38
1982,1686.67,1290.46,1358.64,1342.87,1305.24,1322.60,1645.04,1491.38,1079.50,1844.82,2093.62,1376.83,1438.89,1392.35,2014.72,2015.70,1431.82,1117.04,1534.03,1316.42,1032.25,1850.00,2210.25,1991.87,1430.55,1281.02,1234.12
1983,1605.24,1144.45,1315.13,1296.79,1155.31,1140.60,1520.86,1437.85,1043.36,1756.33,2090.77,1213.64,1307.52,1296.45,1903.32,1907.60,1377.40,988.84,1423.98,1170.44,935.05,1809.54,2079.17,1909.66,1386.26,1171.35,1123.46
1984,1574.31,1156.98,1316.35,1303.32,1109.32,1089.90,1463.30,1304.35,955.42,1753.03,2000.05,1154.99,1313.79,1189.37,1928.37,1936.70,1379.69,1016.07,1434.17,1123.87,965.35,1839.41,2071.57,1918.48,1278.89,1194.99,1146.64
1985,1509.67,1030.94,1218.11,1203.14,1004.12,985.00,1423.43,1320.21,900.43,1669.45,1985.84,1054.85,1216.39,1141.43,1881.33,1892.00,1282.59,885.36,1332.50,1020.08,865.86,1805.37,2030.52,1804.07,1232.57,1069.09,1020.32
1986,1736.14,1315.58,1440.14,1421.18,1274.54,1274.20,1671.74,1492.76,1010.32,1909.01,2208.70,1305.10,1485.88,1328.78,2166.00,2177.40,1505.09,1124.74,1578.11,1280.77,1074.08,1957.89,2313.00,2047.31,1402.26,1314.13,1258.27
1987,1752.75,1300.37,1428.53,1413.38,1322.99,1317.40,1685.69,1507.60,1064.75,1912.94,2215.52,1354.71,1474.88,1382.67,2102.89,2107.10,1497.53,1098.82,1576.34,1329.43,1040.14,2026.01,2292.64,2088.43,1446.86,1307.67,1249.74
1988,1791.01,1357.60,1535.42,1518.60,1325.07,1305.20,1703.59,1494.45,1087.52,2027.78,2288.23,1343.94,1537.79,1382.37,2209.04,2213.50,1604.91,1172.45,1667.21,1330.81,1136.57,2023.68,2404.56,2070.85,1451.81,1389.30,1329.90
1989,1369.44,1011.90,1162.61,1152.07,977.57,971.60,1241.48,1043.73,732.99,1593.74,1860.58,988.38,1133.85,966.14,1669.20,1664.80,1227.82,896.24,1282.09,980.35,847.00,1660.54,1882.49,1572.27,1008.14,1042.58,1005.17
1990,1687.71,1263.19,1399.48,1381.67,1207.20,1171.60,1659.35,1486.64,1053.81,1828.22,2097.60,1216.45,1469.10,1277.94,2172.66,2194.40,1454.75,1048.63,1534.93,1216.43,994.09,1934.17,2250.35,1992.83,1392.59,1286.45,1217.40
1991,1408.74,1031.81,1232.36,1222.24,986.36,940.50,1328.59,1179.55,857.04,1618.77,1819.87,997.65,1185.10,1032.12,1710.30,1710.70,1287.72,918.91,1338.47,998.01,877.30,1583.13,1885.68,1659.23,1126.76,1111.83,1066.35
1992,1677.61,1189.47,1375.00,1356.57,1132.91,1100.80,1580.69,1433.49,1035.80,1857.60,2202.34,1178.10,1388.23,1252.73,2073.05,2082.00,1445.12,1004.75,1519.81,1149.64,999.16,1962.74,2237.74,2007.28,1366.39,1249.04,1183.77
1993,1680.73,1189.51,1440.03,1424.04,1152.10,1089.60,1598.23,1438.25,1076.31,1879.96,2136.54,1177.68,1395.92,1267.68,2083.24,2094.90,1499.19,1023.38,1542.34,1169.54,1011.54,1939.48,2231.31,2024.54,1397.18,1271.81,1210.02
1994,1752.31,1268.00,1448.89,1433.88,1210.90,1192.40,1655.53,1459.89,1058.19,1949.49,2205.14,1243.18,1465.47,1308.99,2195.19,2207.30,1520.34,1085.01,1600.72,1220.71,1049.75,2053.52,2350.37,2156.32,1430.84,1319.84,1256.81
1995,1835.11,1419.87,1574.96,1555.54,1362.18,1347.40,1800.88,1614.19,1126.26,2015.02,2251.79,1407.53,1610.19,1456.74,2293.51,2310.50,1631.71,1224.27,1710.18,1374.50,1125.54,2000.66,2399.09,2149.57,1546.57,1458.20,1394.03
1996,1615.49,1161.78,1298.34,1281.73,1136.61,1109.90,1492.77,1306.44,931.44,1775.78,2104.10,1127.28,1322.29,1148.88,1933.57,1934.30,1367.20,989.69,1455.66,1138.45,906.09,1924.78,2135.67,2047.44,1266.52,1195.34,1139.82
1997,1503.56,1077.47,1235.10,1221.20,1070.69,1049.90,1442.18,1311.82,898.07,1656.58,1906.84,1107.78,1241.73,1157.50,1824.77,1831.00,1294.35,926.32,1360.71,1082.69,868.03,1730.10,1981.22,1821.07,1246.88,1118.36,1069.40
1998,1527.37,1144.39,1340.13,1320.67,1109.46,1085.40,1431.26,1273.99,905.19,1745.75,2030.82,1161.16,1293.27,1175.37,1856.65,1859.30,1397.20,999.59,1439.34,1126.21,971.31,1740.12,2027.54,1706.15,1214.26,1203.28,1152.70
1999,2045.25,1512.24,1731.14,1707.64,1502.43,1479.60,1949.93,1770.84,1214.82,2320.83,2653.81,1543.75,1720.14,1584.16,2478.25,2476.90,1815.79,1295.19,1927.04,1514.48,1217.24,2332.23,2750.62,2335.63,1652.55,1589.62,1517.68
2000,1740.06,1207.35,1494.37,1472.53,1179.00,1159.20,1519.82,1328.01,948.26,2069.96,2456.58,1167.39,1368.11,1209.64,2063.63,2047.10,1579.87,1075.39,1633.17,1177.18,1034.24,2132.74,2421.26,2019.89,1304.76,1293.26,1244.70
2001,1858.54,1397.09,1609.79,1588.39,1369.42,1318.10,1769.96,1591.19,1076.78,2141.90,2455.45,1362.62,1594.80,1404.05,2297.07,2295.10,1683.18,1210.80,1759.83,1377.23,1150.07,2091.85,2552.42,2056.64,1478.00,1450.49,1387.58
