Variable:,pr
,Nicaragua,"Atlantico Norte","Atlantico Sur",Boaco,Carazo,Chinandega,Chontales,Esteli,Granada,Jinotega,Leon,Madriz,Managua,Masaya,Matagalpa,"Nueva Segovia","Rio San Juan",Rivas
1911,2272.45,2857.15,2858.61,1586.51,1408.30,1643.83,1935.58,1483.48,1507.42,1923.73,1458.99,1451.18,1365.61,1389.04,1628.62,1506.62,2399.00,1628.98
1912,2257.99,2854.66,2793.10,1599.23,1424.30,1644.81,1959.03,1483.74,1514.17,1923.50,1462.16,1451.16,1379.08,1404.58,1627.70,1506.61,2371.98,1638.28
1913,2462.28,2873.24,3362.10,1690.85,1440.70,1645.53,2217.84,1485.78,1603.02,1926.97,1465.91,1451.54,1396.75,1423.11,1671.18,1506.70,3027.94,1818.08
1914,2108.13,2838.71,2473.41,1455.70,1266.00,1638.16,1679.84,1477.78,1318.17,1919.25,1437.97,1450.52,1284.55,1275.91,1566.65,1506.51,1918.31,1343.23
1915,2591.76,2885.39,3674.79,1783.22,1542.80,1649.63,2414.77,1489.27,1731.32,1929.38,1480.75,1451.87,1453.84,1503.99,1707.68,1506.76,3431.83,2025.49
1916,2733.31,2897.39,4089.54,1830.53,1508.20,1648.32,2581.42,1489.65,1767.04,1931.85,1477.10,1452.07,1442.82,1481.81,1733.80,1506.82,3882.15,2128.46
1917,2592.30,2886.42,3636.52,1821.35,1606.20,1652.21,2457.59,1491.53,1788.23,1930.66,1490.11,1452.12,1490.08,1554.41,1724.60,1506.79,3404.93,2086.49
1918,2175.87,2848.99,2604.22,1534.02,1351.90,1642.04,1811.02,1481.97,1427.66,1922.23,1452.51,1451.01,1337.05,1345.99,1608.12,1506.58,2105.53,1496.15
1919,2305.24,2860.05,2882.48,1655.57,1491.60,1647.80,2051.62,1486.91,1598.54,1925.44,1473.43,1451.46,1418.17,1458.23,1654.02,1506.66,2499.69,1759.03
1920,2262.96,2855.43,2812.09,1598.17,1425.60,1644.80,1957.40,1483.70,1511.53,1923.52,1462.23,1451.16,1379.40,1405.53,1627.22,1506.61,2391.07,1626.17
1921,2242.98,2852.36,2783.89,1568.22,1378.30,1642.87,1907.85,1482.09,1463.12,1922.82,1455.34,1450.98,1352.87,1368.12,1616.06,1506.60,2338.09,1562.05
1922,2247.00,2853.31,2760.69,1601.90,1454.10,1645.73,1945.70,1483.93,1515.12,1923.28,1465.15,1451.13,1389.98,1424.79,1626.50,1506.61,2326.16,1622.45
1923,2125.92,2843.87,2480.97,1501.36,1339.60,1641.13,1737.94,1480.10,1383.09,1920.77,1448.73,1450.75,1327.62,1335.36,1589.75,1506.54,1950.29,1414.89
1924,2593.72,2887.56,3641.72,1818.94,1587.30,1651.81,2458.44,1491.25,1775.09,1930.91,1488.85,1452.10,1485.70,1543.42,1727.43,1506.79,3426.32,2072.17
1925,2266.46,2855.67,2839.43,1587.10,1380.40,1643.26,1946.42,1483.31,1485.31,1923.74,1457.24,1451.16,1356.94,1371.11,1628.11,1506.62,2402.14,1605.62
1926,2376.10,2864.46,3124.02,1654.38,1433.70,1649.06,2107.79,1487.61,1553.39,1928.14,1474.42,1451.90,1397.04,1419.21,1652.26,1506.73,2752.33,1712.83
1927,2361.08,2865.90,3032.07,1689.61,1525.20,1650.83,2125.77,1488.99,1629.54,1927.38,1482.57,1451.79,1440.89,1487.11,1670.25,1506.71,2665.01,1802.54
1928,2357.04,2866.10,3105.18,1620.09,1371.20,1646.36,2046.21,1486.12,1499.47,1927.64,1465.61,1451.82,1365.49,1371.83,1649.72,1506.71,2682.94,1638.72
1929,2148.16,2846.93,2561.58,1498.57,1302.80,1643.34,1746.51,1482.25,1357.84,1923.08,1453.95,1451.24,1318.37,1312.05,1597.15,1506.60,2018.20,1383.75
1930,2035.63,2835.17,2305.94,1399.26,1197.70,1636.40,1553.81,1476.24,1234.77,1918.49,1431.06,1450.40,1250.26,1223.90,1552.87,1506.49,1685.91,1199.66
1931,2316.99,2864.37,2952.92,1636.84,1432.40,1660.64,2026.75,1489.76,1539.77,1928.93,1478.72,1454.71,1400.56,1419.71,1659.13,1508.24,2522.48,1663.22
1932,2402.52,2871.32,3194.19,1669.90,1434.60,1657.57,2131.59,1489.68,1573.57,1929.96,1477.04,1454.59,1402.00,1422.12,1672.73,1509.25,2807.93,1741.77
1933,2560.50,2883.72,3554.55,1797.54,1562.00,1678.51,2417.17,1492.48,1745.45,1930.09,1488.36,1456.78,1471.67,1522.80,1716.83,1509.21,3316.84,2021.95
1934,2408.48,2867.74,3216.71,1664.18,1447.40,1637.83,2146.36,1483.17,1583.38,1924.21,1461.00,1447.75,1391.65,1423.59,1655.68,1502.55,2857.60,1773.98
1935,2544.49,2880.94,3555.92,1755.61,1510.70,1655.27,2349.84,1489.13,1687.76,1928.80,1479.14,1447.76,1439.70,1480.65,1698.86,1498.09,3282.77,1943.35
1936,2390.67,2869.61,3133.29,1683.36,1492.30,1661.12,2137.13,1488.30,1615.13,1927.80,1475.74,1460.94,1423.77,1462.28,1671.62,1519.95,2763.98,1798.20
1937,2821.86,2959.56,3933.06,2095.36,1859.70,2065.77,2746.47,1782.10,2019.41,2107.60,1888.13,1653.02,1793.90,1831.58,1978.56,1635.21,3752.70,2280.70
1938,2649.63,2905.86,3624.28,1920.01,1763.70,1896.61,2499.48,1652.12,1897.95,2005.10,1735.29,1555.32,1681.21,1725.53,1841.45,1558.04,3396.37,2141.36
1939,2252.21,2806.66,3046.44,1454.10,1229.10,1402.94,1941.76,1274.47,1367.74,1783.51,1213.18,1307.35,1162.46,1201.48,1444.00,1408.11,2665.88,1585.14
1940,2181.90,2825.75,2707.05,1451.48,1282.70,1603.83,1804.63,1436.81,1351.55,1886.80,1381.89,1431.01,1250.93,1267.40,1521.55,1499.36,2291.78,1486.88
1941,2457.05,2881.48,3386.59,1668.20,1327.20,1551.33,2229.99,1451.75,1551.41,1930.46,1375.78,1435.23,1304.40,1320.15,1658.13,1512.79,3079.75,1795.66
1942,2623.23,2928.36,3613.35,1882.42,1610.00,1699.43,2529.85,1561.28,1811.97,2008.48,1547.55,1505.06,1517.59,1569.07,1798.93,1561.49,3448.64,2088.78
1943,2691.77,2950.66,3721.64,1927.63,1620.10,1871.81,2567.34,1694.19,1831.44,2091.89,1657.60,1615.45,1558.67,1592.39,1873.18,1641.49,3475.79,2111.79
1944,2731.52,2976.17,3858.71,1907.66,1535.90,1899.60,2525.23,1734.48,1760.47,2166.29,1668.99,1726.39,1525.09,1532.00,1895.80,1801.52,3400.96,2019.29
1945,2330.31,2847.03,3095.51,1550.22,1322.90,1629.24,2002.70,1461.49,1444.66,1904.47,1410.82,1442.69,1292.97,1309.28,1584.10,1500.98,2655.74,1614.10
1946,2186.04,2776.41,2959.83,1465.21,1193.70,1338.65,1912.30,1201.60,1328.56,1633.60,1197.56,1048.39,1178.29,1193.92,1472.69,1041.97,2506.82,1502.82
1947,2435.71,2892.25,3234.81,1676.81,1437.50,1634.93,2197.69,1505.41,1577.05,1997.61,1451.65,1489.72,1387.10,1418.47,1664.37,1576.78,2942.76,1795.51
1948,2566.23,2943.59,3473.38,1757.72,1446.10,1725.76,2358.72,1624.58,1638.95,2140.42,1522.40,1658.56,1401.43,1425.36,1754.22,1778.56,3189.39,1890.14
1949,2561.90,2899.87,3577.59,1835.52,1644.30,1637.80,2392.97,1461.70,1775.42,1900.50,1516.18,1365.93,1557.33,1611.52,1747.31,1401.42,3187.73,2005.02
1950,2687.66,2924.49,3703.19,1982.01,1798.90,1793.81,2619.22,1597.20,1938.73,2021.01,1655.11,1567.98,1683.15,1750.54,1839.25,1627.94,3538.15,2211.26
1951,2261.99,2595.72,3109.90,1583.81,1406.70,1561.53,2080.50,1359.94,1530.51,1692.07,1383.30,1326.08,1323.44,1367.40,1526.06,1356.94,2800.41,1724.20
1952,2513.60,2928.83,3246.67,1795.35,1607.90,1832.94,2294.29,1659.73,1729.24,2106.41,1619.33,1639.90,1533.40,1573.47,1770.37,1694.43,3023.59,1938.29
1953,2426.43,2720.05,3426.10,1622.15,1385.70,1617.82,2182.82,1477.95,1573.18,1876.40,1412.65,1471.79,1307.23,1345.82,1594.26,1519.56,3173.46,1819.33
1954,2887.64,3166.42,3751.78,2144.21,2118.80,2260.73,2760.93,1962.57,2183.11,2359.91,1994.59,1919.51,1910.08,2012.11,2038.25,1938.18,3602.32,2420.73
1955,2789.52,2881.78,3745.02,2239.10,2004.90,1945.64,3005.62,1683.65,2225.25,2100.87,1779.25,1569.50,1855.44,1939.85,1972.77,1597.31,3898.30,2529.16
1956,2543.06,2726.86,3673.29,1780.87,1667.80,1596.23,2480.67,1427.09,1809.78,1804.99,1428.82,1400.85,1448.96,1556.89,1625.01,1443.59,3514.95,2099.05
1957,2231.04,2700.96,3058.78,1482.76,1287.60,1472.62,1895.93,1362.23,1396.82,1789.13,1263.26,1350.97,1211.26,1249.41,1494.65,1414.76,2521.40,1554.97
1958,2331.33,2885.34,2977.89,1601.65,1338.10,1643.29,1972.41,1512.18,1470.46,1974.79,1469.62,1499.74,1386.10,1369.18,1640.63,1580.65,2660.83,1635.66
1959,2070.34,2614.51,2597.89,1474.55,1319.60,1520.15,1739.62,1367.16,1367.94,1728.62,1336.91,1344.38,1291.59,1312.73,1451.95,1381.68,2157.40,1483.93
1960,2713.81,2988.79,3666.44,1931.29,1732.70,1971.93,2571.77,1744.64,1879.43,2185.59,1730.10,1714.28,1657.94,1702.00,1868.98,1769.69,3479.54,2155.50
1961,2317.87,2633.62,3016.16,1682.67,1431.60,1627.49,2154.28,1513.15,1622.27,2044.29,1474.70,1494.61,1370.85,1400.48,1662.46,1600.52,2803.49,1856.95
1962,2598.63,3112.40,3588.61,1674.52,1471.20,1732.47,2197.35,1574.73,1579.39,2036.03,1540.08,1548.88,1448.05,1465.46,1709.98,1613.54,3106.07,1772.44
1963,2539.53,3032.37,3561.40,1672.29,1388.30,1545.09,2224.53,1430.84,1577.95,1883.67,1411.37,1376.47,1346.14,1370.61,1665.09,1431.99,3165.06,1822.22
1964,2488.91,2884.76,3273.58,1825.08,1595.30,1698.56,2372.49,1517.76,1776.04,1942.42,1565.96,1440.79,1541.79,1575.87,1767.06,1481.68,3049.67,2013.45
1965,2208.08,2532.64,3252.04,1411.26,1237.70,1424.56,1859.00,1250.96,1293.72,1627.33,1236.64,1243.70,1197.70,1224.17,1423.72,1287.51,2729.30,1437.04
1966,2939.26,3257.55,4133.37,1965.86,1721.80,1960.70,2612.37,1836.66,1894.42,2407.44,1766.59,1806.94,1654.95,1689.17,1994.21,1901.60,3737.93,2164.12
1967,2359.31,2456.26,3641.11,1633.28,1366.30,1210.98,2397.47,1197.94,1590.83,1566.82,1126.19,1137.89,1193.23,1282.64,1486.38,1172.46,3433.38,1867.42
1968,2748.09,3116.27,3773.56,1891.20,1607.10,1950.45,2458.77,1779.96,1762.88,2171.86,1705.04,1746.19,1583.84,1601.41,1875.21,1758.43,3469.97,2002.35
1969,2786.66,3181.53,3542.92,2089.33,1868.60,2279.47,2551.90,1945.54,2012.92,2303.27,1924.81,1943.72,1805.51,1843.63,1968.08,1974.51,3272.77,2251.34
1970,2815.23,3169.25,4017.78,1872.37,1539.80,1845.23,2499.18,1661.66,1743.36,2147.09,1630.51,1646.38,1548.72,1556.56,1843.07,1721.06,3700.28,1995.14
1971,2296.29,2433.92,3137.10,1820.60,1627.20,1547.27,2358.73,1341.19,1802.39,1689.81,1486.13,1219.97,1500.27,1567.98,1669.85,1228.19,2984.72,2062.19
1972,2148.28,2322.53,3250.66,1475.35,1146.20,1166.01,2051.79,1129.58,1404.94,1508.56,1109.24,1078.14,1088.17,1118.61,1390.42,1110.75,2876.55,1672.57
1973,2491.34,2581.03,3378.67,1940.04,1818.90,1939.86,2419.06,1619.79,1920.74,1913.96,1765.98,1531.52,1769.38,1808.74,1806.69,1532.26,3178.48,2111.15
1974,2346.64,2360.83,3376.74,1736.90,1585.60,1694.23,2352.89,1484.64,1744.58,1679.36,1497.46,1442.04,1479.72,1539.18,1588.05,1417.05,3167.55,2010.10
1975,2376.04,2485.04,3338.88,1805.01,1643.70,1761.06,2314.44,1454.46,1759.20,1692.61,1621.42,1346.39,1581.36,1620.99,1679.38,1326.64,3036.59,1972.37
1976,2095.85,2233.21,3159.68,1387.67,1112.20,1287.69,1929.13,1193.16,1256.49,1581.85,1142.01,1221.38,1099.37,1112.76,1362.91,1296.78,2767.16,1462.21
1977,2100.52,2501.55,2938.71,1397.90,1143.30,1299.74,1878.87,1187.81,1308.41,1603.70,1133.77,1185.65,1084.33,1117.06,1380.50,1230.96,2572.74,1503.61
1978,2580.95,3451.33,3176.41,1712.98,1424.30,1599.68,2237.78,1524.30,1641.59,2180.27,1401.56,1507.63,1336.21,1378.81,1740.72,1620.22,2886.98,1882.46
1979,2838.95,3663.35,3403.52,1920.54,1653.60,2146.52,2405.05,1896.36,1805.11,2475.52,1847.38,1835.78,1653.59,1654.89,2037.44,1902.70,3161.34,2030.80
1980,2762.34,3427.02,3598.29,1836.21,1538.70,1859.28,2359.61,1712.13,1712.32,2285.29,1644.15,1719.71,1520.77,1534.19,1864.00,1818.50,3252.28,1954.01
1981,3055.89,3959.09,3879.61,1968.71,1760.70,2088.15,2540.66,1856.94,1887.26,2501.69,1807.45,1829.48,1702.31,1734.94,2047.17,1943.09,3444.95,2120.82
1982,2523.38,3553.02,3150.70,1515.59,1323.10,1513.52,1993.79,1384.70,1454.95,2071.87,1309.89,1418.60,1224.02,1268.31,1596.10,1554.91,2701.79,1648.88
1983,2297.01,2754.80,3045.12,1600.78,1336.20,1504.31,2083.30,1371.97,1525.62,1865.43,1326.15,1334.51,1278.35,1311.30,1587.42,1409.95,2756.39,1751.62
1984,2495.18,3152.90,3206.20,1670.70,1410.30,1685.93,2204.06,1516.01,1586.55,1973.14,1445.30,1480.68,1410.45,1423.16,1695.37,1526.79,2904.12,1818.40
1985,2016.63,2458.43,2701.01,1401.17,1212.40,1337.16,1750.65,1186.67,1291.46,1575.21,1186.29,1160.71,1180.87,1202.50,1388.07,1219.03,2343.76,1418.15
1986,2214.16,2655.29,3034.55,1523.11,1418.30,1353.58,2011.96,1233.40,1458.06,1654.92,1268.69,1156.45,1252.57,1328.47,1508.15,1195.07,2683.35,1631.64
1987,2189.73,2622.74,3096.83,1448.89,1154.40,1268.19,1965.54,1164.51,1396.51,1633.61,1158.66,1151.64,1139.97,1153.92,1418.71,1236.87,2642.68,1585.51
1988,2666.59,3078.63,3468.37,1912.08,1679.20,2105.82,2375.45,1815.74,1800.35,2182.54,1823.70,1761.29,1694.77,1693.99,1892.33,1779.88,3145.82,1996.00
1989,2251.72,2481.22,3097.08,1676.11,1467.60,1660.45,2045.67,1450.79,1617.42,1768.52,1454.43,1423.57,1419.47,1452.87,1607.93,1449.92,2692.24,1657.08
1990,2243.22,2753.85,3093.81,1481.40,1301.90,1351.65,1895.91,1260.13,1448.00,1762.21,1217.54,1259.36,1213.12,1261.18,1476.41,1353.74,2562.72,1581.77
1991,2220.28,2578.59,2964.48,1588.28,1388.70,1562.76,2002.00,1395.56,1504.16,1786.25,1406.28,1326.62,1348.25,1372.45,1582.88,1360.73,2617.32,1667.73
1992,2148.77,2606.65,2724.27,1388.32,1211.30,1757.88,1735.39,1591.95,1290.76,1993.82,1460.83,1717.07,1216.13,1209.85,1502.83,1815.70,2268.21,1411.99
1993,2403.44,2495.15,3336.35,1729.89,1514.20,1819.89,2259.52,1624.45,1645.79,2018.57,1574.04,1635.75,1458.15,1488.43,1706.68,1697.74,3096.37,1856.91
1994,2020.64,2521.72,2760.14,1393.72,1233.30,1226.27,1823.11,1068.64,1326.31,1439.04,1112.13,1032.98,1129.12,1183.68,1319.15,1062.26,2343.78,1471.31
1995,2571.24,2987.01,3476.04,1805.59,1651.30,1680.80,2358.38,1555.42,1784.80,1991.93,1520.65,1530.51,1529.31,1596.64,1732.02,1603.74,3164.77,2024.90
1996,2757.57,3072.34,3771.47,1939.34,1696.60,1928.28,2549.62,1728.93,1885.68,2169.98,1709.48,1677.26,1636.05,1672.17,1897.61,1723.85,3520.42,2168.51
1997,2251.55,2511.75,3045.88,1576.52,1303.80,1620.50,2037.50,1473.14,1469.34,1914.87,1417.86,1450.40,1289.97,1299.06,1601.58,1514.89,2798.76,1684.20
1998,2573.11,2967.96,3564.26,1782.19,1539.60,1646.97,2374.23,1488.10,1711.82,1934.62,1480.90,1450.91,1462.42,1508.27,1710.89,1506.47,3272.45,1963.46
1999,2527.29,3134.92,3429.40,1650.67,1404.10,1635.73,2160.82,1477.56,1546.47,1936.99,1446.45,1446.25,1360.57,1384.77,1669.34,1503.20,2942.98,1745.19
2000,2220.90,2662.71,2930.78,1521.83,1307.20,1587.83,1933.43,1422.12,1421.64,1839.06,1389.04,1400.53,1277.13,1292.60,1560.40,1452.84,2549.80,1579.41
2001,2227.35,2674.82,3096.96,1445.68,1213.90,1473.15,1954.13,1315.38,1353.96,1701.45,1244.77,1325.91,1143.94,1179.46,1418.67,1380.29,2708.34,1533.86
2002,2289.14,2554.97,3324.63,1535.24,1286.90,1346.24,2116.84,1260.68,1453.61,1697.49,1190.92,1261.35,1177.80,1233.79,1472.47,1333.68,3107.13,1715.64
2003,2489.22,2843.56,3433.61,1722.81,1535.80,1689.75,2267.34,1490.70,1680.96,1870.00,1516.21,1444.60,1461.44,1503.16,1664.77,1477.59,3143.64,1924.37
2004,2644.10,3333.60,3603.82,1683.46,1424.90,1681.91,2234.25,1516.62,1586.04,1993.22,1483.40,1481.76,1386.37,1408.64,1699.43,1540.48,3049.72,1810.01
2005,2528.91,3024.77,3479.67,1692.77,1454.10,1644.88,2235.80,1476.12,1594.12,1909.98,1466.06,1441.66,1400.06,1431.38,1672.71,1490.99,3075.66,1811.38
2006,2580.24,2942.72,3499.55,1754.39,1393.10,1808.94,2282.70,1695.45,1599.37,2222.00,1570.22,1694.09,1411.59,1405.83,1801.63,1790.93,3172.80,1816.15
2007,2350.41,2691.56,3210.54,1676.73,1508.30,1570.51,2192.08,1383.17,1646.56,1740.10,1417.54,1334.08,1416.01,1466.83,1608.30,1357.25,2951.93,1883.90
2008,2862.25,3214.03,3933.00,1960.48,1695.30,2047.62,2564.49,1818.19,1878.60,2241.73,1823.64,1773.27,1696.47,1704.92,1947.56,1822.07,3614.01,2166.84
2009,2281.47,2782.95,3030.59,1595.45,1345.20,1409.03,2064.47,1327.46,1487.32,1871.07,1288.94,1283.83,1265.65,1308.57,1584.49,1366.83,2669.97,1645.97
2010,2753.74,3192.53,3982.40,1806.77,1505.70,1683.21,2474.24,1483.88,1717.04,1894.71,1512.40,1430.37,1461.63,1489.33,1745.51,1460.18,3612.59,2014.42
2011,2480.21,2923.47,3409.92,1682.04,1476.70,1645.30,2206.85,1469.97,1608.42,1878.84,1468.08,1438.41,1413.52,1450.17,1646.59,1486.56,3034.49,1815.10
2012,2212.89,2826.72,2814.67,1503.57,1344.10,1647.73,1876.53,1434.82,1429.63,1840.14,1414.39,1419.25,1290.91,1317.16,1526.31,1462.40,2256.61,1478.56
2013,2282.62,2723.52,2805.83,1650.63,1460.70,1921.84,2008.92,1682.67,1555.62,2056.16,1644.82,1671.94,1449.81,1454.75,1696.75,1705.19,2419.56,1641.74
2014,2200.16,2633.16,3043.11,1483.31,1300.40,1373.99,1978.55,1243.60,1415.75,1647.73,1224.62,1220.94,1196.69,1250.18,1435.13,1278.56,2694.24,1605.63
2015,2164.18,2400.24,2754.82,1662.44,1485.00,1620.61,2106.77,1449.18,1617.78,1825.98,1463.55,1407.04,1420.81,1458.56,1594.91,1447.86,2732.83,1799.18
2016,2244.46,2549.96,2895.18,1674.86,1463.90,1647.06,2110.84,1486.89,1598.81,1910.98,1471.17,1451.62,1411.03,1441.92,1641.95,1506.64,2702.18,1766.37
2017,2561.44,3121.09,3533.29,1710.43,1412.50,1558.89,2285.69,1460.38,1598.76,1992.03,1389.61,1436.10,1339.64,1379.94,1697.58,1522.03,2966.19,1813.04
2018,2308.58,2551.11,3264.66,1551.35,1389.00,1515.83,2167.11,1326.86,1541.87,1669.71,1339.41,1304.49,1288.46,1340.35,1481.72,1333.34,3199.50,1879.06
2019,2125.99,2392.86,2825.39,1559.25,1349.00,1329.74,2105.89,1220.20,1539.62,1661.57,1214.93,1180.25,1232.31,1294.01,1466.24,1240.88,2937.73,1849.54
2020,2643.17,3097.94,3697.57,1797.71,1560.00,1696.45,2385.85,1513.56,1729.66,1960.46,1521.73,1463.48,1483.76,1527.03,1750.21,1509.48,3189.44,1975.28
