Variable:,pr
,Liberia,Bomi,Bong,Gbarpolu,"Grand Bassa","Grand Cape Mount","Grand Gedeh","Grand Kru",Lofa,Margibi,Maryland,Montserrado,Nimba,Rivercess,"River Gee",Sinoe
1935,2606.91,3019.70,2555.75,2604.83,2973.15,2940.32,2364.25,2660.34,2338.65,2941.34,2455.38,2975.67,2261.18,2934.61,2390.67,2838.11
1936,2553.95,2901.13,2615.25,2595.17,2853.28,2815.63,2303.87,2457.09,2396.90,2864.57,2248.51,2865.71,2326.78,2817.54,2254.28,2691.33
1937,2514.29,2994.41,2599.61,2679.36,2801.53,2920.35,2197.95,2296.24,2466.35,2875.43,2112.99,2909.74,2255.46,2700.99,2131.58,2541.98
1938,2647.05,3204.63,2648.08,2836.80,2898.54,3155.97,2336.76,2577.82,2594.27,3007.53,2449.10,3106.42,2220.15,2781.87,2405.39,2720.04
1939,2632.42,3227.39,2746.24,2784.85,3065.82,3091.61,2279.01,2313.40,2500.23,3144.91,2065.89,3200.60,2359.33,2886.34,2098.14,2669.28
1940,2505.02,3002.47,2562.85,2639.53,2842.83,2918.75,2197.15,2357.79,2374.67,2913.42,2179.77,2962.86,2197.45,2711.91,2155.32,2572.80
1941,2609.15,3048.11,2565.58,2665.86,2868.90,2943.89,2411.71,2654.16,2384.14,2940.17,2534.92,3005.76,2259.21,2817.05,2468.16,2773.16
1942,2343.79,2907.53,2441.12,2571.28,2651.09,2883.37,1961.93,2059.66,2360.69,2758.88,1934.72,2835.98,2074.68,2472.06,1913.33,2268.30
1943,2752.06,3058.44,2691.38,2679.94,3009.74,2937.98,2645.77,2923.82,2415.17,3009.50,2784.17,3025.87,2419.05,3027.30,2701.37,3041.95
1944,2641.73,3199.70,2657.59,2758.86,2953.81,3110.17,2352.67,2549.08,2451.98,3040.79,2390.44,3121.72,2306.51,2841.28,2363.23,2743.44
1945,2430.72,3119.96,2510.73,2754.62,2707.29,3107.65,2008.38,2112.84,2520.81,2896.92,1964.27,3016.86,2058.26,2511.52,1959.10,2337.40
1946,2358.23,3025.03,2533.01,2721.48,2709.11,3009.71,1845.08,1860.06,2506.89,2862.41,1680.89,2937.52,2125.26,2474.27,1717.25,2155.13
1947,3065.31,3465.01,3095.92,3061.16,3512.59,3328.02,2775.87,3024.97,2763.03,3504.01,2795.67,3474.84,2751.31,3456.70,2734.97,3299.99
1948,2241.46,2813.96,2313.53,2462.99,2509.23,2761.97,1892.81,2052.01,2217.29,2675.43,1942.75,2764.88,1929.74,2327.84,1907.76,2186.96
1949,2468.80,3048.28,2484.78,2692.33,2681.73,2994.40,2108.59,2362.54,2439.46,2871.90,2258.89,2946.23,2137.38,2578.26,2172.04,2476.40
1950,2154.33,2568.50,2169.23,2308.16,2356.50,2520.88,1890.45,2065.54,2093.40,2477.00,1990.66,2521.42,1886.21,2266.40,1929.25,2192.39
1951,2948.47,3386.82,2876.65,2995.92,3207.54,3273.48,2685.33,3056.01,2766.67,3257.40,2881.13,3318.94,2563.10,3216.23,2790.74,3183.42
1952,2803.68,3424.67,2759.82,2950.20,3042.38,3383.80,2446.45,2867.42,2554.22,3145.15,2702.41,3308.94,2428.40,3040.24,2591.37,2960.64
1953,2839.99,3379.21,2936.47,2997.96,3226.75,3250.57,2443.17,2660.18,2739.30,3312.12,2523.70,3325.80,2529.62,3080.13,2454.37,2863.13
1954,2726.29,3240.48,2771.28,2887.12,2970.10,3115.86,2394.36,2634.61,2709.70,3091.74,2529.73,3164.75,2430.89,2835.64,2468.67,2729.64
1955,3005.66,3452.83,2994.67,3109.59,3306.60,3372.41,2703.04,3052.94,2865.67,3403.34,2911.49,3413.21,2590.08,3224.70,2785.43,3168.80
1956,2296.88,2821.96,2379.25,2535.69,2552.74,2755.19,1927.17,2116.24,2327.89,2721.00,1972.56,2768.97,1943.60,2408.71,1945.44,2293.48
1957,3067.98,3435.17,3221.75,3123.83,3570.17,3284.62,2769.32,2857.39,2790.60,3609.38,2696.90,3479.69,2847.53,3393.51,2676.06,3122.27
1958,2181.13,2634.93,2206.99,2412.60,2343.01,2606.91,1829.67,2078.20,2275.95,2511.68,1938.75,2574.06,1857.58,2238.40,1893.89,2209.43
1959,2727.72,3058.06,2773.98,2756.86,3069.75,2939.12,2469.72,2734.48,2530.30,3086.74,2605.12,3045.42,2430.26,2982.76,2520.41,2877.66
1960,2570.97,2983.86,2593.27,2692.49,2843.33,2974.44,2295.51,2468.73,2506.12,2916.47,2386.79,2932.55,2239.64,2755.10,2319.55,2629.93
1961,2433.44,3230.18,2493.13,2627.07,2784.98,3084.76,2007.02,2318.84,2232.89,2938.10,2181.76,3116.76,2050.26,2609.16,2114.32,2440.88
1962,2848.84,3151.50,2916.35,2881.82,3235.65,3009.62,2607.44,2791.64,2662.69,3272.27,2658.48,3175.39,2591.21,3101.60,2598.46,2938.67
1963,3163.39,3739.35,3326.80,3244.69,3718.87,3485.32,2810.34,2930.86,2861.01,3755.85,2753.70,3719.38,2883.98,3511.31,2708.52,3197.26
1964,2492.65,2936.31,2611.89,2659.96,2877.12,2884.98,2110.43,2295.50,2406.54,2967.39,2209.05,2941.45,2213.96,2697.35,2117.38,2468.30
1965,2604.62,3136.59,2755.31,2793.43,3018.01,3053.60,2180.23,2346.44,2463.72,3088.47,2111.36,3089.07,2327.99,2889.09,2093.68,2649.46
1966,3123.91,4036.40,3288.20,3379.73,3713.05,3988.31,2618.09,2690.60,2876.97,3831.62,2381.16,3946.43,2710.82,3455.85,2432.62,3087.42
1967,2248.69,3059.19,2353.94,2607.65,2562.94,3070.74,1721.39,1821.81,2342.19,2741.20,1679.04,2938.71,1935.20,2363.70,1644.94,2103.43
1968,3144.89,3906.71,3190.56,3325.37,3624.63,3780.99,2738.59,2961.28,2818.25,3663.35,2679.56,3784.64,2682.50,3562.75,2630.21,3339.52
1969,2650.88,3438.79,2758.10,3058.03,3020.18,3416.15,2086.91,2229.89,2719.10,3187.13,1987.52,3316.57,2251.54,2854.31,1988.23,2604.51
1970,2315.36,2711.47,2262.71,2422.38,2528.06,2664.19,2053.51,2453.73,2141.19,2583.17,2281.72,2652.50,1902.70,2522.04,2205.09,2536.41
1971,2373.02,2692.40,2383.21,2467.04,2596.94,2636.49,2188.43,2300.70,2283.53,2622.15,2234.94,2633.74,2105.84,2557.62,2164.73,2450.09
1972,2502.73,2908.63,2604.91,2654.13,2844.84,2816.57,2166.40,2290.96,2410.23,2898.12,2131.13,2877.36,2251.18,2757.06,2099.85,2563.60
1973,2423.29,2891.13,2456.65,2557.92,2757.70,2750.88,2099.90,2361.83,2293.89,2830.87,2170.90,2847.59,2035.76,2685.39,2137.55,2567.05
1974,2302.79,2855.88,2354.13,2519.41,2593.64,2849.32,1893.54,2121.36,2284.12,2671.02,2002.93,2753.38,2010.38,2476.48,1937.85,2280.31
1975,2253.06,2654.74,2355.82,2413.24,2538.87,2601.88,1937.80,1977.51,2276.04,2594.57,1901.94,2601.86,2056.00,2401.24,1888.65,2208.04
1976,2425.66,2750.83,2479.43,2575.65,2675.43,2742.39,2131.64,2295.15,2454.88,2713.26,2219.46,2707.77,2167.53,2567.57,2159.87,2425.33
1977,2396.97,2923.72,2420.67,2459.48,2703.90,2827.64,2170.14,2215.83,2229.35,2764.01,2067.86,2858.55,2171.96,2609.21,2067.96,2439.45
1978,2373.31,3042.28,2450.14,2691.83,2650.95,3040.46,1921.13,2053.25,2420.83,2822.96,1897.31,2947.46,2070.94,2489.43,1872.22,2295.75
1979,2617.52,3103.89,2616.05,2689.46,2945.77,3006.46,2280.84,2672.47,2405.94,2993.79,2552.32,3049.59,2286.00,2850.75,2456.94,2725.60
1980,2308.08,2847.75,2269.13,2336.08,2535.21,2753.67,2119.50,2285.22,2118.73,2593.35,2208.32,2756.66,2027.24,2457.69,2160.34,2390.26
1981,2280.41,2828.99,2281.48,2489.43,2462.93,2794.05,1967.39,2078.56,2357.34,2601.06,1982.86,2730.89,1987.77,2373.32,1942.67,2262.89
1982,2246.17,2622.54,2287.27,2366.27,2466.48,2587.12,1968.09,2197.11,2180.41,2522.18,2077.89,2560.18,1975.62,2382.39,2035.09,2312.24
1983,1991.01,2659.96,2008.93,2243.61,2170.35,2657.43,1646.42,1765.58,2082.70,2340.38,1693.28,2558.93,1676.71,2009.21,1654.34,1881.01
1984,2286.40,2609.69,2228.87,2303.10,2455.85,2545.33,2106.72,2469.03,2085.35,2534.68,2372.71,2568.46,1987.92,2432.44,2288.06,2445.05
1985,2333.27,2646.98,2389.74,2454.55,2609.77,2562.05,2094.96,2193.88,2295.91,2683.06,2090.88,2616.02,2106.89,2481.85,2049.20,2354.63
1986,2012.16,2358.32,2089.25,2166.91,2211.79,2316.24,1734.18,1805.85,2057.90,2277.59,1709.44,2297.86,1839.48,2121.60,1710.25,1988.77
1987,2267.66,2511.93,2156.46,2223.95,2412.24,2457.27,2198.50,2425.92,2070.60,2422.81,2396.90,2456.61,1949.82,2448.15,2322.99,2500.16
1988,2272.12,2640.39,2381.59,2336.82,2603.70,2525.15,2040.58,2058.34,2154.34,2689.77,1943.46,2642.93,2079.24,2458.22,1956.86,2278.54
1989,2399.86,2759.29,2375.57,2490.44,2658.79,2698.75,2170.11,2391.09,2288.64,2690.47,2273.59,2700.70,2073.16,2609.39,2203.48,2532.35
1990,2149.70,2418.55,2153.23,2188.03,2375.50,2405.67,1960.02,2063.95,2033.69,2361.81,1932.70,2373.56,1926.56,2393.64,1899.94,2311.41
1991,2324.72,2722.10,2373.11,2367.63,2677.62,2602.36,2058.82,2237.86,2127.96,2728.44,2048.58,2719.92,2059.67,2600.01,2017.11,2458.22
1992,2335.88,3054.78,2373.22,2542.64,2632.79,3058.15,1945.73,2125.78,2269.32,2883.52,1992.61,2998.81,1963.79,2445.97,1950.32,2305.98
1993,2254.11,2757.79,2270.71,2438.40,2463.28,2678.60,1952.11,2177.14,2220.38,2631.88,2111.99,2706.67,1956.38,2293.34,2045.18,2246.68
1994,2401.00,2764.58,2479.13,2549.08,2654.89,2676.33,2115.27,2153.96,2413.03,2679.14,1985.60,2685.55,2209.20,2616.72,1993.06,2451.73
1995,2442.32,2869.60,2551.91,2585.80,2761.12,2787.51,2134.82,2182.08,2410.70,2835.42,2058.44,2837.24,2225.33,2620.67,2066.66,2415.85
1996,2679.22,3089.12,2774.42,2773.49,3044.39,2926.19,2360.42,2560.94,2534.11,3075.10,2364.84,3060.34,2402.11,2960.88,2318.82,2794.58
1997,2156.03,2750.96,2318.46,2423.59,2519.92,2668.58,1712.71,1795.21,2225.14,2654.53,1668.98,2701.38,1880.56,2276.36,1653.82,2024.10
1998,2408.28,3184.00,2554.53,2791.80,2757.99,3141.24,1905.34,1941.06,2519.69,2962.86,1813.44,3064.74,2069.13,2522.81,1823.77,2211.29
1999,2611.77,3048.50,2710.41,2735.85,2981.02,2919.91,2278.22,2458.33,2503.59,3033.57,2277.84,3006.52,2286.88,2870.97,2266.82,2701.88
2000,2426.69,2940.26,2472.75,2574.12,2732.59,2872.59,2117.60,2272.16,2311.10,2817.55,2134.61,2876.34,2129.82,2623.21,2101.30,2466.23
2001,2575.69,2921.92,2495.31,2566.98,2766.36,2863.17,2434.20,2673.29,2343.52,2800.52,2543.75,2859.80,2316.75,2762.01,2489.58,2777.04
2002,2506.30,2955.73,2567.04,2616.78,2844.00,2876.44,2177.64,2406.91,2363.98,2887.66,2238.10,2906.00,2209.92,2750.79,2177.23,2604.59
2003,2583.82,2965.07,2565.03,2665.37,2850.09,2891.98,2339.77,2552.15,2468.61,2867.43,2411.91,2900.87,2265.67,2816.73,2374.86,2726.03
2004,2531.93,2938.24,2535.58,2590.73,2869.87,2871.45,2258.73,2477.57,2350.60,2865.67,2321.28,2890.36,2224.80,2819.52,2267.60,2680.22
2005,2466.19,2936.99,2471.25,2575.39,2731.70,2842.19,2204.72,2425.21,2329.96,2818.69,2298.15,2875.21,2140.98,2647.36,2234.41,2563.25
2006,2629.36,2939.04,2575.30,2598.30,2943.19,2891.11,2447.97,2649.99,2358.42,2881.99,2454.06,2894.79,2343.27,2977.64,2434.55,2894.43
2007,2395.92,2937.01,2491.38,2580.01,2755.99,2844.44,2025.61,2132.46,2342.06,2830.13,1971.35,2879.20,2116.85,2619.67,1960.23,2386.05
2008,2452.73,2938.16,2494.77,2590.54,2740.70,2871.45,2149.88,2318.47,2353.28,2821.95,2182.78,2876.16,2164.24,2638.42,2146.19,2500.17
2009,2465.70,2938.15,2487.54,2588.15,2720.31,2871.45,2193.16,2383.54,2348.06,2814.46,2275.03,2874.06,2182.35,2617.17,2221.07,2517.57
2010,2747.46,2938.27,2620.52,2605.73,2951.36,2871.45,2662.08,2998.06,2388.41,2877.76,2788.22,2893.47,2492.65,3064.77,2742.18,3149.77
2011,2634.13,2938.26,2568.78,2591.62,2942.38,2871.45,2455.05,2711.02,2351.88,2882.21,2518.50,2894.71,2329.84,2977.73,2473.86,2919.58
2012,2215.55,2937.99,2406.50,2584.68,2551.86,2868.92,1730.08,1744.42,2344.97,2769.87,1645.90,2860.39,1931.50,2276.09,1647.13,1971.96
2013,2442.08,2938.09,2502.69,2595.16,2731.55,2869.62,2112.26,2296.75,2365.42,2819.25,2165.16,2875.15,2159.48,2617.73,2106.86,2472.33
2014,2690.60,2938.27,2600.27,2602.72,2920.64,2871.45,2563.98,2874.27,2377.54,2873.72,2705.52,2892.70,2428.79,2974.17,2639.25,3002.92
2015,2330.59,2987.52,2482.18,2658.93,2695.99,2898.74,1863.97,1950.59,2411.86,2870.62,1798.49,2921.02,1992.25,2475.33,1782.16,2200.65
2016,2618.87,3082.42,2759.81,2808.22,2996.12,2947.21,2227.16,2403.57,2564.29,3074.60,2194.86,3039.51,2312.80,2859.07,2171.34,2666.85
2017,2321.32,2949.11,2313.95,2517.55,2667.86,2875.04,1979.90,2205.01,2180.23,2800.61,2046.27,2879.79,1900.54,2536.43,1988.47,2386.00
2018,2468.26,2942.45,2512.42,2600.54,2761.64,2873.74,2170.40,2328.50,2366.80,2835.04,2190.02,2882.86,2181.09,2662.86,2162.99,2519.84
2019,2447.80,2937.08,2485.60,2575.31,2749.71,2844.22,2147.59,2332.36,2326.63,2824.48,2191.26,2877.24,2144.23,2652.87,2151.26,2515.86
2020,2447.83,2938.20,2489.04,2592.31,2745.05,2872.32,2134.89,2311.46,2352.86,2823.65,2170.08,2877.02,2148.81,2642.20,2129.68,2497.96
