Variable:,pr
,"Republic of Montenegro",Andrijevica,Bar,Berane,"Bijelo Polje",Budva,Cetinje,Danilovgrad,"Herceg Novi",Kolasin,Kotor,Mojkovac,Niksic,Plav,Pljevlja,Pluzine,Podgorica,Rozaj,Savnik,Tivat,Ulcinj,Zabljak
1911,1070.59,1031.00,1235.75,1014.80,990.91,911.00,1050.38,1109.53,1017.87,1070.19,1063.84,1043.39,1117.56,1016.16,1021.19,1062.64,1183.90,954.80,1064.69,911.00,1030.59,1027.23
1912,1272.27,1247.20,1421.46,1228.91,1222.15,1013.00,1183.13,1331.03,1147.65,1299.97,1197.17,1274.85,1288.81,1226.58,1262.00,1292.56,1393.23,1161.20,1302.11,1013.00,1140.22,1268.12
1913,1199.16,1199.90,1289.35,1169.51,1172.82,921.20,1098.88,1243.66,1059.09,1227.41,1124.57,1216.91,1220.69,1169.38,1219.67,1241.09,1284.80,1057.00,1235.34,921.20,1058.42,1226.12
1914,1257.45,1217.70,1442.84,1197.90,1189.34,1077.20,1211.36,1304.43,1173.61,1266.12,1214.37,1241.59,1276.59,1198.07,1226.83,1260.03,1388.46,1124.60,1267.03,1077.20,1201.57,1233.81
1915,1778.04,1671.10,2026.73,1626.66,1633.61,1550.60,1787.89,1843.32,1757.35,1760.54,1824.60,1722.19,1907.53,1627.98,1706.78,1803.35,1941.41,1462.10,1772.89,1550.60,1652.31,1719.29
1916,1302.23,1227.90,1539.36,1201.19,1190.41,1143.70,1299.70,1357.54,1262.67,1296.43,1308.74,1259.47,1364.91,1201.60,1232.85,1295.34,1457.82,1102.30,1294.95,1143.70,1282.98,1241.45
1917,1093.28,1018.70,1337.16,1001.33,977.64,1001.70,1121.00,1137.91,1094.36,1077.51,1121.75,1038.65,1153.08,1002.06,1002.24,1058.60,1244.99,937.00,1067.17,1001.70,1114.34,1008.79
1918,987.43,940.70,1163.45,931.02,898.45,883.40,991.70,1013.55,962.86,972.96,997.15,948.26,1029.89,934.00,927.22,970.72,1098.09,895.20,967.01,883.40,1009.09,932.78
1919,1359.42,1274.80,1602.64,1252.94,1246.76,1161.20,1349.23,1410.95,1316.11,1344.62,1366.72,1312.48,1434.46,1254.48,1297.17,1352.44,1517.70,1172.00,1349.37,1161.20,1316.62,1304.18
1920,1024.08,970.20,1148.64,956.63,926.36,913.00,1045.91,1055.04,1032.31,1010.41,1072.22,983.70,1111.27,956.80,961.76,1018.31,1103.76,906.40,1007.45,913.00,953.42,970.53
1921,990.04,978.10,1097.41,965.11,957.54,892.20,961.23,1010.99,931.05,994.20,959.44,986.40,990.33,963.02,983.45,978.52,1065.32,917.00,995.56,892.20,934.29,989.31
1922,1295.44,1233.40,1514.32,1210.09,1209.90,1094.90,1260.61,1358.71,1229.27,1304.51,1270.13,1270.06,1341.48,1208.15,1247.49,1282.97,1448.78,1123.80,1303.81,1094.90,1204.42,1254.08
1923,1299.49,1198.70,1610.06,1181.30,1155.11,1162.90,1325.18,1347.61,1289.11,1270.28,1328.15,1228.23,1372.85,1184.03,1195.23,1268.00,1489.74,1116.90,1265.17,1162.90,1349.77,1203.13
1924,1243.58,1190.90,1403.18,1169.51,1156.03,1020.40,1203.79,1295.42,1179.12,1248.70,1229.59,1221.99,1308.30,1168.67,1210.05,1256.91,1359.48,1090.30,1254.47,1020.40,1132.69,1219.98
1925,1388.15,1323.60,1533.10,1296.64,1309.33,1224.20,1370.65,1448.65,1342.48,1398.51,1390.21,1369.09,1453.27,1293.44,1358.37,1402.81,1493.96,1196.80,1406.99,1224.20,1242.66,1365.40
1926,1304.35,1261.80,1418.59,1237.41,1245.28,1096.00,1260.43,1352.18,1230.99,1314.43,1287.24,1291.35,1363.79,1235.55,1279.39,1352.16,1393.24,1147.10,1321.16,1096.00,1163.39,1285.99
1927,1242.85,1185.20,1491.08,1169.19,1151.60,1052.90,1208.86,1292.81,1166.54,1240.82,1210.11,1208.51,1273.24,1169.71,1183.23,1223.97,1408.77,1109.90,1236.03,1052.90,1230.77,1189.53
1928,1073.81,998.80,1342.23,984.19,956.96,935.90,1077.75,1108.24,1044.04,1048.38,1077.72,1015.47,1121.87,987.39,986.34,1068.43,1238.92,930.10,1043.72,935.90,1145.86,994.18
1929,1171.84,1113.10,1366.32,1116.59,1089.24,1023.80,1161.83,1201.30,1135.92,1154.05,1171.16,1126.78,1218.36,1116.72,1099.49,1157.20,1295.37,1129.50,1147.42,1023.80,1134.66,1104.34
1930,1199.05,1135.60,1394.35,1107.91,1085.19,1022.80,1198.92,1245.14,1174.76,1189.39,1223.05,1156.54,1284.78,1108.74,1131.03,1204.72,1328.27,1005.40,1188.05,1022.80,1144.69,1142.32
1931,1213.17,1149.40,1487.45,1131.62,1132.14,1026.00,1173.43,1263.53,1134.00,1209.30,1165.95,1177.45,1228.73,1133.38,1148.66,1207.21,1394.38,1065.80,1206.02,1026.00,1229.81,1155.92
1932,1171.96,1119.30,1317.79,1089.36,1095.29,948.90,1126.02,1227.33,1088.89,1182.39,1151.23,1161.08,1230.36,1089.13,1163.57,1189.37,1281.06,978.50,1196.24,948.90,1079.65,1172.51
1933,1287.95,1210.30,1572.30,1188.61,1175.11,1104.70,1271.03,1339.97,1233.45,1275.97,1272.44,1240.79,1333.70,1190.97,1213.96,1269.94,1471.69,1108.30,1274.36,1104.70,1316.04,1223.78
1934,1178.92,1130.60,1355.20,1108.42,1099.49,1011.20,1153.82,1213.06,1121.41,1171.15,1165.49,1148.37,1223.50,1109.30,1133.32,1212.41,1296.10,1026.30,1174.06,1011.20,1150.79,1140.33
1935,1071.16,999.00,1378.55,982.50,950.90,966.00,1077.48,1117.06,1039.42,1056.46,1060.13,1016.69,1093.40,985.64,978.30,1029.20,1263.49,921.40,1044.68,966.00,1167.12,986.50
1936,1232.64,1163.10,1482.54,1135.80,1134.36,1035.40,1209.90,1281.41,1174.12,1222.59,1219.22,1190.69,1287.19,1137.72,1166.84,1246.88,1397.15,1034.70,1222.95,1035.40,1203.01,1174.08
1937,1605.35,1508.10,1905.81,1484.30,1479.26,1347.30,1570.79,1669.92,1530.48,1593.61,1585.33,1554.87,1674.37,1484.83,1535.96,1613.63,1804.07,1396.20,1600.25,1347.30,1550.26,1544.16
1938,1004.69,987.30,1173.25,979.41,954.40,815.30,944.26,1042.66,906.88,1016.16,946.30,995.69,1006.92,980.45,978.51,975.65,1126.25,950.20,1008.91,815.30,993.46,982.96
1939,1327.72,1264.10,1568.25,1250.43,1218.58,1134.40,1293.39,1379.74,1253.21,1325.84,1297.08,1292.85,1362.30,1251.57,1272.84,1314.31,1489.05,1199.80,1326.24,1134.40,1315.21,1283.35
1940,1398.17,1334.00,1635.39,1309.16,1319.45,1197.60,1361.37,1444.98,1317.43,1391.59,1366.59,1364.79,1435.66,1309.22,1349.24,1422.32,1556.48,1217.20,1395.65,1197.60,1337.29,1353.46
1941,1396.65,1347.50,1586.67,1316.98,1317.26,1155.60,1342.00,1460.74,1308.60,1412.90,1360.29,1381.71,1446.81,1313.98,1364.06,1411.68,1537.34,1204.00,1415.74,1155.60,1265.52,1372.29
1942,1157.58,1096.80,1410.99,1082.40,1063.29,970.90,1129.25,1205.02,1096.73,1151.13,1131.36,1119.04,1192.92,1084.16,1091.18,1134.25,1325.11,1029.10,1145.77,970.90,1143.47,1099.22
1943,1154.61,1103.50,1354.69,1079.07,1069.02,1021.60,1150.65,1195.54,1117.89,1148.94,1157.04,1120.98,1202.08,1079.82,1097.99,1140.92,1285.79,988.60,1144.45,1021.60,1138.77,1104.25
1944,1325.76,1281.00,1576.76,1262.78,1241.19,1106.00,1269.79,1376.64,1230.61,1330.37,1269.17,1299.09,1342.32,1263.21,1274.07,1316.48,1498.07,1195.30,1324.59,1106.00,1302.46,1280.34
1945,939.48,908.30,1151.49,885.27,886.52,821.70,918.49,979.50,886.33,943.68,908.62,918.08,946.67,886.68,888.22,903.61,1081.08,800.00,931.44,821.70,973.02,891.60
1946,950.97,930.90,1133.99,914.84,911.79,822.20,918.19,996.30,886.59,966.69,911.20,940.05,953.18,915.19,906.48,895.26,1079.90,855.40,950.37,822.20,959.41,909.53
1947,991.00,950.20,1224.91,933.53,902.92,853.50,970.47,1031.24,940.47,988.98,963.64,958.94,1007.47,936.08,930.74,955.69,1144.85,871.80,978.14,853.50,1034.27,936.85
1948,1048.80,1039.60,1144.34,1013.74,1014.88,832.40,981.67,1094.25,953.91,1072.95,1002.57,1054.48,1079.57,1011.36,1040.71,1075.54,1132.18,918.00,1072.72,832.40,919.07,1046.90
1949,1101.87,1076.60,1309.88,1061.14,1045.66,909.80,1051.95,1140.21,1016.26,1106.14,1053.35,1085.56,1112.63,1064.76,1063.63,1054.91,1245.24,1003.90,1097.63,909.80,1135.67,1071.17
1950,1021.42,943.50,1352.34,930.80,919.38,914.00,1032.10,1056.21,993.48,992.67,1013.67,958.26,1043.81,935.00,920.84,971.51,1222.26,883.80,979.42,914.00,1159.59,923.51
1951,1170.43,1071.60,1493.13,1060.01,1042.98,1097.60,1194.76,1208.93,1151.76,1138.84,1172.67,1103.29,1195.21,1063.97,1078.00,1150.16,1364.22,1017.10,1138.23,1097.60,1240.80,1084.60
1952,1220.26,1157.70,1474.81,1140.09,1142.00,1092.60,1200.63,1263.15,1173.90,1212.85,1186.94,1187.99,1229.14,1139.86,1173.07,1188.62,1383.64,1074.90,1213.54,1092.60,1255.93,1178.76
1953,922.64,877.40,1116.17,869.45,856.89,828.00,911.96,931.12,873.26,896.21,902.86,887.82,928.83,871.84,888.89,927.45,1039.08,840.00,902.46,828.00,933.99,893.03
1954,1190.57,1128.10,1478.31,1123.89,1109.93,1074.80,1179.07,1195.43,1138.90,1147.59,1159.57,1139.32,1187.54,1126.10,1139.39,1165.89,1359.35,1108.30,1152.96,1074.80,1270.47,1144.17
1955,1378.72,1332.30,1597.21,1312.06,1307.19,1172.60,1324.71,1412.39,1293.56,1370.88,1326.34,1356.67,1394.03,1312.46,1360.60,1388.51,1524.99,1237.10,1380.65,1172.60,1328.78,1365.65
1956,1080.88,1029.80,1313.73,1024.99,993.65,938.10,1062.91,1122.75,1021.13,1076.05,1059.54,1043.50,1103.81,1025.86,1008.80,1035.33,1232.39,1007.20,1063.99,938.10,1133.42,1016.50
1957,1126.19,1053.60,1324.42,1051.37,1025.66,998.60,1115.25,1165.92,1077.87,1114.66,1116.37,1083.48,1161.40,1053.32,1064.07,1143.67,1253.68,1043.10,1117.64,998.60,1103.32,1071.33
1958,1240.88,1171.50,1499.52,1145.15,1126.68,1100.10,1242.05,1297.63,1202.33,1237.45,1243.23,1195.51,1292.47,1146.97,1156.06,1218.72,1409.34,1047.60,1227.81,1100.10,1287.42,1165.34
1959,1326.23,1266.80,1487.05,1242.05,1222.72,1118.40,1291.96,1392.29,1259.06,1341.71,1315.39,1298.69,1395.24,1243.71,1265.96,1373.81,1446.09,1150.40,1340.21,1118.40,1260.37,1274.87
1960,1282.20,1154.70,1657.41,1144.43,1120.70,1204.90,1324.26,1331.13,1277.79,1242.85,1303.47,1194.38,1329.01,1148.79,1155.85,1262.35,1505.28,1106.40,1239.54,1204.90,1390.67,1163.76
1961,1031.80,989.70,1125.94,973.60,954.09,873.80,1014.04,1082.10,990.99,1044.71,1041.40,1009.04,1102.65,972.90,976.20,1068.74,1105.52,914.00,1038.98,873.80,958.98,982.62
1962,1224.94,1198.30,1534.98,1177.80,1139.33,1059.20,1200.34,1302.73,1148.40,1253.18,1187.09,1187.51,1242.21,1179.89,1084.04,1138.33,1440.60,1101.90,1201.00,1059.20,1305.10,1090.95
1963,1339.05,1284.90,1632.24,1261.95,1222.89,1136.50,1311.90,1424.78,1258.74,1363.48,1312.77,1297.67,1384.90,1265.02,1216.71,1297.44,1545.69,1177.00,1329.64,1136.50,1340.16,1224.40
1964,1262.37,1220.10,1407.29,1199.00,1183.63,1085.40,1232.27,1317.60,1202.31,1276.95,1250.09,1244.89,1314.57,1198.21,1221.51,1264.47,1370.16,1120.90,1273.89,1085.40,1181.63,1228.66
1965,1103.66,1044.00,1239.12,1024.44,1026.08,926.10,1075.48,1137.90,1059.06,1094.66,1096.20,1081.28,1159.53,1022.54,1093.11,1138.85,1195.41,952.00,1113.60,926.10,1006.23,1100.38
1966,1348.93,1241.00,1583.14,1214.97,1210.90,1204.30,1362.95,1392.94,1335.53,1320.53,1376.34,1294.50,1429.14,1214.97,1302.42,1377.16,1492.33,1118.60,1343.14,1204.30,1310.28,1312.35
1967,1129.76,1114.50,1232.02,1096.85,1089.06,907.90,1059.70,1167.97,1038.62,1145.40,1079.73,1131.85,1156.67,1096.76,1128.52,1149.64,1214.47,1031.50,1150.52,907.90,1008.47,1135.73
1968,1294.99,1233.20,1496.90,1210.21,1203.17,1132.60,1267.82,1337.64,1228.78,1289.37,1271.51,1267.62,1328.06,1212.02,1266.80,1312.49,1429.89,1125.10,1301.04,1132.60,1232.39,1275.18
1969,1380.03,1288.60,1652.84,1263.68,1255.13,1243.50,1384.30,1421.23,1346.60,1354.75,1382.61,1328.14,1428.98,1265.33,1324.74,1384.78,1549.02,1171.40,1367.14,1243.50,1368.47,1333.64
1970,1331.75,1292.20,1453.24,1266.38,1258.22,1061.00,1271.42,1393.77,1242.09,1352.31,1309.70,1326.77,1405.32,1265.74,1319.74,1335.81,1433.63,1170.80,1358.66,1061.00,1162.55,1328.71
1971,1069.05,1028.80,1319.46,1011.92,994.16,955.30,1066.21,1103.67,1030.39,1059.63,1057.26,1030.36,1090.44,1012.32,989.90,1015.15,1229.08,949.40,1041.94,955.30,1090.09,996.68
1972,1187.00,1160.80,1425.38,1141.34,1121.41,1038.10,1157.37,1211.72,1106.99,1176.76,1148.59,1160.75,1190.24,1144.11,1143.06,1147.18,1341.94,1069.30,1169.41,1038.10,1189.38,1150.61
1973,1118.39,1107.00,1394.78,1091.26,1050.20,946.90,1076.97,1185.61,1026.43,1147.61,1063.00,1090.90,1118.94,1093.55,998.80,1046.68,1314.08,1033.00,1099.50,946.90,1176.37,1004.40
1974,1311.82,1275.90,1537.54,1254.21,1238.46,1129.20,1277.83,1343.71,1240.70,1303.27,1280.58,1284.36,1337.38,1254.55,1268.65,1290.82,1461.18,1173.90,1299.95,1129.20,1271.13,1276.25
1975,955.45,936.40,1105.91,921.66,914.81,842.70,927.22,978.29,896.13,954.67,922.97,942.93,957.75,921.57,932.93,939.04,1056.66,867.10,952.42,842.70,926.48,938.08
1976,1379.80,1312.70,1634.81,1291.92,1255.71,1251.20,1387.83,1435.98,1353.50,1376.40,1388.79,1323.50,1437.55,1293.99,1261.81,1392.00,1546.50,1215.00,1356.51,1251.20,1378.09,1270.08
1977,1129.99,1079.20,1209.35,1056.42,1077.21,890.80,1063.60,1169.65,1048.78,1134.55,1095.56,1136.15,1180.03,1053.65,1181.91,1163.21,1196.31,972.10,1171.39,890.80,951.45,1190.00
1978,1356.32,1275.70,1507.22,1251.37,1249.98,1116.50,1316.30,1407.05,1295.55,1350.54,1349.12,1331.07,1436.80,1250.75,1349.75,1410.83,1463.50,1161.30,1378.45,1116.50,1200.95,1359.87
1979,1453.15,1372.00,1760.67,1346.63,1317.52,1270.50,1441.32,1522.76,1395.70,1452.68,1440.88,1402.76,1504.73,1349.00,1359.35,1425.13,1656.31,1252.70,1442.38,1270.50,1484.04,1369.58
1980,1321.63,1272.10,1575.90,1249.22,1239.97,1171.70,1304.48,1351.84,1265.02,1304.84,1299.59,1287.84,1344.07,1249.00,1278.11,1283.83,1483.17,1164.50,1305.45,1171.70,1309.23,1286.59
1981,1299.78,1298.30,1490.76,1275.89,1256.08,1052.30,1223.92,1356.99,1186.44,1329.34,1233.42,1295.01,1316.41,1274.42,1245.74,1272.06,1446.78,1192.90,1305.48,1052.30,1230.74,1251.71
1982,1011.25,939.70,1185.98,922.43,928.07,915.60,1010.85,1027.76,995.91,982.28,1010.98,970.37,1045.91,925.35,980.51,1067.70,1114.78,858.50,1000.95,915.60,1006.17,984.58
1983,951.02,964.30,1156.20,951.65,923.17,821.70,905.68,991.99,857.05,974.89,888.38,945.36,924.44,953.91,888.45,860.13,1097.42,904.80,940.31,821.70,1010.17,894.73
1984,1215.24,1128.30,1419.64,1098.17,1097.98,1030.20,1199.42,1289.53,1174.93,1224.20,1216.31,1176.83,1291.34,1096.65,1147.91,1267.13,1358.41,986.60,1227.96,1030.20,1118.00,1154.12
1985,1102.40,1044.30,1316.16,1021.95,1016.87,959.60,1088.18,1140.48,1062.36,1092.38,1089.98,1070.72,1137.88,1020.78,1062.14,1090.87,1240.33,939.20,1096.89,959.60,1087.77,1069.41
1986,1157.40,1108.40,1370.56,1087.81,1072.61,943.70,1111.38,1208.78,1081.74,1161.99,1120.80,1129.37,1195.65,1088.50,1102.84,1173.92,1306.15,1011.60,1158.31,943.70,1094.24,1109.24
1987,1186.11,1152.40,1338.08,1132.13,1129.67,992.60,1142.54,1214.93,1113.39,1181.54,1157.78,1172.20,1220.55,1131.81,1175.59,1185.63,1290.97,1057.10,1190.46,992.60,1127.19,1183.85
1988,1063.08,972.90,1257.19,953.70,950.43,914.30,1053.84,1113.94,1035.68,1053.45,1063.81,1024.80,1121.06,954.55,1025.10,1094.67,1189.82,882.60,1070.86,914.30,1009.82,1033.24
1989,1030.82,1026.00,1113.99,1009.99,999.42,830.80,961.33,1072.13,923.65,1055.61,977.61,1040.45,1046.42,1009.55,1033.05,1041.40,1106.38,950.70,1056.59,830.80,901.65,1039.25
1990,895.34,842.70,1085.93,829.07,816.70,815.90,909.84,932.77,879.80,887.86,909.47,856.10,936.06,830.36,820.18,866.96,1016.25,778.60,876.02,815.90,927.24,825.55
1991,1211.92,1189.30,1314.18,1171.88,1164.17,968.40,1137.69,1266.14,1110.90,1237.86,1162.83,1214.49,1250.20,1169.21,1201.77,1235.39,1301.99,1107.40,1240.07,968.40,1054.29,1208.34
1992,1022.69,1012.20,1151.79,979.58,970.77,842.10,975.39,1066.92,945.47,1042.29,988.28,1020.83,1051.82,978.63,1002.47,1032.66,1123.25,858.80,1038.10,842.10,934.28,1010.21
1993,1037.08,971.80,1280.88,942.54,956.16,947.40,1047.19,1075.76,1006.52,1023.08,1038.06,997.36,1067.55,943.22,977.26,1021.82,1189.15,834.20,1022.13,947.40,1073.58,982.46
1994,971.82,907.60,1186.08,896.27,881.34,836.20,950.83,1016.61,919.82,967.64,946.34,937.17,994.62,899.61,918.01,980.07,1113.60,854.30,969.08,836.20,941.09,924.24
1995,1357.79,1270.80,1644.95,1256.17,1234.06,1229.10,1351.31,1411.33,1310.21,1346.59,1338.48,1306.51,1384.86,1258.27,1279.06,1360.39,1541.69,1202.00,1346.73,1229.10,1343.49,1287.54
1996,1441.80,1328.10,1827.15,1299.73,1303.74,1330.10,1460.32,1494.22,1415.34,1410.96,1436.84,1371.94,1474.18,1297.16,1345.61,1423.64,1675.83,1194.70,1414.10,1330.10,1507.60,1355.26
1997,1030.97,1000.70,1218.01,988.07,977.87,903.20,1000.09,1051.93,974.04,1021.75,992.89,1011.18,1031.66,985.18,1006.36,1011.56,1151.37,941.30,1023.30,903.20,1021.71,1012.53
1998,1214.25,1159.80,1400.52,1150.49,1123.80,1016.80,1167.30,1269.11,1118.52,1223.57,1175.67,1189.21,1245.70,1148.80,1166.14,1234.75,1346.28,1116.00,1223.80,1016.80,1157.42,1174.26
1999,1373.78,1355.90,1612.62,1322.11,1307.01,1174.10,1326.26,1406.16,1280.26,1371.72,1324.93,1354.88,1387.07,1322.11,1339.07,1360.56,1536.51,1197.00,1366.20,1174.10,1270.15,1346.87
2000,980.87,894.00,1199.03,871.56,868.55,906.50,1001.52,1042.62,974.42,980.73,997.44,934.97,1031.45,871.73,898.55,990.95,1121.39,788.50,977.66,906.50,1010.29,905.31
2001,1182.00,1150.70,1348.52,1121.65,1144.04,938.00,1120.44,1235.64,1097.02,1197.70,1140.47,1175.76,1224.71,1118.73,1158.21,1180.76,1308.08,1014.10,1196.34,938.00,1043.51,1162.45
2002,1244.14,1203.00,1395.65,1183.39,1162.64,1004.10,1188.42,1291.99,1156.74,1251.90,1213.22,1226.11,1297.32,1183.19,1213.72,1276.63,1356.96,1110.80,1256.12,1004.10,1142.70,1221.99
2003,988.75,939.50,1167.59,945.65,920.98,904.80,982.73,1014.36,955.14,976.85,975.29,955.77,999.83,945.66,937.26,947.73,1100.22,968.40,972.39,904.80,1025.86,942.70
2004,1420.91,1378.60,1650.56,1339.88,1336.38,1219.40,1396.17,1470.15,1359.31,1421.18,1409.11,1395.33,1476.08,1335.95,1376.29,1399.88,1577.99,1196.50,1417.69,1219.40,1292.58,1384.20
2005,1411.14,1348.50,1638.63,1331.32,1295.98,1267.10,1399.28,1457.24,1369.59,1404.87,1399.63,1372.54,1450.54,1326.97,1354.16,1411.75,1560.39,1267.70,1405.66,1267.10,1309.82,1363.59
2006,1122.88,1113.40,1238.54,1099.13,1078.01,921.40,1064.87,1153.47,1033.85,1132.28,1081.86,1118.69,1148.02,1100.14,1107.88,1122.64,1212.27,1046.30,1130.83,921.40,1031.39,1116.20
2007,1192.17,1158.40,1409.30,1149.92,1128.20,1019.40,1153.98,1221.36,1115.72,1184.34,1152.76,1165.53,1204.89,1149.97,1145.95,1159.38,1335.69,1118.50,1178.31,1019.40,1160.62,1153.44
2008,1193.92,1130.10,1418.54,1104.71,1092.33,1083.70,1203.18,1245.57,1171.44,1191.09,1204.10,1153.36,1243.90,1105.99,1119.82,1175.37,1340.54,1010.70,1183.10,1083.70,1187.90,1126.63
2009,1415.86,1367.30,1733.23,1337.53,1277.99,1274.80,1424.29,1488.28,1373.07,1427.13,1418.28,1366.71,1464.53,1339.60,1292.47,1328.25,1628.49,1227.30,1391.01,1274.80,1450.49,1302.62
2010,1627.49,1514.90,1943.19,1479.54,1501.02,1430.50,1617.11,1692.56,1576.99,1610.73,1620.49,1574.65,1691.32,1479.93,1563.77,1642.23,1830.07,1348.60,1625.02,1430.50,1595.02,1572.49
2011,873.46,820.00,1018.91,804.94,796.21,783.10,882.91,901.44,868.03,860.55,891.85,839.41,923.79,806.19,826.49,876.00,964.87,749.20,862.23,783.10,857.71,831.76
2012,1108.15,1052.10,1333.50,1034.24,1028.13,959.60,1089.98,1149.27,1055.23,1101.00,1089.63,1074.04,1138.88,1035.42,1052.12,1091.62,1255.12,968.10,1098.02,959.60,1115.84,1058.21
2013,1381.88,1261.00,1628.29,1229.08,1255.07,1206.30,1388.53,1447.13,1369.35,1365.52,1406.27,1330.49,1474.22,1228.52,1326.09,1409.68,1539.96,1110.90,1385.99,1206.30,1309.50,1335.36
2014,1553.36,1466.80,1797.05,1446.56,1439.51,1296.10,1500.51,1611.22,1450.73,1546.94,1515.69,1519.45,1604.86,1448.57,1523.44,1581.20,1718.94,1371.60,1565.76,1296.10,1486.44,1532.44
2015,1123.95,1085.00,1341.21,1073.67,1054.14,937.70,1087.58,1159.60,1056.69,1118.41,1091.92,1094.87,1150.87,1075.54,1069.85,1094.65,1269.74,1031.70,1110.74,937.70,1083.37,1077.10
2016,1350.29,1331.90,1500.22,1310.38,1301.11,1081.90,1268.86,1398.64,1223.66,1368.64,1289.98,1348.14,1381.10,1310.14,1332.69,1365.17,1468.99,1230.70,1368.45,1081.90,1213.22,1341.45
2017,1064.03,1029.40,1274.63,1015.92,1004.93,923.50,1035.12,1101.92,997.06,1064.92,1029.07,1040.59,1073.53,1016.89,1012.71,1026.41,1204.92,966.00,1055.17,923.50,1068.68,1019.37
2018,1128.57,1085.40,1268.98,1064.96,1069.56,932.20,1084.49,1170.42,1053.84,1132.74,1102.37,1115.53,1170.87,1064.63,1113.14,1145.34,1230.63,989.30,1141.80,932.20,1027.01,1120.06
2019,1386.58,1297.70,1594.83,1263.82,1239.69,1240.30,1405.61,1458.05,1369.79,1388.50,1427.03,1337.32,1486.40,1264.74,1302.89,1407.10,1527.03,1138.40,1386.94,1240.30,1333.38,1312.52
2020,1123.39,1101.70,1319.39,1083.65,1042.48,999.00,1110.56,1161.74,1073.08,1127.85,1110.04,1094.53,1150.29,1085.29,1051.70,1090.81,1256.42,1016.80,1107.05,999.00,1110.08,1058.16
