Variable:,pr
,Morocco,"Meknès - Tafilalet",Oriental,"Chaouia - Ouardigha","Doukkala - Abda","Fès - Boulemane","Gharb - Chrarda - Béni Hssen","Grand Casablanca","Guelmim - Es-Semara","Laâyoune - Boujdour - Sakia El Hamra","Marrakech - Tensift - Al Haouz","Rabat - Salé - Zemmour - Zaer","Souss - Massa - Draâ","Tadla - Azilal","Tanger - Tétouan","Taza - Al Hoceima - Taounate"
1927,347.36,379.55,314.98,509.28,409.11,465.80,676.38,518.26,121.32,76.59,355.34,625.61,266.54,478.69,681.96,543.79
1928,323.80,369.96,365.86,411.75,314.55,481.65,524.96,391.82,110.56,72.86,302.65,495.45,243.92,434.11,572.89,509.11
1929,256.17,274.01,301.40,312.01,226.02,372.48,426.06,296.87,98.79,75.24,224.79,390.99,186.83,350.15,477.04,437.46
1930,305.04,345.15,304.34,388.96,293.51,437.09,558.54,379.81,118.44,83.21,280.78,495.49,226.95,410.75,627.15,495.61
1931,239.94,272.18,245.12,318.09,243.45,348.50,466.13,320.35,90.13,73.38,216.87,406.29,157.66,305.86,520.58,410.51
1932,309.23,334.19,317.54,382.12,304.18,414.00,601.37,372.91,119.30,75.38,303.05,481.48,236.09,405.36,685.06,485.66
1933,386.43,389.56,460.34,534.20,474.85,522.36,732.35,578.77,144.32,82.71,385.94,634.00,262.10,444.47,758.76,602.20
1934,289.38,312.76,318.92,397.90,299.32,421.88,565.74,396.76,87.28,71.79,264.62,498.28,197.94,388.00,589.37,498.82
1935,233.62,279.12,283.88,297.64,204.07,358.32,417.89,282.91,66.72,71.23,182.27,386.20,151.41,316.84,465.75,393.37
1936,382.97,421.99,393.94,529.33,396.88,583.69,862.75,539.41,99.19,80.83,340.91,704.50,227.48,480.72,981.90,715.84
1937,297.71,323.29,294.98,425.63,312.79,462.48,679.18,444.87,82.90,72.94,259.62,552.32,185.36,382.04,730.76,544.21
1938,313.07,363.07,322.25,448.66,350.34,441.89,527.51,439.95,108.81,76.75,302.28,542.81,226.82,447.85,551.91,464.70
1939,334.57,345.36,285.06,491.64,448.57,427.65,631.28,510.24,125.45,80.04,391.75,559.97,259.81,450.49,709.66,505.52
1940,348.69,367.66,335.78,500.92,418.01,500.56,656.39,514.26,122.54,79.39,366.40,603.63,257.18,465.42,694.46,545.56
1941,353.89,406.59,361.50,450.83,354.97,516.31,654.70,423.24,118.50,73.49,333.89,572.04,260.58,489.30,723.26,569.15
1942,395.19,440.96,344.47,571.49,487.81,516.17,718.41,576.46,151.33,107.89,431.19,694.12,304.49,545.45,773.28,574.46
1943,348.76,392.55,433.01,409.75,350.81,470.90,491.38,376.92,123.89,82.08,353.28,468.58,288.28,472.07,520.20,488.07
1944,247.68,285.71,227.26,304.14,222.09,352.24,436.04,292.17,104.89,84.04,228.67,408.45,197.83,359.06,488.51,385.41
1945,206.06,210.86,198.31,250.40,220.61,269.34,445.05,251.47,84.26,74.19,196.06,316.57,158.41,257.50,497.95,344.32
1946,315.12,333.52,299.43,394.42,334.63,409.07,595.78,383.73,136.52,77.97,313.96,489.86,254.31,399.55,670.08,505.74
1947,287.55,289.77,239.73,386.07,315.23,412.20,638.50,400.80,125.86,76.12,284.36,505.95,208.26,358.01,713.35,490.96
1948,302.31,324.47,330.88,369.00,327.62,385.04,458.05,339.45,109.56,52.10,335.41,404.02,262.02,412.02,523.98,443.46
1949,353.29,409.39,405.41,487.71,380.86,484.96,537.87,471.37,116.82,106.95,358.63,528.71,264.57,498.59,556.65,507.93
1950,266.02,277.51,357.31,314.19,237.05,362.75,374.10,313.14,104.46,65.24,231.95,361.01,217.60,337.26,416.17,411.66
1951,350.35,409.22,372.14,444.70,371.21,459.70,586.67,430.41,163.15,119.71,323.48,531.44,264.78,450.72,641.18,483.18
1952,275.47,317.31,322.75,361.48,271.20,403.58,491.55,360.76,84.24,70.62,247.59,464.18,193.97,358.12,516.55,429.12
1953,345.02,395.60,344.71,374.87,360.00,409.31,429.62,335.07,196.61,135.53,368.88,421.49,325.07,436.63,524.17,417.74
1954,308.35,344.43,348.91,408.69,326.21,413.56,477.07,390.29,131.78,142.18,297.21,485.56,226.65,422.58,487.87,448.31
1955,387.83,459.07,377.01,548.45,446.35,520.01,744.06,552.92,116.01,57.21,382.25,661.10,281.09,518.00,841.63,595.15
1956,398.47,442.95,338.94,538.17,424.55,540.20,712.21,518.58,169.40,127.77,403.32,648.94,316.42,578.11,788.01,630.14
1957,369.93,416.51,400.35,534.49,425.02,491.77,613.49,525.11,117.14,66.48,376.31,614.90,284.17,531.72,630.79,531.43
1958,285.90,345.94,346.22,368.66,276.91,416.62,489.23,360.90,81.69,65.72,247.76,455.94,199.32,375.06,519.13,445.51
1959,293.77,340.43,336.03,369.64,274.19,402.14,505.43,358.14,101.42,64.57,266.05,446.53,221.97,399.27,562.20,448.84
1960,385.01,450.25,365.84,564.62,416.59,551.04,802.06,582.29,111.00,65.70,350.23,707.68,261.54,520.57,865.71,640.94
1961,243.08,289.77,238.13,320.71,249.50,371.23,469.24,321.50,74.38,49.31,218.50,420.09,165.42,314.17,580.64,393.67
1962,378.63,404.70,382.95,530.37,430.38,503.87,631.44,528.75,139.02,94.98,396.50,612.54,302.76,524.23,708.88,557.29
1963,494.38,530.34,497.26,661.46,568.34,711.92,879.40,685.12,188.71,67.34,510.17,816.60,366.57,622.92,971.08,790.40
1964,299.88,316.66,325.60,395.91,348.83,392.92,522.63,404.82,129.06,89.90,312.49,442.04,224.04,360.75,573.11,446.56
1965,398.32,474.91,375.76,493.80,407.86,521.41,590.44,455.33,157.50,76.59,421.63,573.46,357.73,582.47,641.78,547.30
1966,228.61,270.88,206.74,286.38,219.01,317.13,399.20,279.65,120.00,62.44,199.44,366.61,183.29,305.37,434.36,320.29
1967,375.70,408.24,331.43,437.28,423.50,445.76,501.36,408.35,207.16,83.89,435.66,472.91,377.01,507.38,560.07,467.68
1968,356.35,392.42,337.85,493.09,412.43,483.00,631.51,503.41,132.60,71.55,382.67,586.70,281.72,491.11,632.50,543.06
1969,432.04,492.96,404.62,607.30,488.48,644.67,835.30,612.89,112.15,79.60,442.55,741.19,307.55,603.77,963.99,709.15
1970,319.19,316.28,211.00,460.43,406.40,399.35,566.15,453.14,174.57,90.00,366.65,506.23,284.54,448.60,664.08,456.48
1971,416.90,500.48,438.70,612.60,456.58,626.09,728.66,611.13,112.59,85.64,412.32,729.85,290.93,572.81,714.72,644.16
1972,369.80,407.86,320.04,514.99,422.86,513.22,614.88,491.10,148.71,109.47,395.41,608.17,303.93,533.00,681.89,543.92
1973,294.35,336.27,338.68,388.49,283.85,452.70,456.39,378.87,106.31,76.36,255.35,494.18,204.28,400.75,456.51,509.24
1974,280.87,334.53,329.89,363.15,266.87,387.92,408.77,333.95,90.11,59.66,276.20,428.35,216.84,418.06,422.11,407.40
1975,301.82,379.67,384.50,384.68,268.34,481.74,541.31,378.92,72.54,71.81,230.43,507.07,177.12,403.64,582.65,512.14
1976,434.38,519.69,469.61,549.26,405.90,647.11,759.73,524.68,116.78,52.85,402.27,678.54,326.12,617.47,839.50,712.41
1977,329.01,366.20,312.66,431.37,392.24,412.63,559.09,422.27,127.63,56.20,361.14,498.25,279.00,447.59,598.25,468.41
1978,297.90,294.91,243.28,438.11,376.36,386.01,554.06,445.54,132.84,61.33,337.28,506.32,244.60,416.80,585.90,451.00
1979,333.54,388.09,365.58,423.79,366.31,461.52,568.91,423.97,111.64,79.16,325.51,527.01,242.50,422.82,625.72,530.61
1980,315.03,334.55,318.31,393.10,341.17,380.09,455.13,368.04,159.60,84.96,342.07,421.80,280.55,425.74,496.49,436.21
1981,177.85,194.74,186.98,207.21,161.72,254.60,347.58,196.12,66.20,63.11,158.44,259.82,125.66,231.27,412.12,322.62
1982,314.60,406.29,354.46,413.29,290.56,475.66,510.24,402.34,91.94,71.81,275.47,502.76,221.84,443.60,535.10,470.18
1983,196.51,215.25,139.62,305.43,261.00,261.12,399.13,314.67,72.78,49.78,225.62,364.48,151.40,284.14,425.31,284.56
1984,186.47,180.07,185.01,260.29,249.19,224.63,319.12,271.34,76.36,69.15,218.04,305.89,143.76,247.17,392.97,266.55
1985,308.44,385.72,285.77,396.45,326.38,388.86,433.20,368.17,144.81,84.21,314.88,426.43,275.53,427.02,480.23,374.01
1986,257.97,289.44,343.34,304.67,244.25,393.50,432.33,317.85,81.64,64.10,222.74,395.66,167.86,303.87,478.84,435.61
1987,345.02,387.13,267.75,462.98,424.74,427.66,608.99,469.91,166.11,68.07,389.22,558.25,301.11,456.47,661.24,455.31
1988,354.22,422.32,282.94,453.65,452.71,395.12,451.28,407.77,182.75,92.87,442.27,438.61,351.46,491.90,503.42,388.11
1989,379.35,419.25,309.11,494.49,440.77,477.39,700.60,488.99,161.89,108.83,415.20,575.47,318.50,519.25,828.75,551.97
1990,268.74,287.14,298.21,348.04,295.90,369.96,473.17,340.06,90.90,68.11,275.22,406.53,202.29,346.93,517.50,428.55
1991,332.99,392.15,341.03,418.52,347.89,417.73,534.65,388.41,108.67,65.61,351.49,462.23,283.91,491.00,631.67,460.63
1992,261.95,309.11,273.91,286.51,221.73,356.41,364.97,232.56,106.03,65.03,246.28,324.74,230.42,406.19,427.06,411.58
1993,270.14,257.72,253.10,333.29,322.03,338.22,492.35,325.04,135.86,112.11,296.05,380.36,217.69,332.85,589.19,428.99
1994,215.45,268.10,258.99,259.89,206.14,310.52,338.44,246.31,67.37,58.20,188.45,300.98,154.57,288.15,386.43,333.22
1995,264.13,283.60,240.32,335.67,316.99,306.93,364.00,310.33,135.48,65.98,315.67,339.46,252.80,381.62,405.59,311.68
1996,522.42,563.11,379.16,746.90,699.04,648.80,1021.16,771.08,233.98,115.75,618.09,877.34,433.42,706.83,1101.90,709.67
1997,340.96,399.89,291.01,466.40,386.52,443.03,571.37,451.54,136.71,75.83,366.59,537.20,292.19,489.94,631.20,455.99
1998,227.92,256.64,217.60,272.50,242.79,296.55,333.81,259.68,120.80,78.32,232.75,307.94,191.50,299.90,407.21,318.52
1999,282.93,309.80,243.03,405.87,361.91,338.34,425.21,394.24,116.51,78.86,337.25,414.19,261.65,412.15,444.25,365.98
2000,235.11,259.15,229.41,311.14,252.68,358.77,495.91,324.52,79.23,70.95,219.41,435.50,153.16,295.54,539.80,403.12
2001,228.71,253.31,243.52,309.00,228.14,341.88,433.38,310.87,78.47,83.13,196.75,396.70,156.22,299.79,472.35,391.73
2002,339.36,351.40,250.64,474.40,415.13,385.23,581.41,459.67,184.38,103.04,397.00,525.18,315.26,483.60,619.22,436.73
2003,343.35,368.99,347.76,472.22,377.69,465.88,633.65,477.99,115.79,75.52,334.89,559.34,259.56,465.23,715.79,566.49
2004,283.26,319.20,300.76,372.60,304.08,360.00,421.09,341.68,113.88,77.97,300.43,419.83,238.66,400.22,448.57,379.46
2005,224.41,238.42,211.89,293.72,270.42,285.66,388.51,291.38,102.21,107.39,239.98,342.31,177.42,289.02,427.09,334.33
2006,328.50,392.66,331.68,443.72,383.52,432.41,516.73,435.87,113.43,74.22,352.73,491.43,263.34,458.13,569.46,442.44
2007,255.02,311.18,300.23,335.99,244.46,387.95,442.48,324.20,64.35,84.99,219.19,420.97,167.82,355.46,473.07,419.98
2008,350.56,423.59,378.27,457.49,331.74,524.94,643.85,441.29,98.35,79.94,309.36,578.48,253.34,489.22,673.46,562.97
2009,358.69,373.32,300.01,484.81,455.99,432.77,624.16,492.27,173.86,79.43,417.48,553.57,309.10,486.20,672.12,497.35
2010,457.20,490.33,394.67,610.40,528.06,625.76,931.75,624.85,169.45,93.47,477.29,780.38,338.31,609.55,1083.74,754.25
2011,364.13,418.01,379.18,447.33,388.36,492.62,584.99,434.80,132.41,74.31,397.01,521.02,301.89,478.03,632.27,521.79
2012,316.78,385.71,346.21,394.74,309.58,422.64,483.16,360.68,109.86,64.22,316.04,459.52,263.11,445.21,516.59,432.02
2013,260.82,300.93,292.84,349.16,250.57,405.20,500.48,337.81,70.17,67.86,230.59,450.86,167.49,363.30,521.37,451.98
2014,293.07,303.95,260.90,409.14,379.13,343.77,471.13,414.26,135.80,87.18,343.37,453.57,265.85,388.73,510.19,367.73
2015,221.12,267.78,273.78,237.52,186.64,333.90,327.61,222.84,74.57,61.06,190.03,292.52,171.38,291.97,374.66,343.68
2016,274.46,324.83,297.03,354.61,266.53,418.65,548.23,362.87,84.51,76.03,233.87,474.15,182.31,344.62,591.04,452.27
2017,211.76,234.86,201.47,290.37,251.35,280.97,387.52,292.34,71.82,62.82,222.48,350.83,156.95,297.34,444.64,329.23
2018,411.71,493.94,377.99,601.18,494.63,576.90,751.48,595.30,107.78,80.58,449.66,714.68,309.43,619.38,784.45,582.53
2019,235.46,260.92,244.34,314.18,271.19,311.23,345.14,301.51,82.12,69.07,265.46,348.01,200.13,338.17,370.30,323.26
2020,256.72,256.37,194.43,416.18,357.69,326.81,439.91,403.04,93.30,64.99,329.54,448.13,219.90,421.15,453.34,342.46
