Variable:,pr
,Portugal,Aveiro,Beja,Braga,Braganca,"Castelo Branco",Coimbra,Evora,Faro,Guarda,Leiria,Lisboa,Portalegre,Porto,Santarem,Setubal,"Viana Do Castelo","Vila Real",Viseu
1935,680.40,902.26,442.46,1157.58,714.65,667.71,807.47,495.69,414.79,713.08,740.59,641.70,571.34,1031.30,639.08,510.09,1267.98,969.93,853.15
1936,1053.41,1291.32,806.72,1571.81,975.26,1035.77,1222.50,843.33,871.93,1060.55,1156.18,1037.37,924.79,1396.25,1028.02,892.77,1719.66,1324.40,1254.40
1937,1125.91,1455.95,793.54,1711.37,1088.38,1151.22,1371.79,857.11,772.38,1175.24,1284.82,1118.95,961.23,1559.42,1110.20,920.29,1855.17,1442.68,1381.28
1938,572.65,723.69,440.47,842.32,523.64,560.46,675.26,458.46,486.80,562.50,649.07,574.88,494.29,773.49,567.62,487.03,915.51,702.74,672.42
1939,907.11,1071.32,771.66,1220.56,770.96,868.25,1016.71,816.54,777.24,843.93,1033.33,968.08,844.70,1137.85,941.42,856.57,1309.68,1016.80,993.65
1940,915.85,1185.66,666.52,1378.47,842.87,910.96,1110.05,720.06,671.99,923.27,1060.64,935.56,790.44,1260.19,917.25,769.36,1501.88,1138.71,1099.42
1941,1010.49,1220.60,794.94,1437.97,883.97,997.35,1151.91,866.69,774.97,975.88,1167.81,1070.85,934.70,1319.38,1047.46,911.57,1550.51,1193.73,1139.38
1942,912.47,1100.92,772.37,1262.32,746.72,865.39,1024.54,813.59,756.46,819.18,1057.63,1005.02,841.92,1182.53,958.17,871.74,1366.09,1033.98,997.10
1943,770.76,1022.62,534.16,1221.25,737.78,758.09,923.18,588.33,524.17,777.99,872.88,763.65,669.39,1115.44,762.87,621.12,1328.83,1012.77,946.51
1944,534.48,718.53,399.96,843.33,498.85,503.42,635.11,421.73,420.87,507.51,587.66,516.30,456.34,753.38,512.31,443.18,932.48,700.20,648.31
1945,627.53,856.16,464.65,1028.12,601.34,571.84,749.27,467.60,522.83,598.63,693.12,597.80,499.68,934.37,585.37,514.28,1138.77,840.36,773.80
1946,759.79,1024.24,552.88,1257.62,722.86,705.65,909.48,572.60,608.78,717.20,850.17,723.78,614.98,1132.01,719.64,617.78,1392.20,1019.20,930.71
1947,1012.54,1252.16,796.95,1504.29,876.05,961.22,1156.31,845.32,812.94,938.56,1165.45,1086.88,897.76,1379.21,1036.71,923.87,1650.88,1222.84,1152.87
1948,826.94,1051.53,641.09,1250.14,728.25,786.74,941.88,682.97,651.17,772.38,930.61,856.50,737.98,1160.82,838.10,737.22,1361.00,1014.93,957.23
1949,616.67,797.94,482.37,889.10,538.67,593.08,724.16,511.90,481.87,587.07,710.47,655.33,544.65,835.52,629.79,547.08,954.03,739.97,723.39
1950,634.83,848.38,488.68,1037.77,559.18,564.32,718.38,528.53,470.52,554.75,709.36,658.55,553.64,951.49,636.24,560.54,1143.19,808.94,737.72
1951,929.00,1183.08,685.36,1462.58,892.02,879.46,1072.01,735.58,674.31,901.41,1045.04,942.99,808.21,1305.25,919.35,788.15,1622.10,1204.85,1092.07
1952,831.05,1054.47,651.55,1245.87,714.41,777.32,958.03,707.54,625.18,748.16,971.63,900.14,752.94,1154.02,863.41,751.37,1360.77,991.14,944.81
1953,690.00,879.20,566.52,993.77,573.58,653.48,785.49,582.97,594.92,604.30,801.34,747.59,612.53,934.34,720.69,651.92,1067.15,792.77,774.19
1954,534.81,786.22,354.02,989.69,546.41,484.64,638.62,367.06,379.67,520.18,566.07,482.91,404.21,891.16,481.41,403.38,1097.52,775.79,683.65
1955,1096.53,1369.53,817.10,1664.00,1055.51,1086.18,1290.30,850.32,833.36,1115.76,1234.74,1082.05,930.99,1502.41,1076.10,922.58,1830.09,1395.21,1309.60
1956,826.57,1111.59,584.24,1296.49,751.10,821.70,1014.54,625.66,617.87,822.05,960.75,830.52,686.81,1201.13,817.66,675.08,1413.14,1049.76,1017.95
1957,630.91,856.50,481.15,979.07,549.58,601.70,749.56,513.46,496.04,592.50,711.76,626.77,552.55,926.20,619.99,535.98,1052.48,771.10,753.84
1958,822.10,1118.20,567.76,1373.87,827.63,792.94,998.39,598.21,547.58,846.25,910.86,769.64,654.99,1249.73,773.52,643.04,1512.78,1121.15,1038.88
1959,932.30,1262.03,610.62,1568.09,958.69,906.89,1136.39,667.54,589.22,951.42,1061.71,900.98,749.89,1410.17,899.21,726.18,1747.92,1287.56,1165.01
1960,1167.04,1433.73,890.84,1768.43,1076.34,1118.33,1347.44,956.52,876.51,1137.33,1320.60,1184.69,1038.51,1606.24,1169.72,1005.55,1965.31,1461.43,1355.13
1961,887.35,1140.60,651.57,1428.04,926.32,830.63,1013.40,669.58,678.18,912.56,958.75,837.72,718.31,1302.70,833.46,697.31,1544.28,1219.52,1074.85
1962,756.56,841.83,683.96,1066.54,676.34,701.65,790.59,656.65,713.55,704.23,818.18,776.35,678.28,962.27,749.09,701.44,1173.22,903.70,805.94
1963,1256.27,1558.85,1000.50,1811.24,1086.98,1216.04,1439.69,1049.73,1000.20,1213.81,1447.70,1319.39,1120.67,1695.51,1281.46,1125.83,1949.73,1500.64,1449.37
1964,685.65,886.43,509.77,1059.63,611.00,673.14,807.85,538.44,520.86,668.81,795.72,700.01,591.05,966.73,690.13,576.32,1159.60,862.96,812.45
1965,918.19,1176.03,685.79,1385.13,812.05,891.89,1074.73,744.74,670.35,880.82,1067.69,966.33,819.80,1283.08,943.23,800.68,1500.37,1135.58,1075.77
1966,980.55,1375.32,552.89,1677.31,997.27,1001.86,1202.31,702.29,515.77,1058.64,1138.27,952.05,827.57,1532.60,963.45,705.39,1824.93,1381.10,1278.64
1967,641.59,766.49,534.30,928.36,538.53,625.36,721.98,553.98,525.21,597.86,725.25,669.89,592.53,832.02,657.78,586.82,1026.21,743.40,710.97
1968,857.33,1109.83,638.99,1342.68,770.84,816.52,996.10,676.17,634.31,819.10,991.75,891.85,736.24,1232.82,869.61,739.29,1463.30,1091.31,1008.94
1969,1056.78,1281.56,870.79,1567.87,906.15,1012.29,1192.03,887.56,886.09,988.57,1192.64,1082.26,948.83,1424.04,1060.96,935.34,1711.79,1279.06,1196.28
1970,753.18,899.42,687.62,1038.63,629.30,693.12,843.90,663.79,693.75,662.52,849.40,794.26,666.75,954.70,762.61,728.71,1131.34,853.61,808.90
1971,762.93,974.26,567.09,1211.57,753.30,724.27,874.85,588.82,563.57,753.18,848.69,749.76,632.33,1099.25,738.87,640.37,1312.43,1022.66,911.02
1972,967.64,1227.17,760.40,1456.14,896.94,925.28,1115.35,777.09,774.53,937.32,1072.38,985.50,830.05,1338.71,948.93,849.71,1587.96,1196.81,1134.09
1973,599.43,805.79,393.91,969.68,601.11,574.04,729.14,458.96,386.70,602.25,689.91,598.96,506.11,883.73,596.18,476.42,1057.65,799.84,743.62
1974,643.58,938.24,378.60,1192.45,692.40,599.14,801.61,425.61,376.78,672.18,705.77,581.94,486.16,1069.94,583.74,458.39,1309.75,966.90,863.97
1975,690.68,847.24,577.96,1010.65,602.97,647.73,772.75,578.85,600.90,632.51,760.19,731.94,601.22,923.98,691.19,649.25,1116.30,819.56,772.70
1976,891.70,1107.43,731.68,1295.17,745.82,852.99,1032.69,767.67,734.16,832.56,1014.65,938.20,796.09,1196.77,905.48,805.98,1398.03,1047.72,1010.04
1977,1049.27,1363.81,760.92,1658.09,993.03,1000.58,1232.14,826.27,742.63,1021.80,1175.56,1050.02,910.63,1525.10,1031.77,884.52,1802.74,1366.21,1270.96
1978,1014.57,1336.86,664.77,1653.18,1027.66,996.12,1210.42,765.42,621.75,1055.99,1151.29,983.37,869.87,1511.38,989.77,792.40,1814.63,1374.90,1271.26
1979,1038.84,1361.95,711.22,1667.38,969.25,1019.09,1224.64,818.53,673.86,1022.73,1199.48,1072.85,903.77,1507.31,1050.53,861.89,1837.35,1354.45,1252.32
1980,592.82,778.10,454.74,995.66,564.85,533.70,683.01,459.82,453.66,551.58,640.74,576.42,483.22,880.14,558.09,504.37,1116.45,795.19,707.58
1981,688.00,989.27,409.94,1194.06,681.02,676.65,869.51,496.22,388.55,695.39,794.45,665.30,563.98,1089.84,668.12,518.33,1312.12,961.22,889.42
1982,625.36,842.70,444.12,1041.11,593.12,574.57,736.64,483.49,453.60,583.29,700.23,635.03,521.59,933.78,612.57,522.30,1154.41,841.89,748.23
1983,778.29,1001.91,592.65,1242.68,720.79,745.32,899.20,621.88,579.37,772.62,837.11,739.04,666.81,1120.80,732.83,656.12,1356.68,1022.25,945.09
1984,852.81,1185.89,522.32,1471.35,875.95,844.67,1034.55,624.11,505.77,900.41,935.10,790.50,711.35,1333.06,800.79,618.10,1611.03,1209.51,1105.54
1985,846.16,1114.42,594.78,1300.80,759.17,837.82,1039.29,678.70,584.57,834.63,992.21,866.99,740.69,1200.01,856.55,708.34,1417.85,1058.23,1024.28
1986,678.36,921.80,469.40,1153.43,612.89,639.57,824.44,522.44,457.20,632.63,768.79,689.65,570.36,1030.15,668.65,562.37,1284.80,906.54,825.72
1987,936.13,1172.46,768.73,1398.07,825.69,874.73,1076.09,788.92,770.02,863.58,1024.75,974.24,806.49,1278.60,920.37,862.55,1532.12,1138.10,1072.22
1988,792.13,1011.06,618.03,1192.19,726.64,761.52,931.54,641.06,591.33,770.70,894.09,802.08,673.55,1092.15,783.33,706.46,1291.15,987.27,933.46
1989,1069.82,1228.96,996.23,1386.30,907.21,980.20,1140.01,976.17,1000.12,943.26,1186.84,1187.61,968.38,1289.21,1106.61,1097.09,1495.47,1168.70,1118.25
1990,652.62,864.73,479.98,1005.55,580.02,612.11,777.51,534.44,465.12,609.49,755.53,702.33,560.55,920.49,671.02,584.73,1104.56,812.86,766.26
1991,641.18,869.44,470.54,1053.57,588.27,594.14,764.69,490.93,489.82,610.82,715.78,642.21,525.02,954.20,619.52,532.42,1166.60,844.93,778.59
1992,582.88,741.97,432.35,919.45,557.64,557.98,668.53,463.26,424.14,584.74,637.77,580.03,493.40,836.58,562.32,493.58,1006.25,761.08,701.16
1993,814.32,1108.54,573.94,1285.15,752.18,769.87,970.53,642.63,553.59,786.23,946.48,847.46,689.42,1203.95,824.03,697.48,1393.10,1045.56,982.89
1994,693.08,999.85,435.22,1219.75,689.38,653.76,852.65,509.62,404.25,708.11,759.24,656.31,559.91,1108.14,651.78,526.62,1351.97,976.51,901.35
1995,799.31,1025.16,599.44,1282.80,769.11,739.65,924.26,642.86,589.36,774.41,866.68,786.40,680.04,1147.29,767.98,680.69,1417.74,1054.29,948.85
1996,1153.42,1470.21,945.78,1640.64,998.87,1099.54,1327.52,978.17,965.46,1105.85,1300.08,1188.11,1007.01,1540.96,1157.32,1043.94,1766.84,1356.80,1335.78
1997,1056.85,1337.16,822.59,1487.18,975.40,1025.47,1239.02,893.88,796.96,1022.80,1228.96,1107.02,942.93,1395.26,1085.83,940.65,1590.31,1253.31,1218.75
1998,626.21,854.34,416.22,1050.99,611.57,609.21,759.11,467.80,400.13,640.16,696.49,593.03,526.48,961.14,598.93,478.71,1145.10,862.28,793.98
1999,779.07,1062.02,531.89,1298.99,755.16,726.35,924.25,598.89,515.48,750.77,884.74,774.98,658.58,1183.01,765.24,630.38,1429.64,1056.68,951.51
2000,928.35,1203.62,677.82,1495.96,915.30,872.83,1068.87,727.40,666.28,926.88,1004.88,900.34,777.25,1345.55,884.86,770.43,1647.34,1255.75,1123.05
2001,874.81,1127.16,647.15,1373.24,802.09,848.87,1030.88,703.73,622.93,848.84,989.09,878.49,759.35,1238.52,871.47,738.83,1523.98,1110.22,1038.94
2002,914.09,1196.84,657.24,1474.48,900.88,887.73,1074.56,692.43,662.52,915.99,1013.46,877.42,755.01,1338.14,880.40,736.97,1621.85,1216.09,1114.27
2003,945.69,1189.89,696.94,1472.52,921.12,927.81,1098.98,740.00,692.85,953.55,1041.10,928.59,805.91,1327.70,921.82,789.92,1607.21,1235.43,1129.10
2004,655.59,846.15,490.05,937.27,595.03,653.18,786.64,540.62,460.79,655.42,752.24,693.35,587.47,892.27,668.65,572.48,1012.22,777.03,781.21
2005,548.05,745.00,376.85,926.32,569.67,533.01,668.93,401.17,375.83,563.22,581.22,493.42,438.35,815.98,499.60,422.27,1025.81,765.83,686.86
2006,952.03,1221.62,715.48,1454.56,864.97,919.05,1107.05,772.18,689.02,909.77,1090.32,991.70,824.14,1344.21,962.62,832.18,1591.87,1192.51,1121.73
2007,651.19,862.20,435.50,1025.88,659.64,673.97,793.81,485.81,422.13,698.54,714.57,604.99,554.76,934.47,625.06,497.80,1110.17,877.57,823.04
2008,804.31,1035.53,614.90,1217.44,729.41,780.76,944.02,642.92,632.97,780.33,910.89,816.29,696.50,1100.92,800.81,691.74,1328.62,1003.24,946.12
2009,861.09,1116.93,685.16,1282.93,737.11,804.47,1009.30,716.51,690.65,774.86,1002.76,910.35,743.02,1185.40,880.32,786.49,1400.91,1039.87,995.21
2010,1271.70,1511.81,1107.87,1620.68,960.40,1240.15,1428.59,1166.69,1121.18,1140.00,1500.92,1445.55,1206.14,1564.13,1385.27,1266.47,1737.98,1307.27,1373.77
2011,796.14,1014.73,641.15,1058.51,629.39,781.79,959.58,680.48,658.68,725.48,975.21,911.75,719.89,1036.08,860.70,758.96,1126.78,850.66,903.36
2012,697.97,931.49,535.20,1008.94,596.55,688.52,860.86,572.80,542.71,646.01,827.95,732.10,609.59,934.32,718.11,621.14,1081.65,830.37,819.69
2013,918.65,1229.80,617.70,1497.40,859.94,907.41,1104.34,694.81,605.34,908.04,1067.73,937.17,774.76,1355.68,918.56,749.17,1648.48,1221.41,1124.32
2014,947.41,1223.90,696.24,1423.16,848.06,930.03,1131.12,761.07,674.86,901.12,1120.04,1010.58,829.56,1320.49,979.11,831.77,1561.97,1155.57,1118.06
2015,547.74,737.18,382.39,909.60,546.68,528.60,659.47,407.80,380.49,548.58,602.33,522.66,444.79,804.34,520.65,438.65,1006.26,748.63,670.45
2016,926.14,1202.03,651.90,1478.91,886.88,931.87,1096.08,707.50,647.28,945.89,1029.79,901.08,788.53,1336.68,903.30,751.52,1630.79,1206.95,1128.37
2017,559.91,734.40,411.60,885.99,526.55,539.90,668.17,434.41,422.40,537.74,625.05,560.81,472.69,796.01,549.19,476.70,981.18,713.71,670.48
2018,944.40,1188.64,691.47,1476.89,914.20,923.92,1089.30,737.34,693.97,958.29,1041.01,928.50,816.32,1341.38,918.59,781.51,1614.67,1228.05,1132.48
2019,639.49,924.66,371.70,1234.97,721.36,601.41,798.93,401.39,374.81,660.60,704.47,545.97,459.61,1061.90,565.08,426.21,1383.48,1017.24,846.08
2020,778.09,1029.38,545.92,1229.57,746.96,771.50,938.83,588.32,539.40,790.36,887.23,765.53,651.46,1128.45,767.67,631.03,1345.83,1010.82,956.23
