Variable:,pr
,Canada,Alberta,"British Columbia / Colombie-Britannique",Manitoba,"New Brunswick / Nouveau-Brunswick","Newfoundland and Labrador / Terre-Neuve-et-Labrador","Northwest Territories / Territoires du Nord-Ouest","Nova Scotia / Nouvelle-Écosse",Nunavut,Ontario,"Prince Edward Island / Île-du-Prince-Édouard","Quebec / Québec",Saskatchewan,Yukon
1935,507.97,533.05,879.67,461.81,979.70,909.40,267.07,1259.16,222.25,692.76,1076.41,726.50,442.17,284.37
1936,511.40,450.81,900.00,436.85,1194.52,974.28,245.31,1375.61,222.40,662.33,1149.50,826.87,366.54,276.82
1937,512.41,426.57,913.36,440.81,1016.53,973.15,251.86,1221.29,224.39,710.07,1028.52,823.12,337.10,267.30
1938,499.38,394.69,779.49,457.84,1104.61,910.92,245.34,1249.43,227.07,728.56,994.92,807.94,411.30,232.93
1939,534.02,477.61,1012.57,431.71,995.48,1066.03,273.78,1152.08,221.99,702.83,926.88,813.31,392.04,326.79
1940,499.20,409.46,860.20,425.43,1051.03,987.16,244.17,1158.36,227.12,683.55,979.97,800.07,360.57,242.97
1941,514.96,454.18,916.74,447.13,1027.28,1046.32,260.61,1278.46,222.89,751.24,1115.24,759.68,375.65,244.81
1942,504.28,448.96,802.25,482.07,959.40,910.86,229.90,1245.02,224.75,698.10,947.72,804.32,466.17,257.22
1943,483.19,379.16,754.81,468.19,1105.25,906.49,240.34,1396.60,203.31,704.68,1111.75,766.87,379.10,283.66
1944,494.25,457.48,813.06,485.69,1034.25,985.01,253.34,1184.48,209.53,699.07,1048.87,723.29,407.86,279.56
1945,503.28,414.41,860.33,457.95,1216.25,861.54,240.02,1467.07,217.24,718.32,1165.33,798.88,388.26,265.75
1946,495.51,434.50,867.75,455.44,941.81,905.49,229.42,1156.19,207.53,682.34,852.32,785.82,415.08,264.06
1947,514.38,476.18,957.58,512.78,1020.91,803.63,232.60,1207.07,230.85,724.37,972.17,764.63,435.78,254.77
1948,501.66,446.94,977.40,435.08,1018.38,900.72,300.85,1399.96,212.33,678.25,1043.12,692.27,370.18,291.33
1949,506.27,430.05,912.74,510.93,1022.48,978.22,256.26,1259.11,196.36,710.76,1003.05,750.04,398.92,291.02
1950,517.49,404.01,903.29,502.86,1165.78,957.11,243.01,1247.91,212.93,741.78,969.16,817.93,426.05,231.46
1951,525.58,528.30,830.95,469.28,1276.76,1026.58,243.49,1379.03,228.33,729.37,1206.45,822.69,454.00,216.70
1952,504.02,425.36,783.21,435.61,1032.09,962.56,274.09,1223.70,221.04,700.44,964.21,823.35,373.17,288.75
1953,523.79,506.33,1000.60,514.53,1184.92,1004.93,237.08,1443.88,208.21,685.89,1145.08,750.14,457.55,277.26
1954,540.25,510.80,974.42,490.68,1408.31,986.52,239.14,1424.68,196.25,741.99,1114.76,841.19,513.23,241.53
1955,509.19,482.56,883.63,547.77,938.02,931.48,242.01,1131.37,211.67,726.18,913.71,739.12,470.94,234.44
1956,504.21,501.85,912.64,477.54,1099.80,911.52,264.46,1417.93,200.12,642.48,1138.38,752.82,424.45,278.70
1957,500.55,476.05,893.11,460.72,1026.28,916.92,250.62,1204.21,213.25,677.91,1024.78,767.60,397.63,225.66
1958,511.92,412.77,898.76,444.92,1228.21,1061.85,254.39,1501.55,208.27,677.00,1192.19,829.22,372.86,228.03
1959,540.26,455.81,1025.94,539.40,1177.25,894.87,262.53,1519.48,224.27,767.49,1095.19,799.24,424.09,272.31
1960,512.68,463.38,895.30,475.00,1073.80,900.82,292.49,1116.26,219.96,681.54,895.29,790.94,380.15,294.56
1961,503.89,426.31,972.50,434.40,1174.30,921.14,277.22,1335.68,211.70,681.10,1107.96,730.51,350.09,313.11
1962,524.26,497.89,999.34,509.05,1167.73,928.12,299.21,1523.75,195.23,687.69,1256.13,733.82,426.81,335.39
1963,525.20,451.40,938.14,478.03,1265.67,1056.24,285.40,1427.07,218.38,646.39,1225.32,786.21,450.38,291.65
1964,530.82,485.73,969.64,486.47,1020.72,1022.66,240.09,1431.78,198.99,759.87,1091.12,804.17,428.52,306.65
1965,523.80,497.82,863.64,493.69,848.90,1063.15,250.25,950.18,210.33,736.58,784.34,819.86,451.46,275.53
1966,528.46,456.30,961.24,448.07,948.49,1004.05,260.20,1094.90,216.16,746.35,918.81,831.59,421.33,259.13
1967,508.79,404.45,896.22,467.26,1194.86,935.67,250.45,1605.57,222.43,696.76,1300.80,784.23,389.04,279.06
1968,533.67,443.48,983.76,485.19,1017.35,1076.90,236.40,1302.19,243.07,777.96,1117.71,776.74,417.68,252.05
1969,513.00,436.34,845.28,459.92,1156.61,1002.95,237.89,1298.15,210.36,765.21,1078.67,812.04,416.15,231.67
1970,507.96,440.66,762.25,505.22,1132.06,950.36,274.53,1323.24,223.37,743.96,1118.42,757.44,464.26,258.57
1971,540.36,460.94,1003.22,499.86,1052.44,1081.70,248.67,1422.77,211.53,761.63,1083.95,830.63,417.57,252.11
1972,533.41,523.62,988.11,477.36,1337.29,954.17,255.40,1630.25,192.46,719.06,1340.65,824.77,423.23,274.92
1973,540.38,525.94,868.18,521.37,1270.31,987.70,271.11,1385.87,218.52,745.48,1087.02,840.34,477.52,271.48
1974,543.01,490.78,968.26,462.85,1122.30,980.22,308.27,1350.72,211.88,773.13,1145.03,798.36,460.63,316.16
1975,534.04,494.63,954.59,491.03,1097.34,1005.56,247.80,1326.96,234.46,723.16,1083.69,797.17,455.56,285.79
1976,532.95,483.91,966.76,449.84,1380.05,1068.10,256.78,1430.98,218.65,667.23,1223.97,839.19,417.27,282.04
1977,537.04,464.53,888.24,514.63,1299.25,1050.59,247.38,1525.71,235.08,763.06,1285.69,821.28,428.81,266.28
1978,520.83,492.69,829.44,510.73,996.17,1043.54,245.96,1182.82,245.92,692.18,1005.33,810.40,431.34,238.93
1979,539.28,432.41,831.32,443.08,1410.74,1123.41,231.73,1741.40,241.30,776.33,1477.53,897.75,376.63,276.60
1980,550.17,496.54,1024.48,483.28,1156.94,1195.78,249.88,1289.58,231.12,687.68,1106.63,868.10,388.31,274.89
1981,535.60,404.24,909.22,464.60,1416.29,1133.18,282.31,1599.23,246.43,661.91,1371.88,853.27,387.39,271.13
1982,546.33,473.48,948.46,526.11,1144.66,1095.21,257.73,1335.68,231.81,784.03,1144.21,822.60,432.56,248.36
1983,545.10,439.10,931.05,533.26,1290.73,1174.62,228.96,1493.39,224.15,728.71,1207.60,867.86,447.21,254.11
1984,549.35,516.62,1013.04,515.24,1177.57,1089.41,283.48,1409.36,227.69,749.34,1207.69,784.59,439.85,269.22
1985,516.93,423.14,768.76,516.76,980.22,945.39,265.59,1272.66,249.91,817.46,983.51,763.58,417.18,272.53
1986,535.82,480.70,949.52,510.31,1076.98,944.34,251.34,1389.37,234.28,715.94,1045.33,825.10,454.56,291.81
1987,507.66,433.52,875.66,462.07,1010.96,956.79,260.72,1331.04,234.63,676.68,1133.28,778.42,394.82,281.42
1988,544.15,494.98,977.08,456.28,1088.09,989.96,305.83,1486.62,225.60,768.50,1196.45,806.17,402.27,317.51
1989,515.72,469.73,868.49,466.14,1046.20,1062.98,259.22,1326.62,232.65,679.29,1072.87,776.09,427.53,263.71
1990,543.95,473.07,999.16,452.09,1332.31,1011.01,264.03,1581.98,216.51,774.61,1331.46,846.78,395.70,265.07
1991,536.89,499.95,956.07,504.45,1158.03,952.77,283.60,1412.96,221.73,763.96,1149.90,763.23,459.08,316.11
1992,524.10,439.10,914.08,455.24,1054.73,1014.43,253.25,1255.06,225.47,756.59,1063.65,815.68,390.92,276.19
1993,534.46,489.21,841.79,514.04,1265.81,1047.03,247.69,1466.92,234.66,708.13,1220.86,848.58,470.39,251.71
1994,532.54,454.76,943.71,477.30,1161.18,1139.04,235.67,1432.84,222.03,712.78,1157.49,831.70,415.62,272.16
1995,528.22,462.76,948.19,504.36,1110.08,1058.71,209.11,1322.83,220.70,734.51,1061.91,810.09,450.65,263.27
1996,550.93,517.66,966.60,481.74,1280.23,1055.18,258.97,1471.23,226.53,764.14,1221.20,850.75,442.98,258.04
1997,542.80,499.04,1058.69,490.67,1034.30,1043.13,279.93,1158.30,220.27,693.93,955.56,807.61,413.88,306.48
1998,530.70,462.89,878.46,517.79,1234.52,1108.57,260.22,1501.86,232.25,696.43,1257.83,827.78,427.87,202.82
1999,556.39,453.63,975.26,506.34,1210.12,1154.49,262.61,1347.29,236.08,771.28,1126.36,863.59,433.78,270.96
2000,525.54,421.40,813.54,540.81,1144.79,1063.30,261.84,1381.32,222.41,741.34,1141.18,816.46,431.38,290.63
2001,520.72,407.19,917.08,525.98,844.05,1009.78,270.77,1036.53,222.12,766.00,874.05,797.81,350.57,271.76
2002,514.51,400.63,812.51,499.85,1193.65,969.41,268.65,1486.83,235.44,719.81,1225.64,801.97,404.55,269.78
2003,526.66,471.41,916.67,515.92,1199.21,975.88,262.37,1384.58,221.00,694.56,1152.60,830.11,397.01,264.36
2004,527.62,436.42,921.39,552.44,959.48,1038.90,208.11,1179.89,214.14,774.30,948.32,820.75,459.42,235.49
2005,561.62,476.44,923.77,569.37,1514.79,1001.04,288.44,1493.21,247.47,738.77,1234.53,867.17,462.48,317.73
2006,532.18,432.66,881.86,521.11,1299.97,1033.37,244.71,1374.98,219.63,727.52,1135.53,864.61,423.08,260.20
2007,546.62,457.82,983.45,494.51,1211.50,1034.33,260.61,1283.95,201.75,770.92,1062.06,872.06,438.78,293.60
2008,549.54,466.41,885.53,491.39,1475.75,1027.16,276.77,1599.40,218.95,787.35,1356.87,885.54,394.78,319.13
2009,529.39,448.41,841.38,488.68,1360.78,1038.71,278.25,1578.21,216.85,740.27,1322.81,832.79,411.42,274.52
2010,543.10,494.76,889.50,549.99,1338.06,1077.41,256.84,1477.29,213.76,735.18,1273.28,836.51,497.84,258.83
2011,536.00,473.54,906.95,474.13,1295.15,1042.59,269.25,1496.63,213.22,704.96,1274.24,842.62,450.07,317.16
2012,524.81,464.57,905.83,489.94,1101.75,1006.51,263.21,1182.43,213.74,730.50,951.02,798.85,447.98,281.64
2013,526.41,475.39,841.62,499.30,1355.70,937.40,260.57,1430.91,197.12,819.22,1247.59,797.87,459.97,270.42
2014,539.59,475.05,919.54,496.53,1422.23,1006.61,260.95,1626.49,205.90,828.65,1381.89,804.86,432.19,278.21
2015,515.88,443.91,869.32,491.80,1207.54,975.12,260.28,1434.36,203.87,755.09,1220.00,772.41,430.68,279.67
2016,534.69,457.93,925.20,542.29,1150.61,1026.58,265.00,1139.53,216.06,762.45,940.79,792.38,475.61,269.21
2017,534.35,475.92,915.66,464.41,1151.64,1044.88,265.03,1193.00,211.81,785.73,973.36,830.09,410.04,274.78
2018,516.58,460.92,874.73,470.57,1274.54,1018.05,259.71,1511.97,208.33,743.81,1277.76,768.70,417.24,267.03
2019,524.08,481.58,829.75,488.82,1362.05,1018.89,259.61,1663.44,204.26,801.27,1425.51,787.60,412.55,261.10
2020,519.12,446.05,904.29,496.32,1011.15,1057.17,260.71,1096.96,206.35,758.50,878.66,771.50,427.43,268.45
