Variable:,pr
,Romania,Alba,Arad,Arges,Bacau,Bihor,Bistrita-nasaud,Botosani,Braila,Brasov,Bucuresti,Buzau,Calarasi,Caras-severin,Cluj,Constanta,Covasna,Dimbovita,Dolj,Galati,Giurgiu,Gorj,Harghita,Hunedoara,Ialomita,Iasi,Maramures,Mehedinti,Mures,Neamt,Olt,Prahova,Salaj,"Satu Mare",Sibiu,Suceava,Teleorman,Timis,Tulcea,Vaslui,Vilcea,Vrancea
1911,590.82,650.57,523.67,661.43,606.41,551.91,731.09,557.73,452.24,646.29,539.10,580.15,483.59,685.16,611.52,435.71,662.02,644.89,483.42,494.12,527.78,656.54,705.88,671.92,474.87,566.61,779.84,567.40,647.08,646.81,499.74,654.12,608.54,594.81,632.61,719.12,506.31,526.53,410.89,561.34,654.29,604.55
1912,829.45,959.63,792.00,903.43,817.25,836.27,997.20,722.70,632.68,870.66,724.17,786.10,662.23,982.85,894.25,620.85,887.37,871.82,708.83,689.27,723.50,969.49,926.84,1017.34,652.29,760.30,1121.08,824.65,864.46,860.76,706.14,880.55,919.13,907.19,889.73,932.57,697.87,763.63,590.50,780.60,926.82,816.33
1913,649.80,798.16,661.91,727.72,588.97,692.88,809.06,571.50,434.40,717.01,546.07,582.53,483.67,810.68,739.49,415.99,690.51,683.35,559.77,459.82,542.15,795.32,743.37,843.46,469.38,536.76,903.29,673.35,706.69,647.01,561.24,686.57,741.43,721.82,743.46,757.75,540.33,627.44,381.97,501.89,758.12,597.53
1914,748.90,842.06,707.30,836.47,760.15,711.42,832.99,628.90,615.97,782.17,703.39,760.27,653.93,896.71,749.66,611.03,816.48,814.09,657.76,667.19,695.47,889.70,808.12,900.11,641.12,680.47,890.33,764.41,746.83,752.02,660.01,830.48,744.81,696.18,803.82,797.38,662.73,691.98,573.22,738.00,857.27,787.53
1915,794.04,972.40,826.57,895.88,702.32,884.21,904.84,597.28,567.13,805.28,691.74,715.89,636.06,1026.36,876.65,574.72,803.75,844.12,732.55,600.72,708.97,990.94,827.99,1025.04,604.42,619.80,1012.68,861.86,787.94,734.80,731.40,831.16,908.97,861.46,892.57,822.85,715.36,818.53,522.34,655.74,949.32,732.78
1916,645.57,787.99,650.74,724.19,581.26,700.47,836.10,561.26,436.14,701.52,538.72,560.96,484.38,772.11,735.73,438.03,673.61,670.19,550.77,465.54,542.50,772.89,739.56,815.27,464.81,541.56,931.56,647.18,707.73,648.82,553.78,662.31,762.09,748.72,739.74,758.21,541.21,606.74,395.77,517.44,757.98,577.61
1917,527.83,591.39,478.51,597.69,484.53,499.35,613.47,429.34,419.07,554.82,502.73,507.02,473.67,612.34,541.50,446.77,555.63,574.12,498.91,446.42,522.73,614.87,578.55,618.27,443.27,455.92,670.23,541.69,543.04,509.84,503.91,577.96,549.08,533.86,573.74,566.43,513.78,477.08,404.03,485.95,607.09,510.80
1918,636.19,753.59,605.54,733.10,603.35,651.77,795.64,511.26,468.44,709.26,568.82,597.97,512.80,717.13,702.09,464.78,695.63,694.18,542.16,492.37,574.57,726.21,747.90,759.28,497.28,530.14,866.20,607.84,700.49,656.48,564.76,691.46,722.20,705.45,727.96,727.05,569.34,569.64,417.11,531.36,735.50,609.59
1919,739.67,815.18,685.26,803.79,708.24,690.97,828.55,577.26,634.69,737.92,712.67,755.92,703.25,908.62,739.55,683.69,776.84,798.19,648.67,660.44,719.12,842.15,774.44,863.14,667.42,626.25,916.07,750.38,718.38,704.79,662.58,832.92,759.90,741.73,764.90,770.82,682.94,717.62,604.92,707.90,808.64,770.84
1920,634.27,786.77,650.34,730.09,563.68,713.03,815.26,501.29,405.98,681.95,543.20,550.21,472.08,757.61,745.82,385.14,667.50,686.96,574.13,436.88,572.98,756.85,730.83,798.30,440.55,498.37,899.50,638.52,702.81,630.82,588.61,653.61,771.54,750.49,727.78,731.42,587.14,601.34,340.79,469.72,747.94,561.63
1921,549.79,660.63,555.59,605.65,501.19,574.69,653.16,441.44,395.25,565.11,481.29,503.26,441.41,690.73,610.13,400.77,562.61,564.41,507.88,420.93,487.91,679.69,597.36,707.81,416.72,450.71,733.99,590.55,566.27,530.66,501.57,570.48,622.67,610.68,600.75,598.04,482.18,535.08,350.73,460.38,643.17,516.12
1922,751.48,909.51,741.02,803.86,704.00,796.64,964.15,682.74,543.21,797.17,625.05,688.18,574.57,873.01,856.32,551.50,795.02,767.12,601.24,575.46,611.24,857.53,870.50,936.05,567.69,682.45,1074.74,716.94,827.86,789.14,604.45,778.42,881.16,864.03,846.73,899.60,597.91,695.05,500.93,647.93,838.23,714.50
1923,603.90,674.66,542.77,711.20,556.81,592.06,741.50,523.06,440.39,640.62,570.58,569.39,497.29,712.78,629.18,446.53,638.00,685.40,555.00,469.10,576.14,712.85,687.94,706.25,478.45,517.14,807.52,617.11,636.62,598.52,571.93,665.53,653.15,640.80,657.92,690.07,578.88,543.16,408.99,514.75,709.40,581.93
1924,617.02,756.17,650.78,729.95,534.90,657.90,709.37,439.24,399.11,659.80,537.87,537.54,482.39,835.03,671.04,409.40,641.77,677.41,612.60,416.30,563.84,819.11,668.35,823.64,439.92,449.64,780.03,716.67,630.54,563.88,604.16,653.34,672.86,635.07,706.92,629.95,574.19,642.58,348.97,451.41,771.29,542.75
1925,699.34,866.22,736.56,774.17,583.51,782.71,879.44,530.81,458.30,719.84,588.59,589.01,542.11,906.60,819.07,480.31,685.61,723.76,634.49,474.49,611.15,862.35,764.05,918.82,496.36,520.32,1013.60,742.61,739.87,656.85,633.41,711.14,849.01,832.02,791.97,770.49,613.79,721.15,429.73,511.66,818.90,590.98
1926,639.93,797.74,677.75,676.59,600.43,712.08,817.77,544.66,419.83,669.26,489.66,547.13,432.34,825.11,749.56,392.37,667.26,628.18,525.43,470.84,484.85,765.73,744.47,844.37,433.20,561.72,911.04,651.80,705.54,676.02,519.81,620.86,762.89,737.61,712.55,759.66,485.80,650.54,385.98,557.71,716.83,577.49
1927,623.12,748.41,627.79,708.11,555.11,668.45,773.51,509.53,398.09,658.84,518.17,525.26,452.18,808.16,702.79,391.87,639.10,651.38,590.32,430.08,538.58,776.52,708.46,799.74,427.17,502.48,867.28,682.65,665.13,620.70,581.95,626.20,724.07,700.97,696.26,712.01,555.95,629.66,359.15,482.64,740.24,543.70
1928,578.83,681.48,527.70,677.73,547.26,571.48,722.78,500.38,411.41,644.70,505.89,531.54,453.90,666.38,632.51,411.20,637.32,639.73,520.13,437.47,520.43,691.05,677.14,704.42,435.78,503.28,783.87,577.74,633.38,589.86,531.64,625.39,638.63,616.01,663.11,671.45,522.60,501.63,372.97,484.40,686.22,546.80
1929,578.14,716.36,588.87,681.47,476.20,603.42,680.15,436.62,371.47,589.31,505.69,469.05,445.64,789.19,618.23,391.03,559.19,623.66,591.85,400.27,541.05,761.31,616.84,774.51,404.82,434.41,748.60,672.09,588.21,530.74,582.47,581.05,626.66,599.59,664.09,624.22,558.46,591.86,348.57,443.66,722.52,477.98
1930,634.11,763.01,642.04,716.78,579.08,696.06,798.61,529.09,442.96,691.75,530.39,566.65,487.21,740.03,725.14,438.64,675.69,662.82,545.81,476.79,525.78,753.18,731.69,786.40,468.12,525.63,889.62,626.37,692.35,629.12,556.38,655.78,743.27,720.15,724.14,733.30,527.70,594.08,402.95,540.05,738.70,577.56
1931,656.65,774.79,649.24,733.91,592.66,672.72,778.85,499.22,472.12,684.64,595.10,599.40,554.09,828.10,704.95,499.20,682.80,696.18,625.20,499.76,620.70,813.57,709.56,832.85,506.05,522.79,859.03,707.63,677.58,614.99,621.42,688.59,722.63,704.67,723.34,684.40,617.41,636.94,443.84,537.27,769.98,615.60
1932,637.52,741.94,643.67,670.70,616.94,648.86,769.14,556.74,508.10,656.68,543.34,627.30,485.78,801.59,696.16,462.11,682.76,655.83,507.44,555.96,496.96,733.15,725.40,779.71,516.12,581.92,810.81,645.20,677.22,656.75,498.50,693.52,703.22,648.14,681.57,731.04,472.66,644.56,468.76,618.61,693.00,641.94
1933,787.81,887.67,711.20,876.44,770.05,746.41,991.34,644.91,640.04,873.60,734.72,803.71,675.68,866.14,833.64,637.49,894.44,866.26,639.18,682.55,713.40,878.49,929.32,915.37,671.84,673.89,1056.06,737.12,862.93,807.62,663.82,904.32,839.38,814.23,864.82,905.83,684.09,671.26,593.76,721.03,866.82,818.17
1934,562.55,699.97,603.43,648.39,490.08,600.53,629.16,421.04,384.44,594.89,481.82,501.08,425.91,782.84,616.21,367.55,570.82,593.36,515.82,405.53,476.93,739.67,593.05,762.58,413.70,429.86,705.05,641.02,566.59,510.97,513.27,586.22,623.06,596.73,652.51,574.28,478.40,613.88,341.84,439.97,697.32,506.59
1935,574.44,695.49,590.48,662.79,486.87,620.25,676.92,422.09,393.13,604.16,524.01,516.15,480.63,714.02,633.08,434.75,587.00,619.07,553.80,402.13,544.93,728.56,609.60,741.01,434.89,409.70,780.77,622.90,594.64,506.75,557.42,611.04,658.86,649.27,649.10,588.40,544.70,564.36,370.37,420.62,696.27,514.72
1936,627.59,755.19,673.86,660.54,576.57,713.52,800.53,517.03,414.63,653.20,518.20,536.39,488.79,780.13,716.63,432.50,642.40,616.55,547.91,447.85,547.16,742.36,711.42,791.13,439.63,532.63,891.66,634.10,678.58,635.51,543.18,614.44,741.79,740.74,681.05,722.03,544.56,639.32,375.69,515.34,698.37,560.87
1937,715.37,827.90,735.72,828.06,636.23,722.17,782.47,543.62,507.44,733.65,661.88,648.87,589.84,981.65,720.84,532.85,708.29,783.07,717.58,538.22,679.69,915.30,739.37,907.47,552.07,573.28,843.36,831.04,690.65,658.46,698.80,768.26,735.73,702.86,776.48,723.17,681.77,783.05,473.39,591.61,867.51,654.48
1938,616.57,760.55,622.70,681.78,549.16,664.64,823.75,520.80,394.03,671.11,493.18,504.70,435.53,757.93,719.11,398.45,630.32,623.34,536.51,426.22,503.48,744.82,733.70,791.12,419.09,507.56,918.95,629.13,703.72,633.87,531.94,610.35,732.74,721.34,707.86,748.16,509.15,583.54,366.89,484.95,720.05,525.10
1939,688.78,840.32,704.23,831.26,558.44,712.92,751.49,465.65,493.37,735.18,651.37,633.38,590.66,917.22,718.62,526.53,689.78,782.47,681.98,496.81,664.02,923.19,708.57,924.17,545.98,461.72,836.02,800.96,678.12,577.37,676.97,767.91,734.86,712.18,791.82,668.92,662.00,691.93,458.24,496.32,875.35,613.93
1940,777.31,889.13,745.95,841.89,743.08,760.33,954.50,647.01,590.18,828.73,696.67,741.26,658.03,921.39,823.12,611.69,831.89,812.69,665.26,637.95,709.69,887.06,899.82,923.13,623.92,680.32,1035.50,759.93,834.19,800.98,669.58,839.89,833.52,811.53,846.23,900.76,682.08,736.62,537.31,721.09,867.18,757.99
1941,851.09,1019.56,797.16,930.66,830.56,836.08,1071.46,720.45,646.97,919.67,738.09,808.46,694.80,975.24,940.40,640.70,926.59,887.09,695.68,694.81,731.02,979.46,994.76,1043.90,671.01,763.41,1180.23,810.87,935.14,893.37,706.76,906.80,943.69,910.38,962.04,985.42,701.84,746.04,599.20,777.05,959.60,838.02
1942,584.39,686.84,573.35,686.96,521.79,582.36,687.53,449.90,404.71,630.53,527.97,526.56,458.08,750.48,614.71,395.88,611.01,655.97,579.89,428.19,547.05,742.34,655.30,741.72,436.24,461.85,738.40,658.38,610.81,566.53,572.21,627.97,621.67,598.84,652.99,628.88,558.44,572.97,354.85,457.68,709.49,530.40
1943,571.92,601.46,503.99,611.58,561.81,519.18,650.86,477.97,518.67,581.94,572.93,607.61,566.58,643.50,563.02,553.69,627.96,620.44,479.62,542.79,572.58,612.95,618.73,630.42,539.92,518.66,709.34,541.43,565.93,555.21,496.94,658.30,572.08,557.03,574.11,620.39,531.54,513.10,512.84,586.91,597.53,624.67
1944,703.39,849.43,706.57,823.65,618.44,731.74,824.88,541.55,469.98,745.90,630.67,626.41,559.77,904.91,756.18,476.98,724.09,775.15,683.97,491.18,662.34,894.41,766.66,909.12,513.03,545.29,914.38,772.09,721.59,670.93,685.98,750.50,780.64,765.77,797.67,754.45,676.33,699.51,414.88,530.57,859.73,624.91
1945,499.83,612.96,552.91,499.01,448.88,585.85,639.26,410.44,357.00,498.26,403.46,448.02,379.54,617.30,592.99,366.99,510.84,471.34,397.28,384.93,393.10,572.21,561.65,638.13,365.15,411.67,732.80,488.16,537.02,501.88,389.40,492.56,614.08,608.90,534.74,580.13,376.47,518.17,339.11,432.33,528.73,467.91
1946,520.91,603.99,536.71,577.28,478.79,536.08,608.00,399.84,392.35,562.92,457.71,495.18,433.62,629.19,555.90,403.47,563.03,544.85,490.87,418.05,470.33,622.07,587.05,641.39,411.71,419.07,635.20,546.85,550.24,505.64,481.02,554.77,558.31,516.75,576.11,563.62,469.17,519.24,357.59,443.05,597.83,505.85
1947,629.65,712.25,556.71,701.84,612.47,599.15,819.66,566.16,487.43,697.66,564.30,615.90,512.23,660.29,691.18,482.81,716.92,693.36,518.52,518.00,564.39,695.26,771.67,729.13,507.55,582.43,873.44,574.52,714.55,679.16,540.44,703.86,702.85,674.46,692.06,769.33,549.31,502.86,447.41,563.05,690.22,635.05
1948,566.65,668.57,576.00,596.02,564.76,607.54,741.84,526.44,387.20,605.84,446.72,510.00,392.91,687.91,651.22,344.93,619.14,573.69,458.89,432.21,441.41,648.80,681.13,696.30,397.12,545.04,806.12,559.96,640.10,624.33,452.72,580.41,658.23,652.32,614.61,693.37,437.07,548.52,328.98,505.29,615.04,543.02
1949,623.03,721.44,607.29,684.26,591.87,630.00,728.96,558.29,472.51,639.77,552.34,590.68,491.22,763.32,666.06,444.12,652.73,660.20,558.94,513.13,546.98,757.66,679.78,784.45,488.19,583.11,795.46,657.07,634.06,635.31,557.94,662.99,679.23,649.48,661.72,693.36,539.72,581.84,426.33,576.72,707.64,608.18
1950,548.35,660.05,580.09,586.73,517.60,610.12,717.48,463.52,369.84,588.43,431.41,483.58,374.15,661.71,635.78,348.78,581.58,544.12,458.82,406.32,420.40,633.97,653.81,678.61,384.97,474.13,778.16,542.86,619.59,581.59,451.92,551.54,658.49,642.73,611.24,661.45,423.60,551.50,333.94,467.39,614.40,508.67
1951,574.10,721.07,621.28,639.00,489.40,639.53,687.09,444.66,357.64,596.63,440.13,463.14,394.00,792.33,652.35,359.87,579.92,600.50,546.46,380.19,473.38,735.86,633.50,787.80,382.14,433.72,793.71,653.51,599.52,543.87,533.27,560.25,670.79,668.39,656.38,630.97,510.88,615.50,322.45,421.65,682.60,474.32
1952,637.74,733.20,661.70,670.08,553.28,701.41,731.26,460.48,532.97,633.07,586.38,607.89,564.51,757.16,683.29,564.52,622.55,653.84,576.79,562.47,579.01,717.76,665.35,761.32,554.30,489.10,839.57,653.77,634.39,579.05,562.31,669.18,760.72,783.05,672.98,642.27,552.57,624.81,537.45,582.75,683.32,618.08
1953,544.22,668.80,587.83,615.68,457.52,594.10,641.81,396.03,368.16,551.87,447.37,464.89,410.70,741.86,614.46,374.72,547.88,581.91,510.56,388.28,469.25,698.47,583.50,734.53,397.26,403.24,723.38,612.37,558.07,491.35,506.54,550.41,634.62,604.25,607.54,567.72,490.59,567.50,336.97,424.98,648.63,469.44
1954,703.98,814.44,693.51,842.86,599.62,671.66,745.69,476.75,528.50,728.56,677.98,651.26,613.97,950.60,708.48,560.83,709.20,801.75,742.22,540.52,692.72,959.43,709.17,921.59,571.36,498.44,808.65,846.77,670.22,598.89,721.78,781.30,703.14,658.45,797.78,665.79,704.05,706.62,504.16,545.51,898.64,652.12
1955,808.23,931.49,785.10,869.46,769.23,815.64,953.60,684.91,624.77,829.53,728.61,758.37,692.04,983.27,861.65,641.74,828.96,848.05,714.26,659.68,736.27,935.27,874.39,982.42,669.66,712.37,1074.86,819.39,823.77,813.03,712.88,865.03,878.09,850.66,865.32,898.17,725.72,786.65,574.89,736.82,889.33,778.06
1956,617.81,709.25,604.56,685.02,515.07,603.42,690.21,469.57,489.70,599.31,587.14,576.37,562.42,798.84,629.57,537.25,593.33,678.30,628.33,502.43,618.73,772.67,630.49,773.78,531.90,481.52,739.11,705.93,599.61,548.76,614.29,662.04,624.78,594.33,652.52,628.53,614.47,607.54,480.82,531.00,720.00,569.07
1957,669.34,784.61,615.82,827.12,581.95,645.03,749.16,456.52,494.55,696.34,629.41,613.82,586.42,865.30,698.23,517.89,686.82,793.64,670.10,501.21,665.03,898.40,702.04,880.23,546.86,472.24,822.14,760.11,664.58,593.14,679.87,735.64,694.13,663.17,772.68,669.06,664.45,610.78,447.14,517.34,875.23,607.47
1958,602.41,719.61,599.05,608.77,595.93,663.84,773.20,538.27,478.90,658.33,471.91,562.68,472.49,631.45,684.63,472.27,652.05,570.07,458.74,540.15,453.13,614.78,711.74,700.53,472.14,557.50,871.41,524.32,667.09,646.07,459.49,609.90,722.08,738.58,671.00,728.48,443.49,539.35,467.41,609.98,614.20,611.46
1959,584.57,688.38,581.63,660.79,513.95,594.92,674.51,443.80,433.46,607.58,538.56,543.70,491.12,736.31,625.98,458.17,598.63,647.00,553.18,441.42,556.48,711.38,622.82,736.24,474.58,454.63,745.23,627.74,592.32,542.33,558.20,645.22,632.52,609.75,641.12,605.48,563.60,584.07,411.02,470.74,683.41,534.57
1960,701.21,835.33,682.66,799.62,614.93,745.96,842.15,542.77,483.85,722.74,614.13,621.60,553.73,863.78,789.07,510.50,716.10,766.80,663.78,508.38,640.01,859.46,763.23,891.36,527.66,547.86,969.94,738.16,729.66,659.62,662.99,737.06,839.80,818.39,781.70,746.19,652.90,670.42,464.65,564.92,838.74,620.11
1961,543.09,570.29,442.85,672.97,555.37,435.83,560.21,459.89,461.95,614.45,562.84,596.61,498.71,616.63,492.79,452.31,632.63,670.37,526.31,473.57,565.46,653.14,607.10,611.61,482.89,488.90,575.86,553.24,532.46,558.17,538.06,683.06,464.19,438.60,585.31,572.53,552.67,457.32,412.33,522.87,670.63,593.41
1962,600.87,702.70,542.46,681.47,563.40,577.90,764.85,528.59,442.75,626.07,536.59,559.50,485.20,688.85,649.46,461.45,622.78,648.84,551.42,485.05,542.29,726.40,669.48,712.78,467.25,538.94,821.13,608.26,650.64,596.02,557.25,641.92,647.79,620.34,659.91,685.87,541.94,530.55,421.96,548.54,699.80,582.17
1963,567.45,637.59,598.01,594.42,495.36,604.11,678.79,448.47,446.16,542.93,513.08,514.36,491.91,704.43,594.41,486.09,551.41,577.23,529.08,460.39,527.39,661.26,596.39,698.12,473.67,470.73,763.81,587.12,560.68,534.98,505.01,588.32,620.48,618.45,575.35,612.97,522.96,585.02,452.85,495.94,614.53,513.35
1964,661.02,787.96,642.19,775.75,584.16,654.98,785.19,527.29,503.37,710.46,629.23,636.40,561.90,820.86,699.46,489.07,683.86,758.33,589.67,489.84,625.62,816.93,703.69,833.76,542.81,532.74,847.74,699.67,683.39,618.17,589.86,758.88,699.27,673.00,747.49,702.20,591.21,647.91,440.01,534.48,802.75,614.32
1965,597.72,701.18,674.62,595.62,523.14,693.89,747.82,527.50,431.18,565.77,493.28,513.35,464.35,737.92,672.56,454.40,579.52,585.56,497.90,477.19,498.09,690.96,635.94,751.79,447.83,532.87,857.22,605.33,612.06,578.91,472.57,586.00,721.81,735.56,614.27,686.79,470.13,644.01,436.33,527.16,641.18,536.28
1966,771.71,879.82,733.33,862.74,675.13,757.45,857.68,577.95,636.63,775.03,766.98,742.45,704.15,931.14,791.58,693.08,774.69,856.28,746.22,649.24,781.34,958.19,799.91,943.05,677.37,614.22,946.50,833.02,761.56,688.39,738.18,859.08,807.10,785.57,821.23,761.11,755.45,697.82,636.20,675.68,904.95,734.16
1967,590.25,699.08,584.88,640.27,535.75,601.54,729.49,467.78,454.71,621.79,512.70,556.83,492.29,724.07,643.50,459.55,617.07,615.89,505.03,465.31,501.84,692.48,656.34,739.71,481.48,486.41,803.46,599.89,625.89,574.24,492.36,634.40,663.04,635.79,651.39,657.88,481.84,582.61,430.77,500.87,667.68,558.48
1968,628.22,762.04,621.66,671.03,583.95,641.78,781.19,555.59,435.70,636.55,536.22,554.96,469.79,804.42,689.64,448.07,642.91,634.24,552.80,495.17,531.41,776.60,699.03,812.68,459.50,554.88,844.38,664.23,672.72,623.90,524.53,641.34,694.72,669.27,704.09,716.80,525.82,605.31,433.15,561.57,716.81,590.29
1969,742.15,824.30,721.78,849.10,713.64,681.04,788.87,610.24,601.74,800.86,685.64,746.82,626.39,948.22,705.49,592.05,819.07,829.11,663.89,627.33,682.10,902.70,835.34,939.91,610.78,650.75,827.25,780.94,731.69,749.12,666.22,841.25,689.29,637.09,807.60,805.02,661.16,733.25,566.28,683.66,866.16,755.96
1970,802.32,982.44,791.39,892.46,745.63,850.47,992.86,672.38,526.38,854.47,699.73,710.64,603.22,994.61,894.78,522.99,840.63,856.73,683.08,576.79,704.72,988.28,926.71,1046.29,571.68,702.86,1084.87,835.23,871.53,826.69,693.22,853.04,907.37,884.14,908.92,945.85,678.77,761.45,482.93,664.31,928.43,726.84
1971,662.15,674.38,516.06,785.79,691.73,523.43,704.44,628.33,571.64,731.55,706.44,729.97,642.22,729.21,579.10,565.64,772.27,782.53,615.35,582.55,700.75,772.52,750.10,726.60,619.58,645.35,737.01,665.40,644.91,713.92,631.52,824.62,565.73,544.25,702.08,754.77,668.15,513.28,518.23,645.36,788.72,724.49
1972,710.17,761.34,619.37,819.10,751.31,596.05,774.90,638.29,609.48,816.79,649.78,743.62,613.17,825.43,669.97,568.08,841.44,797.35,601.74,653.53,636.90,821.69,849.63,820.15,610.26,681.63,799.59,703.51,737.95,777.59,622.87,819.62,637.13,589.95,776.08,820.26,619.55,626.12,540.58,702.40,817.51,773.98
1973,561.74,660.94,508.79,666.69,494.27,519.75,654.62,430.52,424.46,594.62,556.23,531.40,500.11,673.05,587.89,464.20,577.96,647.46,557.61,412.83,576.02,706.22,604.57,698.10,474.94,438.11,691.54,613.97,583.86,522.48,554.38,639.50,567.29,531.90,633.96,588.02,560.44,508.56,408.08,445.47,683.19,516.84
1974,712.22,885.54,786.75,701.90,681.64,808.83,912.00,671.76,488.48,724.97,540.22,629.68,507.08,905.99,828.84,461.26,739.40,662.45,561.58,559.04,519.51,815.22,800.29,941.96,503.32,651.97,1011.93,714.53,768.70,737.01,535.23,689.50,844.26,828.10,776.55,851.08,515.84,752.44,441.02,638.92,753.61,678.89
1975,680.11,769.76,661.79,811.82,624.20,641.63,718.49,529.24,494.11,733.58,651.33,649.33,564.05,902.81,666.29,496.53,723.96,789.77,664.26,493.49,661.82,901.47,732.32,873.02,540.12,554.31,793.35,781.60,673.60,653.68,673.26,779.66,666.69,652.22,759.80,702.29,661.87,660.65,424.21,543.81,853.83,643.74
1976,629.67,693.42,595.56,707.05,605.47,600.95,727.04,587.00,445.11,659.88,546.53,576.33,464.10,785.72,617.15,427.85,671.64,679.50,618.25,510.43,556.84,781.62,713.57,769.40,452.44,598.65,802.64,692.83,643.34,660.29,596.94,665.89,643.77,638.76,677.20,732.04,575.99,595.55,423.37,576.43,738.96,609.59
1977,631.09,733.59,649.10,662.95,575.29,685.32,755.23,504.60,492.28,630.14,540.33,570.78,520.90,786.45,687.22,494.09,645.61,640.89,564.04,514.48,549.83,738.50,676.80,788.52,511.83,521.13,858.80,673.25,639.47,608.16,544.35,638.44,723.07,709.62,653.63,693.42,541.60,631.56,465.48,551.36,691.79,594.29
1978,704.42,826.09,676.72,754.98,671.18,715.37,891.92,644.65,516.00,724.09,611.66,631.40,557.62,846.43,761.02,511.03,726.05,728.23,601.45,561.09,623.22,815.41,809.15,872.00,542.76,646.18,986.34,708.71,752.78,744.57,593.81,731.16,777.83,756.19,774.62,847.74,602.25,640.90,478.60,626.96,785.33,658.64
