Variable:,pr
,"Korea, Democratic People's Republic of",Chagang-do,Kaesong-si,Kangwon-do,Hamgyong-bukto,Hwanghae-bukto,P'yongan-bukto,P'yongyang-si,Hamgyong-namdo,Hwanghae-namdo,P'yongan-namdo,Yanggang-do
1993,944.91,860.55,1148.02,1184.33,833.41,1017.85,799.62,887.77,1019.83,922.14,908.66,994.00
1994,1053.60,1019.85,1065.27,1124.03,928.23,1050.20,1014.45,976.79,1162.67,963.85,1058.89,1129.79
1995,1259.22,1349.02,1367.77,1331.73,922.17,1320.41,1243.03,1192.28,1358.85,1178.33,1294.38,1339.74
1996,1066.60,1098.02,1167.90,1193.11,799.64,1105.54,1057.72,1006.51,1143.47,995.98,1100.63,1126.22
1997,893.39,795.34,1222.83,1171.26,678.22,1036.62,795.52,901.02,949.04,942.94,936.44,855.77
1998,1232.48,1137.76,1751.97,1655.16,856.36,1501.48,1101.14,1267.05,1288.54,1359.52,1285.48,1129.45
1999,1070.22,891.04,1586.64,1550.35,786.46,1331.55,855.88,1114.16,1143.30,1150.83,1122.13,998.25
2000,959.57,801.19,1258.18,1159.69,1017.55,1002.26,722.82,840.03,1039.24,902.93,891.16,1074.82
2001,964.89,912.93,1133.16,1113.58,799.69,1045.62,880.55,931.20,1016.72,974.50,983.72,1013.69
2002,1004.77,910.82,1204.11,1224.43,893.83,1073.23,879.51,947.77,1086.19,950.82,994.34,1055.30
2003,1183.90,1014.31,1827.74,1728.72,753.43,1511.98,1008.95,1277.86,1255.99,1364.25,1286.74,1016.57
2004,1182.73,1126.26,1532.44,1540.37,817.41,1358.94,1093.59,1203.88,1283.51,1180.07,1245.60,1123.46
2005,1215.12,1192.70,1428.45,1414.78,949.37,1324.40,1157.96,1177.60,1275.05,1193.79,1253.63,1247.62
2006,1097.08,1041.22,1454.59,1390.30,751.93,1314.94,1032.24,1148.70,1153.54,1162.62,1191.21,1006.10
2007,1213.83,1142.72,1448.93,1443.91,930.95,1354.16,1144.09,1208.97,1319.49,1230.06,1297.14,1160.00
2008,941.51,875.89,1225.07,1223.58,705.08,1098.55,859.62,942.99,968.16,980.09,959.42,936.13
2009,1028.03,957.72,1317.33,1286.24,826.77,1182.89,885.91,1021.11,1085.52,1070.07,1039.21,1022.13
2010,1377.05,1421.06,1562.59,1539.50,1029.73,1451.91,1299.62,1312.57,1502.46,1323.77,1410.20,1435.98
2011,1057.78,940.76,1529.87,1479.73,658.91,1346.13,965.58,1138.32,1096.61,1218.15,1147.62,929.25
2012,1315.22,1278.75,1514.61,1486.44,1084.65,1379.58,1225.79,1246.55,1417.81,1265.42,1322.43,1397.96
2013,1267.55,1304.77,1381.65,1349.19,1022.10,1314.70,1236.28,1195.51,1342.83,1200.12,1280.51,1359.66
2014,850.89,836.71,974.65,973.68,741.11,842.99,713.80,734.12,971.66,762.84,820.12,940.11
2015,898.02,918.73,889.45,892.92,854.86,831.41,838.07,767.40,985.06,776.18,855.30,1033.10
2016,1071.50,1052.45,1108.58,1179.39,1065.59,1013.51,923.58,902.05,1188.73,897.99,989.92,1218.35
2017,909.22,842.49,1100.55,1099.34,747.02,1017.55,803.12,901.42,974.21,909.63,926.76,923.92
2018,1044.43,951.12,1245.68,1255.16,962.11,1099.60,859.17,952.81,1146.44,975.76,1014.63,1132.04
2019,920.66,910.32,990.66,1036.84,844.16,909.46,819.01,796.60,993.34,816.72,863.63,1050.16
2020,1319.95,1210.07,1649.18,1672.22,988.11,1522.87,1204.41,1335.76,1428.70,1351.44,1370.60,1275.38
