Variable:,pr
,"Tanzania, United Republic of",Arusha,Dar-es-salaam,Dodoma,Geita,Iringa,Kagera,"Kaskazini Pemba","Kaskazini Unguja",Katavi,Kigoma,Kilimanjaro,"Kusini Pemba","Kusini Unguja",Lindi,Manyara,Mara,Mbeya,"Mjini Magharibi",Morogoro,Mtwara,Mwanza,Njombe,Pwani,Rukwa,Ruvuma,Shinyanga,Simiyu,Singida,Tabora,Tanga
1971,938.84,645.49,851.78,568.24,986.77,724.74,1159.70,815.40,778.07,957.11,1191.29,930.29,815.40,850.12,1457.79,676.16,950.24,785.03,836.50,1109.71,1289.23,945.55,999.88,984.84,950.86,1308.50,781.32,615.59,577.06,789.12,796.72
1972,1117.28,772.61,1259.57,721.44,1116.32,883.09,1453.64,1385.30,1354.83,1041.78,1185.49,1180.15,1385.30,1395.37,1675.68,877.39,1131.61,924.55,1378.90,1446.04,1400.26,1201.22,1110.03,1512.26,1048.95,1315.34,953.12,832.96,695.60,877.47,1356.03
1973,940.58,593.94,943.00,564.80,1026.47,723.46,1290.15,1020.20,985.44,901.48,1003.61,736.90,1020.20,980.54,1350.03,629.82,1038.84,763.57,970.50,1230.49,1039.29,1088.29,997.16,1223.29,881.43,1224.96,878.45,744.91,608.00,830.78,866.42
1974,979.86,643.07,884.37,531.14,984.93,744.74,1135.66,853.30,841.27,1094.22,1189.49,812.58,853.30,865.46,1472.05,604.98,991.52,845.86,857.70,1096.18,1248.88,1014.71,1294.26,1020.93,998.85,1343.61,907.78,716.14,637.63,1016.05,682.32
1975,913.05,513.11,1036.08,496.26,1011.33,719.95,1335.89,867.80,882.90,900.50,1019.22,707.70,867.80,1022.06,1406.53,522.17,980.09,779.76,1013.70,1141.89,1069.29,1110.56,1004.29,1196.40,934.87,1232.66,771.01,663.49,524.67,738.86,839.57
1976,887.69,477.11,923.21,460.18,967.53,672.43,1263.88,990.10,949.30,941.76,996.37,752.16,990.10,1010.70,1390.63,559.25,930.99,713.07,999.10,1056.76,1212.84,1036.30,992.51,1020.54,869.45,1199.21,800.75,612.70,473.10,817.94,845.09
1977,1096.70,826.48,1113.07,690.61,1187.04,829.44,1376.51,1315.90,1264.93,1141.51,1278.78,1077.64,1315.90,1243.58,1465.00,835.98,1195.79,816.52,1234.80,1468.53,1083.00,1212.61,1062.58,1362.00,1053.05,1260.50,1024.67,864.25,709.88,1012.94,1227.21
1978,1189.94,950.09,1404.15,759.65,1179.11,906.88,1371.98,1461.90,1506.88,1281.53,1312.32,1284.43,1461.90,1531.88,1567.79,1048.54,1225.10,997.34,1510.70,1444.41,1288.53,1209.62,1189.45,1533.92,1192.12,1433.22,1032.41,886.85,793.39,1099.28,1252.19
1979,1240.86,920.87,1322.98,731.53,999.41,1104.81,1224.39,1479.20,1442.84,1264.07,1262.25,1334.95,1479.20,1473.24,1952.15,948.70,1037.83,1236.67,1460.10,1699.61,1511.08,984.50,1610.25,1543.89,1357.66,1589.97,875.67,816.47,742.14,999.80,1236.31
1980,1025.76,728.63,986.39,673.78,1032.14,842.12,1129.67,876.40,917.69,1037.73,1132.72,965.92,876.40,1005.41,1619.14,761.25,908.08,803.38,1005.50,1319.05,1372.73,985.67,1140.08,1150.16,989.83,1439.99,912.62,751.39,629.87,880.96,918.24
1981,968.12,695.04,1070.77,602.59,1051.44,785.15,1161.68,1157.20,1193.45,987.08,1203.82,1030.56,1157.20,1227.39,1395.80,752.72,983.35,646.62,1221.00,1305.95,1088.84,1036.99,935.09,1235.59,752.29,1197.02,906.32,737.27,563.36,889.84,1003.00
1982,1161.09,892.31,1256.67,684.01,1198.02,862.60,1352.07,1472.20,1408.33,1203.03,1389.47,1293.72,1472.20,1405.96,1719.33,890.24,1194.72,854.15,1380.20,1448.30,1324.18,1224.59,1062.89,1430.01,1201.15,1382.10,1061.81,961.92,755.82,1033.71,1262.52
1983,911.37,547.22,1026.99,579.02,873.04,776.65,1118.13,977.70,1006.93,865.59,1014.14,761.18,977.70,1091.83,1517.05,590.82,990.52,727.52,1079.80,1162.55,1240.65,917.80,1027.35,1141.15,848.32,1209.95,727.57,627.80,609.51,744.41,788.47
1984,1051.32,610.68,1264.48,706.15,862.67,919.30,1095.57,1350.70,1345.81,1002.32,1007.24,914.02,1350.70,1358.33,1763.52,751.83,837.28,969.92,1351.70,1423.51,1383.50,875.96,1209.77,1461.25,982.09,1411.05,801.88,657.17,687.00,871.34,1171.06
1985,1002.02,750.34,1011.19,660.32,1062.41,783.63,1247.13,1177.00,1140.78,1099.31,1175.28,899.06,1177.00,1097.03,1406.13,723.62,1080.55,840.98,1092.40,1135.34,1167.65,1051.20,965.75,1164.41,960.00,1169.64,887.54,777.66,718.93,989.04,980.55
1986,1131.26,744.48,1356.69,733.82,1130.42,895.57,1273.95,1290.60,1317.67,1162.17,1191.10,1078.59,1290.60,1394.27,1676.46,877.26,1073.12,980.82,1386.30,1321.65,1396.02,1136.03,1243.64,1450.07,1069.46,1453.77,1058.99,834.19,751.95,1101.41,1055.86
1987,888.08,583.48,795.76,622.67,1023.67,735.23,1186.74,1037.40,978.54,908.88,1042.16,805.89,1037.40,924.86,1192.37,667.50,1055.34,684.12,908.00,1108.28,952.08,1015.43,871.19,890.33,863.16,1063.75,874.61,722.74,588.42,816.06,899.00
1988,1033.39,684.55,1010.37,685.95,1143.67,856.76,1310.94,1174.70,1115.60,1134.61,1194.17,895.81,1174.70,1082.99,1349.46,705.79,1256.74,881.06,1063.90,1219.44,1034.48,1263.89,1018.01,1165.81,934.56,1121.66,1071.67,889.30,746.57,1061.50,966.18
1989,1168.29,792.22,1166.90,822.80,1059.45,1014.90,1129.71,1160.30,1190.52,1149.72,1190.17,947.16,1160.30,1234.11,1931.94,869.08,1186.42,967.53,1219.90,1546.52,1536.18,1107.04,1169.94,1428.87,1136.80,1519.05,956.31,862.35,845.11,989.47,1031.95
1990,997.76,839.11,1152.92,631.34,1126.89,767.06,1193.50,1189.50,1223.33,1031.07,1165.02,1221.82,1189.50,1278.76,1445.16,902.38,1109.61,667.13,1267.40,1230.22,1072.88,1127.85,790.12,1359.67,831.61,975.92,1001.95,803.51,654.68,962.62,1058.45
1991,1067.77,721.62,985.44,680.91,1026.93,841.59,1265.40,1030.40,1029.05,1002.28,1126.14,1050.04,1030.40,1058.41,1818.26,782.18,1131.64,793.85,1045.90,1412.13,1559.72,1104.88,1056.48,1205.86,977.13,1517.33,861.92,767.46,648.10,843.57,929.03
1992,962.56,745.36,1164.57,567.33,921.26,704.65,1034.30,1175.20,1255.99,1100.08,1125.64,952.52,1175.20,1278.68,1544.39,748.72,907.01,759.55,1262.30,1123.01,1213.51,878.59,849.24,1296.54,912.64,989.05,902.12,707.93,662.52,997.82,1004.28
1993,872.72,538.34,1034.02,499.15,827.75,687.00,1138.39,924.00,1026.44,819.79,922.22,693.90,924.00,1066.94,1543.33,522.44,960.28,722.29,1056.40,1143.39,1226.10,902.49,913.67,1242.46,838.33,1162.88,675.54,619.34,503.72,644.94,753.97
1994,1010.15,646.67,1377.52,587.00,1103.85,757.72,1416.13,1551.90,1574.20,1061.92,1138.66,893.30,1551.90,1621.55,1397.31,664.88,1187.58,806.25,1609.80,1169.76,1082.22,1212.03,990.27,1462.69,927.97,1185.24,963.81,825.13,659.34,930.02,1091.73
