Variable:,pr
,Denmark,Aarhus,Bornholm,Frederiksberg,Fyn,Nordjylland,Ribe,Ringkoebing,Soenderjylland,Storstroem,Vejle,Vestsjaelland,Viborg,Frederiksborg,Koebenhavn,Roskilde
1952,746.39,672.29,696.80,675.17,675.43,689.16,870.19,840.40,845.58,623.20,801.42,632.58,777.66,677.75,670.51,648.50
1953,656.59,591.14,463.38,511.77,559.67,672.01,733.57,765.54,710.33,493.15,676.48,505.87,739.80,522.20,514.16,495.38
1954,871.42,772.34,703.09,756.87,754.03,854.54,991.69,1008.80,944.85,690.29,910.88,699.40,961.09,753.30,748.62,712.37
1955,604.51,540.90,586.51,553.21,550.03,558.05,709.24,676.11,694.47,527.84,642.52,513.91,625.92,549.39,546.52,532.46
1956,613.72,533.63,620.26,545.81,562.32,578.30,718.60,688.42,705.81,547.24,649.48,523.01,637.13,547.02,542.71,532.43
1957,689.82,617.49,608.69,571.84,604.07,670.96,802.54,789.83,781.48,556.75,725.55,549.88,743.91,576.23,569.57,549.83
1958,789.97,707.42,706.09,686.73,712.34,748.16,905.99,884.52,886.19,663.42,848.57,647.03,848.54,690.79,687.74,666.84
1959,548.71,482.63,535.44,472.75,453.13,556.03,600.78,640.76,563.57,442.17,558.94,427.80,633.18,467.99,467.62,462.13
1960,835.06,718.50,781.25,742.42,785.41,778.79,953.73,933.25,944.76,765.00,898.79,720.69,876.87,741.67,739.74,740.27
1961,782.65,694.53,654.01,622.69,677.34,755.64,912.10,905.30,879.42,622.80,832.01,610.34,860.61,628.27,622.39,612.23
1962,705.93,629.37,653.31,626.06,631.52,700.88,789.74,791.04,770.61,608.00,739.15,592.13,756.66,627.04,621.16,604.06
1963,718.90,649.03,615.05,640.12,627.08,707.15,818.11,812.75,782.61,578.38,750.29,584.95,778.85,645.34,637.31,607.35
1964,636.70,573.86,477.97,525.92,548.00,635.93,723.13,726.81,699.29,500.00,664.67,507.31,698.05,533.76,526.70,509.00
1965,762.16,656.17,662.51,624.15,714.45,697.42,905.42,871.98,913.02,666.04,814.91,625.36,799.72,626.91,622.30,618.72
1966,856.44,751.90,687.20,732.80,789.71,790.28,999.11,978.20,976.06,733.74,916.31,708.15,914.54,734.15,729.34,712.88
1967,868.15,769.73,729.70,701.80,734.64,860.20,1001.04,1015.33,944.29,670.43,913.26,670.11,968.15,705.29,698.40,674.23
1968,788.35,700.08,689.32,643.64,715.03,728.79,930.83,904.63,909.06,661.49,849.66,635.01,838.24,648.73,641.49,637.40
1969,651.35,579.35,558.14,522.71,597.80,612.20,767.21,746.39,750.54,543.13,706.10,518.66,693.42,524.86,519.42,511.96
1970,768.37,676.32,742.27,680.85,701.71,703.02,910.83,870.36,900.88,663.06,819.09,633.81,804.06,675.23,671.95,653.30
1971,617.46,569.52,510.67,560.09,539.00,606.00,700.24,695.61,662.94,494.05,654.38,513.55,658.50,561.07,556.08,525.17
1972,616.60,545.43,543.39,524.71,547.51,627.89,685.98,687.51,678.25,520.40,632.89,505.30,676.94,526.87,521.36,507.21
1973,625.18,551.41,601.17,554.76,582.84,570.65,745.73,704.31,743.32,536.98,679.39,525.97,641.11,548.74,546.28,522.88
1974,750.66,655.60,674.60,614.38,653.60,718.68,889.88,874.84,859.86,594.21,794.84,582.85,815.70,615.45,610.20,591.16
1975,530.51,465.42,487.06,447.71,458.24,525.45,608.54,614.35,591.08,430.99,552.78,415.25,586.62,438.24,437.62,419.06
1976,525.41,455.33,515.70,432.72,436.04,529.85,602.62,620.06,569.43,415.06,543.35,396.99,594.17,423.61,422.86,412.28
1977,689.13,614.79,635.77,585.73,581.76,699.85,783.91,794.53,759.52,546.76,706.95,532.89,765.44,573.72,572.71,546.77
1978,655.99,576.61,614.13,551.27,584.55,615.55,786.96,757.12,758.70,546.32,713.90,524.90,691.76,540.86,539.74,519.64
1979,762.77,683.35,636.09,612.37,636.56,746.73,896.35,899.76,831.28,580.39,818.27,578.15,845.83,606.06,604.25,581.40
1980,828.60,753.24,701.91,720.48,753.38,751.07,999.58,939.67,965.92,676.32,911.32,683.68,851.02,722.79,716.24,682.19
1981,846.46,765.04,772.89,751.86,765.04,788.40,981.69,952.11,958.26,720.07,910.41,709.15,886.85,753.70,746.90,726.36
1982,715.06,641.27,556.77,607.02,595.55,709.42,831.01,835.63,769.83,518.01,759.79,545.32,799.86,599.86,596.98,556.25
1983,728.23,657.94,636.46,628.51,640.58,693.43,855.34,831.05,828.92,595.78,772.54,583.32,780.22,615.84,614.77,588.57
1984,760.99,672.49,622.54,646.87,673.81,729.57,888.07,869.79,859.48,620.03,799.95,612.73,824.50,649.69,642.39,620.49
1985,777.08,706.59,679.90,705.14,683.02,746.71,886.96,880.11,853.20,638.88,820.85,648.47,828.96,702.50,699.34,664.67
1986,678.78,578.84,622.85,581.24,620.12,642.08,796.34,778.06,789.91,573.27,716.11,548.62,730.56,572.80,571.98,555.17
1987,741.06,649.25,664.01,614.64,665.47,710.44,870.85,846.96,855.60,620.91,779.87,592.45,795.47,614.52,608.96,594.83
1988,835.01,748.86,715.11,690.51,719.91,814.99,970.32,969.24,943.45,636.85,885.02,645.12,914.54,684.52,680.30,647.04
1989,608.25,527.75,533.38,516.16,555.10,575.18,711.83,692.68,705.43,514.11,643.62,498.75,646.62,517.86,514.60,498.78
1990,816.39,718.03,615.77,634.76,697.89,799.46,963.12,962.37,930.13,615.26,853.21,618.16,902.50,640.68,629.68,613.18
1991,649.85,573.58,644.73,597.86,606.42,608.45,748.25,730.38,737.48,568.71,696.76,555.52,678.06,589.95,589.56,561.12
1992,713.08,633.02,592.83,587.09,616.32,694.19,832.06,832.44,806.27,550.27,743.94,541.27,784.75,586.62,583.08,556.70
1993,742.35,637.91,693.82,638.65,691.29,693.40,886.61,835.36,887.03,652.65,784.18,612.28,769.83,642.28,636.80,624.27
1994,855.48,753.89,713.86,752.26,768.89,805.88,1007.52,983.63,981.07,702.19,894.77,691.14,916.97,744.04,740.13,704.55
1995,655.28,580.34,647.69,588.39,585.23,644.04,746.70,730.18,748.55,562.17,677.09,535.89,700.69,579.31,577.58,556.35
1996,513.29,460.66,537.43,477.21,432.62,530.45,569.63,576.13,546.03,419.98,518.36,418.09,560.96,468.82,470.34,441.73
1997,601.11,537.88,577.99,510.34,542.00,596.35,682.97,672.75,672.89,506.67,625.59,491.91,645.39,514.19,504.60,493.21
1998,851.79,764.14,786.29,753.74,754.24,848.16,963.78,949.02,950.70,708.85,884.35,705.15,906.13,748.09,744.48,722.39
1999,872.28,793.40,719.31,750.80,709.41,906.95,971.76,1001.73,909.15,648.66,901.04,680.40,971.31,750.63,747.28,706.76
2000,742.77,658.29,632.44,633.09,608.04,807.15,823.38,834.96,786.48,566.26,752.59,576.59,823.95,631.98,625.87,598.82
2001,734.62,640.52,685.78,626.66,652.18,711.84,860.31,835.48,846.32,613.66,768.72,586.45,785.96,625.17,621.64,605.09
2002,834.41,744.58,712.19,711.29,769.10,792.07,964.54,935.73,955.15,702.19,893.02,692.37,881.09,718.12,707.41,693.20
2003,615.86,557.61,525.54,517.86,529.84,620.18,699.41,702.27,669.44,479.94,645.84,485.50,674.77,526.57,513.02,491.41
2004,757.40,667.28,707.12,673.37,662.60,747.29,872.19,859.97,844.79,624.49,792.13,609.95,812.34,676.82,668.65,631.16
2005,639.76,565.19,556.57,532.32,571.16,623.38,740.09,726.38,732.85,522.83,678.06,509.54,688.90,533.62,529.33,509.67
2006,770.34,689.94,616.33,654.94,643.30,783.79,886.45,887.98,825.24,571.16,801.64,591.39,853.84,665.96,652.73,610.26
2007,855.07,765.95,803.00,751.66,783.63,833.14,968.35,948.60,967.76,736.18,901.54,713.91,903.92,755.80,746.58,721.76
2008,743.37,661.30,656.82,663.72,620.86,760.39,846.49,840.60,808.24,591.73,756.47,595.59,813.10,655.84,650.28,618.04
2009,708.57,634.60,616.44,603.71,607.31,720.64,808.84,800.14,781.48,552.26,730.67,562.07,775.71,609.33,600.54,568.85
2010,735.62,659.08,700.84,713.89,662.26,732.01,818.76,800.98,810.93,643.93,755.54,642.84,769.16,705.85,710.19,666.40
2011,809.13,747.65,653.85,710.92,679.27,833.91,874.05,908.02,845.73,636.12,809.32,670.76,904.89,721.26,707.93,682.21
2012,756.05,691.48,647.54,670.61,615.81,807.92,812.84,853.34,776.09,573.02,750.69,608.24,857.79,672.97,660.40,621.32
2013,686.88,609.68,610.07,590.04,602.77,672.53,783.77,782.81,762.82,565.18,709.70,560.48,749.71,585.13,581.02,564.15
2014,819.77,740.39,724.24,717.75,703.25,834.01,910.81,929.81,864.29,650.10,848.20,662.77,907.72,715.75,709.09,677.53
2015,859.22,767.09,632.94,683.73,730.76,858.61,986.92,1001.49,942.84,634.37,899.84,654.86,960.54,693.81,681.22,656.80
2016,678.68,611.43,560.57,563.32,596.41,663.04,782.36,775.41,752.67,533.88,720.67,538.09,737.99,568.43,560.45,541.48
2017,961.37,860.95,822.86,813.84,841.60,929.67,1103.19,1102.92,1072.26,772.11,1009.13,770.33,1051.09,817.57,808.23,779.04
2018,600.64,529.66,483.29,492.77,504.54,596.78,693.88,704.96,648.14,452.30,628.45,460.88,675.08,493.27,488.23,467.67
2019,850.86,767.16,638.98,682.74,714.85,863.61,977.12,986.84,917.37,618.46,888.98,649.26,947.78,695.97,680.71,653.04
2020,730.58,648.93,600.22,598.53,631.38,735.99,840.05,830.42,805.66,566.96,775.40,573.09,797.38,603.75,596.20,576.80
