Variable:,pr
,"Sri Lanka",Central,Eastern,"North Central","North Western",Northern,Sabaragamuwa,Southern,Uva,Western
1932,1848.06,1899.46,1677.15,1529.80,1693.72,1472.90,2645.03,2370.10,1783.39,2736.65
1933,1666.54,1738.65,1573.37,1356.29,1499.96,1206.22,2404.63,2139.50,1680.30,2483.88
1934,1614.36,1713.33,1632.69,1417.19,1490.93,1123.89,2132.16,1880.88,1690.89,2169.80
1935,1908.70,2002.91,1956.65,1628.20,1691.00,1324.91,2555.19,2318.11,2031.80,2597.48
1936,1604.61,1630.35,1606.06,1401.01,1446.70,1286.23,2130.67,1865.94,1598.47,2202.71
1937,1610.96,1695.68,1594.50,1430.34,1544.48,1244.80,2088.19,1801.93,1621.69,2138.57
1938,1583.40,1728.98,1612.15,1390.30,1482.78,1075.33,2074.87,1785.23,1669.86,2126.72
1939,1761.63,1824.61,1670.44,1534.96,1665.22,1462.09,2346.04,2034.65,1725.65,2426.15
1940,1672.60,1738.68,1560.35,1431.28,1640.89,1289.68,2304.79,1992.53,1615.04,2383.15
1941,1878.66,1960.29,1829.43,1608.43,1737.42,1391.58,2570.29,2273.45,1877.43,2653.28
1942,1712.17,1810.78,1702.36,1486.15,1551.32,1238.83,2292.42,2035.29,1792.98,2310.70
1943,1642.96,1685.72,1622.32,1476.08,1524.65,1350.66,2107.36,1848.58,1641.82,2165.81
1944,1865.39,1974.07,1841.80,1556.19,1733.18,1327.64,2559.51,2239.02,1934.86,2619.08
1945,1445.20,1516.01,1387.08,1255.49,1408.46,1076.32,1945.48,1713.93,1415.73,2011.08
1946,1897.95,1961.48,1935.94,1724.68,1768.39,1540.47,2369.43,2068.01,1908.69,2438.62
1947,1912.43,1990.58,1881.70,1608.79,1773.01,1374.05,2653.19,2285.23,1943.53,2749.88
1948,1464.98,1544.92,1478.91,1259.10,1286.52,1086.65,1947.25,1766.02,1533.57,1974.41
1949,1769.60,1883.24,1772.45,1467.61,1541.06,1179.51,2489.91,2219.82,1878.34,2521.88
1950,1292.97,1359.62,1258.13,1110.78,1217.75,949.20,1766.60,1520.16,1294.23,1834.81
1951,1934.92,2045.77,1892.26,1610.66,1826.30,1239.23,2710.60,2412.64,2012.65,2805.41
1952,1349.74,1416.79,1361.24,1157.91,1214.19,942.69,1827.75,1615.23,1406.68,1889.09
1953,1739.56,1846.36,1689.03,1451.73,1613.68,1218.98,2404.92,2153.17,1793.85,2458.85
1954,1972.58,2101.75,1937.99,1707.75,1828.05,1393.50,2646.90,2334.82,2071.69,2682.15
1955,1804.74,1875.73,1753.65,1602.74,1685.52,1446.90,2387.55,2031.98,1792.16,2459.29
1956,1415.74,1472.21,1407.76,1188.78,1288.21,1102.51,1919.19,1670.12,1425.24,2000.64
1957,2067.24,2149.79,2275.05,1871.61,1800.93,1483.10,2556.45,2292.49,2210.62,2630.89
1958,1555.33,1633.05,1444.40,1304.12,1511.55,1092.77,2221.99,1914.07,1523.35,2323.26
1959,1741.01,1834.93,1575.01,1374.71,1691.57,1160.43,2597.19,2271.12,1733.00,2702.99
1960,1769.15,1891.59,1717.52,1480.29,1666.79,1210.43,2467.91,2158.21,1788.36,2575.13
1961,2282.34,2416.37,2181.33,1773.44,1986.43,1326.62,3427.57,3216.00,2446.60,3489.07
1962,1751.58,1844.39,1620.47,1438.52,1710.72,1156.60,2549.24,2209.97,1738.78,2669.76
1963,2486.93,2628.78,2527.92,2127.41,2217.88,1730.22,3334.57,3005.76,2622.58,3400.75
1964,1379.27,1459.23,1317.84,1077.64,1224.49,909.65,2045.02,1829.11,1426.09,2120.41
1965,2002.11,2129.59,1955.42,1730.02,1854.71,1460.56,2736.16,2370.85,2006.57,2819.08
1966,1723.85,1824.14,1649.43,1492.56,1653.63,1309.39,2334.35,2000.56,1720.36,2396.08
1967,2044.60,2120.39,2014.84,1787.81,1867.35,1533.70,2731.41,2483.93,2040.07,2821.54
1968,1316.60,1350.00,1214.46,1129.06,1309.85,1035.28,1798.06,1573.43,1265.74,1879.44
1969,1997.44,2123.25,2100.14,1776.91,1726.01,1344.14,2593.32,2387.91,2145.04,2624.07
1970,1746.99,1840.36,1710.51,1456.92,1622.10,1242.00,2397.12,2133.82,1823.78,2438.86
1971,1632.76,1693.78,1659.54,1415.37,1438.06,1294.71,2138.09,1891.61,1671.88,2211.23
1972,1845.30,1906.30,1638.66,1509.10,1817.55,1344.43,2746.32,2342.85,1729.86,2881.55
1973,1795.59,1883.69,1725.22,1499.78,1680.75,1270.25,2548.93,2202.12,1790.64,2628.42
1974,1308.68,1409.83,1200.36,1044.99,1301.05,775.38,1939.18,1706.50,1333.66,2006.38
1975,1798.18,1889.38,1663.24,1398.60,1613.96,1161.74,2738.16,2443.52,1842.40,2821.19
1976,1362.05,1430.81,1418.80,1207.00,1236.96,1025.54,1710.64,1559.17,1431.44,1739.64
1977,1984.43,2015.65,1734.66,1678.71,2028.00,1640.46,2843.17,2348.72,1781.01,3020.12
1978,1647.78,1691.84,1606.25,1489.79,1548.26,1349.33,2122.65,1896.87,1596.37,2217.22
1979,1747.87,1802.06,1725.52,1547.16,1657.42,1446.42,2278.99,1954.86,1667.23,2409.14
1980,1302.07,1409.52,1141.96,1019.40,1276.64,832.18,1973.65,1737.68,1308.43,2018.93
1981,1719.49,1823.80,1583.07,1412.18,1677.54,1269.78,2493.66,2050.23,1661.82,2608.80
1982,1480.20,1545.74,1384.57,1195.68,1363.01,991.79,2155.03,1970.08,1509.82,2201.98
1983,1350.21,1347.02,1339.36,1232.69,1188.41,1271.60,1710.90,1489.51,1252.72,1824.08
1984,2075.02,2209.49,2031.97,1805.94,2007.35,1495.19,2776.89,2353.08,2103.67,2885.91
1985,1734.96,1820.24,1730.50,1527.18,1583.76,1314.82,2315.36,2005.38,1723.55,2412.75
1986,1587.68,1685.93,1629.38,1416.28,1439.60,1164.47,2051.78,1790.15,1660.56,2085.62
1987,1340.45,1384.09,1217.14,1133.27,1340.00,1012.96,1878.57,1634.21,1290.08,1962.27
1988,1935.80,2088.18,1777.23,1508.03,1863.48,1327.30,2985.32,2388.12,1836.86,3155.83
1989,1503.16,1591.57,1418.53,1241.06,1437.92,1106.01,2154.40,1807.12,1457.24,2253.79
1990,1895.32,1974.83,1915.05,1626.46,1727.68,1369.84,2555.26,2232.48,1954.77,2628.50
1991,1537.26,1610.32,1478.08,1234.01,1395.38,1021.09,2220.34,2011.31,1592.65,2297.92
1992,1436.05,1478.05,1345.72,1200.11,1376.43,1137.89,2031.62,1721.23,1342.54,2154.91
1993,1933.12,1987.72,1887.19,1682.94,1778.10,1523.37,2590.26,2283.91,1916.12,2676.49
1994,1744.39,1831.97,1753.26,1499.04,1566.10,1274.85,2326.91,2117.19,1797.51,2385.13
1995,1568.78,1673.00,1445.29,1280.48,1510.02,1023.69,2295.55,2004.05,1581.25,2372.81
1996,1729.30,1854.93,1660.45,1441.84,1656.91,1193.32,2434.74,2092.04,1724.24,2533.05
1997,1979.23,2072.69,1846.83,1620.15,1832.49,1429.51,2827.52,2564.81,1965.24,2936.90
1998,1597.61,1623.20,1564.40,1319.49,1420.69,1207.46,2214.72,1999.41,1626.92,2317.23
1999,1769.70,1882.69,1776.33,1547.55,1634.55,1263.27,2343.91,2069.41,1832.97,2390.01
2000,1745.91,1830.15,1774.17,1487.29,1529.16,1275.17,2353.23,2096.80,1813.49,2426.41
2001,1463.01,1551.51,1499.49,1309.92,1388.70,1119.22,1836.89,1574.52,1513.19,1894.93
2002,1712.93,1781.70,1688.50,1520.05,1623.92,1341.62,2235.50,1950.98,1697.20,2317.82
2003,1642.08,1718.57,1557.27,1368.45,1598.79,1199.37,2313.67,1971.78,1594.03,2434.75
2004,1954.65,2039.74,1830.49,1642.00,1884.60,1480.28,2787.10,2328.52,1862.50,2916.72
2005,1689.09,1767.87,1675.97,1511.40,1602.59,1319.87,2156.40,1918.88,1700.30,2224.37
2006,2113.32,2216.54,2105.02,1814.84,1948.37,1498.45,2825.02,2562.10,2182.37,2917.51
2007,1587.37,1685.65,1543.18,1338.92,1440.25,1129.54,2196.74,1946.77,1636.08,2254.29
2008,1996.56,2098.37,1941.70,1782.40,1909.49,1616.83,2608.40,2206.82,1947.28,2715.06
2009,1569.81,1623.85,1501.38,1443.20,1549.15,1334.37,2022.91,1700.74,1446.42,2136.82
2010,1843.64,1882.69,1823.26,1561.60,1694.34,1491.65,2449.71,2165.01,1840.98,2584.66
2011,1543.10,1612.62,1580.73,1393.70,1428.43,1223.01,1928.17,1712.63,1559.54,2007.58
2012,1710.38,1813.03,1749.51,1471.07,1496.88,1182.21,2280.98,2087.87,1825.01,2307.87
2013,1481.64,1538.49,1479.82,1252.77,1347.86,1029.12,2033.35,1802.14,1546.78,2090.57
2014,1859.36,1951.55,1908.45,1618.29,1639.77,1323.43,2463.11,2226.68,1945.79,2520.18
2015,2338.36,2453.45,2132.37,1942.97,2262.75,1717.42,3372.19,2911.60,2237.04,3532.03
2016,1396.80,1458.69,1292.07,1085.97,1290.41,856.18,2132.69,1905.62,1440.39,2192.23
2017,1662.26,1735.37,1730.94,1363.92,1424.40,1130.13,2256.83,2075.05,1812.97,2307.87
2018,1780.56,1868.48,1646.47,1474.18,1747.84,1288.94,2553.10,2176.68,1731.46,2654.91
2019,1896.72,1992.18,1845.40,1487.84,1615.58,1220.17,2778.32,2611.29,2004.94,2849.75
2020,1606.67,1686.10,1532.87,1343.54,1445.62,1211.42,2261.05,1991.01,1591.01,2363.15
