Variable:,pr
,Mongolia,Arxangai,Bayan-O'lgii,Bayanxongor,Bulgan,Darxan-Uul,Dornod,Dornogovi,Dundgovi,Govi-Altai,Govisu'mber,O'mnogovi,O'vorxangai,Orxon,Selenge,Su'xbaatar,To'v,Ulaanbaatar,Uvs,Xentii,Xo'vsgol,Xovd,Zavxan
1912,224.60,312.70,257.19,164.35,427.67,360.51,248.78,156.63,161.46,126.08,220.78,118.72,215.46,445.81,392.82,214.26,295.71,302.03,274.27,294.14,384.40,132.01,238.71
1913,220.69,307.41,287.66,164.35,376.00,335.95,269.25,156.63,161.40,126.08,220.64,118.72,215.30,386.28,360.25,215.14,276.24,274.97,277.56,284.21,346.89,133.52,238.63
1914,228.88,310.15,262.40,164.35,435.87,399.06,283.40,156.63,161.52,126.08,220.91,118.72,215.60,475.02,428.30,215.05,314.63,328.65,275.27,298.30,367.56,132.17,238.65
1915,230.72,310.95,297.11,164.35,442.27,406.70,283.49,156.63,161.49,126.08,220.90,118.72,215.54,483.21,436.16,215.53,306.61,314.47,280.15,297.03,375.53,134.21,238.68
1916,222.72,308.46,214.30,164.35,405.61,365.13,281.66,156.63,161.54,126.08,220.97,118.72,215.68,433.54,391.96,217.30,317.31,336.33,268.50,307.59,322.28,130.70,238.58
1917,222.38,310.52,236.72,164.35,435.14,383.84,229.41,156.63,161.52,126.08,220.94,118.72,215.61,474.02,412.51,214.26,312.35,329.14,270.78,285.11,367.67,132.09,238.65
1918,213.65,308.19,192.71,164.35,384.33,291.23,254.97,156.63,161.41,126.08,220.64,118.72,215.33,391.07,320.53,214.99,269.95,274.03,267.05,265.10,342.61,129.46,238.63
1919,227.36,308.73,270.13,164.35,426.45,415.69,262.55,156.60,161.46,126.08,220.78,118.72,215.46,457.60,447.52,214.91,303.04,305.16,276.97,310.67,361.43,132.28,238.62
1920,220.08,306.27,223.71,164.35,381.76,329.76,274.23,158.13,161.46,126.08,220.78,118.75,215.46,406.93,354.78,215.11,292.26,301.17,279.23,285.42,342.43,131.20,242.84
1921,218.85,301.88,234.36,164.35,354.83,337.04,267.37,154.66,161.46,126.08,220.78,118.67,215.46,389.20,360.06,215.07,296.47,302.42,284.67,310.56,314.88,131.52,245.17
1922,223.38,309.68,164.37,164.35,395.43,326.23,297.72,161.70,161.46,126.08,220.78,118.83,215.46,410.98,356.00,215.24,292.10,300.71,278.03,292.40,375.06,129.61,243.82
1923,211.80,303.00,165.39,164.35,365.38,344.27,255.51,149.76,161.46,126.08,220.78,118.59,215.46,400.32,367.09,214.98,294.83,301.98,268.63,290.25,283.84,129.42,238.49
1924,222.74,310.04,244.50,164.35,395.49,343.35,278.92,157.78,161.46,126.08,220.78,118.75,215.46,418.33,371.07,215.11,293.55,301.51,273.94,291.00,352.85,131.83,240.08
1925,227.87,308.77,208.59,164.35,427.84,402.82,266.83,153.36,161.54,126.08,221.01,118.66,215.68,468.99,430.80,214.94,321.80,338.13,293.11,301.44,376.56,130.35,248.87
1926,223.70,309.09,260.00,164.35,412.63,392.42,259.14,147.72,161.45,126.08,220.78,118.53,215.42,442.68,417.15,214.80,295.87,299.34,274.67,294.01,362.94,131.98,240.61
1927,225.70,310.39,244.77,164.35,446.27,414.68,224.57,156.98,161.53,126.08,220.99,118.73,215.65,487.78,444.60,213.11,318.86,334.62,283.88,288.32,383.03,131.64,242.09
1928,216.99,306.99,257.15,164.35,350.95,277.95,259.94,156.62,161.38,126.08,220.60,118.72,215.22,340.04,307.57,208.95,266.42,262.36,291.19,269.24,364.28,131.97,243.96
1929,227.32,308.02,234.64,164.35,384.63,332.06,336.39,166.48,161.39,126.08,220.64,118.93,215.28,394.84,361.70,215.84,277.61,274.51,285.87,297.26,357.39,131.25,242.33
1930,232.61,310.30,264.44,164.35,454.03,435.14,259.99,152.81,161.56,126.08,221.00,118.64,215.73,503.07,468.09,214.80,329.56,345.25,294.46,309.33,389.32,134.59,245.99
1931,228.28,311.17,198.80,164.35,454.06,402.23,296.65,155.52,161.46,126.08,220.80,118.70,215.46,497.17,436.51,215.41,298.07,305.23,264.62,276.83,394.24,130.67,243.74
1932,249.07,313.40,261.83,164.35,526.47,576.87,328.78,150.83,161.66,126.08,221.29,118.60,216.04,622.01,605.66,214.84,374.47,400.40,290.16,329.02,419.05,132.81,244.84
1933,225.63,309.58,210.96,164.35,419.88,399.90,274.68,163.76,161.44,126.08,220.76,118.88,215.39,450.99,424.44,211.85,293.44,294.90,274.49,281.81,384.51,130.92,242.84
1934,220.26,305.16,236.28,165.18,347.23,314.90,301.41,168.77,161.29,126.34,220.38,119.29,215.00,344.95,334.70,213.30,248.76,229.15,277.18,281.27,360.16,131.36,244.21
1935,217.80,307.05,235.83,164.05,388.92,340.27,231.09,147.28,161.43,126.01,220.73,118.42,215.36,405.13,367.12,212.14,283.38,285.98,289.17,276.06,364.04,132.37,246.90
1936,226.09,306.12,262.89,164.63,401.88,390.58,277.89,149.09,160.45,126.16,216.08,118.54,215.33,425.35,414.77,210.27,283.26,279.98,307.05,291.39,371.98,133.50,245.08
1937,234.72,322.23,308.12,175.32,396.42,352.87,278.64,151.30,154.65,151.88,185.93,118.72,201.34,413.42,374.54,198.03,258.11,253.93,345.87,233.62,423.79,173.14,312.67
1938,231.17,312.37,265.95,172.53,430.93,419.71,309.50,140.51,138.56,141.11,169.32,101.43,180.28,474.51,450.40,200.10,276.15,273.59,308.47,273.69,417.52,134.89,286.10
1939,216.82,241.31,217.80,137.41,371.62,342.05,307.87,183.65,173.41,98.52,263.46,131.97,186.93,399.63,373.88,248.84,296.75,309.48,232.27,329.76,365.02,93.33,171.82
1940,246.31,374.40,248.73,189.68,486.53,439.65,307.79,96.17,158.90,146.73,186.28,125.38,250.50,521.92,473.07,207.15,330.84,334.29,301.93,306.64,422.39,138.77,306.11
1941,206.16,269.40,222.10,132.46,425.30,419.98,325.76,92.13,124.01,95.72,171.50,78.36,181.21,455.68,448.31,192.12,299.47,310.01,254.74,297.49,394.37,103.59,166.56
1942,200.83,288.73,236.84,142.29,419.08,373.78,221.50,116.59,121.84,124.30,170.13,76.01,160.41,446.94,402.32,158.50,261.53,271.60,269.38,223.63,417.58,115.63,246.37
1943,247.92,371.29,241.03,213.18,414.25,346.53,283.66,131.71,191.53,152.09,197.84,179.72,299.76,417.72,373.74,216.44,297.87,290.45,310.77,282.02,372.50,141.76,308.55
1944,162.53,197.12,216.64,119.93,293.23,269.54,234.09,93.31,81.28,101.17,119.65,64.46,122.44,304.46,297.13,158.88,173.39,174.43,237.66,191.08,327.36,99.60,169.92
1945,227.86,327.73,186.56,161.46,463.89,419.61,321.07,132.89,160.30,112.96,210.31,110.72,225.29,496.12,449.68,243.27,326.94,337.64,232.23,303.68,389.01,103.94,224.70
1946,203.71,260.64,322.50,149.10,327.94,258.74,206.11,144.99,126.69,144.12,170.68,110.00,160.44,333.54,286.73,167.62,200.90,201.54,317.01,196.89,386.77,177.49,275.60
1947,211.75,285.57,214.83,152.25,420.53,358.89,265.57,129.06,156.57,122.84,167.47,147.61,212.16,446.02,393.48,163.13,267.63,270.24,217.06,236.18,404.66,108.67,208.08
1948,230.44,306.53,210.92,164.16,421.00,358.63,371.17,117.84,146.77,118.94,191.37,117.36,216.25,426.24,397.92,239.68,285.82,287.08,246.40,334.04,417.98,116.94,221.44
1949,209.37,321.59,177.50,165.91,454.90,409.77,245.98,133.93,143.60,118.23,204.67,84.80,211.79,488.27,440.55,186.13,320.82,327.32,205.97,275.59,375.18,92.47,207.35
1950,229.73,338.62,234.57,174.73,430.72,373.04,228.47,179.05,170.56,123.54,240.84,122.15,226.05,430.17,403.02,215.45,291.94,295.04,279.28,278.40,435.31,112.35,259.58
1951,192.98,254.83,252.57,138.56,359.33,313.54,238.81,115.38,97.60,121.24,140.58,89.54,152.41,378.89,340.27,169.53,222.13,227.36,287.91,233.60,364.00,138.68,216.39
1952,232.40,291.11,287.41,159.98,408.12,379.21,285.22,150.35,164.90,127.12,222.88,125.63,208.64,436.05,415.86,204.61,295.75,304.77,349.65,291.51,391.99,144.34,258.63
1953,231.83,326.66,249.75,168.64,422.40,345.80,322.13,145.09,191.74,108.31,235.35,135.89,254.85,425.62,376.44,215.22,317.61,320.75,276.92,294.76,366.27,128.64,221.25
1954,227.84,269.95,300.01,164.42,318.48,275.14,321.85,169.39,146.97,145.79,228.61,111.82,185.00,314.68,302.78,249.56,254.06,260.47,334.38,315.15,344.84,152.27,273.29
1955,253.61,354.70,228.50,200.28,421.97,337.57,307.35,199.01,224.00,139.92,287.21,167.34,287.11,415.67,370.59,241.57,325.37,322.28,283.16,333.95,381.21,132.16,264.03
1956,220.57,291.53,256.98,163.43,344.61,276.67,326.43,176.61,159.84,119.97,222.32,110.66,211.93,335.81,307.44,258.54,252.19,245.53,251.44,297.06,351.15,122.59,226.50
1957,205.52,251.10,279.94,135.70,357.92,339.60,332.12,120.37,137.81,89.67,194.31,81.31,180.82,385.52,373.17,229.14,264.61,271.68,275.51,292.19,337.29,119.70,194.31
1958,245.10,295.72,312.09,190.70,320.16,283.69,302.92,198.08,205.75,154.80,267.05,172.12,247.67,311.30,302.85,216.54,305.17,317.23,333.99,317.10,324.68,168.51,280.34
1959,278.90,345.66,287.55,211.68,411.46,397.10,380.80,228.42,216.55,164.83,313.57,149.01,271.83,425.45,433.36,329.70,361.44,370.41,320.86,406.34,379.16,157.76,287.48
1960,232.48,328.40,280.13,150.54,451.40,405.37,309.68,154.80,167.37,94.28,253.60,109.03,222.27,470.83,430.06,215.86,341.27,351.45,307.19,327.56,385.22,125.77,221.69
1961,241.34,316.37,299.92,193.74,388.36,360.77,294.40,163.92,171.70,170.34,223.79,126.82,231.26,402.41,389.24,209.44,307.31,311.32,320.37,301.72,353.21,165.21,278.05
1962,221.69,319.47,176.08,144.11,437.23,370.34,350.35,133.45,164.85,87.70,205.63,117.67,233.91,455.90,403.19,220.76,290.05,287.99,239.31,333.68,383.89,95.17,196.63
1963,216.50,338.13,212.51,141.25,474.26,361.62,267.95,122.24,138.15,90.68,187.67,100.13,211.99,478.09,398.34,189.46,279.76,270.37,291.02,269.38,421.86,119.94,252.52
1964,288.60,445.21,237.10,230.46,557.45,502.99,315.16,190.42,248.77,160.43,314.35,168.82,322.85,609.78,527.64,262.15,419.38,418.87,313.99,380.90,425.19,137.51,320.19
1965,192.25,311.78,200.14,144.21,428.26,348.18,235.90,102.11,112.57,92.94,168.61,80.39,193.89,456.76,389.79,165.25,253.28,252.68,219.58,247.32,357.04,100.18,221.62
1966,235.86,306.29,294.66,181.24,417.03,396.04,288.32,130.65,186.02,140.09,229.15,141.55,250.74,452.71,425.00,201.90,319.20,324.07,328.46,290.21,341.22,145.77,245.36
1967,247.97,328.22,263.63,140.22,485.80,431.72,287.35,195.27,180.88,108.79,272.57,120.17,201.27,516.58,460.97,227.14,358.05,377.17,341.23,323.21,458.31,139.71,281.47
1968,216.49,306.88,253.33,154.05,448.93,348.95,277.73,123.47,143.27,122.80,192.30,110.07,202.91,466.65,394.08,194.83,274.82,277.57,269.08,283.02,372.68,119.92,224.30
1969,225.78,276.96,276.35,175.78,356.14,332.69,293.29,157.85,161.37,140.36,214.18,150.13,212.86,361.58,361.26,216.97,295.94,318.09,257.74,291.83,313.00,153.31,246.46
1970,215.86,261.09,281.40,132.62,359.13,335.26,283.94,179.42,155.24,101.64,253.22,98.67,170.87,398.12,368.86,235.69,307.38,334.00,325.96,304.76,315.60,142.06,217.34
1971,224.71,322.22,237.72,173.96,418.38,357.69,274.65,147.95,191.42,120.81,246.29,128.54,233.72,435.65,407.45,195.23,326.96,337.42,223.43,289.44,360.42,129.64,217.60
1972,188.10,290.74,218.74,155.69,383.97,317.43,217.41,116.92,127.20,116.12,167.62,73.27,192.37,417.84,350.00,168.61,248.25,249.85,226.17,210.84,333.35,97.22,212.20
1973,268.86,370.77,249.92,198.99,503.24,497.44,287.90,246.52,218.89,148.88,340.77,161.07,249.65,551.19,527.94,250.77,420.60,452.65,256.43,359.94,392.43,130.45,272.37
1974,223.72,288.58,165.31,185.73,393.69,359.37,313.38,152.42,175.30,144.66,248.22,125.40,229.08,407.70,382.35,240.72,318.33,325.64,220.23,324.55,322.54,94.83,202.51
1975,227.61,299.45,201.31,165.56,416.14,423.71,295.45,161.98,160.88,122.56,215.52,134.66,217.20,488.20,450.58,227.26,314.57,338.79,237.52,322.30,360.86,107.00,229.06
1976,247.37,378.60,269.77,210.67,470.52,378.35,246.36,206.34,185.50,153.82,254.42,132.29,277.27,499.58,411.17,225.09,315.95,303.66,310.47,273.20,359.30,148.70,286.64
1977,221.90,278.75,215.32,175.81,339.03,259.16,301.35,175.51,202.40,117.70,221.14,183.99,276.73,330.65,292.16,226.53,258.39,250.74,232.80,288.98,300.96,119.59,200.31
1978,184.76,242.19,195.27,134.89,364.14,325.89,260.31,123.62,110.42,108.28,172.48,86.96,154.51,399.84,358.61,196.46,235.47,243.54,206.42,257.16,306.64,107.24,166.68
1979,223.60,264.75,248.77,186.00,340.39,280.77,291.69,177.39,145.98,181.84,197.04,160.91,185.59,346.98,303.79,220.29,243.45,243.60,256.73,265.99,316.51,155.18,242.68
1980,180.97,216.16,238.42,134.59,286.28,249.03,251.69,110.17,127.59,109.13,162.99,110.01,180.87,295.06,277.12,179.13,215.01,215.91,229.12,253.31,276.59,112.63,181.91
1981,209.67,311.07,252.86,173.39,370.70,319.05,237.42,166.94,133.89,122.50,171.14,128.25,214.62,377.75,342.68,205.97,247.43,249.62,257.23,249.05,317.17,132.18,222.78
1982,203.32,292.51,213.94,152.02,409.48,371.31,257.86,119.34,144.77,113.84,193.63,86.36,199.52,444.09,401.95,183.64,285.56,278.62,278.16,256.67,329.77,108.79,209.82
1983,225.47,287.22,309.75,143.50,354.71,328.32,301.37,156.57,185.57,114.55,229.22,128.25,225.76,350.51,348.48,218.86,282.45,288.62,299.58,303.60,343.77,153.39,239.82
1984,250.66,320.95,373.54,162.47,430.30,393.15,341.75,170.23,157.05,152.12,240.00,110.57,202.08,447.88,417.39,222.94,313.93,326.45,355.00,336.64,386.83,199.30,276.97
1985,216.07,296.00,189.55,140.47,443.79,423.68,324.23,138.88,129.86,89.71,187.85,96.78,191.35,482.79,459.45,209.44,295.67,303.96,297.70,312.00,333.79,101.00,238.06
1986,234.25,355.47,282.18,162.97,446.24,333.02,217.64,188.70,180.83,131.05,253.86,100.54,208.66,456.97,368.02,209.97,293.46,296.40,321.20,276.03,440.44,162.43,289.42
1987,232.67,303.81,356.31,157.92,384.87,326.79,293.42,164.45,175.17,129.07,245.17,98.47,212.66,378.49,356.49,232.27,292.66,297.13,333.32,298.56,365.00,177.40,256.68
1988,221.93,254.99,258.32,130.96,381.35,406.15,358.56,180.32,141.66,115.88,236.31,94.70,157.38,412.42,429.27,247.21,307.03,329.32,247.64,354.03,328.78,126.81,204.22
1989,208.91,327.45,234.06,156.17,410.26,314.44,298.05,109.82,110.95,119.37,157.25,84.05,188.70,419.75,338.04,187.40,242.34,244.10,266.00,257.28,387.43,133.67,251.55
1990,280.00,369.04,253.06,189.80,507.73,477.40,445.61,195.43,183.10,158.78,247.17,126.15,243.90,563.48,516.77,314.42,359.42,371.86,291.49,387.34,436.68,151.38,294.23
1991,240.97,324.81,248.84,171.90,448.09,423.29,319.18,137.43,171.23,130.52,234.40,122.42,243.32,478.61,451.46,237.84,328.13,337.49,312.81,338.22,355.65,140.75,262.46
1992,218.23,282.20,286.08,161.20,381.71,344.39,248.46,146.44,154.56,146.69,218.55,117.63,203.83,398.32,367.58,200.31,294.62,305.96,264.94,272.99,341.64,167.87,227.22
1993,278.57,405.42,342.33,222.70,479.65,392.33,345.53,157.50,208.95,180.02,273.05,138.42,274.18,500.41,417.68,269.37,357.72,368.62,350.53,353.85,412.54,185.79,335.69
1994,279.26,401.53,307.86,201.78,524.67,436.85,354.88,172.15,208.09,127.89,260.49,157.10,296.17,562.76,482.92,259.92,363.31,363.71,358.22,348.33,453.13,173.38,306.52
1995,212.94,275.90,260.91,165.87,374.46,372.19,249.12,171.34,140.75,135.49,193.97,141.68,195.40,426.36,391.89,186.19,286.05,300.40,233.59,273.34,295.07,148.06,209.56
1996,214.55,260.08,264.86,148.00,345.40,293.50,299.28,168.50,160.83,111.58,183.18,154.81,217.79,350.86,321.99,237.54,237.57,226.51,265.59,262.96,294.39,139.32,227.86
1997,218.33,282.03,247.44,160.77,360.85,332.02,253.44,139.54,183.51,120.54,217.59,142.89,234.74,370.17,358.01,193.10,284.94,286.51,297.98,274.14,339.76,144.96,226.98
1998,267.18,343.35,269.48,196.14,403.39,358.64,446.21,203.55,196.55,151.87,268.72,128.87,261.97,414.27,391.59,345.58,316.00,319.22,267.05,377.48,382.67,142.17,264.27
1999,214.01,326.45,263.35,201.90,380.80,307.80,220.67,133.21,145.06,147.16,203.33,135.87,228.94,398.28,337.08,173.60,256.83,258.76,253.74,249.48,335.29,140.25,231.04
2000,209.47,262.34,310.75,133.51,405.76,409.49,234.44,133.22,134.74,112.57,189.78,105.03,173.17,446.56,430.83,176.09,267.49,270.25,297.31,247.77,387.86,147.92,225.50
2001,195.89,261.25,280.39,126.77,382.87,332.98,215.33,118.54,145.22,110.01,166.72,102.38,184.47,405.20,363.68,151.24,247.18,244.94,264.25,222.57,368.03,140.05,215.35
2002,182.85,201.46,226.10,109.74,325.72,294.82,292.15,144.02,109.44,90.92,186.08,95.35,135.19,360.16,327.48,225.86,225.48,230.09,218.38,277.07,272.27,109.73,159.22
2003,253.75,333.11,296.63,208.80,415.50,349.69,250.21,188.96,196.91,175.41,229.23,156.54,274.03,431.07,383.50,214.27,295.26,287.10,354.56,262.08,416.21,180.21,305.91
2004,171.31,220.04,222.85,125.68,321.23,273.52,193.19,118.44,104.21,99.61,117.71,98.73,164.22,342.92,314.91,167.95,191.17,182.96,228.29,190.95,311.16,111.91,182.77
2005,191.23,279.15,295.70,157.48,356.73,305.28,222.94,81.89,100.58,137.46,134.43,77.24,175.72,357.85,334.99,135.90,224.77,224.00,260.88,220.73,354.09,153.24,231.49
2006,186.31,265.86,229.35,124.50,384.23,345.04,197.62,127.49,110.30,93.86,141.20,97.80,157.66,416.77,366.92,159.86,227.79,229.30,248.80,203.89,377.75,112.47,219.20
2007,188.28,287.75,243.53,165.27,374.55,314.19,178.66,120.67,116.30,138.05,128.70,124.80,200.29,396.17,347.06,138.92,214.27,206.82,218.58,181.44,321.12,130.69,198.48
2008,212.40,262.16,223.33,117.93,423.35,383.02,274.93,170.08,156.50,94.51,208.77,128.40,180.94,453.34,426.64,210.07,293.91,297.74,237.55,291.70,371.94,108.61,195.58
2009,194.16,255.90,226.92,118.78,382.04,355.68,266.07,127.63,113.61,92.45,201.53,75.99,146.81,420.96,388.13,187.76,279.57,291.30,263.83,282.77,346.11,106.81,195.20
2010,215.56,310.80,284.59,166.12,385.00,336.94,266.26,131.76,120.45,135.90,168.72,101.77,187.32,405.21,364.96,178.11,250.40,252.70,315.07,263.08,357.66,149.47,270.06
2011,207.35,312.56,229.17,176.96,383.76,327.00,243.37,134.79,144.44,121.06,210.05,106.31,218.61,400.04,352.69,200.57,272.42,279.28,227.77,252.81,333.26,124.83,227.21
2012,257.23,302.81,340.40,168.85,414.77,396.75,366.80,192.49,191.89,134.28,248.92,147.17,249.81,441.50,426.84,289.70,320.62,316.83,339.51,358.50,352.14,163.43,244.20
2013,262.68,357.25,309.05,165.22,520.41,408.79,401.00,156.44,154.46,127.67,224.05,110.47,218.40,548.74,450.30,263.50,319.30,317.24,345.51,354.87,468.30,157.69,287.99
2014,213.69,306.21,249.82,162.75,393.92,331.35,277.12,139.92,137.48,127.56,198.89,116.04,214.35,414.15,362.15,209.74,262.70,256.90,255.88,282.47,332.26,133.46,212.80
2015,188.36,245.71,257.33,151.74,303.88,287.73,226.37,129.16,136.84,115.37,144.04,129.50,198.16,332.18,309.75,167.33,212.57,205.04,263.91,203.11,278.16,118.91,208.22
2016,260.72,403.84,293.72,232.23,482.94,360.11,262.93,171.11,178.26,166.03,188.32,167.13,302.87,483.40,394.14,214.00,287.65,275.58,342.26,245.22,460.47,154.53,314.04
2017,178.52,225.94,195.23,118.64,337.96,335.88,233.59,108.82,125.27,99.29,163.17,102.42,157.40,367.18,360.18,154.05,238.91,244.61,222.35,239.39,303.94,101.10,177.95
2018,263.32,353.68,206.41,200.40,472.23,393.60,336.11,204.68,221.47,146.28,255.80,181.96,286.79,492.13,429.26,247.43,336.03,328.49,269.44,340.46,416.57,122.41,267.94
2019,219.99,290.15,327.54,148.95,392.11,325.67,267.54,160.42,142.24,107.72,188.60,121.37,196.82,403.27,358.86,205.85,256.24,248.85,336.76,255.70,381.65,149.11,235.82
2020,257.82,363.67,331.40,158.65,460.81,426.32,337.10,203.20,146.68,124.42,262.98,95.09,185.56,475.30,458.32,271.82,322.81,343.39,364.21,382.43,435.44,170.52,290.88
