Variable:,pr
,"Costa Rica",Alajuela,Cartago,Guanacaste,Heredia,Limon,Puntarenas,"San Jose"
1928,2586.27,2750.04,3560.03,1716.98,3586.60,3161.07,2389.55,2261.96
1929,1915.14,2005.48,2591.39,1376.68,2509.18,2213.46,1829.67,1719.53
1930,1683.45,1675.00,2312.75,1159.69,2128.97,1983.17,1674.29,1555.21
1931,2483.06,2586.07,3356.85,1773.37,3243.99,2878.94,2378.27,2261.69
1932,2787.38,2916.27,3818.67,1878.74,3758.89,3349.99,2632.33,2506.47
1933,3305.92,3530.28,4447.38,2324.24,4352.26,3764.54,3153.54,3060.64
1934,2977.83,3060.68,4117.49,1987.68,3897.55,3512.67,2895.80,2762.78
1935,3334.20,3512.42,4588.81,2191.28,4534.22,4033.05,3137.20,3003.34
1936,2870.21,2918.09,3872.67,2008.79,3646.25,3296.65,2846.46,2695.57
1937,3765.12,4037.78,5079.37,2562.83,5203.54,4588.85,3450.77,3267.62
1938,3616.63,3652.78,5110.77,2465.03,4626.94,4288.11,3498.17,3379.64
1939,2748.15,2811.97,3885.80,1780.01,3703.09,3343.30,2631.62,2489.69
1940,2332.59,2413.84,3073.95,1695.49,2874.68,2563.44,2350.38,2193.34
1941,2793.40,3197.37,3415.65,1991.11,3912.24,3357.37,2499.81,2318.76
1942,3483.77,3661.70,4619.31,2321.88,4273.78,3864.63,3539.91,3387.70
1943,3317.45,3643.53,4389.75,2363.38,4510.43,4038.06,2927.76,2903.20
1944,3559.85,3481.36,5823.94,2245.27,4999.35,4892.03,2982.57,3120.83
1945,2909.13,2772.87,4684.59,1843.85,3833.90,3749.12,2642.38,2803.30
1946,2693.31,2564.90,4400.29,1681.34,3603.67,3731.34,2351.11,2377.03
1947,2920.54,3107.49,3822.78,1994.96,3722.51,3298.57,2856.62,2827.35
1948,2845.60,3259.38,3693.45,2063.63,3867.14,3280.47,2571.86,2414.27
1949,3428.91,3392.03,5006.50,2250.53,4686.99,4537.11,3052.43,3069.37
1950,3340.59,3697.58,4296.84,2440.62,4532.03,3914.97,3058.96,2831.70
1951,2970.73,3035.60,4254.57,1949.12,3875.23,3649.68,2851.46,2647.21
1952,3036.69,3146.69,4259.92,2165.99,3944.51,3520.91,2862.76,2842.39
1953,3025.95,3406.37,3773.46,2065.42,4190.55,3505.34,2848.02,2625.71
1954,3495.40,3767.85,4571.67,2743.94,4445.29,3964.54,3236.33,3079.97
1955,3409.22,3833.99,3948.59,2741.08,4263.86,3386.59,3416.28,3103.93
1956,3518.03,3773.83,4738.10,2381.71,4827.65,4139.43,3289.53,3193.47
1957,2746.21,2644.50,4077.69,1765.80,3694.88,3653.99,2512.72,2469.16
1958,2573.82,2841.39,2991.52,1829.80,3538.61,2899.25,2509.31,2277.64
1959,2415.01,2350.11,3292.49,1628.58,3122.23,2850.04,2424.70,2318.66
1960,3189.48,3634.44,3923.59,2404.67,4427.20,3509.59,2984.17,2643.64
1961,2915.15,3212.61,3750.38,2054.80,4130.02,3309.03,2783.26,2474.48
1962,3214.60,3276.60,4602.54,1978.49,4524.95,4105.23,2940.05,2990.62
1963,3089.15,3446.55,4352.71,2013.65,4528.96,3813.24,2687.26,2640.58
1964,2893.47,3201.47,3609.90,2205.81,3805.62,3028.94,2816.79,2652.86
1965,2838.12,2911.84,4230.33,1608.74,4203.17,3893.06,2511.65,2397.51
1966,3522.35,3920.55,4768.01,2395.51,5174.03,4435.67,3014.09,2914.16
1967,3108.42,3410.95,4301.04,2067.68,4154.34,3823.09,2859.28,2568.47
1968,3318.15,3569.04,4543.50,2240.92,4590.39,4135.41,3015.63,2774.07
1969,3422.28,3658.47,4336.64,2447.70,4901.43,4082.83,3155.45,2961.19
1970,4079.34,4104.53,6204.13,2293.27,5713.82,5552.79,3694.29,3593.76
1971,3216.93,3276.61,3949.67,2353.44,3954.65,3499.86,3369.47,3012.40
1972,3142.09,3413.88,4691.98,1790.74,4810.87,4119.73,2774.54,2548.45
1973,3445.96,3284.27,4783.65,2431.98,3953.47,3823.44,3633.17,3442.25
1974,3258.39,3317.73,4375.72,2233.82,4142.49,3772.74,3208.45,3105.98
1975,3411.87,3238.26,5002.71,2266.85,4170.15,4017.95,3503.08,3220.51
1976,2827.71,2908.10,4322.18,1667.93,3934.40,3790.12,2487.64,2511.98
1977,2573.56,2672.09,3542.15,1698.45,3380.66,3185.54,2402.22,2376.01
1978,2902.53,3033.02,3629.87,2070.38,3656.57,3265.85,2925.74,2658.72
1979,3223.07,3351.44,3799.54,2348.09,4038.15,3482.97,3328.41,3125.24
1980,3238.95,3625.55,4095.17,2219.27,4445.64,3714.32,3063.39,2867.97
1981,3522.43,3580.01,4827.50,2488.86,4690.57,4269.07,3285.68,3191.61
1982,2808.61,2941.42,3892.13,1853.76,3779.82,3353.66,2683.11,2543.92
1983,2881.37,3069.22,3937.56,1916.26,3793.53,3292.14,2857.10,2580.66
1984,3145.63,2992.26,4872.41,2027.02,3903.16,3792.02,3111.04,3031.84
1985,2558.59,2487.34,3555.88,1600.99,2994.84,2756.50,2743.86,2820.96
1986,2667.79,2652.59,3755.07,1795.68,3160.12,3250.46,2608.29,2522.29
1987,2927.97,2799.20,4274.84,1734.08,3922.96,3817.91,2857.22,2699.17
1988,3406.01,3423.98,4550.58,2296.47,4568.03,4101.01,3303.46,3195.20
1989,2902.46,2846.04,4537.78,1782.33,3784.19,3403.44,2853.14,2874.73
1990,3013.37,2758.25,4680.28,1766.08,3952.86,3939.40,2931.66,2910.04
1991,2881.29,2758.82,4123.79,1857.45,3587.22,3668.91,2857.30,2595.44
1992,2598.40,2434.39,3865.54,1592.93,3250.60,3152.10,2627.07,2640.03
1993,3183.16,3299.57,4298.64,2054.85,4563.77,4058.69,2908.36,2801.22
1994,2599.21,2520.10,3654.34,1718.71,3282.83,3072.37,2640.62,2465.27
1995,3378.06,3430.39,4497.19,2335.50,4320.67,3930.43,3338.63,3190.11
1996,3514.40,3753.95,4782.34,2390.07,4793.80,4213.27,3253.27,3154.13
1997,3040.32,3059.82,4281.02,1925.46,4028.60,3708.13,2983.16,2775.47
1998,3239.84,3437.53,4447.50,2167.77,4463.67,3966.77,2993.68,2830.94
1999,3050.51,3097.23,4282.49,1963.58,4131.09,3817.39,2886.95,2732.78
2000,2746.58,2757.11,3906.37,1797.00,3592.40,3296.66,2672.21,2572.97
2001,2804.35,2898.46,4050.24,1695.78,3904.20,3531.44,2625.99,2514.42
2002,3206.20,3420.19,4641.24,1950.41,4526.78,4013.94,2940.41,2810.70
2003,3401.03,3433.64,4760.26,2204.19,4529.02,4173.52,3282.59,3094.31
2004,3268.05,3238.79,4603.96,2085.08,4327.39,4014.17,3196.29,3041.06
2005,3157.55,3281.45,4480.51,1999.19,4366.43,3941.59,2944.44,2792.03
2006,3019.97,3304.17,4257.57,1893.18,4418.63,3872.90,2650.06,2512.82
2007,3208.98,3221.12,4347.01,2221.84,4077.59,3740.77,3192.43,3001.74
2008,3716.95,3871.47,5097.84,2455.26,5058.50,4541.25,3503.29,3328.60
2009,2837.53,2859.64,4113.10,1764.60,3774.56,3468.31,2758.91,2616.25
2010,3662.29,3867.28,5185.49,2242.31,5222.94,4710.54,3339.67,3133.81
2011,3100.39,3220.94,4320.82,2000.54,4277.64,3855.05,2903.43,2729.14
2012,2258.50,2281.39,3107.51,1490.10,3015.63,2753.12,2177.46,2066.90
2013,2486.36,2519.56,3420.52,1698.52,3225.15,2931.63,2439.97,2276.97
2014,2948.97,2955.36,4205.75,1875.56,3862.88,3545.18,2897.00,2777.18
2015,2811.38,2996.17,3919.27,1935.71,3718.18,3280.28,2663.10,2496.46
2016,2691.01,2853.45,3652.01,1912.31,3543.14,3111.95,2560.90,2398.82
2017,2848.56,2935.77,3863.07,1936.47,3908.44,3541.70,2637.17,2524.13
2018,3455.53,3628.90,4922.32,2241.99,4613.58,4107.38,3293.75,3152.79
2019,3364.50,3399.17,4682.62,2258.98,4162.17,3793.24,3438.07,3218.72
2020,3341.05,3366.38,4575.05,2231.33,4358.03,3957.68,3288.20,3131.82
