Variable:,pr
,Malaysia,Johor,Kedah,Kelantan,"Kuala Lumpur",Melaka,"Negeri Sembilan",Pahang,Perak,Perlis,"Pulau Pinang",Sabah,Sarawak,Selangor,Terengganu,Labuan
1913,3229.70,3195.99,2833.57,3525.68,2615.00,2373.37,2286.32,3177.58,3398.43,2525.76,3095.80,2605.90,3666.21,2704.27,3257.21,2411.50
1914,2760.41,2521.22,2831.83,3432.01,2609.30,1982.65,2193.39,3088.61,3435.37,2546.51,3024.84,1796.77,3055.06,2750.87,3156.61,1708.20
1915,2982.60,2609.29,2984.90,3178.81,2483.60,2193.46,2173.13,2852.22,3157.88,2778.25,3016.16,2401.53,3433.08,2595.69,2904.96,2337.70
1916,3165.91,2393.50,2624.98,2773.74,2281.00,2016.11,1973.13,2497.85,2735.30,2556.39,2621.39,3177.80,3825.82,2303.64,2534.96,2588.90
1917,3444.30,2936.16,2546.34,3257.63,2865.80,2387.69,2460.19,3260.53,3133.89,2248.31,2658.56,2840.60,4194.91,2910.96,3232.37,2696.00
1918,3324.90,2644.86,2541.70,3396.82,2472.50,2108.61,2143.58,3021.19,3173.43,2175.86,2612.39,3337.28,3726.17,2542.21,3217.87,2653.30
1919,2802.21,2518.53,2509.49,2961.96,2402.00,2022.12,2061.05,2785.81,2903.10,2258.53,2565.06,2325.98,3173.31,2479.30,2810.45,2244.50
1920,2838.12,2231.78,2445.51,2664.44,1937.50,1765.49,1685.15,2268.05,2639.88,2159.75,2458.86,2752.90,3398.91,2020.16,2381.40,2363.90
1921,3158.31,2690.72,2568.67,2724.81,2273.70,2077.04,1983.25,2652.77,2839.18,2402.65,2709.37,3151.51,3721.60,2334.90,2566.25,2624.50
1922,3222.84,2628.02,3070.28,3541.87,2543.00,2163.13,2194.52,3032.74,3242.24,2660.10,3004.25,3300.08,3378.95,2611.67,3343.69,2618.40
1923,3057.37,2371.11,2558.33,2990.74,2348.40,1835.08,2002.61,2670.30,2925.30,2126.16,2661.98,3130.90,3437.59,2374.33,2785.32,2479.90
1924,3461.01,2696.04,2834.99,3299.97,2545.60,2156.69,2176.32,2983.40,3311.35,2478.81,2999.88,3261.11,4093.18,2639.42,3087.54,2886.50
1925,3668.21,3233.98,2803.22,3532.86,3072.10,2539.07,2658.06,3603.17,3594.07,2311.96,3090.82,3119.74,4302.58,3103.22,3428.30,2736.40
1926,3136.63,2502.75,2724.60,3523.17,2496.30,2067.10,2140.57,3046.08,3009.65,2344.01,2640.28,2810.50,3514.31,2612.33,3465.23,2502.40
1927,3348.81,2826.95,2603.86,3055.79,2632.50,2228.77,2295.16,3100.36,3046.04,2357.84,2732.71,3096.87,3932.04,2681.21,3021.73,2915.40
1928,3159.90,2678.47,2338.56,2737.30,2339.40,2054.68,2046.62,2692.17,2661.13,2106.88,2439.54,3311.70,3646.02,2385.22,2728.82,2831.60
1929,3060.74,2254.81,2128.88,2604.55,2412.80,1966.79,2029.26,2677.59,2656.21,1801.41,2292.45,2913.08,3734.71,2455.26,2551.69,2672.10
1930,2851.94,2361.57,2460.07,2940.04,2157.70,1937.38,1942.90,2624.43,2804.59,2114.98,2547.15,2501.13,3320.79,2233.77,2810.54,2307.10
1931,3137.53,2836.67,2365.29,3065.95,2626.50,2235.77,2342.34,3172.01,2872.32,2207.30,2512.94,2674.08,3622.73,2659.01,3268.24,2506.30
1932,3449.87,2406.74,2536.38,2796.97,2662.60,2186.25,2213.48,2976.13,3051.67,2375.78,2569.83,3491.72,4140.68,2731.89,2627.49,3295.50
1933,3377.89,2710.06,2451.45,2995.46,2711.50,2330.95,2369.42,3082.02,2864.63,2239.08,2422.85,2985.02,4138.24,2739.52,3022.48,2984.40
1934,3548.47,2817.57,2927.64,3095.77,2874.60,2325.42,2426.39,3165.67,3290.19,2608.84,3089.75,3524.28,4108.14,2883.86,2915.80,3174.30
1935,3310.24,2466.24,2729.73,3178.39,2578.80,2172.54,2265.40,3041.50,3081.04,2436.83,2793.60,2811.09,4031.83,2656.42,3116.22,2684.00
1936,3415.18,2589.54,2600.93,3503.38,2720.80,2218.53,2304.77,3213.46,3093.27,2198.49,2726.29,3079.37,3992.24,2746.16,3644.03,2704.10
1937,3343.95,2634.32,2607.45,3117.19,2587.10,2216.45,2271.38,2952.70,2959.68,2342.69,2541.92,2918.90,4098.73,2638.33,3094.23,2779.80
1938,3224.12,2444.98,2455.29,2667.66,2147.60,1832.22,1879.39,2556.91,2592.44,2415.72,2389.57,3259.61,3963.13,2210.63,2622.54,2951.20
1939,3113.96,2600.01,2605.98,2718.47,2295.80,1996.34,1975.77,2668.10,2774.90,2313.71,2687.40,3029.68,3679.56,2364.34,2655.08,2709.00
1940,2799.33,2083.30,2220.84,2723.23,2178.10,1772.76,1798.64,2501.66,2719.89,1882.15,2318.74,2599.35,3305.45,2326.96,2500.23,2241.50
1941,2927.33,2506.20,2530.70,3136.21,2584.40,2019.45,2136.09,2928.19,3059.96,2216.71,2647.90,2574.05,3243.42,2671.82,2992.31,2177.30
1942,3204.65,3066.44,2807.81,3383.68,2806.60,2282.73,2445.72,3329.50,3257.06,2523.32,2804.25,2750.70,3516.06,2858.77,3266.00,2522.60
1943,2893.95,2126.78,2401.15,2610.54,2105.80,1749.75,1795.95,2396.71,2683.48,2236.67,2423.74,2596.17,3603.68,2170.39,2416.02,2278.90
1944,2845.18,2160.66,2484.12,2822.46,2364.50,1924.66,1947.53,2651.33,2865.59,2273.83,2547.64,2589.15,3273.88,2476.88,2699.38,2266.00
1945,3391.00,2653.98,2972.87,3517.77,2648.00,2211.29,2273.14,3139.99,3396.17,2664.44,2991.87,3002.73,3926.19,2742.77,3313.67,2926.30
1946,3029.14,2677.49,2962.92,3930.14,2392.60,2001.75,2060.19,3056.28,3162.58,2693.29,2830.74,2521.02,3254.37,2466.26,3870.12,2078.90
1947,3285.20,2805.17,2820.98,3191.18,2687.70,2217.55,2345.43,3115.31,3224.39,2455.30,2952.09,2840.43,3842.44,2762.06,3022.43,2656.70
1948,2934.29,2860.04,2163.79,2464.07,2323.30,2004.23,2055.02,2655.26,2547.21,1930.23,2141.67,2759.47,3460.26,2295.40,2489.36,2338.80
1949,3335.18,2571.75,2843.53,3207.79,2710.70,2245.34,2293.90,3068.53,3305.18,2693.92,3071.37,2982.88,3924.43,2771.08,2965.63,2846.10
1950,3058.02,2735.22,2518.16,2773.53,2562.20,2165.25,2276.89,2959.86,2781.84,2423.10,2586.21,2737.48,3553.05,2577.58,2834.80,2369.30
1951,3115.48,2665.41,2694.24,2960.15,2846.70,2280.67,2389.00,3212.43,3134.64,2559.14,2804.24,2674.46,3532.02,2887.12,3002.16,2400.90
1952,3230.92,2940.69,2476.06,2702.66,2469.50,2165.69,2211.59,2864.77,2806.69,2250.64,2541.72,3111.00,3813.71,2550.67,2674.66,2777.20
1953,3102.60,2318.08,2735.04,3029.91,2503.70,2037.30,2139.16,3001.88,3192.24,2568.80,2896.57,2747.56,3587.55,2606.66,2916.67,2475.70
1954,3396.35,3042.61,2421.86,3000.22,2380.30,2140.51,2164.06,3040.58,2974.93,2250.19,2523.65,3154.82,4065.20,2484.50,3042.21,2926.30
1955,3180.99,2495.90,2269.43,2522.54,2365.30,1981.90,2008.20,2616.89,2718.98,2087.26,2404.38,3136.32,3919.31,2434.96,2295.83,2843.20
1956,3327.98,2792.19,2614.31,3224.88,2487.50,2164.30,2168.13,2964.37,2954.14,2358.95,2609.45,3214.68,3861.56,2512.94,3106.86,2873.00
1957,2924.60,2418.43,2316.09,2927.62,2376.50,2044.29,2048.49,2798.86,2830.85,2137.96,2413.73,2598.84,3384.38,2454.86,2827.07,2328.30
1958,2771.78,2166.16,2245.79,2533.81,2140.70,1814.83,1902.39,2390.93,2601.69,2034.26,2374.66,2471.28,3384.32,2195.26,2325.66,2363.30
1959,3166.11,2775.95,2582.10,3201.68,2730.30,2351.06,2333.38,3017.16,3037.39,2290.43,2552.77,2759.89,3641.27,2725.74,3202.48,2621.70
1960,3021.25,2275.56,2385.79,2835.53,2515.50,2114.16,2214.14,2829.98,2880.54,2137.96,2489.92,2829.71,3511.55,2585.98,2683.56,2449.20
1961,2854.42,2264.39,2430.12,2935.59,2564.40,2091.31,2166.11,2756.74,2869.32,2157.61,2501.14,2450.59,3290.87,2630.93,2817.88,2150.30
1962,3210.05,2447.21,2293.35,2706.78,2457.30,1990.33,2056.27,2804.23,2820.48,2128.52,2365.92,3126.99,3872.31,2594.94,2580.22,2704.80
1963,2891.43,2001.99,2218.66,2513.67,2112.60,1766.45,1792.93,2329.54,2691.73,2032.80,2331.06,2846.53,3535.74,2252.66,2178.37,2326.00
1964,2932.99,2919.79,2335.88,2586.60,2496.00,2239.20,2217.94,2729.15,2720.65,2154.78,2499.07,2505.11,3492.12,2556.40,2460.72,2186.80
1965,3067.74,2211.33,2614.58,3338.99,2548.30,2258.78,2268.82,2838.05,2762.96,2408.92,2488.46,2710.51,3558.42,2561.68,3471.59,2517.20
1966,3373.45,2740.33,3021.40,3749.29,3017.20,2381.58,2587.21,3527.14,3207.71,2709.12,2747.12,2635.97,3871.86,3000.91,3964.43,2712.20
1967,3102.59,3187.76,2256.83,2710.38,2637.80,2284.27,2331.99,3171.33,2753.77,2107.31,2428.56,2572.52,3655.34,2614.95,2924.62,2420.70
1968,2888.23,2310.09,2252.42,2754.17,2450.30,2075.40,2089.60,2723.45,2632.97,2008.68,2297.31,2554.24,3416.32,2466.45,2806.77,2211.70
1969,3046.04,2543.47,2655.82,2932.54,2514.50,2156.19,2205.14,2771.80,3018.94,2345.23,2679.31,2547.55,3670.05,2582.14,2586.82,2423.00
1970,3145.23,2577.77,2641.60,2997.56,2481.40,2274.87,2216.24,3017.66,2974.92,2430.95,2852.66,2899.70,3619.54,2471.24,2957.14,2357.60
1971,3103.63,2253.78,2402.32,2573.58,2409.80,2046.17,2165.43,3071.78,2607.55,2133.47,2481.47,2793.65,3755.81,2398.15,2910.32,2438.20
1972,2566.95,2019.74,2283.48,2491.21,2098.20,1750.92,1783.76,2538.59,2606.54,2034.08,2400.77,2268.85,2939.78,2162.17,2493.43,1903.90
1973,3291.34,2787.01,3022.14,3845.75,2675.60,2235.72,2266.67,3013.99,3245.07,2592.41,2797.92,2721.94,3794.76,2732.27,3673.41,2722.30
1974,2906.70,1989.36,2226.17,2635.91,1930.60,1673.49,1656.43,2364.10,2445.84,2014.98,2245.84,2736.70,3624.37,2057.96,2644.27,2550.80
1975,3154.03,2171.84,2628.08,3248.95,2201.00,1854.33,1979.28,2965.06,2928.41,2396.89,2665.35,2866.35,3684.10,2348.39,3498.66,2518.90
1976,2733.50,2243.35,2143.43,2575.26,2045.80,1852.74,1781.71,2353.20,2483.46,1970.79,2228.10,2452.13,3317.51,2154.60,2462.09,2187.30
1977,2940.53,1944.50,2042.32,2471.57,2032.90,1669.08,1692.37,2236.25,2516.37,1764.12,2223.13,2837.50,3771.60,2155.50,2145.69,2413.70
1978,2669.08,2681.03,2046.68,2123.13,2010.50,1692.24,1727.47,2313.04,2383.73,1872.38,2230.87,2444.62,3238.65,2095.59,2052.77,1844.50
1979,2923.14,2202.62,2179.77,2527.34,2246.70,2000.58,1907.52,2364.11,2539.22,1908.19,2146.67,2806.68,3601.53,2286.61,2297.68,2727.80
1980,3182.47,2554.67,2533.49,2986.45,2328.30,1963.24,1965.95,2733.08,2909.95,2329.35,2687.65,3094.45,3734.24,2446.04,2905.14,2669.40
1981,3026.10,1919.02,2021.11,2576.87,2195.30,1790.21,1872.49,2316.97,2393.36,1776.32,2003.47,2904.81,3888.08,2241.58,2531.48,2537.40
1982,2660.76,2304.11,2278.44,2557.66,2203.50,1911.60,1877.81,2480.14,2746.72,2160.76,2410.81,2185.35,3173.19,2356.43,2315.84,2031.00
1983,2819.98,2130.78,2215.80,2424.20,1790.50,1625.43,1551.76,2223.42,2324.31,2076.42,2224.75,2343.56,3736.98,1908.00,2411.75,2364.00
1984,3458.80,3041.47,2290.19,2944.68,2758.10,2280.32,2400.49,3157.67,2923.63,2069.33,2374.75,3329.34,4097.62,2791.78,2941.66,3037.60
1985,2962.94,2413.67,2358.12,2755.38,2317.70,1934.00,2006.04,2677.20,2606.50,2143.29,2339.89,2694.05,3549.37,2327.46,2705.41,2268.10
1986,2896.63,2348.84,2094.44,2372.08,1998.10,1741.00,1715.43,2268.66,2303.95,1933.57,2160.67,2519.56,3791.47,2055.76,2406.64,2462.80
1987,2772.33,2563.71,2281.18,2631.81,2310.30,2133.08,2031.68,2730.55,2823.34,1990.49,2558.42,2457.30,3148.76,2400.82,2473.59,2150.70
1988,3454.40,2563.61,2427.93,2969.81,2674.20,2286.06,2264.22,2927.30,2975.77,2203.95,2578.47,3218.88,4264.71,2810.27,2972.27,3031.50
1989,2824.93,2390.05,2077.80,2161.19,2254.60,1901.31,1926.98,2422.75,2491.69,1933.60,2240.75,2674.78,3464.63,2337.61,2046.68,2252.00
1990,2533.90,2044.51,2032.61,2236.12,1998.20,1689.80,1737.02,2333.70,2386.95,1816.18,2186.98,2259.52,3040.61,2101.45,2196.38,1997.80
1991,2784.87,2603.70,2250.50,2605.64,2433.10,1978.57,2120.90,2798.44,2658.12,2171.49,2378.35,2453.79,3162.91,2519.33,2666.39,2092.20
1992,2590.17,2494.40,1779.08,2163.11,2338.60,1887.96,1994.06,2510.87,2280.76,1638.77,1960.18,2281.12,3074.31,2353.00,2227.41,2053.40
1993,2946.72,2680.79,2558.73,3083.54,2609.60,2244.30,2257.49,2992.43,3062.68,2330.75,2628.56,2515.82,3282.99,2734.71,2898.04,2100.10
1994,3099.67,2470.46,2170.00,2793.03,2457.00,2042.09,2083.15,2838.08,2638.13,2037.80,2195.27,2817.75,3759.02,2482.36,2918.40,2232.50
1995,3354.57,2948.12,2566.22,3217.86,2841.00,2297.53,2370.21,3198.93,3199.85,2220.52,2787.17,2817.89,3996.65,2911.59,3135.98,2614.30
1996,3314.84,2608.90,2595.56,3145.47,2758.90,2173.36,2213.81,3002.83,3104.09,2350.88,2621.14,3113.28,3887.40,2822.57,2924.53,2658.50
1997,2610.94,1849.11,2121.17,2473.55,2423.40,1717.08,1858.05,2412.02,2570.85,1939.23,2134.88,2325.22,3109.82,2501.40,2217.37,2091.50
1998,2807.09,2270.35,2494.20,2605.99,2153.40,1777.08,1837.73,2492.23,2728.97,2274.53,2617.45,2424.48,3389.79,2277.94,2502.29,2306.10
1999,3553.77,2502.62,3025.21,3636.53,2796.40,2142.27,2234.62,3148.37,3345.94,2752.46,2881.15,3411.53,4118.34,2886.94,3406.35,2930.40
2000,3404.24,2771.13,2721.00,3330.22,2958.60,2276.35,2424.52,3238.58,3159.13,2387.79,2620.01,3113.11,3925.28,2997.27,3242.79,2820.90
2001,3086.91,2697.49,2212.68,2688.14,2497.80,2071.91,2141.70,2796.00,2675.43,1994.73,2266.17,2918.00,3654.19,2543.81,2711.70,2566.00
2002,2769.93,2161.34,2088.35,2540.70,2321.00,1884.54,1964.53,2572.83,2637.89,1806.65,2276.63,2275.00,3426.57,2398.52,2418.62,2103.30
2003,3250.40,2766.33,2497.15,3096.14,2781.00,2238.41,2317.08,3224.69,3049.07,2182.61,2749.36,2633.96,3908.70,2833.43,3123.67,2368.30
2004,2907.98,2465.97,1963.19,2335.10,2279.90,2043.58,2018.23,2486.58,2361.79,1783.45,2108.52,2375.53,3807.23,2309.39,2355.14,2087.00
2005,2946.93,2283.22,2350.47,2814.94,2264.00,1989.94,1967.18,2545.70,2682.24,2052.37,2427.59,2942.57,3403.63,2339.11,2619.88,2734.30
2006,3240.83,2809.29,2431.91,2859.78,2607.70,2134.70,2273.91,3005.34,2965.69,2153.32,2588.52,3291.74,3647.60,2694.50,2768.52,2843.70
2007,3378.51,2909.35,2389.22,2705.85,2543.00,2255.03,2278.13,2911.26,2742.14,2245.76,2471.89,3091.18,4214.57,2580.08,2728.14,2754.20
2008,3720.94,2892.60,2723.24,3272.07,2757.30,2412.83,2416.61,3200.31,3200.73,2369.80,2795.52,3420.93,4588.51,2827.35,3214.60,3129.50
2009,3497.76,2570.18,2757.59,3370.81,2672.70,2163.63,2239.23,3136.22,3370.60,2384.89,2925.04,3074.39,4239.58,2832.57,3240.33,2590.60
2010,3281.77,2614.61,2368.74,2753.99,2399.00,2269.08,2155.78,2708.94,2662.90,2181.26,2424.97,3027.57,4118.50,2458.72,2674.21,3071.90
2011,3540.22,2869.58,2761.89,3259.67,2739.00,2246.58,2351.17,3213.87,3196.23,2462.43,2862.99,3702.75,3948.38,2824.08,3235.47,2968.00
2012,3343.60,2718.86,2803.95,3323.59,2667.70,2142.50,2255.88,3186.72,3250.88,2507.96,2852.21,3163.17,3762.70,2733.54,3298.07,2585.00
2013,3222.10,2822.69,2592.36,2984.01,2537.60,2219.84,2265.01,2993.85,3010.43,2297.87,2719.32,3059.28,3683.80,2612.95,2937.20,2685.10
2014,2936.18,2243.99,2199.40,2648.42,2161.30,1876.29,1884.47,2554.98,2498.96,2041.54,2246.26,2888.15,3489.35,2238.93,2644.77,2471.70
2015,2783.16,2126.14,2285.23,2601.81,2280.10,1837.96,1898.09,2510.33,2607.71,2152.74,2318.17,2243.95,3488.62,2344.36,2422.49,2085.50
2016,2963.33,2504.16,2237.80,2649.31,2245.00,2027.08,2021.74,2658.87,2543.44,2116.49,2306.92,2514.58,3689.34,2337.34,2666.88,2042.90
2017,3418.04,2510.71,2440.75,2714.51,2235.00,2037.25,1997.64,2594.30,2637.10,2358.71,2409.92,3536.01,4265.16,2317.01,2643.47,3072.40
2018,3354.01,2577.05,2451.60,3057.03,2614.20,2126.25,2228.28,3037.80,2979.16,2154.67,2595.67,3048.51,4057.82,2693.03,3067.66,2640.20
2019,2717.01,1991.46,1986.33,2293.79,2069.30,1696.89,1778.10,2351.69,2326.24,1840.99,2102.27,2658.11,3284.23,2155.81,2273.11,2339.30
2020,3239.07,2489.95,2533.73,2866.66,2351.70,2146.58,2096.95,2733.72,2773.68,2335.61,2543.01,2994.60,3989.95,2421.27,2763.39,2917.60
