Variable:,pr
,Syria,Al_Qunaytirah,Aleppo,As_Suweida,City_Damascus,Damascus,Dara,Dayr_Az_Zor,Hama,Hassakeh,Homs,Idleb,Lattakia,Raqqa,Tartous
1923,284.87,511.25,387.07,159.65,504.66,233.82,281.72,188.69,376.20,398.71,197.13,583.61,758.39,276.88,621.83
1924,312.37,660.34,405.28,200.59,629.33,290.59,364.76,189.21,441.18,397.70,220.35,658.73,908.08,279.84,769.34
1925,246.47,379.55,337.18,127.70,387.16,182.36,207.27,186.79,284.83,398.03,161.61,444.54,567.85,262.45,449.33
1926,309.67,619.24,407.44,184.30,578.52,263.93,338.95,191.58,447.66,397.25,223.12,645.45,872.73,289.60,728.45
1927,275.04,563.73,325.42,183.74,540.66,255.24,316.41,189.14,339.49,398.79,201.41,476.24,618.51,264.15,548.80
1928,279.79,545.33,378.53,157.24,495.36,224.12,298.02,190.40,370.83,405.08,185.37,550.99,737.78,276.17,616.63
1929,253.35,612.93,327.74,189.63,575.82,262.86,339.49,132.80,359.76,293.55,188.93,531.07,695.89,221.13,620.79
1930,225.01,453.37,319.50,130.93,424.68,194.52,240.61,138.79,298.50,306.93,150.75,473.42,622.82,217.24,487.40
1931,285.15,606.53,387.11,176.77,540.40,244.23,327.89,180.70,396.67,374.93,199.46,584.88,744.66,267.19,642.08
1932,196.30,335.16,243.00,99.66,352.71,160.17,182.74,143.92,258.61,280.11,146.91,379.20,471.03,186.17,395.77
1933,208.12,303.80,308.20,96.81,316.51,145.79,169.93,139.18,266.17,334.85,131.89,425.19,520.99,221.15,389.62
1934,266.58,568.26,362.56,155.70,541.62,230.17,303.38,169.81,359.23,366.32,182.13,532.13,667.11,262.92,556.75
1935,344.23,615.89,492.89,191.55,601.83,286.44,340.23,210.29,469.83,454.86,242.24,720.50,949.36,332.82,774.24
1936,265.98,619.20,360.60,186.94,537.32,251.21,338.74,149.86,350.66,364.07,181.28,546.04,714.42,240.52,592.32
1937,233.76,475.09,285.27,153.13,443.28,210.12,262.05,154.39,286.93,350.75,169.57,430.56,559.73,212.57,477.77
1938,323.85,851.16,405.11,266.84,727.10,342.45,475.63,184.77,440.10,405.26,230.78,632.24,813.05,276.23,723.16
1939,297.42,621.30,368.29,197.53,587.26,272.62,350.05,206.23,365.70,419.17,216.47,525.29,677.15,282.34,589.06
1940,335.29,691.63,481.47,208.09,663.71,303.36,379.04,194.01,456.50,425.75,234.47,699.77,915.68,316.86,754.19
1941,261.74,593.45,332.99,170.40,521.60,231.58,321.77,169.99,355.75,390.35,175.34,471.94,640.78,243.28,571.58
1942,320.54,631.00,433.97,196.52,631.83,283.01,358.62,196.53,422.07,461.09,218.81,632.89,847.11,303.48,695.99
1943,297.54,663.84,346.99,207.94,608.38,277.58,376.81,223.91,337.01,431.21,213.24,481.20,635.14,290.85,582.46
1944,348.81,935.00,391.41,269.27,890.89,400.93,509.93,209.11,431.17,467.54,258.86,597.32,802.69,303.09,740.13
1945,259.38,607.53,315.63,184.96,575.56,259.25,337.70,165.98,340.48,328.40,193.75,480.09,660.20,231.17,578.54
1946,272.49,419.92,383.42,135.67,390.24,187.17,234.21,193.34,345.21,426.78,178.37,552.06,681.77,283.87,540.43
1947,238.54,418.35,339.14,129.94,419.85,194.43,228.89,140.53,352.74,323.45,161.55,536.27,737.25,214.07,594.58
1948,339.57,668.04,423.39,213.92,652.89,302.92,375.40,234.01,457.83,444.44,256.07,597.68,771.59,327.74,745.26
1949,291.77,803.50,318.89,250.02,725.83,325.00,447.09,193.99,352.07,404.43,207.25,465.66,645.15,256.21,616.13
1950,301.15,496.03,393.44,165.28,533.11,250.57,286.78,206.18,407.05,428.81,211.67,597.02,775.28,289.96,647.62
1951,301.00,574.99,396.61,168.07,529.08,248.25,312.40,204.69,399.71,421.95,211.38,590.81,765.55,294.31,636.23
1952,281.35,478.33,373.87,140.72,492.78,223.83,263.42,194.59,360.46,423.93,193.88,544.61,715.41,278.42,582.35
1953,384.55,842.59,474.16,272.99,793.05,357.94,481.84,251.70,493.36,538.91,273.94,700.20,927.82,357.40,813.74
1954,382.63,665.68,495.08,198.91,665.68,301.90,365.04,279.80,464.58,598.38,263.03,680.49,886.54,392.88,711.59
1955,235.15,468.33,320.20,146.59,430.97,202.12,258.32,151.84,299.03,347.73,156.63,454.13,597.47,226.37,484.30
1956,251.40,440.99,340.61,137.37,446.97,204.57,242.72,165.49,347.75,340.91,178.32,511.74,671.68,245.20,556.58
1957,302.74,592.14,349.81,203.28,486.44,231.76,340.59,246.64,341.24,492.86,200.61,503.39,637.49,323.79,535.16
1958,189.46,303.25,286.61,87.77,302.74,130.50,161.64,120.74,267.01,303.56,108.71,436.29,578.34,184.04,425.22
1959,207.03,423.27,271.21,135.18,397.11,181.34,242.02,129.92,274.61,296.40,142.63,416.64,551.19,188.09,449.68
1960,177.15,362.57,289.43,99.88,309.23,142.99,190.99,100.39,233.13,262.38,104.82,389.77,507.62,164.35,376.67
1961,291.29,621.49,392.28,195.97,543.65,251.19,346.66,187.77,376.46,385.77,203.99,554.90,738.36,297.14,591.64
1962,229.30,386.84,355.26,89.40,388.33,176.79,188.59,129.94,347.90,300.30,154.23,546.70,713.57,216.96,547.63
1963,377.90,531.66,492.80,180.56,584.39,269.11,293.91,266.37,496.97,616.76,252.28,760.45,979.76,380.92,773.69
1964,265.66,639.23,345.87,181.48,569.48,261.33,342.41,160.44,348.33,345.47,189.05,484.46,639.46,255.30,585.02
1965,306.08,562.50,443.29,175.58,571.87,262.23,314.45,186.97,422.02,407.99,209.96,637.48,823.50,291.08,683.76
1966,252.99,555.01,352.36,180.89,476.12,220.75,328.38,153.59,334.66,349.11,157.79,568.46,786.99,226.53,570.17
1967,386.10,709.09,533.71,224.19,732.19,333.78,400.99,234.89,510.05,560.86,261.20,739.54,946.33,391.90,857.88
1968,360.61,610.92,518.76,173.23,644.44,286.28,324.07,221.52,493.57,535.32,234.07,774.86,1040.23,351.60,826.64
1969,360.14,682.21,428.41,207.93,747.20,330.07,378.85,261.30,425.04,572.76,243.83,588.29,800.41,366.61,751.12
1970,204.78,538.53,255.27,148.16,505.26,222.62,285.15,113.88,289.84,237.48,148.22,419.83,602.84,169.10,539.48
1971,319.42,689.88,391.53,225.23,643.58,305.04,379.88,205.03,431.19,408.60,239.90,591.12,791.26,290.99,729.08
1972,275.34,430.28,330.05,153.26,383.77,192.36,249.11,241.75,291.31,446.32,201.28,396.47,453.74,311.37,410.73
1973,180.79,426.08,268.67,131.08,391.16,176.40,237.26,85.55,275.81,210.43,123.80,435.42,552.05,140.39,469.05
1974,338.89,699.45,393.54,224.12,564.64,270.87,405.07,282.25,405.61,484.79,245.38,560.42,725.46,335.65,621.96
1975,282.68,507.70,370.10,157.03,503.01,233.39,285.50,204.51,365.79,391.39,200.11,543.19,704.53,276.69,600.03
1976,344.52,522.36,529.67,155.78,530.57,249.09,279.91,239.18,432.94,490.52,220.71,708.26,897.96,383.18,684.68
1977,273.77,611.71,361.60,191.82,592.50,273.96,327.79,158.19,387.66,298.30,212.58,554.33,735.83,242.70,667.48
1978,250.46,465.20,365.04,118.01,506.61,215.41,230.22,134.65,369.92,357.52,158.87,596.54,807.71,222.42,661.96
1979,288.21,577.97,375.99,198.44,522.78,248.32,342.39,188.57,390.80,387.03,202.24,558.50,732.20,279.38,608.98
1980,314.03,667.02,410.60,218.10,635.79,288.31,389.97,208.85,390.35,443.89,215.83,556.35,722.37,304.59,654.39
1981,325.28,522.77,444.47,143.19,577.97,254.37,271.66,228.10,449.17,439.63,233.50,668.34,889.45,317.67,716.36
1982,283.67,548.04,304.18,191.53,497.74,245.89,310.17,236.18,324.11,427.71,216.46,454.55,579.31,258.36,512.14
1983,276.42,612.50,374.94,199.62,540.17,247.00,346.16,165.50,384.56,341.64,193.05,580.86,764.38,260.37,631.18
1984,253.68,553.73,333.92,175.22,519.07,250.23,307.30,154.70,362.81,252.96,204.27,522.80,699.92,221.97,588.74
1985,240.55,456.95,348.15,140.89,371.94,179.17,250.88,162.56,305.62,362.58,150.44,483.14,627.08,246.66,493.72
1986,272.28,636.83,378.38,197.59,496.12,239.56,345.70,164.36,374.43,355.67,179.30,577.45,771.37,251.22,603.07
1987,316.68,549.97,457.74,153.42,573.27,257.96,293.46,195.20,417.64,490.73,201.18,659.97,856.36,310.46,681.59
1988,414.13,741.78,551.53,247.79,658.15,322.42,431.05,295.24,528.72,582.19,293.99,799.25,987.74,415.78,794.49
1989,158.54,349.88,234.34,99.54,279.80,133.71,189.31,96.71,210.85,211.91,103.09,326.38,435.73,154.94,344.33
1990,183.24,409.72,243.21,149.29,330.29,162.68,238.66,122.89,213.63,246.05,127.02,343.84,441.45,181.66,345.47
1991,301.37,797.20,413.54,227.59,654.89,294.95,421.73,162.13,417.37,375.90,203.77,638.59,876.24,261.12,741.85
1992,308.59,773.10,374.00,232.56,670.91,310.53,404.24,197.82,403.07,397.71,226.85,576.04,753.99,271.91,658.03
1993,259.88,412.75,302.56,133.85,379.94,194.49,229.22,215.31,279.39,454.41,180.74,358.81,450.81,299.64,414.53
1994,345.98,767.31,463.38,228.30,688.92,324.60,422.54,204.25,469.19,462.87,239.41,684.21,926.09,323.15,767.06
1995,204.20,337.12,295.29,121.00,348.72,170.18,182.53,122.60,273.98,274.19,146.74,421.49,536.74,202.13,407.76
1996,335.15,498.42,453.55,158.60,480.74,228.15,274.11,261.21,411.59,542.93,213.04,617.33,813.40,368.37,633.48
1997,286.49,591.01,403.84,197.95,502.38,247.87,333.89,181.52,377.37,345.31,207.78,572.59,701.11,290.54,561.25
1998,237.80,443.55,347.84,135.30,442.79,199.08,249.37,140.92,336.53,316.07,159.12,505.95,664.45,231.07,552.90
1999,170.33,290.14,233.61,84.71,273.77,122.88,159.26,126.58,203.60,278.41,105.35,323.50,429.46,180.04,337.42
2000,266.47,545.48,377.47,153.34,470.98,217.84,293.62,171.32,360.69,356.59,176.38,565.93,760.21,259.01,601.19
2001,303.76,537.94,416.22,165.18,509.12,241.34,293.06,209.21,386.46,426.70,212.14,580.58,757.00,315.84,614.81
2002,279.76,623.15,354.07,192.83,582.07,271.18,347.19,177.20,364.71,369.41,204.25,540.53,706.90,246.77,601.56
2003,335.75,791.94,435.93,222.49,687.97,314.33,432.49,200.06,460.84,443.09,236.69,655.49,878.50,309.37,779.70
2004,267.95,476.83,357.89,145.44,478.33,222.38,265.88,171.32,369.66,376.99,185.18,538.85,741.04,260.56,627.62
2005,232.26,489.99,297.26,153.03,453.64,215.20,268.23,141.31,314.49,299.45,173.69,471.18,632.07,203.57,521.31
2006,264.97,465.37,341.06,152.08,466.29,220.44,258.79,184.79,335.11,411.38,184.09,491.75,636.83,250.17,526.15
2007,235.22,430.53,335.61,143.03,411.05,199.53,241.76,142.91,325.30,284.30,174.05,506.95,670.81,217.35,532.47
2008,168.45,356.32,244.01,100.50,321.55,145.08,190.12,98.87,232.04,214.30,115.31,366.73,489.62,158.96,383.51
2009,270.03,441.38,404.07,128.80,441.17,201.29,242.84,164.38,382.63,361.45,177.24,624.46,838.28,272.29,641.64
2010,202.05,428.08,285.12,138.16,379.97,178.37,242.51,118.82,272.46,256.23,138.49,432.91,616.42,186.33,465.96
2011,278.23,555.95,387.54,174.92,554.71,254.90,306.56,163.47,395.04,341.73,199.25,586.67,788.77,253.74,662.99
2012,330.46,596.79,551.11,157.18,557.01,244.94,317.82,173.20,507.11,413.27,198.59,832.58,1118.38,335.14,840.45
2013,244.10,570.59,284.26,175.78,527.37,245.76,317.41,163.15,303.30,333.04,187.25,419.06,541.97,209.45,499.22
2014,240.10,445.19,321.29,155.23,427.72,206.72,258.49,164.75,307.45,321.16,172.65,485.96,622.24,218.39,493.51
2015,260.38,525.26,361.65,152.79,486.54,223.50,279.60,167.69,350.42,352.20,173.85,530.31,705.13,254.29,598.12
2016,270.81,505.31,366.26,163.64,492.75,227.98,285.95,177.52,350.34,388.18,190.16,531.04,702.53,249.29,585.01
2017,182.00,234.09,266.56,66.01,256.56,114.46,123.95,135.93,253.02,268.68,121.14,399.85,517.39,176.43,420.73
2018,337.22,588.00,504.09,176.24,557.37,256.28,317.48,208.16,460.25,471.28,217.95,754.37,976.40,340.45,726.18
2019,348.58,602.70,521.10,166.16,596.11,262.95,318.48,217.78,498.49,474.35,223.20,776.36,1035.54,357.65,801.83
2020,299.40,695.23,384.76,210.98,616.26,283.71,380.12,191.43,385.19,417.73,203.00,564.72,740.24,280.99,642.04
