Variable:,pr
,"South Sudan","El Buheyrat",Unity,"Central Equatoria","Eastern Equatoria",Jonglei,"Northern Bahr El Ghazal",Warab,"Western Bahr El Ghazal","Western Equatoria","Upper Nile"
1931,966.94,956.82,747.34,1120.57,818.89,852.41,972.82,892.12,1154.83,1257.57,838.80
1932,1033.47,1128.94,819.34,1197.77,854.34,982.93,941.23,1001.08,1117.60,1394.39,834.41
1933,985.03,954.40,851.93,1100.84,705.79,875.91,1013.24,963.58,1172.98,1269.76,936.11
1934,1042.23,1054.11,912.91,1183.82,819.61,938.68,1011.92,1019.30,1185.26,1367.88,924.04
1935,930.57,873.99,701.97,1043.20,824.03,830.12,896.53,826.76,1071.69,1251.83,844.83
1936,938.77,868.09,759.88,893.69,814.09,816.50,998.46,935.54,1147.76,1202.92,871.57
1937,994.08,934.56,777.31,1167.81,821.60,863.81,986.96,893.13,1190.78,1304.89,914.54
1938,1096.76,1139.99,887.31,1208.11,937.35,985.18,1144.94,1095.11,1262.77,1407.24,916.16
1939,1017.26,1002.63,875.20,1049.96,656.97,865.86,1123.65,1024.90,1333.73,1351.27,910.66
1940,913.78,828.83,713.29,991.87,829.80,794.82,970.17,859.56,1135.39,1154.16,788.20
1941,1000.97,1000.67,818.52,1186.11,873.24,893.10,907.05,941.49,1097.40,1353.71,875.12
1942,922.93,873.27,738.18,975.16,768.63,816.22,993.54,897.94,1149.28,1170.69,800.29
1943,912.73,906.77,751.32,936.60,698.60,811.48,956.32,893.90,1189.83,1175.12,753.39
1944,1034.96,1084.65,884.90,1146.96,831.56,937.69,1034.52,1064.42,1183.50,1355.09,856.93
1945,1031.27,1052.61,788.83,1205.07,981.37,989.57,929.80,904.98,1083.21,1316.91,905.11
1946,1119.88,1093.75,898.48,1257.38,918.74,1028.54,1139.75,1048.01,1337.53,1411.67,983.84
1947,1092.32,1076.07,955.12,1174.71,963.77,993.60,1051.15,1122.23,1199.97,1387.50,979.32
1948,975.51,980.23,761.99,1193.78,820.56,862.40,877.11,895.71,1069.99,1361.26,858.33
1949,976.08,939.95,831.56,1028.83,717.13,868.85,1074.31,974.77,1152.52,1286.93,899.24
1950,1053.18,1104.29,965.18,1098.28,689.62,888.97,1244.70,1194.56,1300.21,1397.91,871.27
1951,943.23,835.38,773.90,1025.00,861.12,873.29,1028.33,890.29,1138.06,1107.95,829.70
1952,955.95,1033.05,774.03,1105.93,691.15,829.99,940.72,955.40,1123.17,1336.75,796.27
1953,976.30,889.82,920.49,1009.27,686.82,858.87,1058.30,1014.58,1195.94,1207.16,957.51
1954,1053.10,1052.24,857.54,1205.24,837.18,950.12,1016.55,1002.47,1193.45,1379.09,977.42
1955,1047.24,1072.44,800.69,1227.52,819.23,870.11,1120.76,1039.39,1294.16,1446.90,832.87
1956,1013.79,1033.46,830.12,1218.67,782.37,916.45,967.69,966.91,1121.29,1386.71,889.14
1957,983.64,967.02,756.99,1214.15,828.86,825.88,1029.31,913.38,1217.90,1363.14,730.86
1958,1006.55,946.95,763.31,1135.04,883.95,872.85,1116.95,951.49,1226.35,1288.87,857.21
1959,960.71,930.14,773.85,1119.60,779.03,835.69,931.35,901.03,1129.42,1310.78,841.51
1960,923.31,872.62,751.78,1075.92,722.82,809.61,914.66,866.42,1104.56,1260.15,802.37
1961,1089.54,1000.29,850.51,1248.42,1145.12,1043.41,986.54,957.63,1117.08,1325.63,1018.22
1962,1096.58,1131.17,853.34,1305.39,961.40,966.58,1092.08,1060.01,1271.70,1465.77,855.95
1963,1073.02,1063.82,832.05,1174.07,863.77,939.40,1125.91,1024.26,1303.92,1459.37,893.11
1964,1068.49,1108.57,915.90,1168.14,787.99,989.98,1017.23,1071.10,1208.07,1465.92,914.57
1965,935.09,977.27,765.07,1097.41,658.62,805.37,957.96,932.70,1141.76,1324.35,732.32
1966,1064.75,1085.30,870.31,1086.62,806.37,957.57,1106.38,1085.31,1264.21,1388.42,968.32
1967,1025.21,1097.91,810.23,1222.38,991.81,991.32,814.78,917.31,986.97,1363.61,901.09
1968,953.55,961.51,733.73,1070.84,770.72,850.64,922.40,878.26,1142.21,1302.63,805.43
1969,985.34,1007.89,754.94,1126.33,738.84,823.18,1009.15,951.88,1229.00,1450.69,752.29
1970,980.88,1003.97,715.08,1173.52,850.27,900.73,904.65,866.95,1075.76,1339.28,854.19
1971,859.35,924.16,689.47,1003.85,712.07,795.48,783.50,809.54,971.52,1160.80,687.96
1972,882.09,871.10,696.95,1010.03,715.41,734.81,931.49,848.94,1072.06,1215.06,737.40
1973,931.65,1024.57,706.11,1103.25,741.35,837.13,880.57,875.79,1068.87,1295.76,745.14
1974,951.34,974.44,778.90,1102.37,771.17,842.72,961.49,939.48,1081.18,1282.54,798.45
1975,1022.31,1031.84,824.69,1152.74,880.65,942.70,945.60,979.93,1129.95,1332.45,914.93
1976,943.49,891.21,700.65,1055.76,747.96,819.08,991.92,878.50,1172.44,1246.62,852.26
1977,922.52,906.58,738.18,1138.29,877.12,795.69,959.28,891.62,1035.91,1203.12,727.56
1978,1004.22,947.49,864.56,1149.08,933.79,918.07,1041.61,992.80,1134.54,1231.06,837.47
1979,962.86,1025.38,793.50,1081.15,716.11,805.29,943.37,964.50,1135.64,1362.55,829.62
1980,891.74,985.50,743.07,1101.35,640.60,791.15,832.01,847.29,977.99,1258.96,765.22
1981,999.55,988.17,955.09,1105.24,828.48,944.11,834.68,955.24,1036.18,1316.80,944.09
1982,936.74,958.59,649.12,1152.10,972.45,839.77,824.13,836.57,1002.27,1333.40,677.22
1983,872.99,984.03,665.63,1194.78,839.32,801.78,701.24,784.03,860.27,1275.90,592.57
1984,733.67,752.69,563.74,878.45,506.42,605.99,673.18,679.48,861.56,1161.49,612.87
1985,975.41,1082.03,769.54,1213.63,738.59,831.70,936.48,962.40,1090.74,1449.45,744.01
1986,851.18,905.28,718.28,1082.50,681.55,755.06,724.75,787.88,877.65,1259.49,705.45
1987,796.02,835.19,629.68,928.21,624.15,657.93,772.02,796.16,922.58,1252.62,563.54
1988,1096.06,1116.42,896.44,1328.25,1101.72,1034.83,1003.95,1008.98,1130.65,1409.94,863.40
1989,1012.96,1050.51,869.90,1118.32,824.57,913.22,963.30,1015.14,1126.64,1367.77,867.74
1990,861.45,919.73,687.23,1091.81,664.07,776.76,768.94,819.58,958.06,1224.87,685.37
1991,1075.56,1131.92,898.56,1279.16,871.04,987.74,947.79,1003.27,1138.79,1491.80,941.73
1992,942.78,994.51,750.40,1160.17,709.00,842.20,901.77,912.76,1080.66,1348.97,729.31
1993,994.96,1092.31,845.27,1083.99,693.14,812.40,1083.72,1094.79,1187.37,1402.48,821.45
1994,952.14,958.77,742.57,1266.16,845.47,873.80,811.58,801.26,1003.89,1239.51,875.88
1995,1005.85,1063.05,878.56,1160.87,800.79,863.89,1038.87,1083.60,1153.72,1414.65,735.51
1996,1008.83,1060.24,826.86,1187.94,869.18,946.13,960.93,982.30,1086.94,1336.34,812.40
1997,979.29,995.30,812.64,1030.06,800.36,866.51,989.26,1015.85,1152.84,1364.58,760.89
1998,979.87,1007.58,802.81,1161.95,798.67,844.86,944.99,945.45,1105.23,1380.98,812.62
1999,1047.59,1092.20,931.56,1197.13,822.83,957.71,956.73,996.77,1142.98,1424.90,921.33
2000,967.97,984.01,803.17,964.24,724.41,909.13,938.87,931.49,1143.89,1239.06,920.34
2001,958.39,991.86,899.68,1055.45,703.01,906.86,944.75,1002.28,1038.87,1280.47,807.70
2002,996.42,1068.38,737.24,1438.60,858.81,858.44,928.14,920.26,1056.15,1447.05,719.12
2003,1028.18,1099.43,789.58,1254.76,890.88,900.23,971.11,962.56,1179.19,1430.02,783.80
2004,929.94,987.29,664.29,1227.24,857.47,728.87,926.68,896.64,1108.46,1360.82,619.74
2005,900.28,925.28,786.54,868.81,659.54,775.18,967.71,956.24,1083.76,1225.81,792.46
2006,1089.00,1158.04,825.91,1336.26,915.72,848.28,1148.36,1119.56,1314.91,1569.68,796.61
2007,1100.37,1137.31,937.42,1213.36,967.87,923.73,1097.32,1123.92,1235.01,1482.03,948.11
2008,1061.83,1140.10,834.24,1266.17,882.17,889.64,1096.65,1083.54,1254.25,1473.77,792.68
2009,857.58,875.15,689.88,922.00,699.70,789.15,800.10,795.76,984.46,1178.36,735.25
2010,1001.86,1003.96,808.56,1092.70,874.65,865.43,951.70,964.36,1133.60,1395.99,867.55
2011,972.40,1027.41,755.55,1227.17,805.43,866.70,910.05,897.05,1090.62,1364.93,757.80
2012,973.78,988.08,784.59,1112.59,895.23,863.87,918.43,905.41,1088.16,1317.09,803.98
2013,973.17,990.35,776.83,1126.04,900.85,833.82,924.22,916.92,1106.23,1321.75,801.89
2014,996.13,994.43,902.00,1125.58,814.93,888.58,949.87,990.16,1071.67,1321.75,917.06
2015,966.02,991.30,809.94,1125.60,811.40,853.04,927.82,933.54,1096.27,1321.75,785.03
2016,962.34,991.83,797.67,1125.22,714.72,850.31,949.95,940.16,1135.75,1321.75,799.51
2017,988.20,993.17,868.44,1126.20,943.59,843.51,939.26,964.76,1084.20,1321.75,819.51
2018,994.47,991.03,847.82,1126.01,916.27,869.09,942.49,939.64,1101.21,1321.75,858.92
2019,1034.57,994.90,973.07,1126.54,1005.33,902.96,960.27,1006.00,1108.89,1321.75,937.63
2020,983.92,987.92,714.44,1126.53,1040.43,853.76,903.91,870.18,1102.83,1321.75,791.19
