Variable:,pr
,Kazakhstan,Akmolinskaya,Aktyubinskaya,Almatinskaya,Atyrauskaya,Jambylslkaya,Karagandinskaya,Kustanayskaya,Kyzylordinskaya,"Administrative unit not available",Mangistauskaya,Pavlodarskaya,Severo-kazachstanskaya,Vostochno-kazachstanskaya,Yujno-kazachstanskaya,Zapadno-kazachstanskaya,"Almaty City area"
1983,253.94,278.11,245.79,288.16,208.26,236.94,222.01,279.15,137.43,195.40,146.77,289.86,331.97,381.15,212.63,308.25,361.81
1984,212.27,257.72,159.86,258.73,115.77,215.25,161.11,237.19,114.31,168.62,100.27,294.02,317.00,366.86,248.48,201.32,371.07
1985,251.51,311.25,209.15,320.10,195.08,251.44,211.62,277.95,128.66,209.37,143.67,321.79,361.99,343.58,262.20,286.06,455.91
1986,230.28,267.54,181.10,302.66,146.53,227.85,201.81,281.74,130.07,150.25,111.20,293.10,344.91,317.38,227.45,255.29,498.96
1987,299.14,342.84,243.26,404.80,197.99,334.45,276.01,326.63,164.54,181.96,150.07,332.12,375.57,428.29,327.39,319.76,574.31
1988,264.05,257.77,237.85,384.44,187.71,277.91,241.19,254.34,161.59,250.05,191.61,216.53,281.70,406.27,267.15,255.68,515.37
1989,245.20,294.43,225.33,276.80,224.05,229.56,225.23,278.95,126.81,190.34,128.70,254.81,307.12,326.50,246.57,340.57,376.59
1990,287.02,370.21,265.07,314.13,223.09,271.68,237.30,345.81,148.26,230.15,168.06,324.71,416.55,388.57,293.49,363.97,380.12
1991,206.26,212.21,166.80,220.02,181.09,221.10,155.22,193.26,152.48,221.39,160.50,255.66,267.07,291.46,286.56,243.11,324.28
1992,264.27,290.06,251.88,291.14,240.40,244.94,201.63,296.25,146.72,251.90,176.35,329.81,344.77,379.79,291.40,318.03,414.08
1993,302.55,348.91,272.67,399.83,225.34,339.91,236.71,332.89,161.71,219.55,170.61,320.13,423.46,406.94,380.57,349.31,531.24
1994,258.41,323.92,226.51,309.46,183.68,270.03,191.89,279.60,145.26,193.40,156.19,284.96,417.14,384.88,307.45,265.23,416.36
1995,207.93,273.53,179.54,222.30,170.25,163.50,174.34,215.82,106.99,200.51,129.60,279.60,296.87,332.57,170.74,247.05,326.79
1996,214.83,283.38,161.62,284.00,150.58,218.76,193.08,235.14,94.67,181.46,105.96,270.53,326.49,326.93,217.02,199.39,389.84
1997,228.44,229.16,264.53,230.28,242.50,227.61,172.57,274.26,137.35,227.60,160.68,194.13,288.77,255.59,291.34,331.38,342.43
1998,238.93,220.68,175.59,375.88,175.90,317.17,195.90,199.73,142.13,187.93,141.42,238.64,281.97,354.22,378.15,225.37,484.28
1999,256.63,286.94,230.51,342.78,198.87,285.92,220.06,279.98,141.28,186.60,152.32,248.86,342.82,338.81,295.93,294.27,529.26
2000,265.81,299.26,264.02,322.00,239.74,235.84,213.97,294.61,104.18,163.53,142.40,341.38,347.43,411.40,213.09,346.60,449.75
2001,267.47,371.12,230.64,296.39,206.00,246.56,221.52,295.61,124.12,170.48,142.03,359.68,439.35,380.96,239.94,331.32,384.15
2002,295.38,341.04,214.45,416.23,210.88,359.17,268.50,274.91,162.06,224.87,163.12,344.89,399.82,413.36,374.74,292.56,599.68
2003,289.57,274.18,272.67,421.31,245.17,359.50,237.55,271.30,208.57,251.44,201.99,254.82,301.46,340.82,417.61,325.29,619.07
2004,271.88,290.50,252.53,352.53,222.09,281.66,230.44,264.41,162.19,208.59,160.55,313.89,343.75,360.86,310.07,336.03,495.56
2005,231.10,306.05,179.05,295.96,184.56,247.12,181.61,248.81,113.37,203.43,142.95,256.11,346.56,331.80,267.44,260.86,463.09
2006,260.35,319.92,235.18,330.89,214.26,269.95,215.13,296.88,117.61,218.79,167.15,279.43,370.56,357.70,275.54,286.56,445.84
2007,247.75,287.28,229.40,315.51,204.42,243.19,213.19,255.55,120.62,187.32,139.17,291.11,342.18,342.90,259.55,293.71,422.13
2008,222.80,271.36,227.45,252.26,192.17,228.69,183.01,251.25,122.34,183.83,161.61,246.67,310.94,263.05,236.68,269.07,418.08
2009,270.44,312.62,232.39,348.88,211.63,273.48,220.93,273.74,150.25,254.92,187.26,337.26,373.21,380.11,321.71,263.64,521.48
2010,238.17,221.76,171.72,395.03,169.13,295.56,203.46,207.10,110.26,205.55,160.66,241.11,246.83,401.28,262.58,235.72,512.11
2011,260.74,299.85,222.72,372.30,228.69,292.50,214.82,296.04,124.89,218.05,174.52,254.93,373.89,319.96,282.42,306.01,522.79
2012,230.69,285.06,167.03,278.97,150.37,210.65,218.95,226.61,126.86,166.29,123.19,266.93,321.49,389.32,248.44,228.07,350.16
2013,297.10,422.78,256.72,329.26,222.40,261.82,245.29,324.94,169.99,203.02,156.29,355.56,449.11,445.66,295.33,337.35,448.49
2014,250.14,310.46,208.71,298.72,164.49,261.46,217.32,286.00,125.62,180.71,135.25,329.67,362.00,366.33,291.41,229.87,371.91
2015,298.20,358.67,224.95,347.30,189.52,288.38,281.37,337.62,198.33,200.23,168.72,344.28,424.26,443.74,331.50,277.35,447.05
2016,333.13,375.73,304.98,444.01,292.92,355.13,271.64,333.53,202.51,246.71,193.36,364.53,401.84,468.47,350.25,385.18,671.31
2017,239.35,267.92,208.12,294.91,185.61,282.79,191.72,278.44,144.85,189.55,135.01,301.17,313.16,307.80,286.77,266.92,421.08
2018,250.14,352.59,165.59,303.42,144.11,253.68,235.47,283.33,124.69,175.73,121.40,355.08,417.16,371.46,253.80,219.44,423.81
2019,234.36,276.73,181.72,297.95,182.20,222.28,176.58,267.10,135.05,183.72,156.17,276.23,340.58,368.30,252.65,239.37,415.79
2020,235.77,313.55,190.42,279.15,153.35,229.99,211.44,288.39,114.20,179.14,121.81,301.85,305.79,359.88,250.68,228.02,458.26
