Variable:,pr
,Fiji,Central,Eastern,Northern,Western
1962,3057.95,3049.57,2469.23,3050.88,3106.44
1963,3282.63,3296.18,2688.18,3238.66,3340.69
1964,3126.33,3136.38,2657.08,3090.51,3185.47
1965,2619.57,2590.20,2203.42,2634.84,2643.90
1966,2244.81,2204.51,1892.62,2274.11,2246.35
1967,2422.30,2385.21,2174.22,2450.61,2425.02
1968,2261.91,2228.09,1943.39,2279.15,2267.47
1969,1926.79,1853.23,1612.93,2015.49,1887.57
1970,3105.09,3092.15,2520.67,3082.07,3159.75
1971,3325.91,3333.16,2734.53,3295.91,3390.16
1972,3156.86,3149.24,2659.60,3146.43,3201.47
1973,3317.02,3324.68,2616.27,3246.34,3400.05
1974,3760.22,3810.35,3020.89,3635.27,3887.56
1975,3676.46,3688.93,2882.64,3644.71,3748.16
1976,2797.82,2778.02,2420.48,2797.11,2823.50
1977,2277.36,2249.53,1919.17,2303.81,2285.92
1978,2217.78,2171.04,1954.41,2264.53,2204.20
1979,2529.62,2511.48,2186.13,2522.35,2552.89
1980,2751.11,2721.83,2266.41,2760.11,2775.28
1981,2934.14,2923.43,2269.46,2912.71,2989.18
1982,2848.66,2847.59,2380.59,2823.30,2891.70
1983,2191.34,2146.79,1843.13,2254.00,2171.51
1984,2533.79,2514.28,2188.95,2521.25,2561.16
1985,3192.39,3184.77,2459.61,3151.81,3256.23
1986,2856.84,2871.02,2352.31,2789.19,2929.44
1987,1851.69,1780.47,1515.66,1949.27,1811.13
1988,2790.26,2778.13,2368.90,2783.83,2826.19
1989,2862.75,2855.57,2367.16,2829.69,2917.91
1990,2646.80,2636.84,2289.85,2640.64,2668.45
1991,2249.44,2190.29,1945.85,2321.13,2223.84
1992,2118.51,2055.05,2028.79,2222.80,2061.60
1993,2901.58,2882.08,2261.00,2902.33,2948.59
1994,2239.15,2175.28,1940.21,2329.98,2205.11
1995,2260.12,2213.12,2025.43,2328.43,2230.03
1996,3551.28,3597.95,2701.25,3423.00,3681.46
1997,3004.58,3015.46,2425.72,2953.75,3068.04
1998,1650.31,1541.12,1489.11,1823.47,1547.54
1999,3665.45,3708.80,2742.56,3535.31,3809.35
2000,4947.17,5104.20,3632.81,4634.04,5226.23
2001,3079.87,3082.46,2496.88,3034.51,3145.25
2002,2998.71,2994.86,2438.20,2954.10,3060.65
2003,2120.41,2056.70,1787.43,2208.62,2075.95
2004,2392.96,2343.18,2113.96,2448.34,2375.89
2005,2827.04,2812.30,2259.02,2796.00,2876.50
2006,2824.23,2803.56,2344.01,2816.68,2858.45
2007,3889.22,3969.40,3010.27,3729.14,4055.26
2008,3593.43,3640.22,2848.23,3480.31,3721.25
2009,2800.98,2783.55,2360.30,2786.98,2833.92
2010,2531.79,2495.62,2116.73,2576.46,2531.75
2011,4216.37,4316.35,3275.72,3994.08,4420.56
2012,4486.12,4619.75,3298.85,4225.29,4730.86
2013,3079.95,3081.27,2555.88,3033.25,3150.27
2014,2005.75,1929.82,1859.05,2123.48,1943.98
2015,1786.70,1687.94,1602.41,1942.89,1698.29
2016,3561.93,3609.96,2839.23,3425.16,3699.09
2017,3065.30,3072.65,2501.59,3036.69,3133.34
2018,3278.78,3303.06,2613.53,3188.72,3383.62
2019,2756.94,2748.22,2327.29,2739.26,2792.42
2020,3041.20,3059.51,2577.08,2977.84,3111.05
