Variable:,pr
,Austria,Burgenland,Karnten,Niederosterreich,Oberosterreich,Salzburg,Steiermark,Tirol,Vorarlberg,Wien
1926,1351.43,887.28,1755.19,921.42,1212.35,1703.42,1446.42,1604.58,1608.60,806.15
1927,1201.14,755.66,1610.51,698.44,957.94,1518.51,1324.86,1584.57,1689.58,584.06
1928,1192.66,711.31,1487.10,787.62,1057.48,1536.88,1234.34,1532.40,1592.48,659.64
1929,1014.31,655.92,1315.53,669.26,847.45,1285.32,1085.16,1287.11,1277.97,587.52
1930,1193.50,877.55,1411.13,863.51,1115.51,1334.98,1287.30,1396.42,1671.92,761.73
1931,1181.83,693.85,1563.90,694.88,1024.16,1625.82,1195.25,1569.15,1636.06,587.04
1932,972.17,533.87,1211.37,586.61,918.39,1276.25,985.85,1283.21,1428.15,448.76
1933,1294.85,834.49,1745.52,800.03,1122.48,1666.23,1451.09,1574.08,1504.39,664.38
1934,1090.05,666.10,1643.38,639.99,824.87,1336.74,1196.10,1396.66,1434.55,552.22
1935,1231.61,710.88,1619.42,708.24,1028.12,1632.18,1265.90,1698.58,1779.84,589.67
1936,1231.75,797.31,1538.29,806.58,1146.04,1507.53,1332.00,1501.75,1607.22,689.85
1937,1411.48,995.30,1931.79,953.54,1147.07,1699.57,1583.94,1673.34,1627.97,854.87
1938,1074.24,715.74,1324.21,748.98,977.32,1323.74,1182.44,1245.53,1367.63,641.15
1939,1244.99,805.85,1389.66,891.62,1171.08,1490.25,1220.18,1630.61,1866.52,774.65
1940,1192.52,843.40,1425.00,822.96,1042.80,1385.12,1227.97,1522.35,1858.59,724.49
1941,1258.40,868.18,1420.67,965.86,1256.83,1482.40,1328.59,1433.48,1528.13,825.16
1942,1018.36,633.31,1188.28,696.10,943.04,1335.25,1025.83,1298.19,1402.65,598.96
1943,1017.26,689.17,1255.18,683.68,952.27,1259.30,1123.60,1188.29,1254.60,587.13
1944,1392.99,918.53,1572.70,966.21,1349.09,1776.76,1431.36,1732.36,1837.57,835.56
1945,1105.44,639.85,1298.38,719.13,1074.52,1536.09,1046.98,1447.15,1569.67,634.37
1946,1047.59,682.19,1241.20,746.61,930.41,1307.20,1072.62,1329.00,1385.37,658.97
1947,1019.38,628.81,1299.20,658.94,888.18,1307.46,1055.23,1320.98,1345.82,576.84
1948,1228.50,750.94,1600.98,764.36,1158.27,1636.22,1303.76,1501.09,1453.00,632.73
1949,1128.29,714.10,1336.58,784.52,1127.29,1554.22,1161.75,1333.22,1192.52,658.93
1950,1168.28,818.86,1417.16,824.37,1005.15,1430.38,1226.65,1463.27,1522.47,743.19
1951,1178.35,828.78,1566.56,796.28,924.76,1437.35,1244.29,1521.61,1456.11,746.66
1952,1232.62,675.94,1530.04,742.74,1160.06,1638.62,1244.44,1642.20,1744.65,586.51
1953,968.28,620.55,1242.83,653.23,844.12,1230.24,1021.64,1212.30,1174.33,559.29
1954,1383.71,868.22,1668.32,870.66,1252.66,1874.52,1405.07,1849.03,1767.51,743.37
1955,1193.75,712.21,1430.31,803.77,1133.76,1531.42,1179.44,1552.61,1635.48,673.16
1956,1234.61,707.30,1547.85,754.86,1157.75,1661.52,1269.84,1601.58,1632.34,614.73
1957,1150.21,735.76,1404.70,780.34,1019.15,1489.71,1163.68,1480.57,1525.21,679.25
1958,1335.80,763.38,1732.07,840.39,1203.99,1761.22,1401.13,1687.26,1750.78,699.80
1959,1139.44,747.25,1443.91,799.10,1071.36,1446.00,1228.83,1306.16,1276.48,687.58
1960,1252.23,745.55,1673.45,761.83,1084.20,1581.38,1269.44,1679.58,1748.90,633.27
1961,1098.18,691.23,1386.13,709.33,1007.86,1461.48,1118.81,1383.15,1437.10,612.71
1962,1218.84,737.19,1655.66,736.33,1049.39,1609.99,1312.14,1539.08,1524.41,620.06
1963,1046.69,718.63,1383.60,659.33,827.37,1241.11,1175.87,1327.30,1449.15,565.41
1964,1227.71,747.54,1555.64,778.63,1121.14,1625.37,1286.18,1549.89,1563.15,648.70
1965,1410.64,930.14,1831.07,908.18,1181.78,1750.94,1492.02,1792.31,2026.90,801.11
1966,1398.41,872.10,1623.79,892.29,1303.18,1852.80,1364.38,1911.06,1963.64,754.84
1967,1122.49,657.44,1384.29,705.29,997.41,1496.61,1121.67,1516.65,1571.17,588.93
1968,1094.30,644.00,1382.26,656.09,958.82,1414.65,1101.54,1498.76,1642.87,554.40
1969,1053.07,779.04,1364.13,737.79,839.87,1203.35,1200.12,1233.23,1417.06,676.68
1970,1318.78,731.68,1530.47,804.30,1217.89,1735.37,1330.47,1821.31,1992.76,648.92
1971,878.19,554.69,1063.20,589.17,771.00,1075.69,899.88,1160.53,1246.11,509.38
1972,1156.17,848.84,1545.18,789.70,949.51,1351.73,1383.47,1292.88,1298.92,679.16
1973,1104.30,636.51,1416.70,659.73,933.88,1435.50,1170.90,1467.43,1631.84,545.91
1974,1218.31,694.32,1398.19,749.12,1209.87,1632.32,1196.57,1628.65,1827.32,594.64
1975,1165.20,720.82,1514.29,755.32,994.99,1511.38,1230.67,1472.57,1523.80,647.94
1976,1059.48,664.88,1324.66,722.44,943.70,1341.55,1087.25,1338.53,1393.26,613.57
1977,1124.20,601.57,1361.52,679.13,1040.28,1524.99,1045.05,1616.42,1657.17,557.63
1978,1059.13,545.95,1472.36,548.62,883.02,1476.55,1034.74,1527.19,1613.88,440.88
1979,1392.70,850.43,1766.71,857.48,1147.20,1820.17,1412.32,1947.09,1897.32,754.78
1980,1155.92,692.39,1481.20,707.23,1033.81,1542.84,1174.62,1515.41,1607.66,611.28
1981,1194.16,621.06,1352.12,681.52,1112.26,1619.67,1094.45,1810.13,2013.64,539.41
1982,1109.46,755.43,1406.31,684.92,888.38,1390.25,1207.63,1459.91,1586.72,595.16
1983,1027.76,552.29,1219.88,590.85,901.08,1409.78,981.90,1525.33,1609.54,494.34
1984,1050.02,650.80,1323.33,700.48,890.41,1311.35,1056.92,1391.99,1520.24,624.74
1985,1201.97,780.76,1465.24,815.52,1131.29,1575.28,1268.26,1442.31,1453.05,705.51
1986,1081.26,633.85,1341.32,646.65,916.23,1387.12,1118.44,1484.94,1698.05,523.92
1987,1268.75,785.85,1590.35,810.97,1112.48,1695.61,1270.17,1690.78,1675.91,714.57
1988,1208.70,674.90,1377.96,741.26,1168.20,1644.36,1176.59,1661.94,1799.13,600.95
1989,1117.43,686.94,1366.83,733.60,1024.14,1437.99,1225.40,1374.28,1354.56,594.20
1990,1191.52,718.25,1531.36,723.66,1029.29,1580.09,1231.12,1581.81,1652.34,621.22
1991,1148.23,778.30,1438.40,745.04,1008.38,1480.16,1284.69,1378.04,1411.33,629.20
1992,1155.84,670.94,1450.80,685.00,982.24,1517.49,1187.18,1608.10,1665.16,566.33
1993,1124.45,662.96,1317.56,705.30,1031.15,1431.15,1142.62,1528.61,1685.47,578.01
1994,1109.42,700.07,1407.80,647.73,958.65,1476.38,1148.63,1469.90,1674.07,555.45
1995,1237.82,789.40,1397.70,820.63,1146.57,1575.44,1202.85,1686.38,1865.69,722.15
1996,1259.87,817.67,1573.38,841.88,1125.58,1569.19,1324.80,1604.67,1555.88,710.20
1997,1141.01,690.18,1346.56,767.40,1070.35,1539.65,1152.72,1455.83,1460.85,635.00
1998,1187.34,720.54,1476.20,735.61,1084.46,1554.41,1225.16,1549.57,1628.78,594.08
1999,1277.51,768.68,1507.32,774.88,1032.20,1612.83,1247.69,1918.46,2094.11,668.06
2000,1266.58,645.19,1657.83,704.63,1098.14,1802.34,1245.68,1785.08,1824.31,569.74
2001,1157.10,559.26,1305.61,694.70,1088.98,1578.83,1023.20,1758.01,1928.36,550.77
2002,1305.22,725.95,1527.30,866.37,1223.92,1729.48,1259.62,1756.59,1884.55,703.28
2003,956.94,524.16,1261.80,571.46,818.74,1326.41,968.25,1291.12,1281.17,466.67
2004,1151.43,700.06,1487.98,736.86,1046.34,1493.44,1228.43,1423.50,1428.87,605.46
2005,1195.06,742.19,1459.45,797.52,1122.52,1562.09,1279.84,1444.45,1470.32,631.69
2006,1117.13,664.32,1267.58,758.77,1089.93,1481.45,1132.90,1403.60,1521.00,610.99
2007,1247.04,776.57,1446.51,858.21,1159.09,1652.19,1236.04,1602.90,1702.24,722.27
2008,1184.27,723.45,1503.62,748.08,985.01,1533.38,1195.01,1624.95,1643.00,628.05
2009,1304.39,840.52,1624.23,868.86,1184.60,1688.43,1412.10,1577.79,1566.23,721.43
2010,1232.43,882.98,1549.53,873.68,1074.26,1504.29,1262.21,1518.94,1613.10,782.39
2011,1021.96,541.29,1218.53,593.15,928.97,1403.61,1010.05,1456.56,1522.27,475.73
2012,1214.52,672.16,1517.68,711.53,1073.17,1649.89,1217.39,1687.68,1757.98,584.14
2013,1254.98,774.39,1638.48,789.79,1103.05,1638.89,1285.97,1627.00,1651.30,668.97
2014,1314.66,870.28,1767.78,876.43,1147.89,1655.23,1468.11,1509.43,1541.03,712.93
2015,1151.88,719.05,1526.99,711.90,996.91,1534.28,1229.60,1443.47,1456.31,589.85
2016,1431.98,926.29,1833.30,952.14,1266.15,1853.73,1540.02,1716.88,1824.45,811.51
2017,1366.90,785.79,1715.58,840.10,1212.42,1856.09,1396.93,1807.99,1879.21,687.84
2018,1174.63,755.40,1483.38,765.36,1056.77,1527.75,1272.52,1434.10,1420.59,637.37
2019,1279.32,783.79,1691.58,789.48,1066.59,1658.42,1331.92,1683.57,1769.20,664.22
2020,1355.44,853.79,1721.82,906.22,1242.60,1773.35,1482.02,1587.50,1592.90,756.14
