Variable:,pr
,Israel,"Central District",Haifa,Jerusalem,Northern,"Southern District","Tel Aviv"
1937,272.05,528.49,527.33,491.16,522.00,158.95,550.84
1938,412.43,788.82,809.00,728.72,860.49,227.55,817.92
1939,332.38,657.78,631.74,597.05,643.94,192.25,698.89
1940,305.38,596.01,666.49,521.40,706.75,147.52,646.76
1941,301.04,583.09,596.74,495.37,608.77,170.24,651.61
1942,288.06,531.61,553.96,486.50,602.14,162.45,563.41
1943,305.44,542.78,620.76,515.52,662.63,166.11,566.73
1944,484.63,942.96,901.02,851.52,942.76,284.06,987.58
1945,322.50,613.98,621.78,568.48,636.39,186.74,637.23
1946,190.10,327.94,387.20,313.41,417.81,103.77,339.96
1947,209.59,418.16,421.74,362.20,432.15,114.36,453.40
1948,312.76,594.02,656.41,540.89,686.22,162.82,635.98
1949,393.17,729.52,800.05,682.75,830.32,215.19,771.48
1950,236.33,427.14,465.86,393.57,495.35,133.38,449.53
1951,316.51,648.24,661.47,568.48,652.80,167.48,700.75
1952,198.92,347.64,380.90,315.39,429.18,112.81,374.12
1953,391.91,741.56,776.74,682.27,831.14,213.67,786.97
1954,324.49,595.18,568.57,528.12,624.82,200.91,613.86
1955,234.79,480.16,511.41,397.91,513.78,117.69,546.92
1956,238.27,475.73,456.91,440.06,466.75,135.43,492.85
1957,329.92,630.04,660.89,596.96,669.49,183.45,656.42
1958,138.05,267.46,296.92,231.51,317.84,67.54,297.22
1959,214.01,388.82,407.00,371.73,430.62,124.08,406.85
1960,165.70,329.36,381.03,260.33,392.01,76.69,376.57
1961,323.45,637.95,652.33,569.49,667.78,175.64,684.57
1962,162.79,332.99,372.44,259.49,390.80,73.83,376.88
1963,279.65,536.07,529.96,489.39,545.84,163.89,557.04
1964,346.97,703.55,706.18,606.77,693.20,191.83,748.38
1965,316.68,576.78,551.78,559.87,578.72,200.87,558.65
1966,292.05,567.09,598.16,507.04,608.41,158.68,606.69
1967,331.94,647.71,675.42,595.76,711.44,175.21,683.00
1968,304.23,563.79,594.33,485.79,627.52,173.64,606.68
1969,264.98,492.90,552.74,427.52,624.26,132.06,558.62
1970,248.25,484.70,506.13,429.40,533.00,131.72,508.23
1971,368.79,672.09,708.69,621.04,730.65,217.76,687.16
1972,248.59,459.84,477.21,438.94,472.88,149.24,467.08
1973,207.61,422.40,447.89,385.01,453.17,103.26,457.30
1974,438.21,853.80,826.95,806.39,799.85,265.12,859.38
1975,253.05,465.11,489.39,435.21,519.95,144.27,478.96
1976,227.60,449.16,517.28,347.67,534.04,108.35,523.59
1977,318.65,619.69,651.64,554.01,652.32,175.23,679.33
1978,197.25,390.43,428.79,318.12,451.39,97.26,461.20
1979,326.65,628.96,633.06,567.69,637.99,189.26,675.97
1980,336.76,591.39,631.56,584.55,685.73,197.36,604.16
1981,219.82,439.28,484.76,361.57,512.52,104.81,500.03
1982,307.45,582.92,582.22,545.21,585.17,183.29,601.25
1983,305.05,600.40,633.29,554.92,634.22,162.91,654.94
1984,233.19,438.23,515.37,393.40,552.57,111.30,491.85
1985,260.09,460.24,471.17,447.31,483.28,163.39,462.79
1986,355.13,753.66,767.36,633.29,732.19,184.30,825.30
1987,250.10,493.59,509.13,417.43,540.79,132.24,549.65
1988,361.55,657.38,687.23,615.28,737.35,209.38,687.81
1989,219.36,445.07,431.51,396.40,406.35,128.77,471.03
1990,212.48,375.55,390.97,371.72,414.52,128.61,377.39
1991,420.81,839.34,864.38,736.55,862.41,228.77,908.51
1992,413.10,832.78,872.39,679.88,861.39,220.29,939.71
1993,214.80,410.14,400.51,408.93,417.06,125.65,408.20
1994,419.15,834.18,790.37,761.74,806.59,243.55,867.31
1995,169.17,319.33,341.76,286.77,354.69,92.81,338.05
1996,237.24,438.92,478.85,410.69,508.24,128.47,460.14
1997,315.05,620.24,646.62,551.27,646.45,171.74,670.16
1998,199.71,361.56,407.19,336.29,435.21,107.64,385.73
1999,139.11,239.80,273.08,228.29,291.13,80.17,252.26
2000,284.25,577.72,583.25,480.60,586.61,153.50,625.87
2001,235.61,463.95,534.84,384.10,550.93,111.58,529.61
2002,315.43,613.02,639.12,546.85,660.40,171.10,644.31
2003,330.53,618.58,755.54,537.54,802.16,152.77,701.46
2004,241.45,455.71,493.22,421.24,508.88,131.22,472.05
2005,215.45,422.70,487.46,347.16,508.60,101.43,483.13
2006,221.51,418.57,460.52,363.43,483.26,117.45,455.50
2007,205.99,403.40,428.72,350.93,440.76,108.71,444.09
2008,186.15,383.33,376.82,327.45,380.42,100.49,419.90
2009,202.86,370.81,474.12,315.15,484.10,96.23,416.37
2010,235.13,447.44,438.64,445.43,453.93,138.11,436.13
2011,242.86,438.91,537.57,378.94,569.16,120.61,488.76
2012,286.24,563.31,628.81,477.57,638.74,142.96,623.73
2013,293.11,564.43,568.47,526.45,592.47,165.29,585.64
2014,246.18,473.72,456.42,438.90,464.03,148.05,489.66
2015,268.93,532.54,560.51,468.12,567.37,142.69,574.48
2016,239.18,465.54,497.39,408.94,518.20,125.31,507.68
2017,120.35,221.21,234.95,200.61,241.71,69.93,237.55
2018,311.03,613.96,628.62,534.68,634.29,171.83,662.77
2019,276.02,518.50,594.69,443.12,620.31,141.21,586.01
2020,366.64,727.85,733.83,654.17,739.93,203.16,770.78
