Variable:,pr
,Panama,Coclé,Colón,"Kuna Yala",Herrera,"Los Santos",Panamá,"Bocas del Toro",Chiriquí,Darién,Emberá,"Ngöbe Buglé",Veraguas
1945,2349.74,2221.71,2667.52,2224.17,1835.72,2133.44,2236.28,3067.60,2589.90,2404.75,2201.04,2594.96,2078.95
1946,2323.45,2271.34,2726.49,2213.60,1859.71,2172.23,2251.10,3028.61,2484.80,2268.80,2094.19,2588.54,2096.12
1947,2395.97,2295.81,2687.48,2239.70,1969.31,2296.50,2252.71,2818.89,2724.20,2490.03,2283.33,2541.29,2167.47
1948,2264.02,2173.77,2632.09,2223.07,1805.68,2155.21,2237.96,2706.96,2439.44,2360.74,2182.86,2339.03,1979.20
1949,2591.43,2528.17,2909.63,2231.93,2112.64,2377.74,2289.74,3594.48,3095.63,2414.03,2226.70,3077.42,2442.69
1950,2587.29,2473.37,2849.49,2264.91,2090.57,2377.00,2280.73,3400.92,2976.57,2638.35,2387.96,2980.36,2388.99
1951,2453.93,2391.74,2782.74,2129.22,2035.58,2339.79,2232.79,3249.04,2887.32,2335.81,2138.56,2802.66,2287.38
1952,2345.99,2222.41,2648.72,2148.39,1864.77,2188.32,2201.58,2879.06,2644.87,2481.54,2267.95,2507.35,2077.50
1953,2285.52,2307.78,2719.46,1910.37,1942.53,2275.12,2149.59,3020.02,2707.11,1994.72,1818.09,2637.90,2173.64
1954,2436.37,2365.93,2778.94,2107.85,2002.23,2282.52,2220.74,3308.67,2983.21,2216.63,2019.68,2844.35,2285.61
1955,2607.36,2542.71,2867.08,2247.24,2209.24,2526.27,2294.41,3345.39,3157.41,2506.08,2278.38,2982.42,2481.61
1956,2558.64,2450.29,2843.55,2205.82,2066.70,2371.10,2268.26,3438.65,3084.57,2494.87,2256.75,2953.70,2372.94
1957,2290.28,2278.06,2720.55,1898.36,1918.63,2221.01,2145.60,2923.75,2658.80,2146.83,1968.36,2575.18,2136.63
1958,2184.27,2114.61,2557.38,2194.90,1762.23,2165.94,2215.40,2589.63,2325.04,2198.49,2051.01,2260.41,1914.75
1959,2290.16,2177.88,2614.21,2079.70,1848.41,2205.52,2185.23,2602.78,2441.18,2546.26,2346.15,2325.63,2007.88
1960,2447.59,2306.07,2701.26,2397.57,1974.54,2325.19,2321.89,3009.36,2797.17,2492.29,2283.38,2652.09,2197.96
1961,2445.00,2337.17,2715.64,2250.64,1987.56,2317.73,2268.78,3019.53,2791.74,2495.57,2286.59,2678.93,2225.08
1962,2487.69,2381.47,2795.66,2287.31,1984.50,2293.58,2299.45,3148.43,2828.35,2556.44,2349.63,2736.69,2237.53
1963,2306.61,2230.36,2659.22,2208.15,1841.46,2202.62,2225.17,2939.02,2545.80,2296.01,2092.66,2531.14,2058.64
1964,2383.50,2237.66,2639.26,2257.85,1911.28,2264.92,2261.17,2805.64,2637.33,2581.41,2373.63,2477.67,2101.11
1965,2269.90,2296.78,2721.40,1938.77,1913.13,2245.42,2130.76,2986.74,2626.23,2038.72,1867.84,2591.63,2133.94
1966,2474.31,2376.05,2787.19,2262.95,1953.99,2295.56,2268.91,3307.97,2905.40,2426.68,2202.37,2822.11,2237.78
1967,2500.81,2406.72,2811.63,2133.50,2034.27,2361.89,2235.74,3229.64,2925.33,2516.84,2319.12,2810.43,2293.58
1968,2430.89,2307.59,2713.47,2203.49,1930.05,2244.30,2244.42,3224.42,2895.37,2391.69,2181.14,2735.05,2193.38
1969,2457.39,2390.16,2795.21,2252.20,2031.40,2330.62,2273.28,3154.09,2959.28,2308.15,2122.65,2767.32,2285.94
1970,2790.34,2508.40,2873.07,2552.65,2095.41,2335.18,2393.24,4041.98,3586.74,2765.50,2523.11,3368.27,2509.89
1971,2533.22,2396.70,2742.07,2266.14,2073.34,2383.37,2277.20,3369.55,3145.05,2401.04,2163.74,2938.68,2365.99
1972,2471.73,2461.94,2889.53,2043.16,2027.87,2307.84,2219.12,3523.66,3027.92,2126.88,1946.57,3018.05,2354.66
1973,2774.27,2558.43,2879.32,2295.36,2254.38,2502.11,2301.72,3671.89,3483.42,2867.35,2619.68,3202.40,2589.80
1974,2557.86,2410.65,2774.02,2135.54,2084.97,2378.36,2223.87,3355.55,3088.92,2600.76,2348.52,2910.85,2371.01
1975,2813.74,2599.86,2956.94,2223.07,2261.10,2511.67,2291.09,3717.78,3467.11,2994.76,2714.17,3261.88,2620.98
1976,2266.34,2276.97,2742.24,1959.10,1871.12,2174.28,2146.92,2933.76,2510.29,2162.40,1985.18,2514.50,2085.12
1977,2229.69,2249.83,2705.38,1947.89,1853.49,2184.40,2140.86,2826.30,2453.19,2118.46,1933.47,2462.52,2051.93
1978,2393.09,2278.22,2680.42,2269.35,1930.32,2272.73,2269.55,2968.44,2701.99,2436.37,2244.63,2588.83,2148.05
1979,2559.08,2381.58,2744.71,2366.34,2053.90,2352.59,2313.57,3351.46,3158.08,2503.42,2301.12,2912.12,2346.17
1980,2433.63,2425.19,2793.53,2076.32,2062.31,2384.60,2195.74,3247.52,2904.20,2201.80,2006.49,2837.54,2322.92
1981,2698.60,2370.36,2777.15,2764.10,1994.06,2294.10,2471.59,3401.27,3029.11,3118.36,2858.76,2880.32,2287.59
1982,2345.24,2320.41,2739.28,2107.04,1940.14,2258.15,2198.35,3022.94,2717.16,2202.14,2015.94,2637.03,2177.85
1983,2373.48,2306.81,2671.64,2042.69,1971.94,2277.26,2175.35,3065.42,2864.00,2245.03,2040.54,2696.70,2216.41
1984,2582.97,2425.73,2798.42,2355.55,2074.50,2387.42,2310.58,3345.35,3038.66,2653.29,2410.88,2889.20,2355.48
1985,2334.77,2133.58,2547.32,2442.65,1826.86,2128.82,2310.72,2582.12,2510.76,2621.43,2411.61,2348.90,2010.78
1986,2447.40,2317.30,2720.49,2185.58,1981.16,2307.22,2241.80,3045.99,2741.05,2579.39,2373.83,2662.20,2206.69
1987,2535.83,2368.89,2773.88,2372.19,2008.06,2308.52,2301.88,3315.39,2974.80,2571.14,2364.92,2858.39,2289.06
1988,2608.53,2407.26,2792.72,2354.74,2029.51,2313.01,2295.50,3583.79,3168.97,2642.57,2400.04,3015.35,2354.23
1989,2401.60,2284.25,2683.43,2380.03,1955.95,2295.68,2300.31,2885.03,2693.50,2469.45,2244.02,2548.30,2161.40
1990,2525.58,2431.56,2824.82,2157.07,2041.19,2328.86,2249.39,3408.69,3063.52,2421.76,2208.86,2939.43,2341.75
1991,2453.76,2440.01,2855.24,1952.13,2050.21,2332.50,2188.27,3380.79,3043.53,2164.30,1976.96,2912.47,2346.08
1992,2300.82,2257.66,2644.77,2186.09,1936.55,2288.79,2236.18,2792.81,2611.83,2189.55,2033.65,2476.87,2123.58
1993,2390.20,2337.33,2726.78,2109.74,1974.41,2296.33,2208.97,3262.26,2853.83,2164.20,1968.18,2780.10,2237.55
1994,2396.14,2494.49,2874.38,2085.51,2104.31,2347.02,2237.99,2820.34,2711.65,2208.04,2012.90,2664.62,2347.89
1995,2464.28,2147.20,2553.56,2374.69,1851.71,2257.67,2271.50,3494.25,3049.54,2539.39,2322.01,2740.09,2071.69
1996,2510.68,2291.29,2696.09,2348.76,1937.63,2288.60,2284.69,3486.58,3034.71,2537.53,2303.84,2840.69,2196.70
1997,2459.99,2459.00,2836.31,2131.21,2083.02,2339.27,2245.23,3270.32,3037.02,2121.90,1947.29,2919.79,2376.09
1998,2453.55,2311.93,2721.77,2198.06,1943.63,2290.20,2233.14,3290.43,2934.64,2405.14,2179.89,2816.08,2223.34
1999,2544.10,2366.30,2785.48,2483.63,1995.63,2309.71,2345.47,3255.26,2873.86,2687.23,2420.45,2800.88,2264.94
2000,2438.66,2437.15,2826.91,2168.56,2057.13,2330.91,2250.64,2870.00,2665.33,2517.86,2266.59,2624.68,2282.36
2001,2471.95,2518.90,2918.20,2140.07,2126.41,2356.21,2260.34,2932.95,2736.84,2436.87,2214.15,2733.55,2375.67
2002,2537.29,2618.68,3019.35,2098.62,2178.68,2374.01,2264.07,3285.06,3031.08,2230.37,2051.22,3019.73,2504.50
2003,2595.82,2436.86,2832.25,2407.34,2046.21,2326.56,2330.01,3611.44,3226.56,2446.65,2237.10,3061.48,2374.20
2004,2643.98,2643.09,3050.89,2329.76,2177.51,2371.20,2342.96,3528.82,3187.25,2423.97,2231.56,3124.30,2535.26
2005,2444.46,2373.77,2784.44,2208.26,2003.05,2310.62,2255.79,3269.37,2911.59,2276.45,2079.07,2803.74,2269.32
2006,2372.80,2201.89,2604.16,2260.45,1875.30,2266.42,2243.43,3025.21,2633.61,2504.27,2258.18,2569.79,2082.70
2007,2604.30,2369.01,2768.61,2565.18,1990.52,2308.46,2368.07,3376.73,3085.01,2748.08,2523.61,2895.29,2283.97
2008,2589.96,2364.06,2799.30,2243.64,1989.87,2307.95,2263.52,3826.05,3319.37,2477.90,2228.17,3093.51,2317.20
2009,2469.86,2545.75,2917.40,2065.30,2143.00,2361.20,2239.87,3019.52,2853.22,2301.72,2082.35,2817.69,2417.12
2010,2635.87,2369.30,2782.38,2596.01,1969.60,2298.79,2371.75,3828.17,3264.28,2575.81,2381.00,3113.39,2310.65
2011,2595.32,2333.03,2727.32,2755.86,1979.45,2303.05,2428.00,3208.20,2889.09,2898.00,2617.62,2762.57,2236.56
2012,2243.07,2267.87,2685.08,2207.18,1940.75,2292.06,2245.91,2374.87,2228.20,2341.09,2145.06,2218.89,2066.01
2013,2256.41,2210.29,2608.22,2114.35,1900.70,2276.26,2199.72,2595.57,2419.84,2323.09,2111.61,2329.36,2050.39
2014,2474.64,2560.30,2967.03,2039.69,2145.91,2362.80,2234.56,3104.58,2902.14,2245.64,2045.45,2845.63,2424.34
2015,2268.41,2280.03,2663.70,1968.09,1935.95,2287.58,2162.51,2831.75,2626.12,2057.24,1898.64,2550.20,2142.70
2016,2296.83,2249.97,2640.65,2187.71,1928.62,2285.08,2229.24,2667.73,2501.18,2318.48,2113.30,2419.30,2104.65
2017,2396.69,2273.63,2679.65,2253.20,1959.70,2297.39,2251.56,2876.55,2608.28,2580.54,2332.16,2493.88,2151.05
2018,2557.86,2440.38,2825.27,2148.28,2040.18,2322.89,2232.47,3548.27,3198.63,2422.46,2204.80,3056.29,2372.41
2019,2581.67,2492.84,2863.85,2062.41,2085.27,2338.83,2224.22,3593.57,3356.03,2332.48,2127.29,3160.42,2446.21
2020,2564.17,2413.33,2797.69,2169.78,2058.39,2329.70,2249.20,3454.70,3209.52,2506.77,2257.37,2970.96,2369.00
