Variable:,pr
,Laos,Attapu,Bokeo,Champasak,Houaphan,Khammouan,Louangphabang,Louang-Namtha,Oudomxai,Phongsali,Salavan,Savannakhet,Xaignabouli,Xekong,"Vientiane capital",Bolikhamxai,Vientiane,Xiangkhouang
1923,1654.10,2037.86,1437.01,1983.77,1747.27,1872.26,1538.32,1411.59,1468.52,1451.32,1838.81,1750.09,1404.08,1948.10,1448.65,1675.40,1475.59,1598.85
1924,1659.87,1856.91,1285.17,1881.75,1787.51,2043.70,1437.58,1294.11,1324.52,1531.02,1941.46,1868.90,1250.26,1937.15,1644.50,1875.14,1492.37,1647.59
1925,1541.35,1845.42,1500.47,1912.57,1632.89,1714.79,1415.95,1516.85,1434.37,1608.91,1706.66,1616.87,1179.36,1735.63,1262.07,1474.46,1262.24,1435.66
1926,1622.28,1928.99,1300.30,1935.97,1800.00,1867.59,1503.31,1266.08,1359.88,1446.83,1801.78,1718.63,1321.89,1875.82,1516.76,1702.52,1485.33,1611.73
1927,1799.33,1835.46,1651.96,1782.30,1891.94,2116.13,1652.48,1582.38,1601.64,1587.57,2032.61,1949.88,1563.61,2060.20,1713.94,1979.63,1686.58,1828.11
1928,1643.67,1505.34,1387.80,1575.49,1824.61,2022.06,1544.27,1389.73,1432.90,1536.47,1714.67,1736.12,1335.77,1686.60,1615.98,1962.73,1558.90,1774.46
1929,1675.19,1890.97,1429.23,1704.61,1822.36,1907.36,1561.78,1427.38,1452.19,1653.74,1887.79,1783.08,1366.99,2044.90,1555.06,1753.82,1525.18,1677.87
1930,1535.27,1820.16,1411.07,1738.24,1660.16,1705.41,1435.51,1337.34,1372.06,1371.49,1716.89,1603.95,1293.70,1815.96,1411.84,1558.94,1380.71,1525.03
1931,1494.55,1756.30,1096.47,1794.19,1655.51,1864.10,1324.58,1099.24,1172.23,1254.12,1752.31,1691.77,1106.23,1782.23,1339.83,1662.77,1307.60,1512.33
1932,1671.60,2094.90,1281.98,1907.47,1754.02,1974.73,1478.37,1341.68,1367.43,1622.94,2024.59,1897.84,1239.73,2154.97,1508.36,1735.47,1425.66,1603.53
1933,1754.56,2226.96,1515.70,1971.98,1732.36,2094.43,1515.41,1435.97,1448.64,1463.95,2271.44,2078.18,1374.51,2397.23,1488.29,1800.74,1490.29,1661.98
1934,1910.35,2136.83,1652.62,2223.73,1891.41,2502.63,1633.53,1575.74,1570.45,1502.09,2276.30,2248.68,1456.31,2189.18,1742.85,2190.79,1668.86,1870.69
1935,1769.76,2110.76,1508.80,1981.26,1765.64,2094.89,1572.77,1439.37,1481.85,1433.97,2092.40,1995.13,1466.52,2160.31,1760.39,1908.04,1657.66,1747.17
1936,1498.65,1581.12,1219.10,1662.46,1747.47,1823.11,1363.24,1189.20,1230.24,1335.99,1627.14,1594.78,1129.48,1621.20,1463.77,1716.85,1366.82,1582.35
1937,1620.82,1597.46,1487.64,1647.21,1783.24,1976.35,1491.53,1371.71,1388.94,1356.25,1727.62,1719.78,1348.37,1705.94,1625.34,1891.62,1552.53,1720.03
1938,1736.79,1727.56,1683.98,1800.84,1815.24,1986.89,1672.25,1594.53,1616.37,1497.62,1779.03,1753.06,1577.05,1779.57,1769.79,1897.78,1724.43,1795.20
1939,1670.83,1845.38,1528.20,1800.46,1797.42,1978.50,1521.45,1471.15,1447.41,1465.75,1997.05,1901.86,1340.94,1984.81,1486.99,1707.35,1447.85,1635.71
1940,1553.86,1711.41,1226.59,1702.96,1736.37,1917.66,1379.12,1187.12,1249.31,1343.40,1889.11,1800.77,1160.33,1938.83,1332.94,1728.82,1304.90,1594.11
1941,1738.43,1872.18,1505.59,1901.70,1850.53,2064.50,1648.85,1467.53,1543.19,1542.96,1892.54,1830.57,1453.47,1895.83,1531.84,1962.73,1543.55,1796.32
1942,1818.78,1863.94,1837.63,1868.64,1769.97,2025.24,1750.89,1676.16,1718.69,1511.86,1869.69,1836.71,1804.66,1872.63,1916.91,1960.09,1873.64,1835.35
1943,1647.02,1842.42,1492.67,1677.69,1740.81,1853.26,1587.32,1455.98,1507.75,1496.77,1717.96,1642.14,1444.40,1854.60,1658.53,1776.72,1587.16,1703.32
1944,1596.64,1966.20,1322.22,1686.24,1758.61,1859.92,1466.01,1255.46,1358.39,1422.51,1849.04,1730.77,1297.62,2033.96,1401.54,1719.36,1394.21,1588.61
1945,1881.21,2260.73,1496.01,2113.22,1851.27,2400.31,1591.28,1426.59,1486.24,1508.04,2385.81,2297.58,1433.84,2443.48,1720.18,2055.87,1662.40,1809.66
1946,1563.46,1835.66,1248.43,1835.30,1752.17,1854.78,1400.29,1250.75,1285.57,1426.81,1791.86,1709.83,1196.71,1858.25,1407.85,1678.13,1355.72,1556.18
1947,1613.15,1706.15,1261.96,1809.75,1723.82,2025.83,1466.82,1195.63,1324.59,1346.70,1835.63,1810.42,1294.82,1790.30,1512.36,1860.44,1477.85,1663.60
1948,1785.29,1895.33,1528.45,2054.88,1806.02,2225.43,1596.86,1415.61,1492.83,1460.45,1958.87,1931.70,1494.81,1895.96,1746.20,2104.76,1681.88,1854.89
1949,2042.11,2354.69,1605.50,2179.23,1893.93,2713.13,1682.81,1509.27,1580.37,1443.31,2828.68,2692.25,1551.79,2797.73,1815.09,2279.04,1761.68,1972.54
1950,1748.56,2049.76,1518.24,1998.65,1770.50,2118.51,1552.73,1404.91,1461.88,1396.30,2035.56,1952.93,1447.64,2101.51,1643.46,1927.05,1601.37,1736.84
1951,1888.51,2165.93,1612.09,2061.06,1850.62,2294.96,1738.38,1528.45,1601.32,1480.51,2209.87,2124.44,1572.88,2277.29,1772.41,2083.55,1754.54,1919.85
1952,1873.36,2151.93,1552.91,2037.15,1936.18,2225.99,1723.95,1502.30,1581.15,1540.84,2161.30,2031.68,1526.07,2263.27,1775.05,2077.36,1751.35,1942.66
1953,1758.40,1836.06,1628.33,1794.06,1790.42,2169.76,1619.43,1476.62,1531.28,1418.60,1975.90,1927.79,1549.94,2003.99,1697.44,1961.25,1653.20,1786.46
1954,1553.22,1700.31,1332.51,1653.11,1613.20,1894.87,1368.85,1277.66,1300.47,1324.41,1776.94,1721.69,1301.21,1807.52,1516.61,1749.89,1439.11,1573.26
1955,1604.29,1721.84,1594.68,1677.69,1706.30,1792.40,1584.86,1521.09,1556.04,1482.60,1681.22,1578.61,1396.72,1788.06,1468.58,1703.56,1455.28,1596.76
1956,1720.04,1902.38,1491.02,1959.01,1797.47,2148.75,1559.59,1385.22,1467.08,1340.95,1883.83,1834.40,1480.42,1900.66,1598.72,1986.68,1576.71,1750.73
1957,1477.25,1753.82,1281.10,1685.76,1459.79,1815.09,1325.38,1221.04,1261.21,1321.38,1696.38,1624.02,1190.93,1799.11,1354.72,1625.45,1300.69,1417.72
1958,1520.75,1681.35,1314.18,1689.51,1600.75,1849.94,1372.85,1269.32,1285.13,1345.71,1742.73,1685.07,1186.58,1778.36,1385.78,1691.90,1331.96,1548.95
1959,1574.95,1655.06,1491.07,1632.59,1626.65,1774.39,1534.16,1464.61,1487.61,1507.96,1618.38,1533.27,1380.54,1710.08,1575.97,1724.45,1492.09,1609.08
1960,1737.43,2186.06,1453.66,2018.25,1751.40,2170.43,1496.09,1348.77,1385.61,1427.64,2177.25,2022.96,1300.76,2309.79,1495.61,1895.20,1459.33,1687.57
1961,1990.90,2416.96,1565.83,2375.09,1868.96,2567.66,1667.58,1453.69,1530.61,1523.34,2486.84,2370.45,1585.97,2523.99,1845.92,2278.78,1793.12,1934.93
1962,1717.98,2191.33,1236.91,2205.93,1560.43,2324.63,1377.59,1182.25,1255.67,1243.13,2268.18,2174.60,1259.69,2254.48,1544.12,1949.24,1461.36,1637.61
1963,1898.75,2183.73,1589.42,2004.82,1922.03,2355.88,1699.45,1510.89,1596.09,1554.87,2306.32,2230.16,1499.81,2337.73,1752.53,2060.48,1703.63,1887.18
1964,1916.03,2285.69,1524.38,2074.96,1933.60,2314.97,1704.52,1494.26,1585.57,1560.01,2362.44,2235.56,1501.14,2465.86,1751.20,2084.49,1717.99,1935.76
1965,1658.52,1782.66,1419.90,1774.18,1741.34,1969.35,1556.15,1431.63,1458.06,1479.77,1793.88,1704.61,1344.66,1850.11,1555.99,1916.55,1533.12,1751.19
1966,1885.53,2377.54,1435.78,2230.58,1808.58,2442.53,1586.70,1447.79,1480.68,1565.47,2508.92,2361.54,1328.87,2525.18,1614.62,2039.93,1533.00,1739.33
1967,1593.45,1787.80,1449.89,1724.85,1573.58,1916.54,1430.63,1383.81,1400.00,1377.50,1823.67,1747.05,1322.96,1868.62,1489.48,1776.25,1450.18,1583.89
1968,1621.97,1758.44,1450.55,1754.81,1731.02,1876.79,1488.52,1473.01,1443.35,1519.17,1781.09,1727.18,1325.69,1794.29,1528.36,1755.49,1457.70,1648.74
1969,1653.95,1816.37,1420.28,1832.76,1603.70,2103.44,1476.16,1321.65,1390.27,1257.95,1871.55,1851.15,1359.95,1861.24,1600.41,1940.43,1552.46,1736.43
1970,1896.16,1935.13,1734.47,1929.26,1862.68,2289.37,1765.65,1558.52,1645.18,1561.52,1999.56,1943.59,1750.21,2008.79,1987.01,2250.14,1923.68,2008.43
1971,1889.85,1929.87,1747.52,1944.36,2095.63,2328.53,1741.48,1644.30,1674.93,1803.82,2156.20,2106.15,1499.64,2110.71,1620.28,2051.17,1589.47,1834.59
1972,1856.47,2507.46,1391.20,2331.88,1760.17,2478.47,1468.41,1381.64,1403.33,1483.24,2592.61,2453.63,1248.73,2648.18,1357.02,1988.24,1353.86,1658.04
1973,1586.37,1459.02,1613.44,1478.00,1912.57,1661.41,1628.36,1543.30,1573.34,1638.78,1473.77,1407.43,1444.64,1548.98,1552.23,1663.97,1545.55,1705.16
1974,1929.94,2746.49,1324.09,2399.24,1577.64,2790.79,1401.57,1250.87,1305.76,1254.31,2906.24,2748.56,1324.67,2989.91,1477.40,2186.22,1464.65,1698.64
1975,1893.29,2192.68,1598.25,2005.81,1872.29,2385.40,1646.44,1432.25,1518.51,1449.47,2309.71,2182.46,1584.52,2384.38,1834.08,2156.50,1743.97,1908.58
1976,1696.59,1917.65,1472.58,1888.67,1686.93,1955.95,1603.16,1489.85,1525.57,1537.36,1911.34,1808.10,1412.35,1941.31,1579.05,1796.22,1571.64,1698.02
1977,1576.52,1719.12,1564.27,1640.21,1618.57,1821.34,1458.00,1495.53,1484.05,1406.49,1840.41,1778.16,1311.98,1856.20,1359.21,1580.86,1352.45,1550.65
1978,1986.06,2141.55,1570.00,2221.00,2165.84,2454.54,1831.15,1456.43,1615.24,1650.66,2260.54,2218.74,1589.88,2182.10,1867.83,2257.51,1824.86,2057.03
1979,1519.33,1751.41,1245.02,1876.40,1663.68,1796.66,1364.87,1223.03,1262.06,1299.11,1730.84,1695.86,1135.12,1699.20,1408.19,1631.68,1338.27,1551.55
1980,1826.20,2065.43,1456.77,1966.31,1838.50,2178.85,1667.76,1383.21,1502.31,1284.97,2080.71,1954.71,1568.77,2181.92,1939.92,2131.18,1844.96,2000.03
1981,1844.71,1967.28,1634.19,1917.73,1919.37,2209.07,1730.92,1591.17,1639.13,1626.94,2076.90,1984.92,1499.69,2109.43,1665.10,2063.03,1662.55,1912.65
1982,1737.17,2213.30,1245.36,2041.27,1762.42,2260.95,1430.96,1270.22,1312.02,1431.14,2317.06,2179.05,1173.93,2401.51,1451.92,1934.06,1371.49,1663.59
1983,1718.55,2069.25,1474.32,1894.80,1673.87,2093.11,1507.71,1481.84,1456.03,1493.32,2227.63,2114.85,1291.00,2300.44,1471.70,1725.00,1420.26,1605.32
1984,1878.79,2430.98,1375.28,2180.38,1783.36,2436.77,1524.61,1372.59,1427.34,1405.18,2599.68,2461.11,1342.25,2643.19,1589.34,2016.43,1549.82,1782.14
1985,1729.69,2127.01,1569.50,1938.58,1723.22,2055.52,1539.83,1543.53,1537.37,1528.64,2156.18,2020.49,1329.17,2239.84,1386.82,1766.14,1394.54,1631.27
1986,1948.36,2436.71,1319.35,2206.51,2056.67,2589.45,1567.86,1293.84,1390.15,1521.36,2700.20,2545.04,1295.44,2764.53,1544.88,2206.63,1510.84,1922.00
1987,1601.71,1830.37,1263.52,1870.32,1641.53,2038.45,1377.25,1202.52,1244.50,1299.06,1860.01,1810.62,1253.49,1839.82,1523.41,1883.50,1459.93,1650.13
1988,1661.55,1880.92,1519.18,1814.91,1582.47,1932.22,1547.81,1372.09,1462.69,1374.35,1901.53,1807.99,1482.81,2017.57,1597.29,1777.18,1590.05,1655.14
1989,1624.63,1800.51,1325.03,1843.51,1708.94,2047.31,1412.07,1262.17,1306.23,1269.94,1903.79,1843.00,1257.89,1928.52,1501.51,1893.81,1452.67,1702.87
1990,1993.36,2389.91,1492.03,2211.25,1848.18,2700.64,1656.11,1452.26,1513.67,1550.24,2603.30,2491.22,1460.17,2666.41,1750.53,2321.93,1711.31,1950.30
1991,1637.80,1881.00,1347.39,1889.51,1632.59,2050.74,1395.72,1400.97,1367.71,1566.32,2053.39,2017.53,1174.37,1978.60,1390.78,1717.99,1325.82,1523.92
1992,1648.06,1886.25,1254.27,1758.99,1585.67,2228.91,1361.07,1154.79,1243.22,1184.79,2237.92,2154.91,1258.35,2193.67,1422.20,1880.04,1406.54,1622.36
1993,1364.14,1531.55,1114.63,1462.08,1501.18,1668.10,1216.76,1170.39,1170.03,1249.17,1575.88,1485.87,1005.99,1640.08,1199.80,1563.29,1148.72,1390.67
1994,1894.47,2074.26,1650.72,2046.63,2043.02,2258.70,1732.16,1529.61,1611.66,1576.55,2096.11,2041.78,1609.93,2113.62,1786.32,2117.68,1753.58,1986.04
1995,1753.14,1830.07,1583.82,1688.92,1887.64,1977.64,1714.72,1495.43,1594.54,1516.86,1826.83,1739.40,1547.73,1956.11,1780.47,1969.38,1742.59,1900.43
1996,1952.37,2506.25,1422.75,2184.92,1861.98,2455.97,1574.15,1372.21,1438.94,1572.92,2748.98,2542.44,1431.82,2859.53,1641.34,2080.70,1635.47,1870.19
1997,1712.56,1920.22,1398.05,1933.08,1800.19,2126.07,1524.91,1354.20,1406.14,1455.88,1992.58,1914.41,1318.35,2025.26,1506.46,1946.46,1515.69,1773.14
1998,1611.09,2076.48,1352.71,1707.84,1605.36,1837.89,1429.83,1318.37,1373.41,1348.72,2105.32,1931.22,1274.10,2271.17,1437.37,1590.65,1406.15,1524.70
1999,1986.93,2495.49,1455.02,2202.46,1909.30,2437.24,1698.19,1466.57,1533.90,1617.49,2627.41,2432.27,1533.13,2756.83,1824.99,2138.75,1760.88,1937.82
2000,1801.88,1964.13,1523.11,2092.23,1834.50,2156.72,1647.39,1470.71,1529.01,1539.29,2013.57,1974.73,1443.50,1991.87,1798.87,1983.44,1695.71,1868.00
2001,2046.59,2538.55,1712.07,2308.52,1964.94,2520.47,1788.62,1675.76,1724.90,1703.55,2589.42,2427.46,1555.35,2647.61,1800.29,2181.69,1754.69,1959.09
2002,2087.92,2287.31,1698.78,2227.88,2037.59,2720.40,1844.59,1614.05,1693.22,1662.79,2526.07,2489.95,1617.26,2470.36,1964.00,2409.79,1874.39,2140.42
2003,1576.33,1745.16,1215.54,1793.20,1659.61,1949.98,1433.72,1215.25,1287.10,1275.31,1748.24,1710.18,1250.26,1768.80,1562.00,1844.97,1490.44,1655.07
2004,1712.46,1786.17,1441.56,1926.10,1711.34,2170.40,1524.20,1384.12,1441.30,1415.51,1936.97,1901.57,1392.16,1851.32,1649.90,2013.22,1593.08,1754.48
2005,1866.12,2113.77,1563.48,2030.27,1915.06,2379.09,1618.42,1468.08,1531.77,1484.07,2239.74,2135.92,1453.05,2269.31,1650.39,2166.72,1638.12,1917.71
2006,1876.83,2346.31,1580.71,2228.87,1756.11,2370.48,1556.44,1426.98,1501.29,1440.94,2473.41,2360.37,1536.32,2515.68,1509.02,1978.10,1539.81,1760.15
2007,1816.67,2319.81,1454.53,2133.57,1712.91,2245.18,1527.51,1432.12,1463.53,1504.74,2352.81,2233.74,1362.00,2448.51,1576.00,1922.41,1527.18,1730.37
2008,2072.55,2163.74,1626.86,2010.85,2209.07,2625.64,1886.24,1576.76,1695.10,1702.82,2519.20,2428.95,1583.62,2476.05,1896.38,2403.95,1875.61,2198.63
2009,1625.27,1839.84,1366.58,1838.59,1659.71,1906.70,1486.85,1318.76,1373.22,1332.01,1797.44,1709.88,1376.50,1863.01,1586.14,1821.43,1567.03,1721.30
2010,1717.65,1800.10,1392.50,1755.98,1683.90,2172.53,1571.64,1340.64,1431.36,1355.69,2052.43,1964.11,1382.63,2074.76,1663.21,2011.67,1614.74,1786.12
2011,2131.94,2328.71,1746.55,2251.48,2111.85,2592.42,1967.78,1641.10,1808.44,1547.39,2380.91,2331.81,1885.83,2459.71,2266.89,2416.89,2173.58,2250.63
2012,1826.99,2465.34,1459.50,1898.92,2005.00,2057.97,1598.75,1404.75,1489.03,1397.39,2451.20,2145.18,1350.59,2777.52,1477.35,1923.58,1506.28,1854.26
2013,2008.58,2398.20,1674.30,2031.83,1899.52,2490.25,1716.59,1601.64,1639.20,1581.38,2890.88,2670.77,1530.26,3036.74,1680.13,1952.69,1668.57,1864.96
2014,1513.09,1730.16,1351.17,1749.43,1627.08,1781.39,1404.48,1300.53,1334.28,1351.34,1618.29,1587.33,1251.25,1694.71,1366.18,1616.92,1348.88,1518.76
2015,1506.68,1569.49,1385.51,1431.58,1744.29,1654.59,1496.30,1407.79,1412.79,1535.81,1548.06,1490.47,1199.89,1724.10,1322.94,1622.44,1347.60,1608.01
2016,1841.43,1977.16,1745.68,1589.31,1990.03,1981.18,1842.31,1650.49,1714.39,1590.86,1989.78,1926.10,1628.72,2210.57,1728.00,1924.47,1794.03,2013.95
2017,2018.56,2273.57,1696.64,2186.03,1915.72,2574.86,1757.21,1586.77,1655.54,1576.68,2526.75,2453.92,1671.90,2569.45,1847.43,2176.20,1814.84,1973.78
2018,1804.08,1913.61,1638.72,1884.28,1928.28,2117.98,1718.12,1620.03,1645.87,1690.78,1985.18,1916.61,1437.01,2008.87,1593.78,1956.45,1598.81,1851.13
2019,1418.13,1834.46,908.58,1823.04,1475.77,1941.29,1119.47,866.66,946.39,953.54,1817.09,1746.37,978.60,1889.81,1231.13,1730.88,1183.54,1458.17
2020,1511.88,1989.70,1137.45,1723.96,1449.99,1906.50,1217.45,1069.27,1126.13,1068.99,2090.58,1926.68,1145.45,2273.49,1342.22,1651.52,1287.68,1450.00
