Variable:,pr
,"Republic of North Macedonia",Berovo,Bitola,Brod,Debar,Delcevo,"Demir Hisar",Gevgelija,Gostivar,Kavadarci,Kicevo,Kocani,Kratovo,"Kriva Palanka",Krusevo,Kumanovo,Negotino,Ohrid,Prilep,Probistip,Radovic,Resen,Skopje,Stip,Struga,Strumica,"Sveti Nikole",Tetovo,Valandovo,Veles,Vinica
2007,698.29,684.74,673.23,750.48,868.71,695.67,709.34,602.71,878.10,624.66,825.40,662.93,738.51,742.97,692.60,692.22,613.23,824.72,655.55,656.21,631.11,760.85,714.05,597.00,826.17,605.41,604.95,826.99,596.81,624.21,672.25
2008,570.08,499.60,567.58,640.68,789.12,505.57,610.76,458.59,795.74,494.49,735.61,490.32,551.14,551.70,592.00,543.99,469.79,740.24,541.23,490.24,469.66,669.78,593.60,449.01,741.73,446.22,474.20,718.19,451.68,503.95,492.29
2009,765.21,698.91,772.42,838.35,1029.30,706.09,818.92,648.59,1023.78,681.91,959.75,671.71,742.45,745.35,795.30,712.14,651.24,985.37,733.53,666.09,649.01,905.80,769.57,612.46,983.85,636.66,631.88,918.53,641.09,665.14,686.47
2010,763.77,691.24,756.22,845.11,1030.84,696.71,814.63,630.01,1026.86,667.46,961.44,669.12,742.80,743.60,790.80,733.01,639.18,980.29,725.11,667.00,645.68,887.30,788.97,615.51,980.98,623.57,643.73,942.61,623.20,678.54,680.08
2011,458.70,435.75,451.56,506.08,615.27,439.14,480.08,391.78,615.95,399.73,575.27,408.68,446.79,449.02,464.90,424.47,389.67,585.10,425.80,401.74,396.38,534.46,464.43,369.80,586.01,394.17,381.40,553.07,388.96,400.80,425.90
2012,616.11,578.17,617.42,672.60,812.78,580.76,653.30,533.65,812.62,553.28,762.05,543.69,584.48,586.13,635.80,568.14,531.49,776.02,589.95,535.40,533.16,716.24,621.01,501.30,775.51,530.00,518.04,732.96,529.05,544.04,566.72
2013,569.47,510.80,544.49,643.70,803.22,517.42,597.73,454.45,816.02,477.88,744.99,495.46,560.90,561.32,576.80,554.92,460.44,739.74,523.72,493.13,471.71,650.60,599.89,447.22,743.91,456.15,470.40,738.27,450.37,499.11,501.42
2014,843.63,838.65,826.67,897.36,1068.81,846.15,858.42,747.70,1086.52,763.40,1008.23,784.29,857.41,862.86,837.70,802.50,745.15,1005.05,794.93,769.60,759.81,941.61,846.70,705.95,1003.13,752.18,712.93,1000.79,741.68,737.88,819.33
2015,701.17,709.09,683.49,748.19,870.36,713.63,713.32,626.20,880.26,637.98,826.28,659.50,713.70,718.36,697.10,666.91,626.56,826.08,662.16,646.82,642.59,770.05,701.73,597.92,826.57,631.94,600.71,813.29,621.15,619.58,693.18
2016,750.80,690.41,738.10,828.24,974.84,702.04,780.23,627.93,999.37,670.69,923.75,681.44,767.41,770.19,761.70,737.18,643.91,907.79,717.03,679.77,647.67,838.27,776.30,618.56,909.64,614.09,640.95,914.13,618.83,671.77,680.24
2017,661.48,668.34,648.73,703.34,826.98,672.53,673.91,599.32,833.59,604.74,782.46,616.85,664.40,669.39,657.70,614.97,590.60,787.50,626.78,602.75,602.62,735.20,656.50,557.27,787.07,607.42,561.11,762.75,596.12,580.41,652.21
2018,623.38,625.77,610.69,669.74,781.93,629.86,630.71,563.95,793.01,565.43,741.67,577.10,632.89,637.05,614.90,590.97,552.25,739.84,585.03,565.23,561.42,691.69,625.14,516.31,741.05,571.44,524.08,732.45,561.17,544.76,609.89
2019,672.05,587.75,679.30,749.15,921.00,597.98,720.90,544.83,925.57,587.50,859.44,582.06,655.97,657.50,699.40,638.92,555.94,872.87,642.41,580.96,553.74,803.88,690.47,529.49,871.02,529.71,557.04,828.77,536.96,591.04,579.50
2020,651.83,614.38,647.92,713.84,844.75,622.23,677.22,561.36,856.39,586.86,798.30,588.87,652.89,656.08,659.80,620.05,565.00,798.08,620.85,582.25,566.49,741.63,662.03,532.25,798.78,552.88,548.67,778.81,554.61,575.25,602.70
