Variable:,pr
,Lebanon,Beirut,Bekaa,"Mount Lebanon",Nabatiye,North,South
1988,847.80,790.87,811.85,871.17,870.68,900.67,868.56
1989,370.10,367.05,339.01,385.19,427.74,371.19,433.89
1990,415.89,409.63,391.47,430.14,478.44,402.51,478.64
1991,863.08,849.50,799.50,893.84,988.13,860.65,998.90
1992,839.57,843.81,788.16,874.82,965.78,800.25,981.27
1993,475.07,470.12,465.45,483.40,499.91,473.44,506.87
1994,900.06,882.31,848.46,944.64,962.27,916.85,988.33
1995,442.30,438.70,428.67,466.98,427.32,460.18,450.43
1996,638.36,618.39,611.74,675.31,615.05,688.11,635.34
1997,618.45,622.82,581.63,641.29,696.46,606.66,703.06
1998,569.70,575.35,548.62,614.17,531.95,607.51,551.92
1999,351.82,349.89,330.43,377.53,352.96,371.34,361.60
2000,646.73,643.77,599.95,684.82,699.48,666.92,718.26
2001,645.48,635.52,616.08,673.91,658.68,672.60,672.67
2002,725.14,712.59,693.26,759.75,757.79,733.59,773.23
2003,910.28,916.59,873.38,965.82,942.87,920.87,955.85
2004,647.63,622.87,620.14,681.35,623.11,701.19,653.34
2005,595.67,577.51,571.69,619.11,617.06,613.98,628.52
2006,574.81,555.86,551.33,601.39,573.37,603.57,585.44
2007,544.21,541.49,525.08,575.41,531.43,571.64,549.75
2008,411.32,404.63,389.97,432.39,424.66,427.44,432.04
2009,627.82,606.06,592.55,663.07,596.58,698.15,638.21
2010,475.96,450.76,443.76,487.13,515.41,500.62,517.91
2011,716.53,690.89,683.42,749.25,704.62,767.26,731.53
2012,800.10,801.14,750.60,856.43,788.11,862.95,835.94
2013,643.51,609.72,630.76,660.03,660.65,652.50,658.69
2014,534.31,517.44,510.53,555.26,540.73,561.93,553.01
2015,653.07,639.44,611.83,690.31,676.70,685.54,700.82
2016,626.02,612.72,603.81,658.93,607.99,663.20,623.42
2017,360.59,338.13,349.15,379.70,297.39,427.51,317.11
2018,735.44,720.84,696.68,773.39,742.90,777.06,770.66
2019,796.09,786.16,758.90,849.60,766.01,854.10,798.07
2020,783.54,788.71,739.43,827.39,851.97,773.82,869.06
