Variable:,pr
,"Congo (Republic of the)",Bouenza,Brazzaville,Cuvette,Cuvette-Ouest,Kouilou,Lekoumou,Likouala,Niari,Plateaux,Point-Noire,Pool,Sangha
1936,1582.82,1181.99,1282.70,1619.77,1675.82,1083.53,1480.82,1740.23,1330.97,1779.25,1000.36,1459.32,1623.97
1937,1651.47,1500.36,1533.30,1655.36,1815.34,1359.01,1737.89,1541.85,1560.50,1946.80,1294.25,1687.30,1564.98
1938,1489.73,1207.17,1200.90,1471.90,1505.61,1113.96,1453.57,1684.68,1371.37,1507.08,1029.86,1319.90,1586.49
1939,1720.58,1461.38,1410.90,1790.46,1912.94,1482.09,1781.64,1615.53,1681.15,1982.86,1407.71,1610.69,1672.02
1940,1527.00,1178.89,1269.90,1615.08,1642.16,1172.58,1468.05,1556.44,1378.21,1685.76,1087.50,1410.57,1572.14
1941,1432.89,1117.76,1227.00,1461.12,1479.49,1081.56,1386.61,1567.41,1288.92,1624.47,998.24,1362.78,1380.44
1942,1495.28,1083.83,1255.10,1516.91,1593.83,906.02,1359.65,1697.26,1149.20,1616.93,837.71,1386.51,1616.41
1943,1458.05,1151.21,1166.70,1519.56,1554.89,1064.19,1376.22,1590.18,1292.99,1514.60,983.31,1295.26,1536.10
1944,1795.00,1774.89,1607.50,1708.72,1807.23,1811.39,1976.71,1713.02,1958.97,1899.36,1707.02,1779.30,1743.27
1945,1669.18,1566.02,1513.60,1588.42,1741.54,1487.75,1814.98,1615.78,1672.67,1853.06,1415.13,1662.79,1637.23
1946,1575.80,1315.52,1429.50,1581.79,1644.23,1177.30,1615.89,1603.98,1435.63,1782.25,1101.29,1583.75,1552.75
1947,1704.17,1502.98,1479.00,1669.05,1763.38,1580.49,1817.63,1615.46,1806.68,1959.75,1459.52,1676.39,1622.38
1948,1640.83,1365.65,1356.30,1565.69,1738.81,1203.01,1617.61,1778.16,1452.84,1722.12,1128.53,1531.55,1759.96
1949,1677.41,1483.53,1434.80,1607.68,1750.02,1477.41,1806.74,1605.30,1722.13,1898.01,1349.47,1635.67,1664.94
1950,1641.63,1540.47,1535.90,1533.61,1641.20,1629.63,1674.13,1678.88,1711.58,1729.77,1567.02,1626.79,1615.72
1951,1641.89,1375.44,1466.30,1683.99,1764.19,1229.99,1644.20,1581.29,1506.87,1941.94,1088.19,1623.58,1626.53
1952,1741.97,1475.89,1394.70,1740.38,1885.80,1488.03,1789.88,1739.90,1717.62,1827.53,1373.43,1552.36,1835.55
1953,1496.78,1090.84,1308.00,1519.04,1675.16,901.80,1452.68,1533.00,1280.64,1729.76,749.36,1445.71,1553.92
1954,1619.45,1209.42,1342.70,1702.72,1735.65,1320.65,1498.81,1688.31,1493.11,1777.88,1198.44,1465.95,1663.23
1955,1756.49,1511.36,1496.30,1726.00,1832.44,1517.30,1768.91,1826.89,1640.71,1892.97,1454.48,1646.88,1791.77
1956,1478.62,1033.50,1191.80,1498.07,1585.31,931.05,1239.56,1763.24,1167.06,1483.91,827.94,1269.69,1670.38
1957,1646.43,1449.99,1353.00,1623.83,1688.61,1569.38,1545.93,1792.74,1567.05,1609.14,1576.30,1449.10,1761.33
1958,1329.59,796.69,984.20,1454.91,1538.27,607.78,1082.17,1591.70,929.71,1393.79,507.39,1079.37,1496.17
1959,1800.12,1477.79,1424.30,1820.66,1958.16,1635.89,1817.46,1827.21,1780.38,1967.06,1558.89,1589.70,1794.68
1960,1726.80,1511.86,1431.90,1660.93,1790.69,1714.01,1734.81,1801.41,1734.32,1814.81,1664.58,1566.95,1743.40
1961,1802.55,1717.89,1751.90,1724.91,1767.49,1769.14,1958.11,1750.50,1905.37,2024.35,1636.70,1904.66,1646.45
1962,1772.54,1475.91,1494.10,1820.51,1923.70,1520.97,1821.01,1679.97,1714.66,2038.13,1451.88,1656.74,1772.41
1963,1780.60,1457.21,1437.20,1832.87,1999.18,1309.75,1753.45,1752.70,1599.87,1939.83,1311.99,1625.35,1907.84
1964,1667.66,1406.20,1427.20,1733.17,1826.95,1193.21,1682.12,1674.93,1502.20,1792.00,1178.19,1563.83,1735.79
1965,1579.59,1186.78,1341.50,1620.94,1650.27,1063.03,1540.01,1670.11,1373.35,1865.86,987.61,1508.19,1565.97
1966,1834.26,1721.63,1676.10,1793.86,1719.82,1684.44,1975.15,1898.92,1921.65,1988.62,1612.28,1823.92,1721.03
1967,1540.26,1261.58,1232.80,1629.47,1614.75,1265.21,1529.98,1549.59,1478.63,1712.16,1112.47,1387.58,1550.77
1968,1618.02,1204.18,1384.80,1699.93,1740.80,1253.21,1543.55,1644.63,1421.82,1862.12,1105.07,1527.09,1636.55
1969,1741.94,1343.90,1545.60,1829.24,1850.93,1350.96,1587.89,1798.04,1474.61,1994.73,1287.62,1663.89,1780.97
1970,1713.99,1521.11,1508.10,1700.35,1834.04,1607.35,1839.12,1596.37,1784.97,1937.85,1413.03,1680.74,1645.18
1971,1582.28,1223.02,1256.70,1628.13,1672.17,1090.63,1507.39,1742.95,1340.50,1677.37,1072.63,1400.52,1693.23
1972,1436.32,1201.74,1249.00,1417.76,1510.52,1092.09,1476.51,1473.44,1346.55,1600.22,1049.49,1371.80,1451.41
1973,1594.67,1422.91,1553.90,1540.21,1639.20,1245.49,1712.76,1553.95,1558.22,1822.34,1151.50,1667.48,1545.87
1974,1605.77,1247.51,1408.50,1681.59,1711.00,1149.57,1562.58,1597.33,1405.37,1841.88,1008.00,1553.20,1656.94
1975,1644.80,1547.88,1466.10,1577.24,1624.88,1480.03,1769.53,1709.44,1679.74,1783.24,1417.05,1627.13,1548.92
1976,1657.02,1281.10,1361.00,1711.14,1784.23,1389.57,1626.13,1677.40,1588.93,1863.53,1292.58,1537.06,1641.64
1977,1675.09,1458.40,1434.60,1612.13,1698.73,1368.12,1792.15,1775.26,1687.99,1831.90,1233.98,1612.78,1599.40
1978,1455.81,914.14,1083.40,1648.08,1614.59,817.52,1151.61,1685.62,1038.25,1576.74,748.49,1192.27,1611.94
1979,1603.58,1212.96,1405.90,1652.38,1675.19,1102.98,1580.37,1734.63,1396.91,1840.28,994.43,1559.69,1548.50
1980,1715.90,1434.53,1582.70,1709.89,1760.40,1281.79,1714.44,1816.93,1550.12,1851.12,1163.53,1678.81,1751.07
1981,1661.04,1435.23,1406.20,1688.82,1678.40,1417.41,1669.27,1733.61,1575.85,1764.78,1310.71,1579.81,1668.77
1982,1613.49,1150.88,1297.20,1750.01,1785.23,1038.84,1506.90,1653.34,1305.52,1888.51,881.05,1476.26,1676.63
1983,1406.84,1276.07,1365.10,1411.49,1408.05,1093.80,1395.19,1472.97,1163.20,1569.49,1091.10,1470.62,1392.27
1984,1661.10,1389.09,1420.40,1651.80,1896.57,1327.50,1715.47,1601.26,1605.65,1873.34,1302.67,1562.25,1663.10
1985,1753.20,1455.95,1576.90,1775.48,1883.41,1348.69,1752.48,1673.07,1646.55,1975.54,1180.34,1710.80,1832.24
1986,1576.26,1331.37,1366.30,1626.44,1690.70,1274.27,1597.52,1514.00,1474.67,1818.48,1165.43,1518.03,1573.12
1987,1561.15,1434.89,1410.40,1528.08,1616.98,1414.04,1576.88,1562.26,1493.91,1683.57,1339.17,1545.06,1567.76
1988,1698.05,1364.29,1450.10,1767.06,1876.36,1260.22,1624.21,1702.20,1551.37,1846.91,1127.37,1591.95,1775.45
1989,1612.33,1566.09,1524.90,1456.85,1575.76,1507.26,1825.31,1590.19,1673.28,1716.72,1421.40,1679.12,1591.10
1990,1704.15,1503.09,1529.30,1649.40,1732.03,1394.70,1880.93,1613.04,1700.75,1984.40,1297.82,1730.61,1671.28
1991,1534.18,1257.53,1302.40,1545.00,1608.37,1188.29,1535.19,1605.70,1455.88,1681.19,1116.44,1433.76,1541.71
1992,1503.14,1220.33,1279.50,1495.82,1604.89,1132.98,1503.17,1563.21,1377.86,1628.62,1037.64,1415.84,1557.92
1993,1542.92,1251.00,1353.00,1511.46,1635.88,1124.24,1424.63,1648.38,1326.43,1600.92,1022.20,1464.39,1710.78
1994,1663.31,1579.63,1598.20,1603.00,1660.64,1421.38,1814.84,1605.42,1669.05,1874.23,1347.08,1749.27,1591.51
1995,1588.79,1483.60,1464.00,1537.83,1621.19,1423.07,1760.61,1463.95,1638.84,1880.07,1318.57,1655.16,1480.67
1996,1503.50,1244.32,1315.50,1494.67,1664.22,1222.78,1546.69,1459.01,1423.10,1686.99,1139.24,1460.70,1515.05
1997,1665.10,1490.97,1593.40,1649.45,1742.60,1318.15,1760.42,1641.30,1574.95,1870.50,1243.07,1720.12,1609.82
1998,1597.53,1578.20,1604.00,1430.17,1602.26,1529.46,1836.97,1578.13,1756.46,1744.79,1416.25,1699.94,1443.73
1999,1853.79,1609.80,1651.30,1838.66,1944.98,1597.39,1878.71,1837.70,1733.68,2058.96,1526.89,1797.02,1883.58
2000,1634.63,1383.22,1410.30,1653.31,1660.90,1333.55,1661.83,1688.90,1558.37,1776.79,1239.25,1556.61,1643.43
2001,1510.21,1192.39,1312.30,1502.18,1591.77,1092.30,1404.32,1663.44,1281.35,1560.67,1045.45,1402.28,1642.44
2002,1707.73,1476.68,1645.80,1711.72,1789.93,1299.26,1817.32,1551.87,1589.47,2094.79,1211.10,1808.89,1657.33
2003,1561.50,1473.16,1471.30,1512.30,1627.97,1394.64,1700.47,1461.56,1604.46,1713.22,1322.81,1584.97,1541.74
2004,1494.88,1433.49,1448.50,1438.84,1478.98,1396.34,1601.47,1487.75,1504.28,1607.60,1341.68,1536.72,1443.61
2005,1477.80,1242.35,1323.60,1468.94,1514.65,1196.91,1477.46,1534.06,1369.10,1633.97,1122.05,1442.66,1481.53
2006,1618.68,1638.52,1567.30,1524.53,1615.35,1647.35,1802.92,1547.17,1718.04,1725.61,1579.92,1663.28,1548.04
2007,1649.28,1612.09,1529.00,1548.26,1682.01,1637.77,1847.91,1542.15,1802.73,1825.01,1543.46,1660.93,1568.53
2008,1767.41,1585.72,1597.90,1765.61,1815.88,1497.85,1791.52,1783.14,1668.53,1927.16,1457.81,1721.80,1779.22
2009,1673.95,1582.09,1569.20,1612.53,1648.22,1570.14,1817.13,1666.00,1723.91,1845.14,1494.95,1691.28,1583.54
2010,1648.66,1518.46,1470.00,1644.21,1719.76,1540.79,1785.40,1545.01,1691.66,1859.29,1447.17,1627.68,1578.64
2011,1639.78,1470.35,1510.20,1574.34,1688.79,1409.79,1704.08,1648.64,1606.83,1805.96,1311.64,1630.44,1626.90
2012,1606.10,1391.86,1426.80,1570.64,1691.64,1270.58,1631.24,1673.85,1557.40,1686.80,1182.69,1510.57,1653.08
2013,1585.78,1377.63,1442.90,1599.52,1679.64,1361.68,1601.39,1541.24,1566.00,1789.21,1249.82,1553.43,1554.38
2014,1508.93,1271.25,1249.60,1523.46,1580.32,1290.66,1536.44,1514.78,1538.11,1619.28,1164.82,1378.08,1535.78
2015,1493.10,1390.75,1420.30,1462.01,1484.08,1333.27,1616.57,1480.39,1479.51,1704.15,1262.27,1552.44,1372.79
2016,1723.72,1508.61,1525.20,1706.69,1792.14,1431.59,1742.42,1730.89,1611.73,1918.21,1357.26,1670.78,1747.14
2017,1753.12,1560.46,1662.50,1675.39,1819.95,1386.84,1892.11,1692.12,1682.39,2008.91,1298.43,1823.25,1730.27
2018,1616.82,1381.30,1476.90,1637.03,1652.21,1240.12,1628.21,1642.54,1456.12,1846.79,1165.67,1618.49,1598.46
2019,1790.74,1610.30,1558.30,1700.93,1838.22,1644.63,1921.03,1739.09,1872.43,1925.63,1529.28,1725.82,1825.54
2020,1723.34,1655.38,1762.40,1691.89,1710.92,1465.27,1922.25,1542.56,1707.60,2063.40,1372.13,1914.67,1606.27
