Variable:,pr
,Armenia,Aragatsotn,Ararat,Armavir,Gergharkunik,Kotayk,Lori,Shirak,Syunik,Tavush,"Vayots Dzor",Yerevan
1933,500.97,452.60,337.78,383.84,522.96,477.23,621.72,576.39,513.19,540.38,405.05,404.27
1934,461.38,414.91,294.19,346.22,465.74,418.82,579.61,554.25,488.75,487.47,391.41,353.59
1935,495.48,424.17,329.25,355.87,536.12,445.92,580.69,511.75,556.16,540.07,440.21,373.62
1936,747.30,658.88,514.97,562.32,810.70,729.87,911.96,792.79,741.28,853.06,627.16,616.11
1937,583.46,514.94,382.94,424.22,615.17,544.80,729.09,648.77,594.43,664.70,483.73,453.92
1938,511.50,483.27,329.29,402.60,538.16,483.51,662.20,623.53,472.04,575.48,383.88,408.59
1939,619.91,538.59,413.41,452.46,660.02,583.48,746.65,689.99,650.61,681.20,535.82,487.59
1940,590.50,544.99,399.95,462.49,613.56,559.28,731.38,673.61,592.28,651.43,480.29,474.31
1941,454.80,397.46,293.02,335.11,463.84,401.62,569.18,538.84,482.57,501.41,385.89,333.30
1942,591.52,527.66,408.12,448.42,638.24,557.16,715.00,628.25,598.22,680.81,488.86,467.17
1943,501.08,432.40,334.01,364.32,526.63,455.32,602.89,547.89,547.31,553.83,429.15,384.72
1944,519.58,462.75,352.91,392.70,533.29,483.43,642.39,605.69,528.58,579.49,436.83,406.92
1945,479.13,390.21,311.76,324.85,522.20,429.94,562.11,499.06,546.37,523.52,433.95,357.56
1946,641.26,564.23,429.92,479.63,689.89,601.35,774.45,675.32,673.27,722.84,540.17,506.56
1947,608.50,541.31,440.63,456.47,673.80,597.58,694.25,634.88,624.77,669.28,526.36,508.62
1948,508.79,447.01,330.59,379.10,543.88,468.43,624.39,571.83,523.59,567.84,424.74,395.72
1949,442.40,371.71,281.64,313.08,478.60,401.88,549.82,497.54,448.75,516.34,370.54,328.07
1950,510.32,458.46,348.25,393.64,544.69,479.96,619.49,569.53,520.32,552.98,432.22,409.58
1951,639.63,588.25,420.64,496.57,656.16,604.40,812.93,785.91,624.09,692.66,513.32,508.96
1952,402.77,334.06,252.94,284.63,418.57,353.85,513.83,471.71,423.95,456.10,340.88,293.44
1953,545.81,483.97,376.94,412.21,569.49,508.57,649.56,615.59,585.93,581.27,468.52,433.47
1954,512.50,465.84,330.91,392.42,536.87,485.05,642.46,568.16,517.59,581.93,413.92,404.15
1955,612.54,524.54,379.81,437.47,669.12,563.92,769.53,655.98,626.90,715.83,502.37,461.06
1956,570.13,500.11,393.00,423.46,619.26,538.26,678.04,610.52,592.52,624.06,495.79,451.16
1957,498.30,415.06,342.52,352.29,546.10,461.16,536.13,488.88,611.74,505.63,462.41,391.39
1958,525.08,426.34,342.72,362.91,586.20,471.82,599.95,562.40,592.28,566.55,472.97,399.85
1959,632.28,574.86,402.24,478.84,679.28,609.91,826.25,753.10,562.30,745.62,483.64,502.85
1960,503.46,445.74,342.68,379.37,559.03,487.01,613.78,550.75,468.38,591.83,422.48,407.76
1961,333.39,265.92,194.43,220.78,356.96,281.97,424.46,409.85,348.47,388.41,276.16,230.11
1962,506.49,413.26,321.94,340.27,552.65,450.65,564.69,541.00,619.25,528.98,445.78,374.00
1963,809.62,724.48,552.97,607.52,840.78,783.56,979.75,881.90,861.59,880.60,677.81,659.54
1964,455.50,384.21,279.79,320.17,487.38,412.63,568.09,530.90,479.57,519.85,360.65,334.47
1965,585.76,498.63,381.29,416.91,643.36,551.10,676.18,594.71,664.64,642.82,493.65,455.88
1966,543.29,446.89,377.77,374.78,588.89,503.17,598.12,521.67,663.56,561.83,515.35,427.83
1967,598.99,533.53,399.83,453.46,633.62,560.60,705.33,688.69,637.65,639.36,507.10,470.19
1968,529.90,445.16,328.21,364.66,540.08,470.50,647.52,622.44,606.83,582.03,432.87,386.46
1969,543.60,464.57,386.33,396.66,569.85,491.12,588.10,521.64,683.87,553.42,513.45,421.11
1970,398.72,306.59,231.43,244.02,449.36,347.63,508.19,456.01,409.27,484.06,328.32,272.07
1971,445.02,405.22,298.19,349.47,481.48,425.86,550.37,536.63,420.83,494.33,344.23,363.83
1972,607.68,518.02,408.93,439.09,630.45,551.37,723.70,656.87,693.30,652.05,535.44,469.06
1973,486.58,420.48,332.39,355.93,519.09,447.13,571.59,506.87,546.05,508.71,444.22,380.52
1974,565.08,458.26,382.60,376.52,633.03,525.46,634.82,544.85,652.48,619.57,526.30,437.72
1975,537.51,483.55,375.89,412.94,567.67,500.42,638.79,601.69,567.03,574.93,456.62,433.55
1976,549.00,462.19,360.96,390.98,584.82,496.83,667.14,568.16,607.81,621.78,474.00,413.86
1977,530.97,432.70,335.11,359.35,564.20,456.24,630.62,564.48,631.75,570.75,477.53,380.94
1978,558.32,505.56,403.05,435.56,603.72,540.16,674.67,584.52,555.92,616.92,475.73,469.17
1979,473.78,409.92,306.07,353.13,478.81,405.46,579.39,552.44,538.31,511.79,395.15,340.45
1980,429.80,327.19,267.06,264.39,487.24,371.99,516.13,420.92,491.57,504.02,383.52,299.98
1981,582.18,467.62,395.37,392.94,643.23,520.71,642.04,533.75,713.41,632.27,553.62,432.44
1982,590.89,454.80,392.45,384.19,628.34,512.78,648.60,548.05,797.93,606.98,555.58,439.94
1983,566.87,486.86,378.00,399.34,593.32,530.78,722.40,647.35,562.72,647.45,487.71,435.10
1984,463.66,388.56,306.43,330.41,502.96,418.62,550.01,491.37,515.49,516.82,394.34,353.23
1985,449.77,395.43,311.10,331.01,465.92,407.93,543.50,498.23,488.78,468.30,409.00,347.05
1986,576.51,534.58,427.74,457.43,592.42,557.80,670.28,636.67,608.89,601.98,503.42,484.26
1987,545.99,478.99,381.82,394.80,582.78,522.48,672.96,637.08,536.89,594.33,461.26,432.52
1988,668.71,612.40,467.15,525.26,709.77,648.78,805.33,731.84,679.13,731.59,553.34,553.64
1989,434.95,397.00,298.70,327.81,463.03,431.14,554.26,504.43,402.94,487.21,343.35,357.66
1990,459.27,405.05,309.33,338.01,502.69,431.96,578.30,525.04,429.07,530.00,377.26,352.67
1991,501.09,455.42,342.18,380.38,531.86,476.00,615.42,563.43,497.54,556.86,416.37,401.98
1992,559.38,487.52,371.78,407.87,603.72,518.34,685.37,617.66,568.20,622.93,487.23,431.09
1993,513.32,432.29,348.38,356.52,537.83,464.35,605.47,557.24,593.10,544.50,444.39,390.06
1994,564.02,465.49,404.89,392.42,608.82,518.04,638.00,578.04,648.44,592.48,533.58,432.07
1995,468.71,420.21,307.54,352.40,506.96,447.16,568.36,527.83,469.63,521.46,386.85,377.78
1996,463.29,415.86,308.78,350.54,489.00,445.84,576.11,522.46,458.70,523.81,376.76,377.67
1997,507.99,414.01,333.43,344.88,564.69,469.18,581.19,520.80,574.91,563.91,451.42,387.89
1998,455.66,418.22,298.14,352.55,480.18,428.80,563.03,530.30,451.54,508.21,365.32,367.70
1999,471.64,411.83,308.54,333.96,500.37,435.46,577.52,540.71,487.62,533.15,390.35,362.98
2000,402.25,362.78,268.21,307.42,424.99,373.99,482.42,456.71,421.89,434.75,334.76,319.05
2001,465.70,435.36,313.46,367.49,484.32,437.95,583.97,551.32,447.30,501.13,397.12,375.54
2002,643.69,601.80,427.18,497.01,654.76,613.21,840.46,783.52,591.82,726.79,525.67,518.77
2003,681.40,620.33,464.11,521.04,714.59,638.49,842.86,773.43,674.92,741.11,601.42,541.81
2004,585.06,522.21,380.47,436.45,600.28,529.82,721.20,663.37,628.48,641.37,496.84,449.08
2005,611.28,585.23,409.09,490.65,624.54,601.33,791.09,727.29,553.23,692.48,488.48,513.47
2006,546.72,510.10,370.61,432.03,558.57,532.41,682.85,628.02,540.59,607.18,441.89,453.87
2007,688.95,612.85,471.43,505.99,735.70,668.67,866.36,769.60,672.12,766.63,578.60,558.92
2008,475.44,414.67,311.33,342.03,502.17,444.30,588.04,547.10,491.08,521.75,404.09,372.77
2009,656.17,608.60,419.55,506.21,677.40,620.07,849.31,780.32,624.44,733.65,535.51,524.48
2010,645.23,586.13,443.97,497.67,700.13,618.93,791.89,728.38,605.61,727.07,548.27,529.00
2011,636.31,549.30,438.62,462.02,681.24,603.16,764.49,692.01,673.06,693.15,551.47,506.88
2012,487.39,437.71,326.00,371.75,498.90,448.75,582.60,549.81,534.72,511.53,430.09,386.64
2013,513.25,428.23,332.50,352.29,560.44,472.73,633.40,550.71,535.73,593.39,432.90,387.35
2014,499.19,448.90,339.64,375.98,520.54,463.85,602.36,550.52,529.47,543.64,428.79,394.74
2015,580.34,512.86,399.62,441.35,626.65,550.79,674.83,619.57,620.18,622.72,505.52,475.51
2016,637.29,563.22,418.06,469.65,680.59,590.04,779.94,704.63,663.35,710.01,532.23,494.11
2017,441.17,380.13,289.48,316.37,475.06,408.77,546.75,487.74,455.49,499.28,362.54,339.13
2018,533.08,469.48,364.84,404.39,572.64,483.91,617.26,574.61,582.57,571.84,468.95,415.54
2019,398.85,335.04,252.67,273.91,416.14,351.06,496.28,434.45,441.53,461.00,332.30,285.10
2020,534.25,467.98,358.22,396.56,571.03,488.46,630.08,577.41,582.65,581.13,463.26,417.93
