Variable:,pr
,Namibia,Caprivi,Erongo,Hardap,Karas,Kavango,Khomas,Kunene,Ohangwena,Omaheke,Omusati,Oshana,Oshikoto,Otjozondjupa
1950,495.97,646.36,321.91,285.75,204.53,719.41,540.35,506.83,1098.38,547.86,869.19,975.39,914.87,720.70
1951,284.06,719.04,137.82,124.50,65.13,568.23,249.47,272.48,705.27,376.53,462.79,541.65,518.62,434.95
1952,218.99,809.79,113.06,142.87,86.70,415.61,230.26,175.36,361.32,294.66,244.61,273.76,319.65,311.73
1953,332.56,838.07,179.69,203.74,126.94,607.45,356.70,237.17,652.09,461.37,384.29,461.93,550.60,532.03
1954,391.11,832.90,203.33,225.00,133.39,675.31,439.14,350.97,872.12,488.37,617.82,670.90,710.06,579.84
1955,305.27,814.30,113.12,187.94,118.81,606.11,308.84,213.70,507.11,511.72,326.47,350.06,453.41,467.66
1956,358.95,710.69,176.13,251.57,184.05,672.64,371.97,285.69,669.82,391.56,464.01,495.37,608.97,541.88
1957,348.98,735.42,182.18,217.38,114.04,642.22,348.14,353.45,729.04,422.11,575.50,577.08,611.54,480.36
1958,251.87,1035.73,93.26,101.41,62.16,618.45,208.91,205.86,560.15,307.89,367.20,370.81,451.64,392.54
1959,198.27,653.38,72.32,90.55,65.84,508.21,162.88,137.52,455.37,224.20,213.30,276.26,393.42,332.46
1960,249.20,547.66,99.28,144.17,97.88,450.17,229.79,220.20,470.69,343.63,344.66,358.46,433.45,384.44
1961,258.10,631.99,123.35,154.81,126.08,499.70,229.04,215.13,447.27,336.22,314.26,333.54,409.69,383.68
1962,181.16,724.43,61.51,98.01,80.39,420.38,160.23,136.18,366.80,199.89,207.76,245.64,322.45,266.31
1963,417.13,721.71,276.99,281.52,180.42,597.59,494.74,376.80,832.90,517.53,647.86,676.78,683.55,593.82
1964,136.09,359.60,88.36,51.42,31.55,251.36,130.81,143.81,353.75,154.62,230.97,261.45,277.27,197.84
1965,224.45,363.92,128.54,134.92,86.37,359.86,244.63,210.94,465.88,267.34,333.36,353.90,406.80,346.89
1966,308.78,691.98,174.34,172.27,94.08,596.96,353.87,265.89,524.80,432.67,417.53,443.10,468.91,485.62
1967,377.00,738.11,218.80,203.66,150.38,701.16,322.38,349.70,841.70,469.02,597.64,675.71,668.33,538.61
1968,284.98,591.50,124.97,152.53,105.03,597.20,242.05,242.82,584.21,370.48,383.97,424.83,501.06,452.87
1969,266.03,719.96,128.44,117.49,75.48,557.70,199.23,248.67,616.64,328.07,396.01,434.97,535.55,407.18
1970,210.69,440.28,91.05,94.04,64.58,371.76,187.15,214.00,509.16,267.98,368.61,408.99,421.93,314.53
1971,303.17,561.31,170.18,143.89,83.78,594.25,258.15,310.14,704.05,364.07,517.69,552.49,555.19,464.04
1972,287.33,727.45,164.49,236.14,126.52,524.48,322.09,241.18,486.55,340.10,335.47,357.00,423.23,397.08
1973,234.34,660.04,77.85,135.28,96.92,424.24,219.84,205.67,501.33,330.48,344.49,359.41,410.73,323.14
1974,530.35,995.84,282.14,447.31,286.59,886.01,585.37,383.41,956.58,683.50,659.12,727.89,780.34,743.42
1975,265.32,532.06,127.64,170.13,117.82,447.24,277.66,252.97,508.86,343.97,407.99,411.65,421.84,366.29
1976,456.32,683.65,284.16,410.45,285.78,642.53,466.55,358.01,712.13,614.19,560.02,553.85,629.10,603.14
1977,353.81,947.46,143.24,232.61,125.74,772.12,403.89,197.38,672.35,521.90,356.10,430.26,572.66,579.07
1978,374.76,786.70,203.83,185.76,120.32,766.31,349.11,257.33,745.06,578.99,429.97,509.30,657.90,631.89
1979,309.05,510.09,149.04,197.66,118.27,488.88,313.97,258.99,639.06,447.59,429.52,499.97,568.79,467.61
1980,255.92,536.25,143.26,139.10,94.29,564.54,260.66,196.29,438.23,351.45,276.13,295.24,422.53,409.83
1981,165.52,657.43,28.82,42.87,56.05,494.30,94.77,86.67,349.01,278.31,142.32,175.21,306.94,278.03
1982,255.98,432.17,130.61,106.45,69.47,457.90,185.20,257.48,591.75,349.29,400.44,448.71,526.01,416.10
1983,232.37,622.03,79.99,124.06,91.43,450.62,222.98,157.76,474.80,363.27,269.21,321.61,426.66,364.33
1984,216.20,478.54,108.50,98.28,66.75,410.49,177.15,242.16,494.05,237.68,383.84,381.51,406.77,318.76
1985,254.96,591.82,161.60,161.89,141.93,514.86,244.40,187.48,459.12,258.48,272.31,342.61,430.64,391.86
1986,254.38,643.94,129.00,139.99,86.99,516.54,284.94,219.69,514.72,266.66,363.28,406.83,457.30,405.71
1987,216.67,478.32,100.87,128.35,82.59,372.01,230.27,191.60,436.26,281.65,286.15,328.28,382.24,335.22
1988,287.15,657.57,134.23,212.53,145.46,491.55,338.42,203.46,511.30,403.22,322.66,383.90,449.63,408.07
1989,236.12,678.16,84.51,158.87,119.75,627.65,251.05,126.15,354.70,307.76,180.14,218.06,332.03,369.96
1990,262.55,540.42,162.10,113.64,65.47,519.55,263.55,240.95,580.71,317.93,383.64,431.01,515.25,430.65
1991,305.30,705.86,161.57,181.23,109.86,521.76,322.12,257.56,506.77,491.56,378.84,419.99,455.35,456.62
1992,130.91,441.85,64.74,57.70,33.11,310.52,122.77,108.05,263.60,178.49,147.87,161.58,219.72,206.75
1993,281.99,606.67,128.23,150.14,117.69,540.09,276.27,234.83,533.50,402.34,363.24,409.35,482.05,424.82
1994,228.27,458.42,118.16,131.31,92.62,511.84,214.10,137.59,380.18,335.72,188.65,233.44,379.43,396.83
1995,156.71,499.73,88.70,78.58,65.58,321.45,118.53,148.22,358.22,159.55,209.27,236.93,306.67,219.18
1996,197.79,529.43,68.26,127.64,95.26,395.71,153.21,144.17,419.52,280.14,249.57,280.80,343.86,279.68
1997,317.29,625.01,157.57,179.33,77.58,595.33,369.98,255.44,676.07,465.29,453.18,505.71,578.95,499.41
1998,172.12,584.89,64.29,100.33,75.19,312.08,134.27,157.15,374.06,232.28,230.87,242.87,282.33,236.97
1999,259.29,562.13,110.61,145.56,97.18,510.20,223.23,222.06,566.27,325.00,370.71,421.01,510.55,392.06
2000,311.05,698.67,178.48,217.77,148.38,537.20,324.37,257.26,571.49,387.87,414.80,436.43,489.14,441.66
2001,281.29,610.62,144.24,167.82,109.99,537.43,276.20,236.04,560.99,365.68,380.66,418.54,481.51,424.21
2002,283.42,509.74,144.24,168.43,132.42,527.85,276.20,236.04,560.99,365.68,380.66,418.54,481.51,424.20
2003,275.05,498.92,144.24,167.64,90.56,529.68,276.20,236.04,560.99,365.68,380.66,418.54,481.51,424.22
2004,278.82,743.98,141.65,182.65,112.32,516.83,274.47,233.74,541.83,355.43,377.50,406.44,455.84,403.09
2005,256.78,560.03,123.37,208.50,170.23,438.07,224.35,222.44,483.96,291.46,366.62,369.24,377.41,309.47
2006,418.45,623.55,238.23,279.96,176.87,753.51,506.86,274.94,742.85,568.32,419.61,540.85,738.40,701.76
2007,268.55,519.42,134.25,163.17,110.77,521.05,246.15,232.97,552.73,336.67,378.98,412.54,468.10,398.09
2008,274.53,757.83,121.88,177.01,133.14,534.76,228.49,230.56,566.04,320.79,379.70,416.75,480.56,379.70
2009,334.96,601.63,162.51,168.12,118.28,698.42,309.26,255.55,721.07,427.18,407.36,511.31,675.02,563.29
2010,269.87,782.20,111.81,157.60,126.89,520.72,222.84,226.93,523.75,353.91,371.44,391.83,425.03,390.46
2011,339.14,747.91,163.10,198.15,170.74,615.15,312.59,256.61,720.44,417.78,419.67,513.91,624.69,522.74
2012,302.68,625.59,168.59,196.14,139.31,550.48,313.88,243.12,569.96,376.76,383.40,425.44,500.01,455.72
2013,232.62,633.31,105.87,117.24,84.07,468.20,200.41,218.76,507.30,310.36,362.85,370.91,390.48,324.64
2014,320.31,592.48,176.63,199.65,119.61,632.54,345.84,249.34,622.75,412.14,389.65,443.91,553.96,507.31
2015,223.84,540.51,128.89,161.65,88.84,350.54,258.73,216.01,422.10,309.03,347.12,310.78,302.85,288.96
2016,238.83,563.86,117.50,173.00,141.64,335.45,224.93,222.51,459.74,306.03,366.00,370.73,355.24,298.73
2017,281.72,752.51,144.24,168.43,98.92,537.71,276.20,236.04,560.99,365.68,380.66,418.54,481.51,424.22
2018,279.35,607.45,144.24,167.65,102.10,531.93,276.20,236.04,560.99,365.68,380.66,418.54,481.51,424.22
2019,273.88,531.40,144.24,167.27,81.36,531.54,276.20,236.04,560.99,365.68,380.66,418.54,481.51,424.22
2020,280.87,699.95,144.24,168.31,100.97,532.42,276.20,236.04,560.99,365.68,380.66,418.54,481.51,424.22
