Variable:,pr
,Chad,Biltine,Guera,Lac,"Logone Occidental",Salamat,"Batha Est","Batha Ouest",Borkou,Ennedi,Tibesti,Baguirmi,Daraba,"Hadjer Lamis","Barl El Gazal",Kanem,"Logone Oriental","Mont De Lam",Kabia,Mayo-Boneye,Mayo-Dala,"Barh Koh","Lac Iro",Mandoul,Assongha,Ouaddai,Sila,"Tandjile Est","Tandjile Ouest"
1936,405.33,422.84,763.46,368.43,1199.31,843.91,428.16,386.38,105.62,166.44,47.76,831.98,578.06,562.98,278.77,201.50,1230.24,1307.67,1057.25,986.66,1090.67,1057.81,1009.39,1138.87,595.23,579.45,718.97,1097.71,1125.98
1937,357.16,302.29,727.54,364.93,1014.88,825.65,413.92,369.60,89.78,74.00,50.88,711.56,537.56,496.01,272.72,211.46,1063.12,1106.93,871.10,794.10,904.51,975.66,967.22,1017.88,524.30,543.59,684.37,929.56,942.62
1938,372.79,372.56,753.98,339.59,1075.75,825.98,420.24,364.51,69.92,99.17,46.60,829.61,592.10,551.08,260.64,195.19,1098.26,1131.63,974.47,956.36,955.10,995.30,968.97,1037.32,621.91,585.91,744.63,1040.67,1042.03
1939,382.23,342.17,704.24,318.17,1230.36,949.78,322.99,280.66,94.69,121.04,49.36,749.82,461.83,459.66,209.91,167.38,1300.51,1366.84,1046.67,928.08,1093.73,1152.25,1132.82,1226.50,560.78,531.83,797.30,1093.49,1133.25
1940,327.37,295.94,680.37,310.69,1018.34,783.52,313.77,299.80,44.17,82.74,43.57,732.35,535.98,479.82,240.66,183.89,1002.88,1066.90,895.40,805.61,938.89,918.90,915.12,947.70,441.00,458.56,607.97,929.08,948.32
1941,300.63,261.80,580.01,258.24,1003.12,778.40,303.39,256.82,34.06,43.04,43.57,669.25,444.28,424.71,193.15,139.49,1006.50,1108.52,877.91,786.66,935.64,868.79,853.49,926.56,504.43,483.64,668.59,890.05,923.31
1942,333.58,268.98,637.09,340.30,1066.65,790.37,284.13,274.88,68.22,70.59,46.10,720.42,490.79,463.83,232.10,201.89,1169.92,1205.40,893.67,827.23,912.14,994.02,957.95,1085.93,468.16,444.11,645.68,959.37,967.37
1943,363.94,322.10,764.71,294.91,1183.04,884.86,400.16,314.00,69.82,78.21,52.50,779.25,505.01,440.98,189.29,145.09,1223.83,1314.38,961.78,890.11,1014.78,1067.83,1027.75,1127.87,556.77,560.65,749.76,1069.89,1070.09
1944,341.55,291.76,796.64,273.26,1061.29,842.04,367.33,304.82,43.49,76.03,44.62,709.95,538.92,426.35,203.81,154.09,1141.26,1196.30,849.38,764.37,882.05,1018.48,1004.88,1061.83,505.60,534.88,668.12,972.97,961.81
1945,353.82,322.66,731.30,313.91,1117.42,843.00,312.43,272.86,60.40,109.79,46.14,756.24,530.38,491.01,197.56,163.69,1159.57,1184.46,963.42,863.91,998.07,1061.22,1011.77,1117.48,520.79,500.26,694.80,1025.93,1034.41
1946,439.78,529.77,847.85,460.12,1171.64,976.67,582.71,473.87,91.88,115.98,47.67,855.27,693.89,640.13,341.21,261.38,1221.97,1352.08,950.33,903.86,1004.28,1093.28,1063.16,1122.56,881.27,805.30,951.91,1028.55,1053.06
1947,368.95,368.81,727.56,295.63,1243.25,841.65,403.80,344.45,50.99,107.35,45.97,739.31,526.93,492.94,249.34,173.68,1273.40,1391.32,1018.72,880.76,1045.71,1021.90,1003.30,1148.20,566.90,575.21,741.31,1059.11,1137.61
1948,323.68,240.62,689.95,265.22,1084.89,820.20,319.65,269.17,33.97,39.62,44.08,690.01,438.03,403.25,195.94,154.10,1170.15,1249.69,962.21,823.39,1024.74,1078.80,1022.18,1133.72,474.31,467.48,638.68,1005.84,1014.41
1949,297.89,230.91,617.18,198.26,1033.78,767.30,304.44,243.62,50.09,45.96,46.10,607.93,374.12,347.39,172.42,115.78,1047.32,1159.30,911.96,774.54,947.07,913.27,931.77,983.79,442.08,449.14,583.89,886.88,967.81
1950,456.01,532.94,812.17,512.74,1234.83,852.93,583.27,477.65,121.93,155.95,51.71,892.74,684.57,659.55,386.61,304.63,1303.36,1439.12,967.81,919.63,1082.60,1235.86,1128.42,1270.18,776.07,728.33,820.96,1181.94,1123.10
1951,379.97,405.86,856.55,278.15,1205.12,950.96,473.58,371.43,50.67,70.83,45.20,759.59,556.23,483.69,228.04,155.78,1209.41,1483.82,940.58,885.53,996.68,1082.86,1080.52,1091.67,650.09,636.01,749.26,982.90,985.08
1952,413.69,330.71,847.15,467.74,1158.17,862.84,452.42,421.30,107.50,120.90,52.88,901.87,691.51,616.91,346.18,280.02,1197.27,1231.13,995.88,946.93,984.47,1072.61,1003.08,1118.93,527.48,576.13,706.31,1208.27,1152.12
1953,423.54,414.38,863.57,442.47,1018.30,987.64,531.21,463.70,87.40,118.23,52.93,815.52,679.34,615.87,368.97,271.74,1193.44,1143.66,993.66,923.85,1047.35,1033.62,1015.96,1101.14,668.25,694.54,867.70,987.04,995.26
1954,447.98,470.25,960.33,420.94,1276.50,1034.08,528.65,447.62,100.71,158.59,50.40,871.10,683.57,589.17,311.85,250.27,1323.16,1432.11,972.69,899.10,1013.31,1121.41,1122.85,1107.16,732.58,710.58,835.44,1105.91,1130.46
1955,388.98,310.59,826.72,361.06,1177.93,986.59,425.95,376.37,51.35,80.81,44.00,856.39,595.00,566.42,275.43,193.88,1278.50,1273.82,1005.88,949.48,1065.79,1065.57,1093.06,1098.06,557.66,589.67,839.63,1082.42,1075.55
1956,396.65,414.64,786.39,417.57,1031.69,880.37,455.10,417.50,95.50,126.76,47.89,777.80,602.64,569.64,332.98,262.51,1036.83,1158.51,922.60,867.26,996.79,962.23,937.58,994.67,621.38,607.59,749.63,1072.72,1109.20
1957,376.65,373.18,768.65,366.99,1053.22,857.63,395.29,376.04,86.89,100.27,47.65,767.91,602.89,590.14,293.44,204.10,1029.54,1203.27,979.56,856.96,1083.15,969.12,930.40,993.58,641.45,592.45,808.92,823.63,858.43
1958,387.04,360.86,818.98,401.19,1171.57,831.95,380.53,392.36,80.86,93.15,48.17,857.79,676.40,567.05,300.64,230.18,1180.98,1258.44,1038.39,964.70,1085.53,1038.19,982.65,1120.52,558.56,511.01,655.96,1049.74,1102.71
1959,395.20,369.02,751.36,494.69,1107.38,776.47,396.31,370.88,101.14,130.95,49.96,814.43,635.93,667.85,344.35,307.19,1154.05,1206.04,993.49,895.70,1015.97,1095.42,1065.25,1070.91,558.58,527.70,628.98,958.78,1021.75
1960,352.36,286.40,709.22,342.74,1305.48,841.90,318.00,289.99,46.43,57.44,44.08,795.71,530.13,502.53,217.84,178.61,1289.28,1502.73,1054.24,954.75,1139.63,1069.42,1094.17,1085.22,494.54,453.03,656.09,1085.89,1175.44
1961,464.45,499.66,931.91,517.47,1085.40,915.34,652.27,568.83,125.61,139.64,50.19,947.90,769.85,712.02,423.76,317.50,1067.76,1139.61,1008.12,1003.21,1022.54,1224.25,1245.61,1099.85,689.38,714.78,745.71,1088.32,1106.69
1962,422.39,373.32,849.12,375.01,1285.38,998.44,466.80,435.72,138.46,129.15,54.08,763.42,565.45,491.51,331.45,231.69,1280.37,1440.13,944.78,818.77,1091.77,1018.20,1012.86,1115.73,606.77,608.26,766.33,1153.26,1105.87
1963,380.83,324.77,859.48,315.50,1136.25,939.21,423.06,371.79,54.20,74.79,45.71,784.59,624.74,509.49,269.48,190.93,1212.10,1334.41,958.93,850.92,1034.37,1087.63,1105.17,1108.18,565.29,570.04,807.75,989.99,1045.29
1964,430.83,476.44,913.42,433.51,1196.40,956.78,565.27,497.58,84.44,125.31,48.33,803.57,653.31,551.84,365.55,253.50,1174.56,1170.29,958.48,913.60,965.60,1107.17,1077.07,1202.89,753.76,707.03,742.53,1119.36,1135.04
1965,329.58,285.06,637.08,354.64,933.87,744.45,352.01,326.68,88.19,85.20,48.33,650.83,502.48,500.22,272.38,202.48,979.31,1043.86,883.19,764.56,935.22,852.86,867.86,904.40,451.91,456.79,614.24,822.41,863.40
1966,374.26,304.67,809.58,351.38,1148.00,931.91,395.88,366.89,69.24,67.74,47.66,805.03,568.65,494.02,251.98,192.92,1226.52,1339.07,1006.95,886.45,1010.44,1029.16,1020.45,1158.83,509.86,543.33,704.30,997.42,1041.33
1967,367.94,283.05,805.20,386.41,1073.82,872.23,408.46,388.22,54.23,77.31,45.37,796.72,633.72,544.85,305.47,236.76,1133.26,1130.07,877.86,850.85,921.07,1031.32,1000.96,1150.62,441.87,505.93,664.99,948.26,970.97
1968,342.82,301.15,759.28,287.59,1007.13,835.32,355.74,307.36,68.62,80.98,47.96,753.51,502.43,461.88,219.60,153.60,1037.83,1183.71,859.32,849.86,900.08,953.52,945.76,952.70,499.59,514.83,681.19,907.21,959.79
1969,361.93,330.30,720.44,259.12,1404.60,836.19,389.57,322.89,52.11,95.43,45.01,661.49,481.54,439.07,230.13,162.45,1369.24,1676.78,1142.40,873.42,1195.41,1023.68,955.16,1113.90,539.89,562.47,705.27,1078.44,1177.68
1970,352.35,265.83,786.44,323.18,1167.79,836.48,384.48,362.36,53.04,52.27,44.96,754.94,562.11,482.84,245.53,181.59,1259.94,1340.52,989.13,880.28,955.34,1013.04,968.62,1145.22,449.71,497.80,615.55,986.12,1063.27
1971,316.56,296.95,634.83,292.65,917.07,779.96,347.70,304.54,54.59,62.92,44.30,633.82,446.87,406.11,239.69,169.27,958.15,1029.88,842.81,761.80,877.02,960.90,975.72,942.86,473.15,459.36,611.47,848.16,846.90
1972,288.21,161.72,673.35,166.79,1017.68,819.62,248.50,228.36,29.14,27.37,45.19,659.83,437.35,346.24,133.86,80.88,992.55,1034.33,854.54,776.72,916.14,956.50,963.45,992.33,370.29,412.76,618.00,908.93,951.11
1973,286.32,180.47,606.24,207.75,914.23,727.41,248.76,251.04,60.94,44.56,45.75,537.10,396.92,349.92,217.44,166.86,989.58,1129.66,859.97,654.05,936.77,925.31,951.95,892.08,302.19,360.95,510.92,736.32,787.15
1974,352.04,341.94,734.36,305.77,1037.45,797.87,411.60,348.01,68.58,94.56,47.25,744.32,543.86,483.24,242.50,186.55,1141.00,1365.59,856.47,849.88,892.94,984.60,938.85,1014.84,509.31,529.58,608.19,832.89,799.28
1975,373.26,265.96,798.45,313.58,1213.41,877.29,375.44,309.98,73.86,68.71,46.52,827.98,511.92,540.36,239.16,199.41,1222.29,1349.24,1016.03,921.87,1085.87,1187.20,1136.79,1193.31,453.66,523.63,632.30,1131.34,1167.83
1976,309.31,188.11,694.96,254.40,1078.06,747.45,290.45,280.13,40.65,38.13,44.77,692.67,512.42,475.88,207.57,146.67,1112.85,1372.67,918.79,795.01,958.84,935.84,887.38,1002.47,369.81,411.57,577.97,928.53,962.72
1977,334.05,321.17,728.02,383.91,842.02,755.12,392.01,359.31,77.39,92.42,46.33,623.73,520.66,481.62,285.60,251.22,922.98,1025.81,701.85,663.23,796.19,826.87,848.57,835.26,501.48,506.42,587.77,756.65,766.51
1978,353.86,314.76,700.82,412.94,1207.99,819.19,402.89,308.74,65.88,57.69,51.52,769.22,496.92,506.54,202.63,188.83,1227.43,1265.10,1039.94,900.98,1122.34,923.34,924.48,1023.84,538.26,560.74,695.20,1114.79,1205.47
1979,361.64,317.72,736.01,330.82,1072.18,783.99,353.87,330.13,103.67,134.51,52.65,754.75,553.87,511.28,256.38,186.97,1063.50,1121.64,912.42,845.49,959.47,925.29,870.71,1020.31,502.56,510.83,630.94,945.94,959.13
1980,361.35,314.61,811.13,296.32,1141.24,794.30,383.44,361.15,70.76,105.91,47.49,777.21,563.60,440.13,228.49,160.86,1214.28,1194.22,975.77,905.49,1014.67,992.81,906.35,1121.78,502.39,521.80,625.92,994.50,1005.39
1981,350.21,294.86,728.89,256.48,1062.52,825.13,367.11,335.48,82.20,114.18,48.72,747.39,533.29,453.05,244.09,156.62,1078.23,1109.69,990.66,890.05,973.59,923.37,896.30,993.60,445.47,486.30,582.76,943.83,1075.53
1982,304.93,217.13,645.66,217.91,1052.46,718.45,326.45,290.91,78.75,59.72,56.10,557.10,401.99,305.40,178.01,122.62,1120.21,1247.76,753.61,610.00,895.31,1004.34,945.45,1043.31,365.75,415.91,497.74,884.35,883.99
1983,271.25,227.02,528.25,213.82,864.74,544.52,338.53,296.53,50.40,54.71,44.78,582.10,431.90,355.20,210.27,128.94,928.86,1104.24,663.28,602.58,741.51,850.70,795.12,911.66,380.68,405.67,459.72,772.37,747.70
1984,227.65,168.17,468.33,138.00,830.02,575.83,206.31,190.80,36.49,44.54,45.08,459.81,288.17,222.10,117.14,75.01,844.49,1007.70,642.43,539.16,744.98,739.55,726.23,739.96,337.02,341.40,456.44,679.36,690.02
1985,296.26,306.89,525.94,279.20,936.95,654.39,315.74,270.78,86.76,74.53,55.08,533.98,375.99,359.99,196.17,149.66,962.00,1083.91,812.68,677.45,841.68,811.75,754.56,896.29,512.20,477.25,601.71,769.79,832.47
1986,281.20,244.54,535.12,289.79,959.52,577.54,286.43,247.34,48.60,63.06,44.76,611.92,414.34,432.77,195.47,174.23,965.78,1030.28,925.56,766.60,964.00,821.15,767.38,898.08,401.84,378.94,468.54,828.90,884.79
1987,263.74,222.27,568.71,180.99,911.74,654.05,253.69,225.56,38.53,57.17,43.83,556.41,355.88,329.76,151.07,111.44,928.52,961.03,814.25,671.66,832.48,811.52,828.29,848.95,321.66,343.75,408.58,839.65,885.19
1988,417.85,406.00,900.84,403.29,1220.72,962.90,479.50,446.87,74.62,84.82,47.73,889.12,679.53,619.31,329.65,252.73,1196.62,1362.89,1039.90,986.78,1071.65,1123.29,1145.38,1118.80,657.42,631.40,757.06,1069.91,1080.68
1989,319.17,250.76,673.70,221.89,916.21,780.62,380.37,324.61,56.40,68.48,46.87,734.06,506.28,460.94,188.93,121.64,998.58,1003.23,829.40,817.26,869.94,909.51,909.82,924.22,428.27,487.89,634.54,914.19,936.79
1990,253.19,153.98,520.96,230.43,988.79,602.54,200.46,206.12,36.73,46.76,43.64,544.37,365.57,328.63,154.59,130.57,1026.42,1094.99,797.52,635.51,919.12,747.97,732.94,863.33,288.69,302.08,449.18,828.78,907.96
1991,343.42,304.48,773.17,354.44,1137.99,785.42,363.88,325.78,40.85,69.94,43.60,771.78,565.34,540.62,224.15,185.75,1129.16,1260.97,1025.43,880.22,1074.13,861.92,817.54,947.98,537.62,537.77,668.28,984.21,1044.72
1992,322.87,301.83,702.90,288.29,1117.51,711.52,352.12,311.56,46.91,79.14,44.18,671.94,471.03,413.00,201.78,164.93,1102.83,1247.01,898.61,785.77,967.89,955.49,934.65,935.52,462.46,458.79,541.49,947.16,1004.36
1993,269.40,180.87,556.51,280.31,829.36,750.68,215.73,204.72,33.60,38.48,43.61,569.84,399.75,394.50,171.02,153.11,837.42,948.70,842.23,672.99,919.78,825.57,884.99,878.10,360.15,373.16,550.11,679.92,747.16
1994,403.33,413.62,822.68,434.85,1185.37,818.06,462.82,429.83,80.67,147.25,45.93,770.21,622.18,584.17,300.46,244.97,1183.12,1243.20,1057.80,898.17,1153.61,1057.06,975.67,1167.24,606.87,597.61,730.81,1056.10,1102.58
1995,334.65,258.06,706.16,271.59,1136.82,754.52,319.19,300.16,61.05,70.17,47.23,751.32,524.01,451.29,201.15,150.85,1065.24,1309.05,1052.36,883.29,1100.93,1029.60,1007.66,1016.55,463.15,452.35,609.30,958.39,1071.58
1996,316.81,181.66,705.66,259.90,1182.68,765.55,263.03,263.46,51.03,55.57,44.82,715.34,466.92,418.58,177.62,137.35,1124.22,1286.09,1065.46,870.60,1136.66,1022.20,977.38,1004.49,332.41,393.71,542.70,948.00,1071.38
1997,320.25,251.38,609.69,269.53,1229.31,748.16,290.19,274.48,47.09,64.79,45.41,639.24,451.07,411.23,229.12,174.46,1216.95,1412.76,913.37,753.13,1012.73,996.81,970.27,1069.29,452.19,439.21,599.77,951.58,1045.26
1998,361.53,376.63,773.69,319.58,1046.93,855.45,396.44,355.44,54.81,90.65,46.11,742.06,605.07,543.51,251.44,178.33,1087.94,1180.96,922.94,808.61,908.09,983.66,966.21,1036.66,604.71,569.02,704.87,973.05,1049.38
1999,350.64,336.48,716.58,413.95,995.71,829.98,387.41,329.90,67.22,81.70,48.32,700.33,524.87,516.26,225.66,206.84,1069.64,1158.07,902.44,817.89,956.66,951.23,965.21,987.69,567.74,546.94,709.32,878.63,917.51
2000,306.77,230.54,652.57,286.92,945.22,722.77,304.73,292.57,64.49,73.76,47.29,656.88,478.80,450.22,210.91,152.04,952.77,1065.22,852.41,758.74,916.74,842.41,880.82,867.79,389.01,408.54,575.48,823.23,871.84
2001,313.27,269.60,642.87,330.29,966.14,695.07,301.76,288.62,63.75,76.19,46.19,680.65,507.58,479.27,215.43,159.51,978.78,1121.55,855.69,760.22,933.51,895.11,894.24,923.39,435.27,436.32,559.73,852.10,885.09
2002,267.59,281.87,529.29,205.27,781.14,662.61,307.51,254.62,65.24,77.71,46.16,491.71,354.74,335.79,157.57,103.89,834.51,978.08,644.38,562.82,728.59,684.86,721.70,736.14,433.64,445.57,577.76,627.79,669.98
2003,323.24,329.84,677.38,321.30,921.51,829.21,352.86,290.39,65.27,79.92,46.41,613.70,450.32,422.11,196.65,156.38,925.88,1048.73,813.60,703.30,887.54,849.06,920.82,856.03,555.14,532.32,718.77,792.61,839.79
2004,343.73,302.55,721.08,252.40,1012.53,819.02,378.93,332.71,68.63,77.79,50.94,735.18,528.55,431.54,236.18,158.98,1036.57,1068.59,925.17,848.78,948.11,981.41,977.72,1005.97,501.99,527.34,656.46,948.41,975.05
2005,371.65,397.59,742.05,388.53,1068.34,863.92,437.54,340.62,67.82,83.42,47.06,747.25,540.42,540.45,253.90,201.94,1121.85,1190.36,911.16,835.48,942.47,999.02,968.00,1052.57,681.02,676.88,804.11,982.90,994.77
2006,359.15,322.81,735.73,339.00,1035.84,797.08,382.26,354.22,67.54,79.87,47.50,877.09,662.17,576.52,271.03,183.55,1032.16,1112.27,1027.07,996.85,1016.47,929.26,908.70,961.31,527.51,529.31,671.27,987.94,1034.55
2007,370.53,346.13,730.18,405.41,1154.56,800.39,398.73,342.61,67.74,81.48,47.45,799.75,589.98,593.60,263.75,216.45,1268.42,1356.35,960.33,889.66,1006.65,1044.21,960.06,1172.60,566.52,560.48,676.52,1009.02,1036.94
2008,357.88,270.75,731.72,398.68,1075.23,787.89,352.87,348.62,67.43,76.45,47.96,861.11,643.51,626.86,277.68,212.35,1115.34,1198.32,998.65,972.52,985.41,966.32,948.40,1021.83,461.68,460.56,637.00,994.26,1026.17
2009,329.35,277.98,699.66,294.23,1031.96,718.56,364.01,333.14,67.69,76.80,48.23,730.61,534.78,456.74,241.04,167.27,1081.71,1184.54,860.41,815.69,870.91,907.78,852.01,967.45,442.17,468.77,559.07,925.76,951.43
