Variable:,pr
,Mauritania,Adrar,Assaba,Brakna,Dakhlet-Nouadhibou,Gorgol,Guidimakha,"Hodh Ech Chargi","Hodh El Gharbi",Inchiri,Nouakchott,Tagant,Tiris-Zemmour,Trarza
1920,104.87,29.65,331.20,195.82,37.37,356.70,519.79,164.42,331.79,45.67,105.70,108.19,15.50,134.23
1921,73.70,19.80,249.64,165.71,11.92,303.10,436.94,103.64,200.97,23.00,90.85,67.01,14.14,119.44
1922,103.30,28.30,322.82,230.51,20.77,426.89,559.63,157.35,288.98,36.90,98.06,101.89,16.46,148.59
1923,105.45,31.79,361.78,220.50,16.78,423.07,583.50,154.00,298.68,28.84,76.54,130.52,14.95,124.05
1924,110.87,33.48,351.80,222.42,53.33,415.04,574.84,169.49,337.53,63.06,105.37,99.59,18.57,136.15
1925,104.26,40.64,299.13,261.55,39.53,404.41,486.71,141.59,239.72,62.55,124.86,105.18,18.48,180.46
1926,83.70,21.75,252.73,202.16,26.81,330.52,378.25,122.28,253.83,38.65,104.84,71.48,13.80,141.17
1927,127.75,46.71,385.17,325.14,37.70,519.94,569.34,168.24,317.66,62.92,151.40,141.43,19.21,221.33
1928,107.44,28.68,327.60,274.16,70.51,451.82,534.74,145.69,286.74,72.94,161.28,103.74,13.87,186.49
1929,117.48,48.40,346.93,288.75,30.19,411.01,483.33,149.48,295.77,54.97,125.47,155.34,18.10,191.25
1930,112.68,41.81,333.83,230.93,35.68,383.93,493.08,158.66,313.12,56.36,125.29,134.99,18.75,166.01
1931,84.68,24.86,264.65,198.32,56.83,338.33,442.28,121.99,223.63,48.28,80.86,83.90,14.65,116.18
1932,111.50,25.16,375.66,275.29,16.21,467.03,575.89,170.88,331.66,26.81,93.34,121.84,13.68,145.13
1933,126.15,35.89,437.82,319.76,60.02,532.02,683.06,161.56,359.52,66.11,117.54,138.06,16.94,178.48
1934,103.13,29.17,332.83,200.93,21.03,429.71,598.17,172.11,301.51,32.20,71.35,99.50,16.06,105.17
1935,118.10,33.32,384.58,281.87,35.70,482.03,614.65,175.12,332.56,44.89,120.91,128.83,12.49,166.40
1936,124.00,27.24,454.65,304.96,51.45,605.76,794.91,178.01,357.46,49.99,121.65,114.33,11.66,164.33
1937,106.81,40.53,336.46,235.88,31.48,422.78,547.10,140.62,305.71,55.53,114.90,121.65,14.79,150.77
1938,106.45,38.54,339.82,275.67,72.30,457.73,596.51,110.89,274.50,87.24,174.91,100.82,14.34,216.45
1939,103.29,28.17,329.08,262.29,27.24,467.06,535.96,144.50,271.23,43.97,135.34,110.06,9.13,182.27
1940,118.86,33.71,372.50,273.21,41.55,451.66,600.18,165.78,350.33,55.62,151.13,143.62,8.04,194.23
1941,76.32,18.47,221.50,160.83,40.90,291.89,416.81,122.73,224.19,43.36,95.44,60.64,10.31,119.83
1942,74.43,18.40,207.95,131.50,16.48,295.88,436.88,130.95,230.00,24.88,61.62,55.09,19.13,77.04
1943,138.33,51.77,422.92,351.79,71.23,471.57,621.43,171.29,340.69,89.19,193.79,168.41,18.30,246.59
1944,110.59,39.53,295.28,265.08,49.04,341.56,433.76,143.05,290.13,70.34,168.27,110.49,27.93,208.63
1945,113.12,29.95,402.52,245.58,25.45,474.65,659.55,162.21,368.54,39.43,92.88,117.81,12.58,135.50
1946,106.62,25.90,327.40,193.25,38.64,405.23,579.18,176.61,322.84,46.91,93.31,93.39,23.36,121.82
1947,115.81,44.72,382.02,284.82,35.70,451.24,576.27,132.89,304.71,62.21,153.22,132.00,19.43,198.68
1948,99.92,29.91,338.20,231.70,25.17,432.92,540.15,147.71,302.47,38.80,72.96,110.78,8.51,116.25
1949,90.55,22.08,304.46,207.87,55.12,345.34,499.79,112.48,263.89,54.83,136.84,83.85,15.36,167.34
1950,151.00,52.34,472.00,324.47,73.24,614.18,793.34,226.16,395.15,83.31,136.87,172.05,14.62,194.17
1951,124.81,37.61,391.06,248.02,48.91,481.06,631.74,185.08,352.19,57.00,108.00,121.83,32.77,145.78
1952,144.54,55.98,443.30,322.21,58.31,526.11,628.20,194.78,401.68,78.64,138.26,166.23,24.60,201.76
1953,136.25,42.37,390.27,237.18,80.18,449.56,615.72,221.21,390.46,86.87,138.68,141.66,21.81,177.82
1954,142.68,31.80,440.71,259.85,59.67,436.76,590.92,237.02,457.59,68.39,138.59,147.68,27.59,174.82
1955,139.81,41.40,416.98,352.62,43.01,492.44,595.31,204.29,389.24,70.42,191.94,158.55,9.09,250.94
1956,117.03,29.51,359.50,270.94,62.04,476.12,575.25,170.83,328.06,70.65,134.56,106.79,22.86,171.51
1957,133.78,42.32,408.15,285.34,67.73,471.70,607.58,202.02,380.62,80.26,151.98,154.11,11.02,193.91
1958,140.01,37.11,489.02,297.35,53.42,495.26,601.60,207.32,454.86,59.32,127.84,181.60,7.84,174.55
1959,102.45,25.15,340.12,215.33,19.40,458.79,597.72,171.07,302.72,31.82,74.55,107.18,8.42,111.68
1960,105.47,25.19,294.95,256.39,36.99,413.27,520.77,172.89,291.18,48.35,134.43,104.46,7.06,178.45
1961,107.42,34.01,303.69,248.29,35.17,438.80,564.35,163.78,292.98,50.11,126.83,105.51,11.54,170.97
1962,117.25,30.20,391.71,200.19,57.46,422.10,569.60,185.97,389.25,56.40,86.19,128.15,15.60,123.47
1963,108.85,28.76,330.38,229.58,73.36,428.08,550.81,164.06,316.94,70.30,135.73,109.74,9.63,166.61
1964,124.25,27.22,396.56,285.30,56.36,450.19,583.35,194.46,382.83,60.18,138.67,130.82,13.29,172.29
1965,139.93,48.28,425.19,284.57,70.74,546.53,707.49,201.89,397.40,85.53,134.07,160.36,17.14,180.77
1966,116.83,42.03,347.38,267.00,34.45,461.60,596.88,153.88,312.67,53.49,139.18,131.14,21.40,181.99
1967,135.26,38.42,477.58,315.52,62.73,468.77,690.12,172.24,394.52,68.64,135.74,168.66,21.10,184.82
1968,82.96,28.23,216.19,179.41,42.11,282.35,379.12,145.95,211.10,48.75,70.79,87.16,8.22,104.34
1969,142.25,55.47,461.42,364.85,60.04,494.52,598.38,164.90,369.06,82.22,169.35,188.66,15.01,253.91
1970,97.53,28.04,357.95,232.67,30.97,358.10,437.59,127.86,302.82,32.06,77.54,134.86,11.54,114.92
1971,81.06,15.74,268.06,176.76,11.65,351.84,476.52,141.25,227.21,15.99,68.05,79.52,10.38,94.47
1972,65.27,17.01,177.30,86.40,18.43,198.82,337.86,118.76,201.41,22.74,42.53,61.47,20.44,56.07
1973,75.29,25.75,249.29,155.18,30.01,289.13,383.42,102.46,214.37,36.86,70.61,76.43,17.50,93.87
1974,99.63,28.55,374.76,275.58,22.02,402.59,493.10,120.76,295.47,33.51,104.16,128.03,8.38,145.77
1975,103.27,24.02,340.47,238.96,21.91,428.93,559.56,158.23,293.15,36.54,137.62,102.96,9.13,168.48
1976,102.92,37.32,332.37,209.87,31.37,337.91,425.70,146.92,285.75,46.20,103.48,127.58,17.33,138.60
1977,60.09,16.11,185.49,116.68,10.16,251.95,340.06,109.45,174.34,16.23,47.78,55.16,6.07,64.93
1978,102.53,26.41,291.87,176.94,43.91,314.34,489.60,185.61,298.31,47.71,103.07,107.45,9.59,139.92
1979,83.99,39.44,223.16,164.81,53.98,250.65,356.94,111.94,216.39,62.01,86.20,81.80,23.65,121.35
1980,76.51,23.65,223.39,194.70,35.42,319.17,379.92,115.94,168.95,41.16,91.26,71.57,15.86,113.83
1981,91.01,32.85,277.10,166.37,30.14,331.11,454.68,144.43,248.34,44.48,83.15,98.42,13.10,112.78
1982,64.33,13.03,184.04,142.06,13.97,284.88,379.59,117.72,180.81,18.35,64.53,53.49,6.49,85.94
1983,49.85,10.92,204.08,102.07,13.43,264.94,409.83,69.31,159.55,13.77,23.13,51.34,3.96,42.34
1984,61.91,20.71,202.88,118.73,13.00,252.44,328.15,97.34,190.55,17.61,23.65,72.16,12.01,41.38
1985,81.91,31.63,246.87,153.17,16.13,277.65,410.88,119.51,241.03,32.49,71.98,89.67,17.31,99.36
1986,84.70,41.52,237.48,177.19,47.76,276.64,384.55,100.07,205.05,68.24,95.34,95.21,21.41,130.18
1987,79.68,26.58,230.10,154.46,34.67,335.77,386.35,110.70,221.91,40.82,72.62,74.58,24.67,102.61
1988,94.24,26.08,267.42,197.79,33.97,331.18,417.24,155.09,255.72,46.50,120.00,101.15,10.99,146.74
1989,104.27,34.91,274.48,239.65,30.46,387.54,448.03,155.16,288.69,50.69,122.31,109.86,20.03,157.76
1990,69.92,21.52,230.48,167.87,16.33,282.54,407.84,95.97,195.92,26.79,65.98,84.09,6.35,100.00
1991,71.87,23.14,214.59,153.78,25.65,230.53,357.31,106.53,215.47,41.61,86.76,72.38,7.93,114.18
1992,77.76,14.82,206.99,112.22,18.78,214.78,335.09,174.95,249.94,20.21,46.43,73.05,8.09,66.87
1993,88.81,21.22,275.46,181.56,39.07,326.85,426.90,138.36,264.10,41.34,84.29,94.42,15.97,114.27
1994,97.93,30.63,311.13,221.49,31.21,390.23,538.48,145.45,264.49,47.13,101.09,91.23,16.68,135.63
1995,104.30,36.24,297.97,250.26,52.01,403.69,511.55,142.25,267.50,60.86,124.50,97.97,23.58,163.55
1996,76.17,18.36,184.32,143.55,48.94,252.21,324.91,132.90,210.14,52.59,97.54,64.87,13.79,123.96
1997,87.96,30.78,283.71,195.77,39.73,306.11,376.19,118.26,250.96,45.29,91.76,105.40,13.20,126.49
1998,92.82,27.55,266.77,194.67,51.62,342.85,457.81,133.16,256.41,57.11,131.58,82.23,19.53,154.11
1999,116.44,30.14,386.18,266.08,36.02,466.34,620.27,167.16,360.02,51.35,119.46,118.84,13.49,168.46
2000,94.93,29.54,317.54,225.49,25.99,400.20,505.92,128.37,267.61,35.65,77.41,111.84,14.49,122.12
2001,88.00,28.26,238.61,209.13,46.99,303.53,386.53,130.29,220.01,65.44,141.90,82.55,11.16,167.88
2002,80.57,30.09,212.26,132.41,41.75,207.90,307.30,131.18,237.11,49.15,72.85,95.16,14.75,97.25
2003,116.67,36.49,386.77,273.63,31.54,466.47,600.08,155.08,339.44,49.30,125.03,132.06,16.26,171.11
2004,100.71,27.63,321.78,182.59,29.68,344.02,501.73,171.47,316.49,33.16,59.78,114.28,13.67,95.43
2005,106.56,33.11,315.34,291.45,42.01,466.34,540.28,138.22,248.59,60.49,146.01,97.91,20.02,203.07
2006,86.45,30.46,251.27,202.68,40.15,323.32,408.58,121.85,223.57,57.68,110.92,91.94,10.01,144.18
2007,94.42,21.81,320.25,205.52,29.67,350.75,455.54,147.51,295.34,36.08,93.51,106.36,7.37,127.14
2008,112.43,33.34,391.46,221.15,28.81,449.17,616.04,161.08,355.26,38.69,80.50,123.08,19.38,122.33
2009,107.82,26.09,342.77,279.19,35.80,449.67,557.25,145.21,297.95,53.35,145.56,115.78,11.00,196.95
2010,132.58,41.57,389.30,363.29,85.04,529.78,618.03,163.92,305.32,101.67,206.44,142.41,20.26,257.02
2011,86.93,25.58,293.67,198.88,16.20,348.13,458.43,120.34,246.95,26.80,78.96,109.34,10.43,120.98
2012,114.74,26.94,422.14,267.52,22.79,495.15,654.12,149.56,360.10,36.65,122.91,137.44,9.38,171.25
2013,109.28,43.57,322.57,250.55,50.77,386.09,500.11,138.59,288.02,77.59,157.89,117.02,16.06,193.52
2014,92.85,27.51,265.02,163.51,23.67,297.47,411.32,158.63,277.86,38.65,78.47,104.60,15.51,107.70
2015,109.73,46.79,290.76,225.64,56.91,331.50,442.02,156.63,291.83,84.03,147.35,125.26,14.29,176.93
2016,96.06,30.25,310.18,226.55,44.52,390.91,494.98,133.93,262.84,45.21,96.01,101.83,14.23,135.71
2017,86.05,25.14,294.80,171.68,19.95,348.52,500.52,133.03,245.82,27.55,54.41,99.53,11.90,89.17
2018,98.63,29.58,292.94,201.85,26.96,357.62,468.63,155.40,289.22,41.11,103.24,101.83,14.37,139.77
2019,94.72,28.55,293.19,178.02,24.84,325.09,463.49,158.07,279.72,33.08,74.42,101.54,13.36,112.51
2020,115.24,30.56,389.93,251.78,31.13,438.06,586.31,167.52,360.85,47.59,117.95,115.81,14.33,168.36
