Variable:,pr
,Cuba,Camaguey,"Ciego De Avila",Cienfuegos,"Ciudad De La Habana",Granma,Guantanamo,Holguin,"Isla De La Juventud","La Habana","Las Tunas",Matanzas,"Pinar Del Rio","Sancti Spiritus","Santiago De Cuba","Villa Clara"
1931,1406.58,1389.11,1253.63,1365.39,1199.64,1636.18,1496.85,1339.41,1425.49,1319.18,1275.90,1291.48,1426.22,1379.16,1791.87,1361.37
1932,1351.49,1304.79,1243.06,1470.28,1354.07,1203.06,1284.66,1155.63,1563.50,1508.81,1082.53,1460.76,1534.66,1427.03,1353.50,1465.58
1933,1621.84,1403.62,1202.11,1712.99,1520.77,1899.82,1680.58,1471.77,1866.97,1723.20,1418.33,1669.86,1800.88,1491.15,2081.44,1563.37
1934,1330.85,1336.58,1277.99,1368.11,1199.38,1284.28,1340.67,1207.40,1447.17,1363.80,1110.08,1343.69,1400.87,1402.79,1442.01,1393.00
1935,1254.76,1320.57,1237.49,1287.06,1116.88,1223.77,1294.30,1151.91,1265.84,1242.97,1107.04,1210.28,1242.34,1345.84,1367.36,1286.74
1936,1549.92,1444.85,1279.42,1486.88,1433.10,1852.74,1618.57,1441.64,1635.66,1602.70,1396.58,1501.41,1595.98,1442.51,2023.33,1496.01
1937,1380.46,1355.18,1232.74,1357.95,1225.05,1483.31,1468.37,1325.92,1387.41,1381.40,1207.11,1318.73,1396.02,1378.60,1709.48,1363.56
1938,1290.89,1387.40,1229.44,1243.23,1067.42,1389.44,1329.18,1194.13,1361.70,1191.33,1201.36,1164.24,1292.00,1371.53,1488.40,1242.60
1939,1278.74,1361.45,1276.19,1286.32,1140.21,1254.91,1266.36,1164.58,1290.71,1270.91,1115.45,1224.28,1282.73,1371.14,1385.54,1323.15
1940,1264.62,1302.97,1233.14,1320.95,1215.08,1141.53,1226.42,1145.19,1307.67,1333.46,1051.89,1288.76,1346.81,1370.11,1279.90,1335.30
1941,1175.77,1261.77,1284.56,1168.96,1058.30,1072.07,1176.90,1093.29,1160.12,1161.76,990.55,1108.61,1183.87,1327.37,1203.10,1262.32
1942,1439.83,1501.76,1281.64,1322.20,1143.01,1722.09,1609.62,1404.58,1399.42,1283.50,1378.72,1234.81,1398.11,1401.60,1880.41,1314.40
1943,1214.78,1345.03,1284.04,1163.31,977.93,1229.17,1305.14,1167.02,1132.16,1091.24,1098.93,1067.28,1130.00,1338.08,1391.07,1218.93
1944,1330.64,1436.80,1220.42,1207.40,983.32,1641.39,1500.19,1304.81,1203.52,1107.36,1337.58,1084.77,1214.94,1338.06,1754.63,1200.58
1945,1266.42,1328.21,1231.91,1198.55,1064.07,1370.58,1418.27,1255.35,1176.78,1162.44,1161.45,1123.20,1182.48,1324.05,1557.80,1230.31
1946,1182.02,1274.87,1269.55,1207.82,1053.87,1033.13,1151.23,1065.02,1217.49,1192.49,992.36,1158.16,1215.30,1354.70,1160.24,1259.98
1947,1456.78,1366.34,1343.33,1706.25,1633.87,1192.85,1226.52,1118.77,1730.18,1816.73,1094.05,1733.01,1744.09,1514.08,1286.64,1672.30
1948,1586.17,1662.17,1443.81,1557.36,1440.70,1692.24,1523.52,1428.04,1658.34,1607.38,1470.44,1549.84,1645.72,1577.08,1794.67,1531.81
1949,1267.14,1355.75,1280.57,1313.93,1137.28,1249.64,1216.87,1129.57,1233.84,1260.27,1102.76,1233.91,1225.18,1380.67,1371.46,1332.72
1950,1432.99,1650.67,1549.75,1449.21,1184.46,1416.50,1355.53,1259.23,1380.76,1319.26,1315.84,1300.87,1371.33,1607.46,1511.26,1432.03
1951,1277.18,1320.84,1276.63,1347.32,1073.64,1213.02,1367.86,1155.32,1353.48,1252.43,1073.00,1257.06,1215.74,1419.59,1423.46,1334.53
1952,1358.11,1382.32,1338.64,1475.11,1348.62,1235.50,1154.63,1044.64,1632.69,1517.25,1103.74,1432.92,1621.03,1464.19,1284.98,1450.57
1953,1448.37,1360.55,1343.22,1718.34,1563.94,1237.52,1211.52,1057.04,1773.35,1735.99,1065.49,1681.16,1725.95,1562.18,1353.60,1676.16
1954,1568.75,1640.80,1492.18,1523.70,1331.96,1558.58,1724.67,1562.31,1591.47,1526.86,1423.60,1462.06,1597.16,1597.55,1760.85,1516.74
1955,1236.45,1271.67,1183.14,1204.67,1051.05,1245.99,1405.34,1145.72,1329.34,1215.15,1087.37,1145.93,1296.99,1304.91,1418.37,1182.15
1956,1147.00,1223.67,1112.86,1071.65,899.64,1197.45,1355.03,1166.38,1121.82,1031.35,1062.65,1004.94,1090.46,1172.59,1393.11,1082.19
1957,1385.35,1406.25,1341.24,1487.02,1350.85,1251.95,1176.02,1155.20,1580.13,1523.34,1136.55,1462.01,1626.47,1493.39,1302.71,1486.84
1958,1677.59,1811.25,1770.94,1753.60,1556.19,1540.47,1354.83,1310.23,1856.33,1760.70,1394.86,1717.66,1848.16,1903.53,1599.22,1812.28
1959,1302.31,1269.99,1241.44,1426.54,1444.46,1035.15,1046.28,981.54,1752.80,1595.91,986.73,1461.00,1730.16,1400.38,1074.40,1450.30
1960,1632.71,1677.90,1560.46,1676.60,1471.41,1645.62,1644.45,1485.15,1654.24,1672.75,1416.18,1611.50,1634.25,1724.69,1782.40,1677.10
1961,1167.26,1210.28,1068.27,1064.92,905.62,1264.86,1440.22,1219.68,1152.98,1041.61,1089.08,998.02,1160.51,1132.29,1480.07,1068.24
1962,1087.75,1086.35,1089.69,1229.59,1050.11,1024.95,939.83,860.25,1243.73,1178.66,884.41,1139.87,1216.14,1251.23,1011.27,1185.93
1963,1478.90,1547.89,1414.61,1314.35,1191.59,1626.49,1816.70,1586.17,1354.65,1295.20,1377.92,1238.38,1310.54,1468.43,1987.56,1360.91
1964,1360.16,1448.04,1326.36,1320.49,1179.32,1355.83,1360.62,1253.44,1514.22,1331.30,1209.06,1250.98,1507.03,1413.93,1523.69,1295.03
1965,1090.63,1074.37,1006.64,1138.13,1047.50,1054.75,1037.54,958.77,1275.31,1157.77,936.75,1082.78,1296.36,1125.71,1134.44,1117.32
1966,1676.43,1677.05,1609.15,1759.58,1551.76,1580.93,1623.14,1537.12,1752.39,1725.27,1413.02,1657.16,1784.75,1817.13,1802.03,1794.06
1967,1107.26,1108.42,1104.68,1189.72,1156.05,963.08,860.28,884.28,1387.71,1266.95,892.23,1160.97,1399.22,1212.86,999.14,1191.73
1968,1492.07,1452.71,1518.56,1770.02,1651.38,1152.31,1047.56,1015.91,1919.54,1867.34,1067.75,1788.03,1824.45,1710.98,1187.81,1775.88
1969,1813.72,1885.07,1793.25,1860.82,1663.75,1625.62,1726.31,1576.53,2054.98,1928.74,1499.71,1791.89,2116.83,1945.50,1848.13,1842.43
1970,1277.25,1250.28,1243.78,1404.57,1229.79,1159.21,1274.10,1043.73,1346.92,1396.03,994.70,1387.67,1297.48,1417.52,1364.12,1405.78
1971,1169.53,1201.13,1149.50,1209.57,1118.03,1115.32,1240.60,1063.41,1232.28,1207.36,1004.73,1202.96,1066.51,1237.27,1258.12,1253.47
1972,1531.12,1454.78,1402.43,1611.48,1506.24,1323.84,1592.06,1365.30,1824.34,1707.77,1213.84,1583.58,1814.10,1585.52,1598.49,1621.11
1973,1378.31,1473.57,1341.97,1298.09,1154.53,1467.84,1397.28,1291.92,1445.26,1293.49,1289.99,1228.18,1457.51,1432.89,1594.41,1295.07
1974,1036.62,1077.00,985.62,980.16,861.30,1118.49,1190.14,978.39,1029.53,969.80,935.88,951.60,999.19,1059.79,1272.45,986.19
1975,990.38,928.92,942.64,1115.84,1049.29,934.34,722.11,703.52,1287.88,1167.57,763.58,1112.46,1270.05,1091.81,872.12,1112.27
1976,1145.18,1159.74,1125.51,1267.66,1159.04,1005.86,892.40,907.79,1353.79,1306.22,938.02,1251.00,1340.29,1239.57,1008.73,1283.85
1977,1466.88,1542.62,1425.19,1492.13,1334.10,1388.02,1335.01,1337.70,1571.93,1500.67,1255.14,1458.84,1579.02,1572.97,1499.22,1531.28
1978,1575.13,1623.83,1618.06,1735.09,1457.98,1464.28,1287.08,1332.95,1731.18,1629.32,1320.65,1583.77,1728.00,1794.17,1500.88,1753.51
1979,1465.24,1399.13,1257.29,1389.60,1325.31,1562.54,1709.95,1378.08,1733.69,1497.87,1242.14,1376.10,1743.32,1357.25,1777.22,1351.89
1980,1501.78,1576.64,1563.72,1543.25,1287.07,1340.79,1621.54,1380.36,1632.89,1454.08,1257.54,1451.53,1438.18,1697.06,1645.56,1600.55
1981,1152.17,1199.84,1146.21,1179.18,994.89,1101.54,1256.91,1043.39,1159.32,1140.80,973.51,1152.67,1088.40,1235.18,1342.87,1161.93
1982,1341.50,1273.46,1169.31,1399.98,1384.73,1151.62,1294.83,1176.72,1652.91,1563.81,1079.97,1413.04,1742.00,1288.95,1372.02,1380.73
1983,1408.08,1380.28,1373.56,1490.35,1439.49,1214.21,1288.16,1249.45,1662.55,1531.22,1148.08,1425.96,1752.40,1504.95,1341.84,1500.42
1984,1303.26,1294.60,1189.37,1293.80,1182.05,1339.91,1323.46,1203.99,1451.55,1334.03,1136.52,1273.63,1430.55,1313.84,1453.05,1310.54
1985,1315.02,1386.70,1381.51,1431.42,1140.02,1163.21,1297.66,1146.50,1358.27,1305.85,1114.59,1332.50,1281.10,1498.93,1329.11,1452.97
1986,1132.58,1083.39,983.67,1071.50,1096.11,1138.65,1338.84,1110.53,1213.91,1161.21,973.26,1067.29,1267.41,1080.98,1425.99,1068.29
1987,1323.77,1322.42,1209.96,1223.73,1239.96,1335.67,1485.53,1299.46,1475.53,1357.46,1152.22,1228.35,1516.57,1258.02,1488.27,1270.33
1988,1535.07,1613.36,1582.84,1666.14,1365.84,1448.21,1313.68,1222.17,1706.45,1593.34,1280.10,1586.01,1600.53,1765.39,1486.43,1683.51
1989,1138.14,1141.87,1119.51,1270.81,1085.94,1020.96,983.41,939.12,1348.64,1237.46,906.76,1199.89,1302.10,1274.46,1074.10,1247.25
1990,1275.44,1304.53,1239.22,1336.73,1152.35,1193.75,1280.48,1170.45,1323.44,1297.42,1097.10,1292.47,1278.39,1372.13,1346.83,1355.84
1991,1284.46,1244.52,1243.44,1519.50,1385.35,1031.54,886.36,900.68,1637.77,1577.35,956.62,1513.07,1617.76,1417.14,1068.00,1518.89
1992,1145.03,1056.77,1077.90,1324.55,1252.22,898.55,894.32,803.11,1604.71,1436.70,813.48,1315.25,1570.20,1251.74,967.58,1309.65
1993,1305.74,1308.72,1188.38,1187.63,1148.96,1410.14,1440.49,1333.09,1343.76,1239.94,1136.16,1162.01,1456.10,1257.26,1586.26,1239.79
1994,1267.68,1230.75,1224.73,1412.53,1347.26,1065.77,1003.10,1021.30,1531.16,1449.16,980.38,1381.90,1547.68,1411.03,1143.74,1466.97
1995,1541.93,1530.65,1448.78,1562.71,1521.59,1461.12,1481.12,1343.61,1816.60,1700.99,1279.67,1540.21,1877.70,1565.75,1611.59,1545.75
1996,1449.32,1527.34,1515.63,1534.00,1263.00,1378.61,1400.63,1294.89,1447.74,1431.17,1222.50,1448.89,1352.94,1621.88,1520.52,1589.28
1997,1257.74,1242.81,1241.87,1373.13,1280.21,1065.72,1110.09,1020.41,1485.03,1404.13,999.20,1338.20,1498.80,1391.19,1175.20,1406.53
1998,1221.69,1015.99,950.39,1292.21,1321.41,1161.02,1258.64,1070.00,1587.75,1443.63,945.37,1332.19,1600.30,1171.00,1335.07,1281.27
1999,1290.36,1361.75,1304.06,1451.56,1364.62,1218.99,872.18,939.56,1411.51,1446.98,1058.56,1435.23,1358.49,1419.86,1214.09,1474.33
2000,1224.50,1200.19,1182.65,1314.73,1175.47,1117.39,1182.71,1073.91,1405.46,1308.26,986.60,1244.05,1398.49,1327.69,1254.11,1326.31
2001,1487.19,1381.74,1379.34,1660.28,1545.02,1270.83,1483.16,1271.70,1669.61,1689.06,1142.87,1698.09,1619.77,1603.95,1498.88,1643.62
2002,1406.36,1323.66,1302.45,1425.91,1475.48,1189.73,1176.91,1077.97,2054.28,1730.55,1066.32,1497.37,2040.83,1434.92,1306.90,1439.24
2003,1409.37,1228.60,1136.40,1508.81,1472.14,1297.24,1518.43,1270.60,1677.14,1645.57,1085.75,1580.64,1628.96,1393.48,1520.99,1495.76
2004,1117.42,918.56,869.22,1309.66,1239.55,1019.04,1019.38,876.33,1439.85,1357.43,826.59,1328.89,1406.54,1164.67,1144.22,1255.18
2005,1681.85,1448.68,1335.47,1750.34,1725.65,1603.03,1891.09,1479.05,2089.66,1982.81,1361.50,1811.31,2085.60,1621.41,1875.25,1636.15
2006,1252.52,1215.40,1167.68,1307.39,1247.93,1123.40,1123.32,1075.85,1560.15,1419.28,1007.92,1311.55,1526.75,1318.93,1231.30,1326.44
2007,1742.24,2033.76,1876.97,1563.36,1191.51,1887.34,2105.57,1829.77,1424.26,1361.35,1712.15,1378.35,1406.99,1855.08,2141.11,1600.17
2008,1484.44,1501.11,1435.44,1651.19,1459.87,1413.78,1290.36,1264.52,1569.22,1565.87,1259.01,1603.33,1500.85,1644.14,1491.69,1604.57
2009,1204.03,1338.48,1290.45,1229.62,1066.99,1109.74,1070.88,1068.45,1286.36,1170.76,1033.70,1162.62,1181.53,1361.70,1206.65,1309.57
2010,1567.00,1662.80,1412.00,1452.48,1265.67,1848.90,1766.52,1490.36,1492.44,1417.91,1503.99,1384.42,1469.62,1547.37,1971.19,1439.71
2011,1438.09,1580.95,1372.87,1342.91,1131.40,1681.67,1589.19,1409.95,1322.25,1225.66,1431.26,1216.63,1282.06,1453.91,1798.57,1346.26
2012,1485.76,1397.68,1355.37,1545.79,1516.14,1361.84,1458.40,1202.13,1770.31,1758.46,1164.66,1615.11,1795.89,1525.40,1518.09,1549.45
2013,1391.80,1242.83,1294.81,1640.69,1697.50,1094.14,804.86,848.26,2000.39,1923.50,933.22,1775.10,1958.20,1549.11,1099.68,1611.07
2014,1357.71,1296.03,1171.62,1305.68,1271.89,1272.92,1577.60,1361.24,1623.98,1417.22,1157.88,1299.53,1614.93,1303.11,1533.66,1325.42
2015,1154.81,1152.48,1185.56,1266.72,1129.62,966.55,1044.72,991.04,1376.26,1241.56,907.64,1172.38,1362.77,1276.61,1113.84,1290.93
2016,1306.08,1300.85,1272.72,1378.57,1287.64,1188.33,1359.77,1178.27,1397.74,1361.04,1067.52,1359.09,1386.72,1384.46,1362.40,1383.38
2017,1555.33,1684.95,1487.22,1479.14,1313.00,1658.98,1637.99,1462.51,1534.39,1465.52,1441.72,1422.61,1495.53,1594.86,1803.86,1515.61
2018,1314.54,1234.98,1259.46,1402.67,1307.79,1096.85,1131.92,1073.17,1682.07,1548.27,981.75,1449.06,1687.39,1407.02,1261.65,1429.06
2019,1375.07,1497.06,1494.44,1411.00,1141.10,1306.83,1421.48,1279.18,1331.61,1238.39,1197.39,1275.78,1314.27,1572.94,1476.84,1443.40
2020,1547.12,1366.51,1337.86,1639.77,1744.04,1361.63,1471.83,1302.13,1986.66,1917.23,1153.67,1792.82,1913.89,1534.80,1551.96,1649.72
