Variable:,pr
,Guatemala,Guatemala,"El Progreso",Sacatepéquez,Chimaltenango,Escuintla,"Santa Rosa",Sololá,Totonicapán,Quetzaltenango,Suchitepéquez,Retalhuleu,"San Marcos",Huehuetenango,Quiché,"Baja Verapaz","Alta Verapaz",Petén,Izabal,Zacapa,Chiquimula,Jalapa,Jutiapa
1971,2298.73,1901.06,2102.74,1955.72,1792.37,2668.55,2111.50,2028.12,2328.23,2960.26,2457.99,2617.79,2225.86,2965.51,3028.54,2395.43,3025.60,1849.50,2323.82,2346.50,1889.09,2102.05,1842.25
1972,2461.50,1979.09,2203.08,1993.69,1798.45,2654.60,2163.64,2014.84,2265.66,2772.06,2290.90,2346.69,2040.93,2943.47,3053.64,2622.21,3263.80,2274.09,2478.19,2359.89,1820.65,2028.39,1758.52
1973,2874.20,2583.60,2706.63,2658.27,2416.78,3762.35,3017.42,2741.51,2942.02,3805.82,3406.95,3502.79,2830.81,3452.17,3638.22,2920.67,3632.03,2303.45,2732.00,2873.69,2389.18,2663.84,2506.03
1974,2421.97,2290.86,2610.09,2195.40,1931.21,2951.22,2782.05,2104.87,2165.76,2700.39,2385.31,2352.84,1987.02,2412.82,2734.79,2566.06,3241.41,1961.53,2746.83,2885.06,2423.56,2649.72,2417.04
1975,2437.11,2177.84,2311.07,2201.16,1982.05,3051.72,2534.17,2215.43,2384.37,2945.84,2642.02,2635.85,2184.95,2852.63,3080.03,2571.16,3094.74,2075.34,2293.52,2380.31,1976.64,2270.60,2064.23
1976,2485.30,2077.88,2407.62,2047.43,1834.41,2813.78,2372.17,2040.23,2177.93,2767.05,2428.38,2466.02,2026.41,2554.03,2806.03,2611.00,3346.95,2230.97,2743.71,2728.36,2149.74,2316.89,2024.14
1977,2284.36,1957.64,2183.78,1927.35,1693.71,2645.95,2308.41,1861.84,1949.64,2409.53,2160.94,2126.39,1771.52,2311.20,2497.04,2282.94,2980.75,2134.09,2495.92,2433.21,1928.93,2119.93,1888.75
1978,2692.71,2250.83,2539.28,2239.76,2017.02,3084.70,2583.77,2279.14,2411.12,3025.23,2676.15,2706.61,2262.24,2880.28,3065.94,2713.96,3494.95,2414.73,3018.32,2901.30,2294.30,2469.86,2183.02
1979,2998.04,2567.86,2972.62,2495.75,2237.20,3408.55,3054.25,2502.09,2629.49,3330.06,2902.55,2924.24,2469.94,3030.39,3298.13,3028.23,4001.13,2599.94,3528.66,3439.40,2809.76,2967.96,2704.03
1980,2915.02,2465.06,2915.48,2364.09,2125.17,3226.54,2860.50,2367.30,2522.48,3017.63,2730.87,2673.02,2253.13,2986.45,3277.15,3128.06,3985.19,2610.55,3261.10,3256.81,2558.30,2794.90,2476.62
1981,2968.15,2688.43,2936.87,2694.64,2423.93,3728.99,3088.02,2741.85,2852.36,3664.99,3237.12,3275.24,2743.29,3235.86,3543.18,3100.60,3924.00,2405.22,3172.52,3230.32,2657.05,2848.27,2568.88
1982,2855.69,2506.22,2780.02,2506.41,2230.72,3421.62,2800.66,2478.54,2639.86,3391.17,2922.77,2982.52,2479.82,3007.77,3360.51,3017.61,3830.01,2482.91,2997.28,3044.80,2381.68,2640.22,2273.52
1983,2820.10,2472.56,2727.39,2455.26,2237.35,3219.27,2748.13,2526.89,2770.69,3351.22,2764.50,2789.24,2467.93,3413.38,3591.06,3057.13,3720.05,2389.77,2836.16,2870.76,2275.05,2555.34,2258.67
1984,3084.59,2774.01,2919.87,2828.29,2544.51,3847.08,3162.04,2860.26,3015.48,3818.07,3338.95,3409.43,2874.83,3532.24,3715.40,3112.08,4064.91,2592.92,3129.10,3140.89,2455.28,2708.47,2449.63
1985,2629.68,2345.99,2504.94,2398.52,2174.49,3203.15,2500.91,2440.29,2616.86,3264.97,2792.95,2843.60,2432.03,3108.24,3275.80,2802.10,3428.02,2241.49,2544.39,2581.84,2064.51,2350.56,2038.79
1986,2248.11,1914.50,2220.30,1863.85,1646.33,2532.37,2160.95,1761.61,1897.31,2464.82,2134.74,2183.51,1794.66,2238.69,2534.07,2332.21,3019.08,2048.17,2459.45,2493.21,1961.87,2169.86,1859.41
1987,2053.49,1772.59,1966.27,1782.19,1586.65,2352.72,2100.95,1739.48,1797.16,2192.43,1941.83,1931.46,1660.75,2027.20,2254.42,2025.35,2627.47,1843.13,2405.63,2334.19,1948.30,2011.90,1854.99
1988,2873.20,2440.83,2779.39,2419.28,2197.03,3246.31,2947.84,2467.58,2634.37,3097.08,2785.72,2744.09,2367.88,3092.56,3293.64,2906.02,3757.00,2433.13,3417.10,3318.17,2773.86,2832.31,2648.83
1989,2771.85,2427.79,2661.04,2431.02,2183.99,3393.43,2836.86,2479.00,2603.17,3316.83,2955.18,2997.73,2444.16,2934.97,3225.88,2857.84,3561.80,2413.20,2895.20,2898.39,2348.89,2605.95,2365.55
1990,2794.62,2310.78,2685.34,2249.84,2028.52,3017.16,2540.42,2285.07,2567.95,3092.19,2566.04,2578.20,2287.89,3213.79,3465.08,3022.27,3711.41,2461.95,3088.88,2971.81,2322.02,2563.09,2149.15
1991,2407.99,2132.87,2386.01,2101.94,1858.08,2879.38,2508.90,2019.58,2134.88,2649.75,2410.53,2407.24,1956.01,2453.08,2769.84,2536.73,3154.18,2120.97,2587.39,2607.60,2110.87,2341.41,2123.45
1992,2723.17,2463.48,2810.98,2414.46,2066.60,3083.22,2875.56,2075.98,2247.35,2706.68,2376.89,2351.70,2012.46,2688.16,3064.61,3014.32,3659.96,2377.42,3167.18,3168.89,2624.00,2789.37,2545.95
1993,2738.66,2455.44,2761.21,2429.20,2149.39,3223.08,2842.62,2312.45,2429.24,3076.18,2710.07,2755.83,2317.76,2799.38,3100.21,2859.52,3660.67,2306.62,3148.03,3127.40,2561.91,2741.87,2474.57
1994,2300.03,2003.80,2283.75,1950.29,1720.83,2658.73,2322.78,1864.08,2022.19,2501.10,2217.17,2219.86,1838.10,2414.65,2675.79,2472.87,3098.10,2047.93,2408.33,2458.08,1937.08,2197.42,1953.95
1995,3152.81,2785.61,2982.65,2857.85,2609.72,3888.91,3110.23,2988.54,3197.09,4087.37,3478.42,3582.59,3037.76,3817.11,3958.80,3270.70,4092.22,2557.20,3172.75,3214.11,2587.76,2894.56,2572.27
1996,2750.71,2364.57,2592.72,2394.84,2202.22,3378.32,2758.52,2599.98,2800.21,3602.38,3056.88,3151.94,2677.21,3340.04,3379.96,2805.51,3474.12,2238.85,2822.79,2877.67,2367.62,2563.43,2344.29
1997,2721.12,2325.37,2585.11,2339.70,2105.39,3106.54,2584.32,2299.71,2512.57,3178.36,2705.36,2764.47,2318.03,3027.33,3375.31,2944.13,3580.23,2364.12,2862.45,2844.52,2288.43,2503.13,2200.48
1998,2960.44,2545.29,2733.02,2607.08,2391.51,3609.27,2873.08,2756.16,2960.95,3716.24,3252.70,3309.46,2771.15,3518.18,3718.90,3106.71,3779.44,2469.61,3075.45,2957.65,2356.40,2628.00,2355.32
1999,2910.52,2532.30,2674.03,2618.81,2432.80,3630.49,2822.09,2899.39,3097.79,3903.61,3336.65,3445.00,2916.67,3652.75,3711.03,2971.13,3667.61,2384.96,2784.75,2851.24,2284.88,2580.73,2291.57
2000,2680.08,2355.57,2570.95,2375.12,2156.53,3240.32,2662.42,2460.02,2598.19,3350.86,2887.43,2978.14,2498.72,2998.59,3207.32,2743.74,3479.71,2260.26,2766.77,2809.18,2289.61,2518.64,2250.52
2001,2733.69,2381.94,2676.01,2352.29,2103.44,3108.01,2666.15,2319.95,2525.11,3078.47,2641.32,2647.21,2272.53,3017.64,3342.64,2935.83,3694.45,2355.01,2911.18,2919.21,2308.27,2573.44,2243.76
2002,2591.44,2303.20,2503.74,2336.71,2117.10,3149.32,2595.65,2369.15,2521.10,3127.66,2743.32,2763.72,2342.08,2941.48,3184.66,2748.93,3426.08,2167.36,2608.25,2702.61,2186.38,2436.56,2172.54
2003,2326.50,1992.72,2213.50,1977.94,1759.89,2787.63,2370.20,1966.25,2104.06,2743.28,2413.57,2470.51,2049.22,2519.26,2705.78,2379.37,3004.35,2053.40,2385.98,2404.90,1970.66,2179.38,2023.37
2004,2557.13,2315.68,2509.06,2329.32,2067.70,3333.35,2723.72,2325.94,2425.97,3272.21,2899.23,2968.75,2416.77,2758.36,2996.01,2671.99,3338.37,2094.32,2635.42,2694.42,2181.00,2451.35,2238.43
2005,2971.99,2738.67,2850.52,2809.65,2520.07,4013.93,3221.63,2860.41,2982.71,3902.42,3515.40,3558.99,2878.08,3377.65,3585.31,3025.68,3752.66,2432.20,2843.53,2985.63,2415.64,2791.38,2585.13
2006,2986.19,2543.81,2910.17,2501.30,2220.31,3379.50,2899.67,2408.48,2577.09,3207.00,2853.04,2854.18,2368.15,3027.07,3424.90,3104.90,3988.81,2639.63,3502.02,3322.13,2674.29,2841.26,2482.40
2007,2631.39,2296.18,2502.44,2312.03,2091.43,3275.83,2669.54,2384.73,2529.29,3303.61,2932.75,3013.81,2452.46,2945.29,3127.23,2672.36,3401.93,2242.27,2600.95,2706.83,2184.33,2451.97,2230.69
2008,2863.94,2546.66,2796.41,2540.71,2283.59,3473.19,2940.20,2565.74,2717.82,3487.08,3011.33,3069.94,2582.20,3152.75,3398.85,2957.22,3757.98,2400.56,3041.27,3050.02,2483.98,2728.57,2446.69
2009,2466.58,2171.06,2399.06,2173.29,1965.73,2995.60,2498.42,2232.07,2417.37,3042.00,2620.95,2680.30,2275.28,2910.73,3033.54,2639.42,3234.23,2022.96,2518.03,2593.92,2084.30,2329.35,2092.34
2010,3134.10,2843.27,2982.55,2900.25,2641.62,4024.38,3288.94,3077.06,3221.35,4226.44,3583.15,3715.68,3165.20,3675.47,3803.42,3114.99,3996.75,2567.66,3019.30,3113.92,2490.04,2916.18,2657.99
2011,3078.85,2689.69,2933.35,2705.41,2449.73,3727.09,3062.63,2779.10,3018.40,3795.62,3258.11,3306.33,2803.41,3632.80,3845.57,3250.74,4033.25,2555.45,3185.58,3131.48,2471.56,2826.10,2513.42
2012,2470.43,2093.29,2410.89,2036.50,1798.60,2825.29,2507.43,1974.20,2122.29,2651.63,2386.17,2394.19,1967.26,2540.63,2807.12,2508.14,3323.50,2196.87,2736.69,2728.03,2187.47,2381.05,2156.86
2013,3446.62,2906.76,3152.05,2955.73,2695.49,4106.19,3249.02,3084.15,3283.46,4194.88,3697.44,3776.12,3114.37,3854.12,4129.91,3456.24,4411.62,3045.61,3601.91,3471.94,2741.84,3037.49,2659.97
2014,2730.94,2410.88,2606.53,2442.65,2184.87,3474.84,2765.19,2474.40,2600.31,3503.70,3037.32,3124.33,2556.55,2944.81,3225.71,2836.07,3547.84,2325.79,2765.65,2783.50,2204.53,2517.10,2242.23
2015,2464.13,2132.19,2378.07,2121.50,1898.96,2958.23,2463.50,2116.39,2307.94,2954.66,2574.27,2625.25,2168.44,2802.40,3017.62,2664.28,3247.44,2097.19,2466.88,2565.20,2085.66,2297.51,2070.36
