Variable:,pr
,"Timor Leste",Aileu,Ainaro,Baucau,Bobonaro,Covalima,Dili,Ermera,Lautem,Liquica,Manatuto,Manufahi,Oecussi,Viqueque
1959,1519.35,1489.14,1632.42,1681.23,1264.99,1201.63,1498.94,1326.68,1831.90,1325.46,1534.86,1702.94,1146.07,1577.59
1960,1256.37,1185.56,1334.14,1402.48,1043.07,1010.81,1192.03,1078.25,1634.39,1077.45,1230.54,1390.32,1018.56,1288.58
1961,1571.15,1511.83,1744.07,1637.62,1440.77,1443.62,1515.60,1449.29,1788.56,1448.82,1530.59,1799.16,1505.78,1534.85
1962,1294.11,1214.21,1394.40,1417.07,1109.83,1103.02,1219.56,1125.50,1635.00,1124.84,1255.90,1447.91,1139.46,1306.54
1963,1533.71,1468.84,1696.10,1627.42,1372.15,1363.93,1473.57,1390.25,1791.05,1389.66,1497.55,1756.01,1407.47,1517.66
1964,1697.76,1731.51,1795.97,1828.54,1467.32,1387.47,1743.09,1539.32,1904.16,1537.88,1753.88,1858.73,1241.02,1754.48
1965,1142.19,1022.94,1187.26,1306.83,932.52,939.45,1028.06,937.87,1593.41,937.24,1084.53,1236.63,975.34,1178.48
1966,1077.87,958.45,1084.26,1265.99,847.34,844.94,964.44,859.07,1574.92,858.33,1026.52,1131.70,870.74,1134.74
1967,1000.37,885.47,944.27,1206.21,762.68,754.06,892.03,776.80,1528.08,775.99,957.91,982.51,759.63,1082.41
1968,2231.91,2327.50,2534.79,2374.77,1910.87,1766.97,2344.84,2039.86,2245.22,2037.70,2356.98,2649.95,1706.17,2320.13
1969,1243.32,1142.41,1294.26,1402.61,1035.45,1035.49,1148.25,1045.58,1651.86,1044.86,1200.29,1344.38,1058.24,1283.41
1970,1296.31,1221.74,1348.46,1453.89,1078.94,1057.44,1228.72,1106.14,1684.96,1105.28,1272.16,1400.94,1040.96,1340.83
1971,1328.49,1249.59,1416.70,1447.97,1154.77,1149.24,1254.47,1168.73,1667.58,1168.12,1288.13,1466.45,1177.66,1336.23
1972,863.99,731.95,811.56,1076.27,618.30,608.18,737.84,634.22,1440.59,633.48,807.93,852.22,620.93,940.68
1973,1335.57,1294.42,1371.00,1530.06,1060.94,998.62,1304.92,1120.29,1730.97,1118.98,1351.50,1432.42,953.06,1424.42
1974,1571.43,1538.22,1713.37,1659.75,1409.04,1391.39,1544.53,1433.46,1790.11,1432.68,1560.09,1769.18,1408.69,1568.80
1975,1252.51,1178.46,1321.28,1372.74,1078.54,1067.42,1183.47,1095.50,1608.51,1094.88,1214.68,1367.75,1089.17,1262.80
1976,1274.49,1185.83,1363.44,1377.28,1124.16,1139.34,1189.70,1121.74,1602.75,1121.26,1221.72,1407.43,1194.46,1270.12
1977,1301.34,1212.40,1389.55,1433.58,1113.04,1117.64,1217.95,1120.32,1658.28,1119.63,1258.78,1441.29,1176.17,1319.85
1978,1796.24,1834.27,1972.43,1993.59,1456.44,1320.96,1849.89,1575.25,2021.94,1573.32,1884.25,2071.33,1235.82,1906.95
1979,1252.98,1190.81,1323.96,1410.12,1022.63,975.10,1198.11,1069.83,1634.56,1068.92,1239.02,1382.56,914.45,1299.95
1980,1340.22,1238.58,1457.13,1448.16,1182.28,1205.63,1242.40,1175.31,1670.22,1174.84,1280.13,1507.79,1298.86,1332.27
1981,1227.91,1146.31,1272.27,1403.04,991.82,968.85,1153.90,1020.40,1640.58,1019.46,1205.65,1327.22,970.25,1287.61
1982,1362.76,1279.40,1471.46,1485.56,1180.24,1183.40,1284.86,1188.86,1692.44,1188.19,1322.12,1525.41,1242.37,1373.84
1983,1765.13,1740.90,1998.26,1787.15,1666.21,1661.22,1744.50,1681.09,1881.98,1680.64,1736.40,2057.70,1699.10,1691.92
1984,1516.60,1434.99,1675.77,1618.07,1350.93,1367.79,1440.07,1350.74,1787.61,1350.11,1472.48,1734.70,1453.88,1507.32
1985,1141.87,1039.77,1130.23,1376.02,853.79,822.53,1048.86,889.07,1657.92,887.94,1121.16,1187.09,798.84,1243.77
1986,1137.60,1060.87,1173.51,1342.25,857.16,810.82,1070.35,903.60,1592.50,902.42,1129.62,1235.34,830.17,1226.92
1987,1113.93,1002.64,1165.15,1255.78,926.71,936.66,1007.08,928.88,1542.67,928.33,1054.03,1210.87,994.15,1132.92
1988,1198.02,1087.31,1271.46,1331.31,1018.35,1036.87,1091.68,1014.83,1599.33,1014.29,1136.23,1319.11,1110.55,1207.88
1989,1251.81,1186.41,1342.45,1369.35,1070.56,1044.97,1191.66,1099.34,1593.81,1098.69,1219.95,1394.24,1043.86,1260.54
1990,1208.16,1117.98,1269.41,1354.63,1006.74,995.09,1123.55,1025.63,1603.61,1024.94,1168.04,1319.89,1049.25,1239.47
1991,1314.22,1225.96,1397.21,1461.97,1109.04,1104.05,1232.14,1123.58,1684.36,1122.81,1277.38,1451.97,1164.07,1344.95
1992,1472.33,1404.89,1609.46,1593.73,1281.85,1263.23,1410.75,1307.79,1774.56,1307.07,1442.97,1671.36,1244.56,1478.85
1993,1159.38,1044.08,1224.71,1300.91,973.14,987.06,1048.39,972.70,1577.94,972.16,1096.63,1272.58,1044.24,1175.04
1994,1492.35,1379.75,1685.68,1553.99,1381.21,1439.22,1381.55,1349.94,1739.89,1349.72,1410.56,1738.90,1584.06,1438.27
1995,1851.03,1826.45,2127.97,1877.47,1735.39,1728.25,1830.79,1754.51,1932.90,1753.98,1828.65,2197.75,1734.79,1785.45
1996,1608.88,1580.34,1732.95,1699.92,1448.35,1435.89,1587.12,1467.93,1805.28,1467.09,1605.83,1784.72,1511.28,1621.14
1997,1410.41,1323.30,1533.99,1529.23,1231.57,1243.47,1328.66,1234.50,1719.28,1233.84,1368.26,1589.64,1306.57,1420.20
1998,1403.61,1341.43,1520.65,1513.61,1227.19,1210.82,1346.95,1249.80,1704.50,1249.12,1374.32,1575.46,1239.08,1408.20
1999,1344.30,1274.17,1431.25,1484.91,1138.19,1118.70,1280.82,1163.86,1694.85,1163.03,1319.35,1487.05,1137.67,1374.72
2000,1394.40,1330.13,1512.19,1509.24,1212.27,1193.63,1335.75,1236.86,1702.39,1236.16,1364.99,1568.36,1232.47,1401.99
2001,1218.37,1119.27,1245.85,1412.41,970.70,958.67,1127.00,991.08,1670.84,990.12,1187.99,1300.25,972.96,1287.54
2002,1292.20,1201.51,1359.91,1448.04,1080.87,1076.51,1207.93,1095.02,1680.58,1094.23,1255.84,1413.32,1121.46,1329.83
2003,1419.16,1342.13,1546.16,1510.21,1271.82,1287.52,1346.48,1269.83,1699.90,1269.29,1372.98,1595.66,1381.68,1405.22
2004,1402.04,1343.75,1524.63,1512.40,1223.15,1195.64,1349.16,1254.04,1701.29,1253.36,1374.58,1581.36,1225.67,1405.34
2005,1195.69,1097.43,1212.07,1401.87,934.97,914.03,1105.58,962.23,1666.51,961.21,1169.33,1267.60,901.55,1274.79
2006,1341.64,1256.96,1444.66,1476.10,1145.97,1140.83,1262.75,1161.05,1690.43,1160.33,1303.17,1500.67,1195.46,1360.87
2007,1297.94,1209.42,1372.07,1451.57,1086.23,1078.72,1215.83,1103.12,1682.41,1102.32,1262.34,1426.63,1106.66,1333.52
2008,1348.15,1261.26,1441.56,1474.37,1167.61,1175.70,1266.66,1171.73,1688.83,1171.06,1305.58,1492.58,1264.67,1361.92
2009,1281.50,1195.34,1341.34,1449.96,1052.94,1039.25,1202.61,1074.81,1681.36,1073.91,1253.66,1397.10,1055.16,1332.64
2010,1452.00,1402.02,1588.58,1543.00,1290.71,1271.41,1407.26,1315.14,1713.24,1314.49,1426.29,1643.57,1309.28,1443.75
2011,1624.90,1602.11,1862.36,1635.48,1530.10,1512.10,1605.02,1553.79,1741.02,1553.43,1594.48,1920.28,1577.79,1552.12
2012,1429.21,1377.31,1562.87,1531.50,1253.80,1228.47,1382.95,1283.77,1706.58,1283.07,1405.59,1620.27,1247.97,1429.76
2013,1600.70,1563.31,1818.76,1618.55,1506.50,1513.12,1566.42,1511.80,1735.97,1511.42,1563.20,1872.30,1603.40,1534.80
2014,1396.80,1334.05,1508.08,1513.18,1213.52,1199.61,1340.04,1234.67,1701.59,1233.93,1370.31,1563.06,1237.38,1409.01
2015,1339.89,1262.07,1432.44,1477.65,1140.01,1128.44,1268.24,1159.78,1690.21,1159.01,1307.69,1487.75,1151.56,1364.64
2016,1304.02,1231.13,1371.74,1465.93,1076.69,1049.17,1238.50,1108.78,1686.65,1107.86,1283.54,1428.94,1038.76,1351.75
2017,1421.55,1362.16,1538.76,1522.71,1256.29,1247.69,1367.56,1272.73,1704.66,1272.06,1392.13,1590.99,1276.48,1421.11
2018,1124.70,1024.66,1103.40,1373.99,817.17,777.99,1034.64,859.18,1658.50,857.95,1111.46,1162.68,725.64,1241.66
2019,982.76,867.27,884.75,1298.67,615.16,559.57,879.18,669.71,1635.02,668.23,977.64,944.28,449.13,1152.51
2020,1043.14,942.32,972.78,1334.19,694.47,634.95,953.80,751.95,1645.60,750.53,1041.65,1033.06,519.63,1195.51
