Variable:,pr
,France,"Administrative unit not available",Arrondissement_du_vent,Arrondissement_souse_le_vent,Fort-de-France,"La Trinite","Le Marin",Saint-Pierre,Cayenne,Saint-laurent-du-maroni,Alsace,Aquitaine,Auvergne,Basse-Normandie,Bourgogne,Bretagne,Centre,Champagne-Ardenne,Corse,Franche-Comte,Haute-Normandie,Ile-de-France,Languedoc-Rousillon,Limousin,Lorraine,Midi-Pyrenees,Nord-Pas-de-Calais,Pays-de-la-Loire,Picardie,Poitou-Charentes,Provence-Alpes-Cote-d'Azur,Rhone-Alpes,"Administrative unit not available"
1916,925.81,1651.90,2014.97,2056.04,2970.42,2897.28,2503.63,3090.00,3189.42,2808.14,1016.31,865.86,1027.63,856.25,862.89,1018.59,751.24,926.58,985.74,1224.64,800.76,704.64,872.14,959.23,1017.17,820.70,866.39,780.57,799.50,830.41,1130.75,1198.52,3055.19
1917,842.93,1692.80,2014.97,2056.04,2970.42,2897.28,2503.63,3090.00,3091.27,2651.30,868.94,887.05,972.57,722.09,779.27,808.98,640.16,782.01,795.85,1070.62,702.50,621.28,925.86,843.68,855.78,884.77,751.06,643.41,686.24,694.50,1051.29,1134.73,3055.19
1918,774.47,1575.30,2014.97,2056.04,2970.42,2897.28,2503.63,3090.00,3306.88,2965.92,806.95,803.68,828.76,704.41,711.59,857.35,611.48,775.17,597.45,1009.15,670.14,581.59,806.95,781.61,840.55,746.51,726.21,636.98,667.87,677.46,882.13,1001.21,3055.19
1919,863.26,1591.80,2014.97,2056.04,2970.42,2897.28,2503.63,3090.00,3278.78,2898.79,809.87,1073.83,869.97,812.12,758.76,1018.03,713.81,833.63,712.48,1043.64,736.92,641.31,781.50,926.61,878.12,860.83,745.99,806.10,704.66,882.31,842.61,1036.33,3055.19
1920,777.10,1534.50,2014.97,2056.04,2970.42,2897.28,2503.63,3090.00,2924.56,2372.74,699.30,810.22,836.77,646.17,625.10,833.85,545.31,671.81,850.64,831.85,606.21,501.00,994.36,772.44,722.59,867.71,659.32,586.29,602.71,642.23,1217.01,1012.54,3055.19
1921,517.59,1489.90,2014.97,2056.04,2970.42,2897.28,2503.63,3090.00,2981.97,2489.97,549.46,661.57,617.24,390.79,494.72,516.74,413.62,449.35,463.28,655.19,363.79,348.35,585.30,593.62,498.11,648.01,385.05,393.41,356.75,483.08,465.93,621.62,3055.19
1922,905.46,1452.40,2014.97,2056.04,2970.42,2897.28,2503.63,3090.00,3146.26,2740.45,1080.92,951.02,984.39,814.96,875.98,1004.32,755.85,902.17,702.81,1275.95,755.30,696.37,783.27,959.55,1038.42,798.45,770.69,803.52,743.63,857.92,908.56,1197.57,3055.19
1923,885.79,1575.00,2014.97,2056.04,2970.42,2897.28,2503.63,3090.00,3130.71,2664.46,892.08,988.37,938.72,847.67,797.59,966.42,735.51,870.23,709.96,1113.21,824.96,715.01,804.45,924.45,931.99,791.11,850.32,784.52,805.53,841.77,935.40,1141.08,3055.19
1924,790.23,1633.20,2014.97,2056.04,2970.42,2897.28,2503.63,3090.00,2873.30,2329.86,817.95,774.76,834.21,795.74,688.57,981.58,631.74,774.71,726.29,926.93,748.61,613.86,774.20,783.64,830.31,683.96,777.89,689.17,716.74,710.80,974.37,1008.29,3055.19
1925,833.74,1579.50,2014.97,2056.04,2970.42,2897.28,2503.63,3090.00,2863.46,2274.65,863.09,853.85,857.46,854.19,743.39,1021.82,721.68,875.16,694.01,991.07,802.69,687.60,742.03,873.79,925.97,716.46,880.73,794.12,807.61,807.38,876.01,944.38,3055.19
1926,861.32,1481.50,2014.97,2056.04,2970.42,2897.28,2503.63,3090.00,2838.87,2258.94,815.71,948.42,890.77,771.56,712.07,878.81,669.19,762.76,914.66,984.45,733.90,617.06,912.97,883.55,822.40,872.93,745.93,739.68,697.48,802.18,1207.19,1109.29,3055.19
1927,919.38,1589.70,2014.97,2056.04,2970.42,2897.28,2503.63,3090.00,3273.34,2975.85,928.57,1098.00,1013.47,903.39,812.82,1028.15,792.08,825.53,751.05,1085.16,862.19,698.05,795.89,1027.04,902.56,849.26,814.40,847.45,756.75,919.84,939.25,1160.16,3055.19
1928,870.14,1543.70,2014.97,2056.04,2970.42,2897.28,2503.63,3090.00,3258.84,2858.31,801.62,931.33,962.78,886.42,784.16,1037.30,725.74,797.20,790.94,1046.60,823.66,669.25,805.48,922.57,825.82,753.30,792.42,805.96,741.82,833.54,960.27,1139.23,3055.19
1929,694.82,1612.30,2014.97,2056.04,2970.42,2897.28,2503.63,3090.00,2979.34,2508.89,684.32,752.86,728.47,782.94,614.88,966.13,564.25,643.21,600.42,818.27,686.47,528.44,612.50,710.00,703.31,619.27,649.59,667.27,584.93,651.34,718.82,841.15,3055.19
1930,1033.94,1410.70,2014.97,2056.04,2970.42,2897.28,2503.63,3090.00,2985.53,2449.25,1023.34,1183.51,1088.73,946.37,955.44,1155.21,874.92,992.61,781.20,1259.70,852.36,782.91,1022.69,1105.67,1059.67,1026.70,827.77,955.30,803.83,1032.63,1095.09,1258.14,3055.19
1931,879.87,1570.40,2014.97,2056.04,2970.42,2897.28,2503.63,3090.00,2995.13,2528.19,974.75,968.00,1004.77,765.10,847.82,901.20,750.57,854.72,814.72,1108.64,735.08,703.58,812.80,960.50,926.30,794.85,748.74,746.61,735.71,833.76,985.86,1112.60,3055.19
1932,891.74,1700.20,2014.97,2056.04,3057.30,2985.81,2593.94,3174.20,3230.07,2808.94,826.15,1081.33,1001.64,706.66,766.15,863.09,665.95,777.02,729.14,1025.27,650.49,586.87,1084.73,966.81,842.86,1087.79,712.60,677.22,654.43,812.67,1114.57,1105.42,3128.42
1933,747.06,1262.00,2014.97,2056.04,3346.61,3270.90,2858.14,3470.40,3097.25,2674.32,713.32,931.77,820.19,591.17,624.84,718.63,536.09,607.90,821.71,865.70,551.09,478.90,901.71,767.05,658.98,846.65,577.81,575.91,537.93,666.19,1026.51,981.19,3365.45
1934,792.30,1708.50,2014.97,2056.04,2042.04,1990.13,1711.08,2126.90,2848.31,2220.34,656.07,982.67,851.62,706.48,646.98,882.65,622.55,680.33,890.69,838.88,646.88,537.13,803.55,865.34,690.72,817.44,654.57,684.04,607.68,786.67,1048.14,975.66,2244.77
1935,945.82,1322.10,2014.97,2056.04,2631.70,2569.56,2234.61,2733.30,2816.04,2216.53,925.16,1061.79,1053.39,867.53,860.52,995.21,728.53,856.29,832.36,1217.11,800.78,667.79,916.93,988.34,927.22,878.60,828.37,777.73,746.59,860.44,1189.18,1297.93,2746.06
1936,896.05,1204.10,2014.97,2056.04,3232.97,3162.98,2772.41,3347.40,3245.83,2840.16,913.25,1124.90,912.52,807.46,723.62,933.21,706.53,794.37,850.55,1030.46,768.94,655.74,941.18,875.99,885.12,984.05,751.01,750.54,720.95,800.73,1123.22,1087.95,3318.71
1937,918.52,2145.20,2014.97,2056.04,2128.40,2074.76,1787.59,2216.10,2981.86,2486.96,874.56,1040.11,959.03,900.11,782.42,1034.30,770.46,849.78,994.09,1058.50,857.15,722.11,815.71,989.84,902.99,828.61,859.00,845.44,805.76,909.53,1087.24,1122.45,2297.46
1938,738.21,1314.80,2014.97,2056.04,3129.63,3056.98,2659.03,3248.40,3249.06,2947.91,783.62,885.93,778.98,653.85,626.51,786.57,541.20,686.85,726.74,889.88,637.61,539.03,784.88,703.58,753.77,781.53,709.33,575.54,648.00,621.25,904.70,918.65,3182.61
1939,963.39,1785.30,2014.97,2056.04,2234.90,2179.91,1883.06,2324.80,3234.23,2838.14,1118.03,1027.21,1037.05,820.60,926.86,940.29,767.08,1000.11,852.78,1305.44,821.15,770.46,951.39,943.85,1085.15,935.34,914.98,762.00,855.61,825.50,1090.34,1228.01,2391.61
1940,893.16,1956.80,2014.97,2056.04,2061.98,2012.42,1744.55,2143.00,2844.39,2268.25,947.85,1061.76,1049.24,779.15,829.18,915.09,692.31,839.43,732.85,1151.94,723.24,625.30,842.18,950.75,923.03,857.07,761.32,701.73,700.38,802.89,983.49,1233.39,2221.59
1941,889.33,1589.50,2014.97,2056.04,2724.81,2661.58,2314.76,2828.20,3015.95,2563.78,803.33,1004.61,975.16,752.77,818.05,861.39,699.72,813.78,860.42,1022.07,730.77,668.95,954.90,920.83,829.81,919.57,743.73,722.72,720.80,797.58,1220.96,1129.78,2808.13
1942,769.94,1296.20,2014.97,2056.04,3275.02,3198.21,2776.39,3400.60,3001.61,2517.17,750.07,818.59,825.66,758.03,704.55,837.55,675.12,739.18,660.12,895.12,743.97,654.17,782.36,783.06,749.54,746.42,753.95,673.55,732.56,697.45,830.46,924.01,3342.24
1943,750.49,1406.40,2014.97,2056.04,2462.58,2402.40,2077.83,2561.00,3223.92,2812.55,644.70,866.35,801.92,634.84,639.00,784.11,567.16,691.69,762.58,835.73,596.68,530.34,877.59,753.56,704.35,828.75,664.19,587.94,627.59,661.94,982.08,941.48,2622.96
1944,789.31,1402.30,2014.97,2056.04,2830.80,2762.67,2390.65,2942.20,3047.89,2555.26,833.26,778.58,905.87,711.16,785.49,775.33,644.40,833.19,551.80,1049.78,710.65,642.21,792.96,806.43,872.29,758.63,770.85,611.85,735.56,661.26,828.66,1049.45,2957.24
1945,645.01,1340.80,2014.97,2056.04,2721.77,2653.87,2286.19,2832.80,3113.13,2648.11,745.12,743.88,660.38,594.08,543.15,763.13,475.27,651.09,466.58,801.21,558.07,484.65,613.54,619.43,717.26,611.60,676.40,529.46,620.37,556.16,748.86,813.51,2843.66
1946,751.25,1272.90,2014.97,2056.04,2274.80,2218.54,1922.72,2366.80,3152.81,2722.13,770.79,781.97,755.02,782.42,610.95,940.48,550.14,717.30,774.11,899.95,740.62,546.33,752.64,702.17,760.90,718.41,816.62,648.50,720.39,637.06,910.27,943.02,2454.41
1947,747.98,1530.70,2014.97,2056.04,2006.85,1956.36,1690.43,2089.40,2815.72,2237.28,661.33,861.56,789.73,668.81,666.73,812.27,572.56,731.23,774.37,891.89,627.43,549.98,737.24,757.03,746.75,763.21,643.16,612.66,618.28,655.26,943.12,954.45,2208.72
1948,778.18,1606.80,2014.97,2056.04,3501.70,3421.52,2982.78,3632.80,3349.45,3005.71,814.71,693.57,856.94,680.60,706.35,836.52,566.90,824.46,604.03,1009.63,650.14,600.60,816.55,722.80,863.12,695.70,783.63,605.39,736.43,610.59,1091.65,1089.98,3391.30
1949,641.43,1304.10,2014.97,2056.04,2590.10,2529.43,2208.12,2689.30,3362.47,3102.40,546.83,797.75,648.40,591.93,498.01,731.80,469.36,569.56,715.45,679.74,541.78,436.15,708.13,656.76,601.41,669.72,576.55,542.39,524.54,609.21,847.94,774.85,2767.51
1950,794.42,1407.90,2014.97,2056.04,3038.42,2958.25,2530.11,3169.50,3050.82,2581.34,905.45,830.69,779.08,829.45,712.74,1041.55,653.08,843.04,714.95,1045.55,751.74,637.26,638.43,801.14,921.09,634.70,837.70,766.66,774.32,764.90,784.02,934.02,3158.14
1951,999.84,1468.00,1648.69,1676.86,3743.00,3661.85,3205.63,3875.70,3061.72,2647.58,916.78,1053.87,1096.36,942.94,902.54,1119.62,729.06,916.55,893.04,1210.23,861.77,708.97,1082.27,983.01,945.27,1003.13,910.32,814.70,826.69,845.73,1345.39,1318.25,3231.94
1952,891.26,1336.30,2225.54,2228.96,3311.57,3233.58,2803.73,3439.10,2941.50,2427.77,955.89,968.73,896.77,886.77,862.57,1071.63,733.82,972.04,648.81,1230.50,796.24,719.55,664.43,905.95,1030.84,719.97,879.30,833.72,819.71,869.87,911.61,1094.86,3480.04
1953,609.91,1159.50,2439.26,2460.68,3141.27,3069.08,2675.48,3259.30,3240.30,2874.99,587.76,698.01,655.21,517.79,553.29,596.67,432.93,550.11,676.71,761.90,496.06,422.12,690.27,559.40,567.27,642.73,546.51,453.13,492.93,483.55,882.90,805.02,3076.48
1954,797.88,1424.00,1720.59,1739.51,3178.40,3096.32,2658.86,3312.60,3262.41,2988.14,877.67,838.70,867.88,751.88,714.49,921.11,549.30,771.70,710.76,1077.06,692.58,541.85,760.17,767.35,861.53,721.40,764.38,644.07,666.64,668.51,1024.93,1104.49,3526.28
1955,800.42,1610.30,2509.57,2541.27,3519.62,3439.64,3001.18,3650.40,3178.20,2800.74,819.36,892.91,843.16,695.19,716.32,840.02,607.18,738.56,715.77,1062.44,669.00,565.86,844.43,812.20,797.94,859.90,652.72,650.29,619.36,718.93,954.70,1050.51,3540.74
1956,780.54,1721.80,1872.14,1920.15,3747.45,3650.05,3128.89,3906.70,3294.40,2921.93,828.45,812.36,882.79,649.91,774.20,816.72,565.44,772.99,728.25,1064.21,608.40,553.58,795.91,759.73,828.96,758.77,719.48,591.91,636.19,630.62,985.17,1064.15,3545.60
1957,778.72,1569.00,1680.44,1708.75,3101.78,3025.99,2610.14,3225.70,2769.56,2107.36,744.89,751.99,794.64,719.26,686.47,880.19,628.66,786.04,696.39,909.28,656.21,609.01,862.69,770.20,782.42,779.48,748.25,664.52,692.75,687.08,1049.47,933.75,2998.56
1958,941.89,1340.20,1565.27,1579.76,3422.82,3343.27,2916.22,3552.90,3060.38,2566.42,951.40,991.82,1024.41,904.29,925.52,1083.27,862.80,966.35,659.62,1162.55,849.59,799.71,752.10,1061.94,997.63,776.60,847.74,891.00,817.62,950.29,989.31,1151.12,3766.44
1959,826.93,1449.20,1965.85,2011.51,2671.62,2599.22,2208.08,2790.00,2916.01,2381.97,695.28,1096.47,867.90,675.27,631.30,920.31,569.06,614.54,902.86,899.45,603.55,492.73,1012.29,850.63,670.74,1016.70,574.99,645.87,522.54,737.98,1184.87,1063.51,2938.43
1960,1044.95,1256.70,1844.36,1860.32,2879.31,2799.27,2377.70,3010.20,3074.00,2608.21,921.96,1145.83,1099.58,1009.35,900.11,1235.26,825.74,893.55,1002.37,1197.26,924.95,754.82,1012.85,1059.60,950.16,998.11,904.92,944.42,820.16,990.82,1379.72,1384.84,3298.00
1961,777.80,1846.90,2439.06,2492.91,2734.81,2666.32,2304.18,2846.80,2434.62,2016.50,802.16,882.27,779.12,726.16,669.19,945.46,598.75,789.54,695.14,948.87,648.30,554.03,706.92,758.46,859.69,705.94,785.89,700.78,695.14,722.85,943.14,945.30,2847.30
1962,762.48,1424.30,2121.14,2178.31,2814.37,2745.12,2374.69,2927.60,2462.14,2094.37,662.82,885.21,788.22,710.51,672.56,888.53,603.17,714.02,711.38,896.92,621.11,533.91,834.93,808.91,730.01,851.99,669.30,673.75,618.06,706.68,832.28,885.12,2971.97
1963,885.75,1377.50,1472.29,1491.64,2769.26,2716.64,2424.24,2855.30,3205.94,2640.06,794.81,978.30,945.09,771.56,721.74,920.72,663.20,713.93,795.05,1049.54,709.77,591.85,1060.63,883.70,766.70,976.61,679.93,733.66,638.18,778.73,1279.03,1208.71,2842.54
1964,727.66,1395.50,1526.27,1551.74,2696.08,2631.30,2282.11,2802.00,1916.88,1654.82,634.62,826.53,775.95,706.08,532.02,825.92,533.88,584.84,788.69,751.33,646.66,494.71,854.77,723.62,628.84,832.87,699.71,625.75,622.55,648.87,920.08,926.38,2750.42
1965,986.98,1846.20,2615.07,2685.29,2585.67,2523.33,2189.27,2687.60,2661.79,2156.86,1055.25,1089.83,1050.50,940.44,962.28,1078.93,854.89,1013.26,671.95,1337.98,883.00,792.25,898.98,1073.43,1082.56,889.69,890.37,893.86,870.35,952.97,919.28,1202.01,2836.26
1966,947.60,1289.30,1417.11,1436.75,3838.18,3766.37,3351.40,3955.60,2875.76,2405.19,942.36,1104.15,910.03,975.52,815.61,1161.92,794.51,951.01,869.07,1121.50,901.85,759.85,790.98,981.93,1010.92,866.91,965.87,915.21,894.21,955.00,994.28,1047.85,3464.70
1967,726.00,1347.70,1764.67,1784.46,3289.27,3202.78,2732.16,3430.70,3300.76,2721.10,828.50,800.64,736.21,813.84,704.58,966.02,621.73,767.24,561.71,977.90,736.05,595.21,565.64,738.71,868.40,623.59,692.47,690.76,661.90,689.29,549.97,828.89,3094.86
1968,916.37,1707.70,2038.93,2085.35,2663.59,2594.66,2223.26,2776.30,3279.16,2846.75,1020.86,990.47,1021.27,782.64,906.18,893.81,728.63,848.32,762.10,1232.47,743.77,687.09,924.41,949.67,944.01,899.14,749.29,715.37,722.15,779.39,1143.27,1230.05,2743.44
1969,844.73,1853.80,1849.83,1887.28,3276.91,3206.53,2817.49,3392.00,2791.12,2410.81,829.59,1053.64,903.09,733.78,693.28,878.15,621.08,723.79,832.13,970.35,690.15,582.97,977.21,876.79,789.64,995.51,773.64,675.96,674.39,749.59,1008.29,1013.87,3333.13
1970,818.06,1493.20,1827.60,1864.60,3641.07,3555.74,3091.82,3780.60,3787.85,3199.38,946.84,807.95,887.42,804.97,813.96,929.25,649.57,864.53,527.43,1172.48,743.45,636.95,745.58,813.40,970.70,706.45,727.51,695.28,701.47,701.02,844.58,1097.34,3486.21
1971,781.92,1604.70,1500.34,1532.64,2625.28,2553.77,2186.15,2742.20,3710.80,3118.37,617.94,1023.21,911.96,628.03,593.97,754.30,574.63,593.90,729.62,769.80,593.13,502.10,990.06,865.22,604.89,985.32,607.02,606.98,564.26,695.10,1038.61,1010.27,2856.85
1972,858.59,1613.40,2693.84,2705.13,3063.20,2971.58,2494.08,3213.00,3273.95,2865.08,745.29,956.43,895.67,761.37,677.18,944.63,623.72,732.91,873.23,874.91,696.71,623.71,1058.87,790.51,758.32,978.99,674.14,667.13,685.76,675.09,1341.97,1112.79,3082.32
1973,710.83,1952.20,1856.71,1890.32,1963.27,1926.86,1727.69,2022.80,3157.44,2712.54,755.99,812.31,751.95,614.18,634.91,707.16,582.70,675.00,626.60,870.49,593.21,548.92,670.43,744.26,705.42,672.18,602.86,591.93,582.17,652.56,950.15,918.44,2194.26
1974,890.54,1826.90,2189.75,2262.20,2626.89,2549.89,2143.39,2752.80,2961.66,2462.35,831.55,1010.05,917.51,908.39,770.88,1048.35,683.83,887.83,676.68,1040.57,870.91,708.59,866.76,862.62,904.49,870.90,950.65,746.83,864.35,764.14,1024.45,1083.21,2788.82
1975,820.18,1425.90,1678.15,1705.90,2948.55,2869.39,2448.41,3078.00,3104.23,2710.21,838.18,865.56,910.80,712.95,747.79,786.74,675.64,717.62,845.46,1011.41,736.43,641.51,794.18,827.97,765.88,769.06,768.53,683.44,696.07,726.82,1096.35,1120.56,3101.94
1976,755.10,1758.80,2217.82,2262.17,2824.86,2749.55,2343.26,2948.00,3844.30,3239.94,641.05,913.43,867.12,580.57,593.33,724.52,516.07,546.00,952.47,812.75,526.52,422.21,896.45,807.26,603.62,803.98,561.67,576.17,478.45,687.52,1270.37,1077.46,2816.75
1977,1013.98,1613.80,2251.20,2288.44,2685.92,2617.50,2245.25,2797.80,3134.03,2592.56,934.79,1039.79,1206.50,803.66,1002.94,962.20,792.76,939.48,798.74,1318.03,752.00,730.03,1105.22,1069.11,977.24,1011.65,800.98,779.22,768.42,868.06,1346.40,1440.66,2870.80
1978,821.28,1738.80,1709.45,1748.87,2788.13,2719.46,2344.14,2900.40,3172.85,2667.19,895.16,919.88,817.82,782.41,726.25,920.78,707.89,783.69,812.06,1027.90,722.91,675.03,735.81,858.95,838.17,754.98,673.31,745.42,697.00,787.25,977.19,995.14,2826.18
1979,986.86,1538.30,2309.67,2343.84,3241.56,3162.89,2742.06,3370.20,3171.38,2735.57,930.31,1154.02,1046.58,883.31,918.70,1073.61,814.93,933.28,911.12,1189.23,802.26,731.52,921.13,1065.49,998.57,949.45,812.71,882.53,775.18,965.34,1178.41,1205.89,3588.49
1980,836.36,1949.70,2783.30,2851.01,3112.94,3035.41,2624.50,3239.70,2995.63,2481.04,866.87,925.87,857.19,838.48,760.23,955.73,704.90,850.19,806.90,1063.13,806.04,693.61,711.66,868.81,915.92,733.70,819.56,763.98,790.97,785.99,813.84,1028.41,3041.70
1981,954.33,1752.10,1889.96,1932.69,3483.00,3394.62,2915.69,3627.50,3009.67,2610.50,1025.36,946.86,1037.45,903.84,991.23,1055.17,831.55,1044.57,610.26,1341.59,877.32,815.79,783.17,1026.48,1102.76,810.89,914.17,847.56,894.99,902.00,914.12,1173.15,3555.94
1982,908.54,1623.40,3108.83,3148.59,3356.06,3259.77,2752.98,3513.50,3022.78,2529.68,1002.24,996.34,941.68,899.26,847.72,1102.33,746.78,894.88,723.61,1222.04,812.05,722.30,855.39,935.86,978.54,883.84,759.89,852.32,769.54,885.60,800.98,1097.46,3410.30
1983,824.30,1922.40,1450.24,1483.65,2670.51,2607.90,2271.10,2772.90,2772.92,2372.30,890.47,846.96,910.49,744.24,825.08,854.41,717.60,847.43,685.06,1139.43,720.19,665.61,668.56,899.61,917.50,691.11,716.58,736.83,710.06,795.50,873.82,1079.06,2819.82
1984,912.84,1696.80,1720.49,1769.73,3357.34,3276.57,2835.45,3489.40,3081.78,2660.28,850.69,1026.62,919.16,864.99,797.73,1013.71,794.19,891.58,952.48,1051.35,844.48,757.29,827.14,960.01,929.82,820.22,838.40,865.14,817.42,929.90,1077.67,1052.18,3374.23
1985,713.83,1507.00,2694.60,2761.86,3028.96,2960.80,2587.19,3140.40,2530.71,2146.18,741.98,787.69,743.20,663.71,629.28,809.83,578.87,675.07,620.65,912.01,619.79,550.91,677.17,741.49,735.64,667.90,709.59,621.62,631.67,662.74,788.77,914.25,2977.01
1986,868.50,1506.40,1822.77,1857.93,3204.88,3121.63,2671.20,3341.00,2569.65,2138.29,988.90,864.54,933.59,840.02,865.59,1042.51,700.12,931.39,775.91,1178.39,769.11,683.54,785.50,876.71,1005.34,693.40,834.96,756.25,775.45,792.67,924.61,1087.40,3412.12
1987,893.11,1426.90,2684.76,2726.24,3148.37,3076.06,2668.55,3266.60,2569.96,2191.66,983.36,831.59,989.63,777.44,856.89,860.93,713.08,918.89,784.73,1184.06,801.97,730.26,936.88,851.72,974.93,824.66,865.94,709.60,826.00,733.72,1118.30,1198.33,3522.28
1988,914.13,1673.90,1639.36,1687.50,3454.83,3368.43,2910.13,3596.10,2756.02,2330.03,984.11,954.18,1006.16,818.01,900.40,991.25,744.75,1002.42,603.21,1218.13,795.96,761.01,843.03,935.36,1034.42,848.55,879.49,782.30,850.12,823.07,885.59,1162.28,3498.79
1989,664.28,1825.30,2282.62,2325.26,2948.90,2867.13,2437.14,3082.60,3714.48,3144.70,745.47,706.75,658.77,645.41,620.66,772.95,558.07,728.46,567.15,857.80,631.89,559.78,586.49,669.40,791.36,635.63,655.23,601.05,648.82,621.73,596.18,757.54,3386.05
1990,762.98,1643.80,1302.27,1325.14,3019.56,2944.99,2541.94,3141.50,3695.38,3154.14,864.40,820.27,840.70,664.22,723.81,830.90,541.31,774.46,840.25,1072.42,614.28,527.26,760.12,748.86,874.42,728.44,665.93,594.06,616.99,655.63,827.48,1034.25,3205.52
