Variable:,pr
,Oman,"A Dakhliya","A Sharqiya","Al Batnah","Al Dhahira","Al Wusta",Dhofar,Musandam,Muscat,"Name Unknown"
1940,104.48,91.59,94.00,110.44,84.69,80.33,126.94,133.93,116.02,140.10
1941,96.40,71.96,69.79,70.57,72.75,81.06,126.94,110.23,60.16,108.00
1942,86.05,53.75,54.63,62.22,62.75,77.37,115.76,109.33,52.04,103.30
1943,94.65,138.06,122.58,184.18,129.74,55.26,76.08,152.07,186.74,178.60
1944,66.22,74.25,39.24,119.13,102.49,36.64,70.42,130.13,78.53,145.80
1945,101.59,85.39,92.58,58.90,60.81,66.86,141.50,103.49,83.90,89.50
1946,84.09,113.90,123.52,90.64,81.72,88.21,63.70,116.58,107.78,119.00
1947,79.16,56.14,46.92,69.44,68.85,39.42,117.55,112.58,56.68,110.10
1948,78.61,99.30,69.15,155.24,122.03,42.82,73.65,146.02,113.00,178.70
1949,64.11,64.38,22.12,120.96,103.77,29.15,75.64,131.98,68.43,149.00
1950,55.62,41.66,26.99,59.31,60.93,31.75,76.61,110.43,39.37,101.60
1951,107.96,101.74,83.71,131.94,112.56,60.01,136.88,138.47,98.62,171.20
1952,64.60,49.36,39.82,73.05,62.67,35.30,88.98,117.73,58.48,108.90
1953,97.39,69.47,73.75,70.62,68.69,70.84,134.87,112.28,73.37,108.90
1954,76.48,50.52,53.73,48.85,52.94,48.93,111.62,102.24,71.33,87.70
1955,182.32,198.62,195.43,240.94,163.23,94.24,218.62,177.82,251.74,235.20
1956,62.58,50.86,50.80,56.43,59.72,52.97,74.20,106.89,62.71,97.80
1957,134.03,201.56,179.82,238.67,159.50,85.99,109.38,271.48,242.51,231.80
1958,82.83,105.15,99.61,107.52,91.23,57.61,79.82,125.30,127.29,109.20
1959,69.24,51.72,39.01,88.68,76.69,37.39,92.79,153.28,67.50,149.10
1960,164.52,246.80,256.13,177.13,134.12,164.22,126.74,119.08,245.71,137.60
1961,89.50,124.50,128.03,88.31,81.11,108.31,62.95,114.88,108.14,121.80
1962,75.68,95.69,94.43,67.05,66.64,78.98,67.64,30.25,94.57,53.00
1963,178.93,288.99,263.45,217.23,169.18,130.91,152.95,134.76,256.02,179.00
1964,65.58,41.72,37.14,66.47,59.61,38.41,93.75,140.09,50.97,130.60
1965,72.63,104.03,80.69,115.24,104.08,47.22,62.36,93.69,104.57,106.50
1966,77.47,99.42,53.80,137.69,120.21,36.51,81.49,55.64,102.09,87.80
1967,97.69,127.21,101.54,115.47,104.54,84.36,93.05,49.99,109.66,68.60
1968,69.80,88.93,63.43,137.54,111.00,38.76,63.79,130.28,95.85,149.90
1969,64.89,51.39,38.75,84.84,72.23,33.00,86.82,112.99,66.55,104.10
1970,196.36,295.92,391.93,114.18,89.18,310.57,99.69,66.64,289.89,74.20
1971,70.91,67.21,62.27,73.96,64.03,39.84,91.49,54.04,81.23,70.20
1972,175.14,266.99,265.71,265.92,189.96,154.70,124.11,195.12,299.36,230.90
1973,74.28,74.63,71.87,74.14,63.94,67.83,81.08,49.65,77.82,60.30
1974,38.94,24.84,16.77,54.04,55.01,29.59,46.55,120.54,22.83,113.10
1975,76.46,110.32,85.58,138.55,115.75,48.99,61.89,121.58,116.02,131.40
1976,142.07,204.95,177.60,255.70,197.11,95.81,112.58,295.60,207.08,325.90
1977,100.52,91.28,77.09,138.19,107.85,48.18,129.03,182.92,110.75,177.80
1978,119.65,133.80,168.87,104.12,84.58,130.99,108.94,108.53,139.70,120.20
1979,109.91,117.04,150.45,90.24,72.32,110.05,108.94,207.50,124.93,156.90
1980,58.79,21.34,18.50,39.52,49.17,36.76,94.92,90.24,13.52,98.00
1981,106.71,144.83,109.95,152.52,131.73,62.28,108.47,90.23,116.25,137.10
1982,153.60,208.19,198.94,238.58,163.84,105.27,138.15,267.36,276.70,289.50
1983,174.56,204.54,205.23,160.89,129.49,160.22,179.89,137.77,205.69,160.30
1984,61.92,23.63,20.81,31.80,43.97,37.12,103.13,75.45,23.31,71.10
1985,43.40,15.27,9.23,23.39,39.67,28.78,70.39,34.65,10.04,42.40
1986,77.38,88.78,74.82,110.67,93.94,50.78,80.19,88.94,110.97,106.40
1987,146.09,226.57,180.52,240.13,191.99,70.69,133.29,150.61,219.81,212.50
1988,119.04,77.86,70.62,102.36,86.80,67.19,179.53,136.08,77.37,148.30
1989,125.45,92.89,84.30,116.81,93.71,59.60,187.44,166.93,105.93,160.70
1990,96.29,112.65,111.84,112.43,87.96,84.75,94.05,100.98,128.17,117.00
1991,69.64,52.51,43.24,82.02,72.75,43.28,91.68,146.89,54.83,138.00
1992,125.60,126.60,103.94,155.59,123.68,54.73,164.12,183.53,140.55,180.20
1993,62.88,59.38,58.94,78.24,69.57,61.70,61.52,144.43,52.27,146.00
1994,68.51,73.78,74.65,60.42,67.29,57.80,72.36,54.39,72.66,68.60
1995,140.95,166.48,187.88,124.90,100.88,137.00,136.52,160.43,164.69,158.00
1996,102.98,73.39,64.76,110.47,89.76,62.78,143.38,174.63,84.03,170.50
1997,157.40,208.14,213.45,181.01,134.58,115.40,154.42,204.02,214.93,224.40
1998,108.27,125.44,134.53,119.76,90.52,94.16,107.42,140.84,138.56,128.60
1999,70.54,78.32,65.86,96.09,82.79,56.03,71.14,88.34,79.97,101.70
2000,58.00,56.40,42.53,74.88,68.14,40.99,66.18,113.39,55.79,93.90
2001,59.39,36.66,28.16,43.25,52.18,52.20,81.24,35.45,28.15,44.70
2002,95.01,77.90,74.17,73.27,70.80,73.81,125.12,70.44,70.25,80.50
2003,70.86,63.96,53.06,58.06,64.48,50.56,91.04,54.74,56.43,63.30
2004,92.58,91.87,81.98,85.59,79.91,66.21,113.81,69.74,84.49,82.60
2005,68.01,74.35,64.14,88.04,81.11,60.10,65.59,101.89,72.19,108.50
2006,91.92,126.75,126.01,132.10,100.62,83.70,70.80,121.99,152.51,134.00
2007,208.02,130.25,138.85,109.08,96.37,98.08,345.26,57.89,131.61,88.90
2008,68.61,32.00,28.60,45.38,46.40,35.26,113.58,61.30,51.49,58.50
2009,79.31,109.77,86.75,163.78,125.16,46.90,63.59,164.02,141.30,183.00
2010,70.17,79.55,75.66,62.38,67.39,69.90,68.86,33.09,60.88,56.50
2011,80.99,47.93,41.31,51.63,58.03,47.99,126.43,69.59,41.68,72.70
2012,68.60,86.44,86.55,83.15,74.05,68.51,56.12,99.32,83.45,120.00
2013,116.75,184.51,207.84,133.30,113.86,149.08,58.89,101.88,166.84,128.10
2014,123.42,193.84,169.52,217.22,159.44,102.45,84.53,159.62,191.94,208.00
2015,47.54,36.69,26.11,55.62,58.64,37.95,56.46,108.03,34.21,99.80
2016,72.04,51.85,28.46,85.28,80.86,35.37,103.36,116.93,52.54,122.90
2017,73.42,69.07,62.34,80.79,72.46,50.25,88.41,120.33,68.48,119.30
2018,69.54,64.35,60.55,60.46,60.19,49.91,86.50,104.78,62.00,91.60
2019,80.11,124.77,105.25,130.45,105.24,58.98,60.37,130.58,123.34,142.30
2020,102.74,135.47,133.80,154.67,111.42,86.32,85.83,142.73,166.97,161.40
