Variable:,pr
,"Equatorial Guinea",Annobon,"Bioko Norte","Bioko Sur","Centro Sur",Kientem,Litoral,Welenzas
1964,2324.75,2870.50,2870.50,2839.63,2318.71,2098.35,2558.38,2037.14
1965,2191.09,2889.30,2889.30,2875.14,2172.45,1993.07,2380.69,1915.85
1966,2316.31,2680.70,2680.70,2646.53,2334.79,2063.05,2561.61,2050.43
1967,2128.81,2448.60,2448.60,2396.15,2141.00,1869.07,2409.86,1849.61
1968,2183.46,2506.80,2506.80,2424.06,2212.43,1870.30,2433.06,1947.87
1969,2242.61,2900.60,2900.60,2875.87,2240.96,1965.23,2475.22,1949.42
1970,2393.17,2605.10,2605.10,2560.73,2426.31,2127.09,2669.76,2118.47
1971,2251.07,2838.80,2838.80,2753.29,2263.09,1930.96,2505.79,1968.01
1972,2045.81,2255.30,2255.30,2220.57,2054.10,1889.83,2219.75,1863.58
1973,2139.04,2275.00,2275.00,2323.22,2158.82,1879.61,2406.06,1892.57
1974,2134.68,2210.80,2210.80,2204.17,2162.58,1960.29,2357.91,1907.74
1975,2124.18,2380.80,2380.80,2357.05,2144.83,1862.88,2402.92,1846.65
1976,2204.93,2367.70,2367.70,2394.84,2226.62,1987.74,2412.56,2000.89
1977,2294.44,2130.50,2130.50,2108.67,2376.20,1966.97,2610.60,2037.34
1978,2036.02,2605.00,2605.00,2487.48,2035.15,1815.20,2242.94,1780.37
1979,2149.51,2476.40,2476.40,2473.88,2164.33,1963.72,2355.44,1899.86
1980,2042.23,2428.80,2428.80,2381.51,2057.25,1832.66,2220.61,1829.80
1981,1952.23,2355.20,2355.20,2313.78,1944.15,1793.70,2125.35,1746.30
1982,2039.55,2392.70,2392.70,2347.60,2044.94,1853.45,2220.23,1833.51
1983,1642.32,1911.40,1911.40,1888.95,1643.32,1507.43,1760.68,1506.36
1984,2333.40,2169.50,2169.50,2202.54,2389.50,2061.82,2654.00,2063.63
1985,2291.61,2556.40,2556.40,2562.23,2289.36,2082.64,2572.88,2007.14
1986,2064.40,2452.40,2452.40,2408.86,2083.62,1829.32,2263.03,1836.55
1987,2036.05,2141.60,2141.60,2151.87,2047.62,1861.18,2254.23,1830.04
1988,2519.28,2582.50,2582.50,2578.99,2551.71,2115.41,2914.31,2217.46
1989,2076.27,2125.10,2125.10,2092.90,2102.00,1803.80,2328.96,1887.39
1990,2266.46,2424.50,2424.50,2421.80,2311.00,1951.10,2577.26,1972.99
1991,2045.25,2153.90,2153.90,2113.25,2079.21,1787.30,2320.08,1795.47
1992,1864.21,2104.10,2104.10,2046.84,1885.64,1663.93,2049.39,1671.13
1993,2016.30,2455.50,2455.50,2355.24,2001.66,1830.34,2210.48,1809.09
1994,2135.38,2245.40,2245.40,2305.94,2169.12,1845.85,2397.83,1898.21
1995,2151.37,2380.90,2380.90,2518.25,2184.38,1844.60,2428.68,1860.33
1996,2308.36,2527.00,2527.00,2597.48,2341.30,1975.82,2606.26,2023.06
1997,2121.94,2622.00,2622.00,2589.89,2121.11,1868.50,2373.34,1837.06
1998,2474.29,2436.80,2436.80,2612.34,2527.62,2180.34,2768.21,2189.94
1999,2367.40,2495.30,2495.30,2526.72,2402.99,2072.31,2665.62,2087.34
2000,2258.14,2260.30,2260.30,2261.59,2315.93,1919.47,2602.07,1960.78
2001,2388.69,2495.60,2495.60,2578.47,2406.25,2151.89,2669.51,2117.84
2002,2563.88,2558.70,2558.70,2623.17,2619.28,2203.25,2921.99,2252.00
2003,2387.50,2790.80,2790.80,2902.94,2376.43,2218.99,2601.29,2111.82
2004,2334.28,2679.80,2679.80,2748.82,2330.61,2144.80,2582.59,2041.33
2005,1775.81,2192.10,2192.10,2112.14,1771.50,1618.46,1926.36,1593.50
2006,2016.74,2685.70,2685.70,2566.41,1990.22,1870.41,2178.08,1783.72
2007,3145.62,2645.70,2645.70,2928.38,3231.81,2774.84,3591.95,2782.56
2008,2338.57,2445.20,2445.20,2466.73,2378.40,2022.63,2659.59,2045.34
2009,2091.22,2259.90,2259.90,2233.03,2119.52,1838.34,2328.40,1872.25
2010,1881.63,2545.10,2545.10,2538.97,1847.89,1730.59,2036.12,1651.57
2011,1999.08,2323.50,2323.50,2220.31,2007.48,1767.75,2231.78,1773.58
2012,2589.09,2535.00,2535.00,2730.73,2639.59,2209.95,2964.35,2262.63
2013,2048.54,2274.90,2274.90,2220.08,2076.33,1799.29,2273.71,1832.14
2014,2057.35,2348.60,2348.60,2322.53,2073.69,1829.86,2276.33,1829.37
2015,1614.97,2048.80,2048.80,1980.61,1610.54,1421.68,1784.43,1426.05
2016,2040.61,2266.90,2266.90,2253.19,2057.04,1851.47,2241.98,1825.58
2017,2132.89,2256.10,2256.10,2255.26,2151.40,1948.99,2328.31,1944.64
2018,2252.11,2408.00,2408.00,2546.06,2276.96,2004.58,2543.15,1941.32
2019,2375.29,2595.50,2595.50,2602.41,2394.77,2113.28,2668.08,2084.00
2020,2028.56,2417.60,2417.60,2387.49,2025.97,1824.10,2245.19,1791.98
