Variable:,pr
,Haiti,Artibonite,Centre,Nord,"Nord Est","Nord Ouest",Ouest,Sud,"Sud Est","Grande Anse",Nippes
1925,1450.39,1182.74,1421.54,1499.81,1245.00,1217.78,1534.17,1722.77,1624.44,1513.23,1544.86
1926,1459.73,1183.17,1421.54,1499.81,1245.00,1219.96,1536.88,1764.93,1625.91,1573.23,1574.50
1927,1487.65,1184.02,1421.54,1499.81,1245.00,1225.90,1542.61,1907.85,1629.79,1735.46,1650.23
1928,1470.47,1183.55,1421.54,1499.81,1245.00,1221.76,1540.43,1814.72,1628.04,1638.10,1612.26
1929,1423.80,1182.27,1421.54,1499.81,1245.00,1213.21,1529.13,1587.52,1621.21,1350.84,1471.85
1930,1445.67,1182.92,1421.54,1499.81,1245.00,1219.69,1534.24,1696.61,1625.07,1481.25,1530.90
1931,1539.59,1184.87,1421.54,1499.81,1245.00,1232.92,1552.47,2161.21,1634.97,2075.32,1794.57
1932,1484.50,1183.20,1421.54,1499.81,1245.00,1222.30,1540.47,1895.39,1628.13,1724.05,1637.84
1933,1581.24,1184.72,1421.54,1499.81,1245.00,1233.90,1556.54,2375.71,1635.36,2353.56,1899.22
1934,1504.98,1183.65,1421.54,1499.81,1245.00,1226.71,1544.32,1993.91,1630.30,1858.71,1693.47
1935,1489.94,1183.74,1421.54,1499.81,1245.00,1223.88,1541.99,1919.55,1628.91,1758.79,1653.31
1936,1561.64,1185.84,1421.54,1499.81,1245.00,1236.79,1558.64,2270.88,1638.73,2203.40,1866.30
1937,1533.65,1184.14,1421.54,1499.81,1245.00,1229.98,1549.52,2138.07,1632.77,2040.24,1775.71
1938,1491.42,1183.45,1421.54,1499.81,1245.00,1222.63,1542.46,1923.07,1628.80,1775.98,1662.82
1939,1475.47,1182.67,1421.54,1499.81,1245.00,1217.78,1536.26,1851.37,1624.96,1680.25,1604.32
1940,1467.10,1183.28,1421.54,1499.81,1245.00,1222.79,1537.18,1802.84,1626.47,1626.13,1581.24
1941,1458.88,1182.95,1421.54,1499.81,1245.00,1220.34,1536.32,1761.95,1626.19,1567.09,1568.52
1942,1572.38,1186.24,1421.54,1499.81,1245.00,1240.98,1560.70,2329.31,1639.70,2263.15,1894.50
1943,1489.69,1183.68,1421.54,1499.81,1245.00,1224.97,1542.78,1922.84,1630.65,1742.72,1654.63
1944,1543.92,1185.38,1421.54,1499.81,1245.00,1232.59,1554.87,2184.82,1636.15,2086.62,1819.38
1945,1524.77,1184.55,1421.54,1499.81,1245.00,1232.21,1549.24,2087.58,1632.57,1987.92,1749.22
1946,1446.54,1182.45,1421.54,1499.81,1245.00,1216.20,1532.81,1701.75,1623.48,1496.64,1530.39
1947,1467.67,1183.46,1421.54,1499.81,1245.00,1221.97,1538.24,1804.15,1626.94,1625.14,1591.74
1948,1536.86,1195.74,1443.99,1425.12,1215.41,1212.60,1562.33,2160.35,1638.34,2068.55,1781.97
1949,1366.57,1079.92,1324.11,1306.46,1141.90,1070.36,1420.80,1778.68,1513.28,1630.99,1528.30
1950,1398.09,1094.73,1338.75,1316.44,1139.26,1086.30,1460.78,1849.31,1549.40,1715.16,1599.72
1951,1721.89,1387.27,1703.70,1719.39,1458.33,1407.05,1806.02,2111.04,1887.33,1926.53,1862.58
1952,1402.79,1119.31,1405.04,1352.33,1146.33,1112.07,1499.59,1716.41,1589.67,1526.94,1504.10
1953,1525.99,1212.63,1502.60,1492.93,1304.89,1207.89,1581.75,1946.18,1672.53,1770.90,1677.90
1954,1739.94,1399.42,1619.77,1813.41,1472.89,1571.06,1757.50,2262.00,1858.12,2109.07,1918.23
1955,1888.76,1557.05,1867.38,1894.26,1613.25,1565.26,1985.43,2268.62,2084.26,2025.68,2012.05
1956,1513.84,1190.21,1424.24,1553.96,1284.70,1256.15,1545.48,1989.89,1645.73,1816.73,1692.58
1957,1192.44,973.68,1120.05,1281.42,1035.24,1057.26,1193.31,1529.58,1253.02,1395.79,1291.31
1958,1653.67,1290.06,1656.73,1586.85,1422.00,1277.26,1709.52,2133.68,1814.26,1971.33,1789.63
1959,1177.06,954.88,1078.51,1260.92,987.61,1036.06,1189.52,1523.06,1272.29,1372.71,1303.78
1960,1751.71,1419.85,1666.67,1768.45,1459.33,1491.81,1808.15,2202.97,1912.60,2090.32,1891.58
1961,1604.91,1315.12,1484.24,1659.67,1316.48,1333.97,1634.74,2090.75,1705.79,1921.11,1792.14
1962,1269.42,995.66,1220.15,1306.59,1074.56,1034.25,1330.66,1609.95,1424.80,1381.82,1421.13
1963,1644.62,1244.12,1431.26,1630.86,1297.63,1335.09,1612.15,2469.69,1697.37,2409.58,1983.17
1964,1339.57,1088.89,1266.96,1260.18,1037.65,1144.40,1382.99,1778.03,1439.62,1645.99,1549.92
1965,1434.65,1142.81,1453.98,1442.92,1270.55,1144.94,1509.86,1723.17,1589.67,1551.78,1507.45
1966,1664.26,1330.21,1536.71,1674.71,1370.28,1392.32,1683.43,2226.44,1762.22,2119.18,1901.23
1967,1001.95,787.25,936.99,1001.27,826.15,821.88,1027.49,1361.21,1078.37,1177.79,1197.86
1968,1206.24,958.85,1084.00,1393.20,1092.72,1102.77,1185.38,1564.64,1263.23,1431.04,1356.10
1969,1764.26,1446.01,1687.29,1810.93,1459.60,1563.29,1786.62,2246.65,1868.38,2104.86,1918.30
1970,1692.20,1346.35,1674.02,1662.66,1444.85,1338.29,1758.81,2125.30,1869.94,1970.17,1822.19
1971,1557.06,1279.96,1510.17,1539.84,1260.44,1272.75,1663.46,1891.54,1738.71,1681.54,1693.01
1972,1727.62,1408.58,1609.32,1727.12,1385.69,1448.08,1796.16,2231.62,1866.59,2052.44,1946.58
1973,1258.99,988.24,1121.62,1231.61,999.65,1077.87,1243.64,1820.86,1301.00,1740.57,1501.66
1974,1472.63,1116.90,1388.57,1434.85,1226.65,1156.44,1510.06,2022.45,1616.59,1850.31,1704.50
1975,1077.49,803.70,1034.99,1118.91,987.08,803.61,1104.73,1426.00,1199.76,1264.31,1208.01
1976,1060.93,852.98,1033.56,1047.00,889.81,883.74,1114.91,1336.57,1176.55,1139.91,1211.22
1977,1367.99,1079.06,1301.91,1436.68,1155.55,1122.34,1457.19,1674.78,1539.55,1507.42,1499.67
1978,1484.85,1131.63,1418.38,1462.37,1220.62,1172.03,1578.12,1931.29,1691.61,1742.43,1672.01
1979,2202.26,1770.85,2262.28,2028.44,1821.25,1668.39,2356.32,2670.29,2487.89,2495.56,2312.76
1980,1737.33,1446.59,1604.47,1753.97,1376.50,1522.01,1770.35,2249.35,1825.82,2131.35,1948.57
1981,1828.50,1436.30,1831.60,1871.47,1628.42,1395.71,1936.73,2187.89,2077.36,1977.50,1911.81
1982,1333.30,1063.26,1296.85,1376.72,1166.59,1148.72,1378.20,1657.41,1447.32,1518.50,1456.70
1983,1499.81,1216.82,1470.10,1533.59,1271.48,1273.55,1588.50,1797.25,1681.23,1594.67,1610.27
1984,1459.45,1230.79,1410.96,1509.17,1235.02,1277.38,1494.22,1781.87,1554.51,1627.01,1550.71
1985,1545.90,1261.96,1527.58,1527.94,1275.89,1266.71,1670.08,1821.02,1771.00,1627.69,1635.48
1986,1478.06,1134.49,1428.63,1420.11,1205.77,1097.66,1550.80,1960.22,1648.28,1815.91,1644.78
1987,1793.74,1434.99,1780.08,1979.99,1636.48,1542.08,1871.07,2058.73,2006.57,1902.59,1763.99
1988,1604.12,1310.77,1617.09,1585.18,1365.38,1306.70,1703.04,1872.89,1803.37,1754.15,1642.10
1989,1216.14,907.54,1103.45,1273.16,1028.56,962.44,1268.95,1636.12,1382.10,1456.21,1412.46
1990,1396.91,1078.52,1256.01,1432.62,1157.49,1175.77,1430.64,1913.11,1530.82,1723.90,1639.23
1991,1060.75,768.58,1000.71,1038.09,890.41,817.25,1137.07,1381.00,1290.33,1263.37,1172.68
1992,1137.11,814.05,1074.28,1135.98,951.30,827.51,1232.89,1493.56,1359.28,1322.85,1284.72
1993,1582.89,1194.11,1446.52,1633.78,1288.99,1312.68,1623.81,2179.64,1710.28,2004.68,1868.61
1994,1214.68,880.60,1131.80,1269.77,1038.77,946.73,1294.15,1584.00,1427.08,1413.80,1364.34
1995,1606.39,1290.12,1528.52,1582.53,1304.90,1369.90,1657.22,2078.76,1762.72,1933.26,1784.12
1996,1450.93,1118.54,1308.06,1485.84,1200.58,1216.44,1452.54,2036.19,1535.97,1900.91,1710.92
1997,1285.11,1022.86,1225.02,1258.73,1069.05,1022.53,1342.95,1659.55,1422.42,1498.78,1434.93
1998,1693.21,1287.75,1713.90,1677.99,1472.47,1214.41,1809.00,2083.44,1948.83,1919.68,1772.18
1999,926.25,555.68,902.81,718.69,758.09,383.58,1006.70,1451.77,1138.68,1345.80,1160.53
2000,1420.81,1122.24,1338.17,1473.41,1227.43,1153.81,1476.53,1812.98,1567.79,1639.14,1589.40
2001,1711.81,1410.41,1634.65,1762.24,1438.06,1469.49,1756.41,2166.32,1806.86,1961.68,1881.60
2002,1325.41,1044.36,1278.16,1288.61,1109.43,1092.31,1381.54,1705.93,1481.51,1575.41,1461.61
2003,1689.08,1255.81,1487.79,1889.95,1441.88,1427.24,1703.91,2334.34,1811.06,2163.42,1962.36
2004,1276.37,939.63,1262.59,1196.19,1068.49,927.16,1368.80,1675.40,1478.51,1504.08,1441.69
2005,1982.28,1679.90,1826.96,1981.41,1577.00,1743.02,1938.14,2717.45,1943.58,2574.52,2274.55
2006,1377.88,1094.25,1303.93,1541.86,1240.90,1186.60,1412.35,1670.23,1518.92,1522.66,1463.71
2007,2135.13,1748.17,1917.04,2223.38,1712.33,1905.81,2098.23,2967.43,2111.73,2804.26,2511.81
2008,1411.60,1095.83,1347.42,1406.34,1179.89,1134.09,1466.51,1839.83,1567.73,1696.17,1579.44
2009,1300.67,995.92,1242.78,1448.24,1181.59,1077.65,1364.59,1566.88,1491.36,1400.18,1370.21
2010,1681.72,1257.85,1419.80,1639.78,1284.38,1401.17,1607.42,2675.64,1667.28,2639.71,2140.95
2011,1700.30,1395.08,1565.48,1605.43,1321.18,1397.42,1705.81,2361.75,1738.68,2259.40,2024.25
2012,1669.90,1289.41,1558.46,1566.23,1326.54,1323.32,1737.60,2290.30,1848.93,2115.03,1981.90
2013,950.50,664.13,923.74,820.21,770.55,579.87,1001.39,1382.76,1099.26,1261.06,1146.79
2014,1600.47,1381.28,1538.67,1682.17,1332.50,1501.79,1641.99,1888.82,1679.41,1754.64,1693.30
2015,1298.33,1000.06,1254.33,1337.72,1116.12,1022.14,1399.56,1579.25,1528.52,1375.05,1407.28
2016,1794.46,1429.78,1735.31,1944.09,1539.80,1524.32,1919.50,2112.72,2034.46,1843.21,1915.97
2017,1644.82,1268.63,1527.22,1566.84,1282.01,1328.78,1693.17,2278.12,1779.85,2183.11,1902.96
2018,1260.35,983.42,1199.23,1232.52,1034.05,1011.70,1294.50,1708.50,1362.14,1548.77,1445.07
2019,1498.67,1262.48,1412.17,1548.09,1235.46,1351.07,1509.67,1915.27,1540.89,1771.36,1660.72
2020,1427.15,1078.56,1232.95,1568.79,1200.60,1269.89,1378.26,2054.88,1460.84,2012.14,1670.21
