Variable:,pr
,"Papua New Guinea",Central,Chimbu,"East New Britain","East Sepik","Eastern Highlands",Enga,Gulf,Madang,Manus,"Milne Bay",Morobe,"National Capital District","New Ireland",Northern,"Northern Solomons","Southern Highlands","West New Britain","West Sepik",Western,"Western Highlands"
1933,3244.07,2600.72,3039.67,3833.50,2781.65,2352.50,3286.61,4139.25,3358.56,3427.95,3066.61,2921.51,2219.80,3076.40,3185.05,3420.13,4018.13,3971.44,3101.27,3210.21,2948.71
1934,3060.29,2395.66,2610.45,4767.74,2404.21,1984.54,2764.81,3757.27,2538.70,3239.15,3155.35,2407.31,2005.38,3655.78,2918.78,3451.49,3762.12,4169.86,3091.67,3217.64,2465.90
1935,3053.99,2029.86,2875.63,5643.66,2745.85,2241.22,3169.06,3433.73,3390.96,3390.98,2659.86,2552.54,1704.28,4155.96,2452.74,3554.95,3664.28,4522.33,3096.39,2707.57,2824.60
1936,3434.82,2641.02,3085.38,6076.63,2829.69,2404.96,3364.22,3949.06,3476.06,3516.36,3368.18,2906.50,2179.86,4935.98,3216.27,3547.81,3980.00,4788.40,3106.47,3340.91,3035.61
1937,3090.98,1949.48,2926.58,5231.66,2588.22,2243.30,3045.53,3611.63,3069.30,3290.86,2639.73,2449.74,1666.45,4019.40,2350.32,3478.00,3791.51,4391.42,3101.56,3179.90,2812.84
1938,3040.82,2251.21,2895.88,3732.04,2755.23,2243.54,3169.52,3583.30,3173.46,3523.84,3231.00,2549.10,1849.03,3115.56,2721.65,3371.07,3819.31,3794.81,3103.45,3026.37,2828.31
1939,3311.67,2230.73,3202.90,5583.05,2901.05,2444.53,3461.94,3989.20,3705.02,3556.51,2903.13,2856.26,1819.31,4542.66,2681.18,3477.34,4013.64,4519.93,3103.92,3101.76,3150.07
1940,3130.81,2040.04,2941.04,4299.94,2728.26,2231.44,3232.91,3787.39,3384.37,3351.36,2674.68,2560.29,1722.18,3256.08,2421.89,3404.32,3908.37,4116.17,3098.82,3283.57,2905.07
1941,2627.55,1720.28,2233.34,3275.73,2485.40,1754.11,2744.38,2708.90,2722.74,3113.65,1608.18,2042.92,1574.40,2542.16,2030.75,3384.82,3253.17,3726.33,3089.66,2772.24,2301.13
1942,2885.32,1749.14,2577.03,4724.56,2632.80,1977.96,2994.60,3065.82,3011.96,3348.27,2536.57,2235.45,1499.25,3748.84,2154.62,3436.70,3530.36,4213.37,3097.82,2901.42,2589.78
1943,3534.53,3150.32,2979.88,4724.56,2634.07,2312.33,3085.24,4482.09,3071.55,3348.27,3218.74,3037.68,2649.04,3748.84,3863.74,3436.70,4253.14,4226.39,3098.05,3925.98,2841.62
1944,2982.41,1986.68,2505.55,4724.56,2520.25,1913.76,2841.09,3555.05,2712.11,3284.71,2700.91,2293.82,1618.70,3748.84,2318.51,3436.70,3599.49,4196.20,3095.28,3220.53,2439.34
1945,3145.78,2617.89,2917.98,4726.57,2668.18,2303.25,3164.23,3741.65,3314.96,3273.80,2937.16,2899.17,2272.21,3748.84,3216.33,3436.70,3725.37,4413.30,3096.02,2783.07,2825.76
1946,3024.77,1996.39,2839.70,4829.66,2664.59,2169.06,3155.73,3546.32,3258.50,3312.37,2530.42,2513.69,1676.39,3859.20,2408.20,3451.47,3766.80,4216.35,3096.15,2880.11,2823.11
1947,3017.06,2328.04,2634.81,3684.71,2610.60,2045.16,2976.57,3545.81,2971.62,3349.17,3303.01,2514.74,1955.22,3007.25,2805.48,3358.07,3662.58,3924.71,3097.83,3159.64,2598.15
1948,3229.07,2371.47,3297.00,3577.58,2927.35,2592.24,3487.96,3992.36,3851.73,3541.69,2584.38,2941.78,2013.99,2947.48,2863.19,3354.33,4050.07,3957.91,3106.72,3109.43,3238.57
1949,3179.19,2491.71,2932.05,4431.73,2763.05,2313.52,3221.41,3662.30,3421.60,3326.02,3626.13,2733.56,1985.16,3693.70,3034.83,3430.02,3818.79,4184.59,3100.71,3038.41,2916.49
1950,3194.26,2544.77,2877.74,3772.76,2681.12,2236.90,3136.28,3782.25,3283.71,2985.58,3655.50,2727.53,2100.70,3161.48,3088.55,3375.58,3848.30,3946.89,3085.71,3371.14,2857.98
1951,2857.46,2027.65,2587.21,4993.44,2564.03,2010.37,2884.86,3214.82,2911.15,3128.88,2599.80,2371.44,1755.67,3891.81,2461.49,3457.86,3392.20,4273.94,3080.67,2550.25,2527.09
1952,3459.66,2818.46,2831.40,6000.27,2742.79,2200.55,3191.39,4036.95,3156.54,3651.04,3118.90,2735.64,2416.47,4474.65,3382.03,3532.13,4155.46,4617.40,3180.23,3625.96,2795.96
1953,3071.93,2283.13,2710.07,4863.38,2606.11,2149.38,2982.24,3503.19,3101.31,3476.20,2720.52,2625.09,1936.40,4038.50,2775.96,3472.84,3619.55,4294.80,3106.55,3010.66,2680.17
1954,3076.50,2329.17,2765.26,3670.76,2593.94,2214.29,2956.95,3575.51,3137.02,3155.46,2908.35,2561.61,1982.26,3148.83,2853.00,3358.06,3664.60,3863.77,3052.13,3351.74,2665.51
1955,2872.78,2147.05,2642.91,3486.08,2534.80,2113.05,2817.63,3265.48,3116.75,3165.12,2823.40,2469.15,1809.47,2955.57,2655.96,3357.98,3347.37,3748.09,3089.64,2871.46,2599.73
1956,2954.40,2326.19,2483.85,3947.60,2438.82,1948.47,2738.94,3396.51,2709.66,3126.75,3003.20,2346.54,2015.73,3437.89,2773.70,3051.67,3498.91,3772.10,2928.48,3303.32,2434.44
1957,3124.23,2362.37,2876.90,5124.62,2446.83,2297.98,2893.06,3864.73,3092.17,2999.49,2584.94,2807.66,2018.89,3832.44,2874.98,3656.30,3778.13,4545.74,2923.38,3000.72,2732.92
1958,2958.67,2131.97,2714.25,4499.43,2585.04,2166.41,2930.17,3499.80,3009.04,3642.55,2366.06,2606.52,1811.53,3614.21,2568.93,3356.94,3566.86,4140.16,3139.14,2798.48,2627.77
1959,2884.38,2080.44,2633.81,4905.45,2357.83,2069.01,2669.87,3460.09,2919.89,3469.32,2327.68,2494.65,1765.10,4081.52,2468.96,3738.86,3408.41,4227.83,2958.79,2692.61,2506.66
1960,3286.07,2280.81,3096.32,5379.51,2906.67,2501.16,3400.99,3815.20,3631.79,3982.99,2960.50,2773.31,1928.01,4408.75,2741.69,3498.50,4053.74,4468.79,3120.56,3101.64,3061.20
1961,3294.34,2408.78,3113.71,5501.37,2799.50,2386.40,3225.00,4180.83,3346.44,3935.44,2846.18,2815.36,2015.36,4345.01,2916.00,3183.09,4035.79,4619.99,3303.35,3044.35,2904.66
1962,3217.41,2352.56,2934.94,4550.61,2658.26,2270.52,3106.96,3932.65,3077.63,3485.93,3087.00,2745.80,1946.77,3565.59,2815.82,3282.69,4134.35,4253.95,3179.40,3337.64,2690.43
1963,2860.66,2189.31,2443.93,5865.30,2273.24,1848.41,2606.48,3433.49,2692.26,3339.26,2577.37,2221.69,1907.34,4080.11,2595.35,3204.04,3299.71,4353.07,2677.52,2755.22,2292.97
1964,3264.74,2552.05,2822.88,4184.25,2725.81,2303.98,3082.10,3748.65,3210.04,3017.79,2920.35,2784.38,2221.30,3269.44,3073.06,3257.65,3943.42,4224.52,3281.01,3530.58,2715.22
1965,2690.64,1957.54,2419.25,4630.39,2353.64,1876.69,2582.84,2964.27,2991.80,3043.81,2267.69,2335.55,1697.32,3529.85,2325.38,4028.41,2949.28,4126.12,2609.54,2458.55,2425.66
1966,3257.18,2277.21,3040.77,5347.24,2800.88,2383.65,3287.04,3850.73,3372.18,4020.82,2355.94,2615.35,1943.35,4519.33,2723.80,3848.40,3990.40,4268.50,3284.39,3171.67,3023.87
1967,3193.68,2431.74,2859.19,4922.30,2700.03,2248.35,3003.90,3759.26,3328.17,3647.43,2834.17,2681.10,2078.67,3944.03,2882.81,3649.87,3762.35,4393.86,3263.77,3118.44,2713.60
1968,2816.75,2088.14,2706.60,3970.73,2458.13,1999.76,2798.44,3358.01,3019.97,3137.37,2575.14,2209.34,1798.13,3281.15,2523.24,3117.57,3433.35,3801.11,2769.86,2802.63,2605.76
1969,3180.36,2234.98,2937.07,4981.95,2727.69,2313.57,3086.00,3718.03,3313.57,3633.93,2523.05,2793.94,1921.70,4167.19,2678.35,3685.20,3812.47,4490.77,3179.79,3092.39,2819.62
1970,3505.72,2623.09,3099.87,4660.27,2867.56,2465.41,3423.29,4130.27,3263.63,3093.29,3006.59,3001.99,2293.98,3698.55,3204.52,3672.60,4418.85,4515.73,3497.40,3781.41,2915.43
1971,3346.33,2366.45,2650.76,5001.72,2849.27,2093.08,3196.54,3702.78,3119.39,3614.11,3219.13,2539.02,1949.90,3857.78,2857.38,3163.03,4186.10,4329.73,3625.08,3709.62,2671.92
1972,2619.51,2000.14,2400.67,4285.78,2162.76,1879.84,2502.00,2886.97,2848.28,2616.52,2506.89,2132.61,1660.39,3332.76,2436.56,3543.70,2968.94,3715.24,2376.42,2575.22,2408.72
1973,3567.26,2521.56,3225.34,5075.21,3087.39,2455.31,3596.70,4067.93,3578.34,3687.31,2687.88,2838.07,2229.34,4266.30,3093.43,4066.88,4430.37,4508.66,3578.95,3782.25,3182.68
1974,2928.68,2167.12,2440.00,4231.02,2478.50,2040.54,2746.86,3362.60,2782.20,3251.87,3153.90,2507.72,1827.56,3255.82,2611.76,2987.53,3459.79,4057.16,2969.24,3095.70,2348.14
1975,3383.93,2567.98,2978.80,3969.36,2935.55,2316.51,3406.60,3933.10,3351.46,3386.74,3494.78,2626.70,2191.70,3279.76,3076.82,3216.30,4272.71,4123.59,3400.64,3742.80,2998.49
1976,2958.47,2318.83,2493.84,4896.09,2571.70,1891.41,2850.23,3312.34,2779.57,2921.03,2927.04,2211.58,1994.74,3857.00,2808.73,3566.48,3480.12,4066.09,3054.73,2939.71,2493.41
1977,3276.20,2314.18,2819.63,5224.76,2739.05,2110.60,3266.66,3995.54,2958.65,3727.04,2710.04,2664.75,1921.48,4145.55,2818.63,3728.74,4092.96,4590.20,3302.86,3331.20,2850.87
1978,3058.84,2137.59,2485.08,5798.72,2610.26,1944.80,2851.76,3408.09,2894.89,3272.19,2554.23,2438.51,1802.84,4419.32,2611.26,3242.29,3552.01,4467.29,3153.37,3066.90,2456.26
1979,2731.26,2125.85,2421.05,5060.64,2376.75,1897.93,2672.23,3050.88,2856.02,3235.20,2809.22,2315.17,1761.91,3922.09,2615.74,3541.36,3116.91,4149.51,2603.07,2360.20,2415.64
1980,2947.35,1886.80,2546.07,5358.18,2686.88,1848.60,3015.22,3341.94,2817.82,3692.89,2188.26,2263.37,1598.23,4268.89,2319.00,3620.84,3609.77,4205.02,3171.43,2845.97,2656.70
1981,3218.63,2283.54,2869.54,5101.62,2742.38,2114.83,3133.15,3799.47,3064.87,3358.98,2694.39,2508.90,1923.23,3979.57,2746.75,3139.52,3968.66,4337.22,3327.74,3359.37,2786.67
1982,2498.23,1734.14,2386.62,3571.26,2236.65,1957.24,2504.73,3012.37,2844.08,2949.27,2064.86,2282.13,1466.98,2772.70,2071.18,3540.66,2829.63,3766.16,2479.03,2269.61,2336.13
1983,3318.89,2371.90,3021.48,5049.47,2865.71,2386.18,3408.59,4005.08,3235.65,3187.81,3080.17,2715.74,1946.09,4142.80,2947.54,4027.43,4136.60,4267.10,3246.69,3275.21,3001.72
1984,3036.44,2145.62,2729.14,3605.85,2673.46,2015.20,3185.29,3560.70,2940.60,3114.98,3206.14,2333.52,1724.26,2926.06,2665.87,2924.76,4024.99,3765.79,3055.84,3318.19,2686.63
1985,3340.45,2667.30,2881.16,4905.99,2674.61,2255.92,3155.84,4005.89,3061.55,3403.76,3680.49,2857.28,2229.32,3915.48,3238.75,3423.97,3995.37,4495.40,3189.29,3481.14,2742.36
1986,3005.69,2214.39,2683.38,4491.70,2518.52,2102.39,2879.70,3415.26,2935.18,3222.99,2528.30,2516.65,1839.31,3570.27,2640.42,3157.41,3621.75,4097.15,3065.10,3140.11,2518.54
1987,2741.95,1859.63,2433.33,3989.95,2359.83,1943.93,2755.35,3158.00,2810.45,2857.46,1877.00,2214.39,1660.27,3242.86,2194.45,3006.39,3404.70,3778.21,2790.27,2882.26,2494.15
1988,3215.00,2252.82,2816.50,4974.00,2766.03,2140.94,3193.41,3808.58,3101.08,3429.16,2921.57,2528.15,1935.58,3962.73,2709.73,3508.93,3920.97,4226.40,3256.75,3359.55,2778.50
1989,3205.46,2467.65,2940.84,3863.70,2780.16,2224.36,3232.49,3688.48,3371.16,3661.48,3343.69,2594.69,2067.35,3309.83,2969.32,3120.66,3954.06,3935.94,3224.87,3395.42,2922.25
1990,3211.29,2482.21,2776.21,4947.23,2687.09,2114.86,3059.74,3844.21,3038.95,3561.29,3165.90,2715.85,2059.05,3968.20,2989.77,3620.89,3873.26,4495.99,3119.74,3204.57,2655.70
1991,2936.01,2048.35,2665.80,5081.59,2426.95,2127.16,2857.77,3561.86,2824.58,3125.78,2066.76,2532.49,1751.01,4047.07,2464.51,3469.97,3627.08,4142.11,2803.17,2870.06,2600.59
1992,2800.55,1881.24,2482.17,4916.64,2341.21,2023.26,2674.49,3287.64,2756.59,2604.82,1898.76,2428.95,1612.47,3683.53,2259.90,3456.96,3369.24,4196.88,2759.49,2737.31,2451.39
1993,2566.37,1818.24,2234.98,3936.91,2253.55,1809.10,2493.07,2793.96,2638.25,2771.67,1932.59,2046.97,1549.47,3111.06,2202.07,3382.88,2994.26,3721.08,2743.80,2564.86,2227.64
1994,2531.52,1428.63,2045.15,5399.83,1992.54,1540.10,2342.64,2995.14,2154.30,2754.57,2224.77,1888.85,1113.14,4101.65,1682.25,3491.81,3039.25,4430.96,2474.89,2572.57,2035.41
1995,3091.57,2701.01,2669.79,4666.16,2535.42,2136.65,2899.63,3576.21,2967.38,3322.06,2979.61,2606.73,2326.52,3689.98,3341.97,3436.70,3588.03,4179.37,2920.04,3048.59,2603.60
1996,3329.90,2799.77,2965.81,4521.56,2762.61,2286.54,3144.76,4133.62,3255.04,3216.80,2817.26,2814.52,2377.92,3478.51,3448.97,3434.58,4000.03,4161.89,3143.25,3415.78,2869.32
1997,3087.54,2267.46,2744.69,4724.56,2643.18,2134.66,3024.97,3614.34,3056.06,2832.42,2786.21,2537.08,1925.68,3688.53,2739.80,3436.70,3745.16,4216.50,3132.17,3092.78,2684.74
1998,3133.58,2267.46,2744.69,4724.56,2614.64,2134.66,3024.28,3626.95,3068.26,3348.08,2786.21,2537.52,1925.68,3748.84,2739.80,3436.70,3744.20,4217.39,3027.97,3350.30,2684.74
1999,3164.15,2267.46,2744.69,4724.56,2633.75,2134.66,3024.44,3628.95,3068.26,3348.27,2786.21,2537.52,1925.68,3748.84,2739.80,3436.70,3744.84,4217.39,3097.89,3458.76,2684.74
2000,3080.43,2267.46,2744.69,4724.56,2627.11,2134.66,3023.67,3606.52,3065.53,3312.69,2786.21,2537.40,1925.68,3747.81,2739.80,3436.70,3719.93,4217.31,3077.44,3093.65,2684.74
2001,3106.14,2267.46,2744.69,4724.56,2662.28,2134.66,3025.61,3616.32,3068.26,3348.54,2786.21,2537.52,1925.68,3748.84,2739.80,3436.70,3745.79,4217.39,3197.34,3143.80,2684.74
2002,3117.56,2267.46,2744.69,4724.56,2633.87,2134.66,3025.18,3626.64,3068.26,3348.27,2786.21,2537.52,1925.68,3748.84,2739.80,3436.70,3772.80,4217.39,3100.93,3232.51,2684.74
2003,3074.42,2267.46,2744.69,4724.56,2632.67,2134.66,3024.01,3611.25,3068.26,3348.26,2786.21,2537.52,1925.68,3748.84,2739.80,3436.70,3730.34,4217.39,3093.16,3052.93,2684.74
2004,3095.05,2267.46,2744.69,4724.56,2633.75,2134.66,3024.44,3616.32,3068.26,3348.27,2786.21,2537.52,1925.68,3748.84,2739.80,3436.70,3744.34,4217.39,3097.89,3140.64,2684.74
2005,3099.03,2267.46,2744.69,4724.56,2633.71,2134.66,3024.24,3613.47,3068.26,3348.27,2786.21,2537.52,1925.68,3748.84,2739.80,3436.70,3736.40,4217.39,3096.85,3162.45,2684.74
2006,3081.86,2267.46,2744.69,4724.56,2631.54,2134.66,3024.11,3610.60,3068.26,3348.25,2786.21,2537.52,1925.68,3748.84,2739.80,3436.70,3728.77,4217.39,3090.00,3089.48,2684.74
2007,3134.65,2267.46,2744.69,4724.56,2788.79,2134.66,3033.45,3607.66,3068.26,3350.37,2786.21,2537.52,1925.68,3748.84,2739.80,3436.70,3732.76,4217.39,3595.59,3084.82,2684.74
2008,3135.03,2267.46,2744.69,4724.56,2686.40,2134.66,3028.06,3619.95,3068.26,3348.99,2786.21,2537.52,1925.68,3748.84,2739.80,3436.70,3759.36,4217.39,3292.82,3227.97,2684.74
2009,3166.00,2267.46,2744.69,4724.56,2837.34,2134.66,3033.17,3615.27,3068.26,3350.87,2786.21,2537.52,1925.68,3748.84,2739.80,3436.70,3754.66,4217.39,3789.90,3131.94,2684.74
2010,3257.50,2267.46,2744.69,4724.56,2705.14,2134.66,3029.68,3663.37,3068.26,3349.11,2786.21,2537.52,1925.68,3748.84,2739.80,3436.70,3876.56,4217.39,3370.57,3712.89,2684.74
2011,3133.96,2267.46,2744.69,4724.56,2648.08,2134.66,3027.68,3622.20,3068.26,3348.61,2786.21,2537.52,1925.68,3748.84,2739.80,3436.70,3763.78,4217.39,3140.91,3291.30,2684.74
2012,3166.67,2267.46,2744.69,4724.56,2705.26,2134.66,3028.96,3631.71,3068.26,3349.15,2786.21,2537.52,1925.68,3748.84,2739.80,3436.70,3791.63,4217.39,3350.17,3333.19,2684.74
2013,3124.43,2267.46,2744.69,4724.56,2633.86,2134.66,3025.20,3626.64,3068.26,3348.27,2786.21,2537.52,1925.68,3748.84,2739.80,3436.70,3772.77,4217.39,3100.80,3264.32,2684.74
2014,3149.61,2267.46,2744.69,4724.56,2620.00,2134.66,3023.72,3627.94,3068.26,3348.13,2786.21,2537.52,1925.68,3748.84,2739.80,3436.70,3774.62,4217.39,3063.47,3399.17,2684.74
2015,3054.37,2267.46,2744.69,4724.56,2601.39,2134.66,3022.22,3605.07,3068.26,3347.88,2786.21,2537.52,1925.68,3748.84,2739.80,3436.70,3711.69,4217.39,2988.36,3018.08,2684.74
2016,3102.99,2267.46,2744.69,4724.56,2623.08,2134.66,3024.62,3625.11,3068.26,3348.13,2786.21,2537.52,1925.68,3748.84,2739.80,3436.70,3767.94,4217.39,3063.84,3184.89,2684.74
2017,3087.11,2267.46,2744.69,4724.56,2660.48,2134.66,3025.14,3607.54,3068.26,3348.76,2786.21,2537.52,1925.68,3748.84,2739.80,3436.70,3722.52,4217.39,3183.66,3070.53,2684.74
2018,3062.53,2267.46,2744.69,4724.56,2605.71,2134.66,3021.74,3607.79,3068.26,3347.79,2786.21,2537.52,1925.68,3748.84,2739.80,3436.70,3717.08,4217.39,2988.67,3051.51,2684.74
2019,3141.85,2267.46,2744.69,4724.56,2743.02,2134.66,3030.31,3616.32,3068.26,3349.70,2786.21,2537.52,1925.68,3748.84,2739.80,3436.70,3753.54,4217.39,3491.14,3167.29,2684.74
2020,3091.42,2267.46,2744.69,4724.56,2615.34,2134.66,3023.66,3614.18,3068.26,3348.03,2786.21,2537.52,1925.68,3748.84,2739.80,3436.70,3736.99,4217.39,3030.70,3158.27,2684.74
