Variable:,pr
,Botswana,Central,Chobe,Ghanzi,Kgalagadi,Kgatleng,Kweneng,Ngamiland,"North East",South-East,Southern
1987,321.56,360.97,495.90,286.22,249.51,368.72,334.19,319.24,429.81,421.28,355.52
1988,492.42,530.04,652.81,454.29,413.27,570.70,492.88,505.10,597.03,652.20,527.91
1989,412.12,381.69,551.92,362.22,284.97,472.93,415.16,579.97,410.52,587.54,449.92
1990,288.43,275.56,484.47,244.16,232.41,301.69,264.07,367.91,371.43,356.97,295.41
1991,449.15,415.63,672.09,453.21,368.23,503.90,441.02,523.94,457.15,523.37,438.99
1992,224.46,261.63,420.10,176.48,102.56,270.45,220.12,292.58,347.71,313.74,233.48
1993,305.50,295.03,600.54,281.24,230.42,246.89,209.60,403.58,408.17,324.69,256.95
1994,291.71,285.47,406.54,272.83,204.27,323.97,294.60,377.95,332.03,363.62,277.15
1995,325.87,409.03,466.10,268.41,210.49,479.91,391.49,291.83,519.90,515.24,413.93
1996,421.20,472.23,537.98,394.32,292.66,525.29,452.63,436.68,597.20,634.94,483.54
1997,438.60,452.56,614.92,440.21,277.32,519.46,473.42,500.86,464.17,617.48,503.71
1998,376.00,402.10,592.41,340.77,248.70,513.98,441.56,396.16,459.08,590.20,469.09
1999,360.76,371.77,518.35,352.94,249.64,335.28,319.85,452.00,429.99,361.59,321.35
2000,455.30,479.29,674.94,381.15,361.30,649.34,496.23,486.67,620.22,754.72,542.34
2001,419.01,438.11,580.89,377.35,300.82,524.21,476.01,456.02,567.01,628.40,523.31
2002,353.38,318.75,443.98,368.70,289.42,364.36,341.88,431.57,290.00,421.33,353.19
2003,353.82,335.16,431.55,368.28,271.40,353.28,337.29,436.53,354.07,403.31,333.64
2004,416.16,422.01,742.47,371.07,294.64,478.53,391.82,508.76,472.89,553.00,412.78
2005,371.45,365.05,525.63,360.62,305.72,365.66,319.38,454.38,404.21,393.60,314.52
2006,420.78,432.43,597.45,388.13,333.59,488.26,394.61,486.86,526.34,545.44,415.93
2007,355.58,367.58,504.44,361.06,259.46,324.50,284.12,440.61,435.88,332.29,272.23
2008,400.36,404.36,734.35,364.56,289.27,365.91,331.35,514.69,448.98,407.09,332.86
2009,397.80,409.58,548.34,387.05,277.92,441.22,354.43,490.04,501.52,489.78,371.88
2010,466.93,454.92,782.30,439.09,309.30,430.25,388.64,640.52,527.74,502.39,412.06
2011,466.23,448.81,722.51,428.09,358.39,471.35,419.20,599.12,496.83,545.18,450.23
2012,362.20,342.93,587.93,363.92,286.14,329.40,277.48,474.42,311.20,338.17,258.59
2013,386.60,414.36,599.64,365.92,260.05,408.38,328.32,482.60,504.06,396.42,309.88
2014,373.59,375.25,549.97,350.17,287.42,407.41,335.89,460.97,425.27,458.26,331.58
2015,346.01,348.09,500.01,361.85,265.51,283.72,266.19,432.14,354.27,285.38,239.95
2016,376.88,393.76,484.62,367.63,303.34,429.48,363.89,410.60,448.84,463.17,372.52
2017,440.62,470.05,707.68,377.76,308.56,508.23,472.47,496.42,654.30,643.11,509.51
2018,379.79,392.90,574.39,368.07,268.50,382.87,330.15,469.72,470.64,394.77,322.02
2019,378.29,375.26,483.66,372.00,267.96,432.95,390.91,453.57,450.87,504.97,403.51
2020,399.44,408.12,680.90,369.03,292.74,392.60,348.23,490.55,471.93,433.83,363.17
