Variable:,pr
,Moldova,Balti,Cahul,Chisinau,Dubasari,Edinet,Gagauzia,Lapusna,Orhei,Soroca,Tighina,Ungheni
1948,485.28,547.25,421.79,482.97,471.28,495.87,426.50,465.14,530.33,536.27,403.00,547.99
1949,546.19,582.91,506.07,544.69,538.29,535.12,510.33,542.53,586.30,582.01,485.29,599.19
1950,434.57,459.41,398.27,440.46,433.61,425.47,401.47,433.60,456.72,457.63,402.14,465.96
1951,394.93,407.66,370.18,404.49,395.56,390.45,368.05,398.13,403.83,400.60,381.82,413.72
1952,551.92,494.28,582.16,591.73,583.94,450.28,591.79,596.03,565.64,518.98,589.11,541.17
1953,408.69,416.99,382.76,420.18,412.15,387.82,383.71,414.56,430.48,425.17,390.47,431.33
1954,488.56,480.48,516.74,496.02,477.42,449.27,502.77,515.78,491.94,477.70,485.43,514.29
1955,654.02,673.12,649.06,664.91,621.81,628.02,649.87,688.28,659.48,651.62,624.11,721.06
1956,506.12,492.05,520.42,516.50,505.48,467.55,522.02,528.06,521.78,504.67,495.11,517.77
1957,445.42,436.12,475.97,457.68,426.70,402.30,470.93,482.36,446.07,425.10,440.92,477.36
1958,557.76,548.06,555.58,579.04,556.60,509.23,557.32,590.87,584.76,558.05,537.46,582.34
1959,446.15,448.00,436.32,454.96,444.39,428.28,439.56,455.37,457.67,450.72,431.97,471.50
1960,550.20,555.23,514.45,565.28,561.28,531.04,518.91,548.61,581.71,568.91,524.71,578.52
1961,475.07,481.40,462.05,492.15,473.54,426.23,470.87,495.47,498.30,474.64,458.82,512.88
1962,526.77,552.52,479.88,526.99,523.16,531.91,488.70,517.45,554.36,554.94,485.83,574.76
1963,484.30,484.13,486.19,498.86,487.77,443.58,483.14,492.58,495.33,481.61,481.09,510.18
1964,496.31,541.62,468.76,484.51,471.43,513.62,452.56,481.27,527.69,536.66,431.14,554.28
1965,529.17,539.25,495.99,539.64,549.31,515.17,502.14,524.67,546.14,539.44,508.20,547.13
1966,664.79,641.31,658.15,695.70,682.95,592.11,664.64,680.97,707.19,676.87,655.04,683.76
1967,465.60,472.99,464.05,467.53,458.63,455.95,454.62,470.24,476.83,474.73,440.76,498.79
1968,564.19,576.18,502.07,579.07,574.51,556.43,522.73,554.18,616.06,598.03,516.29,601.88
1969,620.74,630.42,631.05,639.25,593.86,565.04,630.45,661.74,628.60,605.40,609.13,679.70
1970,646.98,689.66,567.35,656.90,657.03,647.36,580.13,619.10,712.91,703.84,560.62,705.40
1971,619.51,648.55,575.00,626.27,613.37,608.21,579.14,617.05,659.54,649.55,561.29,680.55
1972,614.13,653.24,634.21,614.41,569.74,573.93,610.86,635.62,639.10,627.79,559.02,686.95
1973,434.85,434.32,413.06,442.72,452.09,418.58,415.76,430.91,451.86,444.17,420.63,455.35
1974,601.56,664.12,542.62,588.00,568.90,638.76,540.94,585.70,638.70,650.41,515.41,678.44
1975,475.96,513.39,458.88,470.03,450.33,475.24,451.64,482.48,487.49,490.53,430.26,542.10
1976,571.94,608.10,516.69,581.11,569.44,566.74,533.66,564.33,599.08,588.61,531.49,626.33
1977,513.11,506.26,523.32,518.17,517.25,490.21,512.35,525.39,516.77,513.28,503.18,530.66
1978,603.50,649.01,557.06,601.43,592.99,618.27,553.11,582.59,643.48,643.99,532.60,656.73
1979,558.19,560.61,550.37,583.54,560.96,488.03,553.69,578.56,588.85,557.53,539.00,612.18
1980,671.91,678.31,627.15,692.57,681.98,642.40,639.76,678.14,719.37,697.58,626.79,707.78
1981,611.39,635.54,555.74,627.40,623.72,603.29,564.04,601.20,649.48,628.26,562.80,663.57
1982,422.66,436.61,405.72,435.08,416.77,387.73,404.59,425.54,464.06,441.07,384.49,464.55
1983,449.18,494.20,393.00,444.93,444.17,451.31,390.65,427.24,506.55,500.75,368.60,511.79
1984,611.85,627.96,587.46,640.29,605.97,547.53,591.21,634.52,658.30,619.61,569.00,677.89
1985,546.69,562.39,501.89,553.87,555.42,531.03,504.97,546.14,588.74,576.52,493.52,596.87
1986,399.80,380.11,408.70,418.76,401.75,351.26,415.38,430.50,407.14,385.53,407.76,416.32
1987,485.17,516.34,462.00,485.95,474.16,485.60,445.79,471.79,519.41,515.03,430.28,534.96
1988,608.12,605.14,585.41,636.61,615.82,557.35,601.38,629.52,639.07,603.59,594.77,636.19
1989,499.96,547.48,452.72,501.78,485.96,501.51,448.81,487.75,553.12,545.84,416.28,555.30
1990,410.94,415.89,373.06,425.52,428.41,385.64,381.72,403.96,459.11,436.86,371.52,431.82
1991,548.41,584.23,543.43,545.90,523.07,544.29,523.77,556.64,573.09,563.71,480.05,614.27
1992,460.84,490.65,407.04,463.07,454.61,476.98,409.56,447.46,493.45,501.57,411.04,500.43
1993,525.95,567.90,482.81,523.51,510.02,538.22,485.31,519.29,556.55,558.46,462.25,579.97
1994,397.96,422.04,375.58,392.92,388.27,404.49,373.22,394.96,420.15,423.76,350.03,432.90
1995,596.85,600.39,595.59,611.50,590.24,559.62,589.82,611.79,624.82,604.63,564.89,637.23
1996,579.97,623.94,525.78,574.49,568.35,606.33,517.83,560.22,615.71,627.66,513.29,629.60
1997,640.74,640.93,636.66,668.07,643.21,570.38,640.21,665.41,675.60,634.87,620.62,682.97
1998,545.96,574.96,517.03,543.90,535.01,551.34,517.39,540.10,571.14,569.21,493.19,595.32
1999,502.36,516.30,521.01,505.13,482.31,480.87,500.69,512.21,519.55,507.78,461.14,548.61
2000,447.89,471.47,387.02,460.25,460.94,444.20,396.80,424.94,491.73,483.45,405.24,481.99
2001,568.10,629.39,500.31,558.50,555.11,603.61,506.46,542.58,601.62,615.45,491.45,623.93
2002,529.58,550.02,508.52,540.61,526.90,487.39,503.28,528.95,578.02,547.30,476.30,599.15
2003,434.01,439.69,404.85,446.82,452.05,410.55,405.69,417.45,475.80,452.75,401.84,462.46
2004,578.03,562.86,593.50,603.77,588.91,491.62,602.94,605.44,602.23,552.87,581.13,616.47
2005,580.51,596.42,596.20,583.41,565.75,543.43,589.19,594.08,596.43,585.32,546.43,622.88
2006,507.00,542.55,492.19,499.23,492.36,503.31,487.28,497.67,532.58,532.08,444.93,567.75
2007,472.31,516.22,450.92,454.97,454.35,491.61,450.21,454.95,485.46,502.77,421.08,515.34
2008,503.15,551.81,442.74,493.48,497.10,528.51,448.10,481.93,530.46,540.87,445.24,556.45
2009,458.48,461.31,471.66,462.72,455.02,431.02,465.65,462.50,472.46,463.65,440.94,476.75
2010,666.80,688.10,639.58,676.02,666.04,623.15,644.63,668.79,707.40,682.58,627.13,731.34
2011,404.91,409.20,393.99,420.69,408.03,366.78,397.28,417.44,432.52,409.48,379.07,433.31
2012,535.42,538.38,531.60,539.74,525.98,517.70,529.49,542.36,559.13,554.89,499.72,571.97
2013,545.60,579.56,521.78,546.61,522.51,552.19,520.04,545.48,571.81,577.53,483.00,591.18
2014,575.97,567.70,625.41,590.54,560.23,503.34,616.38,606.47,598.52,559.17,550.65,617.71
2015,455.80,423.96,507.37,480.88,459.84,370.85,502.64,487.52,465.82,420.78,474.77,471.48
2016,554.72,534.31,580.65,575.03,557.73,480.08,576.02,582.28,579.75,542.28,544.08,596.10
2017,539.87,545.01,562.61,553.51,521.22,486.37,559.44,563.99,567.49,536.38,502.01,588.19
2018,529.97,551.59,504.59,534.93,528.81,512.05,512.62,528.80,558.28,550.20,489.85,565.56
2019,392.64,433.61,369.14,374.99,380.54,414.76,365.10,369.50,406.56,421.35,347.83,431.66
2020,455.62,501.74,424.69,438.18,437.51,488.81,421.19,437.47,474.05,492.50,390.89,499.64
