Variable:,pr
,Guinea-Bissau,Bafata,Biombo,Bolama/bijagos,Cacheu,Gabu,Oio,Quinara,"Sector Autonomo De Bissau",Tombali
1945,1599.14,1545.45,1668.95,1736.53,1587.80,1543.80,1531.76,1763.30,1670.30,1844.68
1946,1713.32,1672.88,1731.30,1818.70,1638.03,1651.65,1630.71,1892.17,1732.50,2040.60
1947,1653.40,1603.04,1771.73,1861.82,1685.91,1471.91,1636.75,1927.53,1773.00,2034.60
1948,1601.36,1546.51,1776.97,1816.94,1552.87,1496.04,1490.26,1876.22,1781.20,2031.80
1949,1540.93,1496.77,1677.44,1794.01,1570.24,1359.51,1500.45,1827.89,1679.60,1956.95
1950,2259.64,2184.61,2458.31,2686.29,2238.85,2075.33,2057.82,2707.90,2463.30,2960.67
1951,1962.83,1938.48,2226.02,2225.33,1893.59,1971.22,1811.08,2101.34,2232.80,2262.14
1952,1859.15,1768.49,2072.64,2175.05,1808.84,1870.71,1656.00,2078.25,2078.10,2245.14
1953,1813.19,1761.84,1899.90,2020.46,1716.24,1716.42,1705.31,2095.69,1903.50,2250.58
1954,2030.53,1977.04,2240.71,2402.56,1972.66,1887.76,1886.49,2382.43,2245.90,2585.87
1955,1962.27,1890.33,2299.30,2334.28,2068.40,1830.15,1892.68,2198.36,2304.10,2336.69
1956,1881.19,1789.79,2181.04,2299.91,2042.67,1732.59,1777.30,2151.02,2184.80,2322.57
1957,1906.09,1853.12,1881.32,1987.84,1676.30,1972.19,1729.97,2062.85,1885.50,2242.34
1958,2100.67,2047.30,2395.32,2464.65,2059.13,2008.54,1990.91,2342.86,2402.00,2547.80
1959,1639.24,1592.72,1660.80,1773.42,1434.82,1608.85,1499.01,1892.56,1664.40,2049.92
1960,1708.83,1644.78,1908.54,1953.95,1802.55,1547.99,1659.91,1969.54,1910.40,2065.07
1961,1839.47,1728.84,1948.57,2066.44,1811.84,1891.69,1673.28,1974.18,1951.40,2119.76
1962,1761.92,1702.19,2033.19,2050.68,1786.77,1641.55,1679.79,2005.15,2037.60,2162.31
1963,1712.36,1695.86,1755.58,1789.58,1593.86,1597.87,1652.13,1955.97,1758.40,2096.82
1964,1840.23,1755.64,1951.54,2020.00,1733.71,1893.08,1660.42,1997.66,1955.90,2162.69
1965,1973.53,1914.43,2182.12,2308.45,2027.41,1755.51,1900.33,2347.73,2184.90,2472.12
1966,1642.84,1576.23,1909.87,2010.67,1749.87,1491.63,1539.10,1926.38,1913.40,2074.15
1967,1810.95,1759.41,2040.07,2143.55,1966.01,1654.74,1708.64,2052.35,2042.30,2214.86
1968,1228.12,1177.98,1215.42,1364.44,1039.33,1220.98,1094.34,1443.09,1218.10,1581.93
1969,1910.08,1853.33,2157.34,2222.57,1987.25,1642.31,1879.47,2295.08,2160.10,2447.24
1970,1607.44,1579.85,1765.75,1879.78,1573.93,1474.95,1490.41,1895.15,1769.60,2057.54
1971,1540.54,1534.54,1416.12,1535.33,1280.36,1547.01,1404.98,1721.93,1418.70,1882.17
1972,1227.70,1186.88,1206.92,1322.03,1063.72,1212.58,1105.85,1426.07,1209.30,1556.25
1973,1407.54,1371.89,1481.71,1558.77,1339.33,1355.51,1313.37,1584.97,1484.30,1719.22
1974,1487.01,1434.59,1528.49,1616.25,1408.07,1395.81,1390.56,1739.59,1530.60,1880.35
1975,1815.59,1772.43,1787.42,1851.80,1719.08,1750.24,1721.28,2037.01,1788.60,2143.88
1976,1772.11,1706.16,2150.99,2220.82,1741.58,1614.60,1648.41,2148.16,2158.60,2314.32
1977,1113.57,1069.00,1079.27,1158.58,978.67,1127.69,1016.18,1254.67,1081.30,1340.21
1978,1760.94,1674.55,1889.47,1989.98,1668.40,1769.81,1605.96,1953.95,1894.00,2129.92
1979,1325.68,1259.18,1630.29,1617.03,1370.92,1282.68,1218.68,1492.36,1635.80,1623.09
1980,1116.55,1075.10,1146.99,1219.85,1053.82,1063.52,1024.03,1316.26,1148.70,1393.47
1981,1574.34,1532.54,1781.05,1821.91,1463.50,1520.98,1467.57,1799.53,1786.80,1936.66
1982,1342.59,1308.49,1472.83,1541.75,1270.76,1305.11,1235.69,1521.29,1476.70,1643.75
1983,1149.18,1106.69,1244.21,1302.50,1069.38,1101.20,1062.76,1332.53,1247.00,1449.14
1984,1269.20,1213.05,1369.40,1424.18,1189.57,1316.24,1144.87,1354.77,1372.70,1481.52
1985,1261.30,1189.77,1312.61,1411.00,1251.99,1239.39,1143.22,1427.41,1313.80,1538.02
1986,1376.98,1342.18,1308.37,1398.48,1172.72,1429.26,1241.85,1507.61,1310.50,1613.82
1987,1479.02,1451.83,1479.05,1561.93,1393.46,1443.88,1384.75,1625.35,1480.30,1767.40
1988,1547.56,1477.98,1612.21,1721.05,1529.36,1486.17,1432.32,1776.13,1614.10,1884.94
1989,1556.29,1524.07,1634.20,1736.74,1516.40,1456.78,1447.71,1800.91,1636.50,1939.45
1990,1242.88,1171.50,1389.38,1461.48,1292.27,1105.62,1214.74,1478.24,1391.20,1578.28
1991,1391.10,1322.58,1526.46,1595.36,1306.73,1319.49,1298.40,1632.36,1529.80,1766.33
1992,1523.75,1464.47,1616.47,1693.26,1452.72,1444.47,1416.54,1741.63,1619.50,1959.20
1993,1416.22,1348.43,1530.10,1580.81,1362.95,1343.85,1354.90,1614.56,1532.30,1738.09
1994,1752.61,1705.58,1903.12,2006.25,1645.45,1701.52,1625.35,1983.58,1908.10,2148.97
1995,1398.16,1344.74,1438.11,1541.34,1366.92,1344.26,1310.51,1585.45,1440.10,1703.33
1996,1396.65,1375.90,1443.02,1497.74,1292.08,1367.30,1289.70,1560.97,1445.40,1673.07
1997,1467.66,1411.51,1629.18,1705.52,1415.79,1408.61,1359.45,1683.25,1633.00,1820.38
1998,1445.77,1403.91,1424.38,1522.74,1319.97,1401.60,1329.00,1654.70,1425.90,1798.41
1999,1904.72,1844.75,2066.94,2184.95,1875.48,1769.89,1798.86,2213.35,2070.50,2372.56
2000,1591.30,1532.75,1678.44,1782.10,1529.69,1520.36,1471.71,1829.43,1681.30,1989.92
2001,1459.41,1404.58,1701.71,1839.89,1432.08,1344.23,1353.85,1746.88,1707.10,1897.73
2002,1122.85,1081.37,1131.10,1210.49,1019.24,1108.40,1003.11,1279.54,1133.10,1436.42
2003,1684.36,1643.42,1668.01,1703.37,1541.69,1655.12,1565.67,1885.77,1669.60,2005.53
2004,1406.60,1353.46,1449.59,1543.21,1261.91,1386.94,1263.50,1618.27,1452.70,1785.06
2005,1750.28,1693.06,1903.87,1922.97,1726.48,1666.88,1659.29,1988.96,1907.20,2082.93
2006,1699.98,1642.68,1774.38,1893.93,1604.29,1611.53,1557.95,1992.58,1777.30,2163.72
2007,1406.61,1334.13,1582.35,1667.62,1382.57,1310.65,1306.04,1681.12,1586.20,1795.96
2008,1794.37,1732.47,1968.36,2077.68,1791.26,1652.44,1717.37,2092.17,1971.50,2208.25
2009,1626.31,1570.36,1708.36,1803.98,1619.58,1498.66,1567.74,1883.54,1709.70,1980.65
2010,1787.94,1743.42,1843.17,1935.30,1692.16,1704.52,1672.09,2048.60,1845.60,2185.81
2011,1416.28,1377.24,1417.32,1522.65,1290.55,1377.86,1293.33,1621.70,1419.40,1769.37
2012,1772.24,1722.77,1950.42,2079.69,1777.72,1636.77,1698.94,2045.69,1953.80,2160.94
2013,1616.90,1572.23,1718.68,1809.69,1547.73,1550.63,1498.95,1848.53,1721.90,1985.39
2014,1525.82,1481.03,1678.71,1756.94,1441.59,1456.10,1425.44,1759.51,1682.90,1883.85
2015,1632.20,1576.97,1644.14,1732.14,1507.47,1598.47,1487.98,1858.48,1646.40,2016.77
2016,1554.23,1502.58,1645.65,1743.94,1496.58,1460.64,1469.14,1802.87,1648.10,1910.43
2017,1635.33,1573.02,1774.00,1848.48,1571.88,1547.97,1530.58,1901.05,1777.50,2026.38
2018,1427.28,1390.59,1438.99,1525.36,1340.08,1376.49,1327.99,1620.97,1440.60,1738.11
2019,1517.15,1445.65,1627.79,1730.60,1499.68,1464.41,1408.51,1729.15,1630.50,1844.52
2020,1548.01,1482.69,1656.72,1761.22,1539.85,1453.24,1471.73,1777.12,1658.80,1893.32
