Variable:,pr
,Bangladesh,Barisal,Chittagong,Dhaka,Khulna,Sylhet,Rajshahi,Rangpur
1924,2739.18,2611.95,3494.19,2632.05,1788.88,4226.94,1921.49,2531.70
1925,2599.22,2557.95,3288.82,2483.85,1927.26,3512.44,1936.47,2484.54
1926,2323.04,2578.67,2890.26,2213.17,1839.12,3102.09,1698.79,2129.83
1927,2612.06,2352.59,3206.37,2613.15,1627.52,4291.37,1815.80,2395.76
1928,2581.95,2810.19,3291.54,2462.41,2088.48,3276.35,1905.28,2318.70
1929,2441.02,2309.40,2904.43,2408.76,1701.50,3765.48,1780.97,2344.86
1930,2292.59,2350.85,2769.61,2266.00,1647.93,3435.79,1637.54,2101.69
1931,2190.18,2132.89,2483.93,2187.64,1676.35,3183.44,1671.69,2171.32
1932,2470.00,2376.45,3185.17,2431.54,1646.61,3825.51,1673.74,2129.41
1933,2370.64,2570.44,2643.04,2359.52,2045.88,3064.68,1864.19,2308.88
1934,2728.49,2402.22,2992.53,2845.57,1778.85,4763.16,1964.05,2573.35
1935,2202.65,2010.91,2954.22,2069.27,1361.11,3293.20,1535.95,2097.52
1936,2601.92,2547.88,2886.44,2629.57,2016.32,3861.20,1992.47,2506.16
1937,2287.30,2280.33,2484.19,2297.59,1881.37,3028.11,1855.57,2385.10
1938,2741.75,2481.66,3436.29,2689.79,1689.81,4308.77,1934.13,2625.31
1939,2485.29,2625.20,2846.59,2464.44,2041.58,3383.89,1907.36,2346.87
1940,2533.48,2417.00,3012.39,2539.08,1729.75,4072.76,1772.46,2344.87
1941,2831.52,3017.02,3149.53,2873.09,2300.85,4294.99,2065.24,2511.86
1942,2367.46,2186.40,2720.26,2335.90,1746.47,3498.19,1832.72,2384.55
1943,2502.31,2358.60,2829.64,2523.91,1872.22,3784.97,1892.66,2420.60
1944,2108.52,2114.36,2563.51,2029.09,1610.02,2836.85,1595.88,2095.18
1945,2362.82,2140.97,2711.46,2364.12,1693.68,3499.67,1816.04,2396.78
1946,2571.00,2479.83,2957.81,2586.46,1860.16,3990.40,1880.64,2433.63
1947,2799.96,2821.06,3445.40,2768.11,1965.26,4283.96,1971.60,2484.99
1948,2532.28,2263.04,2723.20,2637.27,1818.92,4143.61,1894.77,2481.29
1949,2861.53,2849.07,3316.48,2979.37,2088.39,4441.07,2047.72,2447.94
1950,2378.97,2544.62,2914.82,2328.08,1826.00,3351.96,1737.13,2103.12
1951,2499.26,2341.30,3119.52,2512.18,1535.81,4294.04,1591.55,2217.11
1952,2724.77,2531.58,3312.07,2831.09,1797.45,4331.79,1908.13,2355.77
1953,2618.91,2689.91,3028.52,2635.92,1858.67,3967.35,1975.18,2409.96
1954,2381.92,2324.41,2752.39,2415.79,1638.19,3528.10,1826.51,2296.37
1955,2374.72,2298.54,2949.66,2302.47,1549.20,3635.57,1679.49,2317.43
1956,2666.45,2636.02,2999.56,2733.40,2027.15,3969.78,2059.34,2419.71
1957,1837.01,1711.81,2112.22,1882.36,1232.77,3046.86,1276.62,1748.99
1958,1940.68,1775.82,2235.58,1964.56,1304.42,3056.36,1428.41,1931.98
1959,2853.67,3008.55,3317.56,2950.74,2339.94,3965.77,2167.02,2329.78
1960,2272.12,2465.30,2729.15,2283.95,1804.15,3247.55,1593.39,1946.99
1961,2544.27,2970.00,3788.24,2264.98,1757.03,3328.07,1672.38,1962.54
1962,2149.39,2306.58,2517.72,2150.68,1633.12,2985.79,1548.51,2071.53
1963,2274.78,2286.20,2563.38,2249.86,1786.04,3224.52,1727.51,2310.28
1964,2511.32,2442.80,2997.93,2559.47,1699.26,3882.22,1808.28,2273.07
1965,2381.05,2478.81,3021.08,2282.58,1861.85,3319.01,1724.04,2053.67
1966,2135.77,2098.49,2826.32,2063.65,1412.95,3371.24,1324.83,1889.10
1967,2175.78,2226.95,2700.19,2149.94,1647.64,3216.08,1499.04,1882.51
1968,2526.66,2647.96,3111.86,2432.42,1941.90,3700.26,1785.44,2270.05
1969,2272.22,2265.01,2849.22,2159.87,1703.29,3210.32,1678.13,2118.22
1970,2648.34,2667.71,2915.24,2690.61,2075.76,4350.94,1873.14,2387.75
1971,2125.38,2161.68,2421.65,1930.82,1941.56,2531.50,1851.63,2260.87
1972,1716.94,1577.69,1955.31,1723.98,1205.43,2706.59,1198.33,1799.48
1973,2544.09,2337.06,2682.88,2648.55,1853.67,3783.66,1996.78,2698.00
1974,2687.15,2677.99,3220.85,2649.82,1940.15,3868.41,1977.15,2597.39
1975,2223.38,2134.39,2451.53,2211.27,1609.75,3447.01,1602.32,2398.05
1976,2298.09,2192.65,2852.11,2264.65,1583.09,3268.53,1657.69,2227.79
1977,2365.14,2299.26,2644.42,2340.01,1879.29,3643.79,1819.63,2207.49
1978,2289.71,2332.29,2440.05,2265.43,2011.55,2946.26,1923.98,2347.42
1979,2281.38,2280.59,2386.78,2377.17,1684.95,3494.32,1751.86,2307.17
1980,2206.86,2247.36,2612.26,2177.52,1699.30,3020.42,1674.88,2115.15
1981,2594.76,2791.59,3274.43,2548.06,2001.02,3517.43,1865.67,2195.09
1982,2148.23,2141.31,2604.14,2164.47,1466.11,3479.80,1473.50,1863.40
1983,2691.75,2847.62,3195.38,2723.62,2105.33,3904.50,1964.22,2251.72
1984,2923.74,2887.38,3102.35,3022.32,2200.57,4056.31,2401.29,3040.77
1985,2237.53,2206.40,2615.88,2199.95,1572.62,3267.90,1679.68,2290.05
1986,2417.37,2520.21,2552.01,2507.43,2090.41,3380.82,1967.29,2163.19
1987,2650.33,2651.89,3079.04,2664.17,1962.26,4112.37,1860.04,2474.02
1988,2736.52,2617.06,2922.33,2875.43,2045.62,4425.56,2006.26,2576.90
1989,1981.06,1911.12,2219.39,1932.02,1475.18,2816.87,1491.05,2218.56
1990,2588.80,2501.48,2878.45,2625.61,2008.65,3913.60,2018.71,2387.78
1991,2616.16,2648.42,2962.00,2655.56,1949.81,3788.33,2003.10,2498.26
1992,1740.18,1619.77,1813.95,1681.81,1363.60,2644.59,1399.27,1966.01
1993,2656.19,2602.73,2953.47,2733.08,2057.48,4025.36,2002.58,2418.78
1994,1796.42,1845.43,2103.00,1751.82,1449.49,2659.84,1298.27,1653.03
1995,2346.76,2411.32,2640.88,2314.22,1865.25,3302.72,1852.72,2289.04
1996,2147.65,2168.19,2478.00,2156.17,1657.43,3041.69,1657.33,1999.73
1997,2199.09,2356.39,2619.70,2102.08,1781.96,3054.97,1660.55,2033.24
1998,2548.77,2578.76,2981.53,2557.31,1867.71,3636.21,1923.62,2429.24
1999,2552.65,2556.46,3175.88,2410.82,1940.63,3353.66,1981.14,2529.77
2000,2380.01,2283.55,2720.14,2417.26,1761.77,3639.04,1759.41,2229.46
2001,2293.82,2231.34,2538.07,2315.60,1694.82,3353.95,1730.43,2401.42
2002,2342.47,2586.39,2625.65,2332.92,2000.21,3190.60,1804.35,2163.19
2003,2183.38,2270.24,2456.46,2158.87,1758.00,3009.17,1688.55,2187.78
2004,2247.25,2298.27,2634.00,2231.78,1748.13,3219.70,1670.88,2085.04
2005,2020.86,2174.84,2392.11,1973.92,1638.34,2594.08,1575.43,1932.29
2006,1928.77,2212.79,2211.31,1842.76,1761.35,2251.62,1575.22,1895.84
2007,2486.77,2910.32,2731.12,2465.63,2304.91,3235.14,1929.14,2249.11
2008,2179.80,2357.01,2440.14,2132.70,1854.35,2876.04,1688.33,2187.68
2009,1987.51,2133.63,2279.90,1946.80,1603.00,2538.97,1598.84,1991.78
2010,2245.35,2091.96,2404.50,2276.58,1604.46,3495.93,1713.87,2406.01
2011,1971.04,2146.29,2455.71,1812.23,1583.44,2277.63,1525.36,2114.44
2012,1992.35,2006.21,2444.76,1906.44,1443.75,2935.57,1422.17,1940.59
2013,2023.31,2164.51,2283.96,2001.90,1678.69,2757.19,1569.77,1942.69
2014,1801.96,1834.24,1959.34,1809.25,1410.76,2602.20,1404.53,1814.80
2015,2543.25,2717.47,3038.56,2490.52,2012.55,3531.27,1896.98,2318.10
2016,2119.78,2196.27,2396.23,2117.07,1696.35,2949.52,1643.61,2039.79
2017,2743.86,2926.49,3229.43,2745.90,2163.85,3969.70,2001.62,2391.58
2018,1823.15,1919.60,2148.05,1816.10,1416.73,2602.11,1330.61,1667.66
2019,2029.11,2095.08,2315.67,2004.63,1600.95,2845.07,1545.49,1993.35
2020,2476.53,2515.50,2713.87,2509.19,1944.68,3499.84,1940.64,2458.89
