Variable:,pr
,"British Virgin Islands",Anegada,"Jost van Dyke","Other Islands",Tortola,"Virgin Gorda"
1938,2417.50,2417.50,2417.50,2417.50,2417.50,2417.50
1939,2147.60,2147.60,2147.60,2147.60,2147.60,2147.60
1940,2402.70,2402.70,2402.70,2402.70,2402.70,2402.70
1941,2376.70,2376.70,2376.70,2376.70,2376.70,2376.70
1942,2630.50,2630.50,2630.50,2630.50,2630.50,2630.50
1943,2376.20,2376.20,2376.20,2376.20,2376.20,2376.20
1944,2337.80,2337.80,2337.80,2337.80,2337.80,2337.80
1945,2064.40,2064.40,2064.40,2064.40,2064.40,2064.40
1946,2082.00,2082.00,2082.00,2082.00,2082.00,2082.00
1947,1892.20,1892.20,1892.20,1892.20,1892.20,1892.20
1948,2375.00,2375.00,2375.00,2375.00,2375.00,2375.00
1949,2386.00,2386.00,2386.00,2386.00,2386.00,2386.00
1950,2405.00,2405.00,2405.00,2405.00,2405.00,2405.00
1951,2281.30,2281.30,2281.30,2281.30,2281.30,2281.30
1952,2574.90,2574.90,2574.90,2574.90,2574.90,2574.90
1953,2087.70,2087.70,2087.70,2087.70,2087.70,2087.70
1954,2339.50,2339.50,2339.50,2339.50,2339.50,2339.50
1955,2099.90,2099.90,2099.90,2099.90,2099.90,2099.90
1956,2441.80,2441.80,2441.80,2441.80,2441.80,2441.80
1957,1833.40,1833.40,1833.40,1833.40,1833.40,1833.40
1958,2616.20,2616.20,2616.20,2616.20,2616.20,2616.20
1959,2133.30,2133.30,2133.30,2133.30,2133.30,2133.30
1960,2771.20,2771.20,2771.20,2771.20,2771.20,2771.20
1961,2322.20,2322.20,2322.20,2322.20,2322.20,2322.20
1962,2236.80,2236.80,2236.80,2236.80,2236.80,2236.80
1963,2205.70,2205.70,2205.70,2205.70,2205.70,2205.70
1964,1717.60,1717.60,1717.60,1717.60,1717.60,1717.60
1965,2355.60,2355.60,2355.60,2355.60,2355.60,2355.60
1966,2087.00,2087.00,2087.00,2087.00,2087.00,2087.00
1967,1516.50,1516.50,1516.50,1516.50,1516.50,1516.50
1968,1917.70,1917.70,1917.70,1917.70,1917.70,1917.70
1969,2709.40,2709.40,2709.40,2709.40,2709.40,2709.40
1970,2666.60,2666.60,2666.60,2666.60,2666.60,2666.60
1971,2067.90,2067.90,2067.90,2067.90,2067.90,2067.90
1972,1879.40,1879.40,1879.40,1879.40,1879.40,1879.40
1973,1732.10,1732.10,1732.10,1732.10,1732.10,1732.10
1974,2094.80,2094.80,2094.80,2094.80,2094.80,2094.80
1975,2240.60,2240.60,2240.60,2240.60,2240.60,2240.60
1976,1756.80,1756.80,1756.80,1756.80,1756.80,1756.80
1977,2083.50,2083.50,2083.50,2083.50,2083.50,2083.50
1978,1961.00,1961.00,1961.00,1961.00,1961.00,1961.00
1979,3095.90,3095.90,3095.90,3095.90,3095.90,3095.90
1980,1686.60,1686.60,1686.60,1686.60,1686.60,1686.60
1981,2696.00,2696.00,2696.00,2696.00,2696.00,2696.00
1982,2108.20,2108.20,2108.20,2108.20,2108.20,2108.20
1983,2080.30,2080.30,2080.30,2080.30,2080.30,2080.30
1984,2369.80,2369.80,2369.80,2369.80,2369.80,2369.80
1985,2088.90,2088.90,2088.90,2088.90,2088.90,2088.90
1986,2191.00,2191.00,2191.00,2191.00,2191.00,2191.00
1987,2563.40,2563.40,2563.40,2563.40,2563.40,2563.40
1988,2306.90,2306.90,2306.90,2306.90,2306.90,2306.90
1989,2254.10,2254.10,2254.10,2254.10,2254.10,2254.10
1990,2086.30,2086.30,2086.30,2086.30,2086.30,2086.30
1991,1740.70,1740.70,1740.70,1740.70,1740.70,1740.70
1992,2474.90,2474.90,2474.90,2474.90,2474.90,2474.90
1993,1904.10,1904.10,1904.10,1904.10,1904.10,1904.10
1994,1727.20,1727.20,1727.20,1727.20,1727.20,1727.20
1995,2008.90,2008.90,2008.90,2008.90,2008.90,2008.90
1996,2023.90,2023.90,2023.90,2023.90,2023.90,2023.90
1997,1839.30,1839.30,1839.30,1839.30,1839.30,1839.30
1998,2838.70,2838.70,2838.70,2838.70,2838.70,2838.70
1999,2543.30,2543.30,2543.30,2543.30,2543.30,2543.30
2000,1579.30,1579.30,1579.30,1579.30,1579.30,1579.30
2001,2136.80,2136.80,2136.80,2136.80,2136.80,2136.80
2002,2040.10,2040.10,2040.10,2040.10,2040.10,2040.10
2003,2622.40,2622.40,2622.40,2622.40,2622.40,2622.40
2004,2645.90,2645.90,2645.90,2645.90,2645.90,2645.90
2005,2953.40,2953.40,2953.40,2953.40,2953.40,2953.40
2006,3031.60,3031.60,3031.60,3031.60,3031.60,3031.60
2007,2261.90,2261.90,2261.90,2261.90,2261.90,2261.90
2008,2689.50,2689.50,2689.50,2689.50,2689.50,2689.50
2009,2294.00,2294.00,2294.00,2294.00,2294.00,2294.00
2010,3098.20,3098.20,3098.20,3098.20,3098.20,3098.20
2011,3033.10,3033.10,3033.10,3033.10,3033.10,3033.10
2012,1923.90,1923.90,1923.90,1923.90,1923.90,1923.90
2013,2830.90,2830.90,2830.90,2830.90,2830.90,2830.90
2014,2600.50,2600.50,2600.50,2600.50,2600.50,2600.50
2015,1504.20,1504.20,1504.20,1504.20,1504.20,1504.20
2016,2437.80,2437.80,2437.80,2437.80,2437.80,2437.80
2017,2527.30,2527.30,2527.30,2527.30,2527.30,2527.30
2018,2079.80,2079.80,2079.80,2079.80,2079.80,2079.80
2019,2180.20,2180.20,2180.20,2180.20,2180.20,2180.20
2020,2395.10,2395.10,2395.10,2395.10,2395.10,2395.10
