Variable:,pr
,Hungary,Bacs-kiskun,Baranya,Bekes,Borsod-abauj-zemplen,Budapest,Csongrad,Fejer,Gyor-moson-sopron,Hajdu-bihar,Heves,Jasz-nagykun-szolnok,Komarom-esztergom,Nograd,Pest,Somogy,Szabolcs-szatmar-bereg,Tolna,Vas,Veszprem,Zala
1927,617.23,560.99,648.75,559.41,648.21,568.91,537.78,587.49,632.62,584.12,615.66,568.08,599.08,644.64,575.52,673.72,651.81,602.85,759.87,635.57,736.20
1928,520.48,442.37,583.31,434.01,518.04,496.88,397.21,498.72,570.19,472.71,483.25,431.45,514.52,541.11,488.94,627.79,546.61,505.98,702.62,577.13,707.81
1929,575.35,531.00,634.05,532.37,599.51,543.52,514.61,561.14,555.47,547.71,543.62,506.39,577.58,594.82,542.99,637.97,600.66,576.62,669.75,589.79,681.56
1930,686.95,579.51,704.88,571.84,700.77,674.21,526.44,678.78,777.63,621.21,673.68,585.88,744.80,755.50,668.14,795.31,695.92,662.84,890.74,786.88,888.66
1931,595.67,543.07,633.53,557.73,629.29,549.62,517.49,571.80,602.33,576.80,582.73,535.35,582.11,621.16,552.59,652.13,654.10,585.84,689.97,613.17,685.70
1932,519.54,515.79,602.80,550.10,535.80,444.23,525.72,464.18,435.92,538.32,482.83,500.32,447.90,476.29,459.98,571.62,588.82,521.74,518.99,466.50,564.14
1933,666.88,573.16,733.73,591.70,695.47,610.70,541.41,626.87,681.75,631.75,618.69,567.65,657.47,673.97,604.67,791.55,734.22,648.14,836.85,707.42,872.35
1934,569.16,544.11,646.88,537.20,561.93,527.11,533.55,542.33,560.13,516.06,532.33,509.08,554.61,574.84,532.41,655.31,565.04,572.29,668.63,584.68,692.19
1935,581.65,514.45,604.58,511.97,594.98,560.79,478.47,572.93,614.49,537.95,568.59,513.52,600.90,625.32,559.62,667.53,603.16,568.91,700.36,627.12,724.05
1936,688.76,606.06,732.12,610.44,744.09,671.27,562.29,680.97,699.75,639.51,694.13,613.18,701.94,757.79,661.69,765.45,733.24,684.51,801.78,723.90,809.12
1937,809.91,757.85,957.48,682.39,733.79,811.93,704.89,835.52,852.89,651.60,751.57,685.09,849.51,855.42,800.16,1006.73,697.34,858.48,1019.25,899.03,1069.79
1938,576.45,493.05,607.31,531.75,651.67,533.46,476.23,539.61,596.36,569.78,574.13,507.04,569.49,620.12,529.51,611.72,672.74,547.68,683.18,586.11,669.75
1939,647.95,572.51,657.17,594.90,699.03,643.49,557.57,640.69,716.02,608.17,668.22,580.34,694.90,737.35,639.46,671.13,679.79,622.44,749.07,689.55,704.68
1940,768.03,709.60,868.88,682.53,780.35,750.04,657.11,765.83,756.66,680.33,752.61,679.83,755.86,806.25,743.94,884.79,764.42,791.09,910.07,816.02,925.06
1941,684.27,600.80,707.67,656.67,748.62,613.49,585.87,632.30,737.78,698.09,650.37,616.07,662.91,685.89,619.63,732.78,813.03,637.14,796.70,700.60,769.13
1942,525.42,478.97,579.26,488.46,539.73,498.55,463.44,512.47,543.09,492.31,504.44,466.06,524.99,542.46,495.83,592.04,547.73,523.70,605.83,551.68,613.87
1943,534.85,479.32,636.09,453.35,510.61,515.86,442.26,525.68,582.68,453.62,503.53,449.99,532.14,555.81,506.04,660.45,511.81,546.21,685.35,591.32,703.01
1944,701.38,619.90,736.03,609.51,697.77,698.68,579.36,702.36,810.53,638.08,691.35,615.26,744.01,760.98,688.90,785.14,710.60,686.44,864.35,778.29,831.02
1945,530.50,471.61,547.68,481.62,569.51,522.55,453.96,520.55,574.40,509.85,525.27,467.27,553.96,586.71,519.72,565.40,580.91,507.21,602.85,558.17,588.28
1946,518.26,467.18,529.25,465.96,531.73,516.96,447.21,516.49,593.23,475.44,504.09,455.06,563.34,575.80,513.10,560.43,512.02,502.09,625.73,566.46,600.82
1947,487.37,408.66,513.29,435.87,529.91,448.67,380.86,453.22,530.90,492.16,455.72,414.64,479.56,515.09,444.67,543.68,585.62,454.13,596.41,511.67,597.84
1948,595.72,519.15,657.49,510.90,604.89,562.58,483.19,575.92,651.98,532.61,577.13,507.84,611.94,635.53,556.78,699.61,609.13,583.83,751.51,662.52,769.47
1949,541.80,477.69,525.23,519.06,588.74,511.21,480.98,507.63,606.08,534.12,558.51,497.76,561.74,605.68,518.62,545.34,598.32,486.57,637.17,568.28,594.52
1950,607.66,533.97,631.54,516.73,600.10,595.72,483.35,602.03,713.97,543.09,575.53,521.46,645.57,648.12,590.05,705.52,612.82,600.71,787.02,681.51,764.58
1951,647.49,579.00,723.21,563.53,634.99,623.01,545.17,630.69,714.12,572.57,606.73,561.36,670.82,669.19,615.16,776.50,625.31,642.32,806.82,713.97,835.15
1952,652.07,589.00,644.44,611.89,733.58,671.04,573.95,619.59,589.97,646.73,686.60,618.31,643.24,758.41,666.94,669.24,762.66,615.01,667.19,616.69,687.56
1953,522.86,467.83,533.69,509.45,555.25,495.03,464.60,496.04,526.67,511.89,510.31,478.58,515.42,549.41,499.33,558.29,571.96,492.04,603.66,536.84,607.61
1954,628.21,568.57,693.32,579.54,584.54,597.46,563.82,604.60,725.70,560.52,560.69,534.19,647.86,625.63,588.32,730.71,612.14,610.63,837.75,705.85,797.94
1955,704.08,688.52,816.77,689.81,718.50,656.40,668.92,657.72,628.32,688.84,659.33,643.26,653.63,711.54,653.91,780.70,781.08,712.27,728.37,670.32,801.56
1956,542.14,508.03,619.10,512.73,501.99,498.52,494.27,521.83,583.24,491.23,482.21,469.16,541.84,526.09,496.30,619.67,548.14,541.44,692.11,585.76,687.48
1957,574.68,506.56,578.22,524.12,577.11,562.41,481.51,567.35,653.94,535.96,551.62,510.49,624.59,606.03,559.16,621.41,604.04,546.76,711.77,641.62,682.66
1958,589.02,492.51,572.52,530.18,681.09,552.75,476.37,534.58,618.99,587.51,618.52,538.06,586.17,666.04,562.19,603.57,704.77,528.37,714.84,598.24,668.51
1959,575.76,529.96,700.15,512.67,551.11,535.06,498.21,555.70,625.42,505.54,519.36,484.45,583.54,580.13,532.91,697.25,556.63,581.59,716.14,623.06,737.11
1960,664.43,586.54,732.68,588.94,740.71,623.08,544.82,619.22,644.52,639.58,644.38,577.77,624.87,700.67,620.39,758.93,762.13,645.82,768.37,672.88,792.74
1961,462.32,400.71,544.16,373.66,434.34,437.18,366.04,456.85,578.90,368.03,400.98,364.48,497.30,474.39,429.78,580.42,418.14,457.93,658.28,561.69,643.62
1962,550.07,460.21,630.57,448.01,556.10,508.12,423.99,522.72,596.76,475.07,497.40,427.19,556.98,579.01,499.56,698.45,571.63,528.33,747.15,611.86,814.09
1963,616.46,598.40,666.90,567.25,578.82,615.18,554.08,632.19,615.46,548.83,592.13,558.35,631.22,653.76,608.28,690.90,580.23,640.04,745.10,645.24,736.42
1964,639.91,605.38,755.28,571.83,626.83,606.54,570.42,630.44,632.28,561.92,599.06,550.14,623.06,671.85,598.42,766.96,633.13,665.91,761.23,664.18,791.87
1965,776.86,699.84,835.02,655.60,769.85,764.78,637.95,797.70,819.31,680.68,774.41,693.00,821.35,842.97,766.69,901.42,734.64,793.19,949.91,859.00,965.99
1966,718.04,616.92,753.48,636.39,731.77,693.08,581.19,714.12,785.77,661.28,679.82,623.47,760.94,755.49,687.25,822.63,749.55,697.64,879.20,805.30,901.30
1967,519.46,478.74,599.82,481.73,542.32,461.06,466.31,471.23,528.45,487.72,481.03,446.37,495.89,522.88,467.32,605.80,568.32,510.93,613.28,521.57,636.91
1968,521.83,464.99,553.38,494.32,558.64,483.21,459.33,478.84,546.77,512.71,491.16,451.45,522.80,537.48,483.50,562.94,608.74,484.72,616.85,536.50,608.00
1969,629.86,608.21,722.61,623.04,573.99,592.17,604.01,610.78,656.57,564.23,575.98,574.58,624.88,626.10,588.43,720.81,589.59,642.82,761.08,660.74,765.87
1970,661.04,570.71,680.02,662.86,777.77,604.34,588.24,557.86,607.35,699.70,689.94,629.11,597.54,721.45,613.38,682.10,820.57,584.38,692.11,611.09,732.68
1971,448.86,391.90,458.62,429.42,496.28,430.77,396.47,410.60,468.07,440.30,461.31,407.14,452.51,500.93,433.14,464.36,505.33,413.80,511.12,452.98,503.79
1972,622.15,573.51,752.96,532.98,585.21,575.17,531.39,604.80,673.32,514.21,561.86,513.56,619.52,623.06,569.21,790.28,546.81,642.80,834.78,686.46,863.45
1973,482.16,431.69,582.53,423.91,484.79,426.03,407.66,464.94,517.76,425.83,430.38,396.34,466.46,476.59,422.23,583.84,490.83,486.27,632.62,526.87,627.49
1974,696.80,632.70,760.20,658.96,760.01,651.58,618.86,659.49,639.82,685.26,675.60,621.98,654.37,731.50,650.07,792.25,778.14,682.59,732.16,694.34,821.89
1975,600.45,553.57,630.86,581.31,656.55,552.70,554.86,560.13,594.67,586.22,588.71,565.51,576.85,612.65,557.35,631.27,632.37,580.19,703.11,593.06,688.30
1976,591.28,546.54,634.61,545.03,628.44,584.39,523.69,580.17,586.08,551.29,603.70,542.95,605.73,666.19,582.65,636.79,611.91,584.68,646.86,593.52,658.91
1977,560.20,496.53,618.42,543.00,620.10,526.90,497.65,496.19,528.74,569.24,545.75,505.20,508.76,594.43,526.83,614.01,671.70,523.43,589.53,542.09,640.13
1978,554.30,506.79,569.90,564.45,619.06,512.13,511.67,500.85,476.03,591.28,550.15,528.84,498.25,570.82,516.25,568.67,674.23,526.62,565.72,514.70,610.52
1979,619.62,529.22,647.30,544.38,638.18,570.70,511.96,597.37,689.21,577.91,586.57,529.89,627.00,647.09,570.58,701.87,668.58,588.67,819.71,678.09,794.45
1980,654.18,574.68,687.29,614.89,752.82,600.14,564.59,599.23,615.24,679.18,646.88,588.69,617.22,693.04,609.28,697.90,809.69,612.31,691.47,632.97,719.11
1981,573.56,534.23,674.03,560.50,598.85,527.47,534.28,513.45,540.78,559.82,536.87,510.77,524.25,587.87,531.55,650.29,651.55,556.54,609.38,555.43,664.95
1982,538.64,470.29,582.90,487.88,534.23,473.37,464.75,505.95,607.78,504.88,478.21,449.08,538.72,519.37,471.97,621.13,578.66,509.74,750.26,593.52,706.40
1983,459.88,389.42,491.87,402.46,524.15,419.26,371.44,430.68,477.61,448.34,449.93,403.31,453.53,483.05,423.00,505.39,526.99,431.35,546.67,482.12,560.69
1984,595.13,528.71,674.13,530.26,627.24,560.13,492.52,564.06,568.65,582.99,586.97,530.22,578.22,627.50,565.22,682.47,662.02,585.20,659.30,604.08,711.37
1985,596.27,506.66,618.13,520.93,658.19,540.00,485.28,558.77,656.50,580.38,572.12,517.67,590.08,607.96,543.88,651.93,681.77,560.98,756.29,642.20,731.92
1986,481.25,430.27,577.56,417.70,451.02,437.85,407.94,462.21,514.82,427.75,417.77,390.76,471.88,470.29,434.36,606.68,496.78,480.43,623.75,519.52,664.11
1987,627.04,578.56,709.14,538.61,593.29,586.71,541.59,647.06,677.47,549.43,568.50,530.00,654.72,626.15,584.59,744.81,604.24,649.03,800.93,696.16,811.36
1988,560.97,497.24,552.90,502.53,590.39,551.76,469.05,551.37,585.95,538.42,571.23,515.45,591.06,622.94,553.68,584.30,630.42,533.45,652.54,584.60,643.75
1989,564.03,516.90,614.94,543.00,633.20,492.18,512.36,500.25,535.78,569.03,545.38,514.79,497.80,568.58,498.53,623.85,638.07,541.50,638.12,539.95,664.89
1990,508.41,436.98,525.95,447.51,556.81,474.99,416.43,468.56,561.57,482.01,496.73,439.22,498.00,544.71,472.82,548.80,555.57,477.14,683.17,535.95,631.25
1991,617.28,578.09,703.63,599.36,613.83,568.94,565.17,567.47,623.32,582.25,579.34,557.24,584.79,622.65,570.50,686.29,623.97,605.51,765.01,632.18,746.68
1992,502.49,458.36,618.01,417.87,493.88,449.83,418.08,488.03,552.61,434.08,427.46,400.98,481.65,482.88,442.70,628.79,526.62,522.94,656.59,556.47,651.94
1993,523.39,478.57,645.25,449.88,492.15,476.50,433.23,516.88,555.91,459.90,465.43,425.49,521.31,516.14,476.18,660.92,544.33,544.52,646.62,568.42,667.75
1994,552.98,472.53,621.87,450.79,563.45,532.90,430.37,546.46,613.07,477.75,511.79,441.98,573.34,580.09,520.74,678.96,569.09,542.87,726.09,622.32,745.91
1995,674.74,637.48,761.38,612.78,631.91,659.38,594.63,701.04,722.64,604.41,622.27,584.11,711.59,694.34,649.46,779.26,638.55,705.93,804.58,737.04,811.28
1996,629.97,581.76,707.62,583.66,627.86,587.45,567.15,595.69,688.11,575.75,572.85,536.48,619.04,627.73,580.32,727.90,648.12,616.91,787.42,677.11,766.81
1997,505.41,446.53,580.00,468.38,545.69,438.22,441.12,441.00,550.77,482.40,428.52,413.17,461.59,477.22,431.86,581.05,609.89,471.12,645.76,528.91,645.93
1998,673.19,617.76,750.16,619.52,681.61,652.01,571.61,665.56,638.14,639.40,647.39,605.22,660.65,707.56,648.81,765.67,720.68,684.59,755.81,682.94,803.82
1999,713.58,698.54,781.41,707.10,712.66,703.40,678.07,695.44,677.77,690.16,692.68,666.25,698.19,756.33,699.77,763.39,734.41,730.87,748.67,698.33,764.34
2000,440.61,337.17,421.12,345.90,524.04,402.88,313.71,417.70,509.35,410.48,443.77,361.05,460.39,497.34,404.72,496.66,538.00,393.70,586.29,481.95,566.75
2001,579.79,554.65,642.94,603.86,661.18,553.46,565.28,513.75,485.44,609.22,583.16,560.06,525.12,629.30,555.16,579.75,701.28,557.21,519.92,500.72,567.90
2002,584.18,510.39,641.39,516.88,637.98,560.22,496.27,534.81,611.87,541.17,590.80,514.38,579.71,646.64,555.88,677.51,619.11,553.93,679.35,597.51,699.85
2003,455.10,416.84,490.83,455.99,504.21,423.52,416.33,406.66,425.42,461.09,438.30,421.38,408.38,464.68,423.57,483.23,522.32,431.95,509.71,428.71,513.96
2004,668.29,640.47,753.43,643.18,697.32,652.63,620.44,634.94,617.92,639.74,647.96,603.60,621.85,702.41,646.65,740.03,728.04,681.28,698.29,638.53,742.16
2005,694.24,658.09,759.47,671.77,718.42,672.22,635.38,665.18,652.27,679.95,667.92,634.07,672.89,728.34,668.98,742.09,755.00,695.52,760.36,679.94,777.29
2006,585.53,554.16,601.62,576.78,594.69,561.77,542.76,585.15,576.52,584.63,576.79,546.76,595.76,612.79,563.43,599.23,638.59,584.90,634.15,587.86,627.59
2007,625.21,558.90,660.97,576.58,639.20,590.49,539.11,607.36,671.06,591.31,583.98,534.73,626.15,646.49,586.46,693.30,713.93,610.49,749.74,663.09,748.02
2008,604.76,543.67,628.43,570.51,636.51,578.31,528.77,577.17,620.18,597.17,591.53,547.93,608.30,642.32,577.70,641.96,671.40,586.79,701.50,623.41,677.84
2009,629.98,560.09,674.95,548.17,642.06,606.83,525.51,602.27,697.68,565.23,586.30,529.17,633.39,666.06,597.56,722.64,668.53,618.00,825.11,678.73,797.23
2010,864.96,808.98,891.45,816.42,963.06,876.82,779.34,831.24,815.13,862.73,919.66,820.66,855.50,987.62,875.32,863.74,956.99,841.99,871.81,843.88,853.23
2011,426.56,360.83,430.74,393.31,490.18,391.17,355.43,391.08,437.99,423.36,424.71,375.12,418.81,457.07,391.64,453.06,500.76,386.75,519.69,437.77,509.68
2012,510.75,449.24,563.87,457.20,516.98,469.80,428.18,489.17,548.57,470.10,467.45,431.63,511.56,513.32,467.19,595.59,541.21,497.07,654.94,550.46,670.47
2013,612.43,542.12,664.35,529.82,615.06,593.53,506.03,604.84,659.05,556.77,587.83,529.92,637.10,651.89,587.27,700.67,642.33,601.29,756.59,656.44,774.11
2014,728.57,666.33,864.07,656.11,680.34,684.86,634.62,717.80,745.74,656.16,650.87,619.39,732.70,702.98,677.66,897.52,695.13,750.60,905.69,799.87,939.58
2015,570.19,510.73,647.58,503.78,562.06,533.69,487.29,551.10,599.35,514.81,524.00,490.39,561.06,570.33,529.87,679.65,573.03,564.48,723.43,620.50,744.74
2016,730.77,656.30,792.40,666.16,747.78,680.06,636.70,697.45,766.48,682.32,696.58,648.19,712.89,751.55,683.44,830.66,760.18,710.70,895.09,776.10,904.85
2017,604.93,522.73,643.51,513.61,646.69,567.21,492.21,580.56,657.24,554.74,586.90,520.90,609.54,649.94,564.07,697.74,639.10,578.93,762.61,647.81,781.82
2018,591.21,522.98,667.52,519.32,572.69,549.11,498.91,583.79,635.35,533.51,540.45,500.14,597.75,580.89,547.80,715.86,604.61,586.91,743.95,658.27,766.78
2019,613.44,541.35,690.58,519.06,607.45,580.36,509.56,603.99,663.02,535.10,567.07,515.62,639.43,632.94,577.26,742.56,612.16,602.89,789.83,676.37,811.59
2020,626.27,523.53,657.47,547.95,664.74,567.53,504.64,584.27,688.96,592.15,606.37,537.34,627.63,655.28,565.46,732.07,679.87,583.85,816.80,688.36,806.36
