Variable:,pr
,Cambodia,"Area under National Administration 1","Area under National Administration 2","Banteay Meanchey",Battambang,"Kampong Cham","Kampong Chhnang","Kampong Speu","Kampong Thom",Kampot,Kandal,Kep,"Koh Kong",Kratie,"Mondul Kiri","Otdar Meanchey",Pailin,"Phnom Penh","Preah Sihanouk","Preah Vihear","Prey Veng",Pursat,"Ratanak Kiri","Siem Reap","Stung Treng","Svay Rieng",Takeo
1913,1767.04,1542.49,1542.49,1130.88,1635.00,1564.79,1749.95,2144.86,1543.89,2425.86,1628.11,2383.56,2920.89,1656.14,1770.51,1119.83,1978.82,1637.41,2829.65,1431.84,1606.01,2266.82,1786.79,1280.90,1723.29,1752.84,1993.44
1914,1791.37,1588.72,1588.72,1218.20,1761.08,1547.79,1721.89,2085.81,1552.12,2368.62,1591.43,2325.81,2921.38,1655.59,1760.26,1189.79,2164.01,1593.94,2777.92,1482.05,1579.69,2355.74,1823.64,1350.41,1752.70,1734.40,1941.71
1915,1924.42,1767.63,1767.63,1384.43,1941.20,1614.99,1877.81,2208.21,1697.51,2336.23,1631.59,2267.70,3056.60,1756.52,1814.48,1384.32,2313.77,1679.56,2731.19,1682.50,1600.80,2558.06,1995.87,1524.90,1945.60,1727.86,1927.51
1916,1898.60,1708.06,1708.06,1352.56,1936.65,1649.75,1901.40,2339.34,1644.08,2535.14,1737.42,2450.11,3248.63,1696.07,1766.94,1286.28,2394.24,1768.40,2992.93,1552.14,1694.61,2595.34,1723.92,1444.72,1704.25,1814.97,2081.51
1917,2113.56,1965.76,1965.76,1572.50,2244.07,1642.26,2023.16,2427.14,1827.80,2543.98,1683.14,2465.05,3620.93,1834.20,1881.22,1521.15,2714.67,1779.41,3135.19,1831.66,1608.23,2970.03,2176.91,1706.74,2112.35,1712.72,2019.05
1918,1755.01,1569.65,1569.65,1202.53,1692.48,1541.17,1681.90,1951.13,1544.69,2156.95,1531.82,2119.47,2719.08,1673.16,1776.16,1235.28,2038.30,1528.39,2438.69,1474.74,1543.24,2287.98,1898.92,1353.84,1739.03,1700.20,1818.99
1919,1694.85,1490.19,1490.19,1100.40,1658.86,1513.78,1668.78,2045.46,1453.20,2283.50,1561.81,2229.81,2917.24,1545.97,1656.93,1073.17,2087.96,1550.36,2673.93,1370.82,1561.32,2313.47,1601.66,1229.13,1529.67,1715.59,1882.95
1920,1740.94,1534.40,1534.40,1134.60,1535.42,1546.07,1645.00,1868.51,1575.54,2097.45,1510.99,2064.90,2471.97,1714.57,1808.62,1235.37,1791.72,1491.93,2335.76,1607.51,1540.83,2092.53,1998.84,1344.92,1930.09,1707.50,1788.95
1921,1788.66,1573.03,1573.03,1281.42,1818.09,1634.14,1742.76,2138.55,1498.97,2400.59,1713.53,2342.22,3056.58,1624.55,1762.51,1196.60,2275.39,1668.94,2709.43,1385.44,1724.38,2427.71,1636.96,1326.02,1527.48,1875.04,2056.94
1922,1637.98,1443.81,1443.81,1125.79,1611.03,1508.47,1633.38,1979.50,1410.66,2230.78,1557.86,2189.37,2680.84,1528.04,1651.54,1035.14,1981.90,1537.23,2531.19,1280.33,1565.83,2161.16,1577.41,1188.35,1454.09,1731.73,1876.96
1923,2050.93,1946.06,1946.06,1605.84,2261.13,1632.08,1954.02,2264.24,1803.05,2370.99,1650.88,2314.47,3285.13,1808.99,1845.27,1553.82,2751.81,1705.03,2754.26,1836.36,1613.56,2898.00,1998.94,1713.73,2032.55,1743.40,1963.59
1924,1872.79,1702.97,1702.97,1354.21,1952.20,1586.65,1855.56,2259.54,1613.58,2413.49,1655.39,2341.72,3185.86,1634.10,1712.75,1315.83,2439.94,1687.38,2837.02,1603.44,1620.49,2622.41,1710.16,1443.91,1706.73,1751.85,1980.69
1925,1890.13,1641.45,1641.45,1241.72,1766.98,1716.80,1817.47,2124.30,1692.82,2377.19,1753.48,2316.30,2805.38,1838.11,1904.14,1302.96,2158.31,1706.95,2596.66,1702.59,1775.19,2388.73,1886.43,1415.32,1951.61,1925.69,2077.55
1926,1960.30,1827.28,1827.28,1486.49,2154.96,1571.27,1852.33,2172.67,1716.88,2312.56,1577.37,2252.54,3186.86,1731.45,1755.71,1450.99,2703.81,1617.53,2740.73,1783.10,1553.65,2784.14,1866.61,1595.53,1941.24,1690.82,1883.41
1927,1698.79,1504.04,1504.04,1192.53,1698.83,1511.38,1614.19,1923.72,1455.96,2161.42,1525.37,2120.53,2760.18,1572.20,1685.85,1183.68,2148.59,1494.69,2462.17,1424.94,1549.16,2265.50,1671.36,1291.72,1594.22,1715.41,1823.56
1928,1699.52,1536.98,1536.98,1297.32,1819.47,1504.92,1665.26,2053.07,1411.48,2263.34,1574.62,2213.35,2980.69,1483.53,1610.26,1188.55,2281.35,1559.59,2605.63,1345.50,1572.52,2389.09,1456.93,1300.96,1387.01,1729.16,1897.02
1929,1788.43,1595.42,1595.42,1255.40,1830.34,1545.32,1726.12,2095.41,1509.94,2351.73,1595.82,2313.53,3016.75,1618.31,1751.92,1168.18,2237.71,1591.62,2739.36,1424.13,1588.41,2451.20,1794.60,1332.88,1633.82,1745.83,1946.09
1930,1710.91,1503.25,1503.25,1183.45,1640.75,1547.03,1659.70,1919.45,1539.58,2192.86,1553.76,2165.12,2438.25,1666.92,1756.95,1172.97,1994.77,1540.18,2435.87,1501.40,1565.51,2122.42,1803.37,1291.12,1746.77,1723.44,1862.40
1931,1748.95,1586.94,1586.94,1255.44,1757.79,1510.06,1660.87,1964.83,1507.61,2177.02,1531.05,2141.58,2802.87,1593.02,1697.89,1278.79,2137.86,1506.30,2453.17,1532.28,1549.34,2365.67,1692.06,1381.57,1674.89,1726.51,1841.45
1932,1674.24,1524.29,1524.29,1262.74,1673.60,1396.39,1489.43,1593.16,1508.20,1532.58,1190.02,1470.20,2338.67,1691.27,1869.11,1336.74,2003.89,1233.36,1804.36,1566.50,1231.68,2095.09,2038.06,1364.78,1893.07,1446.88,1303.77
1933,1680.02,1527.28,1527.28,1277.61,1734.64,1353.70,1496.57,1664.21,1458.54,1635.30,1180.73,1564.81,2571.05,1607.88,1797.32,1313.36,2129.80,1230.87,1991.32,1507.86,1211.24,2231.07,1990.23,1357.52,1826.00,1438.58,1338.38
1934,1760.97,1608.90,1608.90,1351.10,1750.09,1410.91,1585.09,1786.50,1548.46,1791.94,1266.57,1718.32,2634.13,1674.81,1834.27,1503.08,2084.46,1322.81,2170.27,1707.93,1276.51,2265.08,1942.08,1474.89,1937.85,1479.49,1455.01
1935,1824.64,1739.94,1739.94,1535.71,2017.78,1421.20,1666.49,1840.36,1594.10,1741.76,1286.82,1663.44,2836.19,1667.69,1811.89,1544.30,2427.43,1373.65,2122.59,1674.51,1277.80,2493.76,2001.27,1560.61,1889.10,1454.29,1440.39
1936,1618.87,1417.75,1417.75,1094.90,1581.61,1409.49,1508.83,1833.72,1417.08,2057.59,1372.15,1994.08,2636.82,1548.63,1663.69,1121.46,1950.82,1362.91,2440.24,1402.94,1393.30,2136.33,1578.82,1238.80,1530.55,1603.92,1672.55
1937,1641.60,1420.11,1420.11,1162.04,1614.53,1451.94,1544.59,1921.76,1399.93,2238.16,1510.20,2204.74,2652.88,1540.73,1675.02,1156.72,1964.51,1474.88,2544.74,1362.13,1517.31,2129.64,1552.65,1237.87,1496.27,1710.79,1872.03
1938,1939.93,1841.43,1841.43,1546.97,2158.68,1553.02,1916.72,2329.98,1664.98,2386.66,1605.82,2289.55,3424.90,1638.77,1705.48,1477.74,2641.88,1702.40,2950.28,1660.07,1529.77,2795.43,1701.43,1600.49,1700.93,1638.69,1897.58
1939,1832.55,1646.38,1646.38,1245.53,1747.72,1618.50,1834.03,2243.41,1620.91,2509.75,1708.01,2453.25,2976.26,1678.06,1752.02,1243.44,2092.72,1736.25,2887.81,1531.63,1666.26,2382.18,1762.50,1431.06,1704.80,1789.91,2065.16
1940,1653.96,1418.86,1418.86,1053.26,1510.10,1496.49,1646.69,2017.12,1450.17,2285.51,1543.27,2238.71,2766.89,1539.39,1635.74,1105.90,1850.22,1542.47,2678.79,1381.16,1536.49,2130.81,1580.28,1213.24,1547.75,1689.67,1867.80
1941,1995.75,1808.36,1808.36,1367.06,1949.91,1724.68,2035.09,2525.62,1746.37,2882.82,1906.44,2847.92,3373.63,1744.85,1778.48,1320.41,2343.83,1934.71,3342.47,1652.17,1830.40,2676.30,1812.54,1544.20,1820.10,1902.18,2353.40
1942,2026.55,1898.00,1898.00,1538.73,2181.24,1613.64,1981.77,2443.64,1715.94,2620.73,1695.44,2531.00,3654.26,1723.79,1783.85,1465.04,2649.39,1767.09,3256.23,1696.97,1626.34,2904.33,1820.22,1609.09,1838.00,1742.71,2072.73
1943,1780.15,1643.97,1643.97,1283.51,1765.45,1532.10,1755.80,2064.67,1580.76,2151.69,1534.78,2082.53,2863.29,1656.54,1761.40,1261.35,2105.40,1591.59,2546.77,1501.99,1500.08,2337.56,1843.49,1409.11,1699.14,1627.81,1780.56
1944,1939.91,1770.72,1770.72,1395.41,1998.45,1615.01,1922.57,2368.50,1645.04,2610.73,1731.21,2534.96,3333.43,1694.13,1820.80,1305.76,2439.80,1798.65,3121.38,1533.72,1650.58,2644.59,1980.10,1492.88,1743.46,1736.54,2106.46
1945,2075.25,1909.93,1909.93,1519.89,2167.89,1649.37,2021.69,2512.91,1751.07,2718.85,1750.14,2633.88,3650.36,1754.52,1827.43,1472.80,2692.10,1815.65,3316.04,1745.96,1676.46,2936.06,2012.44,1642.95,1967.79,1776.73,2143.03
1946,1916.23,1780.47,1780.47,1373.07,1919.15,1636.62,1948.12,2339.17,1690.88,2514.43,1742.47,2450.49,3133.78,1688.32,1759.21,1348.20,2306.14,1799.14,2894.14,1652.07,1673.64,2591.99,1793.92,1532.41,1780.36,1763.46,2079.71
1947,1862.01,1674.33,1674.33,1316.37,1894.55,1563.73,1817.43,2236.61,1607.53,2410.61,1622.04,2334.53,3272.58,1627.89,1693.94,1330.85,2349.40,1647.14,2895.64,1624.22,1592.82,2604.89,1655.71,1445.89,1694.85,1730.21,1951.32
1948,1942.82,1823.04,1823.04,1490.86,2063.64,1538.47,1873.53,2220.98,1696.78,2258.79,1535.44,2182.27,3301.75,1677.97,1737.82,1534.77,2529.85,1614.69,2762.51,1797.53,1488.80,2745.77,1792.68,1613.51,1884.71,1622.39,1803.43
1949,1977.88,1811.30,1811.30,1476.79,2050.35,1627.11,1924.54,2351.53,1673.10,2575.24,1723.41,2497.80,3331.41,1694.59,1771.50,1451.55,2493.92,1760.83,3051.16,1693.31,1672.49,2707.61,1922.51,1579.09,1901.30,1778.50,2091.44
1950,1958.02,1802.72,1802.72,1428.29,1985.02,1563.61,1887.22,2251.25,1702.30,2306.44,1570.43,2218.79,3289.71,1744.40,1867.52,1490.51,2384.00,1660.67,2834.74,1748.78,1510.93,2648.64,1984.42,1583.71,1942.33,1643.11,1848.74
1951,2090.12,1948.71,1948.71,1549.59,2171.60,1711.17,2095.03,2553.39,1797.92,2769.52,1879.84,2695.52,3546.15,1765.70,1801.27,1536.03,2603.80,1956.35,3278.57,1792.41,1777.45,2874.95,1968.56,1672.09,1972.17,1825.61,2267.39
1952,2008.13,1895.10,1895.10,1506.07,2093.46,1643.36,2014.29,2395.54,1758.66,2480.92,1728.25,2402.31,3320.32,1734.36,1798.56,1476.13,2492.76,1823.03,2943.14,1761.98,1641.80,2753.31,1949.80,1639.39,1932.89,1719.14,2027.86
1953,1950.93,1816.19,1816.19,1496.06,2106.94,1610.65,1949.05,2418.07,1658.51,2587.33,1740.26,2524.38,3495.62,1646.82,1712.61,1384.33,2565.75,1799.71,3102.60,1596.99,1661.87,2785.02,1693.71,1545.28,1672.52,1763.29,2096.80
1954,1760.71,1530.14,1530.14,1244.67,1777.14,1517.51,1669.35,2086.87,1488.39,2246.83,1488.31,2152.47,3075.77,1645.65,1798.16,1214.12,2202.00,1503.73,2750.73,1419.00,1495.08,2394.08,1678.96,1304.71,1586.96,1708.03,1780.59
1955,1948.33,1809.91,1809.91,1505.48,2167.41,1605.05,1973.69,2506.36,1626.59,2676.10,1782.91,2595.00,3604.28,1593.24,1639.45,1302.47,2654.09,1857.37,3222.04,1537.01,1680.36,2846.62,1639.97,1510.94,1618.01,1754.93,2154.56
1956,2000.93,1850.86,1850.86,1491.87,2087.36,1626.01,1963.05,2396.80,1728.26,2581.98,1697.68,2509.73,3438.39,1719.51,1780.40,1483.57,2551.74,1762.51,3097.88,1770.50,1635.17,2780.31,1826.12,1618.18,1860.60,1747.35,2062.89
1957,1943.12,1803.57,1803.57,1476.50,2085.81,1628.82,1919.77,2352.42,1651.02,2481.10,1693.45,2396.06,3409.82,1710.66,1809.65,1375.15,2511.92,1740.31,3011.13,1563.83,1645.95,2747.45,1761.21,1521.33,1686.58,1773.61,2009.91
1958,1855.81,1740.46,1740.46,1389.29,1978.69,1525.73,1826.09,2197.25,1627.10,2246.59,1527.36,2145.73,3222.56,1628.76,1690.92,1381.45,2443.35,1592.58,2716.54,1603.96,1492.90,2656.18,1660.23,1502.41,1659.56,1644.25,1805.33
1959,1759.00,1589.01,1589.01,1281.70,1814.89,1491.31,1704.97,2080.34,1518.04,2241.78,1509.16,2159.73,3002.00,1586.78,1672.60,1274.32,2202.27,1541.83,2700.05,1474.46,1487.08,2415.94,1642.11,1371.79,1604.12,1640.24,1809.91
1960,2036.89,1920.41,1920.41,1482.42,2065.55,1651.45,2062.76,2480.41,1789.09,2629.32,1737.26,2552.13,3420.81,1750.58,1821.59,1459.41,2465.56,1855.29,3157.46,1764.20,1635.80,2787.17,2001.59,1662.14,1953.04,1712.78,2089.72
1961,2136.11,1963.23,1963.23,1437.71,2061.74,1745.76,2112.19,2560.10,1869.91,2864.19,1877.69,2804.89,3485.16,1871.47,1900.70,1510.09,2486.88,1928.86,3342.71,1943.02,1803.66,2845.18,2126.28,1681.17,2184.09,1877.26,2308.75
1962,1806.49,1697.02,1697.02,1371.43,1766.23,1461.01,1644.74,1798.99,1637.51,1749.07,1266.23,1659.84,2666.38,1736.55,1846.75,1572.24,2100.95,1332.35,2144.35,1801.92,1291.16,2301.57,1991.12,1536.02,2040.66,1496.54,1417.97
1963,1999.67,1812.98,1812.98,1480.34,2021.06,1673.87,1961.20,2421.16,1703.41,2678.63,1786.30,2611.02,3337.98,1764.48,1890.76,1386.45,2424.72,1835.70,3130.28,1618.23,1725.36,2686.52,2012.61,1550.22,1875.58,1849.66,2176.85
1964,1874.93,1671.91,1671.91,1341.52,1833.61,1530.29,1753.69,2085.91,1619.67,2238.40,1499.21,2171.39,3060.61,1705.45,1838.95,1433.41,2229.38,1558.73,2728.50,1657.96,1473.65,2457.91,2057.42,1497.33,1924.18,1611.01,1790.37
1965,1782.31,1587.81,1587.81,1286.19,1867.14,1495.50,1715.84,2118.59,1522.47,2280.58,1529.64,2197.24,3074.26,1575.83,1643.33,1254.95,2300.75,1559.07,2740.27,1520.92,1504.34,2491.57,1659.59,1356.17,1656.71,1661.55,1846.88
1966,2060.33,1871.62,1871.62,1575.52,2105.19,1686.06,1983.33,2358.49,1771.47,2409.90,1689.73,2311.53,3377.79,1845.76,1946.87,1607.33,2547.05,1769.05,2922.81,1828.26,1641.63,2742.05,2099.70,1648.95,2095.46,1762.15,1952.87
1967,1679.11,1522.13,1522.13,1169.32,1625.21,1475.14,1611.55,1896.58,1493.73,2069.56,1453.02,2029.72,2588.75,1589.87,1712.25,1212.34,1936.49,1453.84,2384.10,1462.73,1468.63,2151.75,1724.95,1324.18,1639.79,1669.20,1726.31
1968,1712.73,1540.25,1540.25,1232.48,1743.13,1423.84,1593.50,1869.01,1506.11,1927.14,1318.19,1847.15,2855.14,1596.26,1704.20,1294.32,2144.51,1356.61,2401.03,1533.47,1332.48,2326.92,1724.32,1368.05,1680.96,1522.86,1543.10
1969,1940.70,1801.85,1801.85,1408.70,2001.40,1592.54,1908.33,2360.73,1674.53,2584.96,1676.64,2529.73,3428.50,1676.31,1740.18,1381.97,2418.10,1723.74,3148.08,1636.36,1619.00,2701.07,1763.57,1544.35,1756.35,1734.77,2053.33
1970,2012.51,1729.83,1729.83,1400.11,2058.99,1694.15,1967.20,2528.06,1632.44,2882.61,1855.37,2801.59,3637.74,1748.44,1900.95,1298.12,2519.78,1869.81,3487.88,1564.39,1795.09,2757.21,1913.64,1418.87,1808.12,1907.63,2305.63
1971,1790.96,1552.00,1552.00,1261.76,1903.81,1467.21,1669.60,2067.36,1500.65,2168.28,1458.98,2077.43,3195.64,1578.47,1665.08,1274.69,2393.63,1476.00,2660.08,1555.61,1455.58,2569.64,1690.30,1334.14,1708.18,1636.31,1749.63
1972,2007.25,1775.43,1775.43,1369.93,1887.32,1641.54,1896.17,2333.02,1700.10,2802.09,1780.33,2762.49,3183.20,1795.56,1898.26,1435.19,2208.37,1783.90,3246.96,1792.12,1725.85,2494.78,2173.07,1529.42,2142.47,1829.41,2276.56
1973,1660.08,1470.98,1470.98,1184.30,1693.40,1469.50,1611.56,2008.76,1430.21,2254.82,1554.14,2214.38,2856.03,1505.33,1576.93,1118.07,2060.65,1536.53,2628.11,1339.54,1537.91,2246.37,1487.22,1248.33,1437.28,1692.99,1887.05
1974,2018.82,1816.88,1816.88,1486.78,2019.28,1664.61,1936.87,2282.45,1728.10,2440.49,1719.25,2396.26,3172.25,1811.73,1944.15,1408.33,2402.34,1782.39,2875.01,1749.53,1666.18,2604.19,2299.88,1576.29,2150.13,1753.69,2018.81
1975,1954.94,1729.58,1729.58,1334.68,1910.73,1617.64,1896.53,2379.17,1650.04,2660.28,1740.45,2604.56,3373.11,1706.81,1819.59,1362.03,2331.89,1766.94,3157.79,1640.78,1686.32,2634.37,1950.37,1480.77,1868.16,1816.71,2147.43
1976,1954.23,1779.39,1779.39,1454.83,2107.19,1594.97,1920.08,2328.24,1670.98,2392.75,1644.21,2297.83,3442.36,1688.13,1750.39,1374.18,2590.78,1722.77,2908.34,1651.76,1585.99,2805.75,1818.03,1525.34,1821.93,1701.30,1939.27
1977,1603.84,1411.21,1411.21,1071.68,1564.54,1407.58,1490.95,1742.66,1422.77,1851.61,1295.65,1795.45,2597.10,1556.90,1670.69,1142.63,1920.40,1292.31,2249.15,1394.76,1342.83,2110.17,1667.50,1226.81,1576.52,1561.16,1518.20
1978,1943.23,1766.94,1766.94,1359.02,1914.46,1587.85,1854.61,2151.70,1728.67,2270.32,1554.48,2209.36,3155.65,1772.25,1831.21,1434.17,2378.63,1602.74,2731.83,1807.34,1541.95,2613.69,1977.41,1552.06,2038.25,1691.86,1837.92
1979,1834.91,1668.17,1668.17,1108.02,1659.73,1603.89,1838.88,2188.60,1679.91,2431.61,1649.28,2377.61,2912.98,1718.88,1751.10,1235.62,2025.80,1660.26,2802.29,1676.17,1632.32,2380.07,1762.86,1443.68,1813.28,1774.05,1993.16
1980,2028.62,1861.38,1861.38,1498.30,2139.81,1632.43,1984.03,2459.55,1722.45,2617.05,1739.00,2537.51,3587.15,1705.43,1771.35,1448.56,2639.79,1791.91,3135.34,1730.72,1678.35,2908.91,1886.64,1596.90,1869.33,1801.17,2104.58
1981,1831.70,1644.92,1644.92,1349.22,1924.17,1508.66,1756.37,2119.31,1577.32,2170.35,1489.87,2091.29,3170.44,1631.36,1728.40,1252.69,2392.33,1546.31,2658.31,1567.99,1467.98,2573.43,1794.34,1417.47,1766.58,1634.51,1751.11
1982,1825.89,1678.87,1678.87,1330.72,1883.68,1476.72,1696.00,1981.32,1580.96,2011.94,1414.74,1936.52,3001.59,1666.43,1775.24,1353.42,2305.70,1457.77,2454.60,1634.13,1410.71,2502.29,1930.14,1449.87,1889.43,1585.38,1643.57
1983,2143.01,1956.96,1956.96,1575.86,2340.95,1700.30,2135.12,2724.50,1777.77,2955.86,1898.62,2883.25,4086.83,1737.94,1791.15,1425.13,2893.58,1984.14,3689.21,1680.23,1779.25,3162.21,1901.40,1656.66,1837.46,1822.64,2328.39
1984,2007.63,1816.83,1816.83,1377.02,1915.96,1663.37,1953.45,2346.65,1764.32,2619.51,1754.10,2568.37,3246.83,1797.11,1866.64,1397.73,2333.85,1792.74,3044.44,1761.32,1696.87,2633.32,2123.05,1595.59,2037.07,1784.00,2140.38
1985,1906.83,1762.59,1762.59,1400.78,1919.11,1614.53,1881.48,2229.52,1677.18,2376.63,1675.18,2315.31,3068.24,1704.09,1787.76,1351.33,2301.05,1718.86,2764.40,1638.91,1633.14,2536.44,1942.07,1535.67,1839.96,1744.79,1976.56
1986,1928.61,1751.21,1751.21,1297.22,1886.67,1612.07,1898.42,2244.06,1705.95,2386.63,1640.07,2312.73,3103.82,1743.82,1813.99,1302.96,2298.93,1700.05,2801.06,1694.76,1598.10,2581.05,2039.69,1492.84,2000.57,1720.21,1949.16
1987,1781.18,1576.55,1576.55,1265.10,1770.58,1512.09,1696.26,2064.65,1552.18,2283.52,1549.92,2238.92,2943.93,1632.26,1696.64,1267.78,2145.67,1565.54,2723.69,1545.33,1527.34,2345.77,1745.01,1366.69,1756.43,1671.46,1871.64
1988,2078.45,1945.64,1945.64,1618.50,2339.39,1694.42,2062.44,2531.56,1750.48,2658.39,1852.09,2606.86,3722.88,1730.55,1789.82,1453.28,2902.51,1903.77,3161.59,1686.25,1772.80,3069.45,1827.66,1651.33,1764.59,1837.67,2196.60
1989,1765.52,1596.64,1596.64,1236.12,1753.62,1521.40,1711.20,2053.47,1556.71,2240.53,1553.57,2194.31,2861.95,1612.46,1673.38,1263.31,2109.99,1565.65,2612.99,1575.55,1539.41,2346.61,1670.90,1382.66,1705.47,1696.58,1861.05
1990,1961.51,1850.13,1850.13,1439.04,1954.48,1633.47,1953.79,2330.24,1728.61,2554.22,1715.74,2490.48,3094.65,1728.54,1776.84,1377.26,2309.82,1769.40,2949.99,1713.64,1661.27,2609.87,1997.32,1578.89,1972.17,1773.40,2077.96
1991,1757.66,1616.54,1616.54,1244.76,1756.22,1500.16,1707.56,1993.55,1558.17,2062.47,1455.51,1990.03,2831.09,1634.35,1737.30,1246.41,2122.69,1496.17,2461.14,1539.94,1451.81,2354.80,1766.48,1388.53,1743.55,1622.65,1692.89
1992,1669.30,1409.48,1409.48,1084.52,1602.48,1452.22,1556.35,1968.76,1414.16,2283.58,1464.12,2235.94,2901.96,1550.75,1652.13,1073.70,1996.97,1439.09,2735.62,1352.80,1480.47,2234.26,1656.02,1201.09,1585.76,1683.13,1835.32
1993,1527.25,1368.92,1368.92,1132.61,1582.32,1340.36,1448.37,1782.14,1296.12,1885.82,1283.29,1815.13,2598.43,1410.00,1552.42,1076.39,1892.97,1297.24,2286.26,1221.05,1301.50,2094.35,1473.33,1162.18,1361.43,1525.17,1528.18
1994,2078.15,1877.61,1877.61,1337.38,2035.21,1709.54,2053.87,2491.08,1825.80,2730.32,1760.97,2642.85,3579.47,1863.18,1920.67,1354.49,2535.18,1807.62,3293.89,1786.99,1721.61,2874.61,2048.17,1590.68,2014.75,1838.47,2160.58
1995,1939.27,1763.09,1763.09,1497.63,2178.44,1568.68,1860.96,2320.07,1613.02,2390.35,1613.26,2297.47,3621.61,1643.96,1747.60,1343.97,2710.69,1669.89,2987.03,1523.63,1568.73,2866.77,1785.28,1511.73,1662.88,1701.57,1908.38
1996,1927.91,1720.29,1720.29,1436.17,1983.56,1564.28,1792.38,2110.88,1673.69,2204.36,1527.78,2124.62,3135.06,1753.11,1843.58,1433.20,2438.33,1583.73,2666.95,1701.83,1505.05,2590.84,2080.86,1528.11,2017.93,1649.59,1798.54
1997,1676.85,1518.35,1518.35,1096.75,1515.74,1477.93,1608.07,1778.31,1554.51,1857.88,1372.35,1813.90,2373.44,1688.60,1800.07,1224.26,1784.07,1400.83,2138.75,1599.76,1391.25,2030.79,1851.37,1336.27,1835.97,1569.12,1572.26
1998,1912.33,1663.20,1663.20,1285.04,1949.40,1578.20,1863.60,2350.43,1592.18,2558.44,1648.06,2466.68,3494.65,1674.09,1820.67,1205.31,2421.86,1709.81,3190.65,1450.10,1591.64,2710.72,1975.49,1398.38,1720.95,1718.53,2010.49
