Variable:,pr
,Bahrain,"Central Region","Hamad Town","Hawar Island",Hidd,"Isa Town",Jidhafs,Manama,Muharraq,"Northern Region",Riffa,Sitra,"Western Region"
1925,62.84,62.31,62.20,65.60,65.60,62.20,62.27,62.20,62.20,63.60,63.68,62.20,63.18
1926,78.46,80.69,80.60,73.50,73.50,80.60,80.66,80.60,80.60,81.81,77.51,80.60,76.16
1927,64.30,63.89,63.80,67.00,67.00,63.80,63.86,63.80,63.80,65.01,65.19,63.80,64.49
1928,47.15,49.20,49.20,44.10,44.10,49.20,49.20,49.20,49.20,49.20,46.98,49.20,44.85
1929,85.90,90.16,90.20,77.70,77.70,90.20,90.18,90.20,90.20,89.73,84.76,90.20,81.34
1930,70.73,73.01,73.00,69.00,69.00,73.00,73.01,73.00,73.00,73.19,71.26,73.00,67.94
1931,115.70,117.66,117.60,114.10,114.10,117.60,117.64,117.60,117.60,118.34,116.08,117.60,113.32
1932,85.13,83.57,83.40,91.60,91.60,83.40,83.51,83.40,83.40,85.63,86.97,83.40,86.32
1933,54.13,55.93,55.90,49.80,49.80,55.90,55.92,55.90,55.90,56.27,53.25,55.90,52.33
1934,96.24,98.00,97.80,90.10,90.10,97.80,97.93,97.80,97.80,100.40,94.45,97.80,94.73
1935,88.65,90.94,90.90,83.70,83.70,90.90,90.93,90.90,90.90,91.46,87.77,90.90,86.28
1936,71.66,74.19,74.10,66.00,66.00,74.10,74.16,74.10,74.10,75.22,70.58,74.10,69.08
1937,64.74,67.08,67.00,58.00,58.00,67.00,67.05,67.00,67.00,68.02,63.09,67.00,62.54
1938,77.43,80.69,80.70,72.10,72.10,80.70,80.70,80.70,80.70,80.61,76.96,80.70,73.81
1939,125.12,125.52,125.40,124.30,124.30,125.40,125.48,125.40,125.40,126.98,124.92,125.40,124.71
1940,39.80,42.78,42.80,32.90,32.90,42.80,42.79,42.80,42.80,42.52,38.49,42.80,36.79
1941,41.87,42.52,42.50,39.10,39.10,42.50,42.51,42.50,42.50,42.78,41.02,42.50,41.38
1942,64.54,66.26,66.20,59.50,59.50,66.20,66.24,66.20,66.20,66.94,63.29,66.20,62.95
1943,69.48,71.11,71.00,67.50,67.50,71.00,71.07,71.00,71.00,72.40,69.48,71.00,67.60
1944,95.88,97.56,97.40,96.00,96.00,97.40,97.51,97.40,97.40,99.54,96.79,97.40,93.63
1945,76.48,80.22,80.30,72.30,72.30,80.30,80.25,80.30,80.30,79.28,76.82,80.30,72.07
1946,5.77,7.35,7.60,2.90,2.90,7.60,7.44,7.60,7.60,4.34,5.56,7.60,4.05
1947,103.70,105.64,105.50,101.60,101.60,105.50,105.59,105.50,105.50,107.36,103.80,105.50,101.41
1948,103.86,105.52,105.40,98.90,98.90,105.40,105.48,105.40,105.40,106.98,102.57,105.40,102.33
1949,121.22,124.11,124.00,118.40,118.40,124.00,124.07,124.00,124.00,125.49,121.56,124.00,117.77
1950,22.85,23.84,23.90,19.40,19.40,23.90,23.86,23.90,23.90,23.16,21.94,23.90,21.99
1951,78.41,80.93,81.00,73.90,73.90,81.00,80.95,81.00,81.00,80.07,77.91,81.00,75.67
1952,38.29,40.81,41.10,34.30,34.30,41.10,40.91,41.10,41.10,37.29,38.14,41.10,35.47
1953,38.19,40.64,40.70,31.70,31.70,40.70,40.66,40.70,40.70,39.96,36.79,40.70,35.82
1954,115.44,120.84,121.00,102.10,102.10,121.00,120.90,121.00,121.00,118.95,112.78,121.00,110.07
1955,168.87,167.05,166.10,178.00,178.00,166.10,166.72,166.10,166.10,178.47,171.28,166.10,170.08
1956,52.78,57.73,58.30,45.30,45.30,58.30,57.93,58.30,58.30,50.86,52.65,58.30,47.21
1957,129.49,135.46,135.80,120.60,120.60,135.80,135.58,135.80,135.80,131.33,129.19,135.80,122.75
1958,111.74,115.94,115.90,107.80,107.80,115.90,115.92,115.90,115.90,116.37,112.38,115.90,106.71
1959,61.08,64.91,64.80,51.30,51.30,64.80,64.87,64.80,64.80,66.20,58.93,64.80,57.32
1960,17.06,18.56,18.70,13.70,13.70,18.70,18.61,18.70,18.70,16.84,16.53,18.70,15.51
1961,94.95,99.26,99.30,84.80,84.80,99.30,99.27,99.30,99.30,98.74,92.99,99.30,90.59
1962,19.80,20.96,20.80,15.00,15.00,20.80,20.91,20.80,20.80,22.94,18.28,20.80,18.90
1963,29.19,30.16,30.00,24.40,24.40,30.00,30.11,30.00,30.00,32.14,27.56,30.00,28.54
1964,178.56,180.34,180.60,188.30,188.30,180.60,180.43,180.60,180.60,177.25,183.95,180.60,174.87
1965,62.91,66.30,67.10,60.30,60.30,67.10,66.58,67.10,67.10,56.68,64.14,67.10,58.74
1966,38.42,39.31,39.40,36.70,36.70,39.40,39.34,39.40,39.40,38.19,38.23,39.40,37.47
1967,32.55,34.04,34.00,26.90,26.90,34.00,34.03,34.00,34.00,34.56,30.91,34.00,31.32
1968,84.66,86.74,86.70,78.80,78.80,86.70,86.72,86.70,86.70,87.17,83.26,86.70,82.69
1969,183.47,187.74,187.60,183.00,183.00,187.60,187.69,187.60,187.60,189.46,185.60,187.60,177.87
1970,20.41,22.63,22.70,15.80,15.80,22.70,22.65,22.70,22.70,21.77,19.70,22.70,18.08
1971,41.77,42.66,42.40,37.60,37.60,42.40,42.57,42.40,42.40,45.84,40.31,42.40,41.14
1972,100.12,103.21,102.90,89.30,89.30,102.90,103.10,102.90,102.90,106.90,96.98,102.90,97.49
1973,25.45,26.33,26.40,25.60,25.60,26.40,26.35,26.40,26.40,25.47,26.05,26.40,24.27
1974,67.76,70.86,70.80,59.00,59.00,70.80,70.84,70.80,70.80,71.54,65.67,70.80,64.82
1975,77.71,80.39,80.60,75.70,75.70,80.60,80.46,80.60,80.60,77.90,78.47,80.60,74.42
1976,209.05,209.99,209.10,201.90,201.90,209.10,209.68,209.10,209.10,220.73,205.97,209.10,208.79
1977,97.56,101.48,101.80,95.40,95.40,101.80,101.59,101.80,101.80,97.61,99.02,101.80,92.64
1978,28.50,30.46,30.50,23.30,23.30,30.50,30.48,30.50,30.50,30.03,27.37,30.50,26.59
1979,81.82,84.57,84.90,79.70,79.70,84.90,84.69,84.90,84.90,80.62,82.64,84.90,78.44
1980,84.50,87.44,87.10,76.20,76.20,87.10,87.32,87.10,87.10,91.47,82.36,87.10,81.73
1981,42.54,43.41,43.10,38.20,38.20,43.10,43.31,43.10,43.10,47.19,40.97,43.10,41.97
1982,170.61,173.09,173.10,162.70,162.70,173.10,173.09,173.10,173.10,172.91,168.58,173.10,168.39
1983,80.62,81.20,80.80,75.00,75.00,80.80,81.06,80.80,80.80,86.01,78.28,80.80,80.61
1984,53.19,53.32,53.10,51.50,51.50,53.10,53.24,53.10,53.10,55.98,52.40,53.10,53.24
1985,55.55,56.21,55.70,53.60,53.60,55.70,56.04,55.70,55.70,62.40,54.79,55.70,54.93
1986,94.02,95.80,95.90,93.40,93.40,95.90,95.83,95.90,95.90,94.60,94.81,95.90,91.73
1987,40.67,41.73,41.70,36.00,36.00,41.70,41.72,41.70,41.70,42.07,39.22,41.70,39.90
1988,119.92,121.94,121.50,112.30,112.30,121.50,121.79,121.50,121.50,127.27,117.50,121.50,118.26
1989,91.19,92.39,92.60,93.40,93.40,92.60,92.46,92.60,92.60,89.81,92.95,92.60,89.31
1990,80.45,81.63,81.10,77.50,77.50,81.10,81.45,81.10,81.10,88.08,79.53,81.10,79.28
1991,99.15,100.93,100.00,92.60,92.60,100.00,100.61,100.00,100.00,112.09,96.78,100.00,97.69
1992,68.11,70.87,70.90,62.60,62.60,70.90,70.88,70.90,70.90,70.53,67.29,70.90,65.20
1993,108.56,110.81,110.60,103.30,103.30,110.60,110.74,110.60,110.60,113.39,107.42,110.60,106.27
1994,30.47,31.03,30.90,26.40,26.40,30.90,30.98,30.90,30.90,32.57,28.94,30.90,30.28
1995,103.24,103.66,103.40,103.20,103.20,103.40,103.57,103.40,103.40,106.75,103.31,103.40,102.71
1996,118.25,121.16,120.80,110.20,110.20,120.80,121.04,120.80,120.80,125.54,116.19,120.80,115.48
1997,102.34,105.60,105.70,94.30,94.30,105.70,105.63,105.70,105.70,104.40,100.74,105.70,99.10
1998,107.90,112.78,112.80,102.10,102.10,112.80,112.79,112.80,112.80,112.52,108.15,112.80,102.20
1999,91.17,94.01,93.30,80.40,80.40,93.30,93.76,93.30,93.30,102.51,87.69,93.30,88.86
2000,80.18,82.24,82.30,80.80,80.80,82.30,82.26,82.30,82.30,81.46,81.65,82.30,77.37
2001,20.44,22.12,22.10,16.60,16.60,22.10,22.11,22.10,22.10,22.38,19.71,22.10,18.73
2002,88.10,93.02,93.00,78.70,78.70,93.00,93.01,93.00,93.00,93.28,86.78,93.00,82.84
2003,75.02,76.46,76.20,71.50,71.50,76.20,76.37,76.20,76.20,79.64,74.16,76.20,73.57
2004,93.01,96.14,96.00,89.00,89.00,96.00,96.09,96.00,96.00,97.77,92.96,96.00,89.41
2005,79.58,81.91,81.60,74.20,74.20,81.60,81.81,81.60,81.60,85.69,78.38,81.60,77.22
2006,69.20,71.65,71.70,63.40,63.40,71.70,71.67,71.70,71.70,71.05,68.09,71.70,66.72
2007,46.17,47.46,47.20,40.80,40.80,47.20,47.37,47.20,47.20,50.64,44.42,47.20,45.19
2008,48.68,50.74,50.90,48.50,48.50,50.90,50.79,50.90,50.90,48.76,49.86,50.90,45.96
2009,103.44,104.52,105.00,110.40,110.40,105.00,104.68,105.00,105.00,98.67,107.35,105.00,101.08
2010,25.54,26.24,26.40,24.20,24.20,26.40,26.29,26.40,26.40,24.26,25.44,26.40,24.78
2011,90.38,92.96,92.30,85.80,85.80,92.30,92.73,92.30,92.30,100.95,89.47,92.30,87.59
2012,51.18,52.16,51.90,49.00,49.00,51.90,52.07,51.90,51.90,55.25,50.64,51.90,50.18
2013,37.59,37.96,37.70,35.40,35.40,37.70,37.87,37.70,37.70,41.14,36.70,37.70,37.40
2014,105.57,110.64,110.60,96.00,96.00,110.60,110.63,110.60,110.60,111.16,104.25,110.60,100.14
2015,53.39,54.74,54.70,52.10,52.10,54.70,54.72,54.70,54.70,55.17,53.57,54.70,51.77
2016,19.07,19.61,19.60,17.10,17.10,19.60,19.60,19.60,19.60,19.69,18.51,19.60,18.62
2017,140.51,143.34,143.10,128.60,128.60,143.10,143.26,143.10,143.10,146.26,136.79,143.10,138.36
2018,62.17,62.64,62.60,60.50,60.50,62.60,62.63,62.60,62.60,63.16,61.69,62.60,61.77
2019,161.99,163.16,162.70,152.40,152.40,162.70,163.00,162.70,162.70,168.65,158.22,162.70,161.75
2020,68.56,70.73,70.70,65.10,65.10,70.70,70.72,70.70,70.70,71.07,68.26,70.70,66.15
