Variable:,pr
,Malta,Attard,Balzan,Birgu,Birkirkara,Birzebbugia,Bormla,Dingli,Fgura,Floriana,Fontana,Ghajnsielem,Gharb,Gharghur,Ghasri,Ghaxaq,Gudja,Gzira,Hamrun,Iklin,Isla,Kalkara,Kercem,Kirkop,Lija,Luqa,Marsa,Marsascala,Marsaxlokk,Mdina,Mellieha,Mgarr,Mosta,Mqabba,Msida,Munxar,Nadur,Naxxar,Paola,Pembroke,Pieta,Qala,Qormi,Qrendi,"Rabat (malta)","Rabat (victoria)",Safi,"San Giljan","San Gwann","San Lawrenz","San Pawl Ii-bahar",Sannat,"Santa Lucija","Santa Venera",Siggiewi,Sliema,Swieqi,"Ta' Xbiex",Tarxien,Valletta,Xaghra,Xewkija,Xghajra,Zabbar,"Zebbug (gozo)","Zebbug (malta)",Zejtun,Zurrieq
1911,561.27,556.70,556.70,556.70,556.70,576.80,556.70,556.70,556.70,556.70,556.70,562.70,562.70,556.70,562.70,576.80,556.70,556.70,557.32,556.70,556.70,556.70,562.70,556.70,556.70,561.10,559.81,576.80,576.80,556.70,556.70,556.70,556.70,556.70,556.70,562.70,562.70,556.70,556.70,556.70,556.70,562.70,556.70,556.70,556.70,562.70,561.02,556.70,556.70,562.70,556.70,562.70,556.70,556.70,556.70,556.70,556.70,556.70,556.70,556.70,562.70,562.70,556.70,576.80,562.70,556.70,576.80,561.51
1912,466.25,467.30,467.30,467.30,467.30,462.70,467.30,467.30,467.30,467.30,467.30,452.90,452.90,467.30,452.90,462.70,467.30,467.30,467.16,467.30,467.30,467.30,452.90,467.30,467.30,466.29,466.59,462.70,462.70,467.30,467.30,467.30,467.30,467.30,467.30,452.90,452.90,467.30,467.30,467.30,467.30,452.90,467.30,467.30,467.30,452.90,466.31,467.30,467.30,452.90,467.30,452.90,467.30,467.30,467.30,467.30,467.30,467.30,467.30,467.30,452.90,452.90,467.30,462.70,452.90,467.30,462.70,466.20
1913,368.33,370.60,370.60,370.60,370.60,360.60,370.60,370.60,370.60,370.60,370.60,324.00,324.00,370.60,324.00,360.60,370.60,370.60,370.29,370.60,370.60,370.60,324.00,370.60,370.60,368.41,369.05,360.60,360.60,370.60,370.60,370.60,370.60,370.60,370.60,324.00,324.00,370.60,370.60,370.60,370.60,324.00,370.60,370.60,370.60,324.00,368.45,370.60,370.60,324.00,370.60,324.00,370.60,370.60,370.60,370.60,370.60,370.60,370.60,370.60,324.00,324.00,370.60,360.60,324.00,370.60,360.60,368.21
1914,364.64,362.00,362.00,362.00,362.00,373.60,362.00,362.00,362.00,362.00,362.00,377.70,377.70,362.00,377.70,373.60,362.00,362.00,362.36,362.00,362.00,362.00,377.70,362.00,362.00,364.54,363.79,373.60,373.60,362.00,362.00,362.00,362.00,362.00,362.00,377.70,377.70,362.00,362.00,362.00,362.00,377.70,362.00,362.00,362.00,377.70,364.49,362.00,362.00,377.70,362.00,377.70,362.00,362.00,362.00,362.00,362.00,362.00,362.00,362.00,377.70,377.70,362.00,373.60,377.70,362.00,373.60,364.77
1915,395.68,401.00,401.00,401.00,401.00,377.60,401.00,401.00,401.00,401.00,401.00,446.70,446.70,401.00,446.70,377.60,401.00,401.00,400.27,401.00,401.00,401.00,446.70,401.00,401.00,395.87,397.38,377.60,377.60,401.00,401.00,401.00,401.00,401.00,401.00,446.70,446.70,401.00,401.00,401.00,401.00,446.70,401.00,401.00,401.00,446.70,395.97,401.00,401.00,446.70,401.00,446.70,401.00,401.00,401.00,401.00,401.00,401.00,401.00,401.00,446.70,446.70,401.00,377.60,446.70,401.00,377.60,395.41
1916,398.79,394.60,394.60,394.60,394.60,413.00,394.60,394.60,394.60,394.60,394.60,421.70,421.70,394.60,421.70,413.00,394.60,394.60,395.17,394.60,394.60,394.60,421.70,394.60,394.60,398.63,397.45,413.00,413.00,394.60,394.60,394.60,394.60,394.60,394.60,421.70,421.70,394.60,394.60,394.60,394.60,421.70,394.60,394.60,394.60,421.70,398.56,394.60,394.60,421.70,394.60,421.70,394.60,394.60,394.60,394.60,394.60,394.60,394.60,394.60,421.70,421.70,394.60,413.00,421.70,394.60,413.00,399.00
1917,402.68,396.90,396.90,396.90,396.90,422.30,396.90,396.90,396.90,396.90,396.90,423.40,423.40,396.90,423.40,422.30,396.90,396.90,397.69,396.90,396.90,396.90,423.40,396.90,396.90,402.47,400.83,422.30,422.30,396.90,396.90,396.90,396.90,396.90,396.90,423.40,423.40,396.90,396.90,396.90,396.90,423.40,396.90,396.90,396.90,423.40,402.36,396.90,396.90,423.40,396.90,423.40,396.90,396.90,396.90,396.90,396.90,396.90,396.90,396.90,423.40,423.40,396.90,422.30,423.40,396.90,422.30,402.97
1918,414.55,411.80,411.80,411.80,411.80,423.90,411.80,411.80,411.80,411.80,411.80,399.80,399.80,411.80,399.80,423.90,411.80,411.80,412.18,411.80,411.80,411.80,399.80,411.80,411.80,414.45,413.67,423.90,423.90,411.80,411.80,411.80,411.80,411.80,411.80,399.80,399.80,411.80,411.80,411.80,411.80,399.80,411.80,411.80,411.80,399.80,414.40,411.80,411.80,399.80,411.80,399.80,411.80,411.80,411.80,411.80,411.80,411.80,411.80,411.80,399.80,399.80,411.80,423.90,399.80,411.80,423.90,414.69
1919,386.92,386.10,386.10,386.10,386.10,389.70,386.10,386.10,386.10,386.10,386.10,352.20,352.20,386.10,352.20,389.70,386.10,386.10,386.21,386.10,386.10,386.10,352.20,386.10,386.10,386.89,386.66,389.70,389.70,386.10,386.10,386.10,386.10,386.10,386.10,352.20,352.20,386.10,386.10,386.10,386.10,352.20,386.10,386.10,386.10,352.20,386.87,386.10,386.10,352.20,386.10,352.20,386.10,386.10,386.10,386.10,386.10,386.10,386.10,386.10,352.20,352.20,386.10,389.70,352.20,386.10,389.70,386.96
1920,461.27,455.40,455.40,455.40,455.40,481.20,455.40,455.40,455.40,455.40,455.40,447.00,447.00,455.40,447.00,481.20,455.40,455.40,456.20,455.40,455.40,455.40,447.00,455.40,455.40,461.05,459.39,481.20,481.20,455.40,455.40,455.40,455.40,455.40,455.40,447.00,447.00,455.40,455.40,455.40,455.40,447.00,455.40,455.40,455.40,447.00,460.95,455.40,455.40,447.00,455.40,447.00,455.40,455.40,455.40,455.40,455.40,455.40,455.40,455.40,447.00,447.00,455.40,481.20,447.00,455.40,481.20,461.57
1921,512.46,508.30,508.30,508.30,508.30,526.60,508.30,508.30,508.30,508.30,508.30,453.60,453.60,508.30,453.60,526.60,508.30,508.30,508.87,508.30,508.30,508.30,453.60,508.30,508.30,512.31,511.13,526.60,526.60,508.30,508.30,508.30,508.30,508.30,508.30,453.60,453.60,508.30,508.30,508.30,508.30,453.60,508.30,508.30,508.30,453.60,512.23,508.30,508.30,453.60,508.30,453.60,508.30,508.30,508.30,508.30,508.30,508.30,508.30,508.30,453.60,453.60,508.30,526.60,453.60,508.30,526.60,512.67
1922,272.57,271.00,271.00,271.00,271.00,277.90,271.00,271.00,271.00,271.00,271.00,250.40,250.40,271.00,250.40,277.90,271.00,271.00,271.21,271.00,271.00,271.00,250.40,271.00,271.00,272.51,272.07,277.90,277.90,271.00,271.00,271.00,271.00,271.00,271.00,250.40,250.40,271.00,271.00,271.00,271.00,250.40,271.00,271.00,271.00,250.40,272.48,271.00,271.00,250.40,271.00,250.40,271.00,271.00,271.00,271.00,271.00,271.00,271.00,271.00,250.40,250.40,271.00,277.90,250.40,271.00,277.90,272.65
1923,346.79,347.20,347.20,347.20,347.20,345.40,347.20,347.20,347.20,347.20,347.20,344.90,344.90,347.20,344.90,345.40,347.20,347.20,347.14,347.20,347.20,347.20,344.90,347.20,347.20,346.81,346.92,345.40,345.40,347.20,347.20,347.20,347.20,347.20,347.20,344.90,344.90,347.20,347.20,347.20,347.20,344.90,347.20,347.20,347.20,344.90,346.81,347.20,347.20,344.90,347.20,344.90,347.20,347.20,347.20,347.20,347.20,347.20,347.20,347.20,344.90,344.90,347.20,345.40,344.90,347.20,345.40,346.77
1924,428.82,424.00,424.00,424.00,424.00,445.20,424.00,424.00,424.00,424.00,424.00,451.70,451.70,424.00,451.70,445.20,424.00,424.00,424.66,424.00,424.00,424.00,451.70,424.00,424.00,428.65,427.28,445.20,445.20,424.00,424.00,424.00,424.00,424.00,424.00,451.70,451.70,424.00,424.00,424.00,424.00,451.70,424.00,424.00,424.00,451.70,428.56,424.00,424.00,451.70,424.00,451.70,424.00,424.00,424.00,424.00,424.00,424.00,424.00,424.00,451.70,451.70,424.00,445.20,451.70,424.00,445.20,429.07
1925,455.01,454.40,454.40,454.40,454.40,457.10,454.40,454.40,454.40,454.40,454.40,397.80,397.80,454.40,397.80,457.10,454.40,454.40,454.48,454.40,454.40,454.40,397.80,454.40,454.40,454.99,454.82,457.10,457.10,454.40,454.40,454.40,454.40,454.40,454.40,397.80,397.80,454.40,454.40,454.40,454.40,397.80,454.40,454.40,454.40,397.80,454.98,454.40,454.40,397.80,454.40,397.80,454.40,454.40,454.40,454.40,454.40,454.40,454.40,454.40,397.80,397.80,454.40,457.10,397.80,454.40,457.10,455.05
1926,304.92,308.40,308.40,308.40,308.40,293.10,308.40,308.40,308.40,308.40,308.40,295.80,295.80,308.40,295.80,293.10,308.40,308.40,307.92,308.40,308.40,308.40,295.80,308.40,308.40,305.05,306.03,293.10,293.10,308.40,308.40,308.40,308.40,308.40,308.40,295.80,295.80,308.40,308.40,308.40,308.40,295.80,308.40,308.40,308.40,295.80,305.11,308.40,308.40,295.80,308.40,295.80,308.40,308.40,308.40,308.40,308.40,308.40,308.40,308.40,295.80,295.80,308.40,293.10,295.80,308.40,293.10,304.74
1927,354.26,350.60,350.60,350.60,350.60,366.70,350.60,350.60,350.60,350.60,350.60,395.40,395.40,350.60,395.40,366.70,350.60,350.60,351.10,350.60,350.60,350.60,395.40,350.60,350.60,354.13,353.09,366.70,366.70,350.60,350.60,350.60,350.60,350.60,350.60,395.40,395.40,350.60,350.60,350.60,350.60,395.40,350.60,350.60,350.60,395.40,354.06,350.60,350.60,395.40,350.60,395.40,350.60,350.60,350.60,350.60,350.60,350.60,350.60,350.60,395.40,395.40,350.60,366.70,395.40,350.60,366.70,354.45
1928,606.21,604.50,604.50,604.50,604.50,612.00,604.50,604.50,604.50,604.50,604.50,651.10,651.10,604.50,651.10,612.00,604.50,604.50,604.73,604.50,604.50,604.50,651.10,604.50,604.50,606.14,605.66,612.00,612.00,604.50,604.50,604.50,604.50,604.50,604.50,651.10,651.10,604.50,604.50,604.50,604.50,651.10,604.50,604.50,604.50,651.10,606.11,604.50,604.50,651.10,604.50,651.10,604.50,604.50,604.50,604.50,604.50,604.50,604.50,604.50,651.10,651.10,604.50,612.00,651.10,604.50,612.00,606.29
1929,429.27,430.00,430.00,430.00,430.00,426.80,430.00,430.00,430.00,430.00,430.00,407.60,407.60,430.00,407.60,426.80,430.00,430.00,429.90,430.00,430.00,430.00,407.60,430.00,430.00,429.30,429.51,426.80,426.80,430.00,430.00,430.00,430.00,430.00,430.00,407.60,407.60,430.00,430.00,430.00,430.00,407.60,430.00,430.00,430.00,407.60,429.31,430.00,430.00,407.60,430.00,407.60,430.00,430.00,430.00,430.00,430.00,430.00,430.00,430.00,407.60,407.60,430.00,426.80,407.60,430.00,426.80,429.24
1930,425.57,423.00,423.00,423.00,423.00,434.30,423.00,423.00,423.00,423.00,423.00,438.60,438.60,423.00,438.60,434.30,423.00,423.00,423.35,423.00,423.00,423.00,438.60,423.00,423.00,425.48,424.75,434.30,434.30,423.00,423.00,423.00,423.00,423.00,423.00,438.60,438.60,423.00,423.00,423.00,423.00,438.60,423.00,423.00,423.00,438.60,425.43,423.00,423.00,438.60,423.00,438.60,423.00,423.00,423.00,423.00,423.00,423.00,423.00,423.00,438.60,438.60,423.00,434.30,438.60,423.00,434.30,425.70
1931,571.64,570.50,570.50,570.50,570.50,575.50,570.50,570.50,570.50,570.50,570.50,598.30,598.30,570.50,598.30,575.50,570.50,570.50,570.66,570.50,570.50,570.50,598.30,570.50,570.50,571.60,571.27,575.50,575.50,570.50,570.50,570.50,570.50,570.50,570.50,598.30,598.30,570.50,570.50,570.50,570.50,598.30,570.50,570.50,570.50,598.30,571.57,570.50,570.50,598.30,570.50,598.30,570.50,570.50,570.50,570.50,570.50,570.50,570.50,570.50,598.30,598.30,570.50,575.50,598.30,570.50,575.50,571.70
1932,470.37,462.70,462.70,462.70,462.70,496.40,462.70,462.70,462.70,462.70,462.70,440.20,440.20,462.70,440.20,496.40,462.70,462.70,463.75,462.70,462.70,462.70,440.20,462.70,462.70,470.08,467.91,496.40,496.40,462.70,462.70,462.70,462.70,462.70,462.70,440.20,440.20,462.70,462.70,462.70,462.70,440.20,462.70,462.70,462.70,440.20,469.94,462.70,462.70,440.20,462.70,440.20,462.70,462.70,462.70,462.70,462.70,462.70,462.70,462.70,440.20,440.20,462.70,496.40,440.20,462.70,496.40,470.76
1933,411.22,416.00,416.00,416.00,416.00,395.00,416.00,416.00,416.00,416.00,416.00,417.80,417.80,416.00,417.80,395.00,416.00,416.00,415.35,416.00,416.00,416.00,417.80,416.00,416.00,411.40,412.75,395.00,395.00,416.00,416.00,416.00,416.00,416.00,416.00,417.80,417.80,416.00,416.00,416.00,416.00,417.80,416.00,416.00,416.00,417.80,411.49,416.00,416.00,417.80,416.00,417.80,416.00,416.00,416.00,416.00,416.00,416.00,416.00,416.00,417.80,417.80,416.00,395.00,417.80,416.00,395.00,410.98
1934,558.87,551.80,551.80,551.80,551.80,582.90,551.80,551.80,551.80,551.80,551.80,532.10,532.10,551.80,532.10,582.90,551.80,551.80,552.77,551.80,551.80,551.80,532.10,551.80,551.80,558.61,556.61,582.90,582.90,551.80,551.80,551.80,551.80,551.80,551.80,532.10,532.10,551.80,551.80,551.80,551.80,532.10,551.80,551.80,551.80,532.10,558.48,551.80,551.80,532.10,551.80,532.10,551.80,551.80,551.80,551.80,551.80,551.80,551.80,551.80,532.10,532.10,551.80,582.90,532.10,551.80,582.90,559.23
1935,351.33,348.40,348.40,348.40,348.40,361.30,348.40,348.40,348.40,348.40,348.40,359.30,359.30,348.40,359.30,361.30,348.40,348.40,348.80,348.40,348.40,348.40,359.30,348.40,348.40,351.23,350.39,361.30,361.30,348.40,348.40,348.40,348.40,348.40,348.40,359.30,359.30,348.40,348.40,348.40,348.40,359.30,348.40,348.40,348.40,359.30,351.17,348.40,348.40,359.30,348.40,359.30,348.40,348.40,348.40,348.40,348.40,348.40,348.40,348.40,359.30,359.30,348.40,361.30,359.30,348.40,361.30,351.48
1936,376.58,373.90,373.90,373.90,373.90,385.70,373.90,373.90,373.90,373.90,373.90,373.70,373.70,373.90,373.70,385.70,373.90,373.90,374.27,373.90,373.90,373.90,373.70,373.90,373.90,376.49,375.72,385.70,385.70,373.90,373.90,373.90,373.90,373.90,373.90,373.70,373.70,373.90,373.90,373.90,373.90,373.70,373.90,373.90,373.90,373.70,376.44,373.90,373.90,373.70,373.90,373.70,373.90,373.90,373.90,373.90,373.90,373.90,373.90,373.90,373.70,373.70,373.90,385.70,373.70,373.90,385.70,376.72
1937,300.81,296.40,296.40,296.40,296.40,315.80,296.40,296.40,296.40,296.40,296.40,313.50,313.50,296.40,313.50,315.80,296.40,296.40,297.00,296.40,296.40,296.40,313.50,296.40,296.40,300.65,299.40,315.80,315.80,296.40,296.40,296.40,296.40,296.40,296.40,313.50,313.50,296.40,296.40,296.40,296.40,313.50,296.40,296.40,296.40,313.50,300.57,296.40,296.40,313.50,296.40,313.50,296.40,296.40,296.40,296.40,296.40,296.40,296.40,296.40,313.50,313.50,296.40,315.80,313.50,296.40,315.80,301.04
1938,502.38,494.90,494.90,494.90,494.90,527.80,494.90,494.90,494.90,494.90,494.90,475.50,475.50,494.90,475.50,527.80,494.90,494.90,495.92,494.90,494.90,494.90,475.50,494.90,494.90,502.11,499.99,527.80,527.80,494.90,494.90,494.90,494.90,494.90,494.90,475.50,475.50,494.90,494.90,494.90,494.90,475.50,494.90,494.90,494.90,475.50,501.97,494.90,494.90,475.50,494.90,475.50,494.90,494.90,494.90,494.90,494.90,494.90,494.90,494.90,475.50,475.50,494.90,527.80,475.50,494.90,527.80,502.76
1939,409.49,410.40,410.40,410.40,410.40,406.40,410.40,410.40,410.40,410.40,410.40,430.50,430.50,410.40,430.50,406.40,410.40,410.40,410.28,410.40,410.40,410.40,430.50,410.40,410.40,409.52,409.78,406.40,406.40,410.40,410.40,410.40,410.40,410.40,410.40,430.50,430.50,410.40,410.40,410.40,410.40,430.50,410.40,410.40,410.40,430.50,409.54,410.40,410.40,430.50,410.40,430.50,410.40,410.40,410.40,410.40,410.40,410.40,410.40,410.40,430.50,430.50,410.40,406.40,430.50,410.40,406.40,409.44
1940,390.36,387.90,387.90,387.90,387.90,398.70,387.90,387.90,387.90,387.90,387.90,379.90,379.90,387.90,379.90,398.70,387.90,387.90,388.24,387.90,387.90,387.90,379.90,387.90,387.90,390.27,389.57,398.70,398.70,387.90,387.90,387.90,387.90,387.90,387.90,379.90,379.90,387.90,387.90,387.90,387.90,379.90,387.90,387.90,387.90,379.90,390.22,387.90,387.90,379.90,387.90,379.90,387.90,387.90,387.90,387.90,387.90,387.90,387.90,387.90,379.90,379.90,387.90,398.70,379.90,387.90,398.70,390.48
1941,378.97,376.40,376.40,376.40,376.40,387.70,376.40,376.40,376.40,376.40,376.40,405.90,405.90,376.40,405.90,387.70,376.40,376.40,376.75,376.40,376.40,376.40,405.90,376.40,376.40,378.88,378.15,387.70,387.70,376.40,376.40,376.40,376.40,376.40,376.40,405.90,405.90,376.40,376.40,376.40,376.40,405.90,376.40,376.40,376.40,405.90,378.83,376.40,376.40,405.90,376.40,405.90,376.40,376.40,376.40,376.40,376.40,376.40,376.40,376.40,405.90,405.90,376.40,387.70,405.90,376.40,387.70,379.10
1942,480.29,476.40,476.40,476.40,476.40,493.50,476.40,476.40,476.40,476.40,476.40,529.50,529.50,476.40,529.50,493.50,476.40,476.40,476.93,476.40,476.40,476.40,529.50,476.40,476.40,480.15,479.04,493.50,493.50,476.40,476.40,476.40,476.40,476.40,476.40,529.50,529.50,476.40,476.40,476.40,476.40,529.50,476.40,476.40,476.40,529.50,480.08,476.40,476.40,529.50,476.40,529.50,476.40,476.40,476.40,476.40,476.40,476.40,476.40,476.40,529.50,529.50,476.40,493.50,529.50,476.40,493.50,480.49
1943,420.71,415.80,415.80,415.80,415.80,437.40,415.80,415.80,415.80,415.80,415.80,439.10,439.10,415.80,439.10,437.40,415.80,415.80,416.47,415.80,415.80,415.80,439.10,415.80,415.80,420.53,419.14,437.40,437.40,415.80,415.80,415.80,415.80,415.80,415.80,439.10,439.10,415.80,415.80,415.80,415.80,439.10,415.80,415.80,415.80,439.10,420.44,415.80,415.80,439.10,415.80,439.10,415.80,415.80,415.80,415.80,415.80,415.80,415.80,415.80,439.10,439.10,415.80,437.40,439.10,415.80,437.40,420.96
1944,484.87,484.10,484.10,484.10,484.10,487.50,484.10,484.10,484.10,484.10,484.10,457.30,457.30,484.10,457.30,487.50,484.10,484.10,484.21,484.10,484.10,484.10,457.30,484.10,484.10,484.84,484.63,487.50,487.50,484.10,484.10,484.10,484.10,484.10,484.10,457.30,457.30,484.10,484.10,484.10,484.10,457.30,484.10,484.10,484.10,457.30,484.83,484.10,484.10,457.30,484.10,457.30,484.10,484.10,484.10,484.10,484.10,484.10,484.10,484.10,457.30,457.30,484.10,487.50,457.30,484.10,487.50,484.91
1945,331.78,329.10,329.10,329.10,329.10,340.90,329.10,329.10,329.10,329.10,329.10,350.30,350.30,329.10,350.30,340.90,329.10,329.10,329.47,329.10,329.10,329.10,350.30,329.10,329.10,331.69,330.92,340.90,340.90,329.10,329.10,329.10,329.10,329.10,329.10,350.30,350.30,329.10,329.10,329.10,329.10,350.30,329.10,329.10,329.10,350.30,331.64,329.10,329.10,350.30,329.10,350.30,329.10,329.10,329.10,329.10,329.10,329.10,329.10,329.10,350.30,350.30,329.10,340.90,350.30,329.10,340.90,331.92
1946,433.72,428.90,428.90,428.90,428.90,450.10,428.90,428.90,428.90,428.90,428.90,461.60,461.60,428.90,461.60,450.10,428.90,428.90,429.56,428.90,428.90,428.90,461.60,428.90,428.90,433.55,432.18,450.10,450.10,428.90,428.90,428.90,428.90,428.90,428.90,461.60,461.60,428.90,428.90,428.90,428.90,461.60,428.90,428.90,428.90,461.60,433.46,428.90,428.90,461.60,428.90,461.60,428.90,428.90,428.90,428.90,428.90,428.90,428.90,428.90,461.60,461.60,428.90,450.10,461.60,428.90,450.10,433.97
1947,180.21,178.80,178.80,178.80,178.80,185.00,178.80,178.80,178.80,178.80,178.80,195.10,195.10,178.80,195.10,185.00,178.80,178.80,178.99,178.80,178.80,178.80,195.10,178.80,178.80,180.16,179.76,185.00,185.00,178.80,178.80,178.80,178.80,178.80,178.80,195.10,195.10,178.80,178.80,178.80,178.80,195.10,178.80,178.80,178.80,195.10,180.13,178.80,178.80,195.10,178.80,195.10,178.80,178.80,178.80,178.80,178.80,178.80,178.80,178.80,195.10,195.10,178.80,185.00,195.10,178.80,185.00,180.28
