Variable:,pr
,Grenada,"St. Andrew's","St. George's","St. John's","St. Mark's","St. Patrick's","Name Unknown","Carriacou and Petite Martinique"
2009,1325.40,1325.40,1325.40,1325.40,1325.40,1325.40,1325.40,1325.40
2010,1810.80,1810.80,1810.80,1810.80,1810.80,1810.80,1810.80,1810.80
2011,1851.60,1851.60,1851.60,1851.60,1851.60,1851.60,1851.60,1851.60
2012,1425.40,1425.40,1425.40,1425.40,1425.40,1425.40,1425.40,1425.40
2013,1482.80,1482.80,1482.80,1482.80,1482.80,1482.80,1482.80,1482.80
2014,1435.30,1435.30,1435.30,1435.30,1435.30,1435.30,1435.30,1435.30
2015,1106.00,1106.00,1106.00,1106.00,1106.00,1106.00,1106.00,1106.00
2016,1674.10,1674.10,1674.10,1674.10,1674.10,1674.10,1674.10,1674.10
2017,1714.00,1714.00,1714.00,1714.00,1714.00,1714.00,1714.00,1714.00
2018,1506.10,1506.10,1506.10,1506.10,1506.10,1506.10,1506.10,1506.10
2019,1240.10,1240.10,1240.10,1240.10,1240.10,1240.10,1240.10,1240.10
2020,1513.60,1513.60,1513.60,1513.60,1513.60,1513.60,1513.60,1513.60
