Variable:,pr
,Russia,"Adygeya Rep.","Aginskiy Buryatskiy A. Okrug","Altay Rep.","Altayskiy Kray","Amurskaya Oblast","Arkhangelskaya Oblast","Astrakhanskaya Oblast","Bashkortostan Rep.","Belgorodskaya Oblast","Bryanskaya Oblast","Buryatiya Rep.","Chechnya Rep.","Chelyabinskaya Oblast","Chitinskaya Oblast","Chukotskiy Okrug","Chuvashiya Rep.","Dagestan Rep.","Evenkiyskiy Okrug","Ingushetiya Rep.","Irkutskaya Oblast","Ivanovskaya Oblast","Kabardino-balkariya Rep.","Kaliningradskaya Oblast","Kalmykiya Rep.","Kaluzhskaya Oblast","Kamchatskaya Oblast","Karatchayevo-cherkesiya Rep.","Karelya Rep.","Kemerovskaya Oblast","Khabarovskiy Kray","Khakasiya Rep.","Khanty-mansyiskiy Okrug","Kirovskaya Oblast","Komi Rep.","Komi-permyatskiy Okrug","Koryakskiy Okrug","Kostromskaya Oblast","Krasnodarskiy Kray","Krasnoyarskiy Kray","Kurganskaya Oblast","Kurskaya Oblast","Administrative unit not available","Leningradskaya Oblast","Lipetskaya Oblast","Magadanskaya Oblast","Mariy-el Rep.","Mordoviya Rep.","Moskovskaya Oblast",Moskva,"Murmanskaya Oblast","Name Unknown","Nenetskiy Okrug","Nizhegorodskaya Oblast","Novgorodskaya Oblast","Novosibirskaya Oblast","Omskaya Oblast","Orenburgskaya Oblast","Orlovskaya Oblast","Penzenskaya Oblast","Permskaya Oblast","Primorskiy Kray","Pskovskaya Oblast","Rostovskaya Oblast","Ryazanskaya Oblast","Sakha Rep.","Sakhalinskaya Oblast","Samarskaya Oblast",Sankt-peterburg,"Saratovskaya Oblast","Severnaya Osetiya-alaniya Rep.","Smolenskaya Oblast","Stavropolskiy Kray","Sverdlovskaya Oblast","Tambovskaya Oblast","Tatarstan Rep.","Taymyrskiy Okrug","Tomskaya Oblast","Tulskaya Oblast","Tverskaya Oblast","Tyumenskaya Oblast","Tyva Rep.","Udmurtiya Rep.","Ulyanovskaya Oblast","Ustordynskiy Buryatskiy Okrug","Vladimirskaya Oblast","Volgogradskaya Oblast","Vologodskaya Oblast","Voronezhskaya Oblast","Yamalo-nenetskiy Okrug","Yaroslavskaya Oblast","Yevreyskaya A. Oblast"
1913,436.50,885.50,336.91,541.58,504.01,474.17,558.11,244.60,628.55,553.52,654.94,421.31,500.31,501.95,374.22,320.31,611.89,443.82,417.19,619.22,448.46,657.53,673.37,793.72,267.10,694.07,781.38,849.48,498.98,564.73,507.47,529.59,453.57,696.10,485.49,693.11,481.38,688.12,685.34,532.50,387.82,622.37,279.59,554.48,511.02,350.08,628.29,590.15,694.09,711.29,488.10,375.87,367.15,637.16,648.69,421.01,379.21,474.73,617.08,563.48,710.64,687.28,611.65,441.32,515.87,273.25,736.20,591.69,540.30,509.51,708.91,715.55,392.84,535.31,482.76,638.25,275.78,533.65,594.45,774.45,401.65,495.07,676.15,604.26,469.46,637.43,407.92,652.89,477.91,404.81,686.70,445.30
1914,428.14,917.01,368.68,522.73,529.55,464.48,559.27,262.78,493.61,522.04,550.15,447.20,753.94,410.09,393.37,302.59,581.81,676.46,420.47,937.74,395.07,591.71,918.80,715.30,321.90,570.90,602.30,1019.26,530.83,552.47,517.41,501.98,497.13,671.88,499.99,686.24,427.57,618.40,682.16,521.06,380.48,547.36,406.41,530.29,472.60,331.73,604.54,585.51,621.73,650.14,531.90,475.21,336.41,616.13,572.07,451.18,460.90,414.49,544.93,510.98,681.87,801.82,521.69,468.74,524.33,257.99,745.82,484.85,516.96,409.99,1000.34,568.40,570.92,521.10,447.30,564.69,298.91,537.76,541.82,653.26,458.72,480.13,635.83,540.97,465.26,603.08,361.32,627.56,455.19,394.79,619.19,556.32
1915,454.83,1193.50,356.45,544.03,481.90,596.80,614.88,363.14,628.64,688.70,755.78,438.52,781.29,606.15,383.23,304.45,604.67,687.70,393.84,966.03,364.09,598.39,997.44,688.74,403.06,769.85,833.68,1181.67,506.80,472.13,636.17,463.86,512.76,677.85,564.45,710.42,444.64,655.86,914.36,388.63,494.18,725.75,428.00,589.77,668.67,326.37,612.12,653.23,692.93,697.74,505.13,602.43,373.19,614.92,654.84,371.61,420.96,472.00,746.80,662.64,752.82,907.81,651.75,660.95,625.67,290.52,874.47,591.05,605.20,595.12,1046.97,785.37,644.89,627.09,652.58,631.48,255.60,424.03,699.61,770.29,502.62,477.13,677.77,622.87,456.68,603.87,576.68,677.20,667.34,401.57,675.45,772.09
1916,426.77,846.95,378.41,390.78,366.66,554.24,598.90,242.48,488.66,556.54,722.84,418.80,645.83,427.77,383.65,267.75,594.33,565.32,418.23,741.41,352.35,648.22,741.91,805.01,305.63,753.14,688.84,859.23,544.73,427.07,576.64,407.24,467.79,620.07,540.37,672.73,415.26,648.85,660.38,460.57,347.38,605.01,362.43,624.88,579.13,325.35,590.93,634.89,716.67,733.20,488.99,449.38,350.23,629.54,664.72,317.73,329.79,354.93,659.03,597.09,669.27,693.38,684.86,542.38,612.85,278.28,809.20,509.97,637.08,467.81,762.03,809.03,506.25,519.02,569.28,567.87,293.86,433.52,656.59,768.57,400.32,443.53,596.60,572.14,393.00,655.40,470.51,666.84,560.56,405.82,718.24,546.13
1917,412.42,941.89,248.00,433.02,440.52,510.31,558.32,191.86,412.10,550.26,656.77,423.56,539.33,353.66,306.41,308.08,501.77,453.18,411.81,694.04,438.73,560.01,760.85,693.78,245.76,656.04,841.15,909.87,551.89,460.69,543.51,394.19,465.21,534.11,476.71,555.99,431.41,557.16,712.04,433.29,301.76,580.50,288.02,603.63,502.83,304.31,519.89,508.16,613.66,611.13,562.03,408.61,325.97,540.19,651.49,405.14,399.73,327.84,598.70,464.45,556.04,677.54,654.44,457.96,503.89,267.17,839.33,426.84,629.66,357.19,788.36,721.10,453.57,410.28,468.58,476.85,273.66,518.55,569.57,717.70,377.37,444.04,516.68,448.24,467.77,552.28,312.63,591.29,482.04,387.56,619.39,575.38
1918,418.58,686.63,252.28,397.42,425.50,493.76,581.79,230.68,518.66,481.24,562.93,365.23,624.98,406.83,314.90,261.71,608.85,604.29,403.06,733.44,360.93,673.81,645.51,604.42,272.92,571.28,861.87,699.11,502.38,450.19,532.07,425.85,515.26,660.09,567.55,689.98,425.24,691.22,536.45,423.82,321.92,519.60,383.98,589.54,464.85,325.24,639.81,575.19,594.80,599.74,466.83,364.97,337.60,654.58,588.39,384.16,349.48,434.90,513.96,499.63,694.77,723.28,589.00,404.08,521.70,289.81,761.01,548.99,601.44,424.96,756.99,611.29,397.62,518.67,461.20,581.55,271.57,467.73,524.85,654.71,404.29,452.29,631.07,546.00,392.67,621.96,343.11,655.78,440.35,421.17,654.32,562.70
1919,445.86,1047.31,346.86,567.68,581.53,519.63,526.70,258.12,496.95,698.17,694.24,467.24,658.61,428.69,394.76,318.54,625.39,569.31,409.20,857.17,418.34,562.97,921.47,706.66,315.05,697.69,833.22,1071.91,495.18,587.79,577.07,558.44,475.38,610.65,487.57,621.60,450.22,565.69,817.34,493.00,409.14,737.60,317.40,528.03,688.18,347.43,617.87,658.56,642.47,626.21,484.00,527.59,335.41,622.79,557.48,482.24,446.86,401.53,734.44,669.69,648.92,750.70,562.98,582.94,643.77,302.69,825.03,522.17,525.91,538.75,964.55,662.74,551.27,507.90,671.32,585.85,248.45,536.74,701.79,658.87,450.50,514.33,630.43,616.22,524.19,600.11,487.22,550.73,640.87,395.77,579.14,562.65
1920,403.66,752.12,330.04,430.99,485.59,605.71,520.77,242.00,365.59,376.79,408.81,392.64,666.36,365.94,402.30,335.45,396.44,630.03,411.70,828.16,366.11,439.83,794.40,602.13,298.73,414.35,620.87,838.72,513.60,485.30,583.51,411.59,415.85,480.75,488.48,537.26,477.42,485.24,581.88,443.94,287.99,393.02,359.89,470.76,348.89,353.95,413.58,388.84,398.43,397.72,546.65,368.99,347.08,434.47,444.47,409.82,365.69,266.14,389.69,357.02,510.89,698.96,470.68,376.10,356.06,287.06,764.54,311.08,483.64,315.69,907.82,451.25,447.50,404.86,335.73,327.93,278.95,487.85,388.68,461.07,352.05,511.30,420.38,351.02,383.98,405.54,317.55,464.79,347.13,397.31,426.44,556.85
1921,415.63,872.14,266.30,468.35,511.87,371.50,603.06,210.35,429.86,400.44,520.02,379.64,616.50,413.56,293.88,336.61,477.19,562.04,392.82,775.38,363.59,533.02,763.74,663.17,273.44,534.43,535.80,867.01,639.23,531.04,528.14,423.04,548.79,546.11,517.16,596.82,483.26,550.36,633.79,418.32,369.41,445.46,328.47,700.88,423.41,357.23,502.76,482.52,548.08,553.26,608.55,395.61,384.46,528.11,727.55,413.90,334.87,300.36,460.13,431.76,630.61,576.59,674.90,380.44,469.98,290.45,606.58,380.91,729.65,344.95,844.10,626.83,473.39,535.48,411.76,445.33,277.34,538.39,473.72,710.26,444.95,545.56,520.28,412.32,367.36,529.69,324.31,585.59,373.86,410.46,546.95,457.00
1922,454.24,1005.55,362.36,398.32,574.97,625.32,646.25,272.49,463.58,621.92,721.99,409.63,690.13,462.13,391.38,338.49,623.92,615.15,400.19,866.56,405.15,675.68,867.99,667.17,322.74,733.09,812.63,990.28,616.70,528.33,647.92,437.65,505.51,607.89,544.77,632.37,487.84,684.67,782.30,452.19,415.66,684.01,366.48,699.97,621.56,357.23,602.80,654.39,699.64,710.53,548.54,503.04,396.15,687.68,696.90,458.73,447.73,377.27,684.04,576.98,643.20,706.04,681.26,535.22,652.56,289.03,829.03,466.70,718.79,441.42,963.44,763.25,518.48,524.35,592.55,517.20,261.57,529.35,673.48,746.44,489.44,551.31,547.82,538.51,439.77,683.62,422.57,657.28,562.36,406.26,646.72,606.98
1923,444.12,868.89,293.00,376.11,439.75,600.57,700.05,241.63,428.39,474.52,624.71,393.10,584.92,393.15,368.52,335.02,577.46,523.91,411.26,754.10,373.00,652.89,757.26,799.70,288.69,695.40,813.62,870.16,646.08,505.81,602.37,501.35,478.79,636.39,610.44,727.66,486.95,654.12,665.53,464.34,373.86,526.52,300.24,728.82,582.90,357.23,583.41,597.37,683.73,689.09,541.62,416.28,386.19,644.89,736.95,360.61,378.55,348.43,610.86,528.64,667.90,711.21,731.54,446.97,627.30,294.99,833.36,453.40,739.09,407.08,820.87,737.65,448.46,524.52,565.76,500.05,261.86,499.24,655.25,778.06,482.75,474.99,540.95,501.09,357.66,659.18,403.84,708.25,502.12,404.45,653.10,535.25
1924,424.10,753.10,350.97,456.06,443.35,533.40,596.14,172.64,420.22,407.14,503.47,422.57,577.99,414.57,384.50,335.61,425.31,554.75,423.26,681.60,417.84,487.60,706.85,737.96,232.58,523.90,690.17,828.16,549.21,496.54,591.52,433.76,505.25,559.00,525.19,629.43,485.25,530.07,562.13,491.31,374.10,439.84,336.46,606.68,386.25,357.23,468.86,414.07,506.62,520.55,476.40,350.01,370.90,481.50,602.32,345.28,325.82,288.05,455.49,359.33,636.21,576.38,633.55,370.85,408.43,298.37,834.72,345.91,644.73,286.82,740.55,569.67,410.40,532.30,363.88,411.03,274.93,509.11,470.68,612.32,474.58,469.27,519.05,373.95,394.92,474.22,283.04,555.39,368.13,401.17,507.83,474.48
1925,450.22,1020.74,344.24,426.78,477.48,445.34,604.85,324.17,590.43,680.90,749.22,433.65,576.76,471.36,374.67,336.56,650.10,494.47,404.09,702.32,374.70,753.24,753.85,808.08,367.70,822.73,661.39,911.99,558.30,515.26,557.94,520.34,500.91,714.27,527.07,727.91,475.28,762.42,841.56,490.49,411.24,738.01,324.68,739.61,718.72,339.87,677.42,700.07,812.18,840.89,485.29,534.39,335.75,732.76,824.24,389.41,422.87,443.55,767.84,646.96,786.98,757.88,795.48,659.43,708.90,288.21,712.46,578.09,764.94,529.21,762.03,849.31,517.82,610.92,678.73,652.71,235.80,508.78,763.78,909.98,502.92,645.44,714.41,612.06,427.04,754.78,563.84,738.07,692.90,342.02,765.69,551.78
1926,433.96,832.25,298.60,493.93,472.44,498.51,538.06,298.32,650.90,490.60,622.24,420.25,667.50,548.47,349.19,342.49,678.20,588.44,418.77,816.74,372.88,622.05,838.67,808.04,315.40,682.73,779.84,917.64,483.17,459.09,511.10,463.46,503.59,666.10,484.49,715.19,462.03,602.76,622.49,475.15,441.59,520.71,373.92,602.71,515.87,318.56,678.75,674.19,672.71,698.48,500.36,408.20,298.37,658.05,685.51,416.54,455.61,482.00,574.91,647.06,760.96,640.12,647.35,458.98,573.66,280.83,773.61,673.42,626.85,548.72,897.20,712.28,468.39,605.34,555.29,730.69,284.99,484.15,594.66,752.68,510.22,494.34,716.05,689.78,446.85,627.82,459.22,587.37,499.71,358.63,633.58,483.48
1927,458.46,970.25,257.11,460.92,455.15,588.21,640.01,257.20,505.67,586.25,696.73,440.81,635.39,518.45,365.99,283.06,566.49,577.62,422.63,770.27,432.77,663.06,804.91,799.92,308.97,741.65,803.07,956.71,566.95,502.94,622.37,493.35,520.41,617.08,561.37,700.79,477.36,668.67,738.19,535.04,466.24,630.22,367.08,715.02,610.46,394.68,562.92,619.62,727.15,740.70,490.23,454.61,310.86,628.21,736.17,432.73,414.53,320.60,661.65,590.51,731.80,841.58,734.10,502.43,634.20,287.79,887.50,445.57,768.51,434.30,863.04,806.69,493.50,647.98,598.04,529.84,305.41,525.56,672.53,806.91,536.07,540.44,575.65,540.89,480.39,667.79,447.50,672.88,557.52,376.50,701.45,575.06
1928,437.96,729.19,326.26,495.07,489.94,631.55,661.30,228.22,570.04,520.58,637.81,399.31,626.57,545.73,350.61,300.06,587.82,568.64,407.68,760.26,397.48,627.59,729.78,752.36,279.24,660.22,598.14,793.26,588.61,506.01,548.88,524.94,502.36,622.44,544.76,676.26,443.35,638.65,554.96,492.25,452.99,565.74,360.67,748.05,579.52,327.31,577.35,636.84,669.01,684.78,499.79,378.78,298.84,619.08,781.86,447.38,434.98,433.36,601.44,622.13,651.76,817.46,756.59,426.39,598.63,273.52,633.30,503.55,801.19,474.47,817.35,712.49,436.76,557.30,578.84,567.43,302.07,479.84,613.30,786.96,507.10,576.53,594.90,573.92,376.06,626.69,397.00,676.01,506.55,342.42,675.53,639.88
1929,428.24,788.29,426.88,422.75,383.62,594.28,631.99,179.14,384.39,446.87,539.71,418.14,550.88,334.50,434.40,329.76,550.67,517.72,398.86,658.99,397.65,567.33,623.22,648.28,229.61,544.02,717.98,771.38,569.63,482.94,556.11,486.55,546.77,622.69,579.80,630.68,449.85,630.82,606.56,510.44,304.59,493.89,327.52,619.08,461.69,315.60,585.63,523.59,538.50,548.34,586.74,391.31,338.76,605.64,608.68,341.35,342.24,259.32,493.86,464.89,591.31,718.10,600.00,419.52,483.18,284.05,681.69,376.71,653.12,333.96,705.37,599.70,406.46,466.15,449.49,477.59,291.57,476.16,489.11,646.35,417.28,553.51,537.37,462.34,413.69,537.77,307.06,636.46,425.68,411.10,576.34,662.85
1930,435.00,865.07,339.53,529.97,513.65,501.03,571.26,234.11,471.07,511.98,657.15,463.16,612.53,414.44,390.90,294.94,569.66,546.78,417.60,772.78,385.04,647.59,716.35,798.91,274.31,677.49,946.47,792.25,529.44,575.16,510.92,563.53,502.41,624.14,554.46,705.64,478.30,655.85,659.98,553.01,356.55,576.80,354.34,660.08,503.46,326.03,568.39,557.04,673.06,688.85,448.75,397.75,311.69,600.63,708.94,457.43,420.22,325.82,585.78,546.28,718.09,622.79,700.43,437.63,520.92,263.72,740.21,510.06,687.10,448.15,843.12,737.46,428.68,569.03,503.04,565.69,292.08,552.23,576.44,773.98,441.52,597.60,594.73,557.49,471.86,628.56,390.30,647.47,473.57,359.76,688.35,559.82
1931,417.93,1009.41,328.28,348.82,330.26,528.14,616.69,241.91,413.28,577.47,667.33,437.86,725.66,388.01,402.88,290.02,539.71,591.30,370.19,957.76,395.37,587.89,950.39,725.74,314.87,692.11,627.92,1086.31,607.05,386.92,486.00,379.92,469.95,579.10,543.76,601.98,446.81,626.18,776.54,494.38,331.90,646.60,343.26,645.49,599.01,334.86,545.71,566.21,630.00,646.58,578.91,492.23,364.17,598.40,629.95,300.33,334.67,334.74,667.73,524.33,586.65,744.74,608.77,458.62,574.74,264.07,777.67,429.08,645.39,413.07,1040.22,682.37,589.69,499.47,536.29,476.40,307.22,443.47,645.96,678.05,399.06,480.57,499.31,496.91,504.20,583.33,374.06,650.97,498.95,375.02,607.62,603.62
