Variable:,pr
,Ghana,Ashanti,"Brong Ahafo",Central,Eastern,"Greater Accra",Northern,"Upper East","Upper West",Volta,Western
1928,1192.67,1275.21,1285.42,1113.26,1081.84,830.73,1168.56,1031.29,1125.80,1100.66,1389.53
1929,1355.43,1460.14,1459.07,1264.65,1314.44,1093.49,1309.82,1119.79,1190.57,1396.12,1496.33
1930,1250.08,1376.84,1278.94,1316.86,1310.85,1100.71,1165.90,977.74,1138.27,1259.86,1443.19
1931,1301.85,1491.50,1365.65,1443.15,1335.86,1111.42,1148.18,989.99,1078.81,1260.82,1716.51
1932,1155.53,1211.93,1180.03,1138.47,1125.05,979.52,1091.79,1035.37,1081.79,1134.51,1419.32
1933,1372.44,1530.30,1420.52,1434.40,1448.61,1251.11,1211.49,1052.72,1196.17,1518.70,1658.32
1934,1307.54,1372.43,1317.02,1321.49,1311.17,1152.74,1266.80,1056.17,1142.72,1365.65,1527.79
1935,1293.96,1302.20,1294.36,1223.67,1252.67,1033.17,1271.01,1293.40,1320.88,1323.46,1405.83
1936,1142.79,1233.71,1184.42,1135.09,1112.28,941.57,1085.64,1148.80,1006.21,1115.54,1333.81
1937,1109.56,1150.07,1153.30,1078.58,1043.49,832.86,1071.21,1064.18,989.64,1064.78,1362.40
1938,1194.39,1307.81,1295.93,1129.11,1095.41,889.53,1108.69,1069.44,1059.28,1117.18,1527.70
1939,1232.49,1310.78,1249.11,1202.82,1313.74,1107.09,1169.31,1081.00,1060.50,1350.14,1363.61
1940,1183.09,1307.63,1237.16,1225.46,1244.97,1130.47,1068.58,899.86,1002.55,1286.60,1394.90
1941,1291.97,1457.06,1325.26,1378.84,1272.62,1057.65,1183.63,1039.20,1045.30,1280.03,1693.35
1942,1160.76,1317.46,1195.13,1269.94,1208.77,1074.92,1027.57,930.44,996.38,1196.21,1442.72
1943,1256.13,1428.19,1299.22,1379.93,1301.03,1037.92,1065.17,1081.41,1084.20,1303.35,1668.37
1944,1224.47,1266.79,1269.36,1187.32,1239.56,1127.60,1174.83,958.42,1029.39,1367.53,1392.91
1945,1151.52,1190.70,1155.25,1050.61,1104.15,885.51,1113.86,1064.06,1112.05,1223.17,1333.88
1946,1030.57,1085.29,1024.83,1021.48,987.17,814.73,974.42,972.03,974.01,1093.43,1229.94
1947,1355.56,1587.79,1484.94,1376.94,1541.82,1232.25,1167.06,877.92,933.19,1627.43,1581.09
1948,1089.67,1136.14,1064.70,1111.32,1094.83,905.08,1045.41,983.91,935.22,1190.78,1298.30
1949,1294.14,1404.12,1393.91,1152.51,1308.15,1130.78,1240.34,1006.06,1095.98,1448.39,1367.27
1950,997.05,1061.02,975.47,1052.60,971.03,933.56,895.58,1090.77,964.15,1004.07,1255.71
1951,1372.86,1459.05,1356.47,1369.27,1360.35,1164.83,1319.52,1271.68,1332.26,1350.19,1598.84
1952,1337.23,1534.26,1317.56,1578.78,1378.98,1228.53,1156.46,1230.31,1123.42,1297.68,1821.07
1953,1189.25,1242.20,1165.62,1151.05,1136.98,999.05,1198.43,1043.74,1040.26,1179.18,1410.85
1954,1252.67,1380.36,1239.76,1378.47,1285.25,1111.00,1114.22,1115.70,1112.53,1193.90,1701.76
1955,1370.94,1433.77,1357.86,1427.03,1299.44,1269.19,1328.62,1251.72,1198.40,1319.72,1723.56
1956,1151.10,1248.95,1097.83,1326.51,1142.05,1053.47,1031.73,1154.19,1026.37,1071.94,1603.43
1957,1430.63,1562.38,1509.61,1281.37,1333.21,1049.54,1406.63,1330.03,1242.97,1447.89,1596.77
1958,1006.43,1102.37,1009.09,1060.46,1051.83,942.46,921.39,995.18,927.06,1020.73,1157.28
1959,1247.88,1405.59,1343.19,1263.62,1301.84,1193.64,1115.38,908.74,950.33,1316.31,1567.56
1960,1331.75,1476.87,1377.93,1392.26,1327.65,1151.81,1207.30,1065.29,990.34,1429.43,1752.11
1961,1079.01,1225.07,1041.55,1310.08,1194.76,1123.91,918.49,925.68,867.15,1144.76,1430.77
1962,1407.74,1512.21,1411.89,1610.54,1401.01,1339.10,1300.07,1138.53,1217.41,1427.30,1769.10
1963,1617.82,1771.18,1675.16,1703.49,1644.27,1402.80,1526.82,1280.82,1399.16,1642.47,1878.70
1964,1179.17,1276.27,1209.55,1206.94,1182.73,935.46,1094.68,1110.91,1086.79,1186.43,1388.49
1965,1258.68,1411.04,1274.43,1371.87,1423.25,1265.23,1140.62,905.40,1090.44,1331.20,1439.95
1966,1214.34,1434.16,1277.35,1200.38,1264.57,1011.89,1090.90,1008.20,1037.16,1235.35,1436.15
1967,1129.14,1185.07,1070.02,1198.82,1128.72,1001.06,1105.04,1006.77,916.61,1209.79,1372.17
1968,1722.66,2029.03,1820.69,1935.94,1850.32,1654.05,1469.98,1282.01,1373.89,1750.79,2212.07
1969,1207.89,1235.69,1184.03,1216.09,1090.16,978.83,1200.50,1070.86,1252.35,1156.92,1424.12
1970,1075.33,1172.55,1026.23,1183.59,1135.00,1084.15,977.68,963.75,892.05,1163.29,1356.53
1971,1225.89,1297.76,1240.20,1286.51,1249.52,1086.34,1197.50,1050.70,1046.95,1291.48,1335.96
1972,1138.03,1252.40,1209.03,1117.14,1105.19,937.27,1091.66,926.75,942.87,1108.32,1358.02
1973,1148.17,1225.28,1170.96,1281.83,1167.37,1068.16,1054.63,977.18,893.08,1194.71,1466.26
1974,1234.76,1341.28,1197.41,1531.19,1288.36,1165.94,1132.06,1048.49,971.01,1264.55,1584.07
1975,1177.05,1282.05,1228.92,1178.25,1136.63,1010.54,1101.97,955.34,977.73,1198.30,1475.42
1976,1115.68,1167.48,1157.25,1037.95,1009.64,852.91,1092.90,941.10,935.38,1124.37,1411.29
1977,955.10,983.19,977.63,877.94,869.69,713.75,996.33,766.46,974.47,859.31,1041.06
1978,1142.95,1204.04,1139.68,1063.95,1091.00,850.10,1115.11,989.21,995.31,1174.30,1427.71
1979,1374.37,1518.54,1378.84,1599.47,1447.04,1294.69,1232.70,1064.11,1083.10,1431.47,1786.21
1980,1207.43,1326.47,1230.46,1325.29,1286.05,1208.96,1077.66,1040.94,979.39,1288.57,1483.85
1981,1117.87,1272.44,1152.24,1238.85,1212.97,1036.72,1025.30,767.06,830.99,1171.06,1365.29
1982,1063.56,1023.92,993.62,1132.50,999.14,960.61,1061.21,1001.61,1039.78,1019.38,1344.13
1983,827.00,879.83,844.67,711.19,799.88,656.92,795.29,818.26,710.61,883.55,974.39
1984,1223.28,1458.42,1404.82,1199.58,1333.27,1031.99,1061.95,803.36,835.36,1373.30,1426.63
1985,1199.68,1387.22,1321.77,1203.47,1299.15,1038.31,1083.95,864.16,917.51,1347.66,1299.75
1986,1075.13,1135.46,1081.43,980.72,1037.03,810.64,1078.10,1069.49,985.91,1117.37,1137.74
1987,1201.49,1357.48,1226.60,1310.03,1313.78,1055.25,1044.79,951.91,954.32,1260.88,1578.04
1988,1151.16,1271.74,1154.03,1247.95,1206.31,1097.68,1063.68,996.61,897.82,1208.20,1408.01
1989,1301.42,1343.87,1437.52,1117.65,1227.50,1069.92,1308.00,1150.46,1110.47,1364.45,1328.93
1990,1017.22,1116.75,1108.15,936.01,991.60,860.24,970.68,758.10,823.94,1071.78,1173.77
1991,1284.51,1329.47,1304.93,1234.85,1281.27,1174.37,1327.56,1186.82,1036.70,1391.05,1256.04
1992,926.53,974.88,975.83,858.01,863.51,732.51,896.42,860.55,845.67,919.43,1082.71
1993,1069.70,1137.85,1103.18,1043.29,1023.73,889.80,1012.31,898.98,969.84,1061.27,1331.46
1994,1112.23,1150.84,1104.32,1136.27,999.19,847.91,1112.51,1116.37,968.37,1045.60,1374.28
1995,1172.39,1259.00,1188.43,1189.73,1251.49,1064.52,1093.70,965.48,1001.34,1306.30,1325.48
1996,1198.33,1270.71,1203.76,1233.45,1151.33,1005.30,1155.88,1031.62,1075.69,1140.56,1497.25
1997,1192.68,1251.13,1173.90,1368.05,1253.03,1183.15,1125.25,934.60,1032.79,1218.93,1438.53
1998,1007.06,958.46,976.85,895.91,990.32,861.13,1052.21,956.32,976.39,1098.61,1018.86
1999,1272.37,1327.94,1311.44,1188.18,1311.71,1124.09,1232.50,1054.55,1088.37,1441.55,1367.28
2000,1079.51,1108.56,1084.52,1101.15,1064.05,899.81,1072.83,897.24,952.13,1088.09,1249.98
2001,1070.58,1203.30,1150.75,1149.82,986.64,829.13,967.12,867.52,907.61,935.92,1491.16
2002,1175.30,1350.61,1257.69,1253.82,1251.40,1107.43,1046.13,839.04,862.86,1259.71,1445.23
2003,1235.29,1262.30,1210.76,1209.09,1198.78,1068.60,1226.50,1132.63,1120.66,1311.02,1399.87
2004,1131.46,1205.69,1153.45,1105.05,1169.51,1009.92,1077.87,992.24,972.91,1237.98,1255.87
2005,1112.30,1178.99,1114.88,1154.57,1127.85,1007.18,1064.27,989.02,968.95,1146.74,1293.63
2006,1124.85,1192.36,1167.99,1098.12,1094.34,953.72,1084.00,957.25,1033.93,1129.80,1290.96
2007,1279.12,1429.52,1269.21,1402.99,1400.60,1201.55,1149.71,1017.36,1012.24,1391.71,1589.82
2008,1320.89,1479.72,1339.22,1452.37,1379.86,1204.12,1200.84,1071.67,1026.09,1397.23,1649.84
2009,1216.90,1217.37,1234.36,1132.09,1154.70,1018.90,1245.17,1126.68,1116.68,1253.13,1297.77
2010,1288.11,1435.33,1262.08,1428.70,1390.66,1256.94,1135.64,1023.79,1045.86,1431.90,1651.48
2011,1161.34,1294.18,1192.20,1227.03,1223.93,1066.95,1074.11,951.34,939.15,1237.03,1350.72
2012,1209.35,1332.38,1223.83,1296.49,1250.87,1092.72,1111.51,987.97,1061.49,1214.77,1484.86
2013,1065.19,1127.62,1087.71,1074.86,1113.02,1003.49,1032.45,916.73,963.32,1109.65,1121.60
2014,1202.40,1259.51,1202.28,1191.73,1251.18,1114.85,1149.58,1024.26,1089.31,1315.71,1331.02
2015,1063.64,1142.41,1053.19,1106.71,1131.97,997.58,1000.01,956.81,916.91,1108.17,1239.60
2016,1159.15,1212.60,1162.94,1179.79,1186.91,1068.65,1141.92,1029.59,1090.14,1187.03,1209.33
2017,1097.89,1229.39,1059.91,1300.75,1210.37,1106.17,957.11,895.54,883.74,1171.26,1441.34
2018,1268.70,1313.52,1299.95,1223.22,1209.80,1036.00,1226.93,1057.99,1169.54,1288.86,1528.22
2019,1398.57,1493.42,1392.13,1445.59,1527.58,1388.63,1308.21,1120.83,1247.61,1563.54,1530.63
2020,1192.40,1253.28,1198.69,1188.53,1118.30,954.03,1185.88,1117.88,1100.12,1124.97,1393.40
