Variable:,pr
,Ireland,Carlow,Cavan,Clare,Cork,Donegal,Dublin,Galway,Kerry,Kildare,Kilkenny,Laois,Leitrim,Limerick,Longford,Louth,Mayo,Meath,Monaghan,Munster,Offaly,Roscommon,Sligo,Tipperary,Waterford,Westmeath,Wexford,Wicklow
1929,1167.59,1127.35,1040.89,1205.80,1329.24,1450.66,970.60,1144.28,1464.91,871.08,1059.96,945.68,1235.42,1207.00,984.91,932.07,1256.74,859.09,970.79,970.79,886.90,1072.14,1243.62,1126.28,1187.25,889.96,1183.65,1042.92
1930,1305.31,1311.46,1176.25,1341.37,1452.55,1542.41,1117.02,1299.64,1614.54,997.27,1214.95,1095.72,1384.27,1337.54,1126.81,1072.43,1384.40,980.87,1087.61,1087.61,1029.81,1207.98,1383.16,1257.81,1317.37,1029.65,1347.71,1202.53
1931,1165.90,1122.30,1116.74,1198.84,1271.56,1462.62,992.76,1153.65,1406.34,891.88,1050.88,948.76,1303.26,1183.16,1037.77,1012.60,1242.52,925.60,1053.08,1053.08,897.51,1069.04,1273.68,1111.93,1163.84,934.95,1155.69,1031.49
1932,1044.07,1013.20,1007.70,1051.53,1125.20,1342.43,892.46,1037.10,1240.89,786.40,937.69,849.57,1173.77,1035.81,940.01,914.43,1142.92,829.37,956.20,956.20,801.63,977.13,1162.27,977.46,1018.99,840.32,1037.30,928.95
1933,827.66,809.98,771.73,842.93,910.97,1053.79,700.95,808.76,1007.62,632.07,749.32,678.66,910.71,842.05,724.73,687.64,887.07,635.50,725.92,725.92,644.47,754.00,900.82,789.31,829.50,654.85,847.02,751.61
1934,1114.39,1008.14,1059.56,1144.73,1227.50,1475.51,929.63,1099.86,1369.40,814.17,949.55,859.18,1278.08,1126.99,980.39,934.93,1261.23,854.19,980.15,980.15,815.68,1031.04,1293.76,1030.97,1076.35,861.42,1039.58,954.94
1935,1036.69,961.00,995.29,1046.16,1081.95,1404.69,851.80,1051.73,1218.17,752.64,894.29,823.93,1199.52,1009.72,943.27,866.33,1210.64,791.76,919.54,919.54,794.24,1018.13,1228.93,943.25,972.24,825.01,979.31,891.97
1936,1088.77,1007.96,1069.00,1071.55,1151.54,1457.99,921.76,1067.69,1274.39,802.91,941.98,856.01,1281.95,1062.98,1010.05,946.97,1257.19,855.66,991.29,991.29,815.64,1060.22,1294.03,999.30,1039.49,869.46,1046.94,954.29
1937,1103.48,1074.60,1006.10,1137.40,1258.63,1335.76,915.98,1079.66,1391.40,817.58,999.08,889.90,1186.45,1143.45,946.60,919.51,1183.98,837.74,947.69,947.69,828.52,1000.87,1189.78,1058.86,1113.99,849.27,1114.37,980.22
1938,1222.87,1116.27,1147.48,1250.53,1319.55,1606.94,970.92,1227.59,1474.83,884.33,1049.33,965.87,1408.71,1228.84,1083.22,970.88,1427.37,900.95,1040.89,1040.89,933.06,1174.42,1452.37,1136.94,1174.39,954.87,1132.91,1026.00
1939,1054.30,1014.68,1020.96,1050.01,1134.24,1365.77,907.77,1030.22,1265.05,796.66,944.93,849.54,1193.09,1045.45,954.38,950.44,1152.84,849.87,967.82,967.82,799.02,988.67,1186.12,982.77,1029.06,842.46,1052.27,943.84
1940,1121.63,1051.63,1151.34,1076.66,1162.26,1600.49,973.69,1080.20,1290.40,849.40,974.14,877.47,1359.57,1059.29,1064.06,1051.21,1253.33,930.76,1099.85,1099.85,832.00,1078.06,1334.17,1008.33,1061.20,909.67,1090.96,991.70
1941,980.53,934.63,930.33,1009.33,1095.45,1222.11,826.41,949.79,1221.10,731.58,854.08,781.27,1085.98,1005.27,872.01,887.40,1048.72,786.95,915.20,915.20,747.34,899.49,1065.97,924.45,954.65,779.59,970.71,862.07
1942,1065.57,936.66,1103.16,1037.91,1057.24,1556.57,892.25,1092.84,1185.97,774.11,858.74,818.16,1327.02,996.82,1012.41,969.52,1280.06,855.47,1054.32,1054.32,821.95,1083.74,1334.08,934.33,931.93,881.83,964.45,894.25
1943,1083.74,958.83,1030.64,1104.72,1168.88,1437.09,839.35,1106.88,1301.96,757.34,925.66,839.53,1263.73,1079.56,978.77,897.01,1261.01,796.70,992.54,992.54,808.74,1050.01,1282.29,1009.57,1037.72,840.17,1019.15,881.71
1944,1093.00,973.46,1065.31,1120.33,1142.94,1446.13,882.02,1139.47,1279.65,807.11,905.58,865.34,1260.13,1088.03,1014.21,949.80,1254.41,850.55,1010.75,1010.75,867.16,1069.35,1254.28,1019.49,985.44,893.84,1002.29,913.51
1945,1023.69,917.58,940.24,1067.61,1131.86,1329.00,782.60,1040.17,1252.98,729.18,895.84,813.80,1152.38,1043.57,922.24,831.09,1146.10,742.52,914.95,914.95,781.45,974.60,1164.21,973.35,990.25,787.99,977.70,834.41
1946,1230.70,1222.33,1146.22,1268.34,1352.52,1435.99,1076.02,1212.30,1481.18,999.42,1139.13,1053.38,1314.26,1257.53,1098.18,1048.20,1286.98,986.66,1048.25,1048.25,997.26,1143.60,1287.62,1201.73,1239.42,1012.65,1252.58,1139.86
1947,1245.57,1288.75,1157.47,1257.79,1360.19,1420.66,1100.41,1230.84,1490.02,1014.16,1174.55,1061.56,1330.85,1251.67,1130.80,1048.26,1311.82,990.74,1051.65,1051.65,1003.91,1159.09,1312.76,1203.61,1278.28,1028.03,1320.05,1187.82
1948,1239.09,1192.16,1168.04,1264.78,1344.70,1528.72,1057.84,1239.71,1467.08,967.08,1107.74,1026.88,1353.53,1246.51,1130.45,1065.96,1343.97,987.12,1095.78,1095.78,993.02,1165.01,1333.51,1191.37,1215.16,1013.41,1237.13,1116.64
1949,1030.38,847.31,982.23,1101.32,1045.19,1433.43,773.97,1116.55,1222.42,705.85,811.48,776.16,1232.09,1016.23,943.25,843.56,1275.59,757.02,922.49,922.49,785.42,1031.63,1278.74,924.59,877.20,806.27,879.26,791.46
1950,1185.26,1053.70,1157.26,1207.16,1227.18,1666.72,948.94,1210.63,1384.56,866.78,999.11,927.87,1401.61,1155.37,1067.68,1013.82,1384.79,912.64,1086.61,1086.61,908.65,1142.01,1437.90,1075.64,1081.44,943.55,1097.69,980.45
1951,1173.84,1098.18,1053.02,1231.68,1340.39,1441.05,953.04,1171.34,1486.40,861.36,1044.59,930.77,1250.31,1219.39,989.62,953.66,1280.32,864.67,987.09,987.09,882.90,1071.17,1269.26,1126.97,1194.17,890.80,1147.73,1016.29
1952,911.95,870.88,870.52,939.12,933.19,1217.51,774.26,924.21,1046.78,697.91,810.88,747.87,1020.50,898.02,811.00,796.65,1042.25,718.82,825.81,825.81,718.60,863.38,1046.79,853.42,871.58,734.97,901.62,811.73
1953,909.68,827.56,807.23,963.50,1007.66,1183.67,717.76,918.56,1134.26,666.48,801.55,734.79,1003.05,937.06,771.31,705.51,1016.23,654.12,733.90,733.90,703.10,833.47,1057.52,864.41,884.32,704.19,854.62,759.36
1954,1253.06,1105.04,1227.57,1278.30,1236.98,1742.01,1049.65,1309.75,1400.33,938.43,1042.46,1002.12,1506.05,1196.81,1191.27,1080.77,1499.65,985.95,1122.14,1122.14,1011.58,1262.06,1542.60,1128.77,1104.38,1053.92,1145.86,1061.65
1955,974.21,955.09,945.07,975.82,1032.57,1232.17,847.26,973.00,1114.53,749.12,873.38,791.52,1113.28,958.02,886.89,881.27,1065.41,790.82,901.16,901.16,757.66,934.82,1110.07,911.87,969.72,791.29,982.63,897.00
1956,1073.75,978.13,1018.88,1115.91,1162.59,1379.72,905.66,1087.69,1265.56,811.68,941.92,871.27,1185.42,1098.85,950.56,914.82,1172.71,850.25,951.57,951.57,844.47,998.44,1185.25,1032.97,1055.95,861.31,1010.41,932.62
1957,1087.99,1047.05,1063.32,1080.50,1143.80,1466.35,952.82,1062.40,1272.72,833.83,982.74,881.98,1232.28,1060.45,959.15,1005.68,1199.88,888.87,1024.36,1024.36,835.34,1007.63,1231.06,1012.67,1068.70,876.27,1089.92,985.26
1958,1257.18,1320.65,1184.54,1220.60,1393.10,1504.61,1153.24,1183.79,1469.81,1035.25,1227.95,1090.34,1330.10,1242.87,1086.83,1156.69,1288.35,1057.76,1134.80,1134.80,1002.38,1134.12,1308.48,1228.20,1347.68,1019.58,1373.36,1224.20
1959,1079.39,923.76,1003.51,1170.14,1188.76,1341.28,852.74,1118.94,1353.07,753.50,883.51,833.22,1221.13,1127.15,966.55,863.56,1222.81,796.34,916.81,916.81,819.10,1038.79,1220.50,1022.92,1004.39,841.27,967.93,878.28
1960,1344.80,1401.41,1227.52,1372.83,1488.34,1546.46,1235.11,1299.10,1624.53,1118.31,1290.13,1179.29,1405.27,1366.74,1189.80,1157.19,1357.74,1094.29,1140.11,1140.11,1090.43,1217.65,1365.92,1326.90,1392.63,1090.85,1425.90,1310.23
1961,1082.85,943.02,1055.80,1106.58,1115.52,1491.79,852.32,1132.64,1251.45,761.97,901.16,845.11,1281.28,1052.79,994.18,905.95,1301.41,817.23,981.30,981.30,839.63,1073.65,1311.49,979.58,980.14,870.41,980.20,883.10
1962,1053.80,1006.30,1033.75,1071.28,1092.75,1385.41,875.08,1057.45,1226.19,788.55,939.30,855.78,1226.97,1043.21,978.84,887.47,1175.80,819.42,948.84,948.84,814.80,1013.12,1206.93,989.42,1018.21,857.51,1032.47,924.18
1963,1032.65,1040.20,998.57,1004.38,1136.19,1351.60,869.57,988.20,1237.23,775.57,959.24,839.03,1152.05,1009.30,903.18,909.95,1111.67,797.87,976.97,976.97,782.43,937.89,1151.78,965.11,1068.39,815.95,1088.29,945.49
1964,1090.76,991.04,1030.02,1132.61,1211.19,1371.07,871.45,1110.06,1332.26,774.68,938.47,853.18,1221.81,1113.50,979.73,897.43,1204.24,821.49,958.69,958.69,826.04,1048.60,1223.16,1033.81,1074.47,862.66,1029.58,908.12
1965,1212.93,1198.10,1219.26,1181.68,1261.13,1558.88,1073.14,1187.55,1365.48,960.29,1102.06,1013.30,1411.87,1172.90,1159.11,1059.39,1317.47,989.86,1112.39,1112.39,968.18,1177.77,1371.68,1144.36,1199.51,1026.48,1220.61,1120.96
1966,1232.38,1229.30,1245.92,1195.26,1316.68,1547.42,1094.77,1184.48,1415.18,964.94,1149.61,1028.13,1397.74,1193.08,1148.12,1178.73,1300.85,1051.87,1225.14,1225.14,966.62,1152.34,1337.62,1154.82,1250.27,1027.64,1298.06,1147.72
1967,1120.27,1051.75,1111.50,1111.90,1159.25,1557.75,969.79,1109.85,1292.42,856.55,965.40,887.08,1314.08,1078.83,1039.44,999.24,1261.51,895.02,1068.66,1068.66,863.36,1080.96,1305.58,1012.98,1053.28,908.35,1089.90,1001.98
1968,1140.17,1097.34,1097.45,1149.46,1200.49,1418.80,970.12,1150.05,1338.68,875.15,1023.44,936.94,1306.35,1121.90,1061.17,949.71,1271.27,889.02,993.17,993.17,900.39,1117.98,1291.59,1068.00,1104.93,939.38,1125.33,1019.26
1969,940.20,841.56,922.65,937.96,1012.87,1312.69,822.90,921.83,1113.55,711.47,778.78,723.15,1085.80,929.08,828.94,855.75,1053.87,765.74,882.51,882.51,701.74,866.13,1087.87,859.06,893.54,740.95,887.74,826.09
1970,1085.55,954.99,1074.15,1112.10,1136.56,1496.34,885.86,1107.64,1284.42,788.02,905.86,845.27,1269.37,1070.99,997.11,927.61,1240.93,843.51,1012.54,1012.54,823.39,1046.90,1274.10,992.48,1006.50,875.39,995.53,907.11
1971,837.33,753.79,797.00,823.65,898.89,1189.49,697.32,831.99,969.95,616.99,715.10,654.88,966.12,815.98,720.18,720.57,963.60,641.79,756.21,756.21,632.61,774.87,1001.04,778.20,823.57,649.14,804.44,715.26
1972,1068.64,1070.70,978.07,1087.88,1187.37,1349.57,894.83,1026.29,1335.54,805.41,988.53,871.72,1175.61,1088.81,922.98,854.82,1123.27,792.83,892.14,892.14,812.22,967.63,1164.10,1023.40,1098.91,826.59,1133.88,985.57
1973,1020.27,918.89,928.00,1083.52,1117.77,1301.97,817.59,1048.94,1244.16,737.84,867.75,796.93,1115.97,1062.26,884.00,808.58,1153.38,752.72,846.10,846.10,776.74,957.23,1133.83,978.15,991.26,786.63,969.21,866.62
1974,1163.32,1107.00,1089.45,1200.75,1285.89,1504.22,904.92,1157.64,1450.86,824.83,1015.63,916.05,1328.67,1181.32,1029.55,925.89,1290.01,842.51,999.48,999.48,870.40,1088.80,1326.15,1092.99,1129.56,897.72,1133.31,989.72
1975,917.53,814.77,831.41,973.51,1000.79,1174.02,751.56,950.16,1134.84,664.89,768.67,719.37,1012.61,941.39,785.23,751.86,1056.36,681.81,756.98,756.98,705.21,870.16,1044.92,865.09,864.56,713.48,837.82,763.36
1976,1002.11,904.22,977.45,980.71,1124.91,1353.00,868.51,963.17,1260.37,743.50,838.12,760.00,1165.24,987.67,880.07,907.29,1098.69,799.46,940.31,940.31,729.85,927.02,1152.48,906.51,959.86,779.03,948.00,875.52
1977,1155.80,1185.55,1043.15,1130.90,1306.28,1438.16,971.31,1109.97,1407.56,864.01,1107.89,952.87,1262.06,1139.63,983.29,929.36,1243.84,850.72,971.42,971.42,867.35,1048.96,1273.15,1107.72,1238.51,876.92,1259.57,1080.93
1978,1083.82,1002.68,1019.27,1082.96,1211.57,1440.46,930.31,1056.38,1333.14,811.84,935.92,842.30,1220.17,1085.16,951.13,914.44,1206.01,829.90,951.52,951.52,794.10,995.90,1230.08,997.31,1060.35,835.25,1058.39,969.45
1979,1185.46,1061.14,1105.28,1247.89,1313.83,1525.59,980.90,1189.60,1487.19,869.66,1009.52,930.92,1311.04,1224.11,1033.50,987.19,1309.49,901.07,1029.92,1029.92,895.71,1092.27,1327.19,1116.38,1125.88,925.44,1105.21,1003.85
1980,1209.28,1122.01,1140.61,1213.52,1336.55,1542.61,1023.65,1204.67,1494.08,903.17,1061.52,964.43,1349.09,1191.57,1055.64,1034.21,1345.65,934.13,1076.94,1076.94,926.86,1135.85,1360.88,1118.84,1180.72,955.67,1175.41,1056.19
1981,1152.25,1096.71,1106.41,1122.92,1250.72,1544.65,1001.86,1116.76,1367.55,877.55,1022.77,909.96,1312.37,1124.53,1019.42,1020.12,1294.54,899.36,1067.64,1067.64,855.57,1069.68,1331.02,1059.10,1144.73,898.76,1155.61,1043.56
1982,1261.14,1174.27,1134.74,1314.25,1480.26,1574.54,992.52,1237.32,1643.54,896.06,1097.67,972.81,1360.12,1311.64,1075.69,983.54,1363.91,901.99,1044.52,1044.52,923.45,1141.56,1368.73,1188.82,1265.63,947.11,1248.80,1081.92
1983,1111.65,1060.23,1025.47,1153.27,1215.13,1356.19,933.16,1114.86,1359.13,856.56,992.30,924.78,1223.68,1137.68,1005.68,862.42,1210.68,837.56,896.42,896.42,898.86,1052.90,1215.09,1074.51,1070.74,902.63,1067.31,979.46
1984,1095.53,982.32,1061.29,1089.32,1186.69,1472.58,884.04,1105.20,1322.99,797.91,920.98,848.43,1278.66,1075.65,986.84,909.99,1268.49,832.45,971.57,971.57,814.09,1043.74,1294.67,996.77,1020.02,867.74,1032.33,926.98
1985,1138.63,1019.29,1072.74,1169.89,1234.00,1498.67,915.55,1168.51,1377.83,822.01,976.30,889.22,1309.67,1129.12,1009.48,921.89,1304.84,845.13,990.48,990.48,861.55,1092.47,1334.95,1040.19,1089.24,889.45,1070.12,955.83
1986,1236.80,1109.85,1163.75,1267.23,1316.74,1615.61,985.91,1272.10,1478.24,901.28,1046.11,971.50,1444.72,1221.67,1117.85,990.87,1458.79,920.52,1045.28,1045.28,946.76,1201.53,1479.54,1128.63,1156.28,980.68,1155.28,1037.54
1987,1005.88,959.28,949.81,1011.30,1110.03,1302.09,860.27,971.63,1227.03,763.63,903.56,808.93,1118.02,1005.69,885.57,858.52,1093.47,786.30,889.26,889.26,766.86,916.94,1125.46,943.82,1013.73,798.06,1016.88,900.88
1988,1199.51,1065.35,1124.12,1234.43,1327.14,1595.00,939.78,1200.34,1472.26,849.85,1038.00,931.45,1364.87,1213.98,1051.38,966.76,1353.97,874.28,1065.29,1065.29,884.15,1137.45,1373.69,1129.68,1187.18,914.60,1139.97,988.14
1989,1028.07,899.21,934.47,1074.78,1148.20,1380.54,776.93,1055.19,1286.96,711.78,869.68,774.60,1174.77,1038.49,894.12,770.57,1205.59,713.15,848.37,848.37,739.06,966.65,1205.12,932.16,987.50,765.61,967.67,834.49
1990,1161.25,1017.68,1164.62,1136.40,1170.29,1712.00,904.29,1216.72,1318.26,838.08,926.21,884.63,1439.88,1083.34,1089.69,973.36,1438.68,883.01,1066.78,1066.78,874.61,1167.66,1462.03,1005.90,1001.69,933.26,1034.37,950.25
1991,1045.13,965.06,969.66,1061.98,1133.44,1405.15,834.20,1053.95,1267.36,764.22,897.65,816.79,1197.56,1040.71,916.91,819.43,1205.83,760.93,867.84,867.84,785.72,991.80,1220.13,961.75,1000.21,810.88,1013.85,896.74
1992,1100.19,908.97,1066.00,1126.25,1143.96,1618.30,817.04,1157.64,1305.78,749.31,875.30,808.12,1345.49,1069.15,993.77,889.26,1358.54,798.08,983.45,983.45,793.73,1090.81,1387.87,960.94,974.17,843.47,957.98,844.37
1993,1195.07,1175.37,1127.61,1199.47,1302.59,1508.34,1033.86,1155.77,1428.20,926.55,1091.14,985.28,1331.04,1194.43,1071.93,1019.52,1288.28,945.05,1046.59,1046.59,929.35,1106.27,1328.18,1133.93,1200.13,961.76,1227.17,1097.19
1994,1276.72,1196.71,1116.92,1336.15,1471.60,1571.16,1011.22,1269.16,1626.29,920.95,1142.43,1011.09,1379.51,1331.04,1080.77,957.92,1411.28,896.30,1004.75,1004.75,956.15,1157.22,1405.44,1227.98,1300.80,963.14,1278.94,1095.67
1995,1131.55,1040.46,1066.97,1150.29,1240.68,1483.05,908.93,1128.40,1393.94,819.80,971.79,879.17,1278.09,1132.52,997.57,931.95,1289.00,852.89,982.38,982.38,849.47,1060.17,1295.74,1050.82,1098.49,886.77,1088.96,961.40
1996,1119.31,1065.47,1023.64,1149.47,1277.21,1382.14,915.81,1097.54,1408.80,837.40,1004.49,898.55,1207.98,1148.61,973.48,919.36,1207.30,838.75,968.20,968.20,847.88,1006.24,1199.88,1071.42,1138.75,868.17,1124.04,976.05
1997,1116.38,1026.23,1033.65,1157.76,1222.65,1429.32,882.48,1139.89,1375.43,816.17,973.23,882.38,1257.74,1121.05,996.52,891.46,1253.08,829.47,941.11,941.11,846.69,1053.51,1270.73,1038.44,1082.66,871.61,1079.20,937.49
1998,1279.63,1175.99,1181.44,1318.39,1405.08,1632.68,1037.92,1300.23,1572.24,946.23,1107.10,1016.70,1425.10,1289.30,1135.13,1033.25,1447.08,959.92,1088.25,1088.25,984.49,1209.29,1443.27,1188.47,1234.00,1007.27,1238.35,1092.78
1999,1226.25,1084.14,1173.29,1262.81,1312.60,1668.30,974.03,1257.13,1480.35,876.39,1017.64,937.12,1434.47,1210.75,1096.67,1015.12,1435.14,926.54,1088.21,1088.21,918.30,1184.12,1468.22,1100.29,1133.78,961.89,1120.59,1011.52
2000,1252.50,1172.88,1175.44,1268.35,1367.49,1623.52,1069.08,1241.04,1521.80,937.18,1086.92,990.48,1411.81,1249.30,1112.20,1062.54,1406.93,963.91,1091.87,1091.87,949.67,1178.36,1424.17,1150.73,1199.98,982.66,1235.46,1126.06
2001,944.65,915.35,876.84,957.30,1037.04,1189.45,800.71,939.53,1142.89,717.09,858.12,768.23,1043.82,942.91,830.84,793.67,1028.67,723.15,824.23,824.23,726.88,878.37,1044.85,892.46,954.12,744.17,955.34,847.99
2002,1420.77,1345.34,1313.81,1458.49,1588.82,1759.13,1188.16,1412.73,1748.92,1061.14,1261.88,1136.61,1564.43,1448.27,1246.12,1178.46,1537.22,1072.77,1223.30,1223.30,1087.95,1311.35,1562.97,1356.08,1429.58,1115.05,1408.32,1259.76
2003,975.26,894.66,907.91,1009.42,1085.57,1231.49,800.83,980.49,1209.13,715.79,840.90,766.55,1089.90,995.85,863.04,799.28,1074.76,735.00,844.75,844.75,738.00,909.92,1085.84,922.78,950.42,763.51,928.17,840.53
2004,1085.61,1013.97,1036.97,1094.03,1166.41,1452.29,895.88,1085.91,1292.92,797.99,951.69,858.85,1240.12,1070.90,976.01,923.77,1227.78,831.44,967.05,967.05,818.60,1029.52,1244.80,1005.91,1057.21,858.56,1056.11,942.20
