Variable:,pr
,Georgia,"Abkhazia Aut. Rep.","Adjara Aut. Rep.",Guria,Imereti,Kakheti,"Kvemo Kartli",Mtskheta-Mtianeti,"Racha-Lechkhumi and Kvemo (lower) Svaneti","Samergelo and Zemo (upper) Svaneti",Samtskhe-Javakheti,"Shida Kartli",Tbilisi
1933,1009.99,1409.48,1379.50,1412.71,1100.37,703.70,648.28,953.99,1047.30,1408.80,759.17,843.59,618.90
1934,840.32,1156.65,1148.93,1180.03,882.50,563.39,597.16,784.65,851.30,1155.79,695.78,710.11,561.30
1935,779.32,915.97,979.25,1013.21,799.70,668.41,583.42,801.11,789.28,1000.20,610.44,694.71,559.20
1936,1213.28,1506.39,1552.16,1613.89,1271.52,936.29,917.02,1222.66,1239.52,1598.46,949.69,1071.56,883.50
1937,931.06,1230.90,1131.58,1153.02,915.33,791.22,721.05,923.64,921.19,1175.89,728.61,796.76,685.40
1938,903.34,1151.84,1264.62,1255.78,962.81,692.89,666.25,880.44,877.92,1154.32,737.94,782.94,630.90
1939,1177.56,1629.37,1558.47,1641.26,1266.62,813.72,769.28,1135.58,1231.27,1638.81,888.48,1007.31,751.70
1940,1063.12,1407.99,1387.93,1431.33,1141.13,789.49,744.88,1038.93,1079.50,1442.63,808.53,912.21,717.80
1941,1020.80,1507.16,1518.93,1547.62,1164.94,644.11,611.83,877.42,1032.61,1483.75,769.19,798.41,590.10
1942,931.52,1178.95,1195.51,1227.21,891.77,840.20,720.23,965.33,866.72,1174.36,689.41,793.38,720.80
1943,891.01,1121.48,1147.44,1183.29,916.49,758.84,645.15,911.00,860.24,1150.31,678.34,760.24,625.40
1944,949.54,1309.49,1136.77,1193.36,932.41,772.25,686.52,948.36,953.69,1240.30,716.87,823.17,671.10
1945,950.87,1386.40,1326.63,1372.68,1045.27,647.33,597.01,831.39,977.33,1352.68,707.23,773.51,561.90
1946,1010.62,1257.86,1241.66,1272.21,1024.50,861.34,784.55,1029.57,1020.70,1255.22,783.13,902.85,776.00
1947,887.33,1253.72,1151.15,1199.68,925.33,693.73,646.58,800.97,855.69,1178.34,681.56,736.08,615.80
1948,986.51,1300.59,1401.70,1436.79,1057.20,764.41,671.72,927.90,960.89,1352.20,728.54,805.71,668.20
1949,825.33,1049.32,1086.42,1115.16,857.24,670.96,605.29,813.90,823.75,1074.30,629.61,714.31,602.50
1950,971.02,1380.10,1366.86,1416.49,1062.75,650.56,625.16,850.95,1016.33,1400.95,724.29,788.01,591.30
1951,1105.05,1429.26,1532.68,1577.28,1234.76,744.26,814.34,984.80,1126.06,1493.94,955.26,954.64,746.90
1952,864.45,1170.32,1158.20,1188.49,947.60,613.78,594.88,833.05,902.09,1147.64,668.99,746.97,582.40
1953,1055.46,1434.94,1491.72,1537.53,1228.16,658.75,673.29,950.29,1148.62,1508.99,809.55,892.20,657.40
1954,836.96,1159.73,1053.23,1110.67,866.19,636.79,621.14,755.63,859.42,1134.10,649.15,692.88,588.00
1955,1045.21,1335.24,1364.91,1411.30,1096.39,892.29,791.90,982.34,1010.27,1350.69,795.63,876.23,762.50
1956,1068.39,1464.69,1514.90,1555.65,1171.47,799.62,681.33,966.20,1089.26,1498.36,772.95,853.00,667.40
1957,791.11,1063.54,1085.09,1109.24,873.06,609.84,511.83,722.68,805.10,1079.64,603.74,642.55,476.20
1958,1024.15,1480.03,1379.81,1434.89,1095.99,745.59,631.29,983.83,1022.66,1421.15,759.18,818.31,593.20
1959,1101.65,1330.60,1501.00,1537.14,1196.46,829.01,839.29,1061.40,1117.27,1445.67,902.42,968.53,808.60
1960,971.67,1368.28,1311.16,1354.40,1011.31,735.82,631.67,936.38,980.26,1346.76,696.88,780.70,635.20
1961,939.14,1365.32,1371.34,1426.15,1055.61,560.69,523.20,877.20,1022.71,1379.44,676.05,773.91,534.40
1962,880.96,1258.27,1247.03,1272.80,980.48,598.99,553.39,780.13,920.35,1232.62,674.76,713.26,517.30
1963,1234.27,1466.72,1497.33,1532.40,1257.53,1073.14,965.15,1300.57,1253.02,1542.36,938.13,1112.92,946.30
1964,945.27,1250.06,1316.16,1303.22,1002.06,708.94,638.17,940.92,966.80,1244.88,715.65,820.50,644.50
1965,881.59,1157.31,1157.00,1163.52,902.95,737.87,643.65,869.10,872.62,1130.03,661.36,742.80,608.00
1966,863.41,1220.48,1015.38,1069.62,886.08,655.67,586.81,851.07,929.19,1159.47,632.53,753.41,560.60
1967,1088.97,1512.90,1511.54,1548.05,1150.97,811.20,698.25,1027.79,1094.54,1526.78,812.11,860.72,666.80
1968,1002.01,1288.06,1362.60,1408.91,1126.91,732.41,686.80,933.18,1032.98,1357.43,793.70,858.58,652.30
1969,817.10,1055.60,1065.04,1099.59,860.78,694.45,561.92,793.80,811.11,1094.39,595.84,667.19,540.00
1970,990.76,1399.66,1328.37,1386.05,1072.42,705.81,603.64,948.96,1040.17,1400.39,712.47,814.20,607.20
1971,991.21,1329.07,1550.39,1568.53,1154.63,634.97,599.48,863.67,1032.03,1414.06,783.11,802.67,584.00
1972,960.57,1209.13,1253.99,1275.31,1016.73,752.37,745.69,917.67,955.24,1199.35,818.45,853.58,712.00
1973,914.01,1335.90,1232.94,1250.03,919.65,712.33,587.82,887.52,888.86,1254.67,644.78,728.26,562.80
1974,831.96,1056.77,1009.02,1041.85,801.96,745.47,621.48,860.00,812.19,1052.15,630.23,725.97,597.00
1975,969.91,1334.41,1306.28,1364.57,1062.59,677.97,654.31,883.25,1000.36,1319.96,776.55,828.53,627.60
1976,942.92,1252.53,1155.33,1194.37,950.89,765.68,701.92,941.67,951.84,1222.80,709.91,824.74,681.80
1977,978.50,1360.57,1219.38,1291.62,987.13,762.26,666.03,941.71,988.36,1333.69,747.64,822.28,633.40
1978,1055.51,1351.43,1439.17,1488.31,1198.18,767.89,696.40,1018.05,1125.36,1439.36,784.78,905.06,674.30
1979,916.94,1165.21,1205.56,1222.58,969.66,730.85,646.55,926.80,928.19,1169.25,726.08,805.16,628.40
1980,940.28,1434.19,1204.87,1309.27,983.47,679.49,569.53,864.99,955.45,1376.05,620.52,748.81,569.10
1981,968.41,1383.18,1298.42,1362.87,1011.52,757.16,629.35,872.18,985.77,1352.18,684.72,759.67,597.20
1982,1023.76,1324.07,1266.82,1358.09,1066.22,834.18,709.16,1027.12,1046.01,1370.16,747.27,888.24,686.80
1983,1053.67,1384.27,1396.82,1463.32,1184.11,762.14,756.78,938.64,1084.47,1427.77,840.28,902.46,723.00
1984,819.79,1114.46,980.36,1025.31,787.40,682.45,581.71,822.48,835.23,1099.72,616.64,684.45,566.90
1985,893.55,1271.23,1265.47,1293.08,957.23,618.72,567.66,816.41,920.76,1256.79,665.33,736.83,539.10
1986,851.83,1079.34,1149.38,1163.25,917.97,619.21,636.89,777.59,893.56,1118.20,723.19,752.30,602.20
1987,1067.25,1491.79,1346.81,1414.09,1172.24,733.54,727.20,1000.23,1129.04,1437.57,846.42,939.90,712.40
1988,1189.54,1619.36,1681.67,1726.53,1316.69,841.73,798.57,1078.84,1213.22,1619.45,921.88,998.23,767.40
1989,964.38,1478.30,1362.74,1422.10,1060.74,593.79,564.41,842.23,1028.23,1420.68,683.78,780.88,537.40
1990,889.87,1194.11,1184.20,1209.36,911.07,717.24,599.93,879.71,878.69,1184.72,663.56,747.94,569.90
1991,846.58,1194.26,1172.55,1174.22,880.23,634.01,596.01,797.39,822.35,1116.41,658.25,693.42,586.80
1992,1158.13,1630.08,1608.64,1677.69,1313.93,808.72,718.11,1052.08,1216.23,1639.07,820.23,940.76,695.50
1993,916.92,1267.49,1118.19,1202.49,973.68,676.81,615.17,878.80,998.81,1271.09,679.93,762.61,577.20
1994,833.45,1058.46,1156.81,1154.30,881.81,685.96,622.25,804.51,764.46,1043.60,688.08,713.50,587.60
1995,970.97,1560.67,1242.70,1375.00,1028.77,608.34,580.95,823.71,1007.39,1482.83,685.14,763.31,553.50
1996,896.30,1267.45,1268.18,1296.76,947.80,662.78,588.84,820.75,901.95,1217.77,669.92,729.22,566.50
1997,958.63,1407.67,1208.88,1317.75,971.43,716.63,602.59,906.32,1000.88,1378.43,666.26,758.15,596.30
1998,876.83,1206.77,1177.65,1229.23,944.17,616.84,578.73,819.59,914.47,1241.19,660.78,727.19,551.00
1999,890.14,1296.84,1161.66,1238.48,905.06,670.29,585.27,801.06,872.84,1253.36,680.34,714.91,544.30
2000,816.87,1110.62,1142.92,1173.40,908.42,577.49,521.96,750.56,853.60,1140.56,617.07,677.83,527.70
2001,979.54,1459.63,1323.77,1390.57,1061.59,657.90,618.67,858.77,991.29,1408.70,734.98,799.03,602.50
2002,1153.80,1424.76,1419.87,1492.96,1230.00,904.27,859.68,1169.68,1186.67,1474.16,945.06,1041.07,814.20
2003,1016.53,1148.62,1451.19,1429.00,1131.04,806.04,809.96,985.96,983.56,1238.44,890.22,916.21,722.70
2004,1103.14,1516.70,1350.27,1455.10,1175.87,845.53,750.48,1070.33,1144.34,1504.84,807.98,926.43,721.20
2005,1113.57,1407.02,1523.89,1534.77,1222.74,843.43,793.33,1107.40,1122.14,1421.36,891.29,981.50,745.60
2006,996.08,1421.26,1371.13,1410.64,1062.69,711.89,680.98,900.30,996.97,1370.52,750.66,818.00,642.40
2007,1068.34,1310.62,1450.27,1477.86,1138.44,813.26,840.20,1036.80,1040.41,1363.16,902.28,943.89,757.60
2008,870.71,1174.08,1128.73,1173.62,893.33,662.70,604.68,845.02,902.91,1165.40,679.50,736.97,568.40
2009,1176.81,1450.29,1537.01,1612.18,1279.44,861.36,864.26,1161.05,1215.37,1565.35,945.90,1064.24,803.00
2010,1014.38,1272.79,1285.47,1316.95,1011.94,853.19,788.84,1048.04,982.70,1274.40,792.82,891.27,772.00
2011,1073.26,1399.86,1343.80,1413.99,1122.44,810.14,784.34,1058.85,1097.69,1425.08,851.06,943.41,753.70
2012,871.64,1146.80,1139.62,1180.96,925.34,660.18,599.60,833.48,889.01,1162.40,707.06,753.21,565.40
2013,999.33,1332.71,1265.96,1315.92,1046.07,775.73,679.51,1003.36,1055.62,1339.88,726.42,855.29,680.20
2014,927.14,1237.98,1225.92,1266.60,1001.15,698.82,616.29,881.21,974.56,1254.89,695.68,795.77,594.50
2015,961.63,1274.56,1325.80,1347.03,1043.39,725.67,676.93,889.94,946.86,1275.14,762.25,821.13,652.10
2016,1153.38,1495.50,1583.77,1610.07,1259.63,888.77,791.51,1084.37,1169.67,1534.53,904.99,969.44,759.40
2017,912.37,1307.50,1161.82,1211.33,972.80,646.00,591.54,870.36,978.75,1257.01,674.00,768.40,598.30
2018,916.76,1188.98,1267.18,1282.38,982.94,715.58,632.00,880.53,905.28,1208.83,723.62,773.60,607.60
2019,805.23,1107.30,1060.59,1116.05,877.30,574.92,524.86,753.10,860.57,1124.12,600.94,668.39,509.40
2020,885.33,1078.11,1114.94,1158.92,935.87,711.33,644.02,914.58,893.52,1129.51,721.02,793.76,627.20
