Variable:,pr
,Poland,Dolnoslaskie,Kujawsko-Pomorskie,Lodzkie,Lubeiskie,Lubuskie,Malopolske,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Slaskie,Swietokrzyskie,Warminsko-Mazurskie,Wielkopolskie,Zachodnio-Pomorskie
1958,672.09,769.68,599.55,607.66,622.99,640.45,867.58,588.29,730.63,726.15,663.89,684.77,823.48,662.09,702.76,602.45,669.55
1959,501.43,498.01,434.18,436.31,487.15,452.50,705.17,448.01,518.27,595.53,491.09,513.19,644.38,544.38,530.65,410.95,503.05
1960,713.75,727.15,601.55,675.03,706.41,602.46,975.34,670.71,736.10,840.89,735.14,668.06,886.67,789.82,757.02,591.17,670.57
1961,596.46,676.31,600.69,577.67,427.62,660.07,715.79,516.91,628.93,514.66,514.03,654.25,709.28,579.45,655.79,608.08,673.37
1962,630.15,634.11,555.25,612.68,614.79,519.47,863.65,601.95,665.81,704.03,608.15,615.41,821.90,707.89,653.87,527.13,588.46
1963,550.06,617.79,501.05,504.59,483.42,483.36,724.78,478.34,614.10,585.69,517.82,580.69,692.34,569.69,609.78,498.94,533.22
1964,555.63,689.97,453.24,509.84,532.79,559.00,761.04,474.80,656.42,664.55,495.91,492.34,734.38,591.00,515.52,503.75,524.78
1965,641.78,670.97,555.32,593.27,617.68,588.76,914.28,582.95,652.75,795.72,566.48,636.12,812.99,717.21,658.62,523.79,633.66
1966,733.24,796.13,598.00,716.11,741.63,672.67,1048.25,686.30,826.84,895.02,661.15,613.36,991.00,865.15,712.74,609.44,645.74
1967,691.10,737.65,703.81,660.64,576.07,675.63,799.52,630.97,671.67,681.86,607.21,785.78,775.03,684.69,756.91,659.40,760.45
1968,642.63,710.39,566.23,599.32,631.04,590.39,885.60,552.16,723.01,769.22,510.94,651.27,840.23,720.13,597.76,572.45,658.85
1969,505.35,506.60,444.60,467.06,475.60,471.85,698.38,462.36,504.06,595.84,493.31,506.51,626.93,546.30,526.79,416.96,513.39
1970,746.81,740.51,677.98,727.23,700.81,599.58,985.68,729.18,760.90,827.46,761.00,767.18,900.25,801.99,846.88,609.60,687.22
1971,536.28,640.77,513.09,551.20,449.25,474.76,691.05,466.41,647.81,551.95,456.29,555.10,714.50,564.48,527.22,513.03,505.35
1972,615.93,591.22,534.16,583.02,611.54,463.69,856.86,615.69,663.70,679.60,666.72,604.90,797.08,673.08,715.67,472.16,507.90
1973,561.97,564.32,539.38,513.38,513.54,515.19,679.01,515.92,542.78,585.26,557.88,629.25,636.28,543.05,641.12,501.55,592.82
1974,753.43,795.93,678.30,711.88,714.15,690.72,987.06,694.66,773.78,851.12,741.02,744.28,916.34,800.56,785.12,665.02,718.83
1975,553.88,622.90,482.45,532.92,524.07,460.50,823.22,480.26,671.12,697.00,491.34,508.34,778.68,615.66,510.74,484.36,492.69
1976,541.69,641.54,495.56,511.74,489.10,478.30,727.15,466.34,620.44,628.42,475.19,547.80,688.00,545.53,537.23,506.60,515.23
1977,660.74,810.35,593.39,651.08,586.61,647.25,816.54,601.20,787.98,655.53,618.91,639.86,853.10,654.03,654.19,609.73,631.42
1978,634.93,628.56,606.10,589.01,560.43,584.61,778.53,587.46,619.20,692.28,617.07,701.31,722.95,637.40,747.51,553.27,650.11
1979,596.82,648.27,511.34,548.93,561.81,542.86,791.31,534.97,627.03,690.53,583.04,587.13,739.22,625.88,638.77,511.22,595.79
1980,678.73,666.21,620.80,584.21,667.27,600.12,852.05,611.86,639.50,819.76,688.41,748.93,768.08,691.92,768.77,564.55,692.93
1981,693.11,807.51,661.69,664.73,574.86,671.39,801.61,599.22,750.02,674.39,610.09,777.66,829.27,667.44,776.48,656.57,744.72
1982,446.13,459.23,392.27,410.03,395.99,373.52,623.34,404.11,481.60,505.66,460.95,455.76,590.97,465.46,478.05,373.07,437.27
1983,545.10,571.49,466.39,481.74,506.79,523.85,720.15,470.28,536.27,643.95,521.09,591.52,645.42,580.93,604.06,449.63,583.44
1984,541.56,562.48,498.79,491.11,497.33,502.04,681.91,490.67,550.60,600.47,530.24,581.12,639.48,526.46,600.69,468.26,566.36
1985,640.61,670.72,570.28,606.07,608.91,518.35,880.39,579.80,711.01,754.85,603.33,648.40,834.02,685.47,678.72,545.43,596.31
1986,577.36,685.27,540.65,536.60,477.46,606.85,648.25,498.83,631.48,528.94,531.43,639.65,672.96,551.35,648.73,544.29,639.21
1987,619.45,701.66,587.97,578.53,491.58,628.82,786.86,519.21,665.27,642.67,521.51,675.01,764.39,623.86,687.60,577.77,684.13
1988,592.90,660.67,575.16,523.70,559.66,574.82,676.89,527.85,594.71,613.25,572.79,658.53,656.47,536.16,621.31,552.91,652.64
1989,503.54,487.09,418.38,415.20,469.18,415.63,768.45,448.94,494.33,627.61,529.34,516.19,645.52,558.59,593.85,388.48,473.55
1990,562.21,512.58,494.06,480.94,549.34,508.31,742.35,506.63,518.59,653.07,596.13,609.33,659.59,579.95,658.21,454.45,592.13
1991,524.54,530.47,485.55,478.70,451.08,445.39,724.82,444.56,562.31,604.30,452.44,597.93,684.25,553.35,588.81,447.56,561.60
1992,531.02,517.65,432.63,463.86,566.02,464.76,682.86,509.66,509.74,646.07,566.48,530.21,619.90,560.85,598.95,408.02,514.39
1993,579.13,662.18,573.16,516.83,466.33,637.80,627.32,492.13,562.50,536.56,567.59,647.86,614.73,503.54,647.03,582.18,686.80
1994,603.91,611.39,561.03,506.72,597.79,600.46,716.35,578.23,535.18,669.04,616.12,645.80,634.28,579.95,682.31,512.05,643.36
1995,569.33,650.47,521.28,471.55,527.47,562.24,684.58,513.43,569.61,603.35,583.13,607.23,623.59,507.67,640.64,498.77,615.52
1996,553.57,608.48,505.76,465.53,546.21,521.07,767.82,481.29,568.59,688.02,495.28,565.15,676.38,558.74,522.46,493.35,572.40
1997,620.57,690.81,575.24,520.05,613.88,587.03,770.28,555.52,624.90,733.17,597.66,638.48,704.05,606.80,661.70,555.04,613.95
1998,678.05,695.33,640.81,582.70,632.88,638.17,816.84,587.10,655.53,768.29,629.03,786.22,760.07,666.44,739.21,602.25,777.59
1999,609.21,605.93,570.78,559.83,550.64,502.36,850.69,534.88,627.99,707.52,546.31,672.83,783.37,652.60,655.31,525.67,624.85
2000,615.51,675.42,563.44,592.43,567.62,576.76,822.01,536.03,678.81,679.70,531.85,615.45,798.02,659.87,589.60,570.59,637.63
2001,698.40,766.99,645.70,669.81,627.90,609.31,940.21,607.10,777.69,785.97,604.82,734.36,897.54,745.04,728.53,629.40,683.82
2002,624.27,707.09,589.40,599.72,502.71,647.83,818.02,531.71,661.47,653.78,520.09,662.71,771.27,629.05,625.73,593.00,706.20
2003,487.13,478.67,441.51,443.40,446.97,404.70,629.02,440.96,500.77,537.36,503.44,529.01,598.00,507.56,581.99,401.33,482.54
2004,600.27,574.34,554.47,520.53,561.16,524.67,801.37,542.13,548.30,705.02,597.74,678.10,698.36,613.69,678.94,495.36,637.45
2005,569.92,640.68,482.16,516.85,492.52,558.97,824.77,474.37,630.69,679.32,523.91,555.78,760.51,599.33,581.92,497.63,584.68
2006,554.53,639.95,489.83,516.37,503.91,500.08,725.04,488.81,622.65,649.63,507.34,561.40,669.31,576.26,584.30,498.18,530.80
2007,665.93,689.10,628.16,598.40,555.72,688.21,835.19,565.31,659.77,698.87,609.92,743.23,783.67,656.23,735.20,602.38,793.68
2008,597.17,590.24,516.31,523.97,595.71,547.45,761.42,549.66,571.63,694.60,612.79,624.20,701.53,609.31,648.63,496.48,628.85
2009,679.64,733.24,595.04,626.92,680.92,610.53,894.67,632.09,716.14,771.71,677.76,649.33,829.94,726.78,696.16,586.60,637.60
2010,794.60,845.33,711.43,751.35,732.64,694.37,1119.28,736.10,823.61,931.21,731.65,783.30,986.57,848.06,841.40,692.68,740.67
2011,540.60,601.19,487.43,472.68,476.23,545.56,674.19,465.32,560.32,560.74,526.39,581.80,636.24,523.14,591.94,490.88,597.40
2012,603.78,670.09,571.95,530.06,537.30,605.76,698.17,535.97,594.57,601.91,597.47,678.50,667.83,568.36,681.59,554.31,654.75
2013,647.35,709.13,599.02,612.52,605.99,605.25,800.17,600.91,657.61,679.81,626.12,658.21,751.75,653.33,698.23,580.21,645.47
2014,627.45,684.59,569.19,598.90,549.88,555.42,882.38,542.47,721.66,711.71,545.67,650.56,844.83,683.73,626.34,550.54,632.24
2015,513.35,535.84,462.53,457.09,464.22,482.74,655.23,455.00,516.58,562.98,494.26,566.15,617.99,522.10,563.10,438.65,561.10
2016,668.54,679.72,596.49,640.64,638.12,537.71,908.83,638.46,712.31,773.57,687.42,651.79,858.95,727.04,771.20,538.35,553.30
2017,723.65,738.61,699.13,661.48,643.37,694.56,847.15,672.41,700.41,716.64,719.72,783.37,807.64,703.95,811.54,668.71,793.98
2018,504.13,487.88,431.36,462.11,516.44,385.44,697.91,475.69,527.07,618.96,516.17,511.09,642.45,559.76,572.60,386.98,437.80
2019,540.65,573.45,470.96,491.63,486.70,476.58,764.23,469.99,597.80,620.95,488.41,586.57,713.55,572.35,575.53,453.05,549.04
2020,623.76,664.76,540.24,608.75,577.77,499.15,901.46,570.01,723.27,737.62,563.00,614.52,858.37,699.59,661.39,506.98,558.10
