Variable:,pr
,"Trinidad and Tobago",Arima,Chaguanas,Couva/Tabaquite/Talparo,"Diego Martin",Penal/Debe,"Point Fortin","Port Of Spain","Princes Town","Rio Claro/Mayaro","San Fernando","San Juan/Laventille","Sangre Grande",Siparia,Tobago,Tunapuna/Piarco
1926,1515.53,1466.40,1468.63,1532.29,1248.68,1544.97,1245.20,1263.42,1550.10,1550.10,1550.09,1459.03,1474.29,1252.85,1477.90,1466.40
1927,1868.27,1803.00,1805.96,1890.54,1512.41,1906.97,1484.10,1532.08,1914.20,1914.20,1914.19,1793.17,1813.48,1494.90,1758.30,1803.00
1928,1636.44,1587.90,1590.10,1653.00,1298.11,1663.77,1264.60,1317.72,1670.60,1670.60,1670.59,1578.09,1595.69,1274.79,1617.60,1587.90
1929,1708.79,1649.80,1652.48,1728.91,1393.85,1743.66,1355.50,1411.17,1750.30,1750.30,1750.29,1641.14,1659.27,1365.41,1657.40,1649.80
1930,1651.13,1633.40,1634.20,1657.17,1355.09,1656.88,1263.70,1373.92,1663.60,1663.60,1663.59,1623.98,1636.25,1273.74,1648.80,1633.40
1931,1779.70,1682.20,1686.62,1812.95,1477.46,1842.61,1509.70,1491.32,1848.30,1848.30,1848.29,1675.27,1697.85,1518.20,1580.70,1682.20
1932,1448.71,1433.80,1434.48,1453.79,1236.15,1454.39,1173.10,1249.52,1459.20,1459.20,1459.19,1427.11,1436.19,1180.28,1537.40,1433.80
1933,2162.57,2088.90,2092.24,2187.69,1787.83,2206.40,1738.50,1808.20,2214.40,2214.40,2214.39,2078.71,2100.73,1750.45,1885.50,2088.90
1934,1616.10,1594.50,1595.48,1623.47,1278.75,1624.32,1216.00,1300.12,1631.30,1631.30,1631.29,1583.81,1597.97,1226.43,1601.50,1594.50
1935,1864.34,1858.00,1858.29,1866.50,1562.72,1861.68,1445.10,1582.70,1868.80,1868.80,1868.79,1848.01,1859.02,1455.74,1746.00,1858.00
1936,1696.93,1662.30,1663.87,1708.74,1335.27,1714.02,1288.30,1357.41,1721.30,1721.30,1721.29,1651.23,1667.86,1299.17,1674.00,1662.30
1937,1637.52,1531.10,1535.93,1673.82,1380.96,1707.40,1415.20,1391.12,1712.40,1712.40,1712.39,1526.02,1548.19,1422.66,1484.90,1531.10
1938,2058.13,1944.90,1950.04,2096.75,1818.92,2132.22,1805.90,1827.45,2137.80,2137.80,2137.79,1940.64,1963.08,1814.23,1739.60,1944.90
1939,1690.99,1637.40,1639.83,1709.27,1295.30,1721.07,1274.80,1318.45,1728.70,1728.70,1728.69,1625.82,1646.01,1286.19,1595.50,1637.40
1940,1561.08,1532.90,1534.18,1570.68,1219.35,1574.01,1170.90,1240.57,1580.90,1580.90,1580.89,1522.29,1537.42,1181.19,1586.00,1532.90
1941,1680.22,1637.90,1639.82,1694.66,1338.13,1702.96,1291.20,1358.41,1710.00,1710.00,1709.99,1627.75,1644.70,1301.71,1646.80,1637.90
1942,1902.13,1841.20,1843.96,1922.91,1552.71,1937.85,1519.90,1572.23,1945.00,1945.00,1944.99,1831.44,1850.98,1530.57,1742.20,1841.20
1943,1947.86,1881.30,1884.32,1970.57,1619.36,1987.48,1565.10,1637.09,1994.70,1994.70,1994.69,1872.44,1891.99,1575.88,1781.10,1881.30
1944,2038.51,1984.10,1986.57,2057.07,1718.77,2069.73,1656.50,1736.72,2076.80,2076.80,2076.79,1975.12,1992.84,1667.05,1781.60,1984.10
1945,1890.09,1809.20,1812.87,1917.68,1486.37,1939.05,1474.20,1508.22,1947.00,1947.00,1946.99,1798.27,1822.19,1486.07,1708.70,1809.20
1946,2044.16,1990.80,1993.22,2062.36,1657.98,2073.36,1585.80,1680.51,2081.70,2081.70,2081.69,1979.54,1999.37,1598.25,1906.40,1990.80
1947,1517.65,1474.10,1476.08,1532.51,1251.09,1542.49,1202.80,1266.18,1548.30,1548.30,1548.29,1466.55,1481.09,1211.47,1435.00,1474.10
1948,1830.50,1765.40,1768.35,1852.70,1461.53,1868.51,1413.20,1482.10,1876.30,1876.30,1876.29,1755.12,1775.85,1424.83,1807.80,1765.40
1949,1863.21,1833.10,1834.47,1873.48,1522.94,1877.16,1453.80,1543.93,1884.40,1884.40,1884.39,1822.60,1837.93,1464.61,1751.00,1833.10
1950,2126.30,2137.80,2137.28,2122.37,1809.28,2111.19,1701.10,1831.51,2118.20,2118.20,2118.19,2126.68,2135.95,1711.57,1869.80,2137.80
1951,2094.29,2108.20,2107.57,2089.54,1726.37,2077.05,1641.20,1752.21,2084.50,2084.50,2084.49,2095.28,2105.97,1652.33,2145.70,2108.20
1952,1540.69,1545.80,1545.57,1538.95,1239.14,1531.62,1211.10,1259.89,1537.10,1537.10,1537.09,1535.42,1544.98,1219.28,1497.40,1545.80
1953,1739.08,1726.40,1726.97,1743.40,1405.06,1740.97,1330.00,1426.81,1748.00,1748.00,1747.99,1715.53,1728.44,1340.49,1753.90,1726.40
1954,2226.51,2125.90,2130.46,2260.83,1776.41,2288.64,1782.40,1800.07,2297.30,2297.30,2297.29,2114.07,2142.05,1795.33,1994.70,2125.90
1955,1976.10,2003.10,2001.88,1966.89,1634.25,1950.20,1546.80,1659.21,1957.10,1957.10,1957.09,1990.62,1998.76,1557.10,1911.80,2003.10
1956,2028.11,2004.40,2005.48,2036.20,1703.43,2037.75,1625.70,1723.80,2044.80,2044.80,2044.79,1994.21,2008.21,1636.22,2050.00,2004.40
1957,1454.73,1428.20,1429.40,1463.78,1151.98,1468.01,1152.80,1170.68,1473.40,1473.40,1473.39,1418.85,1432.46,1160.85,1451.90,1428.20
1958,1798.64,1782.50,1783.23,1804.15,1395.28,1802.55,1367.00,1421.49,1810.00,1810.00,1809.99,1769.40,1785.09,1378.12,1894.00,1782.50
1959,1360.31,1328.50,1329.94,1371.17,1070.75,1377.26,1059.30,1088.20,1382.70,1382.70,1382.69,1319.78,1333.61,1067.42,1293.60,1328.50
1960,1499.04,1470.40,1471.70,1508.81,1243.50,1513.33,1170.00,1258.85,1519.20,1519.20,1519.19,1462.72,1475.00,1178.77,1441.30,1470.40
1961,1721.84,1718.20,1718.36,1723.08,1423.42,1718.04,1346.10,1443.37,1724.40,1724.40,1724.39,1708.22,1718.78,1355.60,1635.90,1718.20
1962,1587.66,1570.40,1571.18,1593.54,1269.03,1593.81,1243.50,1289.43,1599.80,1599.80,1599.79,1560.20,1573.17,1252.44,1509.50,1570.40
1963,1831.16,1830.40,1830.43,1831.42,1454.66,1824.51,1404.10,1480.09,1831.70,1831.70,1831.69,1817.68,1830.52,1414.83,1786.20,1830.40
1964,1626.30,1593.60,1595.08,1637.45,1365.90,1642.71,1257.10,1381.31,1649.30,1649.30,1649.29,1585.89,1598.85,1266.95,1543.40,1593.60
1965,1675.67,1622.90,1625.29,1693.67,1395.20,1706.87,1360.20,1410.61,1712.80,1712.80,1712.79,1615.19,1631.37,1369.05,1580.90,1622.90
1966,2191.41,2278.40,2274.45,2161.73,1770.09,2122.21,1655.20,1804.49,2130.20,2130.20,2130.19,2261.20,2264.43,1667.12,2297.30,2278.40
1967,1719.03,1659.80,1662.49,1739.23,1431.40,1753.69,1343.70,1446.86,1760.70,1760.70,1760.69,1652.07,1669.31,1354.17,1616.20,1659.80
1968,1674.81,1598.50,1601.96,1700.84,1341.25,1721.61,1318.50,1358.66,1728.50,1728.50,1728.49,1589.79,1610.75,1328.79,1534.90,1598.50
1969,1777.98,1788.90,1788.40,1774.26,1503.50,1764.57,1429.60,1522.82,1770.30,1770.30,1770.29,1779.24,1787.15,1438.15,1812.70,1788.90
1970,2066.74,2003.70,2006.56,2088.24,1698.14,2103.61,1665.80,1718.82,2111.10,2111.10,2111.09,1993.36,2013.82,1676.98,2021.30,2003.70
1971,1960.61,1936.60,1937.69,1968.80,1597.00,1970.03,1533.30,1619.98,1977.50,1977.50,1977.49,1925.11,1940.45,1544.45,1753.10,1936.60
1972,1991.40,1841.60,1848.39,2042.49,1601.22,2088.07,1577.80,1617.49,2096.80,2096.80,2096.79,1833.46,1865.65,1590.83,1735.60,1841.60
1973,1682.16,1637.90,1639.91,1697.25,1365.68,1706.52,1309.90,1384.10,1713.30,1713.30,1713.29,1628.69,1645.01,1320.03,1547.30,1637.90
1974,1565.13,1540.30,1541.43,1573.60,1286.05,1576.86,1241.20,1303.25,1582.60,1582.60,1582.59,1531.70,1544.29,1249.77,1505.10,1540.30
1975,1776.81,1762.60,1763.24,1781.65,1456.04,1780.47,1410.40,1476.79,1786.80,1786.80,1786.79,1752.22,1764.88,1419.85,1748.70,1762.60
1976,1563.58,1458.80,1463.55,1599.32,1239.29,1630.23,1217.00,1254.14,1637.30,1637.30,1637.29,1451.37,1475.62,1227.55,1535.60,1458.80
1977,1423.94,1368.70,1371.21,1442.78,1141.20,1457.13,1125.60,1156.60,1462.80,1462.80,1462.79,1361.00,1377.57,1134.06,1336.50,1368.70
1978,1650.69,1585.30,1588.27,1672.99,1339.93,1689.97,1296.10,1356.54,1696.70,1696.70,1696.69,1577.00,1595.80,1306.16,1535.80,1585.30
1979,1979.83,1944.20,1945.82,1991.98,1606.59,1997.49,1564.40,1629.44,2004.90,2004.90,2004.89,1932.77,1949.92,1575.46,1877.00,1944.20
1980,2025.11,1945.10,1948.73,2052.39,1690.65,2073.05,1585.00,1707.87,2081.40,2081.40,2081.39,1936.49,1957.95,1597.46,1853.10,1945.10
1981,2166.57,2102.30,2105.22,2188.50,1778.57,2203.00,1688.60,1800.48,2211.80,2211.80,2211.79,2091.34,2112.62,1701.73,2053.60,2102.30
1982,1907.82,1832.80,1836.20,1933.40,1576.45,1953.13,1516.40,1593.80,1960.60,1960.60,1960.59,1824.12,1844.85,1527.55,1825.40,1832.80
1983,1996.83,1906.20,1910.31,2027.74,1603.33,2052.47,1576.90,1623.83,2060.60,2060.60,2060.59,1895.95,1920.75,1589.04,1812.50,1906.20
1984,1958.15,1887.30,1890.51,1982.31,1551.39,1999.78,1519.30,1574.12,2008.00,2008.00,2007.99,1875.93,1898.68,1531.57,1874.10,1887.30
1985,2041.47,1993.10,1995.29,2057.96,1737.95,2068.42,1654.30,1755.22,2075.50,2075.50,2075.49,1984.46,2000.87,1664.87,1865.80,1993.10
1986,1838.18,1778.60,1781.30,1858.50,1487.71,1872.24,1412.70,1507.40,1880.10,1880.10,1880.09,1768.76,1788.17,1424.43,1747.80,1778.60
1987,1615.41,1625.80,1625.33,1611.87,1312.55,1601.81,1234.00,1333.75,1608.10,1608.10,1608.09,1615.20,1624.13,1243.39,1601.30,1625.80
1988,2060.53,2033.70,2034.92,2069.67,1717.95,2071.88,1632.00,1739.32,2079.40,2079.40,2079.39,2023.01,2038.01,1643.23,1864.20,2033.70
1989,1662.48,1623.50,1625.27,1675.77,1318.44,1683.16,1289.00,1339.08,1689.90,1689.90,1689.89,1613.18,1629.76,1299.06,1567.40,1623.50
1990,1918.59,1882.20,1883.85,1931.01,1592.01,1937.27,1532.10,1611.65,1944.20,1944.20,1944.19,1872.38,1888.04,1542.44,1769.80,1882.20
1991,1724.91,1651.30,1654.64,1750.01,1439.37,1770.14,1386.60,1453.71,1776.70,1776.70,1776.69,1644.13,1663.12,1396.39,1589.30,1651.30
1992,1744.77,1743.60,1743.65,1745.17,1427.55,1738.87,1345.50,1448.94,1745.60,1745.60,1745.59,1732.90,1743.79,1355.54,1724.60,1743.60
1993,1944.82,1867.40,1870.91,1971.23,1578.71,1991.59,1540.40,1598.24,1999.30,1999.30,1999.29,1857.63,1879.83,1551.92,1764.20,1867.40
1994,1828.73,1787.00,1788.89,1842.97,1452.79,1850.66,1415.40,1475.41,1858.10,1858.10,1858.09,1775.69,1793.70,1426.51,1729.70,1787.00
1995,1704.02,1709.30,1709.06,1702.21,1354.92,1693.34,1286.00,1378.91,1700.30,1700.30,1700.29,1697.31,1708.45,1296.40,1668.70,1709.30
1996,1891.32,1881.40,1881.85,1894.70,1519.73,1890.48,1432.90,1544.21,1898.30,1898.30,1898.29,1869.16,1882.99,1444.58,1845.50,1881.40
1997,1706.91,1661.30,1663.37,1722.46,1409.04,1732.53,1354.00,1426.11,1739.00,1739.00,1738.99,1652.76,1668.62,1363.66,1595.30,1661.30
1998,2146.12,2170.60,2169.49,2137.77,1719.49,2120.12,1606.40,1750.02,2128.90,2128.90,2128.89,2155.33,2166.67,1619.52,2180.80,2170.60
1999,2120.21,2024.00,2028.36,2153.02,1783.52,2180.55,1750.90,1799.80,2187.90,2187.90,2187.89,2015.86,2039.45,1761.87,1928.70,2024.00
2000,1970.08,1933.80,1935.45,1982.45,1584.91,1987.61,1520.50,1608.52,1995.60,1995.60,1995.59,1921.99,1939.62,1532.43,1925.90,1933.80
2001,1386.65,1402.50,1401.78,1381.24,1097.83,1369.79,1035.80,1118.45,1375.50,1375.50,1375.49,1392.19,1399.96,1044.33,1474.30,1402.50
2002,1765.62,1700.00,1702.98,1788.01,1421.39,1804.38,1370.70,1440.24,1811.80,1811.80,1811.79,1690.57,1710.54,1381.77,1646.50,1700.00
2003,1560.34,1632.30,1629.04,1535.79,1251.67,1503.57,1145.10,1277.43,1509.70,1509.70,1509.69,1619.42,1620.74,1154.25,1706.00,1632.30
2004,2006.85,2059.80,2057.40,1988.79,1647.12,1961.94,1514.20,1675.05,1969.60,1969.60,1969.59,2045.83,2051.30,1525.63,2125.40,2059.80
2005,2054.37,2051.20,2051.34,2055.45,1681.65,2048.91,1599.00,1706.66,2056.60,2056.60,2056.59,2038.69,2051.71,1610.49,2093.80,2051.20
2006,1867.19,1806.50,1809.25,1887.90,1579.90,1903.15,1508.10,1595.23,1909.90,1909.90,1909.89,1798.83,1816.25,1518.19,1845.00,1806.50
2007,1718.59,1670.40,1672.59,1735.03,1407.36,1746.26,1381.30,1425.16,1752.50,1752.50,1752.49,1661.50,1678.14,1390.62,1671.00,1670.40
2008,1743.97,1730.70,1731.30,1748.49,1364.44,1745.79,1306.40,1389.23,1753.30,1753.30,1753.29,1718.30,1732.83,1317.62,1790.80,1730.70
2009,1488.21,1465.20,1466.24,1496.06,1200.86,1498.36,1145.00,1218.75,1504.40,1504.40,1504.39,1456.25,1468.89,1154.02,1502.70,1465.20
2010,2136.18,2121.80,2122.45,2141.09,1683.17,2137.39,1616.30,1712.86,2146.30,2146.30,2146.29,2106.96,2124.11,1629.60,2082.70,2121.80
2011,2076.09,2072.80,2072.95,2077.21,1699.85,2070.65,1617.20,1725.09,2078.40,2078.40,2078.39,2060.18,2073.33,1628.78,2144.10,2072.80
2012,1586.52,1564.80,1565.78,1593.93,1291.08,1595.72,1240.20,1309.60,1601.80,1601.80,1601.79,1555.54,1568.29,1249.28,1676.40,1564.80
2013,1766.39,1680.10,1684.01,1795.82,1443.02,1820.66,1443.90,1459.06,1827.10,1827.10,1827.09,1672.08,1693.95,1453.52,1679.10,1680.10
2014,1633.13,1668.70,1667.09,1620.99,1368.33,1602.35,1265.90,1388.66,1608.10,1608.10,1608.09,1658.53,1662.99,1274.49,1672.00,1668.70
2015,1283.30,1196.90,1200.82,1312.78,1048.56,1339.37,1062.50,1058.60,1344.10,1344.10,1344.09,1191.88,1210.77,1069.57,1198.70,1196.90
2016,1857.70,1870.20,1869.63,1853.43,1532.49,1841.87,1430.60,1555.35,1848.90,1848.90,1848.89,1858.77,1868.19,1441.10,1822.10,1870.20
2017,1950.47,1968.20,1967.40,1944.42,1582.18,1930.21,1474.40,1608.30,1938.00,1938.00,1937.99,1955.14,1965.35,1486.04,1953.30,1968.20
2018,1709.86,1688.90,1689.85,1717.00,1397.51,1717.89,1325.60,1417.23,1724.60,1724.60,1724.59,1679.04,1692.26,1335.62,1653.60,1688.90
2019,1386.59,1341.80,1343.83,1401.86,1137.66,1413.01,1115.40,1151.47,1418.10,1418.10,1418.09,1334.89,1348.99,1123.00,1276.00,1341.80
2020,1714.58,1715.70,1715.65,1714.20,1408.84,1707.18,1320.30,1429.61,1713.80,1713.80,1713.79,1705.31,1715.52,1330.18,1646.30,1715.70
